Name,State,Title,Description
"16th Street Baptist Church","Alabama","16th Street Baptist Church - Birmingham, Alabama - Historic Church","16th Street Baptist Church is located on Sixth Avenue North in Birmingham, Alabama and is approximately a seven minute drive from Birmingham Airport. The church campus is open for tours 10am to 4pm Tuesday to Friday and 10am to 1pm by appointment only on Saturdays. It is a largely African American Baptist Church that was designated as a National Historic Landmark in 2006 and is still in operation now with regular services held here. This was the first black church to organize in Birmingham with meetings initially held in a small building at 12th Street and Fourth Avenue North. A new site was later acquired on 3rd Avenue North but in 1880, the church sold the property and built a new church on the present site on 16th Street and 6th Avenue North, which was completed in 1884. However, the city condemned the structure in 1908 and placed an order for it to be demolished. The current building was designed by a prominent black architect, Wallace Rayfield taking influences from the Roman and Byzantine styles with construction completed in 1911. The church served as an important meeting point for the civil rights movement in the 1960s with Martin Luther King, Jr. among several notable speakers here. In 1963 the church was bombed by the Ku Klux Klan, killing four young girls. The church reopened for services in June 1964 after receiving more than $300,000 to restore it, and now visitors will be able to see a shrine in the crypt where the girls died, which is dedicated to their memory. Located in the rear center of the church at the balcony level is a vibrant stained glass window with the image of a black crucified Christ, which was a special memorial gift from the people of Wales and designed by John Petts.Tours of the church are led by guides with a presentation given about the history including the bombing as well as an interesting video. While in the area visitors may like to stop by the Birmingham Civil Rights Institute in 16th Street, which is a museum remembering the civil rights movement of the 1950s and 60s. Just a couple of hundred meters from the church and the museum is Kelly Ingram Park, which has many sculptures based on the civil rights movement including one of Martin Luther King Jr. There are many places nearby serving food including Green Acres Cafe, Brannon's Public House and Pete's Famous Hot Dogs, all of which are less than a kilometer from the church. For those visitors wishing to stay in Birmingham overnight or longer, there are a number of hotels near to 16th Street Baptist Church. Less than one kilometre away is Kings Inn situated on 3rd Avenue North and Hampton Inn & Suites, which is located on Park Place North. Other hotels nearby include Redmont Hotel, The Sheraton and Courtyard by Marriott, which are all within one and a half kilometers of the church."
"Alabama Adventure","Alabama","Alabama Adventure - Bessemer, Alabama - 200-acre family adventure theme park","Alabama Adventure originally opened on May 23, 1998 as VisionLand. In 2002, the amusement/adventure theme park changed its name to Visionland. When the park opened again in 2006, it was under the name of Alabama Adventure. Owned by Adrenaline Family Entertainment, the theme park hosts over 350,000 visitors per year in its May to October season. The Alabama Adventure Park consists of three separate parks - Magic City, a theme park with a wide variety of family and thrill rides; Splash Beach, a water park with several water play areas aimed at children and adults as well as several wild water rides, including water slides, water tubes, wave pools and a river raft ride; and Celebration Street, a dining and shopping area. The theme park that opened in 1998 was the result of years of work on the part of Fairfield Mayor, Larry Langford, who helped pull together a coalition of eleven cities to create the West Jefferson Amusement and Public Park Authority. The Authority enlisted the help of the state to raise $65 million to build VisionLand, which included four main attraction and activity areas - Celebration City Theme Park, Main Street, Steel Waters Water Park and Marvel City, a children's play area. Unfortunately, the park operated at a loss and the group filed for bankruptcy in 2002. VisionLand was purchased by the Southland Entertainment Group for $6 million. Southland added new rides, renamed VisionLand to Visionland, as well as renaming the water park and theme parks to Magic Adventure Theme Park, Splash Beach Water Park, Marvel City and Celebration Street. The park was renamed and re branded once again in 2006, and sold to Adrenaline Family Entertainment, who planned to add a hotel, an RV park and other amenities to turn the amusement and theme park into a full-featured family attraction. Among the most popular attractions at Splash Beach are the water slides. The newest water attraction, added in 2009, is a 216 foot water slide named UpSurge! UpSurge! takes riders up and down a half pipe before depositing them in a 25,000 gallon pool. Acapulco Drop is a free fall slide that drops sliders down nine stories, and Neptune's Plunge, one of the original water attractions, is a series of four enclosed tube slides. Younger children can relax in Salamander Bay or Castaway Island, while the bigger kids enjoy the Kahuna Wave Pool. Magic City features three thrilling roller coaster rides, including a custom-built wooden coaster named Rampage, which was one of the original attractions at VisionLand. A second coaster is a steel coaster that is actually located in Marvel City. The Marvel Mania is a family-friendly coaster that's reasonable for younger children. The Zoomerang was relocated from its original home in Sydney Australia in 2003. Other major attractions include a Carousel, monorail Ferris wheel and 25 other rides that vary in intensity from kid-friendly locomotives to wild spinners. The park is open from 10:30 AM to 8:00 PM, with Splash Beach open until 7:00 PM daily. General admission is $34.99, with reduced rates for seniors and children. There are also special prices for second day admission to the park. For information about group sales, call Alabama Adventure at 205-481-4750."
"Alabama Constitution Village","Alabama","Alabama Constitution Village - Huntsville, AL - Alabama obtained statehood because of this historical venue","The Alabama Constitution Village in Huntsville, Alabama is located at 109 Gates Avenue. There are costumed guides used to lead visitors to the facility on a tour around an 1805 to 1819 styled working village. There are eight buildings that have been reconstructed to show the lifestyle that was lived during the 1800's in Alabama. There are commemorates in place to show where the Constitutional Convention of 1819 was held. The state became the 22nd to be admitted to the Union on the 14th of December 1819. The Constitution Hall is used to allow costumed interpreters to show the way that people lived during 1819. The Boardman complex, Clay building and Neal Residence also have costumed participants. The costumed participants at the facility carry out daily life the same way that it was done at the turn of the century. There were forty-four delegates at the convention in the vacant cabinet shop on the 5th of July during 1819 to help in the organization of Alabama as the 22nd state. The facilities that make up the village include the law office of Clement Comer Clay, the post office, the office of the Federal Land Surveyor and the home of Sheriff Stephen Neal. All of these buildings are surrounding the cabinet shop. The Alabama Constitutional Village is part of the Earlyworks Museum Complex in Huntsville, Alabama. The village is open from ten in the morning until four in the afternoon during the week from Tuesday until Saturday during the months of March through October. The hours vary during November and December due to the presents of Santa's Village. The facility closes in January and stays closed through February. Individual Admission to the Alabama Constitutional Village is $10 for adults, $8 for seniors and youths. Toddlers are admitted to the village free of charge. Group admission rates to the village are $9 for adults, $8 for seniors and youth, $7 for the group chaperone. Those wishing to see the Alabama Constitutional Village in addition to another attraction at the Earlyworks Museum Complex can purchase tickets that cover two facilities or all three facilities. Individual price of admission for two of the museums is $15 for Adults, $13 for seniors and youth and $4 for toddlers. The cost of individual admission to all three of the museum facilities is $20 for adults, $17 for youth and seniors and $4 for toddlers. The cost of group admission to all three facilities is $1 less. Those with fifteen or more people in their group can obtain a group rate as long as they have a reservation to the facilities. There is a minimum fee required to make a reservation for the Alabama Constitution Village. The village and the two other museums that make up the Earlyworks Museum complex in Huntsville, Alabama combine to give a picture of colonial Huntsville. Time has not moved on for those that work in the facility giving costumed reenactments of daily life as it was at the turn of the century with chores being done just as they were before modern conveniences where put into place."
"Alabama Gulf Coast Zoo","Alabama","Alabama Gulf Coast Zoo - Gulf Shores, AL - the little zoo that could","The Little Zoo That Could seen on Animal Plant is the based on the Alabama Gulf Coast Zoo located in Gulf Shores, Alabama. The Zoo Foundation Inc operates the non-profit organization which is reliant on contributions, memberships and admissions to gain funding. The facility is a few blocks away from the beach and contains over two hundred and ninety animals. Animals at the facility which also operates a petting zoo include bears, monkeys and a reptile house. Gulf Shores' Joey Ward began the zoo which opened as the Zooland Animal Park during June of 1989 as a private project. The foundation that runs the zoo was created by the Ward Family during 1991. They also donated the zoo's seventeen acres and during 1994 thirteen undeveloped acres were donated by the Erie Meyer Foundation and the Ward Family. Hurricane Danny hit the area during July of 1997 followed by Hurricane George during 1998 which caused damage from flooding. The zoo evacuated the animals moving them fifteen miles farther inland to higher ground making it the first zoo to ever have a complete evacuation during a hurricane. The Alabama Gulf Coast Zoo almost closed during 1999 because of the cost of evacuating the animals and required repairs. Fund raising made it possible for the facility to remain open. Five hundred thousand dollars worth of damage was done in 2004 by Hurricane Ivan which caused another evacuation. The zoo was closed for fourteen months after the hurricane. A number of animals that could not be caught for the evacuation were lost. In 2005 another hurricane caused the facility to close. The Alabama Gulf Coast Zoo was approached by Animal Planet about a series after receiving a great deal of media attention after Hurricane Ivan. In 2005 the series began filing with the first thirteen episodes being shown during February of 2006. In February of 2007 there was an hour long follow up aired. The zoo has received donations of building supplies, services and money from both local businesses and the community to keep it running in the past. There are now endowments from corporations, grants and sponsorships to assist the zoo that was not available prior to 1998. Clyde Weir owner of Souvenir City stores donated twenty acres of land to the Alabama Gulf Coast Zoo during 2006. The Zoo opens at nine in the morning and closes at four in the afternoon each day with the exception of certain holidays when the facility is closed. The cost of admission to the facility is $10 for those aged twelve to fifty-four, $8 for those fifty-five and over, children aged three to twelve pay $7 for admission. Taxes are not included in the pricing. There is no charge for children aged two and under to get into the Alabama Gulf Coast Zoo. The gift shop at the zoo offers a variety of items and the proceeds from the sales go to run the facilities. Those wishing to obtain additional information about the Alabama Gulf Coast Zoo and its facilities should contact the zoo directly."
"Alabama Theatre","Alabama","Alabama Theatre, Birmingham, AL","The Alabama Theatre was established in 1927 by Paramount Studios. It was meant to be a place to showcase the Paramount brand of films. It was used as a movie palace'' for 55 years, except for a time with the annual Miss Alabama Pageant and the weekly Mickey Mouse Club. In 1987 the theater owners went bankrupt, but Alabama did not want to lose their theater. Instead, the Birmingham Landmarks Company purchased the theater. They are a non- profit organization. Since then the Alabama Theatre has been a place for Performing Arts. It will host a number of live events and films throughout the year. Typically they have about 300 different events in a year for the half million residents of the city. In 1998 the theater had to undergo a renovation working from the front door to the back door. The work was completed by Ever Greene Studios in New York City. Within 8 months the theater was restored to its 1927 looks with new gold leaf paint, carpet, and drapes. Even the organ chambers obtained an update. Anyone in Birmingham for a visit will want to take a quick peek at the theater. Tours are offered when the facilities are open. One can also call to inquire about touring the building. The best way to see the facility is through one of the shows. Tickets can be purchased at the Alabama Theatre box office an hour before the show time. Some of the concerts and performance events are offered through Ticketmaster for prior purchase. Smoking is not allowed at the theater. Directions to the theater are fairly simple. Highway 31, 280, and even I65 and I20 can bring visitors to the theater with some road changes in the mix. The ticket pricing is dependent on the event being hosted. Some shows will be a little more than others. A few of the events at the theater include TheatreWorks, American Theatre, Harry Connick Jr., and a showing of the old film Casablanca. The Hoover Beauty Walk and Beauty and the Beast are other events held at the theater. A VIP Dance, Nextstar Competition, and Dance USA also host events throughout the year. As one can imagine the events at the Alabama Theatre will vary from year to year. It is impossible to state which productions might occur in the next few years, but those listed above are for 2010. A few others for 2010 include Applause Talent and Time Step. Children's Dance, American Theatre, North Jefferson, and Norah Jones are at the theater in May. Events for the summer season have yet to be announced, but one can expect there to be quite a few events for children no longer in school. At the theater is a gift shop. Visitors are able to bring home souvenirs of their excursion to the old and prominent facility. CD's, prints, and post cards are all offered at the Gift Shop. During shows one can also obtain a program to keep a keepsake."
"Aldridge Gardens","Alabama","Aldridge Gardens - Hoover, AL - a refuge for animals and plants","Father and son team Eddie and Loren L. Aldridge formed the thirty acre Aldridge Gardens. The Hydrangea quercifolia which is a form of the Oakleaf Hydrangea that double flowers was not only formed by patented by the two. A formal dedication of the garden to the public was done during 1997 and the facility is now under the management of a non-profit organization. The Coxe Family Estate was first seen by Eddie Aldridge when he was hired to plant magnolias on it during 1966. He and his Father both were nurserymen that shared an appreciation of beauty and were in agreement that the property in Hoover's center would be ideal for a botanical garden. It was another eleven years before the Coxe Family decided to sell the property. Eddie bought it during 1977 and began to slowly turn it into what it is today. The facility currently has eleven main attractions for the enjoyment of visitors. Among them are the Loblolly Pines with picnic grounds and the Alabama Croton Thicket. The Urban Forest, a thicket below the dam, a lake and shore line can also be found at the Aldridge Gardens. The Wild Flower Garden can be seen from the overlooking observation deck, there is a woodland hillside and pavilion. There are also the Aldridge home and lake house on the property in addition to new area that will be added soon. There are one hundred and seventy-five species of hydrangea and cultivars at the garden. There are a number of birds native to the Aldridge Botancial Gardens which provides the three main requirements for their survival. The facility offers them water, food and a reproductive area. The birds at the garden are free to move between the lawns, water sources, shrubs and trees that feed them. During Spring of 2006 there were eight next boxes for Eastern Bluebirds installed as a part of the Blue Bird Project to make up for them losing the habitat they used to nest. The nesting boxes were at full capacity at the end of nesting season. There are also a number of animals not normally seen during the day found at the gardens. The facilities at the Aldridge Gardens can be rented for events. The Aldridge House which opens to a view of a six acre lake from a large brick patio can be rented to hold gatherings. There are hardwood floors in the dining and living rooms, an antique fireplace, library shelves and a tray ceiling. There is a sun room with brick floors and a patio that gives a view of the lake. The house at Aldridge Gardens can accommodate a maximum of 150 people when used with the patio, without the patio it holds 100 people. There can be fifty people for a reception for thirty-six for a seated dinner in the living room and dining room as well as in the sun room and conference room. Those wishing to obtain additional information about the facilities and rentals should contact the gardens directly."
"Alligator Alley is home to the longest Alligator in the world, Captain Crunch","Alabama","Alligator Alley is home to the longest Alligator in the world, Captain Crunch","Alligator Alley is located in Summerdale, Alabama. Alligator Alley is over 20 acres of natural cypress swamp land where alligators are able to roam freely in a protective environment. There are over 150 alligators at the enclosure, which range from the small hatchlings that are located in the gift shop to the big `gators in the swamps. There are safe observation areas throughout the enclosure such as the elevated boardwalk which allows visitors to view the alligators feeding and nesting. Other wildlife in the park include; Osprey's, Owls, Turtles, Bull Frogs and many field animals. A nature walk through the enclosure leads visitors to various exhibits while on their way to visit the king of the Alley, Captain Crunch. Captain Crunch is the longest alligator in the world, he is over 13 feet long and over 800 pounds and has the strongest bite recorded. Captain Crunch is approximately 40 years old and his favorite foods are chicken, turtles, dogs and slow swimmers! The alligators at the park have been rescued from areas that were dangerous for them to inhabit. In November 2003 the Gator Farm project began and the grand opening was in July 2004. The park works in conjunction with the Florida Nuisance Alligator Removal Program which transports the alligators from unsafe areas to the farm to give them a natural environment. The gift shop is located at the entrance of the farm; visitors can start their tour here by viewing the aquarium displays which have many different species of fish, turtles, snakes and even baby alligators. The gift shop sells souvenirs such as t-shirts, hats, alligator collectibles and knives. There are three feeding times a day which visitors can view and occasionally participate in and the farm is opened seven days a week during the spring and summer seasons. Private group tours are available along with night tours, field trips and Chamber Members receive a discount."
"Alotft Birmingham Soho Square","Alabama","Alotft Birmingham Soho Square - Homewood, AL - all the comforts of home makes you wonder why you would ever leave","The Aloft Birmingham Solo Square in Homewood, Alabama is located at 1903 29th Avenue South. The check in time for the hotel is three in the afternoon with check out being at noon. There are a number of standard amenities at the facility to allow guests to be comfortable in any of the one hundred and eleven rooms at the hotel. Rooms at the Aloft are all in a design inspired by a loft with extra large windows and nine foot ceilings. There is a signature platform bed, workspace complete with desk chair and a full length mirror in each room. Rooms have an electronic safe and individual climate control. Guests of the hotel can choose from having two queen sized or one king sized bed. There are disability accessible rooms at the facility. There are a number of options for entertainment at the aloft Birmingham Soho Square including in room magazines and a free national newspaper during the week. Guests can watch cable on the 42inch LCD flat panel television set or for a fee they can have in room movies. The bathroom has an oversized showerhead in the walk in shower. There are even dispensers for the amenities provided in the shower. Other services and amenities of the rooms at the hotel include the availability of express checkout for videos, sprinklers and a smoke detector for the safety of the guests. There is an iron and ironing board for those that find themselves in need of one and cribs can also be obtained. Guests may also obtain customized wake up calls. The hotel offers an office/telecom are for guests that require them. The area consists of two dual lined speaker phones with voicemail and a data port line. The rooms have an alarm clock guests should find fairly easy to program and both wireless and wired access to the Internet. There are even options for dining at the aloft Birmingham Soho Square Hotel. The facility offers complimentary tea, coffee and bottled water. The rooms also come equipped with a small refrigerator. There may be some amenities that are not found in all of the hotel's rooms and a fee could apply for some services or amenities found at the facility. There is even a twenty-four hour a day seven day a week facility where guests can have a drink or a snack while at the facility any time the mood strikes them. There is six hundred and fifty square feet that can be used for meetings at the hotel. The facility can be used as a board room with a table that seats up to fifteen or up to forty people can be accommodated by using the room in conjunction with the same sized patio. There is an audio visual setup that includes a 42inch television that can be used with both a DVD player and a laptop. There is even complimentary Wi-Fi service at the facility. Anyone wishing to obtain additional information about the aloft Birmingham Soho Square in Homewood, Alabama should contact the facility directly."
"Arthur R. Outlaw Convention Center","Alabama","Arthur R. Outlaw Convention Center - Mobile, AL - meetings, exhibits and specialty services","The Arthur R. Outlaw Convention Center is located at 1 South Water Street in Mobile, Alabama. SMG which was formed during 1977 manages the facility. The center has two hundred and eighty-six parking spaces below the Mobile Convention Center and fifteen hundred and fifty across from the building. A skywalk connects the lot to the center making all of the parking convention to have even larger gatherings at the facility when the weather is not ideal. There are two main entrances to the Arthur R. Outlaw Mobile Convention Center that are both on Water Street. There are covered canopies at the Water Street shuttle stop; Government Street has parking level accessibility to the facility. There is an elevated skywalk to allow the hotel to be accessed by Water Street. The proximity to the hotel means that you can have your function and your guests can get ready before the function and return to the hotel afterward to rest. The Exhibition Hall at the center has a ceiling height of a thirty foot minimum. There are columns in the center and there is a 350 pound per square foot capacity for floor loads. The pre-function space at the convention center can be used for accommodating registration and a number of special events. The facility is handicapped accessible which means that you can hold events in any portion of the center and not have to worry about whether or not your guests can participate. The convention center has catering services to assist with small meetings or large banquets. There can also be dinner functions held in the Exhibit Hall. There are two permanent concession stands in the exhibit hall which has both outdoor and indoor seating. The concourse level offers service corridors in addition to a full service kitchen. Mobility and flexibility is offered with the availability of portable concession carts. This means that groups of all sizes can hold their event at the facility. The complete center has a master antenna television distribution system available. In the event of an emergency the Exhibit Hall has a first aid station. There are twenty-five instruments available in each utility box of the Exhibit Hall's telephone conduit system. Arthur R. Outlaw Mobile Convention Center offers over three hundred thousand square feet for gatherings. The center is on the Mobile River and provides a number of services and amenities to ensure the success of functions held there. There are two exhibit halls, six meeting rooms, a registration area and outdoor river terrace area for the convenience of visitors. The center also has two ballrooms, ten meeting rooms, a larger outdoor river terrace area and registration area on the concourse level. Outside exhibits can also be held at the parking level for the center. Additional information about the Arthur R. Outlaw Convention Center such as fees, amenities and directions can be obtained by contacting the facility directly. Contact the center directly for additional information about holding performances, reunions, dinners and any other event that comes to mind."
"Ave Maria Grotto","Alabama","Ave Maria Grotto - Cullman, AL - the world's religious history is brought to life","Located in Cullman, Alabama the Ave Maria Grotto is a four acre landscaped park in the St. Bernard Abbey's old quarry grounds. One hundred and twenty-five miniature reproductions of the world's most recognizable religious structures can be found in the garden setting. February 24, 1976 the garden was put on Alabama's Register of Landmarks and Heritage and during January of 1984 it was put on the National Register of Historic Places. A Benedictine monk of St. Bernard's, Brother Joseph Zoettl, created the concrete and stone models of the Ave Maria Grotto over fifty years; the years from 1931 until 1961 he was able to work uninterrupted. The creations are made with parts of discarded cold cream jars, plastic animals, marbles, sea shells, costume jewelry, bricks, tiles and other discarded building materials. Brother Joseph was born in the Bavarian Kingdom during 1878 and got a hunchback when he had an accident that maimed him. When he was a teenager he immigrated to the U.S. and settled in northern Alabama. Shortly after he settled he started to study at St. Bernard's Benedictine monastery and in 1897 he took his vows there. Withdrawn and quiet even by the standards of a monk he ran the power plant at the monastery and rarely left the state up until he died during 1961. The Ave Maria Grotto's displays are spread out on the winding forested trail past a number of buildings in the steep hillside. Roman Catholic monasteries and cathedrals including the Sanctuary of Our Lady of Lourdes, Monte Casino Abby and St. Peter's Basilica in addition to scenes depicting ancient Jerusalem are the main features of the displays. Scenes and buildings from the Holy Land are featured on half of the hillside. There are some pagan temples and secular buildings on display at the garden as well. There are South African shrines, the power station for St. Bernard Abbey, Spanish missions, and Hansel and Gretel's Temple of the Fairies among the displays. The various attempts that people have made to build towers to the heavens are shown with an image of the Tower of Babel close to the where the path starts. Brother Joseph's thankfulness for the amount of support that he got while he was building the sculptures is shown with the Tower of Thanks near the end of the trail. The Ave Marie Grotto located at 1600 St. Bernard Drive SE is open each day from nine in the morning until six in the evening from April through September. During the months of October through March the facility opens at nine in the morning and closes at five in the evening. Regular rates for admission are $7 for adults, $4.50 for those aged six to twelve and $5 for senior citizens. Those aged six and below are admitted free with an adult. The rates for admission to the Bloomin' Festival held during the month of April are $2. The rates for group admission are $5 for adults and seniors, $4 for high school students and $4 for elementary students."
