Name,State,Title,Description
"26 Glacier Cruise","Alaska","26 Glacier Cruise - Whittier, Alaska - Alaska Cruise on the Klondike Express","26 Glacier Cruise takes passengers around the glaciers of Alaska starting from Whittier, which is approximately 60 miles from Anchorage International Airport. The cruise operates every day between May and September aboard the fastest and largest catamaran in the state, the Klondike Express. The boat sails through the protected waters of Prince William Sound and provides passengers with great views of the glaciers and wildlife as well as narration by a US Forest Service Ranger. The Klondike Express is a 137 foot high catamaran that can hold 342 passengers on three decks, two of which are enclosed and heated. It has comfortable upholstered booths with tables and large windows at every seat to ensure passengers get a good view at all times. The non smoking vessel also features a saloon, snack bar, gift shop as well as seven restrooms and a hot lunch is provided as part of the experience. Departing from the city of Whittier on the northeast shore of the Kenai Peninsula, the catamaran takes passengers 145 miles through the passageways of Prince William Sound. It begins by heading east through Passage Canal to the Egg Rock sea lion rookery in Port Wells before moving on to Esther Passage, a scenic area where only small ships can pass through. The high mountains surrounding this small passage protect it from high winds and rough seas, and here many different types of wildlife can be seen such as bald eagles, sea otters, the occasional puffin and even whales. Moving on to College Fjord the catamaran heads north providing passengers with wonderful views of the glaciers, which were named after the Eastern Colleges during the Harriman Expedition of 1899. Edward Harriman was a rich and powerful man in the U.S who owned several railroads, but on advice from his doctor to rest he set off on a two month journey from Seattle along the coast of Alaska and on to Siberia. Harriman was joined on the trip by various scientists, naturalists, photographers and artists from various colleges. The cruise moves on to Surprise Glacier and Barry Arm located in Harriman Fjord and then up to the front of the glacier so passengers can see house size blocks of ice rising from the sea. As the vessel heads back to Whittier there is a stop at another rookery, where passengers will see many of the 10,000 kittiwakes that inhabit the rocky cliffs here. From the rookery the catamaran heads back to the marina at Whittier, which is just a five minute journey. The cruise departs from Whittier at 12.30pm and returns by 5.30pm although on some Mondays and Saturdays there are sailings from 1.15pm, returning at 6.15pm. If driving from Anchorage to the Whittier Tunnel staging area, passengers should allow for a journey of about one and a half hours. Alternatively there is the option of a comfortable journey here via the Alaska Railroad and Magic Bus, which pass through the scenic Turnagain Arm and Portage Valley."
"5th Avenue Mall","Alaska","5th Avenue Mall - Anchorage, Alaska - Shopping Center","5th Avenue Mall is located at West 5th Avenue in the heart of downtown Anchorage, Alaska. Opening hours are 10am to 9pm Monday to Friday, 10am to 8pm on Saturday and 11am to 6pm on Sunday. The parking garage at this shopping center is one of the largest downtown, offering six levels of parking. The site is managed by the Simon Property Group (SPG), which is the largest public U.S real estate company with nearly 400 developments in the North America, Europe and Asia. One of the company features is the Simon Visa Giftcard which can be redeemed within any Simon mall and anywhere Visa Debit cards are accepted. 5th Avenue has five levels and is anchored by department stores JCPenney and Nordstrom. Many of the mall's stores are exclusive to the center within the state of Alaska Amongst the many stores in the mall there are many ranges of products such as clothing, sportswear, entertainment items, home dycor and jewelry. There are many well known fashion and shoe stores including Alaska Walking Store, American Eagle Outfitters, Banana Republic, Gap, Foot Locker, PacSun, Wet Seal, whilst there are also many accessory stores including Bottoms, Circular, Claire's, J-N-S and Sunglass Hut. Clothing and other items for children can be purchased at Gymboree and Kiddywinks. Nine jewelry retailers can be found at this shopping center too with names including Fred Meyer Jewelers, Kay Jewelers, Urban Vibe and Zales Jewelers. There are six health and beauty shops open for business such as The Body Shop, GNC and L.A Style and Retail Center. Other stores selling cards, gifts, books and stationery include A&H Hallmark, Alaska Wild Berry Products, Downtown Co-Op, Once In A Blue Moose, Style of Russia and Walleen's Northlight Gallery. There are a few services provided at the shopping mall including jewelry repair, hairdressing, a nail spa and a Christian Science Reading Room. Communication companies set up at the center with their own stores include AT&T and ACS Wireless. Children can be kept amused at various toy stores including a Build a Bear Workshop, GameStop and Northwind Kites and Games. Several dining options are available at this shopping mall, which has a food court on the fourth level, whilst on the street level there is a restaurant with waiter service called Sullivan's Steakhouse. Order at the counter restaurants includes names such as 5th Avenue Deli, Famous Wok, Subway and Villa Pizza. Visitors can also purchase food items from Burgers Wings & Things, whilst there is a cafy at Nordstrom on the 2nd floor. There is a customer service desk on level 2 for visitors requiring information about the mall or the local area. On level 1 is the security desk where lost and found is located and guests will be able to borrow wheelchairs here too on a first come first served basis. Strollers can be rented on Level 1 by the JCPenney Entrance and stamps can be purchased at the U.S. Postal Store located on Level 3 near JCPenney."
"A Celebration of Alaskan Flight","Alaska","A Celebration of Alaskan Flight","Those who would like to learn about the history of Alaskan flying will love a visit to the Alaskan Aviation Heritage Museum in Anchorage. The mission of the museum is to ...preserve, display, and honor Alaska's aviation heritage. The carry on this mission through numerous displays of aircraft, both current and historic, flight memorabilia, and aviation artifacts. Programs at the museum are intended to foster interest in aviation, both historically and as a career. The museum also makes an effort to establish relationships with area educational institutions. This gives students a chance to learn about and appreciation the pioneers of Alaskan aviation, as well as the amazing developments that have occurred over the years. The museum helps educators organize fieldtrips that expose students to many facets of aviation. Located at the museum are multiple theatres that show movies concerning technological and historical developments in Alaskan aviation, as well as an art gallery, multiple flight simulator experiences, and ongoing restoration projects. The museum is available for rent for special events and is a popular destination for meetings, receptions, and private parties. The museum is open seven days a week during the summer months, but is closed on Mondays and Tuesdays during the winter. Admission prices range from $3 - $8 and there are discounted rates available for groups, seniors, and students."
"A Gallery in Juneau","Alaska","A Gallery in Juneau","Like many cities in Alaska, Juneau has numerous galleries and art destinations that are loved by residents and visitors. The Juneau Artists Galley is located downtown on the ground floor of the Senate Building, within walking distance of many Juneau attractions. The ownership of the gallery belongs to a group of local artists. They show their own work, as well as works from a variety of other local artists. The gallery is open year-round, from 9 am until 9 pm during the summer, seven days a week, and 11 am until 6 pm, Tuesday through Saturday during the winter. Artwork on display includes stained glass art, fused glass art, original bead art, pottery, pencil drawings, ceramics, oil painting, textiles, and mosaics. There are also intaglio etchings, watercolor paintings, lampwork, mirrors, knitted, quilted, and crocheted handbags, jewelry, and designer scarves. Artists-owners of the gallery use the space for working and showing their pieces. The gallery participates in Juneau's First Friday Gallery Walk which is the first Friday of each month. It includes area galleries and the shops in the downtown area. To celebrate art in the Juneau community, head to the Juneau Artists Gallery."
"A Golfing Challenge within the Alaskan Wilderness","Alaska","A Golfing Challenge within the Alaskan Wilderness","Moose Run Golf Course offers golfing visitors a choice of two exciting and very challenging courses. The Hill Course and the Creek Course at Moose Run combine for the World's Northernmost 36 hole golf course. Tucked against the base of the Chugach Mountains, both courses offer breathtaking views. Moose Run is a military course that is open to civilians. Golfers will experience a game of golf amidst endless splendor and wildlife. Visitors can expect to see a number of animal species while they ride around the courses. The Hill Course, as its name suggests, takes the golfer over gently sloping terrain on the front nine and more level ground on the back nine. While this wooded course has postage stamp sized greens, the fairways are spacious and forgiving, making a round of golf fun as well as challenging. Creek Course is so named because of Ship Creek that wanders through and next to some of the greens. The Creek Course is believed by many to be the most challenging golf course in the state. Its total length of 7,300 yards makes it the longest golf course in Alaska. Long hitters will enjoy the challenge of hole number 11, a 640 yard par 5. Moose Creek features a full service golf shop to meet the needs of guests."
"A Part of the Anchorage Museum","Alaska","A Part of the Anchorage Museum","The Rasmussen Center is the portion of the Anchorage Museum that lies further inland and offers free admission to visitors. The museum strives to bring ... the best of Alaska to the world and the best of the world to Alaska. The museum features displays that teach lessons in science, art, and history, and many of them have an Alaskan focus. Visitors appreciate the efforts of the museum to bring Alaskan history to life with over 2,500 historical and cultural objects, as well as photographs, books, and maps. There is also a schedule chock-full of special events including classes, lectures, and demonstrations that help kids and adults have their interest sparked when it comes to history. In addition to the displays at the museum, there are also opportunities for research and learning. Local educators and researchers will love getting their hands on so many things that can help them teach and experience history. Alaskan history is filled with stories of courage and survival, and to appreciate this you must try to experience it. The Rasmussen Museum helps visitors do this with displays and lessons that are both entertaining and educational. Whether you are a visitor to Alaska or you have lived your entire life in the state, the museum makes a great afternoon outing for individuals and families."
"A River Runner's Dream Destination","Alaska","A River Runner's Dream Destination","Six Mile Creek is a 10 mile watercourse with some of the most exhilarating whitewater rafting in Alaska. The creek is located in the northeastern section of Kenai Peninsula Borough, just across from the Municipality of Anchorage. The Creek begins at the top of Turnagain Pass adjacent to Seward Highway. Bertha Creek and Granite Creek connect to become Six Mile Creek. The Creek flows past the small town of Sunrise along Hope Highway. Whitewater enthusiasts have been testing their skills on the Creek for over 20 years. Commercial whitewater operations are required to obtain permits from the U.S. Forest Service. As water levels change the peaceful little creek can quickly change to a violent Class V river. Unfortunately, there have been some fatalities over the years so extreme caution is to be exercised before attempting to challenge the river. The Creek drops over 50 feet per mile as it courses out of the Chugach Mountains. Safely running the river's constricted corridors takes a synchronized team effort with technical and careful paddling. There are less intense sections of Six Mile Creek where paddlers can take in the splendid beauty of the surrounding canyons and the cascading waterfalls pouring down the side of the valley. Six Mile Creek was mined for gold during the early 1900s and still has a many active claims mined to this day."
"A Rugged, But Beautiful Adventure","Alaska","A Rugged, But Beautiful Adventure","Switchback Trail is a hiking trail not for the faint of heart. Climbers have to ascend through the little switchbacks and precipitous woodland landscape to connect with the Glacier Lake Trail. The trail includes stipulations of trekking and hiking gear as well as professional guide tours to the trail. Through such incredible sightseeing venture hearty travelers can get up close and personal with the nature's splendor and the seemingly limitless area of mountains and forests. This small trail system is located in south central Alaska's Kenai Peninsula. The town of Homer is about a 45 minute flight, or picturesque five hour drive from Anchorage. Home is the largest of several communities huddled around Kachemak Bay. The beauty of the surrounding mountains is almost beyond words. The snow covered Kenai Range tower over the south side of the bay. To the north the 4.5 mile Homer Spit juts upward into the sky. Since no roads exist to travel from one side of the bay to the other, residents and visitors must depend on boats and small planes to take them past the end of the road. While in the area of Homer visitors often take advantage of the Bay Excursions. Bay Excursions has been in operation for over 30 years carrying tourists from one location to another along Kachemak Bay. Bay Excursions also rent kayaks and cabins."
"A Safe Way to See the Pipeline","Alaska","A Safe Way to See the Pipeline","The Alaska Pipeline is one of the most fascinating features in the entire state, but it can be difficult to access for the average tourist. If you want to see the pipeline while visiting Alaska, head to the Alyeska Pipeline Visitor Center, located nine miles north of Fairbanks. The visitor center is a great photo opportunity for visitors to Alaska, as well as the perfect place to learn about the energy supply the pipeline provides. There are hundreds of miles of pipeline and the visitors center exposes visitors to a portion of the massive structure. The pipeline begins at Prudhoe Bay and ends at Valdez. The visitor center is located at mile 449.6 of the pipeline. The center is open from May until September and features displays, informational brochures, and a gift shop. There are also displays explaining how the pipeline is cleaned. The pipeline was completed in 1977 and pumps 88,000 barrels of oil each hour. People live in small buildings along the pipeline that ensure the oil continues to flow and they also work to prevent oil spills. Along the 800 mile pipeline there are ten pumping stations. If you are visiting Alaska and you have an interest in one of its most profitable natural resources, pay a visit to the Alyeska Pipeline Visitor Center near Fairbanks."
"A Small but Peaceful Rest Area","Alaska","A Small but Peaceful Rest Area","The Susan Nightingale McKay Memorial Park is a small, diamond shaped recreational park located in rural Anchorage. The park was originally purchased by Federal Patent in 1954 named McKinley View Park. Tour buses began visiting the area and stopping by the park because of the fantastic view. In 1993, the playground was established through donations and volunteer efforts. The following year, the community requested expansion of the park and additional ground and recreational equipment were added. In 1997, the community requested a change of name for the park to the Suzan Nightingale McKay Memorial Park in honor of a local writer and teacher who died in 1996. Although rather small by park standards, this park is bordered by lush, green hedges making the nearby residential communities to the south and the shipyard below on the north bluff almost invisible. The small playground area offers the youngsters an opportunity for recreation with swings, spring mounted ponies and a wooden fun center with slide and steps. Due to its size and location the park is frequented by nearby residents and tends to be peaceful. Visitors, both young and old, enjoy the serene atmosphere and quiet picnic lunch breaks. It's an ideal location to take a break from the busy work day and read a book, or just lie in the warm sun."
