Name,State,Title,Description
"A Mountain (Sentinel Park)","Arizona","A Mountain (Sentinel Park)","A Mountain is the nickname that was given to Sentinel Peak in Tucson, Arizona because of the A that students from the University of Arizona paint on it. The road is paved with very little traffic making it a good place for training since it is only a couple miles from the University. The is a hill 1.4 miles long that climbs four hundred and ten feet with the average grade being about six percent making it approximately an eight minute climb.   The Peak's top is almost 3,000 feet high once the road loops around and rises beneath the painted A. Tucson's Parks and Recreation Department operates the Regional Natural Resource Park that Sentinel Peak Park is located in. There are no fees associated with the park although it opens at 8a.m. and closes at 8p.m Monday through Saturday. On Sunday the park opens at 8 a.m. and closes at 6p.m. A Mountain otherwise known as Sentinel Park can be found at 1000 South Sentinel Peak Road in Tucson, Arizona. The large A on the mountain is a popular place for visitors to go to look out on the town. There is even a gazebo in the park that is used for gatherings."
"A Spa for You","Arizona","A Spa for You","A Spa for You in Sedona, Arizona is one place to get premier spa treatment. A Spa for You offers massage and day spa treatments to help you relax and enjoy your natural surroundings. At the end of the day or week at the spa, A Spa for You makes certain you have relaxed and healed, according to their mission statement. All products used are 100 percent pure botanical lotions and treatments. The main premise behind a Spa for You is to customize your spa time for you. You and your partner can get a package that will take care of your body's needs. The Lafemation Clean Body and Skin Care option provides the 100 percent botanical products free of parabens, SLS, or DEAs.   A choice in spa treatments includes Japanese Facial Massage. This massage will focus on your facial balance and appearance for 60 to 90 minutes based on preferences. Sedona Experience provides a signature treatment with chakra and deep tissue massage. Sedona Glow will be a deep tissue massage, cranial sacral, and have elements of a Swedish massage. Aromi di Lucca, Trager Balancing, and Romancing a Stone are three other treatments offered at this spa."
"Adobe Grand Villas","Arizona","Adobe Grand Villas","Adobe Grand Villas in Sedona, Arizona are elegant, sophisticated, and full of luxury. Each villa has a pleasing European meets western décor with marble bathrooms, wood paneling, and comfortable furniture. All of the villas are larger than your standard hotel room. They can have one or two bedrooms for the entire family to be comfortable in. Most of the villas at Adobe Grand are 850 square feet or larger with at least one king bed. There are two fireplaces, a kitchenette, snacks and drinks are complimentary, and fresh bread is made in the villa. Television, satellite TV, DVD players, telephone, wireless internet, and private entrances also characterize the villas.  Amenities at the hotel include a couples spa, swimming pool, option of private chef dinner, and a jetted tub near a fireplace. Afternoon hors d'ouvres are included in the Adobe Grand villas rental. Room rates begin at $675 for the two bedroom, two bath luxury villa. A one king and queen bedroom villa is $399 for the start. The prices are quoted on double occupancy. Any additional person and the fee is increased by $35. The villas are situated in Oak Creek Canyon near the red rock formations."
"Aeroball Sports Courts","Arizona","Aeroball Sports Courts","Aeroball Sports Courts are located at 7620 North Hartman Lane 112 in Tucson, Arizona. An eight foot wide, fifteen foot long trampoline serves as a basketball court for the two to four man games. There is spring loaded housing inside the outer frame to provide protection for the players. Each player has their own five foot by five foot bed in the trampoline that is separated with a double walled net preventing physical contact. There are holes for the ball to pass through.   Aeroball Courts can be rented by the hour with cost ranging from $60 for one hour to $600 for ten hours. The costs of the courts can also be paid at intervals of thirty, sixty and one-hundred and eighty days at a time. Common costs are $3 for a total of five minutes with players being allowed a minute for entry and exit. The pricing schedule only takes one person to operate. Those wishing to experience basketball, trampolines and sports in a unique new way should give Aeroball a try. Additional information about hours of operations, court availability, pricing and directions for the courts can be obtained by contacting the Aeroball Sports Courts in Tucson, Arizona directly."
"Aguila Golf Course","Arizona","Aguila Golf Course - Phoenix, Arizona - Championship Golf Course","Aguila Golf Course is located at South 35th Avenue in Laveen, Arizona and is approximately 12 miles from Phoenix Sky Harbor International Airport via Interstate 17 N. This 210-acre facility features an 18-hole par 72 championship course and a nine-hole par 3 course, which were designed by Gary Panks and created at a cost of $6 million. The course operates half an hour before dawn until half an hour after dusk throughout the year, including public holidays. Aguila Golf Course takes its name from the Spanish for eagle and the logo adopts an ancient Aztec design of this bird of prey. It is also the site of the former Alvord family farm and now both courses are decorated with bunkers and flanked by native grasses and wild flowers. The 18-hole course features three lakes coming in to play on five holes as well as continuous cart paths and four sets of tees, while the nine-hole course includes two teeing areas per hole, a driving range and practice greens. Individual and group golf lessons are provided by PGA and LPGA members as well as clinics for beginners, intermediate and advanced golfers. Many tournaments are hosted here throughout the year and organizers should book a year in advance for weekend dates. There is also a 1,000 square foot state of the art Youth Learning Center equipped with teaching aides, video, audio visual, library and computers where children are taught the basics of golf for free. There is Pro Shop located here too where players can purchase various items of apparel, shoes, bags and golf accessories. The Eagle's Nest Cafe is the course restaurant with a breakfast, lunch, beer and wine menu. The restaurant is also suitable for special events and dinners with indoor seating for 50 people and outdoor tent facilities that can accommodate up to 144 people. It is recommended that golfers familiarize themselves with the course rules prior to playing at the course. For example players are expected to bring their own clubs and bag, not bring any alcohol to the golf course and they must have a valid green fee receipt. Golfers are also responsible for all damage caused by their shot or actions to other people or property on or off the golf course. Reviews provided by people who have played both the 18-hole and nine-hole courses are very favorable, stating it is very good value for money and the longer course provides an excellent challenge. There are few places located in the city of Phoenix providing accommodation approximately 11 kilometers from the golf course. These include the Comfort Inn, Las Palmas Inn and Hampton Inn. Golfers looking for a lunch or dinner after playing a round will find Italian cuisine at the Native New Yorker about three and a half kilometers away or Duners Pizza both in Laveen. Back in Phoenix visitors to the area may like to visit South Mountain Park, which is the largest municipal park in the United States and a popular place for hiking, cycling and horse riding."
"Airport Mesa","Arizona","Airport Mesa - Sedona, Arizona - Hiking Trail","Airport Mesa is a very scenic hiking trail located in Sedona, Arizona. It can be accessed by driving along 89A west for just over a mile and then taking a left turn onto Airport Road for half a mile where there is a parking lot on the left. It is approximately a 120 mile drive from Phoenix International Airport. This three and a half mile loop trail offers wonderful views of Sedona's best known red rock landmarks and is a relatively easy hike with only a slight 20 foot elevation. As a result visitors can reach the top of the knoll in just a few minutes and enjoy the breathtaking views. When visitors reach the car park there is an unmarked tangle of paths, so it is advisable to keep to the right until they find the Loop Trail sign. Appropriate clothing should be worn as the first half of the loop gets very hot during the summer as well as being very slippery after rainfall. That said in the cooler weather hikers need to bring warmer clothing and comfortable shoes, but perhaps the most important thing to remember is a camera. Many people also bring along a picnic and enjoy the views and tranquillity for several hours at a time. The views of other rocks are spectacular and include Courthouse Butte over in Oak Creek, which is just to the east of another geological formation called Bell Rock. As they walk along the trail visitors will then be able to see the amazing Cathedral Rock formation and on to the end of the Sedona airport runway, which is roughly the halfway point of the walk. Cockscomb and Chimney Rock are next followed by Capitol Butte, Coffeepot Rock and Steamboat Rock. The best times to experience a trip to Airport Mesa is early in the morning for sunrise or sunset in the evening with the vibrant bursts of orange and red in the sky. Many people believe there is an energy vortex here and at some of the other rocks helping them to feel rejuvenated. For early birds who have enjoyed the views at sunrise and taken lots of photographs they can head of to the Coffee Pot restaurant for breakfast and try one of their 101 omelettes. Reviews from visitors who have come to Airport Mesa in the past have in the main thoroughly enjoyed the experience. The little effort of the walk is well worth it as the views are terrific and could be enjoyed by people of all ages and physical ability. There is also a bi-plane tour of the area available to visitors offering a different perspective of the rocks. There are other hiking trails available at some of the other rocks such as Chimney Rock, Courthouse Butte and Cathedral Rock, which is short but steep. While in the area hikers may also like to visit Slide Rock State Park, which also has a popular swimming area. Another attraction in Sedona is a 55 minute guided tour of the town on a Trolley, providing visitors with an insight in to the history and architecture of the area."
"Ajo Country Club Golf Course","Arizona","Ajo Country Club Golf Course - Ajo, Arizona - Nine hole golf course opening in 1940","The Ajo Country Club Golf Course located in Ajo, Arizona is a nine-hole semi private and well established golf course that opened its doors in 1940. The course grounds expand over 3,093 yards. Ajo Golf Course has two sets of tees for a wide variety of skill sets and levels. The Ajo club is located along Meade Road in Pima County and is open year round due to the warm climate and mild winter weather. A driving range, rental clubs, and rental carts are available to visitors of the club. The space is wide and gives visitors the feel that they are in a large resort type golf course. Weekend specials and group rates are available to club guests and special events may be booked in advance. There is a bar situated on site that serves beer, wine, and mixed drinks and a restaurant that is popular with the locals is also located at the Ajo Country Club. Reservations are recommended and should be made well in advance. The Ajo Municipal Airport is situated nearby and provides convenience to out of town travelers. Nearby hotels also make the visitation to the club a popular weekend destination. RV dry camping is also available on site."
"Alcantara Vineyards","Arizona","Alcantara Vineyards - Cottonwood, Arizona - Located in the heart of the Arizona wine country","The Alcantara Vineyards is conveniently located along Alcantara Way in Verde Valley, Arizona. The winery is open to the public seven days a week from 11:00 a.m. to 5:00 p.m. daily with wine tours beginning each day at 11:30 a.m. This northern Arizona winery is one of the first wineries located along the Verde River and also one of the largest vineyards in all of central and northern Arizona. Due to the winery's location, many residents of Phoenix and Scottsdale travel to the region for a day trip, complete with picnicking and wine tasting. The vineyard boasts over 13,000 vines and has 12 different varieties of wine. Wine harvests at the vineyard take place in August and September and offer an event for visitors to watch and experience. Wine tasting is a popular past time at Alcantara Vineyards and for just $10 per person; guests may enjoy samplings from every available wine daily in the tasting room. The wine sampling fee also includes a take home glass with the Alcantara Vineyard logo etched on the glass. The tasting room offers comfortable and cozy ambience, with views of the Verde River cliffs. The picturesque atmosphere keeps guests coming back for more year after year."
"Allen Street","Arizona","Allen Street - Tombstone, AZ - Historic street of the Old West","Allen Street is the main business and tourist district of the famous Old West town of Tombstone, Arizona. It's full of history having once been the main thoroughfare of Tombstone during the boomtown days, so has certainly seen plenty of sights in its time. Allen Street became famous for being at the heart of the action during the time of the Old West. It saw plenty of gunfights in its day, and continues to be the primary tourist destination for tourists and Tombstone visitors. Today, it attracts people from all over who are looking for the excitement and enchantment of the Wild West days. The first stop on any trip to Allen Street should be the Tombstone Visitor and Information Center, where people can pick up a map of the area along with all the information that they need to plan their day. After that, they can head on down the Street to see what they come across. Allen Street is home to plenty of attractions, one of the most notable being the O.K. Corral. The O.K. Corral is the site of the most famous gunfight of the Old West which took place on October 26, 1881. It has daily re-enactments of the fight and is also home to the Historama, a multimedia performance showcasing Tombstone's long and varied history. After that there's plenty to choose from, including the Tombstone Ghosts and Legends Tour, guaranteed to give everyone a chill, or the Birdcage Theatre. Visitors can ride along the dusty road on the Tucson Stage Line or Butterfield Stage Coach, and can enjoy travelling as it once was with the road being closed to all other traffic. There are lots of options in terms of food and drink as well including the Crystal Palace Saloon and Big Nose Kate's, and there are countless other souvenir and gift shops along the Street for visitors to find a memento of the day. And, the Street is an attraction in its own right, with western re-enactments often being performed by the Six Gun City Players. Allen Street is open daily and entry to the road itself is free, however admission fees and opening times are sure to vary with each individual attraction. Be sure to check with the attraction first for their terms and conditions, and it's worth checking with the visitor center if you want to know when any staged gunfights and the like will be taking place. A trip to Allen Street really gives people a chance to see what life was once like in the Old West. With plenty of attractions to choose from, as well as re-enactments of famous showdowns, visitors will truly get a glimpse into the history of the time. And, with everything so beautifully preserved it really feels like you're back in the days of the Wild West, which will appeal to history fans and general tourists alike. Allen Street is a must-see for any visit to Tombstone. O.K. Corral sign - on Allen Street:"
"Alwun House","Arizona","Alwun House","Alwun House is located at 1204 East Roosevelt Street in Phoenix, Arizona. The house was build during 1948 by John Sedler a German immigrant and was purchased in 1948 by Earl Brown. Kim Moody transformed the run down structure into a place to launch artists during 1971. It was christened Alwun House because all forms of art were included.  A non-profit organization to benefit artists known as Alwun House Foundation was later formed. May 11, 1993 saw the house making its way to the Inventory of Historic Properties for the State Historic Preservation Offices of Arizona. This made the house eligible for historic registration on a national level. The art gallery is on the central floor and the basement is utilized as a multi-media theater. Alwun House's theatre produces Food for Thought which shows the reasons that growing your own food is beneficial to you. Though the years the facility has held a number of events such as art showings, music and even a series of poetry readings. Those with a true interest in art should make it a point to visit the gallery. Additional information about admission rates, hours of operations and events at the Alwun House should contact the facility directly."
