Name,State,Title,Description
"1886 Crescent Hotel & Spa - Eureka Springs AR Crescent Hotel Spa historic romantic","Arkansas","1886 Crescent Hotel & Spa - Eureka Springs AR Crescent Hotel Spa historic romantic","In downtown Eureka Springs next to the catholic church sits the 1886 Crescent Hotel & Spa. The hotel originally opened on May 20, 1886. For the first fifteen years of operation it was run by the Eureka Springs Improvement Company. It became known as a year round resort catering to society's wealthiest clientele, a cachet that lasted well beyond the Victorian Age. At this time their reputation is well known as epitomizing Southern hospitality. The hotel offers a wide range of services including several different styles of rooms, suites, penthouses, and cottages. The different styles give the hotel great diversity and allow trips to be customized to suit any occasion. Management offers several packages including birthday, anniversary, honeymoon, paranormal, neighborhood, and spa retreats. For an offbeat bit of entertainment, the hotel conducts nightly ghost tours, and has packages that include tickets to this attraction. Guests can also purchase tickets separately for $18.00 per person, and $7.00 for children under five. The tour starts at 8pm each night and moves throughout the hotel, but the tour guides are very respectful of the other guests and do not enter the rooms. The New Moon Day Spa & Salon is located inside the hotel and has a stellar reputation. The spa offers a wide range of services and packages. These include a combination of the most basic services or their most in-depth package, the Overnight, which gives you a choice of one, two, or three nights; this includes the hotel stay and a wide range of the spa's services. They also have packages that focus specifically on bridal parties. The hotel has become a popular event destination, so book early for weddings especially. Garden weddings on the grounds are particularly hard to come by but visually desirable. For more information or reservations to the hotel contact the front desk directly at (877) 342-9766."
"1905 Basin Park Hotel - Eureka Springs AR 1905 Basin Park Hotel spa retreat wedding","Arkansas","1905 Basin Park Hotel - Eureka Springs AR 1905 Basin Park Hotel spa retreat wedding","In the middle of downtown Eureka Springs one finds the 1905 Basin Park Hotel. It was opened on July 1, 1905, and owned by The Syndicate Company. The company spared no expense in the construction, lending the hotel a lasting opulence that modern guests still enjoy. It was built and furnished at a cost of $50,000.00, which was a fortune at the time (think Trump). From the very beginning life was good and interesting at the hotel. During Prohibition, the hotel served as an illegal gambling den and speak-easy. This element of its reputation did not keep both local and national celebrities and statesmen from visiting. The design of the hotel also drew guests. It has also been featured on Ripley's Believe it or Not due to the structure. Basin Valley has sharply curving walls, so the structure was built into a mountain. Each floor leads to a walking trail, and every room is considered to be on the ground floor. The hotel offers a verity of rooms and suites, and a wide variety of packages for birthday, anniversary, honeymoon and other occasions. It is, after all, a destination. The spa and Balcony Restaurant are quite popular with guests. The restaurant overlooks the downtown so visitors can watch the downtown bustle while they eat. The spa offers a wide range of services, including a posh pampering for bridal parties that includes six Swedish massages, exclusive use of the deck for three hours, hors d'oeuvre, champagne, and refreshments. In June, guests staying at the hotel for other reasons may want to check for bridal parties that can overrun the facilities. Shoulder and off-season event packages are much less crowded. For more information on their packages or for reservations contact the hotel directly at (877) 643-4972 or (479) 253-7837."
"A Museum Filled with Old Relics from the Road","Arkansas","A Museum Filled with Old Relics from the Road","The Good Old Days Vintage Motorcar Museum located in Hardy, Arizona is a car lover's dream. On display are authentic vehicles from years gone by, displaying the development and craftsmanship of the American motor industry. There are 50 total vehicles on display. The private collection includes a 1908 Sears Runabout, a 1936 Auburn Boatail sports car, a 1981 DeLorean, a and a 1915 Tin Lizzie. The museum also features a recreation of a 1920's gas station, as well as a large collection of automobile memorabilia. Hardy is a small town with a lot of charm. In addition to visiting the car museum, you can stop by the Veteran's Museum or pay a visit to Mammoth Spring State Park. If you are hungry following your museum visit, grab a bite at Frederick's Restaurant, the Italian Grill, or Cowboy's Barbeque. The nearby Blanchard Spings Caverns make a great day trip and kids will love exploring underground. Area hotels include the Riverview Motel and the Hardy's Spring River Lodge. A visit to Hardy is truly like taking a step back in time. The feel of yesteryear is alive and well throughout the entire time and the Vintage Motorcar Museum fits in well with this small town charm. The museum is open daily."
"Aerospace Education Center","Arkansas","Aerospace Education Center - Little Rock, Arkansas - Museum, Theater and Planetarium","The Aerospace Education Center is located at E. Roosevelt Drive in Little Rock, Arkansas and is approximately seven and a half miles from Little Rock Regional Airport. The center consists of a museum, giant screen theatre and an episphere planetarium. It opened in 1995 with a view to providing vital educational tools for students and teachers through interesting exhibits, workshops and summer programs. The museum has various exhibits including replicas of historic planes and space craft, which visitors can touch and read plenty of information about the evolution of flight. There is also a library with over 35,000 aerospace related books and is home to the Jay Miller Collection. This is one of the most complete collections of aviation information and memorabilia outside the Smithsonian Institution. Miller collected around 6,000 books on military aviation, civil aviation, commercial aviation, the aerospace industry in general, hang gliding, lighter-than-air craft, paper airplanes, model airplanes, home-built aircraft, space vehicles, space exploration politics, space foreign policy, aviation art, autobiography, biography, aviation and aerospace instruction, aviation history, and aviation and aerospace fiction. These were gathered over a 40 year period and include at least 300 books in foreign languages, and he also collected some 50,000 journals and magazines as well as 350,000 photographs. Miller sold his collection to the Aerospace Education Center in 1995. Visitors are also treated to video shows in the Giantscreen Theater including one about fighting some of the world's fiercest wild fires. This focuses on the brave men and women in the U.S and Australia who battle against these fires, including smokejumpers that parachute into blazes and water-bombing helicopters. Showtimes run three or four times daily from Tuesday to Saturday each week. Another film perhaps more suited to younger children is a humorous look at wildlife with singing lions and waltzing bears. Again this runs from Tuesday to Saturday with Friday night a favorite for families as entry to the museum free. There is also a film about the Egyptian pharaohs, which provides an insight into the culture, religion, medicine and daily lives of people from thousands of years ago. The EpiSphere is a 150-seater state of the art digital dome theater and planetarium that opened in 2004 and provides exciting astronomical presentations. Special educational programs are offered to students here as well, which teaches them to build and launch rockets, high-altitude weather balloons and robots. These programs run on Saturdays are taught by nationally board certified teachers as well as guest instructors including aviators, engineers, programmers and technicians in the aerospace/aviation industry. The center can be hired for weddings, meetings, conferences and other special events with tables, podium, microphones, ice and projectors available to use if required. The lobby are can be used for receptions, while the McDermott Room has 1,750 square feet of space and the Observation Gallery has even more room at 1,900 square feet. If companies want to make presentations or perhaps preview their latest advertising campaign, they can also hire the IMAX Theater, which has 254 seats or the Planetarium with 140 seats."
"Alltel Arena","Arkansas","Alltel Arena - Little Rock, Arkansas - Concert and entertainment destination in North Little Rock","The Alltel Arena has changed its name to the Verizon Arena and is located at One Verizon Arena Way in North Little Rock, Arkansas. The arena is a large and popular venue for a wide variety of concerts and shows. The facility is publically owned and operated by the Multi-Purpose Civic Center Facilities Board for the Pulaski County. Michael Marion is the arena's general manager and has successfully booked such big named performers as Elton John, Bruce Springsteen, George Strait, Tim McGraw and Faith Hill, and the Rolling Stones. The arena has a seating capacity of 18,000 and conference or meeting space of 28,000 square feet. The venue is the main focal point for the region's sporting events and entertainers. The arena is conveniently located in Little Rock with its main entrance situated just off of Washington Avenue. A loading dock service is found along Cypress Street. The main box office for ticket purchases to arena events is located at Washington Avenue across from the VIP parking lot. Group ticket sales and discounts are available through the box office. The Group Sales Department can also be contacted for group discount rates and specific event information. Tickets may also be purchased online through Ticketmaster."
"Altus Wineries","Arkansas","Altus Wineries - Altus, Arkansas - Vineyards and Wine Tasting","Arkansas is the largest and oldest wine producing state in the south with four celebrated wineries located in the city of Altus. This wine region can be found just off Interstate 40 northwest of Little Rock and east of Ft. Smith, near where the Arkansas River winds between the Ozark Mountains and the Ouachita Mountains. The fertile soil and moderate climate attracted European settlers such as Johann Wiederkehr to the area as it reminded them of the fine wine-making regions of Germany and Switzerland. Wiederkehr Wine Cellars is located on Swiss Family Drive and is open daily for tours, wine tasting, wine sales and dining. Free tours of the winery and cellars begin at 9am and end at 4.30 pm each day and take visitors through long rows of oak aging casks, to wine storage, production, and bottling areas, and finally to the tasting room where they can taste the wine. There is also a restaurant here open throughout the week for lunch and dinner with delicacies served from the French, German and Italian regions of Switzerland. Mount Bethel Winery is another family owned business located in the foothills of the Ozark Mountains. Here they produce and sell classic wines such as Merlot, Cabernet and Chardonnay as well as some varieties that are native to America such as Cynthiana,Muscat, Niagara, Concord, and Muscadine.Visitors can take a tour and learn more about the family history and buy wine from the store as well as taste the wine. Post Familie Vineyards is located on St. Mary's Mountain Road near St. Mary's Catholic Church and is open daily for wine tasting and tours from 11am to 3pm. Visitors can visit the store here Monday to Saturday from 9.30am to 6pm and on Sundays from 12 noon to 5pm. This is the biggest winegrower in Arkansas and they offer a large selection of reds, whites, rosy as well as ports, juices and jellies. On Highway 186 is Chateau Aux Arc which has 50 acres, 36 of which are planted with varieties that include Chardonnay, Cabernet Sauvignon, Zinfandel, Cynthiana, Muller Thurgau, Schreube, Kerner, Orameinsteiner, Vignoles, Syrah, Pinot Noir, Primitivo and Petite Sirah. It is open seven days a week from 10am to 5pm Monday-Saturday and 12 noon to 5pm onSundays. Wine tasting is available and there is a gift shop selling gourmet foods, whilst picnic tables are situated around the grounds for visitors to relax and enjoy the scenery. While in the area visitors may like to pay a visit to St Mary's Catholic Church, which was built in 1902 in a Roman Basilical style and is known for its paintings and ornate gold leaf work. There are a number of places to stay overnight or longer in Altus such as the St. Mary's Mountain Country Inn, Wine Country Cottage in Skillern Street and rooms are available at the Villa at Chateau Aux Arc. The Swiss Family Bistro on Rue De Cabernent is a small restaurant with seating outside overlooking one of the vineyards."
"An Amateur Chef's Dream Come True","Arkansas","An Amateur Chef's Dream Come True","KitchenCo. is a retail space loved by at-home chefs and cooks in training, but it also features a variety of cooking classes for those who want to hone their skills or learn kitchen basics. The store carries some of the most well-known brands in cook and bake ware, as well as foods, beverages, and a variety of kitchen related items. The gourmet kitchen is a great place to learn cooking skills. Classes include learning knife skills, pasta making, fondue, and full-course meal presentations. Students work with top-notch cookware and learn from some of Arkansas best chefs. Classes are held weekly and fill up quickly. There are only a dozen students enrolled in each class and refunds are only available if the class is cancelled by KitchenCo. However, they do offer students the chance to have someone fill in for your spot or give 48 hour notice you will be unable to make it. With the notice, you can apply your payment to a future class. Classes cost is usually $29.95 and some of the topics covered include West Coast wines, shellfish, knife skills, healthy cooking with chicken, soups, desserts, kid's cooking, sushi, scratch pasta, scratch bread, ethnic cuisines like Italian, Spanish, and Mexican, grilling techniques, and full-course dinners. For instance, you may prepare a salad, chicken or beef dish, side dish, and dessert, all in one class session. This is great for new cooks who are looking for one or two go-to meals they can prepare for special occasions or when they host dinner at their home. It is also a great opportunity to learn a recipe for potluck or holiday pitch-in meals. Lessons may also help you pair wine and beverages with your dishes or all courses of your meal. Residents of the area rave about the classes they have taken at the Little Rock store. Many patrons return for additional lessons following their first experience. The atmosphere is laid back and chefs are encouraged to sample their food, enjoy some wine, and chat with the local chef's who host the classes. This experience is a great way to make something that is sometimes considered a chore a lot of fun. It is a social event, so prepare to make new friends, or bring along someone you know and share the experience together. Do not forget the retails space attached to the classroom. Once you have learned several new dishes, you are going to need the tools to prepare them at home. The store sells cookware, cutlery, bake ware, various kitchen gadgets, gourmet foods, coffee and tea, and housewares like potholders and kitchen dycor. Some of the most well loved brands in cooking are available so you will have your choice of the finest materials available. You can also stock up on unique Arkansas food products, and sample gourmet tastes like dipping sauces, snacks, and prepared mixes. If you are looking for an out of the ordinary activity to enjoy in Little Rock, contact KitchenCo. and sign up for a class. You will not only have a great deal of fun, you will learn some new skills your entire family will appreciate."
"Arkadelphia Aquatic Park","Arkansas","Arkadelphia Aquatic Park - Arkadelphia, Arkansas - public family water park and tourist attraction","Arkadelphia Aquatic Park is a family fun and water park in Arkadelphia, Arkansas. Billed as Arkadelphia's Best Place for Fun in the Sun, the water park attracts over 25,000 visitors in a season. About 40% of the visitors to Arkadelphia Aquatic Park are from outside Arkadelphia, making it one of the city's main tourist attractions. Arkadelphia Aquatic Park features several rides and more than a dozen water features for the amusement of visitors. The centerpiece of the park is an 8-lane, 25 meter swimming area. The swimming area features a dedicated diving area and a 1 meter springboard, as well as three different water slides for wet fun. Each slide directs riders into a separate Plunge Area of the pool for safety's sake. Arkadelphia features three different water slides, offering varying degrees of thrills and fun to visitors of all ages. The drop slide is a closed tunnel slide that plunges directly down for high speed and maximum impact. The open flume water slide twists and turns its way allowing riders to build momentum before hitting the water at high speed. For the small fry, Arkadelphia Aquatic Park features the Frog Slide, an open slide that's designed especially to cater to the small ones. There's just enough thrill to appeal to the kids with all the safety features that moms want. Arkadelphia also offers other water features to help visitors stay cool during hot summer days. Those include an umbrella style water fountain located in the zero-depth entry end of the pool, and four arching water sprays to tease bathers and swimmers with a constant splash. There's also a shaded bench area in the zero-depth entry area, for those who want to stay cool and comfortable in the water, but out of the sun. Children and adults alike can enjoy playing on one of the three floating structures in the pool. Arkadelphia Aquatic Park offers swimming lessons to the public with instruction by Henderson State University's Red Wave Coach, Coak Matthews and instructors working under his tutelage. Lessons include public, private and semi-private classes and coaching, and range in price according to options chosen. There are four two week sessions offered each summer, for swimmers from beginner to advanced. Arkadelphia also offers Mommy and Me swim classes for infants six months to three years along with mom. Arkadelphia Park is available for private events. Renters may reserve part or all of the park for birthday parties, corporate events and other events. Small pool parties may reserve one or more shade structures, or the entire pool for larger parties. Arkadelphia Aquatic Park is open Memorial Day through Labor Day, 1:00 p.m. to 8:00 p.m. Monday through Saturday, 1:00 p.m. through 5:00 p.m. Sunday and Wednesday. Admission is $5.00 for adults, $4.00 for children and seniors. Prices of admission and hours of operation may vary. For latest details and accurate information, call Arkadelphia Aquatic Park at 870-246-2747."
"Arkansas Air Museum","Arkansas","Arkansas Air Museum - Fayetteville, Arkansas - Museum Featuring Historic Aircraft and Exhibits","Arkansas Air Museum is located at South School Street in Fayetteville, Arkansas and is just a short walk north of the Drake Field commercial aviation terminal. Drake Field is located on U.S. Highway 71 at the southern-most point of Fayetteville and the museum can be easily found by looking for the red and white aircraft beacon tower. Opening hours are 11am to 4.30 pm Sunday to Friday and 10am to 4.30pm Saturdays with the museum remaining closed on Thanksgiving Day, Christmas Day and New Year's Day. The museum first opened to the public in 1986 in one of the few remaining all wooden hangars from the Second World War era. It is now the largest air museum in Arkansas and was built as a tribute to the state's rich aviation history as well as coinciding with the 150th anniversary of statehood. Nowadays the museum provides a history of manned flight with of course its aircraft, engines, artifacts and exhibits. Many of the aircraft housed here are still airworthy with examples dating from both World Wars, Vietnam, the Apollo rockets and much more. The collection here is always rotating as the aircraft are owned by private collectors and taken to air shows across the country. Therefore, no guarantees can be made about which aircraft visitors will see when they visit the museum. One of those planes seen at air shows around the country is the LearJet 23, which was built in 1964 and is perhaps one the most modern craft to be seen here, along with 1960s helicopters. The Stinson S Junior is one of the older planes on display here and was built around 1928, and visitors can also see the Boeing-Stearman plane that helped trained U.S pilots during World War II. There is also an international presence here with a replica of an early British plane used in World War I. There are many more examples of aircraft at the museum as well as rare engines that are workshop mounted and fully accessible, including some special manufacturer's cutaways that show the inner working. Here visitors will see examples of aircraft engines such as the Allison J3, which is a direct descendant of the famous jet engine design of Frank Whittle. Also there is a Rolls Royce engine, the Double Wasp, the X-Power from the 1950s and a rocket engine design that was part of the Saturn booster program in the race to the moon. Numerous exhibits are featured here too that take visitors through the decades of aviation and each telling a different story, from World War I to the Space Shuttle program. Some of the exhibits are about personal achievements in aviation history such as that of Louise Thaden, who was the first woman to win major flying events, whilst another is about a local hero Richard Covey, who took part in shuttle missions. The story of Drake Field during World War II is also conveyed at the museum as well as other aviation archives from Arkansas' past."
"Arkansas Arts Center","Arkansas","Arkansas Arts Center - Little Rock AK - Children Theater Art Classes","The Arkansas Arts Center in Little Rock is the largest and best known fine arts center in the state. With several galleries, programming for all ages, and a focus on engaging the community in art, the Center continues to grow and expand. Located in well-known MacArthur Park, the museums and galleries of the Arts Center pull in a strong and loyal crowd year after year. The Arts Center is particularly noted for its support of Children's Theater. By Children's Theater, they don't mean child actors and actresses, but rather performances aimed at specifically at child audiences. Each year three or four productions are put on for the kids. Recent performances covered nursery tales, popular children's fiction, and musical performances targeted to children. For adults, the focus is on the art. The museum focuses on collecting works of art on paper as opposed to canvas or plaster.  Most of the collection is from American and European sources, and like many museums in the South the collection is built primarily through purchases rather than donations or bequests. For both adults and children the Center hosts a museum school, which teaches arts and artistic crafts of all kinds. Metal working, pottery, watercolor - there are programs on nearly every art form. Some take the form of long classes, while others are one day seminars with guest artists. Advance registration is needed for many of the classes, which are usually held on the grounds. Special summer programs supplement the Children's Theater offerings to bring kids to the museum. Enroll early - they are hands on and sell out quickly! The Arkansas Arts Center is closed on Mondays and the major holidays. The regular schedule is 10 - 5 pm. While there is a charge for some of the special exhibits and traveling shows, the regular collection is free to the public. Parking at the Center is also free of charge."
