Name,State,Title,Description
"16th Street Mall","Colorado","16th Street Mall - Denver, Colorado - Shopping Mall","16th Street Mall is a pedestrian and transit mall situated at 16th Street in Denver, Colorado. It is 1.25 miles long and runs along 16th Street in downtown Denver, from Wewatta Street to the intersection of 16th Avenue and Broadway. 16th Street was a shopping destination with four major department stores before it officially opened as a mall in 1982 and has since been extended. There are many shops and restaurants located at the mall, including more than 50 at Denver Pavilions, which also features a 15 screen United Artists Theater with the latest film releases. Open from 10am to 8pm Monday to Saturday and noon to 6pm on Sunday this three story shopping center features many stores including Barnes & Noble, Forever 21 and Niketown on the first floor, Banana Republic and Gap on the second and Lucky Strike Lanes bowling alley on the third with the cinema. Dining options include Hard Rock Caf, and Maggiano's Little Italy both situated on the first floor. The Tabor Center at Lawrence Street is a two-block long retail center and features amongst many other things The Cheesecake Factory and is open from 10am to 7pm Monday to Saturday and is closed on Sundays, although bar and restaurant hours may vary. There is a mix of shops and services provided here as well as the Westin Hotel and numerous bars and restaurants such as the Palm Restaurant, Purple Martini and Ling & Louie's Asian Bar and Grill. Shops here include Russell's Convenience Store, Mountain Computers and Christopher & Banks, whilst there is also a fitness center called Dumbbells situated on the second floor of the office tower. Visitors can find many sidewalk cafes along 16th Street Mall including Starbucks, Corner Bakery and Paramount Caf,. The MallRide is a free and easy way to travel up and down the Mall, and around Downtown. This shuttle service runs approximately every 2 minutes with the buses stopping at every corner between Broadway and Wynkoop Street in Lower Downtown, starting at 5am Monday to Friday with the last complete trip at 1:35 am As a pedestrian and a transit street, bicycles, skateboards, roller blades, scooters and other wheeled vehicles are not allowed on the mall, except at certain times, or by permit. However, it is open to bicycles, skateboards, and roller blades on Sundays. Pedicabs and horse carriages operate on the Mall after 6 pm Monday to Friday, and all day weekends and holidays. Visitors can obtain helpful information on Downtown Denver from two kiosks located on the 16th Street Mall, with staff able to provide directions and guidance on the area. One is located in the median between Welton and Glenarm in front of Denver Pavilions, whilst the other is at the pavilion in Skyline Park, between 16th and 15th and features a small caf,. For information about events and places to visit outside Downtown, visitors should seek out the"
"A Colorado Hotel with Resort Amenities for All Tastes","Colorado","A Colorado Hotel with Resort Amenities for All Tastes","If you are searching for a luxury hotel that offers access to all of the best Colorado offers, consider staying at the Westin Riverfront Resort. The hotel is right in the center of the Vail Valley which is one of the best known destinations in the Rocky Mountain area for gourmet dining, world-class shopping, and the best skiing in North America. The resort features direct access to skiing via their Riverfront Express Gondola, so you barely need to lift a finger to be at the base of the mountain. The guest rooms are decorated with stylish mountain themed, modern decors. The warm colors and cozy fabrics will have you feeling as if this is a home away from home. You can choose from one of several guest suite styles including Traditional, Studio, and one, two, and three bedroom suites. All of the suites have kitchens and fireplaces. In addition to the comfortable accommodations, the hotel features common areas filled with its signature calming white tea scent, warm lighting, botanical arrangements, and relaxing music. Westin makes an effort to make you feel not only at ease, but elegant and peaceful too. One of the major attractions of this resort is the spa. There are few things better than a day of skiing followed by three or four days of luxurious spa treatments. Upon arrival, you are warmed with heated compresses while you choose your exclusive blend of essential oils for your massage. Choose from a 50 or 80 minute treatment, and consider experiencing the Rollerssage, performed with crystals for a penetrating massage that also targets your chakras. The Heavenly Body massage combines kamani oil, orange and juniper oil, and walnut extract to create a healing cream that will de-stress and restore your tired muscles. You can also opt for a shorts Heavenly Hands and Feet massage, that will soothe those tired tootsies following a day on the slopes. Massage and spa services are available for both women and men. The goal of the spa is to not only make you feel good, but help you create well being in your body and spirit. For those who prefer spa services in the privacy of your hotel room, technicians will supply a spa basket with flowers, snacks, water, oils, and music. Even with all of the spa services, this is Colorado, and that means winter sports. From heli-skiing to snowboarding, the Westin is near it all. The conditions are idyllic and from the moment you check in and view the mountain from your guest suite, you will have an itch to get out on the slopes. Enjoy the ride at Whistler and Blackcomb mountains at this world-class, award-winning resort. During the summer months the fun does not end. There is plenty of golf to be had, and each of the locations are more challenging and breathtaking than the last. Courses have been designed by Bob Cupp, Sam Snead, Robert Trent Jones, Jr., and Jack Nicklaus. As expected, this is world-class championship golf you will remember for many years to come. Whether you need an adventure vacation filled with skiing and golf, or you are looking for a place to relax and unwind, the Westin Riverfront Resort is your place."
"A Location that Captures the Essence of Colorado History","Colorado","A Location that Captures the Essence of Colorado History","Located in Leadville, Colorado, this homage to mining takes explorers back through the heyday of the gold rush era. The National Mining Hall of Fame and Museum shows the history of the people who pioneered the discovery and utilization of one of the nation's most valuable natural resources. This museum is the only federally-chartered non-profit national mining museum. Admission to the museum is $7 for adults and $3 for children ages 6 through 12. There are family and group rates available, and becoming a member of the museum entitles you to discounts and other special benefits. In the museum you can explore a number of displays and stories including a mining town model railroad. This railroad runs around and through a miniature mining town and gives train lovers and those interested in mining history a look into the life of a mining town, in miniature. The mining dioramas feature 22 intricate displays created by wood-carving artist Hank Gentsch. They depict the history and lifestyle of gold mining and will fascinate children with their tiny hand-carved details. There are numerous murals by artist Irving Hoffman that are painted snapshots into the historical moments in mining history. The museum is separated into display rooms, and features a crystal room filled with specimens of gold, silver, ore, minerals, and specimens on loan from the Smithsonian Institution and the Harvard Mineralogical Museum. Whether you are interested in mining, or you have a fascination for crystals and natural gemstones, this room will fascinate you. Also be sure to spend some time in the mineral exhibit room. The Peschel Collection is a fascinating display of ceremonial axes that were in use by German miners between the 12th and 18th centuries. The museum features a gift shop which is a great place to pick up a gift from your trip through mining history. Far more than just a souvenir shop, the gift shop features a collection of gifts that educate and entertain. The Book Nook offers a variety of mining literature, the jewelry area offers numerous pieces designed with the gold, silver, and gemstones featured in the mines and at the museum, and the fine area collection which offers pieces created by local artisans in the Colorado area, depicting the beautiful landscapes of the area and the mining culture. Also check out the Mother Lode Art Gallery where you can explore artwork by local artists inspired by the landscapes and history of Colorado. The National Mining Hall of Fame's website is a great resource for teachers and future visitors to enjoy. It offers information about many of the displays, posts the details of sponsor members of the museum, and offers some insight into the history and culture the museum features. If you will be taking a school group, or your own children, to the museum, it is a good idea to prepare them for the experience by browsing the website and discussing what they will learn before their trip. For a special view into the mining history of Colorado, visit the National Mining Hall of Fame in Leadville, Colorado."
"A Place for Learning About Fish","Colorado","A Place for Learning About Fish","This Colorado fish hatchery established in 1889 is the second oldest federally operated hatcheries operated today. It is located on over 3,000 acres near the city of Leadville, Colorado and the subalpine forest makes it the perfect spot for trout production due to its cold, clean water supply. The hatchery counts among its fish Snake River cutthroat trout, greenback cutthroat trout, and rainbow trout. While a fish hatchery may not be the first thing on your list of must see destinations, visiting Leadville's hatchery is exciting for visitors of all ages. The hatchery is open to the public and gives you a close up view of the fish production process. It receives about 36,000 visitors each year and there is a volunteer run Visitors Center. Tours can be scheduled to groups. There are several public fishing festivities that go on in the Leadville area and the hatchery participates in all of them. There is the Annual 5th grad Pathways to Fishing Program. The hatchery also supports the Leadville 100 and Fish Hatchery 5K race. In addition to the hatchery, visitors to the area can enjoy fish feeding, hiking, a picnic, bird watching, photography, snowshoeing, and cross-country skiing. Hikes through the wild may expose you to blue birds, great blue herons, hawks, juncos, eagles, waterfowl, deer, elk, raccoons, porcupines, fox, and pine martins. Educational tours and programs are offered throughout the year for the general public and for school groups. The hatchery was originally used to produce trout distributed over all of the Rocky Mountain region. There were also fish put into The Black Hills area and parts of Wyoming that featured no native trout. Today, at over 120 years old, the Leadville hatchery provides trout for anglers throughout the Rocky Mountain Region. The main building is still used today and it is made of native red sandstone. Over 30 stonemasons were required to construct the building and at the time was described as the most magnificent building in western Colorado.'' Whirling disease has brought a number of changes to the hatchery. There are no longer ponds with earthen bottoms used because of contamination. To make up for the lost capacity, eight new concrete raceways were constructed for trout rearing. They also built a water treatment plant in 2004. This plant is home to two drum filters, four UV radiators that remove any traces of the disease from the water, and two disc filters. The hatchery has been certified as whirling disease free for nearly five years running. After your tour of the hatchery, head into Leadville for some relaxation, dining and fun. Restaurants include the Golden Burro Cafy and Lounge, the Halfmoon Delicatessen, Gringo's Restaurant, Manuelita's, the Silver Dollar Saloon, and The Grill Bar and Cafy. These numerous dining options offer visitors to Leadville a variety of cuisine choices and price ranges. If you are traveling through Leadville, or you are an angler with an interest in the care and stocking of trout, the Leadville National Fish Hatchery is a great place to visit."
"A Ski Resort the Entire Family will Love","Colorado","A Ski Resort the Entire Family will Love","In Pagosa Springs, Colorado, the Wolf Creek Ski Resort features fun for the entire family. This is a high alpine ski resort. The base measures 10,300 feet and the summit is 11,900 feet. The vertical drop is 1,604 feet and there are 1,600 skiable acres in the resort. Slopes leans slightly toward intermediate skiers, but it is pretty evenly balanced with 20% dedicated to both beginner and expert, and 25% dedicated to advanced. Weather conditions change in the blink of an eye in this area, so be prepared. The longest run is two miles and there are 465 inches of annual snowfall. Lifts include one double, two triple, one quad and one quad detachable, one high speed Pomo lift, and one magic carpet. The area can comfortably handle 4,500 skiers at a time. The resort rents equipment and you can choose yours in the Sports Center across from the ticket office. They add new inventory each season so stuff never gets too worn. There are over 3,000 pairs of skis on hand, as well as 400 snowboards in the Boarder Dome rental area. If you are ready to buy your equipment, you can shop at the Sports Center building where Treasure Sports is located. There is everything you need, so whether you are replacing old equipment, buying something you forgot at home, or committing to a new winter sport, it is here. Shop mittens, gloves, helmets, and sun block for all you need on your trip. The Wolf Creek Ski School offers classes for beginners, groups, kids, and private lessons. This is a great way to get started on the slopes or learn a few new tricks if you are not new to the scene. If downhill is not your thing, try some cross-country skiing. There are ten kilometers of trails and you can ski the 4 kilometer route around the meadows, or the 6 kilometer trek down to the Alberta Reservoir. Tracks are groomed on the regular basis and snowshoers are welcome to use them as well. For parents who need an child-free afternoon for skiing, there are facilities available in Pagosa Springs and South Fork. Recommendations can be given by the resort, but there are no facilities on-site. After a day of skiing, you have no doubt worked up a hearty appetite. Try one of the resorts numerous eateries including The Wolf Creek Lodge and Outside. This is a full service cafeteria great for grabbing a bite before heading back out to the slopes. Their menu includes soups, chili, baked potatoes with a fixin's bar, hot entrees, and three varieties of quiche. You can also order from the grill which features hamburgers, hotdogs, bratwurst, and deli sandwiches. Coffee, hot cider, hot chocolate, and gourmet teas and soft drinks are available for drinking. The Prospector is located in the lower lodge and features pizza, soups, hamburgers, along with ice cream, shakes and cookies to satisfy those skiing sweet tooth. Breakfast is served from 8:30 am until 11 am and you can order omelets, bacon, French toast, and biscuits and gravy - everything you need to start a day of skiing off right. There is also a Base Camp restaurant and the Pathfinder Bar, where you will find numerous beers and ales on tap, as well as hot wine, and various mixed drinks. Wolf Creek Ski Resort is great for an afternoon under the Colorado sun enjoying the slopes."
"Adventure Ridge","Colorado","Adventure Ridge - Vail, CO - a snow park in Vail, Colorado","Adventure Ridge is a snow park that is open Tuesday through Saturday from two in the afternoon until nine at night; facilities are closed Sunday and Monday. The facilities are located at 550 East Lionshead Circle in Vail, Colorado. The facilities offer a variety of activities for families and anyone that wants to enjoy the day playing on the snow. The mountain has something for everyone. The facilities include an activity center with something for people of all ages including trampoline, tubing lanes, snowshoe tours and ski biking. The activity center can provide additional details of activities offered. There are also family programs at Adventure Ridge including dinner theater, nature night and movie night. There is parental supervision required for all activities which begin at six in the evening and end at the closing of Adventure Ridge. There are specific nights designated for all family activities at the Adventure Ridge Snow Park allowing visitors to make plans in advance. The Eagle Bahn Gondola can be ridden after two in the afternoon at no cost to foot passengers. The gondola is open from 2:30 until 9pm and tickets are sold starting at 2pm. At 2:30pm non-guided activities begin with guided activities starting when the skiers have left the mountain. Liability forms are required to be filled out by all those participating at Adventure Ridge. Tubing can be done at Adventure Ridge from two in the afternoon until nine at night. The hill is multi-laned with a dedicated lift, long runs and music to make the experience as enjoyable as possible. Sessions are an hour long every half hour and hour. The first sessions start at 2:30 in the afternoon and the last session starts at 8 in the evening. There is a minimum height of thirty-six inches required to participate in tubing; parents have to accompany children ages five and below. Ski biking is available at 4:45, 5:15, 6:30 and 7pm on Tuesday through Saturday at the facility. Children from the ages of six to twelve that are under the 110 pound weight limit can use the mini-snowmobiles. The snowmobiles are available from 2:15 until 8:15pm on Tuesday through Saturday every thirty minutes. The trampoline can be used from 2pm until 9pm on Tuesdays. With all the options offered at the Adventure Ridge Snow Park there is something for everyone making it the ideal place to take the family. Additional information about the fees at the Adventure Ridge Snow Park can be gotten by contacting the park directly. Weather conditions may cause the facility to close, operating hours and closing can be obtained by contacting Adventure Ridge directly. Anyone wishing to spend the day participating in a number of ski related activities or wanting to participate in family activities should make it a point to visit the Adventure Ridge in Vail, Colorado. Additional details about liability forms, hours of operation, times of operation and participation in the activities and any services and amenities offered should be inquired about with the staff of Adventure Ridge."
"Air Force Academy Chapel in Colorado In Need of Repairs","Colorado","Air Force Academy Chapel in Colorado In Need of Repairs","The Air Force Academy Chapel in Colorado Springs is one of the nation's unique buildings. It was designed by Walter Netsch Jr. who, unfortunately, passed away in his home in Chicago at the age of eighty-eight this past July. The chapel is a wonder of modern architecture and this is quite a feat since it was built in 1962. The dominant feature of the chapel is the seventeen spires that reach more than one-hundred feet into the sky. Many observers believe the spires resemble the wing from a jet craft placed on its end. Each spire is seventy-five feet long and weighs nearly five tons. There is a space in between each spire that is filled with stained glass. The Chapel cost $3.5 million dollars to build. The organ, religious artifacts, furnishings, pipe fittings, and decorative hangings were all purchased with money collected at USAF services and by private donations. The building was commissioned by the Unites States Air Force to be a multi-denominational place of worships for the Air Force cadets housed in Colorado Springs. Walter Netsch Jr. certainly delivered just that as there are five distinct places of worship within the chapel: Protestant, Catholic, Jewish, Buddhist and an all-faiths room. Each place of worship is designed with that particular faith's beliefs in mind. The all-faiths room is devoid of religious paraphernalia so it will be acceptable to people of various religions. Removable accoutrements are allowed to be brought into the all-faiths room for worship services. The chapel reached National Historic Landmark status in 2004. The American Institute of Architects named the chapel the 51st most popular building in the country in 2007. The Chapel was not always viewed with such awe. According to Mr. Netsch's widow, Dawn, many people felt the chapel was not religious enough and many others felt it was just downright weird. According to Duane Boyle, Air Force Chief of Program Development, the chapel has fallen on hard times. Leaks have developed between the spires due to cost restraints on materials imposed on Mr. Netsch. These leaks require constant attention and repair and cost upwards of $300,000 dollars in annual repairs. Due to the National Historic Landmark status of the chapel it, by law, cannot be demolished so repairs should commence soon. The town of Colorado Springs is also welcome to tour, or worship in, the chapel. The town is dependant on the Air Force base for much of its economy and lives in harmony with its cadet neighbors. The mean salary in Colorado Springs is slightly over fifty thousand dollars and the mean price for a home is $209,400 dollars. This makes Colorado Springs one of the most affordable places in Colorado to purchase a home."
"Alluvial Fan","Colorado","Alluvial Fan - Rocky Mountain National Park, CO - a fan shaped deposit in the Rocky Mountain National Park","The Rocky Mountain National Park has a fan shaped deposit that was formed by the flowing of streams the flattened, slowed and spread at the exit to the canyon onto the flatter plain. Lawn Lake which is at an elevation of eleven thousand feet was originally just over sixteen acres until a twenty-foot earthen dam was built on it during 1902. This increased the capacity for water in the lake to approximately 257 million gallons. The water was usually released from the dam into the Big Thompson and Fall River at Estes Park using the Roaring Fork River channel. The water in the lake was used to irrigate the land around it. The damn was neglected due to the remote area that it was in which is believed to have led to its eventual erosion. The dam at the Lawn Lake broke on July 15, 1982 at 6:30am and released an estimated 228 million gallons of water. The channel of the river overflowed carrying boulders and trees with it as it went down the side of the mountain. The Aspenglen had to be evacuated when the dam broke. The dam at Cascade Lake which was concrete and seventeen feet high failed when the water hit it and released another four million gallons of water onto the mounting. When the flooding from the Lawn Lake was done there was a scar five miles long where the flood had went down the mountain. This scar ends at Horseshoe Park with a large fan shaped deposit made up of broken trees, boulders and silt. This is what is known as the Alluvial Fan in the Rocky Mountain National Park. The debris that formed the Alluvial Fan created a shallow wetland and lake called Fan Lake when it created a damn in the Fall River. The flooding that created the Alluvial Fan in Colorado's Rocky Mountain National Park did over thirty million dollars worth of damage both in and around the town of Estes Park, Colorado which is adjacent to the park. The fan formed when the waters from the lake slowed down and spread out where the Horseshoe Park is bordered by the Fall River and a large area of fanned out debris was left behind to form a fan shape in the landscape. This area is now a tourist attraction of the Rocky Mountain National Park in Colorado. The Alluvial Fan left behind at the Horseshoe Park and the scars left on the land are still present. There is a trail known as the Alluvial Fan Trail that takes visitors to the Rocky Mountain National Park in Colorado to see the Alluvial Fan formation. Visitors to the Rocky Mountains and the surrounding area have a number of site seeing options making it an ideal place to visit. There are numerous trails in the Rocky Mountain National Park for visitors to explore and they should make it a point to explore the Alluvial Fan Trail and see the natural wonder that is the Alluvial Fan."
"Alpine Trail Ridge Inn","Colorado","Alpine Trail Ridge Inn - Estes Park, CO - a historical, seasonal facility with a wide range of accommodations","The Alpine Trail Ridge Inn otherwise known as the Estes Park Hotel is located at 927 Moraine Avenue in Estes Park, Colorado. The Inn is seasonal on United States Highway 36 West close the Rocky Mountain National Park's Southern entrance. The facility is open from May 1st through the 12th of October. The facility offers a variety of rooms each with their own unique amenities. The Inn's Western style rooms can be found in the Inn's center building. These are the economical options in a historical building and one of Estes Park's first hotels. The rooms are smaller with a cabin feel and can have one queen or two double size beds. The rooms come with air conditioning, coffee maker, microwave and refrigerator. Other amenities include wireless Internet access at no charge, voice mail on the telephone, iron, ironing board and hair dryer in addition to cable television. Some of the Western rooms only have a shower and others are interconnected. Standard rooms at the Alpine Trail Ridge Inn offers the choice of one king, two queen or two double size beds. Rooms have air conditioning, coffee maker, refrigerator and microwave. There is also an iron, ironing board, cable television, and Internet access at no charge. The telephones have voicemail and a hair dryer is provided. The Alpine Trail Ridge Inn offers balcony rooms as well with a number of other amenities including the views of the surrounding mountains. There is one unit at the facility with a kitchen for the increased comfort of families visiting the area. The family units do not all come with a kitchen although they are a little bit large than the other room choices. All rooms at the Alpine Trail Ridge Inn share some common factors such as private entrances and baths for every room. With the exception of seven of the rooms at the Inn there is parking by the room. There are no pets allowed on the property and the facility is completely non-smoking. The Inn also offers a business center at no costs to its guests. The business center is in the lobby of the Inn. It has two computers to provide Internet access and two printers are made available to guests. There is another desk and the time limit for using the computers or the printers is only fifteen minutes. The Alpine Trail Ridge Inn asks that guests refrain from utilizing the computers to play games and limit the use to business purposes only. The Inn requires that the first night of your stay be charged to a credit card when the reservation is made in order to ensure the availability of a room if you are late for your reservation. Anyone canceling their hotel reservation will be charged a cancellation fee in the amount of $25. There is a fourteen day notice required to receive the remainder as a refund. Those that cancel after the notification requirement will lose all of the deposit unless the facility can re-rent the reserved room for the nights of the booking."
"Alpine Visitor Center","Colorado","Alpine Visitor Center - Rocky Mountain National Park, CO - a visitor center in the Rocky Mountains","Alpine Visitor Center is just one of approximately half a dozen visitor centers that are located in the Rocky Mountain National Park in Colorado. The center itself is at an elevation of over eleven thousand feet above sea level. This is the Fall River Pass which is approximately two miles to the north of the highest spot on the Trail Ridge Road which is over fifty miles long so you should make a point to stop at the visitor's center for a rest when traveling this way. The center is accessible from the west and east entrances to the Rocky Mountain National Park. There are exhibits telling the area's natural history as well as an ample parking facility for the convenience of visitors. There is a gift shop, information, restaurant and restrooms in the Alpine Visitors Center which is opens approximately on Memorial Day and stays open until about the middle of October or when the snow causes it to close. The usual operating hours of the Alpine Visitor Center are from ten thirty in the morning until four thirty in the afternoon as long as weather conditions are favorable. Beside the center visitors will find a building that contains both the Trail Ridge Store and Cafy in the Clouds where they can take a break for a meal or purchase souvenirs of their visit to the Rocky Mountains. Fall River Road can be used to accesses the Alpine Visitor Center during the middle of the summer. The original building for the Alpine Visitor Center was built during 1936 and in 1938 the building was remodeled. During 1965 there were additions made to the center. During 2000 and 2001 the building underwent renovations. The facilities offer visitors a view of the Longs Peak, Estes Park and the Fall River from the southeast facing rear decks. In addition to the other facilities at the Alpine Visitor Center there is also a short trail next to it to take visitors to the overlook which is at an elevation of 12,003 feet. Huffer's Hill which got its name due to the fact that people are usually winded by the time they reach it can be reached by a stairwell to the right of the Alpine Visitor's Center. The hill takes visitors to the lookout point where they have a view of the Rocky Mountains snow covered peaks. The air is rather thin on the trail so precautions should be taken; the walk down the trail is easier than the hike up the trail. There are a number of trails, visitor centers and other amenities to make visitors comfortable in the Rocky Mountain National Park found in Colorado. The Alpine Visitor Center can provide visitors with additional information about the area and location of facilities in the park to help them make their visit more enjoyable. The center should be contacted directly to make sure of the operating hours and to make sure that the weather has not caused the center to close unexpectedly."
