Name,State,Title,Description
"Airline State Park Trail","Connecticut","Airline State Park Trail","The Airline State Park Trail is located in Pomfret, Connecticut and offers more than 50 miles worth of pathway to explore. It runs from the Connecticut River to the Massachusetts border and is divided into two sections. Along the trail are panoramic views and the valleys and hills, making it a popular destination for nature photographers. There are two viaducts that tower 150 feet above the rivers, offering some of the best views of the entire area. Views of the Goodwin State Forest and Conservation Center, the Salmon River State Forest, the Hampton Reservoir and the Grayville Falls Park are also available along the trail. The southern part of the trail is the most developed and is home to the town of Lebanon and is just over 22 miles long. Some parts of the northern part of the trail are paved and development continues to occur on the 27 miles stretch of the trail. Hiking from the beginning of the trail to the Rhode Island border is the goal of many who visit the trail. Areas along the trail that are of special interest include River Road and the Colchester stone arch bridge, the Lyman and Rapallo viaducts, Pine Acres Lake, the Raymond Brook Marsh Wildlife Preserve, the Connecticut Audubon Society Bafflin Nature Sanctuary, the site of the Great East Thompson Train Wreck and the Salmon River State Forest. "
"Allegra Farm and The Horsedrawn Carriage and Sleigh Museum of New England","Connecticut","Allegra Farm and The Horsedrawn Carriage and Sleigh Museum of New England","The Allegra Farm has been offering horsedrawn carriage rides for more than forty years. The farm is home to an authentic livery stable, as well as the Sleigh Museum of New England. The farm restores vintage carriages, as well as wagons and other equipment. The Horse Drawn Carriage and Sleigh Museum of New England offers an opportunity for visitors to learn about an bygone era and experience the rides for themselves, firsthand. The museum offers exhibits on attire, horses, etiquette and more, all in an effort to educated visitors about the Victorian times when horse drawn carriages were the most popular form of transportation. The farm is located on Lake Hayward in the town of East Haddam. Scenic carriage rides are a great way to enjoy a romantic evening in the area and they take passengers around the lake and through the New England and tri-state area for special occasions. Clients can reserve carriage rides for anniversaries, weddings, proms, proposals and other private celebrations. The carriages and sleighs are also seen in area parades and special events. The farm has provided carriages to a variety of Hollywood productions including Amistad, Kate and Leopold, Ed and Sex and the City. The horses and carriages often participate in the Lantern Light Tours in the town of Mystic, Connecticut, head every year throughout December. "
"American Clock and Watch Museum","Connecticut","American Clock and Watch Museum","The American Clock and Watch Museum is located in Bristol, Connecticut and offers an opportunity to learn about clocks, watches and the history of clock making in the area. The museum and research library are located in the historic home of Miles Lewis, built in 1801. The house is surrounded by the sundial garden, featuring a variety of flowers and herbs. The museum features a variety of timepieces on display, ranging from wrist and pocket watches right up to large grandfather clocks. Everywhere you move through the museum is the mechanic ticking of time. A favorite display among visitors is the two-story clock tower that demonstrates the inner-operations of a clock. The museum is home to more than 1,500 total clocks and watches. The collection includes blinking-eye clocks, railroad clocks, punch clocks and more. The museum offers docent led tours of the collection, so visitors can learn as they explore the collection. The museum is a popular destination for field trips and also offers research opportunities for those who wish to learn more about clockwork history. Kids are treated to an orientation session and a tour of the museum that takes about an hour and a half. The trip can be combined with a visit to the New England Carousel Museum, the Barnes Nature Center or the Imagine Nation Museum. "
"Argia Cruises","Connecticut","Argia Cruises","Visiting Mystic, Connecticut means enjoying the seafaring history of the town. A ride on the Argia Cruises can help you do this and you get to explore the coastlines, islands and lighthouses while on your cruises. Passengers are treated to beverages and snacks and are also invited to bring along their own picnic treats. Argia has been in operation since 1986 and offers visitors to the area a chance to sail on a replica of a 19th century sailing schooner. Most cruises are two and a half hours and passengers get to learn from the experience of the educated instructors during the cruise. Cruises begin at the Mystic Seaport Museum where you can view the famous Tall Ships and stroll through the museum village. The cruise takes passengers through the Mystic Historic Bascule Bridge. The instructor shares information about the Pequot People and their fishing, war and migration habits. Children and adults enjoy the hands-on marine science program of a trip with Argia. Passengers have a chance to collect plankton with the net provided, see organisms through microscopes and learn about the environment and how to operate the ship. The Argia is available for private charters that range from one to six hour during the months of May through October. The ship is capable of accommodating up to 49 guests and can be used for business or pleasure cruises. "
"Audubon Arts District","Connecticut","Audubon Arts District","The stretch of Audubon Street from Orange Street to Whitney Avenue is called the Audubon Arts District. At a time when the city was on unsure footing, homes were being built, but many buildings were undergoing demolition, architect Charles Brewer developed a master plan for the area. Part of the plan was to support existing, self-sustaining institutions. This included mixed-use development including housing, educational buildings, retail and institutional space. This mixed-use plan freed up funds for the project that may otherwise not have been available. The inclusion of housing space meant there were built-in visitors to the cultural attractions in the area. People were more likely to participate in the art programs and support the retail space if it was right outside their door. While the project did experience some setbacks, it was ultimately successful because the project was not overly politicized and the project managers and architect stuck with it. Today, the space is filled with cultural activity and plenty of people in residence, as well as a fair share of local visitors. Supporting the arts is an important part of the New Haven community and the Audubon Arts District provides locals and visitors with a place where they can put their money where their mouth is. "
"Audubon Center","Connecticut","Audubon Center","The Audubon Center in Greenwich, Connecticut is located on 685-acres of land that includes seven miles worth of trails. The trails lead visitors to a hardwood forest, past ponds, streams, lakes and field. The main part of the sanctuary features 285-acres of land. The property also includes New England homestead buildings and an old apple orchard. The site is also home to the Kimberlin Natura Education Center, featuring exhibits, a classroom and staff offices. Children will enjoy a visit to the Hilfiger Children's Learning Center, featuring hands-on nature activities, the Kiernan Hall Nature Art Gallery, a wildlife viewing window, interpretive natural history exhibits, a honey bee hive exhibit and the Nature Gift Store. The Kimberlin Center can also be rented for children's parties and special events. In addition to Kimberlin, Audubon Greenwich features eleven more sanctuaries, as well as wetlands, woodlands, meadows and fifteen miles of hiking trails. The center is home to the Quaker Ridge Hawk Watch, considered one of the best locations in the northeastern part of the country to see the fall migration of the birds. At the height of the migration, as many as 30,000 hawks may be seen. In addition to hawks, the collection of birds migrating through the area includes Bald and Golden Eagles, Black Vultures and Ravens. "
"Avery Point Light","Connecticut","Avery Point Light","The Avery Point Lighthouse is located on the campus of the University of Connecticut and underwent a complete historic restoration, re-opening in 2006. The tower is located on the east side of the Thames River near the town of Groton. The tower is easy to get to, but the interior is not open to the public. The lighthouse is 41-feet high and features a green flash every four seconds. Before the area surrounding the lighthouse was the University of Connecticut, it was known as the Avery Point campus, 72-acres of land owned by Morton F. Plant. In 1938, Plant's land was sold to the State of Connecticut, which later sold it to the federal government. The agreement included as a stipulation of the sale that the land be used for lights and other buildings in the aid of navigation and that those buildings be constructed by the mid-1940's. The lighthouse construction was completed in 1943, but did not light up until the spring of 1944, due to World War II. The lighthouse is unique because it is one of a few that look more like a tower than a traditional lighthouse. The building is octagonal in shape and features two internal levels, which includes the upper level lantern room. When the United States Coast Guard moved its training center off Avery Point, the land again became occupied by the State of Connecticut. Shortly after a group of local citizens got together to create the Avery Point Lighthouse Society the structure underwent renovates that were completed in the fall of 2005. "
"B.F. Clyde's Cider Mill","Connecticut","B.F. Clyde's Cider Mill","The B.F. Clyde Cider Mill is a family owned and operated mill and has been in operation since 1881 and now offers a chance to see the country's oldest steam-powered cider mill in action and to enjoy the wines created at the mill. A visit to the mill is a like a trip back in time. The season begins in September and lasts till the very end of each year. There are cider making demonstrations, a great way to learn about cider production and experience the history of the mill. The mill is a National Historic Landmark and has been in the Clyde family for six generations. The mills offers a wide collection of hard ciders, jams, jellies, pancake mixes maple syrup, local honey, fudge and what is considered by many to be the best sweet cider in production. Visitors can also take home pumpkin bread, apple pies, fresh apples, gourds, pumpkins, Indian corn, kettle corn, candy apples and apple cider donuts. Wine varieties are plentiful and include Clyde's Apple Peach Wine, Spiced Apple Wine, Apple Cranberry Wine, Apple Raspberry Wine and Apple Cherry Wine. In addition to all of the edible items for sale, visitors can also purchase glassware and apparel. "
"Barnum Museum","Connecticut","Barnum Museum, Bridgeport, CT","The Barnum Museum is located in Bridgeport and is a celebration of the life of P.T. Barnum through activities and programs. The museum is located in an 1893 gothic style building and features Barnum's most famous invention, the Three Ring Circus. Other exhibits include General Tom Thumb, Jenny Lind, themes of exhibits such as `Barnum the Man', and `Barnum's Bridgeport'. The building was located on the National Register of Historic Places in the Hobbies and Activities category. P.T. Barnum was the one-term mayor of Bridgeport, the building which houses the museum was originally constructed for P.T. Barnum himself. The museum was provided to house the work of the Bridgeport Scientific Society and the Fairfield County Historical Society. The buildings construction was completed in 1893 two years after Barnum's death. The museum is a three storey building and was constructed from stone and terra cotta. Images from America's History line the top of the building, these images include Native American, maritime, Civil War and industrial age reliefs. Among these panels are panels that include images of Christopher Columbus, George Washington, a Native American and Civil War General Winfield Scott. The building was originally called The Barnum Institute of Science and History and operated as a resource library and lecture hall, the Wright Brothers and Thomas Edison visited the institute to give lectures. No commercial properties ever occupy the first floor of the building and let to financial instability. The buildings ownership was taken over by the City of Bridgeport in 1933 when the great depression forced business to cease operation. The building was remodeled in 1943 and reopened in 1946 as a city hall annex; the third floor was reserved for displaying collections from now defunct societies. Plans were put in motion in 1965 to return the building to its former status as a museum. The building was repaired and remodeled to create space to feature exhibits on the history of Bridgeport and on his life. The building is the only museum that is dedicated to the life of P.T. Barnum and includes the 1,000 square foot miniature replica of the circus that was hand crafted by William Brinley and the 3000 miniature figures. Along with the circus is a miniature replica of the library from the estate Brinley owned in Iranistan and many other artifacts showing life in Bridgeport in the 19th Century. The oldest artifact at the museum is an Egyptian mummy that has been verified as being 2,500 years old; this was verified by the Quinnipiac University."
"Beardsley Zoo","Connecticut","Beardsley Zoo","The Beardsley Zoo in Bridgeport offers animals lovers a chance to visit with the collection of animals and learn about their habitats and conservation efforts. The zoo is home to more than 300 animals which includes a variety of species from all over North and South America. There are several threatened and endangered species onsite including the Ocelot, the Red World, the Siberian Tiger, the Andean Condor and the Maned Wolf. The South American rainforest area features a free-flight aviary where visitors can enjoy the experience of walking through a jungle-like environment. Guests can dine at the Peacock Café or enjoy lunch in the Picnic Grove. There is also a carousel that offers an exciting break from strolling amongst the animals. Throughout the year, the zoo hosts a variety of fun events for kids and families. Facilities at the zoo including the Victorian Greenhouse and the Hanson Exploration Station can be rented for parties, special events, board meetings and retreats. The zoo is a great place to hold your child's birthday party. Guests can also book the zoo for their wedding, providing an exciting outdoor venue with the option of going indoors at the greenhouse or the Hanson Building. Whether you want to learn more about the animals, share the environment with your children or teach a group of students about conservation, the Beardsley Zoo can help. "
