Name,State,Title,Description
"1812 Memorial Park","Delaware","1812 Memorial Park","Lewes, Delaware has a few different parks for visitors and residents to use. One of the parks is 1812 Memorial Park at 114 East 3rd Street. This park is near 2nd Street, which is the shopping district of downtown Lewes. It is also close to the Otis Smith City Dock. 1812 Memorial Park has also been called The Cannonball Park, which is settled on the corner of Savannah Road and Front Street near the Lewes-Rehoboth Canal.  The park was first created as a defense area when the British Fleet attacked in April of 1813. Several cannon balls were launched from boats and from the defense on the shores as a battle that was part of the War of 1812. Local residents were attacked by the cannon balls. Those that survived actually collected the cannonballs shot at them and preserved them. This is why the park is also known as Cannonball Park. There is a granite monument constructed by the National Society of US Daughters of 1812 at the park commemorating the battle. Today there are still four large cannons that were given to the park by the government. The smaller cannon was thought to be taken from a pirate vessel abandoned in the creek."
"Action Charter Fishing","Delaware","Action Charter Fishing","Action Charter Fishing is a fishing charter business in Fenwick Island, Delaware. The company is minutes from Ocean City, Maryland. Private groups can be taken out for up to 6 people. Friends, employees, families, and clients can all be taken out on the fishing charter boat. The boat charter company is located at 142nd street.  To arrive at Action Charter Fishing visitors need to take Route 54 a half mile west of Route 1. The center is adjacent to Harpoon Hanna's Restaurant in the marina. Parking is located on site. All guests are required to wear proper safety gear while out fishing. They provide bay and off shore reef fishing for half and full day trips. All fishing gear and bait is supplied. It is possible to bring home dinner with the fishing charters. The captain of the boat is a licensed master by the coast guard. The boat is 23 foot with a center console. Depending on where passengers wish to fish or what type of fish they wish to catch the boat captain will try to find the best locations. Charters are based on sea conditions also. Conditions can cancel a trip if the Atlantic is too rough for the smaller vessel."
"Action Watercraft","Delaware","Action Watercraft","Action Watercraft is a local business in Fenwick Island, Delaware. It is located at 142nd Street Marina near Shark's Cove Marina. It is one of the many boat rental locations visitors can use while visiting the island town on summer vacation. They have pontoon boats, parasailing, and waverunners for rentals. Rentals are based on the equipment rented and the duration one wishes to rent the boat.  Credit cards and cash are accepted by the company for the rentals. When renting from Action Watercraft it is important to check the boat over completely including the propeller and engine. Any visible scratches or problems should be noted before the boat is taken from the dock. This will protect the renters from any issues that might arise while out on the water. Safety vests and other safety equipment can be found on the boats or provided by the staff. Make sure the appropriate number of life vests are provided for your group. When booking, it is best to use a credit card for protection purposes regarding the charges. Anyone renting water crafts should have an appropriate knowledge of water way behavior and boating safety rules to captain the boat in the Atlantic waters."
"Air Mobility Command Museum","Delaware","Air Mobility Command Museum","The Air Mobility Command Museum or AMC in Dover, Delaware showcases the history of airplanes and flights. The foundation just underwent a major renovation to add on to the store, add in more attractions, and provide better storage. The project will be ongoing through 2011; however, they are not expected to close nor will the exhibits be hindered in any way during the work.  The museum offers free admission and parking. They are open Tuesday through Sunday from 9am to 4pm. The museum is always closed on Mondays and major holidays. The Air Mobility Command Museum is set in a base unit used for World War II. The base was used for secret rocket development and called the Dover Army Airfield. Fighter squadrons had their home base in the hangars from the 1950s to the 1970s. In the 1990s the buildings were turned over to the public for the museum. It was also at this time the base was added into the National Register of Historic Places. The Air Mobility Command Museum has the mission to provide history of flight and air force history to those who attend. Planes, equipment, and uniforms are some of the exhibits."
"Amstel House","Delaware","Amstel House","Amstel House at 2 East 4th Street in New Castle, Delaware is one of the historic homes that can be toured by residents and state visitors. The New Castle Historical Society is in charge of the house museums for upkeep and tour options. Many of the homes were built by Dutch laborers. They also housed British colonial governors and other individuals of importance. Amstel House dates back to the 18th century. It is a brick construction with Federal architecture.  Amstel House was built by Dr. John Finney, a wealthy landowner, in the 1730s. The house retains its original artwork and hearth. Walk in tours and guided tours are possible from April through December. Museum hours are Wednesday through Saturday 10am to 4pm. Guided tours begin at 10am, 12pm, and 2pm. On Sunday the house is open 12pm to 4pm, with tours at 12pm and 2pm. Tours last about 40 minutes. Amstel House also has a garden that can be toured from sunrise to sunset. Tickets for entry are $4 for adults of the Amstel House. For those wishing to visit Amstel and the Dutch House entry is $7. Children's pricing is $1.50 for 6 to 12. A combination ticket is $2.50."
"Andre Harvey Studio at Breck's Mill","Delaware","Andre Harvey Studio at Breck's Mill","The Andre Harvey Studio at Breck's Mill is on the Brandywine River in Greenville, Delaware close to Wilmington and the Hagley Museum. Andre Harvey is known for his bronze sculptures. He was born in Florida in 1941, but went to the University of Virginia for his artistic studies. He graduated from the university in 1963. He is part of the National Sculpture Society and has had a variety of exhibits in different cities such as New York, London, Paris, Moscow, Charleston SC, Kennett Square PA, and Stockbridge MA. He also has public collections on display in several US cities and states including some in Michigan, and Ohio.  Andre Harvey creates pieces to be sold and enjoyed. He has also created works for museums and other public areas for the masses to enjoy. His studio at Breck's Mill can be toured for those looking to find a piece of art or who just want to enjoy the studio. One piece in his collection is Mysterious Journey. It is a green sea turtle in bronze with a length of 45 inches, 45 inches width, and 34 inches in height. It weighs 234 pounds. Animals, birds, and people tend to be his subjects."
"Anna Hazzard Museum","Delaware","Anna Hazzard Museum","The Anna Hazzard Museum is located at 17 Christian Street in Rehoboth Beach, Delaware. The museum provides an early history of Rehoboth Beach, most specifically its early religious history. There are a variety of displays relating to religion. The museum is part of the original tent houses that were built in the 1870s. During this time the beach was a camp meeting area. The museum was named after Anna Hazzard, the owner of the house and a very prominent civic leader.  It is a small business with only four individuals on staff. The museum has been in operation for 35 years offering the history of the area. Rehoboth Beach is considered a tourist location, which means during the summer many individuals from in state and other areas of the US travel to the beach city. Anna Hazzard Museum is open longer during the summer to accommodate the tourists who visit the island. During the off peak, the museum is open a few hours a week, with minimal staff. The staff is educated in Rehoboth Beach history and is happy to answer questions. The displays are often of early camp life, beach history, every day use items, and photographs."
"Ashland Nature Center","Delaware","Ashland Nature Center","Ashland Nature Center is located at Barley Mill Road near Hockessin and is nine miles northwest of Wilmington, Delaware. The center serves as the headquarters for the Delaware Nature Society and is a hub for its activities of education and natural resource conservation. It is open to the public throughout the year from 8.30am to 4.30pm Monday to Friday and is closed weekends and public holidays.  Visitors can wander around the self guided nature trails located here, which are located among 81 acres of rolling terrain. There are meadows, woodlands and marshes for visitors to explore here with information about trails and activities available from the Visitor Services in the main building. The center also features an active bird feeding station and members of the public should be able to spot various raptors including hawks, vultures, falcons and eagles. Various educational programs are offered here to people of all ages including week long summer programs for youngsters. There are also field trips and overnight programs for school children held in the nature center's lodge. Between June and September, the public can visit the butterfly house, where they can see at least 15 different species of butterflies and moths."
"Atlantis Inn, Rehoboth Beach, DE - Rehoboth Beach, Delaware- Budget Accommodations Found Just Off the Beach in Simple Hotel Setting","Delaware","Atlantis Inn, Rehoboth Beach, DE - Rehoboth Beach, Delaware- Budget Accommodations Found Just Off the Beach in Simple Hotel Setting","The Atlantis Inn, Rehoboth Beach, DE is located in the downtown area of this remote resort town just 1.5 blocks off of the beach. This town, which is home to less than 2,000 people year round, swells to 75,000 during the summer months, making it important to get reservations in advance at the Atlantis for summer stays. Formerly known as the Atlantic Inn and Suites, these motor inn style accommodations consist of 97 guest rooms on its 4 floors of space. It is fairly no frills and economical in its price for a hotel located just 300 yards from the sea here. Deluxe Hotel Rooms, Efficiencies and several types of Suites are available at this hotel. Efficiencies for families can of course allow for in room dining and save on the costs of eating out at every meal. Amenities at this hotel include one free parking space for each room and a friendly environment to dogs during the off season only, which are welcome to stay here for a nightly fee. Non-canine pets such as cats or birds are not permitted on the premises however. 60 channels of cable TV are viewable in each of the Guest Rooms. There is also complimentary internet access. Some of the rooms have balconies or terraces. The rooms are equipped with smoke alarms and are smoke free. There are no coffee makers in the standard rooms, however gourmet coffee is provided in the lobby in the morning. There is a third floor outdoor roof pool and sundeck at the hotel. In the busy season it can be a quiet escape from the crowds on the nearby beach and boardwalk. A laundry room with washers and dryers for guest use is on the premises. Varied package rates are offered throughout the year by the Atlantis. The Atlantis Inn, Rehoboth Beach, DE, has no on site restaurant but it is within easy walking distance to more than 50 restaurants as well as many small shops. A short drive away from the hotel there are also name brand outlet stores. The modern style building has an open air courtyard with benches for relaxing outside after getting back from the beach, a walk around the town or a day trip to the nearby beaches and forested areas of the Cape Henolpen State Park. The Atlantis Inn, Rehoboth Beach, DE, is a short walk from the Funland amusement park and arcade as well as locations to rent windsurfing gear or to arrange for a deep sea fishing excursion. Hotel staff may assist with these arrangements with advice, as the staff is quite friendly. However there is no concierge-style service at this hotel. The hotel is easily accessible from the Washington DC area, northern Virginia and Baltimore as well as Delaware cities."
"Bayside Resort Golf Club, Selbyville, Delaware - A Jack Nicklaus Signature Design, and a Unique Golfing Experience Rarely Found on One Course","Delaware","Bayside Resort Golf Club, Selbyville, Delaware - A Jack Nicklaus Signature Design, and a Unique Golfing Experience Rarely Found on One Course","Bayside Resort Golf Club is a Jack Nicklaus Signature Golf Course, integrated with the Bayside wetlands and woodlands to preserve them in their natural state. The course surrounds the community and also offers beautiful views of Assawoman Bay and the coastline. The 18-hole championship course plays to a brawny 7,545 yards from the tips, and features tees for golfers of all skill levels. The course includes a mixture of playing conditions and topography, playing from salt marshes to meadows to woodlands. Such a combination is rarely found on any one golf course, making Bayside Resort a truly unique golfing experience. There is water present on every hole, whether by strategic design or the natural wetlands and marshes, where it's not uncommon to see heron and egrets. The meadow holes are open and inviting, with generous fairways in which to place a tee shot. On woodland holes, majestic pines, black cherries and flowering dogwoods line the fairways, giving the course a serene look and feel. All fairways feature a seaside blend grass, while the rough is a challenging combination of Tall Fescues and Blue Grass. Once golfers reach the greens, they'll encounter tightly manicured A-series Bentgrass greens. Some of the more noteworthy holes include #2, #10 and #13. Hole #2 is a bear'' of a par five (620 yards from the back tee) - a double-dogleg adventure that begins with a long tee shot to a fairway bordered by a lake on the right and Roy Creek on the left. Hole #10 is a beautiful par-four, which makes golfers choose which side of a lone tree in the fairway they wish to target off the tee. And hole #13 is a par-three that features a pristine salt marsh that surrounds the green, while towering pine trees provide a stunning and dramatic contrast in the background. Bayside Golf Course has received numerous awards and honors, including: America's Best Courses You Can Play, #1 course in Delaware, Golfweek 2008, 2007 & 2006; Top 50 Best Courses Opened 2005 - 2007, Golfweek 2007; Top 10 Best New Courses, Golf Digest 2006; Top 50 Best New Courses, Golfweek 2006; and Development of the Year, Runner-Up, Golf Inc. Magazine, Nov. 2006. For practice, the course offers a driving range, putting and chipping greens. There's also a pro shop for equipment and apparel. And for drinks and dining before or after a round, the Oasis Grille provides a relaxing break."
"Bethany Beach Boardwalk","Delaware","Bethany Beach Boardwalk","Bethany Beach Boardwalk is located at the beach in Bethany Beach, Delaware. It is a small boardwalk unlike other resort boardwalks. It is a quiet place to spend some time since it is such a simple location. There is a half mile elevated walkway along the ocean front that can be used for walking, romantic walks, or for a job. There are benches on the boardwalk for those who want to stop and enjoy the Atlantic Ocean and views around them.  At the midpoint of the boardwalk is Bethany Beach Grandstand Pavilion. This pavilion has a stage and bench seating for local music, theater and other special events. It is in this area that there is a fry, pizza, and ice cream shop. Sun bathers, Frisbee fans, and body surfers often stop at the eateries while at the beach. The Pavilion holds summer stage series with free outdoor performances for tourists and residents. Big band orchestras, bluegrass, and children's theater are often a part of the theater. Along the way to the boardwalk is Bethany Beach Books, Rhodes 5&10 Store, Kites Tails, and Toys, and The Frog House. The boardwalk and beach is the main entertainment center in the area."
"Bethany Beach Nature Center","Delaware","Bethany Beach Nature Center","Bethany Beach Nature Center is found on Route 26 in Bethany Beach, Delaware. The nature center was started in 2007, but did not open until 2009. The center is now a place for education regarding local flora and fauna found in the wetlands near Bethany Beach. Summer hours for the nature center are 10am to 4:30pm Wednesday through Sunday. Winter hours are Friday and Saturday 10am to 3pm, Sunday 10am to 2pm.  Bethany Beach Nature Center offers youth programs on Saturdays from 10:30am to 12pm. There is also a walking trail open daily from dawn to dusk. The center is inside a cottage owned by the Addy family. Inside there are a variety of color panels to help teach children and adults about the wetland ecosystem including the diverse plant and animal life it can have. Volunteer docents are on hand to provide talks inside the museum. These docents can also go along on the nature trail to point out various important aspects of the trail's ecosystem. The trail was built with hard packed, crushed stone. It can be used by walkers and those with handicap needs. Along the way there are some signs to point out important plants."
