Name,State,Title,Description
"Adams Morgan","District-of-Columbia","Adams Morgan","Adams Morgan is a neighborhood in the Northwest of Washington DC located at the intersection of 18th Street and Columbia Road. The area is regarded at the center of the Hispanic community of Washington and has a thriving night life area. Many of the buildings in the area are 19th and early 20th century row houses and apartments.   The area received the name, which was once hyphenated, from two segregated elementary schools. One was the all-black Thomas P. Morgan Elementary and the other was the all-white John Quincy Adams Elementary School. Boundaries for the city were drawn in 1958 and a new school was built. The area has long been a gateway for immigrants, with the majority arriving from El Salvador, Guatemala and other Central American countries. Other immigrants include people from Africa, Asia and the Caribbean. This diversity of immigrants has created a range of international shops and restaurants providing visitors with a variety of dining and shopping choices. In one square block area visitors can choose to dine on Spanish, Italian, Dutch, Vietnamese, Brazilian, Lebanese, Thai, Indian and Chinese cuisines just to name a few. There are also many bars and clubs located in Adams Morgan. Over 90 establishments have liquor licenses, allowing guests to enjoy a drink with their dinner or while watching live entertainment. Located in Adams Morgan is Mary's Center which is a clinic that focuses on healthcare delivery to the Latin members of the community. Many churches and businesses cater to immigrants in the area. The schools located in the area have a large cultural diversity as there area children there from over 30 different nations. A multicultural street celebration is held on the second Sunday of September to celebrate the food, craft and entertainment of the many different nationalities of Adams Morgan, Each Saturday fresh farmers markets are also held in the area."
"African American Civil War Memorial","District-of-Columbia","African American Civil War Memorial","The African American Civil War Memorial is located on the corner of Vermont Ave, 10th Street and U Street NW in Washington DC. The memorial stands to commemorate the service of the African-American soldiers who fought in the American Civil War.   The sculpture is a 9-foot tall bronze statue which was designed and created by Ed Hamilton from Louisville, Kentucky. The memorial features panels with the names of each soldier who served in the war. The development of the memorial was by the African American Civil War Memorial Freedom foundation and Museum, and then transferred to the National Park Service. The site is managed by the National Mall and Memorial Parks section of the NPS. A museum is associated with the memorial and is located two blocks west of the memorial. This museum opened in 1999 and enables visitors to understand the heroics and struggle for freedom that the memorial represents. The African American Civil War Memorial Freedom Foundation Registry also documents the family trees of over 2,000 descendants who served with the USCT and visitors are able to search for relatives who have registered on the Descendants Registry."
"Albert Einstein Memorial","District-of-Columbia","Albert Einstein Memorial","The Albert Einstein Memorial is a bronze statue depicting Albert Einstein located in a grove of trees at the southwest corner of the National Academy of Sciences in Washington DC. The statue is of Einstein seated with a manuscript of papers in his hand.   The statue was unveiled on April 22, 1979 in honor of Einstein's birth. Einstein is seated on a three-step bench which is made from white granite. The bronze figure weighs approximately 4 tons, is 12 feet high and sunk into bedrock up to 25 feet to support the monument. The paper held in Einstein's left hand features the mathematical equations that summarize three of his most important scientific contributions. There are also three famous Einstein quotations engraved on the bench where Einstein sits, such as; Joy and amazement of the beauty and grandeur of this world of which man can just form a faint notion The circular dais that the statue and bench sits on is made from emerald-pearl granite, embedded on this dais are 2,700 metal studs to represent the location of astronomical objects such as the sun, moon, planets and many stars. When a visitor is at the Einstein Memorial it appears that he is making direct eye contact with that visitor, therefore any words that spoken by the visitor will the notably amplified. The statue was also filmed in the opening sequence of Sesame Street during its 20th season."
"American University Museum","District-of-Columbia","American University Museum","The American University Museum is located within the Katzen Arts Center in Washington DC. The museum's focus is on international art due to the Universities global commitment, along with political art due to the commitment of the university to human rights, social justice and political engagement.   The museum supports their artists and takes an active and responsible role in the formation of the contemporary art and culture. The exhibitions presented mirror the universities goal to be the premier Washington-based global university. At the beginning of each exhibition the museum hosts an artist's reception. These receptions feature talks by museum curators and the chance for visitors to meet the artists. The reception is held in the Kreeger Lobby and are free to the public with no reservation required. Other events and programs held at the museum include regular talks with artists; these events allow the public to talk to the artist freely about their works. Another program offered is Kids @ Katzen where children aged from 5 to 12 can create their own pieces of art, learn more about an exhibition and meet artists with works on show. The American University Museum is able to host many events due to their range of rental facilities such as weddings, live performances, conventions and training opportunities."
"Anacostia Museum","District-of-Columbia","Anacostia Museum","The Anacostia Museum aims to challenge visitor's perceptions, broaden their perspectives and generate knowledge of the community. The museum is a leader in providing programs, exhibitions, tours and performances to visitors of all ages.   The major goal of the museum is to provide visitors with evidence that no matter how distinctively different we are, there are many things in the community that make us universally the same. The museum created a first-of-a-kind public education program that teaches the fundamental of collecting and preserving items to special interest groups. At all times there are 19 professional staff employed at the museum, along with 25 volunteers and 5 interns. These staff members assist visitors with providing information on each exhibition and run the many programs that are held at the museum. A permanent collection of works is located in the museum and is comprised of artifacts, media, photographs and art objects which document families and communities around the world. The public programs held at the museum aim to broaden the understanding of family and community history, these programs include lectures, hands-on activities and performances for all ages. Interpretive materials are also available; these include activity kids and subject-specific curricula. The Anacostia Museum is part of the Smithsonian and is the only museum that provides an educational component to groups of children throughout the year and summer months as part of their multi-tiered educational program. Programs run include after-school programs and summer academies. The museum is constantly recognized for their contributions to the DC region and by reaching many goals set by the Smithsonian."
"Anacostia Park","District-of-Columbia","Anacostia Park","Anacostia Park is located beneath the bustle of Washington DC. The park is a large 1200 acres with many sites that are full of family and friends having fun, along with being an area that protects natural scenery and the waters of the Anacostia River. The park is an example of urban planning that is serving today's generations well.   There are many amazing sights at the park that will delight each and every visitor; these include the many varieties of butterflies, birds, fish, shellfish and the wetland plants. The park and its features such as the river, wetlands and facilities create the perfect place for Educational Activities. School children can visit the park as part of a field trip and learn ore about the life forms that survive in the park. Visitors to the park can also enjoy a relaxing spot of fishing along the river either on the jetty or in their boat, take part in the many exercise opportunities and play with the kids on the playground equipment. Some of the recreation areas in the park include Kenilworth Park and Aquatic Gardens. There are many ball-fields, basketball and tennis courts along with many shaded areas for picnics. The Pavilion in the park has a space for roller skating and the Langston Golf Course is also part of the park. Part of the planning of the park included a plant to help reduce flood costs to residents by the governments purchasing flood prone land and creating parks such as Anacostia Park. This park is open land with no fences between the water and also features the historic retaining wall, this helps protect residents of Washington while providing a place for visitors to enjoy their time out in the sun."
"Anderson House","District-of-Columbia","Anderson House","When Anderson House was built in the early 1900's its location in DuPont circle was the most fashionable neighborhood in Washington DC. It was built as the winter house for Larz Anderson III who was an American Diplomat. The property is a fifty-room mansion that featured a walled garden, tennis courts and a carriage house. It featured eclectic interiors that featured English and Italian influences.   The house was adorned with carved wood walls, papier-m�'ché ceilings, the staircases were ornate iron and the floors were marble. It featured all the latest conveniences for the era including electricity, central heading, telephones and clothes dryers with pull-out racks. Today the house is listed on the National Register of Historic places and is a designated National Historic Landmark. The walled gardens received renovations and now feature a reflecting pool. The gardens were named in honor of Harry Hoyt who led the renovation of the house and gardens. A temporary exhibition gallery has been created in the billiard room of the house. The most dramatic renovation of the house has been the basement which has been transformed into a state-of-the-art library and is used by scholars who are studying the American Revolutions. The construction of the library was completed in 1998 as part of the general restoration of the house. Anderson House is now the headquarters of the Society of the Cincinnati, who converted the servant's quarters of the house into offices and started the changes to the mansion. The Society is a nonprofit historical organization that promotes public interest in the American Revolution."
"Arena Stage","District-of-Columbia","Arena Stage","The Arena Stage was founded in 1950 by Zelda Fichandler, Thomas Fichandler and Edward Magnum, it is one of the original resident theaters in the US and has a distinguishes record of leadership. The Stage is a national center for the study of the American Theater and has an average annual audience of over 200,000 guests.   The stage is proud to say that they always produce American classics, along with premiering new American plays and will support many American works in progress. This is all done as the stage is a pioneer in keeping the American theater going. A long period of re-design and construction has taken place at the stage so that it is now the second largest performing arts complex in Washington and can continue to be the leading center for the production, presentation and development of American theater. The redevelopment of the stage includes state-of-the-are technology and modern amenities such as the centralized lobby, an increased number of restrooms, easily accessed concessions and a café. A reading area has also been created for students to learn more about American theater. Another new feature is the outdoor terrace which overlooks the Potomac and view of the Washington Monument. Personal guided tours of the Arena Stage are offered on Tuesdays and Thursdays; these tours will give insight into the stage and the new architecture of the building. Guests will be able to view the study, the multipurpose room and learn facts about the history of the stage. The café is a casual self-service café with many quick packaged items, salads, soups and entrees available that have been inspired by great American plays that run at the stage."
"Arsenal Penitentiary","District-of-Columbia","Arsenal Penitentiary","At the land of Arsenal once stood the Arsenal Penitentiary, here many Lincoln conspirators were hanged. The Penitentiary no longer stands apart form one structure which is known as building 20 or Grant Hall.   The building is now a restricted military installation due to the events of 9/11, and due to security changed the building is no longer open to the public. The history of Arsenal began when John Wilkes Booth's body was buried 10 feet deep in a storage room; this room was only feet away from the Warden's quarters. Booth's corpse remained on the ground for four years, and began the history of the penitentiary and Lincoln's assassination conspiracies. The penitentiary operated with limited issues and a shoe factory was built to make the prison self sufficient, although it never made a profit and the inmates were lazy and incompetent to use the tools. The average termed served by an inmate at the prison was two years. Despite many efforts to keep the prison open there would not be enough inmates and resulted in the prison being closed in the late 1850s. Arsenal was used as a storage space for military purposes after Lincoln stated in 'absolutely necessary'. The prison was turned over to the War Department and the remaining inmates send elsewhere."
"Art Museum of The Americas","District-of-Columbia","Art Museum of The Americas","The Art Museum of The Americas has a unique regional focus and serves as an important source of information of art works from Latin America and the Caribbean. The museum preserves studies and exhibits works by artists and also provides many educational activities to visitors.   There is a permanent collection of 20th century Latin American and Caribbean art at the museum, this exhibition is classed as one of the most important collections in the United States. Art exhibitions and educational programs related to Latin American art are held on a regular basis at the museum. The educational programs held at the museum include interactive workshops, where visitors can learn traditional art of the Americas. Visitors can create a piñata, corn husk doll or even a carnival mask. Workshops are available for individual school age students or the whole family can participate in a workshop together. Reservations are required for all workshops. Tours of the museum are available for groups by appointment and also for art students. The Contemporary Art Seminar is available for students who have a strong interest in contemporary art; students are required to apply for this program. The Art Museum of the Americas is located one block from Constitution Hall and is open from Tuesday to Sunday. Group tours are welcome at the museum with reservations required. This museum is an important place for Latin American and Caribbean art providing visitors a place to learn more about this type of art."
