Name,State,Title,Description
"15th Street Fisheries","Florida","15th Street Fisheries","15th Street Fisheries is located at Lauderdale Marina SE 15th Street in Fort Lauderdale, Florida and is approximately 20 minutes from Fort Lauderdale-Hollywood International Airport. This venue has a restaurant upstairs with great views of the Intercoastal Waterway, whilst downstairs is a dockside cafe, where guests can dine and drink inside or out. One of the features of the Fisheries aside from the dining is feeding the Giant Tarpon, which guests can do all day long with shrimps available from the dock store.   The upstairs restaurant offers an authentic old South Florida boathouse atmosphere with a menu featuring fresh seafood and other specialties. Amongst the seafood dishes available on the menu is grilled swordfish, seared scallops, roasted sea bass, lobster and crab. There is much more to choose from or for guests not keen on seafood there is steak, chicken and pork dishes too. The dockside cafe menu offers pleasant light seafood starters, a variety of sandwiches as well as heartier fare. Guests can enjoy live music at 15th Street Fisheries on Fridays and Saturdays from 6pm to 10pm and Sundays from 2pm to 7pm. There are rooms that can be hired for private functions, which can accommodate from 10 to 325 guests."
"8th Street Designer District","Florida","8th Street Designer District","Miami Beach is well known for its glamour, beaches, and attractions. For years Miami Beach, particularly South Beach, Florida has been the place to head for spring break. The city is also one of the larger port cities of the US making it an important stop for shipping companies. As part of this glamorous area there is the 8th Street Designer District, aptly named for the street it is located on in Miami Beach. It is also named for the fact that the top designers can be found along the shopping district streets.  8th Street Designer District is an upscale shopping location with designer, retail, and local shops. The most prominent section of 8th Street Designer District is the designer shops. The retail locations are there to add something for everyone. The last shops are locally owned, meaning they are run by residents offering upscale items for shoppers. Depending on the visitor to the area it may be a place to visit just to window shop. Most, however, have the funds to spend in the designer shops and go there for the purposes of spending money to outfit themselves in the latest designs."
"A Crystal River Kayak Company","Florida","A Crystal River Kayak Company","A Crystal River Kayak Company provides everything a person could possibly need to enjoy Florida by water. Its primary business is kayak rentals and canoe rentals, which include paddles and life vest as well as a complimentary bottle of water for hydration, a light snack for nourishment, and loan of waterproof maps.  Customers can launch right from the shop and paddle ten minutes to Three Sister's Springs, twenty minutes to King's Bay, or less than 30 minutes to waterfront Tiki bars and an ice cream shop that serves food and beverages. Visitors are encouraged to go swimming and snorkeling from their kayaks, too. Overnight rentals are available, too, as are rates by the day or week. Also offered at A Crystal River Kayak Company are kayaks for sale, along with such accessories as safety gear and navigation equipment plus books, instructional CDs, maps, charts, and fishing supplies. Kayaking lessons are provided by certified instructors, and guided tours for manatee viewing can be arranged, too. A Crystal River Kayak Company is located at 1420 U.S. Highway 19, Crystal River, Florida 34429. Business hours are from 9am to 5pm daily. Kayak rental prices start at $20 per person for two hours or $40 for four hours or more. Tandem kayaks are available, too."
"A Deep Blue Dive Center","Florida","A Deep Blue Dive Center","Key Colony Beach Florida Keys, Florida is near Marathon, Florida on the keys. The keys offer plenty of diving and snorkeling tours. One option is A Deep Blue Dive Center, which takes divers to natural Florida Keys Reefs. Key Colony is part of the middle keys. They have a 34 foot dive boat called the Turtle which takes six divers out for two dives. It is possible to see turtles, dolphins, and many coral reef inhabitants on the dive trips from the dive center.  A Deep Blue Dive Center offers instruction for diving. It is possible to be certified with PADI, TDI, NAUI, SDI, and other scuba courses around the world. They also offer kids programs and hunting options. Equipment can be rented or bought at the dive center. For those interested in buying the staff is more than happy to help divers pick out the right equipment. They also provide air fills for those who own their tanks. Lodging is nearby. The dive center has apparel too. The trips are based on weather, but there is a possibility to see reef trips, wreck trips and private charters. They also have the Sea Diver which is a 22 passenger vessel."
"A Key Encounter","Florida","A Key Encounter","A Key Encounter is a family destination in Key West, Florida. It features the Florida Keys only planetarium. Other attractions at the center include the Family Wildlife Theatre, the main attraction that brings most families to the center. The theatre has three huge screens and highlights nature footage of the endangered Key Deer, a variety of fish, rays, dolphins, sharks and eels. Each of the screen shows a scene from the wild, creating an educational and breathtaking experience. The movie is twenty minutes long and has been showing since 1996. Admission to the theatre is free for visitors and they are open seven days a week. The center also features the Jungle Walk, allowing visitors to stroll through an area with several exotic birds. The collection includes macaws, toucans and cockatoos. There are also several animatronic creatures that add to the experience. These are animals that would otherwise be dangerous or impossible to bring into the space including a bobcat, a crocodile and a manatee. One of the most exciting exhibits at the center is a nearly 23-foot anaconda skin that was once worn by a Brazilian anaconda that ate a woman. The center features a gift shop, enabling visitors to take home education toys, games and other materials. "
"A Night at the Old Jail","Florida","A Night at the Old Jail","A Night at the Old Jail is an evening adventure visitors and residents can have in Saint Augustine, Florida. The jail is located in Old Augustine on 167 San Marco Avenue. The tour is from 10:45pm to 2am from Fridays and Saturdays. Guests should bring cameras on the tour in order to see ghosts while at the jail.  The Old Jail was built in 1891. It is considered a landmark of the city and the county. It was known to house the most violent criminals. Many of the guests were hanged at the gallows. This history leads to the belief there are ghosts in the old jail. The property is now a museum where guests can learn about the past residents of the Old Jail. They can also learn about Sheriff Joe Perry. At night the jail is supposedly filled with moans, cries, and words. According to those who host the tour these cries are very clear and easy to understand. A Paranormal Investigator group hosts the evening events for those who wish to join the tour. They do not recommend anyone under 12 to attend the tour. Pricing is available for groups."
"A.D. Barnes Park","Florida","A.D. Barnes Park","A.D. Barnes Park is also known as Doug Barnes Park in Miami, Florida. The park is open from sunrise to sunset. Office hours for the management team are 8am to 5pm Monday through Friday, and 9am to 5pm Saturday and Sunday. There is a nature center on site open from 9am to 5pm Wednesday through Sunday.  AD Barnes Park has 65 acres of park land in the heart of Miami. The park was named for the first director who managed the acreage. This director was known for his feelings towards nature. The park opened in 1977 with a trail, picnic areas, and programming for disabilities. The Sense of Wonder Nature Center and Trail is one of the last in the Pine Rocklands of Miami Dade County. It has become an important location for bids. Migratory birds often remain at the park throughout the summer. It is also a nature center for the Miami-Dade Fire Department's Anti-Venom Unit. They have a reptile collection on hand in the event someone is bitten by a snake. Swimming is possible in the park. The park manages the area to ensure it is safe for all who want to swim."
"Ace of Hearts Ranch","Florida","Ace of Hearts Ranch","The Ace of Hearts Ranch is a working ranch that offers trail rides, boarding of horses, and a variety of other equestrian services near Florida's eastern coast. The ranch features a two story home/office, a log cabin guest cottage, and an events pavilion. Also on the 23.6-acre property are five ponds, a number of wooded trails, and storage facilities, along with a workshop, an island gazebo, a dressage arena, and a round pen.  Trail rides here pass through a variety of distinctly Floridian terrains and habitats, where wildflowers and wildlife are abundant. The ranch's popular Eco-Tour rides, which last roughly one hour, focus on nearby woodlands and forests, led by experienced guides who are familiar with the local environs. For those who require horse boarding, both indoor and outdoor options are available. There is a fourteen-stall stable attached to the main residence; the horses kept here are turned out each morning and returned to the stable in the evening. Horses kept in the eighteen covered outdoor stalls can come and go by day, but are locked in every night. Open seven days a week throughout the year, the Ace of Hearts Ranch is located at 7400 Bridal Path Lane, Cocoa, Florida 32927. Trail ride participants must weigh less than 240 pounds and be at least ten years of age. The cost is $25 per person per hour, and advance reservations are a must."
"Acqualina Resort and Spa on the Beach","Florida","Acqualina Resort and Spa on the Beach","The Acqualina Resort and Spa on the Beach in Sunny Isles Beach, Florida is a Mediterranean style hotel providing guests elegance and comfort during their stay. In 2010 the resort earned a 5 diamond from AAA. The resort is located on 4.5 acres of beachfront property with 400 feet of Atlantic Ocean coastline. Since the rooms are more like villas there are 188 residences and 97 guest rooms and suites to choose from. Also part of the hotel is a 20,000 square foot spa, 2 restaurants and three swimming pools. The resort also caters to a biology program for children at AcquaMarine.   To reach the resort visitors can drive in from Miami or Fort Lauderdale. It is 19 miles from Miami and 14 miles from Fort Lauderdale. It is fifty minutes from Boca Raton and 90 minutes from Palm Beach as other points of reference. It is about 5 minutes from Bal Harbour Boutique shops, and plenty of nightlife options. The guest rooms provide marble baths, double sinks, glass enclosed showers, Rivolta Carmigani Sheets, ETRO bath essentials, high speed internet, and IPOD docking stations. Guests also have television, entertainment, writing desk and private terrace with their rooms."
"Adams Key","Florida","Adams Key","Adams Key lies on the north side of the swift-moving Caesar Creek. Once home to the famed Cocolobo Club, a retreat for people like Carl Fisher, Gar Wood, and Presidents Harding, Hoover, Johnson and Nixon, Adams Key is now a day-use area open from dawn until dusk. A short trail leads through the hardwood hammock, and a picnic pavilion and toilets are also available. There are also two park ranger families living on the island.   There are a lot of outdoor activities offered at Adams Key including kayaking, boating, fishing, diving and numerous adventure tours. Hiking is especially popular in the area and numerous hiking tours are available. The two campgrounds open in the area are open year round due to the mild weather. Boat transportation must be provided to the surrounding islands and most of the campgrounds are offered at a first come first serve basis. Registration for the campgrounds can be made at the kiosk located next to the harbor. There is an automated registration machine available that accepts US currency only. Camping rules and information can also be picked up at the kiosk and regulations must be adhered to. There are no ground fires allowed near or around the camping sites."
