Name,State,Title,Description
"17Hundred90 Inn","Georgia","17Hundred90 Inn","The 17Hundred90 Inn is located in the squares of Savannah, Georgia. It is one of the oldest Inns in the state and was given its name due to being constructed in 1790. There is exceptional attention to detail along with service provided of times gone by at the Inn. It is also close to many Savannah attractions such as Factors Walk and the popular River Street.   The restaurant area at the Inn has been decorated in old southern tradition including fireplaces and brick flooring. In the restaurant area up to 150 people can dine comfortably yet still feel like they are in a cozy dining environment. The restaurant has been described as a kind of place where customers feel good about being there and want to go back over and over again. It is also known as the most elegant restaurant in Savannah. For guest who visit 17Hundred90 and do not wish to stay for a meal, they can visit the Lounge which is a neighborhood pub with a long tradition and which is popular with many Savannah locals and visitors from around the world. The lounge features a unique wine selections and experienced bartenders. At 17Hundred90 any visitor will be welcomed and have an enjoyable and relaxing time there. It is a quiet place to come and get away from the hustle and bustle in an ancient port town to enjoy time with family and friends, and in true Savannah style enjoy your favorite drink."
"Abercorn Common","Georgia","Abercorn Common, Savannah, Georgia - LEED Certified Retail Shopping Center with Dining","Abercorn Common shopping center, accessible from three main artery roads leading to six different points of access, is located at 8108 Abercorn St. in Savannah, Georgia. Originally a 38,000 square-foot area called Abercorn Plaza, the center that first opened in 1968 would eventually quadruple in size. Managed by Melaver Inc. the now 180,000-square-foot shopping center is the first all-retail LEED, the U.S. Green Building Council's Leadership in Energy & Environmental Design, Core and Shell Project in the United States. The shopping center was awarded Silver certification in April 2006. The Phase II development, Shops 600, at Abercorn Common received Silver LEED certification in 2007 based on the green building rating system that measures the quality of high performing, healthy buildings. Demographically, the shopping center, adjacent to the Oglethorpe Mall, is at the center of a highly trafficked road that is driven by 100,000 plus vehicles daily. The shops aim to target all of the population within a 41-mile radius. The Shops 600 specifically uses green features like solar water heaters and a vegetative, highly reflective white roof for insulation purposes, which also conveniently happens to help tenants save money on their electricity bills. Abercorn Common also makes use of a cistern for collecting an estimated 5,000,000 gallons of rainwater per year from the all the roofs in the entire shopping center that is later used for irrigation purposes. Additionally, the center uses only ultra-low flow fixtures, toilets and waterless urinals. Shoppers and workers alike should be pleased to know that low volatile organic compound (VOC) paints, sealants and adhesives were used in order to substantially improve the indoor air quality of the shops at Abercorn Common. During the construction period, over 6,000 tons of material was either recycled or reused, and the center has continued to be green after its construction by offering on-site cardboard, plastic and glass recycling. The environmentally conscious community even goes so far as to reward patrons who drive hybrids and tenants that carpool with preferred parking spaces. Today, a third phase addition to the shopping plaza is in the planning stages."
"Academy of Medicine","Georgia","Academy of Medicine","The Academy of Medicine was built in 1941. It was home to the Medical Association of Atlanta until the early 1970s. The Academy of Medicine is located in Atlanta Georgia in the midtown district. The building was designed by Perry Kennon and Philip Shutze. The building was in need of a renovation in the 70s, which is the reason it was abandoned by the association. In 1983 the building was renovated for use by the public and medical profession.  By 2008, the Atlanta Medical Heritage Inc decided to donate the building to Georgia Tech Foundation since the Heritage Corporation did not have the funds to maintain it. The only demand was that the building retained the name Academy of Medicine. They also insisted it be added to the National Register of Historic Places. The building underwent restoration again and will take a few years to complete. The renovations have allowed a larger event facility and auditorium with 250 seats for ceremonies, musical performances, seminars and more. The building when opened will be a place for Atlanta residents and visitors to enjoy; however, for 2011 it is still in the renovation stage and not open to the public right now."
"Adventure Crossing","Georgia","Adventure Crossing - Augusta, GA - Family-Oriented Theme Park","Adventure Crossing is a family-oriented theme park located in Augusta, Georgia. It is owned by six local men who originally opened the park with the intention of creating a family-friendly facility that includes a little something for everybody. The park as a whole includes a combination of indoor and outdoor activities for the enjoyment of the patrons. The indoor activity facility at Adventure Crossing comprises one of the largest, most popular, and most comprehensive arcades to be found in the entire area. A wide variety of different video and gaming options are available to visitors of all ages including the popular Dance Revolution experience. For those who are interested in something more interactive, there is also a large Lasertron facility available. Visitors interested in playing Lasertron have the option of calling ahead to reserve their spot if they like. Outdoor activities are varied and extensive with many traditional Midway style rides and attractions available for starters. These include airplanes, a beautiful traditional carousel, samba balloons, and the Wacky Worm roller coaster. For those looking for something beyond rides and Midway activities, there are also sports-oriented activities that are fun for the entire family. These include several batting cages and two miniature golf courses that are not only fun to navigate, but a treat for the eyes as well with their beautiful landscaping. Adventure Crossing is also notable for its go-kart activities. There are three separate tracks available for park patrons of all ages. The Mini-Kart track is for children ages 5-9 years of age who are at least 46 inches tall. The Road Track is specially designed for children ages 10 and up who are a minimum of 56 inches tall. Last but not least, the Bullet Track is for all individuals 16 years of age and up who are a minimum of 60 inches. Those interested in riding the Bullet Track are also required to present a valid driver's license before being allowed to use the karts. When it's time for a nibble, patrons should consider visiting the Sightseer's Cafy. There are a variety of delicious meal options available for people of all ages including hot dogs, hamburgers, cheeseburgers, submarine sandwiches, chicken fingers, pizza, and chicken wings. Quick snacks and refreshments like pretzels, nachos, chips, fries, and various beverages are available as well. The Sightseer's Cafy also features a 46'' flat screen TV that's perfect for catching the game, as well as free wireless internet access for the convenience of the patrons. Adventure Crossing is even available for group visits, as well as corporate events. A main building featuring six private rooms is available for a wide variety of functions. Five of the six can be combined in order to accommodate more than 100 people - perfect for large business meetings, conventions, or even family reunions. There is also a tented outdoor area available complete with barbecue facilities. Catering from the Sightseer's Cafy is also available as an alternative option. Anyone interested in having Adventure Crossing host their next group event is invited to call or e-mail for further information."
"Adventure Trail Rides","Georgia","Adventure Trail Rides","Adventure Trail Rides is based at North Cashes Valley Road in Blue Ridge, Georgia and is approximately two hours from Atlanta. Here customers are offered horse riding experiences that offer them scenic views of the Appalachian Mountains and of the countryside. Many horses are housed at the stables here and customers have the opportunity to select which one they would like to ride.  Trails rides are guided and include a one hour excursion that is suitable for adults and children. These level 1 trails head to the Blue Ridge Mountains and are quite easy rides, whereas the level 2 option offers somewhat more advanced terrain. Level 2 is suitable for advanced riders but adventurous beginners are welcome so long as they are comfortable riding at a trot. All riders under the age of 16 must wear a helmet and unfortunately children under the age of seven cannot ride at all. It is recommended that riders bring a sweater to avoid getting chilled and if possible they should wear jeans and boots to make the ride more comfortable. As well as taking groups out during the day to enjoy the scenery and wildlife, private and sunset tours are also available."
"Albany Mall","Georgia","Albany Mall - Albany, Georgia - Retail Shopping Center with Dining and Volunteer Opportunities","Albany Mall, managed by Aronov Realty Management Company and part of the Shopmalls family of shopping centers, is located at 2601 Dawson Road in northwest Albany, Georgia. The mall is open Monday through Saturday from 10am until 9pm; Sunday from 1pm until 6pm; and is closed Easter, Thanksgiving and Christmas days. Dillard's, JCPenney, Belk and Sears anchor the shopping center, which features close to 80 specialty stores. Since it's opening in August 1976, the mall has remained the largest mall in southwest Georgia. Statistically, the retail center caters to a population of 420,000 plus peoples with the average household income among those consumers being $58,347. The mall's official website offers shoppers the opportunity to sign up for a monthly email reminder that includes coupons and highlights events and special sales information. Strollers and wheelchairs are available for shoppers' use, but in order to obtain a wheelchair, one must leave a refundable deposit, and there is a small fee for stroller rentals that can be paid by cash or check with proper identification. Discover card mall gift cards are available for purchase at the mall Customer Service Center during regular mall hours and can be redeemed at all Albany Mall merchants who accept Discover card. Gift cards are available in any denomination from $10 to $500, but a $1 processing fee is charged for each card transaction. There are Pepsi and candy vending machines located in several wings throughout mall. There is a unique volunteering opportunity available through the mall for fashion-savvy males and females ages 5 and up. However, volunteers are subject to application approval. The volunteers serve on the Albany Mall Fashion Board, representing the mall by modeling for fashion events and performing other community service activities in the surrounding area. Applications are only available during a limited period of time each year, and to be considered applicants must submit the proper materials for review between October and the end of December. Visitors have described the shopping center as smaller than most malls but showed enthusiasm for the dining options available within the mall, which even houses its own Chuck E. Cheese. For the die-hard shopper there are several conveniently located hotels affiliated with Albany Mall: the Holiday Inn Albany Mall, the Best Western Albany Mall Inn and the Hampton Inn Albany at Albany Mall. However, many shoppers expressed a preference for the Wingate Inn Albany Mall, which is within walking distance at less than a half-mile from the retail shopping center."
"All American Fun Park","Georgia","All American Fun Park - Albany, GA - Family-Oriented Theme Park and Activity Center","The All American Fun Park is a family-oriented theme park, activity center, and video arcade designed to provide fun and entertainment for the entire family. It was originally created by a Robert and Rheda Hall, a married couple who have called Albany home since 1957, to give locals a place to enjoy miniature golf. The All American Fun Park was eventually expanded to include video games, bowling, go-karts, laser tag, and many other enjoyable fun-for-the-whole-family style activities. The rest is Georgia history! Many visitors to the All American Fun Park still come especially to enjoy the two beautiful miniature golf courses that were the park's original claim to fame. Both courses are designed to please both children and adults alike and also feature opportunities to learn about animals and American symbols, as well as take in the breathtaking scenery, as much-appreciated bonuses. Just as popular are the park's Go-Karts, said to be the fastest in the area. Visitors are free to drive the karts around the ?-mile figure-8 track for hour upon hour of fast-paced, exciting fun. Park patrons looking to get a little wet flock in groves to ride the Blaster Boats, experience the waterfall, and see the squirting alligator. Bowling at the park's inviting bowling center is also a terrific choice for the entire family to enjoy together. For those who love amusement park-style attractions and rides, Albany's All American Fun Park has something to offer as well. The Max-Flight Virtual Roller Coaster takes riders on an astonishing virtual reality trip through a futuristic space asteroid. Twists, turns, dips, spirals, and stellar surround sound make this an unforgettable experience for young and old alike - the perfect cross between and old-fashioned roller coaster and a modern virtual reality adventure. There is also a fun-filled kiddie park specially designed to please younger visitors and give them the time of their life. Dolphins, dinosaurs, and old-fashioned carousels are just a small taste of all this section of the park has to offer. The kiddie park also features the famous Fun Park Express, a charming choo-choo style train that treats the kiddies to a first-class tour of the golf courses and blaster boat area. Last but not least, the All American Fun Park features a comprehensive video arcade and game room - the largest to be found in all of Southwest Georgia. Choose from 70 different arcade games, win tickets, and then redeem them for exciting prizes. Looking for more? Swing by the Space Quest Lazer Tag center and battle it out in an impressive black light arena. When the time comes for park goers to grab a bite to eat, the All American Fun Park has plenty to offer in that respect as well. Their full-service snack bar offers everything from pizza, hot dogs, and nachos to delicious and quick snack foods like cotton candy, popcorn, and ice cream. Plenty of refreshing beverages, including energy drinks to keep you going are available as well."
"Alpine Park","Georgia","Alpine Park - Helen, GA - Family-Oriented Amusement Park","Alpine Park is a beautiful, family-oriented amusement park located in Helen, Georgia. Its name is a reference to the beautiful city of Helen itself, which is a charming re-creation of an alpine village. Alpine Amusement Park, like the city of Helen itself, is nestled snugly in Georgia's majestic Blue Ridge Mountains on the Chattahoochee River. Alpine Park can best be described as a traditional, fun-for-the-whole-family amusement and theme park. It features a wide assortment of games, rides, attractions, and family-oriented activities for the convenience and enjoyment of patrons of all ages. Many of the rides can best be described as old-fashioned attractions designed to evoke a sense of nostalgia in visitors, as well as to compliment the quaint atmosphere of Helen itself. These include such favorites as a full-scale, authentic Eli#5 Ferris wheel, a tilt-a-whirl, a roll-a-plane ride, and many others visitors will be familiar with. The park also features five popular rides specially designed for young visitors. One of the most popular of these is a ride on one of Alpine Park's delightful gas-powered go-carts. Another is the pre-World War II era mini-train, which is a rarity and considered by patrons to be a noteworthy highlight of Alpine Park. Yet another must-see stop on your jaunt around Alpine Park is the bumper boat pool - perfect for those looking to enjoy a little fun out on the water. Alpine Park also features several notable, enjoyable activities that make for good, wholesome fun for the entire family. One of the most popular of these is an afternoon of miniature golfing on the scenic, beautifully-landscaped, and affordable 18-hole miniature golf course. Guests of all ages can also enjoy hitting a few home runs in any one of the park's batting cages. Remote-controlled boats are available for the enjoyment of the entire family. For those looking to beat the heat by getting a little wet, there's Alpine Park's Water Wars water balloon game, too. Last, but definitely not least, an extensive video arcade featuring all the latest games, as well as all the old favorites, is available for the enjoyment of visitors as well. The Alpine Amusement Park in Helen, Georgia is open seven days a week. For further information in regards to specific hours, special events, group rates, park amenities and more, visitors are invited to contact the park's information center directly the better to plan their trip to the area."
"American Adventures","Georgia","American Adventures - Marietta, GA - Family-Oriented Amusement Park","American Adventures is a family-oriented theme park and children's birthday party paradise'' located north of Atlanta, Georgia in the nearby city of Marietta. American Adventures is known not only for its terrific array of attractions and rides, but also for its seasonal events, family-style festivities, and ability to make parties and group excursions special. As such, it is a very popular vacation and weekend destination for many families. As is the case with many similar amusement parks of its type, one of the main draws for American Adventures is its impressive selection of amusement park rides. Some of the most popular of these include such tried-and-true theme park classics as the tilt-a-whirl, the high-flying Balloon Ride, the Scrambler, the Galleon Swinging Ship, and the Main Street Bumper Cars. Also very popular among many visitors - especially youngsters - are the Super Slide, the Rio Grande Railroad, and the Timberline Trucks. American Adventures also offers its visitors a number of other enjoyable options beyond rides as well. The Hidden Harbor Golf course, for instance, is a family-oriented miniature golf course that features all the obstacles, features, and fun typically associated with the game. The Foam Factory is a family fun house especially beloved by children and families with its launchers, foam balls, targets, turrets, and much, much more. A large video arcade caters to visitors of all ages, interests, and skill levels with its collection of over 75 different games. Choose from classic favorites like skee-ball and basketball, or sample all the latest video games. Compete, interact, and win fun prizes all in one place - it's all up to you! Last, but definitely not least, American Adventures lets park patrons live out their fantasies of being top-notch Indy race car drivers with its new Go-Karts and challenging Go-Kart track. Riders can either drive the karts alone, or those 18 years of age or older and in possession of a valid driver's license can drive one with a passenger on board. Height requirements apply for both drivers and passengers. American Adventures has many notable options available for groups as well. Booking your group excursion in advance for ten people or more gives you the opportunity to take advantage of incredible savings. There are also a number of different packages available that include not only park admission, but rounds of golf on the miniature golf course, go-kart rides, arcade tokens, and more. Catering, park exclusives, and lock-in options are available for grad nights and extra-large groups. Those interested in any of these options are encouraged to visit the American Adventures website or contact the park's information center directly for more information. American Adventures is also able to host fabulous children's birthday parties and get-togethers at reasonable prices. Parties of eight or more can take advantage of any one of several affordable package deals that include party planning, catering, clean-up, and other details, leaving the guests with nothing to worry about beyond simply having fun. Events can even be conveniently priced and booked well in advance online."
"AmericasMart Atlanta","Georgia","AmericasMart Atlanta","AmericasMart Atlanta is designed for convenience, amenities, and professionalism. The mart is a leader for consumer goods on an international level. One reason to attend the market is the accessibility given its location in Atlanta which has more flights from all over the world than most cities. The mart also has a large collection of area rug, home, gift, and apparel products. There are over 10,000 hotel rooms within walking distance of the mart and 4,000 permanent showrooms. There are also temporary booths with new items to be introduced.  The large building ensures there is something for everyone in the building as well as top customer service staff. The mart is affordable since it is possible to get discount travel and hotels, as well as free market parking. Onsite or close by AmericasMart there are dining and entertainment facilities too. The Mart is open daily from 10am to 4pm Monday through Friday. They also host Market Wednesday from 10am to 4pm on August 3, September 7, and December 7. These dates can vary for calendar year. Market Wednesday is a special day for exhibitors and attendees. The showrooms can be open after or before non market hours, though not all of the showrooms do this."
