Name,State,Title,Description
"Ahalanui Park","Hawaii","Ahalanui Park - Pahoa, Big Island, Hawaii - The Big Island's Natural Hot Tub","Visitors exploring the eastern portion of the Big Island of Hawaii may wish to take a break from volcano viewing to have a soak in the natural hot springs of Ahalanui Park. Sometimes called The Warm Ponds'' by locals, the park's popular pool is spring fed, and its waters are volcanically heated to a soothing 90 degrees. Although the fortified cement walls that surround it are obviously man-made, the pool itself is naturally geothermal and covers an area equivalent to two Olympic-sized swimming pools. Lava located far beneath the park's surface is responsible for warming the fresh water that flows in from the surrounding terrain via rivulets caused by rain. The surface of the pool is usually very calm, while its bottom is made up of sand and mud, with some small rocks mixed in. The depth of the pool has been contoured to provide a shallow section for children, and ladders have been introduced to make access easy. Owing to its volcanic nature, the heated water has slight sulfur smell. Separating the pool from the ocean is a small inlet that allows sea life to access to the pool. Although the water is brackish, it is quite clear and fish can be seen swimming here among the visitors. Snorkeling in the pool is also allowed. The pool at Ahalanui Park is not a tidal pool in the strict sense of the definition, but the water level does change with the ocean tide. At high tide, ocean waves actually clean'' the pool as they swell in and out. The water temperature drops at high tide, too, as the cooler ocean water flows in. Some pockets of the pool may be warmer than others. Surrounding the entire area are palm trees. An abundance of green vegetation and the blue Pacific Ocean to the east make this an especially beautiful tropical retreat. The thermal pool is rarely crowded, too. Facilities located at Ahalanui Park include restrooms, picnic tables, barbecue grills and plenty of free parking. There are grassy and shady areas for rest and relaxation. Lifeguards are on duty during daylight hours throughout the week. Pahoa is the nearest town to Ahalanui Park, just five minutes away by car. It features several good restaurants, a grocery store, a health clinic, pharmacies, three banks, and arts and crafts shops. On weekend mornings, there is an open market, too. Camping facilities are available at nearby Isaac Hale Beach Park in Puna. Although tent camping may not be suitable in certain areas due to ground and wind conditions, and there are no electrical outlets, the park does have a pavilion, restrooms, outdoor showers, drinking water and a picnic area. Camping permits cost $5 per day for adults aged 18 years and over, $2 per day for juniors aged 13-17 and $1 per day for children aged 12 and under. Located about 40 minutes by car from Hilo, Ahalanui Park covers about three acres. It is open from 7am till sunset daily and there is no charge for admission. The address is Highway 137 Pahoa, Island of Hawaii, Hawaii. To get there by car, take Hawaii State Highway 130 through the town of Pahoa and turn left where the road ends at Highway 137. The park is about four miles further on, just near mile marker 10."
"Ahihi Bay/La Perouse Bay","Hawaii","Ahihi Bay/La Perouse Bay","Ahihi Bay also known as La Perouse Bay is located in south Maui past Makena Beach. The road ends at the natural preserve turning into black lava flow. The flows are a result of Haleakala's last eruption. The preserve attached to the bay is known for its hiking and explorations of shallow caves. The bay is used for snorkeling and other aquatic adventures.  The bay was named La Perouse because of the official visit of the European explorer Jean Francois de Galaup, the Comte de La Perouse. His visit occurred in 1786. Some of the areas around the bay and in the preserve are closed for protection of natural features, thus some of the trails will have sign closures at certain parts. Waiala Cove is a part of Ahihi Bay, where the surf tends to break. It is a good place for surfers. There are no public facilities or water, so one must come prepared to the bay and beach, especially if they are going to hike. Parking is a distance from the bay, thus proper precautions in securing vehicles is recommended. There is a marker for the preserve and bay to help visitors arrive at the right destination."
"Ahihi-Kinau Natural Preserve","Hawaii","Ahihi-Kinau Natural Preserve","The Ahihi-Kinau Natural Preserve is located in south Maui, Hawaii. It is not a recreational park but a natural area with barren, remote, and treacherous paths which can lead to some lava land, as well as numerous historical and ecological sites. Anchialina pools are not for swimming, but offer a special species of brine shrimp to see.  The bay in the natural preserve is less than 15 feet deep, though it can get deeper about 100 feet from shore. It reaches 25 to 35 feet in some areas for snorkelers, who are often interested because of the coral formations. Shallow caves near to shore add to the natural preserve. Turtles come to the rocky and sandy areas, but they are protected and should not be touched or interacted with. Parking is far from the shore, therefore proper precautions should be taken. To arrive at the natural preserve drive five miles outside of Kihei. It is a mile from Big Beach or Makena Beach on Makena Alanui Road. There is a sign marking the natural preserve, which is also surrounded by several condos and vacation homes. Ahihi-Kinau Natural Preserve is protected by the government of Hawaii and rules of visitation are posted."
"Ahuena Heiau","Hawaii","Ahuena Heiau","Ahuena Heiau is a temple on the Big Island of Hawaii. It is not like the temples you might find in other countries such as Rome or even China, but it is an important historical location for Hawaii. The temple is mostly made of wood with straw, and wood logs protecting it from the water. The temple is located at the beach in the Island of Hawaii. It is set on a stone platform but has needed re-building many times, hence the further protection.  The Ahuena Heiau was re-built by Kamehamaha the Great to use as his temple called the Hale o Lono or House of Lono. It was dedicated to the god for peace and prosperity. It is said the gods helped the King and his people. The site is also a place for rituals and food sacrifices of these old times. It was not a temple for human sacrifice. Ahuena Heiau was referred to as an oracle tower in Hawaiian history. It was a place where the high priest was said to receive answers from the gods, which he would then proclaim to the people. The tower is considered the most distinctive feature of the old temple."
"Akaka Falls State Park","Hawaii","Akaka Falls State Park - Honomu, Big Island, Hawaii - Two Impressive Waterfalls in One Park","Roughly a dozen miles north of Hilo on the Hilo-Hamakua coast, Akaka Falls State Park contains two of Hawaii's most impressive waterfalls. Both of the falls are easily accessible along a clearly marked and easily hiked loop trail. The trail begins from the parking lot at the entrance to the park, where a sign marks the trail head. Lining the path is lava rock and lush vegetation, including bamboo stands, banyan trees, and tropical flowers, such as large red ginger stalks and giant heleconia. Although much of the trail is paved, it features numerous steps, both up and down, and footing can be difficult in places. In some areas, railings have been provided for support. The smaller of the two waterfalls appears first along the trail leading off to the right. Although it is not indicated on the entry sign, this is the 100-foot Kahuna Falls, which can be seen across a small ravine, partly hidden by the foliage. The falls do not drop straight down from the mountain ahead. Instead, the water cascades down its face and has created a deep channel as it passes over the rock, almost like a vertical river. The loop trail gains in elevation as it continues on from Kahuna Falls. It actually becomes quite steep in places, but the climb is brief - no more than 100 feet - and the path levels off at the top of the incline. Even before reaching the top, hikers can hear the roar of falling water just ahead and feel the cooling breeze from the ocean. Akaka Falls is the main attraction here, located on the right shoulder of a deep gorge. It drops straight down from a height of 442 feet into a basin surrounded by rocky cliffs and verdant plant life. Although this is by no means the tallest waterfall on the Island of Hawaii, it is certainly one of the most accessible and the most photographed. In Hawaiian, he word Akaka'' means a rent, split, crack or separation.'' The water gushing out from the granite lip of the cliff and plunging into the grotto below certainly lives up to its name. As the trail begins its descent from its wooded summit, hikers emerge at a scenic viewing point. Here, the full panorama of Akaka Falls can be experienced, with rainbows formed by the spray shooting up from the rushing water. Kolekole Stream is the source of Akaka Falls. A large stone is positioned in the stream's current, about 70 feet upstream from the drop off. This stone is called P?haku o K?loa,'' or sometimes P?haku a Pele.'' According to legend, if it is struck by a branch of local lehua ?pane wood, it will call upon the sky to cloud over and rain to fall. Akaka Falls State Park is subject to high levels of precipitation, especially in April. The driest month here is June. High temperatures in the summer average in the 80's, while lows are in the 60's. In the winter, the highs and lows are about 10 degrees cooler. Facilities located in the park include bathrooms, picnic tables, shady areas, phones, and free parking. The 0.4-mile loop footpath can be traversed in about half hour, depending on how much time is devoted to viewing and photography. Trail walks are self-guided, and there is no charge for entry. To get to Akaka Falls State Park, take Highway 19 from Hilo to State Highway 220, also known as Akaka Falls Road. The turnoff to the park is clearly marked at the junction between mile markers #14 and #15. The nearest town is Honomu, a plantation village about 3.6 miles away. The park's address is Akaka Falls Road (Highway 220), Honomu, HI 96728."
"Akatsuka Orchid Gardens","Hawaii","Akatsuka Orchid Gardens","Akatsuka Orchid Gardens is a place for tropical flowers. It is located on the Big Island of Hawaii. The shop carries products online and at their land based business location. They have a hobby of working with orchid plants, but they also have several other tropical flowers to choose from. The business creates floral arrangements, as well as offering mature orchid plants for sale.  The business is open daily from 8:30am to 5pm. It is located at 11-3051 Volcano Road in Volcano, Hawaii. There are several different plants to choose from like orchid plants, anthurium plants, cut flowers, and garden products like bromeliads on rock. Guests are welcome to view the Akatsuka Orchid Gardens and come home with products if they wish. Akatsuka Orchid Gardens was established in 1974. For more than 30 years they have offered plenty of orchids. Mr. Moryyasu Akatsuka has owned the business for decades, helping to create more than 500 blooming orchids that are on display. Mr. Akatsuka worked in a family orchid garden in Japan before immigrating to the USA. The orchids sold originated from their homeland in Thailand. There is no hybridization of these flowers and instead they are gifts from mother nature."
"Ala Moana Hotel","Hawaii","Ala Moana Hotel - Honolulu, Hawaii - Landmark Hotel near the Convention Center","The Ala Moana Hotel's downtown'' location quite literally sets it apart from its competitors. For recreation, it is just across the street from Ala Moana Beach Park. For shopping, it is adjacent to the huge Ala Moana Shopping Center. And for business, it is nearest among all Honolulu hotels to the Hawaii Convention Center. Quite recently, a multi-million-dollar renovation has made this twin-tower landmark hotel even more appealing. Not only were more than a thousand guest rooms refurbished, but other facilities were also expanded, such as the swimming pool and meeting areas, and several modern additions were incorporated, including a new fitness center. Among the hotel's 1,058 guest rooms are 51 suites with kitchen facilities and a magnificent Presidential Suite. There are ten different room configurations, ranging from 246-square-foot units that accommodate three persons with a queen bed and sofa bed to spacious studios and one-bedroom suites that sleep four. All units are non-smoking and come with card key access, air conditioning, a bathtub/shower, cable/pay television with video games, and complimentary high-speed Internet access. Also standard are direct dial telephones with data port/voice mail, a coffee maker, refrigerator, hair dryer, iron and ironing board, in-room safe, and an alarm clock/radio. Cribs are available upon request, as are microwave ovens in non-suite rooms. Only those units in the Waikiki Tower offer balconies; rooms in the Kona Tower do not. Views of the Pacific Ocean to the north or the mountains to the south are most common. Rooms for the physically challenged can be booked in the Waikiki Tower. The freshwater outdoor swimming pool with its expansive sun deck is located on the third floor of the Waikiki Tower. Drinks and snack are served poolside. For workouts, the hotel's new fitness center offers both aerobic and resistance training equipment, plus a sauna and steam room. Among other amenities available on site, the Ala Moana Hotel offers a business center with computers and high-speed cable access to the Internet. There is a concierge for guests' convenience, a small gift store that sells apparel and sundries, and a hair salon offering a variety of styling and treatment services. For business conferences, banquets, and other events, the Ala Moana Hotel now has 15,000 square feet of flexible meeting space. In total, there are nine function rooms, the largest of which is the Hibiscus Ballroom. It can accommodate groups of up to 750 participants. The Garden Lanai is also available for outdoor receptions, shows and social events, including weddings. For dining and entertainment on the premises, the Ala Moana Hotel offers three fine restaurants, a lounge and a nightclub. The Plantation Cafy on the lobby level is the place for a casual breakfast buffet. Chinese cuisine is served for lunch and dinner at the Royal Garden on the third floor of the Waikiki Tower. And Restaurant Tsukasa provides authentic Japanese fare on the lobby level of the Kona Tower. One of Honolulu's hottest nightclubs, Rumours, is open for dancing from 5pm - 3:30am on Fridays and 9pm to 3:30pm on Saturdays. Meanwhile, the Pakele Lounge serves up cocktails from 5pm to 10pm, complemented by live Hawaiian music from 6pm to 8pm. The Ala Moana Hotel is a member of the Outrigger Hotels Hawaii group. Its address is 410 Atkinson Drive Honolulu, HI 96814. Guest parking is available on site."
"Ala Wai Yacht Harbor","Hawaii","Ala Wai Yacht Harbor","Ala Wai Yacht Harbor of Honolulu Oahu, Hawaii is found at 1599 Ala Wai Boulevard. The yacht harbor marks the end of Ala Wai Canal and the entrance to the Pacific Ocean. It is the best location for boaters to park for a day or for longer as it gives the best access to the Pacific Ocean and island. The yacht harbor offers private mooring for private boats. The harbor has the Waikiki and Hawaii Yacht Clubs. At the moment there is a waiting list for a boat slip, on a permanent basis, of ten years. It means that there are day spots available, but for permanent mooring of one's boat there is a wait list of ten years.  There is no swimming or fishing allowed in the harbor even at the Ala Wai Yacht Harbor Club. It is best not to drink from the canal water. Many of the boats docked are sailboats or cruisers. Some of the boats are business boats such as whale watching tours, shark diving tours, and scuba diving tours. The clubs have their own activities. Nearby the harbor are beaches and a few bed and breakfasts. The clubs have restaurants for club members, and there are public restaurants nearby."
"Aloha Flea Market","Hawaii","Aloha Flea Market - Honolulu, Hawaii - Outdoor Shopping Among 700 Vendors","Apart from its primary function as an inexpensive outdoor market, the Aloha Flea Market has evolved into a place for families to gather, to share their cultural diversity and take pride their heritage - a melting pot of Aloha Spirit.'' For many kama'aina, (local residents), weekends at the flea market have become a social ritual. The location of the Aloha Flea Market is Aloha Stadium, a 50,000-seat facility that opened in 1975. The stadium is also home to Oahu's largest swap meet, which can be the source of some confusion. In fact, the flea market grew out of the Aloha Stadium Swap Meet, whose history dates all the way back to 1979. Today, the two are virtually indistinguishable from each other. Both are open from 8am to 3pm on Wednesdays, Saturdays and Sundays in tented stalls surrounding the stadium. The primary distinction is that the Aloha Flea Market comprises the outer two rings of vendors, the so-called Marketplace,'' where some 700 merchants pay monthly fees to display their goods. In this sense, their tented shops are permanent,'' unlike the day-by-day swap meet venues. Many manufacturers who cannot afford to rent retail space in Waikiki offer their products at the Aloha Flea Market. For this reason, it is sometimes described as Hawaii's largest factory outlet.'' It can take more than two hours just to circle the outer ring of merchants. Among the regulars here are vendors of every kind. They sell clothing, jewelry, accessories, household goods, arts and crafts, luggage and bags, souvenirs, personalized products, plants, footwear, electronics, sporting goods, pre-packaged foods, antiques, collectibles, health and beauty supplies, fresh produce, beachwear, hats and even travel services. The atmosphere of the flea market is festive, the variety of goods is incomparable, and the prices are very competitive. Those who enjoy haggling over merchandise will appreciate the vendors' willingness to strike bargains. In fact, bartering is expected; paying full price is the exception, rather than the rule. Official management of the Aloha Flea Market has been contracted by the State of Hawaii to a major catering organization known as Centerplate. The company has long provided the food and beverage concessions for Aloha Stadium, and it specializes in overseeing such operations for many professional sports stadiums, civic arenas, and airports. Among the current concessions visitors will find here are soft drink and snack stands, ice-cold Hawaiian shaved ice, Leo's Taverna offering gyros, and Aloha Foods for a full menu of hearty meals. Visitors are advised, however, to bring bottled water, hats and sunscreen. Folding chairs can also come in handy, as there are few places to sit and rest. Transportation to the thrice-weekly shopping event from hotels in Waikiki is provided by the Aloha Flea Market Shuttle. The round-trip fare is $6.00, which includes adult admission to the market. Alternatively, visitors may take THE BUS, for a fare of $1.50 each way. Those who wish to drive will find ample free parking available. Just follow the Aloha Stadium signs from Moanalua Freeway, State Route 78. Admission is $1 for adults and free of charge for children under eleven."
"Aloha Performing Arts Center","Hawaii","Aloha Performing Arts Center","Aloha Performing Arts Center or APAC believes in giving residents and visitors of Hawaii quality theatre and theatre education. Auditions are held for every season. For the 2011/2012 season such plays and performances as The Diary of Anne Frank, Rocky Horror Show, Oklahoma, Tempest, A Chorus Line, and Schoolhouse Rock are available for residents and visitors to enjoy.  The theatre can also be rented if there are special events groups or individuals want to plan. The theatre rental is going to be around any events scheduled for regular theatre performance. Tickets can be bought online for the Aloha Performing Arts Center. Tickets are dependent on the show being performed as pertains to price. The theatre holds Holiday events too such as Halloween workshops and the like. It is possible to learn how to create costumes through the workshop. Residents are encouraged to take part in the theatre not only in watching the performances, but in being a part of the theatre. The aforementioned auditions look towards talent in order to provide a top performance that anyone would like to attend. It is also a chance for novices to try their talent after going through workshops."
