Name,State,Title,Description
"Arrow rock Dam and Reservoir","Idaho","Arrow rock Dam and Reservoir, Boise, Idaho","Along the Boise River is one of the attractions of Boise, Idaho tourists may want to visit. Arrow rock Dam was completed in 1915, but planning for this dam began five years earlier. Originally the Reclamation Service felt a place east of the dam's actual location would work the best. However, after surveys it was decided that the Arrowrock site would be better. It sits at the main channel and the south fork. The purpose of the dam was for irrigation water. Farms needed the water for their agricultural growth. The Reclamation Service had other projects in the past they worked on, but nothing was as large as the dam they built. The Arrow rock Dam is 348 feet. It is also the world's largest concrete arch dam. Before the dam could even be built they had to do a lot of work to stop water from getting in the way. They created a diversion dam twenty miles away from the site of the dam. The dam has a capacity of 300,850 acre feet with a catchment area of 2,200 square miles. The surface area is 3,100 acres. Height for the dam is 350 feet, with a length of 1,150 feet. To get power to the dam the service had to create a small powerhouse, which was finished in 1912. They also installed three generators that have 1,500 kilowatts of electricity. These generators helped provide power to the Arrow rock's camp, saw mills, and cement mixers. German made Allis Chalmers turbines with 725 horsepower were put at the dam. They were the first to be in a vertical shaft design. In 1976 the dam was added to the National Register of Historic Places. The state did have to refurbish the site in 2002 to make it ready for reserve status. Now during peak times of power demand the dam and its turbines help to supply more electricity. Visitors to the Boise, Idaho area can stay near the dam to enjoy a number of activities. The dam creates a reservoir of water, which is used in the warmer months of the year for swimming, boating, fishing, and recreation. Campers come from around the United States to stay at the Reservoirs camping facilities. They have water, power, and shower facilities on site. The campgrounds are Cottonwood Creek, Irish Point, and Willow Creek. For individuals not interested in camping there are hotels near the Arrow rock Dam and Reservoir. These hotels include Valley Creek Motel, Riverside Motel, Sawtooth Lodge, Springhill Suites, and Boise Guest House. Restaurants close by include Harley's Pub, Crow Inn, and Trolley House. A few miles from the Dam area are Hulls Gulch Nature Trail, Thunder Mountain Line, and the Old Idaho Penitentiary. There are also some nature trails around the dam, though not as impressive as those listed previously. The area is mostly barren with short plants and trees covering the earth. However, the hills do make for a nice adventure to overlook the dam and reservoir. Some photos can be taken at several points."
"Bald Mountain","Idaho","Bald Mountain, Sun Valley, Idaho","Idaho is a plentiful state for mining, skiing, and any number of recreational activities. One place for tourists to visit is Bald Mountain. This mountain is 9150 feet in height. It is located in the central part of Idaho near the city of Ketchum. Bald Mountain is the home to several ski resorts including the Sun Valley Ski Resort. This resort is the oldest and was built as an Alpine Resort like those in Europe. The resort was the first one to create ski runs at various skill levels. The fact that wind does not affect the runs makes it an even better place to ski. It was four years after the resort was established that Bald Mountain got its ski lift, with three single chairlifts. The chairs would take guests almost to the summit. As one of the higher summits in Idaho one can see in the distance to other towns and cities of the region. The base level of the mountain is 5750 feet where the Big Wood River is. A vertical drop of 3400 feet runs along the north face of the mountain. Today it is served by 14 ski lifts, 7 quads, 4 triples, 2 doubles, and 1 surface lift. Bald Mountain offers 75 runs over 2054 acres of land. 645 acres are considered snow making. There are 36 percent easy runs, 42 percent intermediate, and 22 percent very difficult runs on Bald Mountain. Anyone skiing the mountain should have some skill before taking on even the easy runs. Dollar Mountain near Bald Mountain is best for novice skiers. Bald Mountain is not just open during the winter. At all seasons there is something to do at the mountain location. During the summer lift tickets and passes can be obtained for hiking up towards the summit and the other trails. Biking is key to the mountain during the summer months. The ski lift will take passengers and their bikes to the top for extreme mountain biking. Climbers and hikers can also start at the bottom and work their way up towards the top. River Run Lodge, Warm Springs Lodge, Seattle Ridge Lodge, and Dollar Mountain Lodge are available for tourists to stay at Bald Mountain. From the lodges it is possible to reach the various trails. The winter trails do include Nordic or cross country ski trails. There is one very long loop with shorter loops to take skiers off to the side. They can take the 42 kilometer loop or spend the day taking three or four mile trips. The Dollar lodge provides the Dollar Cabin Restaurant for skiers to rejuvenate at. Depending on where skiers come down there are other places to eat as well. For the summer trails the Bald Mountain trail, Broadway trail, Cold Springs trail, Traverse trail, and Warm Springs trail are open. Warm Springs trail is 8 miles up and down hill for hiking and biking. There is a meadow where the wind comes through, located at Monarch Ridge."
"Basque Museum and Cultural Center","Idaho","Basque Museum and Cultural Center, Boise, Idaho","Boise, Idaho is a Basque Spanish region. Immigrants in early times moved to Boise, where they were well known for their hard work and perseverance of the tough western state. Downtown in the capital city is the Basque Museum and Cultural Center. The museum is very important to the maintenance of the Basque cultural heritage. In 1985 the museum was placed in the Cyrus Jacobs- Uberuaga historical house. Some artifacts have been donated to the museum in order to increase the development of the exhibits. Displays, classrooms, library, kitchen, and gift store are all housed in the same building. At the library are oral history archives, manuscript materials, photographs, and records and tape collections. Museum hours are Tuesday through Friday 10am to 4pm, Saturday 11am to 3pm, and Sunday, Monday, and Holidays closed. Admission is inexpensive at $4 for adults, $3 for seniors and $2 for children. Children under 5 are free. Memberships for a full year of access are $35 for adults and $25 for seniors. A present exhibit is the Basque Whaling: Danger and Daring on a Distant Shore display. The display tells of tales where chilling waters and rocky shores lead to the trail to Idaho for the Basque whaler. Treasures from the 16th century such as whaling galleons that shipped between America and eastern Canada are at the museum. Testimonies of the dangers the Basque whalers face are shared. Artisans have depicted some scenes that these Basques would have faced from shipbuilding in the Dark Ages to the early 19th centuries. The house is an exhibit in itself. The home was a boarding place in 1910 until 1969. Families such as the Galdos, Bicandi, and Uberuaga rented the house. The Uberuaga's bought the house in 1928 for $2000. The idea of the house was to be a home for immigrants who didn't necessarily have the means to buy a home when they first arrived. There are four exhibits that remain at the Basque Museum and Cultural Center. The Oral Histories section is audio and pictorial representations of the past. Interviews with Basque people regarding the American West for research are available to hear. A grant even provided the Basque Government to obtain these interviews so that others could hear them. For example the University of Nevada in Reno has a copy of some of these tapes. The Joseph Eiguren Library is filled with books, papers, and manuscripts from Basque peoples. A short introduction on the naming of the library is shared before tourists begin. The library was named because Eiguren gave his collection to the museum. Another important section of the museum is the Jay Uberuaga Hormaechea. This exhibit is hundreds of photo albums and scrapbooks that the man kept. Events happen each year at the museum to gain public interest. These events can be private groups renting the museum property or public events. The museum store allows visitors to take home replicas of artifacts they see at the museum to remember their visit."
"Bogus Basin Ski Resort","Idaho","Bogus Basin Ski Resort, Boise, Idaho","Boise, Idaho is in the northwest in the heart of the mountains. The Bogus Basin Mountain Recreation Area is located About 16 miles north of downtown Boise. Bogus Mountain Ski Resort has 2,600 acres of ski area for all levels of skiers. During the winter it is filled with activity with residents and visitors. On the acreage is 35 kilometers of groomed Nordic trails. These trails take cross country skiers around the mountains, down a few small hills, and to some of the most beautiful sites available. There is a lift which serves the tubing hill, 3 day lodges, and lessons available. The lodges have food service so visitors to the ski resort can stay on the mountain all day. The lessons available are for 3 to adults. Also on site is the equipment rental shop. Bogus Basin Ski Resort opens early in the morning, remaining open until 10pm on most nights. Residents can come ski even after work, school, or for breaks. During the summer Bogus Basin Ski Resort and Recreation Area is open. They have hiking and biking trails. There is also a disc golf course which opens as soon as the snow melts. The lodges can be rented for private functions like weddings, reunions or meetings. Even birthday parties are welcome. For downhill skiing the vertical rise of the mountain is 1800' Base- 5800' top for a total of 7,582'. Lifts include 2 detachable high speed quads, 4 double chairs, and 1 triple chair. Lift capacity is 9,980 riders per hour with a vertical transport feet of 10, 383. The skiable terrain is 2,600 acres with 900 acres of land groomed. For night skiing 165 acres will be lit up. The designated runs are 67 groomed alpine, 22 percent easy, 45 percent intermediate, and 33 percent for advanced skiers only. On average each winter the Bogus Basin Ski Resort is open 140 days from Thanksgiving to mid April. Also on site at the resort area is the Sunshine terrain park for the beginner, the Playground for the intermediate, and Claim Jumper for advance. The Claim Jumper provides big air elements. The airport is 20 miles from the resort. They offer stay and play packages at Bogus Basin Ski Resort for ski passes and hotel stay. The Pepsi Goldrush Tube Hill is an exciting way to have fun with a downhill run without skis. The hill is open on weekends: Friday 12pm to 8pm, Saturday 10 am to 8pm, and Sunday 10am to 6pm. They have tubing sessions that last for two hours. It is $10 per person, though that is subject to change from season to season. Lift tickets for Bogus Basin vary with each season. However, visitors can lock in prices for the upcoming season in advance. For example they can offer a great discount for the next season even as the current season is closing. Visitors are able to take skiing and snowboarding lessons from the school at Bogus Basin. Lesson prices will vary depending on what you want to take."
"Boise Airport (Gowen Field)","Idaho","Boise Airport (Gowen Field) - Boise, ID - Commercial and general aviation airport","Boise Airport, otherwise known as Boise Air Terminal or Gowen Field, is located just three miles south of the city of Boise in Idaho. With over 3 million travelers passing through the airport every year, it sees around 145,000 aircraft operations and is ranked 75th in the US in terms of passengers. The airport can trace its roots back to the 1920's, and in its time was used as a training ground during World War II before being turned over to the City of Boise in 1947 to be used for commercial purposes. Since then it's seen huge expansion and improvement, with the most recent $108 million terminal project being completed in 2003. Today, the airport has two parallel runways, North and South, being 10,000 and 9,763 ft long respectively. These serve numerous direct and connection flights on a daily basis with several international airlines operating from the site including Horizon Air, Frontier and United, as well as smaller chartered operations from the likes of Access Air, Western Aircraft and Jackson Jet Center. The airport is also used by the Idaho National Air Guard, with part of the site being the Gowen Field Air National Guard Base, and during wildfire season it's used by the United States Forest Service as a base for their aerial firefighting air tankers. The passenger terminal is full of coffee shops, restaurants and other retail outlets, with most being open one hour before the first flight of the day right up until the last. There's also a chapel as well as ATM machines, a shoe shine station and even a business center offering everything the business traveler could need. Free Wi-Fi is available throughout the airport, so no-one need miss out on getting some work done. Pets are allowed in the airport as long as they're on a leash or in a carrier, but passengers should bear in mind that the regulations for transporting pets varies with each airline so it's worth checking in advance. For parking there's a short term lot, surface lot and a garage. Short term parking costs up to $18.50 a day, the surface lot is $8.25 daily and the garage costs $10.25. Or, for those staying for less time, all areas are $0.75 per 30 minutes. Disabled parkers are able to get a discount for short term and garage parking, being reduced to $8.25 a day (the same as the surface lot rate). Car rental agencies are located on the first floor of the terminal with companies including National, Avis and Budget. Or, for public transport, there are taxis, shuttles and buses all operating to and from the airport throughout the day. Boise Airport has all the facilities people would expect from an airport and caters to millions of passengers every year, and with improvements and renovations still going on it will soon be offering more than ever before."
"Boise Mormon Temple","Idaho","Boise Mormon Temple, Boise, Idaho","The Boise Mormon Temple was not the first temple to be built in Idaho. In 1945 a temple in Idaho Falls was constructed, even though it was not the capital. President Grant visited the Boise during this time to support the construction of a temple. It was his idea that the temple be built in Idaho Falls rather than Boise. At the time there were more congregates in Idaho Falls. By 1982 the Boise area had enough members to build their own temple, as President Grant had suggested on his visit. 5,000 members turned up for the groundbreaking ceremony. When the building was finally completed, over 120,000 visitors and 246 ministers came to view the temple. Those in charge at the temple only expected 70,000 visitors. In the first year the temple was open it was filled to over 100 percent capacity. Due to the amount of attendees the temple had to be closed two and a half years later in order to expand the space. In 1987 the Boise Mormon Temple was reopened with additional dressing rooms, office space, a new baptistery, and cafeteria. The Boise Mormon Temple is located on I-84. The architecture of the temple was and is amazing. It is one of the reasons tourists visit the temple. It has a variegated outside with a sloping roof and six spires. The builders used light colored marble to match the slate roof. In total the temple is 35,325 square feet set on 4.8 acres. The spires stand 112 feet into the air. For visitors to Boise the interior is only open for church members. Tourists can view the outside, unless they are of Mormon religion, in which case they can come to a service. Even those of Mormon religion can have trouble getting in. They must be an LDS church member. Tourists can get as far as the front desk, but any further and one must have a recommend from their own LDS church. There are guidelines for attendance to the church for those who are LDS church members. Anyone attending a meeting must have their recommend and wear appropriate Sunday clothing. The cafeteria is available at the temple after services. They also have clothing rental at the temple for those who do not have appropriate clothing. Operating hours of the LDS Boise Mormon Temple is Tuesday 5:30am to 8pm, with sessions every thirty minutes; Wednesday through Saturday 6am to 8pm, with 30 minute sessions. The temple is not open on Mondays. They also have special sessions. For example Spanish sessions are held every 3rd Saturday at 5pm. For those who want to attend the church they must first speak with the staff and find out what sessions are available. The Boise Mormon Church is one to visit even for those who cannot go inside. The structure is considered one of the more beautiful temples in the United States. The six spire design has been repeated at other temples because of its popularity and look."
"Boondocks Fun Center","Idaho","Boondocks Fun Center, Meridian, ID","One of the fastest growing cities in Idaho is Meridian. It was founded and established in 1891 on the Onweiler farm. This area was actually north of where the city is today. An irrigation ditch was dug in 1892 and the region became a farming community. One attraction that is popular with locals and visitors is the Boondocks Fun Center which recently changed its name to Wahooz Family Fun Zone. Visitors can find the center about five miles west of Boise next to another family attraction, the Roaring Springs Waterpark. The amenities at the Wahooz (Boondocks) Family Fun Zone include: Rookie Go - Karts, Go - Karts, Kiddie Cove, Bumper Boats, Batting Cages, Miniature Golf, Laser Tag, an Arcade and the Max Flight Simulator. This is a place for holding birthday parties or family reunions. Everyone in the family can find something fun to do at Wahooz. They are located at 1385 Blue Marlin Lane in Meridian, Idaho. The Wahooz (Boondocks) is open seven days a week. The hours of operation are Sunday through Thursday from 10:00 am to 11:00 pm and Friday & Saturday from 10:00 am to midnight. Cost to visit the Fun Zone varies. There is a General Unlimited Fun Pass for people sixty inches or more that is $26.99. A Junior Unlimited Fun Pass for people less than sixty inches is $18.99. The price includes miniature golf, laser tag, go - karts, slick track, rookie go - karts, kiddie cove, and bumper boats. General admissions get ten arcade tokens and Junior admissions receive twenty arcade tokens. These prices are good for the hours of 4:00 pm to closing Monday through Friday and Saturday, Sunday, Specific Holidays and Summer Break from 10:00 am to closing. The Wahooz Family Fun Zone (Boondocks Fun Center)has different fun packs available as well. Fun Pack number one is $12.99 and includes: unlimited miniature golf, one attraction (laser tag, go - karts, slick track, rookie go - karts, max flight, or bumper boats and ten arcade tokens). This package is available anytime throughout the year. Fun Pack number two is $16.99 and includes: unlimited miniature golf, two attractions (laser tag, go - karts, slick track, rookie go - karts, max flight, or bumper boats) plus ten arcade tokens. This is available anytime throughout the year. More choices are available with the Fun Pack number three. It includes: unlimited miniature golf, three attractions (laser tag, go - karts, slick track, rookie go - karts, max flight, or bumper boats) and ten arcade tokens for $20.99. The final fun pack is the Junior and it includes: unlimited miniature golf, unlimited kiddie cove and twenty arcade tokens for $12.99. This pack is good all year and at anytime. For twice the fun visitors can get the Wahooz Unlimited Fun package that includes an entire day at the Roaring Springs Waterpark for $39.99. Guests can use it the same day, the next day or anytime within six days of purchase. This is only good as long as the Roaring Springs Waterpark is open. The Clubhouse Grill provides food for the Fun Zone. It is open from 10:00 am to 11:00 pm or midnight depending on the day. They serve fast food, drinks and desserts."
"Brundage Mountain","Idaho","Brundage Mountain, McCall, ID","Brundage Mountain is one of the premier ski areas of Idaho. It is known for the perfect powder snow and the slopes are also well groomed. The resort at Brundage Mountain is near McCall, Idaho. There are approximately 19,000 acres devoted to backcountry Cat Skiing. The mountain receives about four hundred inches of snow each year. During ski season the lifts run daily from 9:30 am to 4:30 pm. There are also some summer activities at Brundage Mountain. The main lodge holds the Brundage Mountain Resort Rental and Repair Shop. They have skis, snowboards and performance skis for rent. Visitors that have their own equipment can get it tuned or repaired if necessary. There are ski rental packages available for all ages. A full day package for twelve years and up is twenty seven dollars for a full day, twenty five dollars for a half day or twenty five dollars for a multi day. Snowboard packages are twenty nine dollars for a full day, twenty seven dollars for a half day and twenty seven dollars for a multi day. Youth Ski Packages for eleven and under are seventeen dollars for a full day, fifteen dollars for a half day and fifteen dollars for a multi day. Visitors wishing to rent a performance ski package will pay thirty nine dollars for a full day, thirty seven dollars for a half day and thirty seven dollars for a multi day. Individual items are also available such as helmets for four or six dollars, adult boots for eighteen or twenty dollars and adult skis for nineteen or twenty one dollars. Half day rates begin after 12:30 pm. Hot iron waxing is twelve dollars, basic tune is thirty six dollars, full tune up is forty six dollars and major repairs are thirty dollars an hour. Snowboards are fifteen dollars for a hot iron wax and thirty six dollars for a basic tune-up. Bindings can be checked for releasing and adjustments. The cost is eighteen dollars. Mounting new bindings or remounting bindings are thirty six or thirty nine dollars respectively. Several opportunities for dining are at the main lodge and on the mountain. The Main Lodge Cafeteria is open from 8:00 am; however, the grill doesn't open until 11:00 am and it closes at 4:00 pm. It is on the third floor of the lodge and serves American cuisine. Hamburgers, hot dogs and a potato bar are served at the cafeteria. Daily specials and fresh baked breakfast items appear on the menu. On weekends and holidays they serve a breakfast buffet. Smoky's Kitchen is on the second floor of the lodge. They have Asian cuisine choices, hot soups, sweet potato fries, chicken wings and homemade potato chips. Mid mountain skiers can eat at The Bear's Den. Soups, chilli, stew and Mexican cuisine are served on the weekends and holidays from 11:00 am to 4:00 pm. The Bird's Nest is a Yurt at the top of the Blue Bird Quad. This warming hut serves soups, chilli, hot dogs, nachos and fresh bread items from the lodge. Light beer, Anchor Steam beers and other liquors are served here as well."
"Casino at Best Western Kootenai River Inn","Idaho","Casino at Best Western Kootenai River Inn, Bonners Ferry, ID","Gold being discovered in the East Kootenays of British Columbia brought people from everywhere in 1863. One of the people that came was Edwin Bonner, a merchant, from Walla Walla, Washington. He was the man that installed a ferry from the Wildhorse Trail across the Kootenai River in 1864. Richard Fry came along in 1875 and leased the business, but the name stayed the same and that is how the name of Bonners Ferry, Idaho received its moniker. The area of Bonners Ferry still enjoys the beauty of the Kootenai River and the mountains. They are in the upper part of Idaho so the Canadian border is very close. Attractions include a wildlife refuge, recreation areas, ski resorts and golfing. A casino is located at the Best Western Kootenai River Inn. The hotel is located at 7169 Plaza Street in Bonners Ferry, ID. Every room has private balconies that provide views of the surrounding countryside. Free internet access comes with each room as well as free long distance. The rooms have king sized beds and a forty two inch LCD television with a satellite connection and HBO. Guests can order room service from 7:00 am to 9:00 pm and also fix a cup of coffee or tea with the coffeemaker. There are several rooms that are available for guests. Some have river views or Jacuzzi tub that overlooks a fireplace, the Kootenai River and the Selkirk Cabinet Mountain Range. Families can book the Executive Suite with two separate rooms and pocket doors for privacy. These rooms have a sectional sofa, fireplace and dining table with chairs. Small pets are welcome at the hotel. There is a fee of twenty five dollars a night. Check in is at 3:00 pm and check out is 11:00 am. Triple A gives the hotel a rating of three diamonds. The indoor heated pool also has a hot tub in the same area. The exercise room is open from 7:00 am to 11:00 pm for the guests. The room has a stationary bike, stair stepper, and treadmill. A steam room and the Kootenai Spa offers massage services. There is a barber and beauty shop on site. Children of all ages will enjoy the game room with arcade and video games. Besides the casino Bingo is held on Wednesday nights at 4:00 pm. Dining at the hotel will be at the Springs Restaurant and Lounge. They are open daily for breakfast, lunch and dinner. The chairs in the area are made for a comfortable dining experience. There is an outside patio for dining that provides great views of the Kootenai River and mountains. The hotel offers packages so that guests can enjoy the Kootenai Spa, choose from breakfast, lunch or dinner and then play at the Kootenai Casino. They have four hundred and ninety six slot machines or Digital 21 for the guest's entertainment. There is plenty to do in the hotel or outside recreational activities when guests stay at the Best Western Kootenai River Inn."
"Circling Raven Golf Course","Idaho","Circling Raven Golf Course, Worley, Idaho - Regarded as the Best Tribal Golf Course in America","When the Cour d'Alene Indian Tribe in Northern Idaho was ready to expand its casino and hotel complex by adding a golf course, the tribe brought in six golf-course architects to make their pitch. They chose the one whose proposal took the most difficult route through the available land - the part protected by wetlands and a railroad track. The result is Circling Raven Golf Course, designed by Gene Bates and opened in 2003. At 420 acres and more than eight miles of cart path, Circling Raven is a display of rolling meadows, stately pine trees and wide-open northwestern vistas. It also routes through and around wetlands, and even passes through a tunnel beneath the Burlington Railroad track in order to connect to the rest of the course. The 18-hole, par-72 course plays to 7,189 yards from the longest tees, with a USGA rating of 74.5 and a slope rating of 140. As the eight miles of cart path attest, Circling Raven is a big course that calls for hitting driver on most of the par-4s and par-5s. Even the par-3 No. 13, which plays to 253 yards from the longest tees, may require a driver off the tee to carry the wetlands. The signature hole for the course is the par-4 No. 8. Like most of the course, the hole has a secluded feeling. At 386 yards, it's a relatively short par-4, framed by pines trees and requiring a forced carry over the native grasses to find a fairway that slopes to the right. Another noteworthy hole is the par-5 No. 12, which is rated the most difficult on the back nine. A scenic, albeit challenging brute, the hole requires a drive of up to 275-300 yards to reach the fairway off the tee. The hole works left, then right, then back left again as it winds through clusters of pine trees and clover-shaped bunkers. Since its opening, Circling Raven has received a number of honors and accolades. In 2008, GOLF Magazine ranked it No. 93 on its list of Top 100 Courses You Can Play,'' as well one of the Top 10 Best New'' golf courses. Golfweek Magazine rated it the Number 11 Best Casino Course'' in America in 2008. And the course is also generally regarded as the best tribal golf course in America. The course also boasts some unique practice facilities, including a range just for wedges hit to various practice greens. The 25-acre practice facility also offers a full driving range, as well as chipping and putting greens. Lessons are also available. The Circling Raven Golf Club also boasts a pro shop that features the latest golf equipment and apparel, as well as specialty items - such as jewelry, dinnerware, glassware, frames, and tribal art - typically not found in such venues. The PGA has nominated Circling Raven Golf Club as Pacific Northwest PGA Resort Merchandiser of the Year'' several times. The Cour d'Alene Hotel features 202 rooms, as well as two restaurants, a lounge with live entertainment, and the casino. The casino has more than 1,600 video gaming machines, offers off-track betting, and also schedules events such as professional boxing and concerts in its ballroom. The resort also has an indoor swimming pool and Jacuzzi."
