Name,State,Title,Description
"Affinia Chicago","Illinois","Affinia Chicago","The Affinia Chicago offers comfortable, trendy accommodations in the heart of Chicago. The rooms feature eclectic décor with MP3 players, data ports, high-speed Internet access, flat screen televisions, makeup mirrors over the vanities, Damana bath amenities and large work desks. Guests can dine onsite at The C-House, featuring the award-winning culinary creations by Chef Marcus Samuelsson. The restaurant is located right off of the hotel lobby and features rustic, natural surroundings, a raw bar, handmade desserts and a sophisticated menu. The hotel offers room service, valet parking, an indoor and outdoor lounge affiliated with C-House and a 24-hour fitness center. Guests also enjoy the hotel's convenient location close to Navy Pier, the Magnificent Mile, the John Hancock Observatory, the Sears Tower, Wrigley Field, US Cellular Field, the United Center, the Field Museum, the Shedd Aquarium and a variety of other area attractions. Guests have access to meeting and event space suitable for up to 130 guests. Meetings can be customized to suit your needs. Styles include green meetings that go easy on the environment, brainstorming meetings that are great for creative planning, high tech meetings that feature plenty of gadgets or no-tech meetings that are paired down and simple. Regardless of your needs, the Affinia can help. "
"Albany Park Neighborhood Part of Colorful Chicago History","Illinois","Albany Park Neighborhood Part of Colorful Chicago History","One of Chicago's 77 designated community areas'', Albany Park sits in the north central portion of the city and has been dubbed one of the most ethnically diverse regions in the United States. The area that is now Albany Park began with the purchase of 10 acres by entrepreneur Richard Rusk in 1868. Rusk opened a horse racing track there, which attracted city-dwellers to the area. They'd come to enjoy not only the sport but also the country-like setting they found near Rusk's property. The area continued to grow in popularity with city residents and was eventually annexed by the city in 1889, becoming part of Jefferson Township. In 1893, four wealthy and well-known Chicagoans purchased more than 600 acres near the Rusk tract and eventually brought transportation lines to the area. The four men, streetcar entrepreneur DeLancy Louderback, Illinois Trust and Savings Bank founder John Mitchell, Northwestern Elevated Railroad owner Clarence Buckingham, and transportation magnate Charles T. Yerkes, decided to call the area Albany Park, naming it in honor of Louderback's hometown of Albany, NY. The act of bringing public transportation to the area had a huge impact on Albany Park's commercial and residential growth. Streetcars came into the community around 1896 and the Ravenswood Elevated Train had reached Albany Park by 1907. In addition, streets were widened and straightened. This initiated a building boom that included not only numerous new homes but also large department stores, small shops, and entertainment venues, such as theaters. More than 7,000 people lived in Albany Park at the time of the 1910 census. Twenty years later, the community's population had increased more than seven-fold to 55,000. In the early years of the twentieth century, Albany Park became a haven for immigrants hoping to make a home and a living in the city. Germans and Swedes were the first to arrive, followed by large numbers of Russian Jews. Throughout World War II, Chicago's Albany Park was largely known as a Jewish neighborhood, home to numerous synagogues serving the population's religious needs. However, the years after World War II brought declining population to the area as many of the Jewish families moved to the suburbs. Throughout the 50s, 60s, and 70s, the community saw a marked decline in property values, and by the mid-70s, many homes and commercial locations stood empty and became dilapidated, attracting drug dealers and other unsavory characters to the area. Finally, in 1978, the city government along with the North River Commission and the Lawrence Avenue Development Corporation intervened in an attempt to revitalize the area. Thanks to its Facade Rebate Program, property values continued to increase throughout the 1980s and 1990s. Today, Albany Park has once again become a popular entry port for immigrants, this time from Asia and Latin America as well as the parts of Eastern Europe and the Middle East. The neighborhood is often referred to as the Koreatown'' of Chicago; however, many shops and restaurants featuring a wide variety of other ethnic specialties have sprung up there, especially in the last decade. As a result of the large numbers of immigrants, the Chicago Public Schools estimates that approximately 40 languages are spoken in Albany Park's schools. The community of Albany Park is also well-known for its strong Democratic tendencies. Election results in the 2004 presidential election show nearly 98 percent of the voters in Albany Park precincts casting their vote for the Democratic candidate."
"Algonquin Commons and Algonquin Galleria - Algonquin, Illinois Lifestyle Centers","Illinois","Algonquin Commons and Algonquin Galleria - Algonquin, Illinois Lifestyle Centers","Algonquin Commons and Algonquin Galleria are outdoor lifestyle centers across the street from each other, situated five miles north off the I-90 Randall Road exit at Randall Road in Algonquin, Illinois. Algonquin Commons opened in 2004 and is approximately 600,000 square feet in size with over 80 stores and restaurants. Construction of Algonquin Galleria began in phases from 2006 and is expected to take five to seven years to complete, by which time the two centers combined will form the second largest retail complex in Illinois. The Commons also continues to grow and is owned by Inland Real Estate Corporation an Illinois based company. They are one of the Midwest's largest owners and operators of community, neighborhood, power and lifestyle shopping centers and single-tenant retail properties. The Galleria is owned by Mid-America Development Partners, which is another Illinois based company specializing in retail and lifestyle centers since 2001. Algonquin Commons has numerous stores and restaurants including clothing stores for men, women and children such as Aeropostale, American Eagle Outfitters, Ann Taylor Loft, Gymboree, Old Navy, Talbots and The Gap. There are a couple of specialist shoe stores here, namely Clarks Shoes and DSW Shoe Warehouse. Sportswear and equipment can be found at Dick's Sporting Goods. Shoppers can buy jewelry and accessories at Claire's, Jared Jewelry and Zales Jewelry, whilst health and beauty stores such as Bath and Body Works and Ulta are also located here. Various services are provided here too at Chicago Home Fitness, Taylor Stevens Salon & Spa, The Eye Boutique and Venetian Nail Salon. Other stores featured here include Borders, Hallmark, Petsmart, Pottery Barn and Relax Home Furnishings. At Algonquin Galleria there is 275,000 square feet of retail space with 25 stores and restaurants opened during phase one of the development, but by the time it is completed it is anticipated there will be approximately 150 stores and restaurants. Anchor stores opened in phase one are Best Buy, Brunswick Zone, Dania Furniture, La Z Boy Furniture and Ethan Allen. The other store opened in phase one is 2nd Wind Exercise Equipment and shoppers should have no trouble parking with over 1,400 spaces available here. There are a few places to find food at Algonquin Commons ranging from snacks and beverages, sit down restaurant meals and sweets and candies at Hi Sweetie. Eateries open at the mall include Bonefish Grill, Cheeseburger in Paradise, Houlihan's and Subway. The Galleria features a handful places serving food and drink such as Famous Dave's BBQ, Golden Corral, Jamba Juice and Potbelly. The Commons' Guest Services Office is open 10am to 9pm Monday to Saturday and 11am to 6pm on Sundays. Located next to Aeropostale and Abercrombie and Fitch Guest Services staff are available to help with store and local area information and shoppers will be able to purchase gift cards from here too. Numerous events are held throughout the year including outdoor music, public art displays and horse-drawn carriage rides during the holidays."
"Allerton Hotel","Illinois","Allerton Hotel","The Allerton Hotel is located at 701 North Michigan Avenue in Chicago, Illinois. Situated along the magnificent mile in downtown Chicago, the Allerton Hotel offers a sophisticated and modern look due to its recent renovation. The hotel is popular because of its location and sits just blocks away from the Navy Pier, Millennium Park, and the Rush Street nightlife district. World-class entertainment venues, fine restaurants, and great shopping destinations are located within footsteps from the front door of the hotel. The McCormick Place Convention Center is located just ten minutes away and the O'Hare International Airport is only twenty minutes away.  The rooms come in a variety of sizes and prices. Guests may select form the standard or classic rooms or for something a little more pricey the executive or specialty suites. Plush linens are set in rich white and deep blue colors and maid service is available twice daily. Flat panel televisions and Bath and Bodyworks bath amenities are all available in each guestroom. Dining at the Allerton is a great experience. The M Avenue Restaurant and Lounge is one of the newest and most stylish restaurants in downtown Chicago. Cocktails and creative cuisine are served at this unique restaurant."
"Allstate Arena Rosemont, Illinois","Illinois","Allstate Arena Rosemont, Illinois","The Allstate Arena is located in Rosemont, Illinois, which is part of the Chicago area. The arena is mostly a sports facility for the Chicago Wolves hockey club, DePaul University men's basketball, and Chicago Rush Arena football team. The exact location of the arena is 6920 North Mannheim Road, which is adjacent to the O'Hare International Airport. Originally the structure was called the Rosemont Horizon. It was supposed to be the home of the WHA Chicago Cougars. Unfortunately the WHA closed before the ground breaking on the arena began in 1977. To fund the arena it was necessary for Rosemont to offer $19 million in bonds. They financed contracts with this money. Araserv, Ringling bros. and MFG International all had exclusive contracts at the arena. In 1979 an accident with construction workers ended five lives and injured 16 others. The incomplete roof collapsed. In 1999 the town no longer wanted to support the arena, so they sold it to the Allstate Insurance Company. They paid $20 million to renovate the arena and change its name. The arena is considered a cornerstone for the WWE. It has hosted numerous Wrestle Mania events. They have also filmed other pay per view events at the arena like the 1989 Survivor Series, Judgement Day 1998 and 2009. The Great Midwest Conference men's basketball tournament and NCAA basketball tournament has been hosted at the arena. Over the years there have been hundreds of concerts at the Allstate Arena. For example Fleetwood Mac, Journey, Mariah Carey, Iron Maiden, Michael Jackson, Bon Jovi, Paul McCartney, Madonna, Paula Abdul, and Dave Matthews Band have all played at the arena. More recent events and events to come include American Idols Live, Ricardo Arjona, WWE Monday Night, Britney Spears, Wisin Y Yandel and Pink. All ticket sales for events go through ticketmaster or at the Allstate Arena Box Office. The box office is open Monday through Friday 11am to 7pm, and Saturday noon to 5pm. The box office is also open three hours prior to events and one hour after the event has started as long as tickets are available. The arena has seating all around with two stationary levels. There can be seating on the floor of the arena when concerts are being held there. The arena can be turned into a concert hall, ice rink, basketball court, or indoor football. Parking is plentiful at the Allstate Arena. There is parking close to each of the entrances though there is not a parking garage. Parking fees range from $11 to $20 for most events. Buses and Limos are charged extra. Parking is available two hours before an event begins. Close to the arena are places to eat and stay. The hotels include Aloft, Best Western, Candlewood Suites, Comfort Inn, Courtyard by Marriott, and the DoubleTree Hotel. There are more hotels than those listed here. Restaurants around the area are Abruzzi, Barnaby's, Bella Sera, Capital Grille, Giannotti Italian Steakhouse, Gold Coast Dogs, and Harry Caray's. There are about a hundred restaurants close by."
"Alton Square","Illinois","Alton Square - Alton, Illinois - Shopping Mall","Alton Square is a shopping mall situated on the corner of Homer Adams Parkway and Alton Square Mall Drive in Alton, Illinois. Opening hours are 10am to 9pm Monday to Saturday and 12pm to 6pm on Sundays although restaurant hours may vary. It is an enclosed regional mall with almost 635,000 square feet of gross leasing area and plenty of parking spaces. The mall has undergone renovation work in 2008/9 and currently houses over 60 stores and restaurants. It is owned by Coyote Management, L.P., a mall ownership and management company based in Dallas, Texas. They acquired the mall in 2007 and as well as undertaking work on the mall they have also expanded the Hayner Public Library within Alton Square. The mall has numerous stores and restaurants located on two levels with the anchor stores being JCPenney, Macy's and Sears. As well as these department stores, many other clothing stores for men, women and children are featured here including Christopher & Banks, Maurices, New York & Co and Savvi Formalwear. Several specialist shoe stores also feature here such as Famous Footwear and Payless Shoe Source, whilst sporting goods can be found at Champs Sports and Finish Line. Shoppers can find jewelry and accessories at Claire's Boutique on the lower level, and Alton Square also has several health and beauty stores such as Bath and Body Works, GNC Live Well and Vitamin World. Various services are provided here too at Mastercuts, Merle Norman Cosmetics and Top Nails. JCPenney and Sears also have their own portrait studio and optical departments, with the former also featuring a styling salon and the latter a hearing aid department. Books, cards and gifts can be purchased at stores such as Calendar Club, Family Christian Bookstores, Kirlin's Hallmark, Spencer Gifts and Things Remembered. Toys and games are available at GameStop on the lower level and Radio Shack, which is upstairs. There are various events and programs held at the mall, and children can also be entertained with the coin operated kiddie rides on both floors outside Sears. There are a few places to find food ranging from snacks and beverages to sit down restaurant meals. Eateries open at the mall are Amarillo Tex's Steakhouse, China Gate Express, Cookie Factory Bakery and Cafy and Olga's Kitchen. Nearby there are many other eateries on Homer Adams Parkway such as Applebee's, China King, Kentucky Fried Chicken, McDonalds, Pizza Hut and Steak N Shake. The Customer Service Center is located near the center of the mall on the lower level, with staff available to help with store and local area information, whilst the Mall Management Office and Security are located upstairs. Services and amenities at the Customer Services desk include lost and found, free wheelchair hire and stroller rentals as well as a copy and fax service at the Hayner Library on the lower level. Restrooms are located on the upper level and there is also a photo booth close to Sears on the lower level."
"Amalfi Hotel Chicago","Illinois","Amalfi Hotel Chicago","Located in Chicago's River North District, the Amalfi Hotel Chicago aspires to surround guests' senses in modern luxury. This boutique hotel accommodates guests in a convenient location close to the Magnificent Mile in downtown Chicago.  Included with each guestroom are bathrobes, slippers, high-speed internet access, cd and dvd players, and iHomes. A complimentary, daily Bon Giorno breakfast, located on each floor, features various Italian offerings. An afternoon reception offers guests various hors d'oeuvres and the hotel's signature drink, the Amalfitini. The hotel offers services, such as a business center, in-room spa services, event space, 24-hour fitness center, and Experience Designers to make every stay enjoyable. The Amalfi Hotel offers a variety of package choices that fits every occasion, whether it's romance, culture, or tourism. Just 13 miles from Chicago Midway International Airport and 18 miles from O'Hare International Airport, Amalfi Hotel Chicago is located close to many sites and transportation options. This hotel is within walking distance of Hancock Observatory, Museum of Contemporary Art, and Michigan Avenue. Also nearby, tourists can enjoy the Art Institute of Chicago, Alder Planetarium, Financial District, McCormick Place Convention Center, Buckingham Fountain, Navy Pier, Soldier Field, Wrigley Field, Michigan Avenue, Navy Pier, and Millennium Park."
"Ambassador East Hotel","Illinois","Ambassador East Hotel","The Ambassador East Hotel is located in Chicago Illinois and has been providing accommodation to guests since 1926. The hotel features a timeless grandeur and is a National Historic Landmark in the prestigious 'Gold Coast' area of Chicago.   There are 285 guest room and suits in the hotel. The rooms have been designed to provide guests with a home away from home whether they are travelling for business or pleasure. Each room offers guests a view of Gold Coast, Lake Shore Drive or downtown Chicago. The room types available are the Traditional Double or King rooms, Executive Suites, Parlor Suites, a Specialty Suite and the Presidential Suite. Meetings and events are able to be held at the hotel in one of the 13 meeting rooms, including the 2,500 square foot Bayfield Lounge, and over 8,900 square feet available over the remaining twelve meeting areas. Many meeting facilities are available for use in meetings and events such as audio-visual equipment and catering. The Ambassador Hotel is also a beautiful place to host a wedding. Due to the classic feel of the hotel along with its past historic moments, provides a romantic setting to any wedding. The hotel also provides the bridal party with a brunch, rehearsal dinner and accommodation for guests of the wedding."
"Anderson Gardens in Rockford, Illinois","Illinois","Anderson Gardens in Rockford, Illinois","Mr. and Mrs. John Anderson received the inspiration for Anderson Japanese Gardens upon returning from their first visit to Japan in 1966. While visiting Japan, Mr. Anderson met a friend Akiro Ohno, who provided him with a complete look at Japanese culture and its people. When Mr. and Mrs. Anderson purchased property to build a new home, they both shared the idea that the grounds would be suitable for building their own Japanese Gardens. Anderson Japanese Garden construction began in 1978, and the grounds were designed and built by Hoichi Kurisu. Hoichi Kurisu first came to America in 1968, after accepting a Director of Landscaping Design at the Japanese Garden Complex in Portland, Oregon. Mr. Kurisu spent many years studying ornamental landscaping under the tutelage of famed Japanese landscape designer Mr. Kenzo Ogata, and opened his own landscape design and construction business in Portland, Oregon. The grounds consist of two extremely different areas; the first is a Japanese formal garden done in the style popular in 1185 through 1333 A.D., while the Tea House, Guest House and machiai are done in the 16th century Sukiya style. The three elements of the gardens are; rocks, water and plants. The first waterfall was built in 1981 and guided tours were first began in 1983. Over the next 20 years there were several improvements and additions made to the property. In 1986, the Guest House gardens were completed and the West Waterfall construction began. Between 1991 and 1997, the Anderson Center was purchased and remodeled and the Blue Iris Visitors Center was added. The gardens are designed to allow guests to commune with nature, enjoy peace and tranquility and leave behind the stresses of every day life. In April of 2008, the Anderson Gardens added a restaurant to the property, and is simply called the Restaurant at Anderson Gardens. The restaurant overlooks the gardens and has two outdoor decks for enjoyment during the spring and summer. There is seating for 135 people inside and the two additional decks allow for 40 more seats outside. The restaurant serves breakfast, lunch and has a weekend brunch option available for visitors. The Anderson Gardens contains some very diverse flora with over 500 different types of rhododendron species and more than 100 types of companion plants. The gardens also contains the following features; Snow Viewing Lantern, the Granite Pagoda, Zig Zag Bridge, Crane Island, Turtle Island, Milles Angel Sculptures, Deer Chase and many other areas. The garden is not a park at all, but rather a place of reflection and unique beauty. The garden is open year-round weather permitting, and there are guided tours Monday through Thursday, for groups of thirty or less. It is recommended that any larger numbered groups call in advance to make special arrangements prior to visiting, the gardens and restaurant are a very popular attraction and last year approximately 40,000 visitors came to enjoy the peaceful environment the gardens provide."
"Andersonville Neighborhood in Chicago, Illinois","Illinois","Andersonville Neighborhood in Chicago, Illinois","With community roots extending back into the 19th century, Andersonville began when immigrant Swedish farmers started moving northward into what was originally a distant Chicago suburb. During the 1850's, the area north of Foster and east of Clark was a cherry orchard, and families had just begun moving into the outskirts of the city. The first school, Andersonville School, was constructed in 1854, at the corner of the two thoroughfares, and it served as the primary school in the community until 1908. After the Great Chicago Fire of 1871, wooden homes and buildings were outlawed in Chicago. The Swedish immigrants who could not afford to construct homes of stone or brick were forced to move to the city's north limits. The immigrants continued to arrive in Andersonville throughout the beginning of the 20th century, and settled into the newly constructed homes around Clark Street. Most of the community was dominated by Swedish businesses, from the delicatessens to hardware stores, shoe stores and blacksmiths and bakeries. Local churches such as Ebenezer Luther Church and St. Gregory's Roman Catholic Church were also built entirely by Swedish immigrants and reflected the religion of the new arrivals. Like many other European-American ethnic groups, the Swedish immigrants began to move to the suburbs during the Great Depression and post-war period, and the neighborhood began to experience decline. With growing concern about the deterioration of commercial situations, the Uptown Clark Street Business Association renewed its commitment to Swedish heritage by renaming itself as the Andersonville Chamber of Commerce. Andersonville was rededicated on October 17th, 1964, with Chicago Mayor Richard M. Daley and Illinois Governor Otto Kerner attending the ceremony. Around the same time, the annual Swedish summer celebration morphed into Midsommarfest,'' which has since become one of Chicago's most popular street festivities. During the late 1980's, the Andersonville neighborhood began to experience a period of revival as professionals rediscovered lovely homes and the close proximity to downtown Chicago made it all the more appealing. New stores, gift shops and restaurants opened and Clark Street had a new commercial vitality and diversity. Today, Andersonville contains the largest concentrated areas of Swedish culture in America and is home to a diverse community of residents and businesses. Andersonville is considered to be one of the hottest'' neighborhoods in Chicago, Illinois and enjoys nationwide fame for its unique commercial district. The locally owned businesses are a crucial part of the vitality and life of the neighborhood, and provide untold economical benefits to the community. Communities all over the America now seek to emulate Andersonville as a model of a thriving and multicultural urban neighborhood. With its rich mixture of ethnicities and history, Andersonville has only grown in popularity over the years and continues to maintain its commitment to preserving its Swedish history and diverse community."
