Name,State,Title,Description
"Amish Acres","Indiana","Amish Acres - Nappanee, Indiana - Quaint Amish Resort in Mid-America","Amish Acres in Nappanee, Indiana is a chance to experience the quiet and simple lifestyle of the Amish. It offers a historic farm and heritage resort. The homestead exposes visitors to way of life the Amish lead, and the tools and achievements of yesteryear. Visitors can take a wagon ride around the 80-acre farm, witnessing the workings of a real Amish farm. There are barnyard animals, livestock, gardens, and an apple orchard. The tour exhibits many of the buildings of Amish Acres, including a one-room schoolhouse, a cider and grist mill, and the main house and barn. The tour begins with a documentary film, Genosis and Exodus of the Amish,'' so visitors will have a feel for the history of Amish culture. There is a special movie for children, designed to hold the interest and attention of a child. Following the tour, many people choose to enjoy The Old Barn Restaurant and Thrashers Dinner. This is a family-style feast, including all the traditional fare of an Amish meal. End the gluttony with Shoo-fly pie, a sweet Amish favorite from long ago. Special holiday and Sunday buffets are available, so plan ahead if your trip includes a special occasion. To enhance the Amish Acres experience, the farm has included a musical theatre on the grounds. They offer a full schedule of whole family entertainment and musical plays. Performances are in a round barn theatre, a unique experience for those that have never attended theatre in the round. It is a 400 seat venue, and can be packaged with the dinner buffet for an enjoyable dinner and show evening. Any trip to Amish Acres would not be complete without some shopping. On site is a bakery that offers delicious homemade goodies that you can enjoy at home. The Greeting Barn offers two levels of gifts, crafts, antiques, and knickknacks, so everyone can take home a piece of their Amish experience. There is a meat and cheese shop, and the Log Cabin Soda Shop and Fudgery, a place where families can enjoy a sweet treat to cap off their fun day. Many visitors enjoy the quaint, seasonal merchandise available at the Stone House Christmas Shop. Ornaments and seasonal d,cor are available, styled in a simple, Amish manner. The Brick Forge Garden Shop offers visitors a chance to bring a bit of the Amish experience into their garden with wrought iron, wood, and terra cotta garden accessories. And a trip to Amish Acres would not be complete without a trip through the Cow Shed. There you will find antiques, gadgets, and the beautiful handmade quilts that are sewed lovingly by the Amish to keep families warm on chilly winter nights. Also in the Cow Shed is the costume shop where guests can rent and purchase costumes and accessories from previous performances in the musical theatre. If the family is too exhausted at the end of the day to head home, Amish Acres offers resort accommodations. It is a non-smoking facility, but some have reported the lingering smell of smoke in some of the rooms, so be sure to clarify that you need a non-smoking room. The farm holds an annual arts and crafts festival. The event attracts a big crowd, so make reservations early if you are planning a visit at that time."
"Argosy Casino","Indiana","Argosy Casino - Lawrenceburg, Indiana - Casino Gaming Fun in the Heart of the Midwest","Argosy Casino in Lawrenceburg, Indiana offers visitors much of the fun of Las Vegas, right in the center of the Midwest. Offering both the Hollywood Casino and the Argosy VI, visitors can choose whether they want to gamble by boat or on dry land. The Argosy VI can hold up to 4,000 people, and offers 2,000 slot machines with a variety of games and payouts, as well as 97 table games. They have video poker, Keno, roulette and craps. Back on shore, the Hollywood Casino is a four story pavilion of gambling and a hotel with 300 guest rooms. They offer poker tournaments everyday, as well as 3,200 slot machines and 88 table games. Games include Blackjack, the Big 6 Wheel, Let-It-Ride, Pai Gow, Mini-Baccarat, and more. There are several entertainment performances at their popular Hollywood on the Roof theatre, so guests can take a break from gambling and head up to enjoy a show. After a full day of gambling and entertainment, head over to one of the casinos restaurants. Bogart's Grill offers Casablanca mystique in an alfresco Italian caf,. The Grill offers diners both steak and seafood options. For those that have worked up a huge appetite at the gaming tables, try the Passport Buffet. They offer limitless choices for breakfast, lunch, and dinner including traditional favorites and international dishes, along with a decadent dessert station, and your choice of six uniquely-themed seating areas. The Chartroom is a sports bar featuring ribs and chicken that is great for those that do not want to miss the big game. They also offer lighter fare such as sandwiches and appetizers. There is a full bar, so kick back, relax, and unwind before heading back to the games and slots. For a quick bite of morning coffee, there is Jonathan's Deli, The Riviera Caf,, and the Celebrity Grill. All are affordable and a great option if you are on a hot streak and need to head back to the tables. Club Hollywood is a great option for those that frequently head to the casino. Members accumulate points that can be used toward special rewards in the casino or hotel. Members are also entitled to drawing entries, free coffee, buffet discounts, VIP parking, and other casino comps. The hotel and casino also offer a party room, with 4700-square feet for social networking events, class reunions, corporate banquets, and holiday parties. If a night of gambling runs a little late and you can not make the ride home, the hotel offers guestrooms featuring high-speed Internet, 42 inch plasma televisions, and in-room coffee makers. These newly remodeled rooms offer On-Demand movies, music and games, video express checkout, and a convenient 12:00 pm check out. Having all the casino action just minutes away can be tempting though, so be sure to game responsibly. Nearby the Argosy and Hollywood casinos are a variety of other casinos. These include the River Downs, Grand Victoria, and Red Mile. Those that are big fans of casino gambling will enjoy the convenience of several establishments all in one area. Good luck finding the loosest slots and luckiest table games!"
"Auburn Cord Duesenberg Museum","Indiana","Auburn Cord Duesenberg Museum - Auburn, Indiana - Automobile Museum Offers Display of Antique Cars","Auburn Cord Duesenberg Museum in Auburn Indiana is one of the premiere locations for antique car enthusiasts. In 2007, MSNBC named the museum one of the Top Ten Gear-head Destinations in the U.S.'' Antique car enthusiasts that have reviewed the museum having nothing but great things to say. The museum works hard to send visitors away with new knowledge and tales of a unique experience. Located at 1600 South Wayne Street, the museum was built on the site of the original headquarters of Auburn Automotive Company. The first level of the museum offers restored Cords and Duesenbergs. The second level features other automobiles dating from the 1900's-1950's. The museum boasts a collection of over 120 cars. There are a total of three floors, and they are the proud owners of the largest collection of Duesenbergs on display in the world. The museum has the distinct honor of being accredited by the American Association of Museums. A select few museums in the country have this honor, so they are in good company sharing the award. Museums must be re-evaluated in order to maintain the standing in the AAM, so the folks at Auburn Cord Duesenberg Museum work hard to keep their collection in good shape and their information educational and interesting. Memberships are available to the museum and they offer members free admission, a free subscription to The Accelerator, the museums newsletter, an invitation to their Gala Ball, and a 10% discount in their gift shop. Memberships are in denominations of individual, senior, and a variety of other types. Those wishing to volunteer at the museum are invited to share their enthusiasm and knowledge of old cars. There is a comprehensive training that will help volunteers learn all the information they need to know to educate visitors, as well as becoming familiar with the high level of customer service the Auburn Cord Duesenberg Museum expects of their employees and volunteers. The gift shop features museum collectibles, clothing, models, reference materials, art, and educational manuals. Many of these items can be ordered online. Adult tours are offered to visitors of the museum for those that wish to learn even more than self-guided tours offer. Memorabilia includes coffee mugs, posters, magnets, The town holds an annual Labor Day festival, when the museum gets their most traffic. Most of the cars on display are operational, and it is acceptable to take photos inside of the museum. Many visitors choose to begin their tour of the museum with a 13-minutes orientation video. The museum is also the site of a variety of annual events. This includes a wine and chocolate tasting, the Classic City Bridal Show, and Connecting Rods. Connecting Rods is an event held for former employees and those with direct connections to the Auburn Cord Duesenberg factory. Trunk or Treat is a great chance for the kids to get out on Halloween, enjoy safe trick-or-treating, and enjoy the fun and education of the museum. Nearby is the Hoosier Air Museum, the National Military History Center, and the National Automotive and Truck Museum. Auburn offers a variety of hotels, restaurants and other accommodations to make your stay convenient, pleasant and affordable."
"Belterra Casino Resort & Spa","Indiana","Belterra Casino Resort & Spa","Belterra Casino Resort and Spa is located close to many cities like Cincinnati, Louisville, Columbus, and Lexington. It is a top Midwest casino and resort with a full service luxury spa. The casino is considered world class with never ending fun. Guest rooms have views of the surrounding city of Florence. There is also a Tom Fazio golf course on the premise, seven restaurants, and top name performances throughout the year.  The hotel offers 600 guest rooms located above and around the casino. All rooms have Gilchrist and Soames Toiletries, which come from London. The brass fixtures are also considered top of the line. Each room has a king or queen bed. Most rooms have a view of the Ohio River or the golf course. Room rates are dependent on the season, but there are often specials like web specials. Rooms do include hair dryers, internet access, separate shower and water closet, and smoking or non smoking accommodations. There is a heated outdoor pool, which is open for the summer season. Dining can be found in the casino and hotel. Options include Jeff Ruby's Steakhouse, The Ultimate Buffet, Aquarium Café, Starbucks, Casino Café, Out of Bounds Bar and Grill, and Ben and Jerry's Scoop Shop."
"Black Pine Animal Park","Indiana","Black Pine Animal Park - Albion, IN - Exotic Animal Sanctuary in Northeastern Indiana","The Black Pine Animal Park in Albion, Indiana is a not for profit animal sanctuary. The park is the last chance for rescued, neglected or abandoned exotic species. They are registered as a Professional Animal Retirement Center and that is exactly what it says it is. Once an animal is placed at Black Pine Animal Park they have a home for life. The pervasive message that the park would like to get across is that exotic animals do not make good pets. It is usually a negative experience for the pet owner and does long term damage to the exotic pet that does not have its proper habitat. Their main focus is conservation and preservation of these exotic animals. The park houses north American Black Bears, Macaws, Emus, Moluccan Cockatoo, Rheas, Senegal Parrot, African and Asian Leopards, African Lion, Bobcats, North American Western Cougar, Baboon, Chimpanzee, Greater Bush Baby, Lion Tailed Macaques, Rhesus Macaques Moneys, Ball Python, Bearded Dragon, Black Rat Snake, Boa Constrictor, Burmese Python, Corn Snake, Green Iguana, American Alligator, Sulcata Tortoise, Patagonian Cavy, Coati Mundi, Dromedary Camel, goats, Kinkajous, llamas, Sicilian Donkey, Miniature Horse, and rabbits. The Black Pine Animal Park does not specialize in any one species of exotic animal and considers accepting any exotic animal in need. The park offers field trips geared to all levels of education and the overall message within the filed trips is to be a responsible pet owner. The summer season guided tours are self guided, staff guided, feeding, private and educational. Each tour has a specific agenda and purpose. The feeding tour is considered a special event of the park and reservations are required. The park offers a special series of kids' camps that educate children on the different aspects of the exotics animal. Terrific textures, poopology, wild artist camp, safari supper, and zooper Halloween. Contact the park for specific details of each camp as certain age ranges apply. The staff at the park consists of an onsite veterinarian and many keepers. A large percentage of the park is run by dedicated volunteers. The volunteer program is a ranking system with senior volunteers at the top of the tier, volunteer assistants, volunteer staff and junior volunteer zookeepers. The internship program is a non credit opportunity for graduates or continuing students to gain hands experience working with exotic animals and this will help further their careers in this field. Black Pine Exotic Animal Park has several ways in which to donate funds or goods to the park. While shopping at amazon.com, Barnes & Noble, Wal-Mart, Petsmart, Best Buy, and Lands End then choose support your cause or GoodShop and select Black Pine Animal Park and a portion of you purchase will be donated. Select Pine Charity Auctions while Shopping on Ebay and a portion of your purchase will be donated form the auction. The park has a detailed wish list of goods that can be donated. If a patron is willing to donate the park has developed a means to make giving easier. The park is open year round, but certain restrictions apply for hours of operation through out the year. The Black Pine Animal Park is located at 1426 W 300 N, Albion, IN, 46701. Phone 260-636-7383."
"Bridgeton Covered Bridge","Indiana","Bridgeton Covered Bridge - Rockville, Indiana - Covered Bridge","The present day Bridgeton Covered Bridge, built in 2006 by local citizen volunteers and the state of Indiana, is a replacement for the original bridge that was burned down at the hand of an arsonist on April 28, 2005. The culprit, Jesse Payne, who was also charged with the attempted arson of Mansfield Covered Bridge was deemed unfit to stand trial and institutionalized. The first bridge, built in 1868 by Joseph J. Daniels's crew, was 245 feet long, or 267 feet long if measuring the 11-foot overhang at each end. It was a double span Burr Arch Truss structure with 13 feet wide by 12 feet high portal clearance. The original was retired, or closed to traffic, in 1967 after 99 years of service upon completion of a more stable concrete bridge. In the old days, the message Cross this bridge at a walk'' was printed on both ends so that the trotting of horses wouldn't damage it. Once considered the most photographed covered bridge in Indiana, maybe even in the world, Bridgeton Covered Bridge was listed on the National Register of Historic Places in 1987 and in the World Guide to Covered Bridges,'' published by the National Society for the Preservation of Covered Bridges, Inc. in 1989. There was a bridge raising dedication ceremony for the new bridge, which was to be built with reference to the original blueprints, held on January 12, 2006 when fundraising for the project began. Like the original, the new Bridgeton Covered Bridge was built over a waterfall atop Big Raccoon Creek. Between February and June of 2006 local landowners and the Indiana State Forests donated tree, which were harvested and delivered by local logging companies. Local sawmill owners and volunteers sawed the logs into the necessary beams and boards. From July through September of 2006 the bridge was constructed from the ground up. The official dedication took place on October 1, 2006 followed by a community meal for everyone who helped to build the new bridge. Typically there were 8 to 18 daily volunteers through the week and weekend during the process, and nearly $200,000 was raised through fundraising for the reconstruction effort. In September 1997, the Parke County Commissioners named The Bridgeton Covered Bridge Association caretaker of the bridge and today they continue to maintain it through the Bridgeton Covered Bridge Fund. 2 million or more people attend the Parke County Covered Bridge Festival each year. The festival celebrating the county's thirty-one covered bridges begins on the 2nd Friday in October and lasts for ten days. Rockville, Indiana, the location of Bridgeton, has hosted the festival since 1957. In October 2006, the highlight of the 50th anniversary festival was the newly constructed Bridgeton Covered Bridge."
"Buccaneer Bay Indoor Aquatice Center","Indiana","Buccaneer Bay Indoor Aquatice Center - LaFayette, Indiana - An Indoor Waterpark That is Fun for the Whole Family","Buccaneer Bay Indoor Aquatic Center in LaFayette, Indiana is a place that offers all the fun of outdoor swimming all year long in a climate controlled environment. They are located at 4343 State Road 26 East, adjacent to the Best Western Lafayette, and offer a variety of package deals that include a hotel stay and admission to the aquatic center. Five entries to the waterpark and a hot breakfast with room service available can be a part of the waterpark package. Offering a zero-depth entry pool, kids and adults can ease their way into the water, relaxing and enjoying the sights and sounds around them. In the center of the fun is the Jolly Roy pirate ship. Kids came climb, slide, and play on the giant ship that offers views of every inch of the aquatic center from its highest vantage point. There are areas around the pool for observation, so parents are sure to know that their children are safe, while they relax next to the cool water. In addition to the pirate ship, there are dumping buckets that kids can turn on their friends and family, soaking them from the top down, and water bridges, allowing kids and adults to move across the waterways getting their feet wet and enjoying the view. The center offers a kiddie pool, a twenty person hot-tub, and 23-feet of winding water slide. Families will enjoy competitive games of water basketball, and cooling off under the water canopy. This is LaFayette's only indoor water park, and they offer admission passes that are good for the entire day. This way, families can take a break in the middle of the day, and head back for a late afternoon swim. For those wanting to celebrate their birthday at Buccaneer Bay, the center offers a variety of birthday packages, complete with admission to the park for the birthday guests. When tummies start to grumble from all the swimming, special Pirate's Grub'' can be delivered to the mezzanine area. Menu choices include affordable treats like pizza and sodas, sure to keep the kids going for the rest of the afternoon. The mezzanine area also offers tables, chairs, arcade games, and a variety of vending machines. There are also a variety of other restaurants in the area including O'Bryan's Nine Irish Brothers, Bistro 501, Spageddies Italian Kitchen, Spageddies Italian Kitchen, and the South Street Smokehouse. The Best Western and the aquatic center offer the chance for those traveling on business to bring their families along. The hotel has an Executive Plaza and Conference Center. While mom or dad works, the kids can enjoy the play area, and cool off with a dip in the pool. Buccaneer Bay is conveniently located near Tippecanoe Battlefield Museum, so a trip with the family can be fun and educational. The Whyte Horse Winery is also nearby, and the Neon Cactus will keep the fun going until late in the evening. The Neon Cactus offers a variety of club and bar options all in one location."
"Castleton Square Mall in Indianapolis, Indiana","Indiana","Castleton Square Mall in Indianapolis, Indiana","Castleton Square Mall is the biggest mall in the state of Indiana, and serves the affluent areas of metro Indiana. The Mall is conveniently located in the northeast area of Indianapolis, which makes it accessible to the metropolitan area as well as the surrounding communities. Castleton Square Mall has four popular department stores, a tennis court, a play area for children, restaurants and more than 100 specialty stores. The guest services department at Castleton Square Mall provides everything necessary for the perfect shopping experience. Customer service representatives assist guests with purchasing gift cards, mall information, lodging and safety issues, as well as any other questions a shopper may have. The mall has stroller rental, a lost and found department and wheel chairs free of charge for guests who need assistance. Concert and show tickets can also be purchased at the Guest Services Booth. The restaurants at the Castleton Square Mall are some of the best located in Indiana. For people seeking something to tempt the taste buds, the mall has something to satisfy any craving. The food court has everything from Asian to traditional American cuisine. For visitors seeking top notch dining, the mall has the Buca di Beppo, TGI Friday's, On the Border, Stir Crazy and many other choices to pick from. Castleton Square Mall has many options in the line of specialty foods. Shops include Auntie Anne's Pretzels, Barnie's Coffee and Tea Company, German Roasted Nuts and several other stores. For those who enjoy ice cream the mall offers the Inside Scoop and Maggie Moo's Ice Cream. Castleton Square Mall also has several stores that offer specialty chocolates and cookies. The Castleton Square Mall has specialty stores designed for shoppers seeking something special.  For guests seeking relaxing treatments or hair care or beauty treatments, there are several options such as the JC Penny Hair Salon, Best Nails, Aveda Fredric's Institute and several others. Any of these choices offer guests a wide range of services combined with excellent service, and one-of-a-kind treatment. For guests seeking the perfect gift for a child, the mall has some great specialty kid-friendly shops. The Build-A-Bear Workshop allows one to build and personalize a teddy bear complete with clothing and accessories to complete the package. Other stores to check out are the Disney Store, K-B Toys and RIDEMAKERZ, with the wide selection available there is something perfect just waiting to be found. Castleton Square Mall also has accessories shops, an arts and crafts store, card and book stores, children's fashion shops, jewelry stores, and women and men's fashion stores. The mall is opened daily, Monday through Friday from 9:00 a.m. until 10:00 p.m., and on Sundays from 11:00 a.m. until 6:00 p.m. Guests can expect to find the perfect shopping and dining experience when visiting the Castleton Square Mall in Indianapolis, Indiana."
"Circle Center Mall in Indianapolis, Indiana","Indiana","Circle Center Mall in Indianapolis, Indiana","Circle Centre Mall is located at 49 West Maryland Street in Indianapolis, Indiana. The mall is located in downtown Indianapolis and is bounded on the east by Illinois Street, on the north by Washington Street, on the east by Meridian Street and on the south by Georgia Street. Circle Centre Mall is open daily, Monday through Saturday from 10:00 a.m. until 9:00 p.m., and on Sunday from 12:00 p.m. until 6:00 p.m. The mall connects via a covered skywalk to seven major hotels. Each hotel offers overnight packages with shopping trips for guests who would like to stay at the hotels and do some shopping in the mall. The Omni Severin Hotel is a four-diamond luxury hotel and the package offered includes a mall gift card, continental breakfast and a Circle Center Goodie Bag with coupons. The Crowne Plaza Circle Center offers a Sweet Dream package which includes a gift card, coupon book and a shopping tote. The Hilton Garden Inn offers a package that includes a mall gift card, tote bag and a complimentary breakfast for two. The Canterbury Hotel is a four-diamond hotel with a package that includes a mall gift card, shopping tote and valet parking for overnight guests. The Embassy Suites offers a mall gift card and coupons, a complimentary cooked-to-order breakfast and a two-hour complimentary manager's reception. The Hampton Inn offers an On The House'' breakfast buffet, valet parking, a mall gift card and a goodie bag with a mall map and coupons. City Centre Mall has over 100 different restaurants, stores and entertainment options for shoppers. For visitors seeking a fine dining experience, the mall has restaurants ranging from order at the counter to sit down dining. The food court has such restaurants as Cajun and Grill, Maki of Japan, Villa Pizza and Jody Maroni's Sausage Kingdom. Restaurants that offer sit down dining include the Alcatraz Brewing Company, the Palomino Euro Bistro, the Weber Grill and Ruth's Chris Steak House.  The mall has a United Artists Theater located on Level 4, which provides guests with excellent entertainment options. The Circle Center Mall prides itself on offering stellar guest services and creating the optimum shopping experience for guests. Guest services provide stroller and wheel chair rental, mall information, the lost and found department and purchase of mall gift cards.  The hours for guest services are Monday through Saturday from 10:00 a.m. until 8:00 p.m., and on Sundays from 12:00 p.m. until 6:00 p.m., and special holiday hours. The mall has several specialty stores such as Jitters Coffee Shop, Body Treat, Field of Dreams and several others that offer top quality shopping. Circle Centre has ladies apparel stores, optical shops, toy stores, shoes stores and several others that offer anything a shopper may be looking for. The Circle Centre Mall is a great place to visit when seeking the ultimate shopping, dining or entertainment experience."
"Clifty Falls State Park","Indiana","Clifty Falls State Park - Madison, Indiana - State Park with Picnic Areas, a Nature Center, Campgrounds and an Inn","Clifty Falls and its canyon, products of the Ice Age like the nearby Ohio River, are features of erosion. The park is home to fossilized remains of ancient marine life and 425 million-year-old hales and limestone, which are among the oldest bedrock exposures in the state of Indiana. The park, just 46 miles northeast of Louisville, Kentucky, which originally consisted of 617 acres, more than doubled its size in 1965 with acquisition of bordering land from the Madison State Hospital. Between 2003 and 2004, 425,506 people visited Clifty Falls State Park. Within the parklands are four major waterfalls amid many minor ones. The major falls are Big Clifty Falls and Little Clifty Falls, each 60 feet, Hoffman Falls at 78 feet, and Tunnel Falls at a whopping 83 feet. From the general level of the county at the lip of Clifty Falls, the plunge into the creek below is more than 70 feet; and along almost three miles of canyon, Clifty Creek falls off another 250 feet to the Ohio River. Visitors to Clifty Falls State Park can hike the trails covering 1,416 acres of land. Following a loop hike across five different park trails, one can experience the best of the park. There are picnic areas with picnic shelters and a nature center that includes nature programs. Camping is allowed within the park at designated sites. Within campgrounds there are flushing toilets, showers and a dump station. There is also a youth group camping capacity. The campgrounds offer both RV and tent sites. Accommodations at Clifty Falls Inn, a lodging facility consisting of 63 rooms, offer guests access to a state-of-the-art indoor swimming pool and spa, tennis courts and a restaurant featuring down home cooking. All rooms at the inn include an iron with ironing board, hair dryer, coffee maker, microwave, and refrigerator. Wireless access is available for a fee. Tourists who have visited the state park recommend staying at the Inn, which offers a panoramic view of the city of Madison and the Ohio River Valley. However, people were also satisfied with the campsites at Clifty Falls and suggest that budget travelers take advantage of the low cost of camping out. The park is also host to locals who visit multiple times per week for hiking purposes, and who bring their children along to enjoy the park's nature center. While some visitors were surprised that there was an admission charge for entrance into the park they found the cost to be well worth it."
