Name,State,Title,Description
"Boot Hill Museum","Kansas","Boot Hill Museum, Dodge City, Kansas","To preserve the history of Dodge City, a museum was founded. The Boot Hill Museum was opened in 1947. There are seven exhibits at the museum based on the old west. Boot Hill is part of Front Street. Along Front Street are old west style buildings, which are part of the museum. There is a city Drug Store, Saloon, General Outfitting Store, and much more. Each year they have a Chuck Wagon Dinner during summer, Gunfighters, and a variety show. Long Branch Saloon was purchased in 1878 by Chakley Beeson and William Harris. The original building was destroyed in a fire in 1885. The building that is part of the museum today replaced the original. Historic photographs were used to ensure the replica would be similar. A two piece bar sits inside which was built in 1881 by the Brunswick Corporation. It is made of cherry wood. At the back of the bar sit two Golden Eagles which belonged to Chakley. These eagles are stuffed and both are 100 years old. The law states it is illegal for anyone to own eagles unless they are Native American or a museum that acquired them before the 1940's. So that makes these two rather unique. Another exhibit at the Boot Hill Museum is the Nomadic Indians display. The display examines the lives of these Native Americans. The nomads moved with the buffalo herds because they used the meat and the skin. The skin was used for clothing, tipis, and saddles. Sometimes they even made other items out of the skin. The clothing at the museum is reproduced with accurate beading and even medicine bags. As mentioned the buffalo were important to the Native American way of life for some tribes. The buffalo has had a difficult past. There was a near destruction of the species with over hunting, especially by those who would not use the entire buffalo. Information regarding the history of the buffalo, artifacts, and even the hide are on display. A prairie dog and rattle snake are also in this part of the museum. Guns that Won the West is an exhibit about the different guns used in the Old West. Rifles, flints, and pistols are all part of the display. Much of the collection has been donated, even a rare Winchester advertisement that is in perfect condition. The Gambler is an important person of the Old West History. Guns, derringers, and pocket pistols make up the collection of the Gambler. The museum was actually built on the site for the Boot Hill Cemetery. When Dodge City expanded it is believed the cemetery was moved, though it was only open for six years. Jack Reynolds, JM Essington, Charles Hill, and Ed Williams were said to be buried in the cemetery. In 1874 a Union Church was built. At the museum is a replica of the First Union Church. Wyatt Earp and Bat Masterson were deacons of the church. At the time the church was built it cost $1000."
"Botanica: The Wichita Gardens","Kansas","Botanica: The Wichita Gardens, Wichita, Kansas","Wichita, Kansas is one of the larger cities in the state. To generate public awareness regarding horticulture the Wichita Gardens or Botanica was opened. People are able to visit the gardens for education, art, and culture. Botanica officially opened in 1987, but the idea for the place began in 1982. Botanica opened with four gardens and a library. Since then twenty more exhibits were opened over nine acres of land. Today there are 3600 species of plants that are non- native and native to Kansas. Botanica is open Monday through Saturday from 9am to 5pm all year. It is open on Sundays during April to October from 1pm to 5pm. The gardens are closed for major holidays. Adults can visit for $6.50 and prices for children are $3.00. Wichita Gardens has group rates for schools and other special groups. Murdock Street Entrance Garden displays flowering trees and shrubs. There is a well lit patio that often inspires walk in traffic. One of the more important exhibits is the Linda Stewart Evaluation Garden. It is located to the south of the main parking lot. Sunny and shaded areas allow herbaceous perennials to grow and adapt to the Kansas weather. The evaluation garden is a project Botanica has been working on for quite a while to see if the plants will adapt. Hanna Jabara Entry Garden has tulips and chrysanthemums along with some of the oldest trees in the park. The highlight of this section is the 56 inch bronze sculpture. It is called Never Too Big'' depicting a mother holding a child. Shakespearean Garden offers a replica of a William Shakespeare bust, and Italian sculpture made with Carrara marble. The sculpture is a representation of the four seasons. Flowers and herbs in this section have all been mentioned by Shakespeare in his work. To add to the beauty of the garden is a fountain with 120 hand carved stones. Native and migratory butterflies can be found in the Butterfly Garden. They come for the fountain of water and the flowering plants. A sculpture of a young boy with a small girl holding butterflies is appropriately positioned. Benches are spread throughout the display for visitors to relax and watch the butterflies. Roses can be seen at the Jessie Wooldridge Brosius Garden. Over 350 rose plants are found in this area. Even species of roses that might not be found in nature have been created and planted at the rose garden. Walking through Botanica visitors will come upon the Woodland Walk. It is a natural area with birds, foxes, and other animals. Hackberry, elm, mulberry, redbuds, honeylocust, and osage orange fill the natural woodland attracting the wildlife for visitors. No garden is complete without a terraced area. Garden on the Rocks is located to the west of Martha Parriott Terrace Garden where sedum and sempervivum live. The leafy root systems work well with the rock habitat. Dwarf shrubs and perennials are in the Garden on the Rocks. Boy with Pail'' is a bronze sculpture sitting atop four small pools with waterfalls."
"Brown vs. Board of Education National Historic Site","Kansas","Brown vs. Board of Education National Historic Site, Topeka, Kansas","The story of Brown vs. the Board of Education is perhaps one of the most well known and important aspects of American history. It was the start of the end of segregation in public schools. Those involved with the case such as the teachers, students, secretaries, and others may not have understood how much they would change things when they asked to be treated equally. It may have taken years for behavior to change regarding segregation, but at least the case made it clear that segregation was illegal. Brown vs. the Board of Education National Historic Site is the site where history was forever changed regarding the segregation of the school system. The site is located on 17th street. The museum is open daily from 9am to 5pm, though it is closed on major holidays. Hours can vary for special events. Admission to the site is free; however, a donation is quite welcome. Visitors are welcomed on site by a park ranger. This ranger will explain the story and history of the site. The tour will lead into an auditorium for a film titled Race and the American Creed. There are five clips shown daily, which are all five minutes in length. From the auditorium guests will move to the Education and Justice Gallery. Here visitors learn about the people, places, and events that lead up to the decision of the courts and what happened after. Computer stations with films are set up here for more education. The Hall of Courage provides a look at how each visitor might have felt being discriminated against. A bookstore offers informative books, videos, and CD's regarding the civil rights movement, African American History, and the National Park Service. Once through the store guests come upon the Legacy of Brown vs. the Board of Education'' Gallery. The events that happened as a result of Brown and the struggle for equality are examined here. Information kiosks, music stations, and a film are on display. The last exhibit of the museum is the Expressions and Reflections'' Gallery. This exhibit has four computers where visitors can share their feelings, pictures, or other media. All of the exhibits are located on the first floor of the building. The second floor of the Brown vs. Board of Education National Historic Site is the national park service offices. The Brown Foundation also has offices in the building. Occasionally the site has special exhibits. For 2009 the museum offered the Paint the Park'' exhibit which allowed contemporary paintings with America's national parks as the subject to be displayed. An art walk has also been hosted at the site. Events are held throughout the year for schools, groups, and other guests. These events are private viewings of the museum and can include catering. This building is not the only place in Topeka a visitor may wish to go. In Topeka there is the Kansas History Museum, Old Prairie Town, and Kansas State Capitol for a complete historic tour."
"Cabela's","Kansas","Cabela's, Kansas City, Kansas","Cabela's is a retail store native to Kansas City, Kansas. The store has since spread to other states like Montana, Idaho, and Texas. The location in Kansas City is on I70 and I435 near the Kansas Speedway. Cabela's is an outdoor retail store with style. Visiting this store is about more than finding the right outdoor equipment for hunting, fishing, boating, or other recreational activities. It is also about the dioramas on exhibit. The store has a real outdoor look, both inside and out. The exterior offers an over sized log cabin appearance with rock pillars. Cabela's is open Monday through Saturday 9am to 9pm, and Sunday 10am to 7pm. The hours can change based on holidays and the winter season. For visitors there are two hotels near Cabela's. They are the Hampton Inn and Chase Suites Overland Park. The international airport is just minutes from the retail store. Store details state the location is 180,000 square feet. Throughout the year Cabela's has a variety of events such as Great Outdoor Days and other sales. The store is broken down into different categories such as hunting, archery, shooting gear, dog supplies, optics, electronics, and men's hunting clothing. Under hunting the store offers ammunition, black powder, decoys, game calls, treestands, waterfowl boating, knives, tools, lights, and survival gear. The archery section has bows, cases, quivers, bow tuning, arrows and shafts, bowfishing, arrow rests, sights, and more. In the electronics department visitors can expect to find GPS, 2 way radios, cameras, home electronic devices, auto and ATV electronics, and boating electronics. The store has both men and women's clothing. Men's hunting clothing will be specific to the outdoor world. Yet, they also have a casual clothing area with tee shirts, specialty shirts, casual pants, jeans, shorts, sweaters, jackets, parkas, and raingear. The women's clothing options include casual tops, sweaters, pants, shorts, activewear, and outdoor wear. The store does have children's clothing and footwear. On display are a number of sculptures, dioramas, and more. Outside the building is a lake with fountains. Overlooking this water is a sculpture of three male elk on a walk outcropping. When visitors go inside they will be welcomed by the display of male deer with antlers. The display is an autumn exhibit with trees, rocks, and over six deer. Information regarding the display is provided. Hanging from the ceiling is an older model yellow sea plane complete with pontoons. A mural of the mountains and a lake hangs behind the plane. In this area is a wooden walkway with benches that leads to the retail stores dining area. Another interesting display takes visitors to the African desert. Water buffalo and alligators are shown here, as the buffalo try to escape the grasping jaws of the alligator. No outdoor store is complete without Bulwinkle, and Cabela's provides it. They have a diorama of a male moose standing in a pond with walks and some grass growing. Visitors can return to the African desert with the display of elephants warring with each other, a gazelle in the background, and a leaping leopard."
"Castle Rock","Kansas","Castle Rock, Quinter, KS","People traveling along I-70 through Kansas will come upon an unassuming town called Quinter, Kansas. The town doesn't have a lot of residents, but it did achieve some notoriety in 2006 when one of those residents was declared the oldest worker in the United States at age 104. His name was Waldo McBurney. Another feature that the town has to share is the Castle Rock and Badlands area south of the city. Quinter, Kansas is in the western part of the state. The badlands area features fossils, limestone, sandstone, chalk and geological formations. Castle Rock is considered to be one of the eight wonders of Kansas. The Castle Rock formation is roughly twelve miles south of Interstate 70 between the towns of Quinter and Collyer. Castle Rock is made up of chalk, limestone and shale. This formation is on private land, so the road to it is not maintained by the state. Portions of the road are rugged with some eighteen inch deep ruts to maneuver around once people leave the dirt road. Cars can make the trip, but SUV's or trucks will have better clearance. The Castle Rock formation is very fragile and in 2001 there was a thunderstorm that toppled the tallest spire. People are afraid that the Castle Rock spires may not last a lot longer. The badlands are a bit further south of the Castle Rock spires. Visitors to the Kansas badlands will probably feel quite alone. They are totally undeveloped so they are as nature produced them. The badlands rise up out of the prairie surrounded by cattle and not much else. The lower portions are light colored and form layers of other colored rock until the top is reached with their black tops. Visitors wishing to get to Castle Rock from the west should take exit 107 off of I-70 at Quinter. Then visitors need to turn south on Castle Rock Road for about fifteen miles. Vehicles then turn east at County Road 466 and follow the signs. If visitors are coming from the east they will take exit 115 at Collyer, then go south on Banner Road for about twelve and half miles. Once they get to County Road 466 or Castle Rock Road they must watch for the sign on the right. The roads to Castle Rock get very muddy in wet weather. Castle Rock was used in the past as a landmark. The Butterfield Overland Dispatch used the Smoky Hill Trail which is a bit north of the spires. Ruts from the trail can still be seen a few hundred yards north of the Castle Rock spires. The formations got their name from Lt. Julian Fitch who was a surveyor for the Butterfield Overland Dispatch. Fossils from the ancient Cretaceous Sea period are on the private land. Visitors with a keen eye may spot a shark's tooth now and then, although they must be left in place. There are several hotels in the Quinter area such as the Budget Host Q Motel and the Q Inn. Food sources include the Q Inn Restaurant, Dairy Queen and the Pizza Station."
"Chateau Avalon","Kansas","Chateau Avalon","Chateau Avalon is nestled on 28 acres in Village West, a part of Kansas City, Kansas. The Chateau is a themed hotel that tends to see 10 million visitors each year. It has become the top destination for Kansas City visitors. It is also in the district that is home to Nebraska Furniture Mart, Kansas City Speedway, and Legends Shopping Center. Nearby are numerous restaurants and shops.  Chateau Avalon is a bed and breakfast style location that allows for groups, events, and romance in their package deals. Weddings can be hosted at the hotel, as well as other special events like anniversaries or graduation gatherings. They offer top of the line meeting and event facilities. All rooms offer oversized Jacuzzi tubs and a made to order breakfast in the room. There are 23 unique rooms to allow for everyone's fantasies to be met. For example there are the adventure rooms including the Castaway Isle, Serengeti, New York Penthouse, Tahitian, Roman Dynasty, Venetian, Pirates Cove, Colorado Frontier, and Jesse James rooms. There are also luxury and classic rooms available at Chateau Avalon. Some of the rooms have a European design such as an old castle or Chateau as one might expect of a French named hotel."
"Children's Museum of Kansas City, Kansas","Kansas","Children's Museum of Kansas City, Kansas","The Children's Museum of Kansas City is referred to as Wonderscope. It is actually located in Shawnee, Kansas, a suburb of Kansas City. The museum is committed to helping children learn through play. Their exhibits will teach and test children's minds through interaction. Children ten and under will enjoy the experience the most. Wonderscope was started in 1989 as a traveling exhibit, which has become a full fledge museum. They offer special events and outreach programs to ensure all children are able to benefit from the information provided. The exhibits at the Children's Museum are Artworks, H20H!, Healthy Kids, Lego Ocean Adventure, Raceways, and Small Wonders. The Artworks area is a place for children to paint, draw, cut, glue, tape, and staple to create any design they wish. The materials are provided by the museum. Children can choose any of the materials to create their works. Face paint allows children to make their own faces into anything they wish. There are mirrors available to make sure they can see what designs they are creating. Lastly an indoor area called Sand Castles'' presents a sand pit for children four years or younger to play. H2OH! is a new exhibit, dealing with water. Both children and their parents can take part in this display by watching water flow, squirting water and splashing. Boats and ducks are supplied not only for fun but also a learning experience on what makes them float and in what direction. For example children can learn about currents through the use of the ducks and boats. Parents can help their kids construct a flowing pipe sculpture or even play in spraying streams of water. Aprons and hand dryers are available just in case visitors get a little water logged. Learning about medical care, parenting issues, and wellness is part of the Healthy Kids exhibit. Various areas and services are explored regarding a children's hospital. Lego's are always a big hit no matter where a person is. For children the Lego Ocean Adventure is a way to learn about the sea. The underwater Lego research submarine provides the incentive children need to envision working in the underwater world. Children can see dolphins, sharks, and other sea creatures as well as create their own creatures. It is also possible to build a Lego rover based on an educational video of how scientists create theirs. Sir Isaac Newton and Galileo Galilei were both important to the principles of motion. In the Raceways exhibit children get to test gravity, learn about energy and motion with the Ski Jump, Loop the Loop, Roller Coaster, Spiral, and Energy in Motion displays. Small Wonders is the perfect place for children six months to two years of age. Children can pretend, climb, creep, crawl, and play throughout the environment. Along with the exhibits available at Wonderscope there are places to enjoy. The Indoor Picnic Area has a mural designed by children with picnic tables and benches. Birthday parties and events can be held in this part of the museum."
"Colbert Hills Golf Course","Kansas","Colbert Hills Golf Course, Manhattan, Kansas - Often Referred to as ``That Really Big Golf Course Out In Kansas''","Since opening in 2000, Colbert Hills Golf Course has acquired a reputation as that really big [golf] course out in Kansas.'' It has also acquired a reputation as being one of the toughest golf courses in the country. The course is the brainchild and dream of a Kansas State alumnus and PGA Tour player, Jim Colbert, who envisioned a place were the Kansas State golf team could train, and where the school could also train golf course managers and superintendents to do research on turfgrass. Colbert also envisioned the course as a public, daily-fee course, as well as a place where disadvantaged children could learn the game. Colbert worked with golf course architect Jeffrey Brauer to design and build the big, sprawling layout that runs through 300 acres of land atop the Flint Hills at at the northwest edge of Manhattan, Kansas. According to Colbert, God built about 14 of the holes, and we built about four of them.'' Perhaps the most surprising feature of the course are its elevation changes. To golfers not familiar with the area, they would probably expect the typically flat Kansas topography. But Colbert Hills is hilly and some holes have elevation changes of 100 feet. Adding to the challenge is the length, which reaches a stunning 7,525 yards from the Black and Blue tees to go with a USGA rating of 77.5 and a slope rating of 152. With those numbers, the course has been said to be Tiger-proof.'' There are seven sets of tees in all, however, making the course manageable for golfers of all levels. The 18-hole, par-72 course employs a traditional, Scottish links-style design, and golfers should never expect to find themselves behind a tree, but they will find more than 100 sand bunkers. The course is constructed with mounds along its sides, and holes wind up and down through valleys. If viewed from above, the holes tend to be laid out end-to-end like a large figure-eight, which means just about every hole is isolated from the rest. All the tees are elevated and provide some stunning views of the surrounding area. From the tee on Hole No. 7, in particular, golfers should be able to see for miles in every direction. The first hole is also particularly noteworthy, setting the tone as one of the most challenging on the course. This par-5 plays to 590 yards from the back tees and has the added challenge of a fairway split right and left by a large pond. The tee shot is downhill from a dramatically elevated tee box, but the second shot calls for a decision: continue playing the right fairway or cross the water if necessary to the left fairway which runs up to the green. Another noteworthy hole is the par-4 No. 13, said to be the favorite of the course general manager. The scenic hole plays to only 316 yards from the Purple tees, but features an initial carry over a shallow ravine to a narrow fairway, then an approach shot to a slightly elevated green surrounded by some penalizing bunkers. The practice facilities at Colbert Hills are said to be second-to-none,'' and include a 10-acre, all-grass practice area. The driving range can accommodate up to 90 golfers and features elevated practice tees on nine different decks. The range target greens are cut into hills, providing players the opportunity to play some interesting shots. The facility also features three putting greens and two pitching and chipping greens along with two sand bunkers. Colbert Hills also features a pro shop and lessons are available in a variety of options."
"Combat Air Museum","Kansas","Combat Air Museum, Topeka, Kansas","Visitors to the Combat Air Museum of Topeka, Kansas can expect years of history regarding flight. The Air Museum has been open for thirty years. It is also one of a small number of major aviation museums in the United States. The Air Force has flights and helicopter operations near the museum, which allows visitors to witness the machines in action. Air National Guard can also be seen transporting people and items through the skies. The Combat Air Museum is located at Forbes Field. It is a non profit organization centered on educating local and non- local communities. They are also dedicated to preservation, conversation, and education. The exhibits include thirty- three aircraft from the WWII to present day era, aircraft engines, and military exhibits. Visiting hours are Monday through Saturday 9am to 4:30pm, and Sunday noon to 4:30pm. Winter hours will vary. Admission into the museum is $6 for adults and $4 for children 6 to 17. There is a military discount. The Combat Air Museum was organized in 1976 as part of David Tallichet's Yesterday's Air Force. The group was highly interested in the WWII aircraft, especially those that were still operational. They decided to find a hanger in which they could display the various aircraft in their collection. The aircraft on display range from Beech SNB-5 Twin Beech Model 18 to Grumman F9F-5 Panthers. Biplanes, helicopters, and fighter jets are all part of the displays. The aircraft range from WW1, like the German Taube to the Sikorksy CH- 53A Sea Stallion Helicopter. To give visitors a closer look at the inside of aircrafts an F111 Cockpit escape capsule is on display. The capsule has its doors open so visitors can look at the gauges, seats, and other parts of that section of the plane. A Sheyang F8II fuselage is part of the museum exhibits, lowered on the ground for visitors to get a good look at. The WWII German POW room displays what it looked like in some of the POW rooms during that war. There is a chapel and kitchen on display as well. Uniforms from the military include a USAF F-4 pilot gear from Vietnam, WWII Japanese Airman suit, and Combat Marine suit from Vietnam. A mural of Iwo Jima and Mt. Suribachi is on display, complete with the raising of the American flag. This aviation museum looks at more than American planes or memorabilia. It also shows a number of other cultures like the Korea aviation information. Various display cases hold weapons, photographs, and other military equipment used past and present. The Women Airforce Service Pilots display depicts women in aviation and their story in the military. As mentioned the Combat Air Museum has engines on display. These engines include the GE Whittle Gas Turbine Engine, DE Havilland Goblin Turbojet, Allison TF41-A-1B Turofan, Pratt and Whitney Wasp Major, and the Stromberg Injector Carburetor Cutaway. There are more than the engines listed here as part of the exhibits on display, ranging from a number of different aircraft."
"Dorothy's House/Land Of Oz","Kansas","Dorothy's House/Land Of Oz, Liberal, KS","The Seward County Historical Society was established in 1961 to preserve the history, buildings and artifacts of the area. The premises hold two fictitious places as well, Dorothy's House and the Land of Oz Admission to the two exhibits is free for children under five, children ages six to eighteen are three dollars and fifty cents and adults are five dollars. Senior Citizens that are sixty plus years can get into the exhibits for three dollars and fifty cents. The summer hours at the museum are from Memorial Day to Labor Day. Monday through Saturday they are open from 9:00 am to 6:00 pm and Sunday from 1:00 pm to 6:00 pm. Winter hours are from Labor Day to Memorial Day. The museum is closed on Monday and opens from Tuesday through Saturday from 9:00 am to 5:00 pm. Sunday hours are from 1:00 pm to 5:00 pm. Dorothy's House was constructed in 1907 and has been donated to the Seward County Historical Society. It took the effort of many volunteers to move the house to its present location. The building has been restored and furnished to look like the house that was used in the 1939 MGM movie the Wizard of Oz. In 1981 the then Governor, John Carlin, declared that this house was Dorothy's official home. The historical society would like to eventually purchase a life size sculpture of Dorothy and Toto at the home. This sculpture would be placed in the rainbow flower bed close to Dorothy's House. A limited edition of thirteen inch high There's No Place Like Home'' bronze scale replicas will be for sale. The proceeds of these sales would help to purchase the life size bronze sculpture. The Land of Oz is a five thousand square foot building that has animated figures. Inside visitors will find the good and bad witches, Munchkins, the talking trees, and several winged monkeys. The main characters such as Dorothy, the Tin Man, Scarecrow, Cowardly Lion, and of course Toto will also be on hand. They have acquired the original model of the house used in the 1939 filming of The Wizard of Oz. In the month of October there is usually an Oz-Fest. The festival takes place at 657 Cedar in Liberal, Kansas. There has been a welcome of the Munchkins to Dorothy's House. The festival has included original Munchkins from the movie and relatives of the author, L. Frank Baum. One year, a Judy Garland stand in held a dance class where visitors learned how to do the official skip down the Yellow Brick Road. There was also a contest to see who performed the best skip. They have also had a parade as part of the festivities. There are many motels for guests that want to visit both attractions in Liberal. Some are chain motels such as Budget Host, Super 8, Americas Best Value Inn, and Holiday Inn Express. Local motels include: Liberal Inn, Kansan Motel, Ranch Motel, and the Thunderbird Inn."
