Name,State,Title,Description
"Abraham Lincoln Birthplace","Kentucky","Abraham Lincoln Birthplace, Hodgenville, KY","In the town of Hodgenville, Kentucky, Abraham Lincoln was born on February 12, 1809, on the 300-acre Sinking Spring Farm. He lived here in a log cabin for about two years and then his family moved about ten miles away to the Knob Creek Farm. Almost exactly 100 years after his birth, the Lincoln Memorial Building was built that now houses a log cabin similar to the one he was born in. Hodgenville, KY, is now home to several monuments which honor the 16th President who was born there. The Lincoln Memorial Building, which was built on the Sinking Spring Farm, is certainly the largest of the monuments - and the most costly, too. This Memorial Building had its cornerstone laid by President Theodore Roosevelt, and then it was dedicated two years later by President Taft. Each of the 56 marble steps represents one year of President Lincoln's life. The building itself has two floors and shows many aspects of Lincoln's life. The Building also has 16 windows, 16 rosettes on the ceiling, and 16 fence posts, all reflecting the fact that Lincoln was the 16th President. There is no cost to see this museum. It also contains the Bible of Abraham Lincoln's parents. Although it was early believed that the log cabin in the Memorial Building was the original, it quickly became apparent that it was not. It had been toted around the country by a man claiming it was Lincoln's first home. In reality, he had grabbed a two-story log cabin, cut it down to size, and then claimed it was the genuine home. The same man also claimed he had the log home that Jefferson Davis was born in - which was also not true. That log cabin is at his birthplace - which is about 200 miles away. Another exhibit that commemorates President Lincoln is the Lincoln Museum. It has 12 historical scenes taken from Lincoln's life that are believed to be the major events of his life. Wax figures clearly provide a three-dimensional aspect to these displays. Other memorabilia, art, artifacts from the Civil War and more exhibits also reveal more about his life and times. Not far from there is the Knob Creek Farm, which is where Lincoln spent his early childhood until the age of 7 - also in a log cabin. Here you will find the Lincoln Boyhood Home on Knob Creek, which is similar to the one he was born in. It was at this home where young Abe caught a glimpse of slavery. A very popular event that takes place in Hodgenville, KY, is the Lincoln Jamboree. This Jamboree started back in 1954, and became the best showplace in Kentucky for country music. It is an evening the family will love as they provide music, humor and entertainment. There is also a restaurant that provides some country cooking for the guests, too. Free campsites are also provided on the weekends - with electricity. Visiting the Abraham Lincoln Birthplace, Hodgenville, KY, will also provide you with opportunity to see other historic sights and places for sightseeing. Not far away are the famous Mammoth Cave, the Horse Cave, and Kentucky Down Under - all excellent places to take the kids and have a great day."
"American Cave Museum","Kentucky","American Cave Museum, Horse Cave, KY","The American Cave Museum of Horse Cave, KY, is really a powerful testimonial as to how wise land usage and preservation can pay off in modern times. The actual Horse Cave, which was also called the Hidden River Cave, had been closed for years due to the town's using it for a dump site and passing sewage into the river that flowed through the cave. After a new sewage plant had been built nearby in 1989 and the cave cleaned up, the Cave was reopened and tours began once again. The group responsible for the cleanup is called the American Cave Conservation Association. At the time, Horse Cave was considered to be the most polluted cave in America. The Association built their headquarters on top of the cave, knowing that when it was clean again, that it would serve as a powerful promotion for their organization. As a result of the successful cleanup of Horse Cave, a museum was created called the American Cave Museum. It would serve as a teaching instrument to prevent polluting natural formations through instructing the public. There are many excellent exhibits that present to listeners valuable information about what causes caves, ground water and how the flow of water and chemicals affects them, how to preserve them, and more. There is also information and an exhibit about Floyd Collins, one of the greatest early explorers of the region who also turned several other caves into public attractions - making them more easily accessible. One of his great grandsons, in fact, is currently one of the tour guides. Other exhibits in the Museum talk about prehistoric cave explorers, as well as how caves are explored today, and what modern equipment is used. Other ones give a history of Horse Cave, a history of nearby Mammoth Cave, a photo gallery of caves in America, cave lighting, and an exhibit showing how saltpeter is mined in Kentucky. Tickets are also sold at the museum that lets you go to the Horse Cave, too. This tour of the cave goes down 150' below ground. It starts out with stairs that descends into the sinkhole - which leads to the entrance of the cave. Walkways and bridges in the cave are built out of recycled milk containers, which remind the tourist of the Cave's preservation from its trashy past. Because the American Cave Museum, and its parent organization, was created for the preservation of caves, there are also a number of specialized tours offered for different ages that are given to further promote this theme. Tours are also given that actually let the groups see the cave outside of the beaten path. These Adventure Tours take the group to special areas of the cave and the guides teach about different cave structures, cave life, environmental issues, and cave development. These tours can be more strenuous and include bending, hiking, climbing, crawling and getting dirty. Cave safety is discussed beforehand, and helmets and lights are supplied, but warm clothing is also needed. Tours run either two or three hours in length. Many other well-known caves are also in the area - including Mammoth Cave. Tickets for other caves can be purchased at the American Cave Museum of Horse Cave, KY. Many other sights are also nearby, which are a must-see for you and your family."
"Ashland Town Center with shopping dining and entertainment for visitors of the Center","Kentucky","Ashland Town Center with shopping dining and entertainment for visitors of the Center","The Ashland Town Center is located on Winchester Avenue, Ashland, Kentucky. The mall is open seven days a week with retail stores, dining and entertainment available for shoppers. Stores inside the mall include Aeropostale, American Eagle Outfitters, Bath & Body Works, Belk, CJ Banks, General Nutrition, Finish Line, FYE (For Your Entertainment), JC Penny which includes the JC Penny Portrait Suite and JC Salon, Victoria's Secret and PacSun. Along with dining options such as Charley's Grilled Subs, Cheddar's Casual Caf,, Great American Cookie Co, Sbarro's Italian Eatery, Pretzel Time and Town Centre Sweets. The mall also has Cinemark Movies 10. The mall asks their visitors to be SMART shoppers to make their experience at the mall enjoyable. This includes remembering where you parked and park in a well lit area. Don't tempt thieves, do not leave valuable in view in you car and remember to lock the car. There is safety in numbers so when possible shop with someone else. Always be alert, be discreet don't flash large amounts of cash and be aware of what is happening around you. Shoppers are asked to report any suspicious activity that they may notice within the mall. The mall has a Guest Services desk in the mall that offers Complimentary wheelchairs, Mall gift cards and newspaper sales. Adjacent to the food court is a soft play area for small children. The mall runs many events and specials throughout the year. This includes the Magical Night of Giving where guests will enjoy exclusive sales throughout the mall; there are prize giveaways and entertainment. Non-profit organizations are involved in the night and receive 100% of the profits from the sales of tickets. There is also a Fashion Forum in the exclusive shoppers' club where members are able to receive advance notice of sales, invitations for special offers and the chance to win a shopping spree. Local community groups are able to sell the mall's License to Shop cards for $5 in an effort to fundraise for their cause. Another program the mall runs is the Earn Cash Prizes for your School. In this program shoppers take their receipts to Guest Services and every dollar spent at the mall is converted to points which can be nominated to one of the schools participating in the program. At the end of the program the school with the most point will win $1,000. Mondays and Wednesdays are double point's day and triple points can be earned when purchasing a Gift Card."
"Beech Bend Park","Kentucky","Beech Bend Park - Bowling Green, KY - Family-Oriented Amusement Park, Drag strip, and Campground","Beech Bend Park is a family-oriented amusement and fun park located in Bowling Green, Kentucky. In addition to the amusement park itself, Beech Bend also includes a drag strip, oval race track, and campground area for the amusement and convenience of the guests. Amusement Today's Golden Ticket Awards named Beech Bend Park the 5th Friendliest Park in the World'' for the 2007/2008 year, and the park as a whole is well known in the area for being an affordable, wholesome place for families to come and enjoy spending time together. The amusement park portion of Beech Bend Park consists of over 40 different attractions and rides. Some of these are the traditional amusement park attractions such as roller coasters, tilt-a-whirls, a splash lagoon, bumper cars, and high drop thrill rides. There is also a generous selection of Midway games and pastimes to choose from for those seeking a traditional amusement park experience and the chance to win a prize as a souvenir. A wide variety of food choices are available to Beech Bend amusement park goers as well. Grab a quick snack or a cool, refreshing beverage at one of the many take-and-go food stands scattered throughout the park. Alternatively, grab a seat at any one of the many indoor or outdoor sit-down restaurants or food courts. A full selection of traditional amusement park and fair foods is available including hamburgers, cheeseburgers, chicken baskets, hot dogs, popcorn, pretzels, pizza, and sweet treats. Beech Bend Park's other claim to fame is its stellar race track activity. Regular races can be enjoyed on the drag strip according to schedule. The Beech Bend Park Drag strip also hosts regularly scheduled special events to which race fans can purchase tickets. Past events have included the Primedia Havoc All Truck Event, the Buick GS Nationals, and the TS Performance Diesel Drags. During fair weather, the evening races are often preceded by a popular swap meet. Beech Bend Park is also home to the Beech Bend Oval Race Track which hosts similar events to the ones that can be experienced at the park's drag strip. Guests planning an extended visit to Beech Bend Park or the surrounding area to take in a series of races or make multiple visits to the amusement park have the option of using the on-site campgrounds. Recently voted one of the top 5 campgrounds in the state of Kentucky, the Beech Bend Campground includes over 250 separate campsites all complete with full RV hook-ups. Many also have telephone and modem hook-ups available for the convenience of the campers as well. The camp facilities also include laundry facilities, bathing areas, and areas for campfires. All sites are also within walking distance of nearby Barren River where park goers may fish if desired. It is also within a short walking distance of both the Beech Bend Amusement Park and both associated racetracks. Pets are permitted provided they remain leashed and their owners clean up after them."
"Belterra Golf Club","Kentucky","Belterra Golf Club, Florence, Indiana - Considered One of the Top 20 Casino Golf Courses in the Country","The Belterra Golf Club is part of the Belterra Casino Resort and Spa, and one of the resort's most highly rated amenities. The course is an 18-hole, par-71 championship course designed by the legendary Tom Fazio and located in a picturesque area bordered by the Ohio River, Log Lick Creek and some Indiana ridges. In designing the course, Fazio highlighted the area's natural surroundings and wound the layout through lakes and more than 2,200 trees. The course plays to 6,925 yards from the tips, with a USGA rating of 73.3 and a slope rating of 136. Water is the most noteworthy hazard on the course, coming into play on 12 of the 18 holes. There are also 41 sand bunkers strategically positioned in the fairways and guarding the greens. One of the most noteworthy holes on the course is the par-5 No. 4 hole. At 543 yards from the Black tees, this is the longest hole at Belterra. Adding to the difficulty is a fairway with a good many undulations, as well as a prevailing slope toward a water hazard lurking on the left. Nearer the hole, four sand bunkers await to capture short approach shots. Hole No. 5 is another noteworthy hole and the most difficult on the course. It's a par-4 that plays to 478 yards from the back tees, with a fairway that narrows dramatically as golfers approach the hole. There's a large water hazard that begins at about the fairway's midpoint and runs to the left side of a bunkered green. Hole No. 7 is a beautiful par-3 that plays to 188 yards from the Black tees. Trouble is possible for any shot that misses the green, as a large water hazard pushes into the fairway and guards the green on the right. Hole No. 15 is a par-4 that plays to 465 yards and is the second-most-difficult on the course. Once again golfers will encounter a fairway with significant undulations, as well as bunkers left and right. The hole doglegs to the left and a water hazard comes into play on the left on the approach to a bunkered green. Hole No. 18 is considered the signature hole, a par-5 that plays to 522 yards at its longest. This is one of the more open holes on the course with a fairly wide fairway. Nine bunkers line the fairway and guard the green, however, and another large water hazard comes into play on the right and runs past the putting surface. The course has received a number of accolades, including being ranked among the Top 20 Casino Golf Courses in the United States by Golfweek in 2007 and receiving a 4?-star rating by Golf Digest Places to Play. Practice facilities include a full-length driving range where players can take advantage of unlimited practice balls. The facility also offers putting greens, a chipping area and practice bunkers. The course also features a clubhouse with a fully stocked Pro Shop, lockers rooms and food and beverage service from the Out of Bounds Grill."
"Bright's Antique World","Kentucky","Bright's Antique World, Franklin, KY","Not far from Abraham Lincoln's Birthplace, you will find many antique stores with tons of antiques. Among them is Bright's Antique World, of Franklin, KY. This large antique store is not far from I-65, which provides easy access. Bright's Antique World is a large store with over 25,000 square feet of floor space. Many real antiques are always available and they keep over 1,000 furniture antiques on the floor at all times. These are often elegant pieces of furniture - Victorian, Eastlake, and Primitive - that would certainly enhance the beauty of your living room or other places in your home. Among the many different things that are for sale on a regular basis are antique furniture, art, china and pottery, Depression glass and Fenton glass. They also carry estate jewelry, used books, hunting and fishing memorabilia, old advertising, post and trading cards, old toys, and much more. There are over 150 booths and thousands of antique items for sale. Bright's Antique World is currently the largest dealer of coins and Case knives in the state of Kentucky. Many people come to find knives and coins that they do not yet have and add them to their collections. In addition to the more normal things that you would expect to find at an antique store, Bright's Antiques also has some surprises. They also love to carry unusual items - things that you cannot find anywhere else. This makes it a must-see place, and you will want to browse and possibly buy that unique item for your home - or it will be gone forever. Things like horn chairs, a two-headed sphinx, and much more, are just a part of the unique things that pass through Bright's Antique World. There are also other items that come from various niche dealers. This provides the customer with a constant supply of antiques - such as women's hats, special antique collections such as American Fostoria glassware, and other wonderful furniture pieces. There are also chairs throughout the store that let people rest and take in the view. The store is well-lit and also spacious enough to be able to get a good look at the displays. It has been chosen as the number one store by the readers of the Busy Bee Trader. It is also maintained well. Even the restrooms are decorated - the ladies room with vintage dresses and accessories, and the men's room has a hunting theme. Bright's Antique World also rents booths to dealers. They require a six month contract and provide you with the traffic - that is always there. It is an excellent place to do business and people come from all over. With other antique dealers in the area, the location is superb. Bright's Antique World, Franklin, KY, is open year around, seven days each week, with the exceptions of Easter, Thanksgiving, and Christmas. There are also some special events that the store participates in as well, in the spring, in October, and they have a Christmas Open House every Thanksgiving weekend."
"Churchill Downs in Louisville, Kentucky","Kentucky","Churchill Downs in Louisville, Kentucky","Churchill Downs, located on Central Avenue in Louisville, Kentucky, is world famous for thoroughbred racing. Named for John and Henry Churchill, the racetrack is known for hosting the Kentucky Derby and the Breeder's Cup. The Churchills leased the land to their nephew, Colonel Meriwether Clark Jr., who opened the track in 1875. The first Kentucky Derby was held that same year. In 1893, Churchill Downs was sold to William Applegate. The new owner shortened the length of the races and then had the famous twin-spire grandstand built. Designed by Joseph Dominic in 1895, the grandstand is one of the most recognizable structures. The structures at Churchill Downs were renovated in 2001, at which time the club house was replaced and 79 luxury suites were added. The historic grandstand also was refurbished and restored to its original design. The renovation made it possible for guests to enjoy the landmark in a new, more personal way. Churchill Downs now is the site of wedding receptions, anniversary dinners, private parties, banquets and other celebrations, with seating for up to 800 people. With nine banquet rooms available for renting, and a Millionaire's Row experience, the location and its views lend an air of elegance and sophistication to any event. Racing at Churchill Downs is broken into two meets: The first begins in the spring and continues until early July, while the second starts in late October and ends Thanksgiving weekend. The Kentucky Derby is held the first Sunday in May and the Kentucky Oaks is run the Friday before the derby. Open year round, the Kentucky Derby Museum is on the site and features a rich collection of historical archives, as well as exhibits dedicated to educating visitors about the training and racing of thoroughbred horses. A 360-degree movie theater gives guests a chance to see the film The Greatest Race;'' a documentary of the history and traditions surround the Kentucky Derby. Interactive exhibits throughout the museum keep visitors entertained, while they learn the history of Churchill Downs. The Guest Service Center, situated on the ground floor of the clubhouse, offers visitors access to a trained team of helpful and informative professionals who can answer questions, provide directions and lead them to resources. Churchill Downs has many tour packages available. One of the most popular is the Southern Breakfast Tour, during which guests are treated to a buffet-style breakfast in the trackside kitchen. Visitors then take a walking tour of the barn area, where the race horses are kept and other behind-the-scenes areas. Churchill Downs is a National Historic Landmark and is the crown jewel of race tracks in the United States. Guests can enjoy the excitement of race days, visit the Kentucky Derby Museum or tour the premises. The track has become one of the top tourist destinations when visiting Louisville, Kentucky."
"Cumberland Falls State Resort Park","Kentucky","Cumberland Falls State Resort Park - Corbin, KY - State Park","Considered to be one of the most beautiful places in Kentucky, the Cumberland Falls State Resort Park, Corbin, KY, has a lot to offer to visitors. The Park is probably best known for its Cumberland Falls, which is a 67-foot high waterfall that is about 125 feet wide. Because of its natural beauty, this waterfall is often called the Niagara Falls of the South. A very unusual feature of the waterfall is the appearance of a moonbow when there is a full moon. This occurs because of high humidity around the falls, and it is also the only place in the entire western hemisphere where a moonbow can be seen regularly. The Park is part of the Daniel Boone National Forest and there are several trails available for hiking. The Moonbow Trail, which is part of the Sheltowee Trail, connects to the larger Daniel Boone Forest providing ample hiking experiences through the region. There are 12 trails in the park. Guided rafting trips are also available down the Cumberland River. These are available from May through October, but they also depend on water levels at the time. An Olympic-sized swimming pool is also available near the Lodge. The pool is free for the Lodge and cottage guests but other Park visitors will have to pay a small fee to get in. Horses are available at the Park for 45-minute guided trail rides through the forest. Children over 6 can ride and the stables are open only on weekends in the month of May, but daily after Memorial Day and through Labor Day. Although horses at the Park cannot be rented for personal rides, there are other horse camps and miles of trails nearby. If you are looking for a place to have some fun while camping or picnicking, there are opportunities at the Cumberland Falls State Resort Park. The visitors will find that there are tennis courts, horseshoes and shuffleboard courts waiting. In addition, there are various interpretive programs, and the Visitor's Center, that provide information about the plants, animals, and some of the local history of the area. Playgrounds and picnic areas, with a shelter, are also available. The Dupont Lodge is on the Park grounds, and it offers beautiful views of the park and has 52 rooms available for guests. The Lodge is built from solid hemlock and also has some massive stone fireplaces. Woodland Rooms and cottages are also available with one or two bedrooms. The Riverview Restaurant offers a magnificent view of the Cumberland River while guests dine on a specialty of catfish. Over 50 campsites are also available with the necessary facilities and a grocery store, too. Various programs are also performed in the Cumberland Falls State Resort Park, Corbin, KY, that is open to the public, but at a cost. These programs include such things as a Women's Retreat Weekend, a Star Party to learn about astronomy, a Jam Session, and a Moonbow Dinner Theater, which is held in the Riverview Restaurant. Because Cumberland Falls is also considered to be a place for romantic getaways, it also hosts a Valentine Getaway Weekend. This special retreat includes a two-night stay, meals for two, a mystery dinner theater, and a dance."
"Cumberland Gap National Historical Park","Kentucky","Cumberland Gap National Historical Park - Middlesboro, Kentucky - U.S. National Park Tours with Visitor Center, Picnic Areas and Pinnacle Overlook","Cumberland Gap National Historical Park, the largest in the National Park System, composed of 20,000 acres, has been called the first great gateway to the west.'' Located in Middlesboro, or Middlesborough, Kentucky the park has historic roots in early westward expansion: an estimated three-fourths of the approximately 400,000 people who ventured out west by 1800 had traveled through Cumberland Gap. The park was formally dedicated on July 3, 1959, an event that even Vice President Richard Nixon attended, visiting, in commemoration, the Pinnacle Overlook and participating in nearby town festivities. With the exception of the visitor center's closing on Christmas Day, park grounds, picnic areas and the visitor center are open year-round, offering visitors a chance to experience the past through two different guided tours, individual exploration of scenic trails and even a Civil War reenactment if one happens to be visiting at the time of the annual three-day showcase. One tour offered is of the Hensley Settlement atop Brush Mountain, which remained occupied from 1904 until 1951 after its establishment by Sherman Hensley. Tours, led by park rangers, include a shuttle ride to the settlement followed by a one-mile walk upon arrival. Touring of all-original historic buildings can take 3 1/2 - 4 hours so it is recommended that visitors dress comfortably and take something light to eat and drink. Departing from the visitor's center, tours run May 16th through October 31st twice daily at 9am and 1:30pm, with tickets priced at $10.00 for an adult and $5.00 for senior citizens and children under 12 years old. Park rangers also serve as tour guides of Gap Cave, presenting stalagmite and flowstone formations beneath the Southern Appalachian Mountains. The 1-mile hike along the historic Wilderness Road, and 183 stairs leading to four cave levels, makes for a fairly strenuous 1-1/2 mile tour. For reasons of safety, children under age 5 are not allowed on the tour and sandals and open-toed shoes are prohibited. Departing from the Daniel Boone parking area, tours leave at 10am and 2pm with different scheduled days throughout the year. Tickets cost $8.00 for adult admission and $4.00 for senior citizens and children ages 5-12. Visitors can also take in the Southern Appalachians, composed of waterfalls and forests, by hiking the trails, covering a stretch of 70 scenic miles, or by driving 4 miles on the Skyland Road to the 2,440-foot-elevated Pinnacle Overlook. Tourists looking to take it easy can hike the 1/4 mile loop trail, while those who wish to have the ultimate Cumberland experience can hit the 21-mile Ridge Trail. In case of inclement weather, the Skyland Road does occasionally close. Once each year Cumberland Gap hosts a living history of the Civil War, bringing to life individuals of the period, featuring the stories of Robert E. Lee, Abraham Lincoln and other period-associated characters. Other events during the three-day reenactment include a candlelit trip into Soldier's Cave,'' a Civil War Era Ball, an afternoon of tea and corsets, and the unveiling of a restored cannon."
"Diamond Caverns","Kentucky","Diamond Caverns - Park City, Kentucky - Historic Cave Tours In International Biosphere Reserve","Diamond Caverns, a privately owned historic cave within the Mammoth Cave Area International Biosphere Reserve, houses stalactites, stalagmites and flowstone formations, viewed in state-of-the-art white lighting by the thousands. Located at 1900 Mammoth Cave Parkway, the cave is neighbor to Mammoth Cave National Park in Park City, Kentucky. The caverns were discovered'' in 1859, exchanging hands many times over the years. With its rich history, it is now the second oldest show cave in the Central Kentucky Cave Region and fourth oldest operating commercial cave in the U.S. During the 60s, 70s and 80s, Diamond Caverns even played host to wedding ceremonies, still displaying an altar made from cave bacon formation during that period. On-site guided tours have been conducted for over 140 years and continue to be led year-round with the exception of Christmas, Thanksgiving and New Years days, for which they are closed. Tours, lasting approximately one hour, leave every 20-30 minutes, and are a 1/2 mile total in length. The 350 stairs distributed throughout the cave make for a moderately strenuous hike and by-nature, prevent handicapped access. Although snapshot photography is allowed inside of the cave, the use of tripods, monopods and video cameras is prohibited. Other restricted items include: camera bags, backpacks, baby strollers and back-mounted baby carriers. If a child requires a carrier, front-mounted carriers are allowed on the tour. Operating on Central Time, tours run from 9am until 5pm March 15th through Labor Day; 9am until 4pm, Labor Day through October 31st; and 10am until 4pm November 1st through March 14th. Both individual and group tours are available, with a qualifying group consisting of 10 or more persons. To obtain a group discount one representative must buy all tickets for members of the group. Though reservations are not required of group tours, they are requested. General admission is $16.00 for adult entrance and $8.00 for children between the ages of 4 and 12. Discount rates are available for qualifying groups, with deeper discounts for groups of 25 or more. Diamond Caverns also offers student and scout group rates for K-12, and a student discount for college level visitors. In support of U.S. troops, free admission is granted to all military personnel who are considered to be on active duty. Throughout the year, the cave holds steady at a temperature of 58 degrees Fahrenheit, which visitors have described as comfortable in both summer and winter seasons. Tourists warn that the cave tends to be wetter than some others, including the neighboring Mammoth Cave that most people visit the same day, cautioning visitors to sport proper footwear and to prepare for possibly frequent dripping. To make the most of a trip to the historic caverns, travelers suggest staying at the nearby Diamond Caverns Resort & Golf Club, offering lodging in condominiums or at their campground."
