Name,State,Title,Description
"Alexa Hotel","Louisiana","Alexa Hotel","Alexa Hotel is located at Royal Street in New Orleans, Louisiana and is approximately 13 miles from the city's international airport. This hotel has six floors with a total of 192 rooms and offers a shuttle service to and from the city airport. Room amenities include one king or two queen sized beds, TV, telephone, coffee/tea maker, desk, hair dryer, ironing facilities and a marble bath.  Guests staying at the Alexa are welcome to use the facilities at the adjoining sister hotel, the Astor Crown Plaza. This includes Dickie Brennan's Bourbon House Restaurant and Seafood Bar, which is open for breakfast, lunch and dinner. There are other restaurants in the French Quarter of the city as well as many art galleries and antique shops for visitors to browse around. The Astor also features a business center and a fitness center as well as a swimming pool located on the rooftop. Business guests can hold meetings at the Astor, which has rooms featuring state-of-the-art equipment and the latest communications technology. In total there is 32,000 square feet of function space for special events here. The Alexa Hotel is also just a short distance from the National D-Day Museum, Storyland Children's Fairytale Park and many other city attractions."
"Alexandria Mall is an enclosed mall where shoppers can shop, dine and be entertained","Louisiana","Alexandria Mall is an enclosed mall where shoppers can shop, dine and be entertained","The Alexandria Mall is located in Alexandria in the heart of Louisiana. The mall has many familiar stores are restaurants within the premises. Stores inside the mall include Burlington Coat Factory, Stage, Bed Bath & Beyond, Justice, Forever 21, Champs, American Eagle Outfitters, Motherhood Maternity and Victoria's Secret. The Department stores are Sears, JC Penny, Dillards and Stage. Services and amenities offered by the mall include ATM's, Family Restrooms, and High Speed Wireless Internet Access, Lost and Found, Mall Gift Cards, Safety Escorts and Wheelchair services. Dining at the mall includes A Green Day located in the Mall Food Court, serves healthy alternatives such as smoothies and sushi. El Rodeo at the Food Court entrance and Piccadilly Cafeteria that serves home cooked style meals. Fried Chicken, roast beef and Fried Shrimp are the favorites here. Kids soft play area is located in the mall where children can climb a cypress tree row a pirogue or spend some time relaxing and taking a break from shopping. The Mall hosts several events throughout the year such as Santa photos, pet photos with Santa, a Holiday concert series, seasonal sales and parties. The mall is involved with several programs. These programs include supporting Rapides Habitat for Humanity which works on eliminating poverty in the community. Shoppers are invited to participate in fundraising events, awareness campaigns and have the opportunity to volunteer to benefit Rapides Habitat for Humanity. The mall has the ability to announce an AMBER Alert. The first few hours of when a child goes missing are the most important; shoppers are given any information available to alert them about the missing child, and information on how they may be able to help. The mall has a new gift card, the Shop Etc. Gift Card. The card is accepted at retailers and restaurants the accept American Express in the United State. Funds do not expire and can be used until the value has been spent. There are no fees or expiration of funds on the cards. The cards are available from $20 to $500 denominations."
"Alexandria Zoological Park in Alexandria, Louisiana","Louisiana","Alexandria Zoological Park in Alexandria, Louisiana","Founded in 1926, the Alexandria Zoological Park is located at 3016 Masonic Drive, in Alexandria, Louisiana. The zoo is owned by the City of Alexandria and encompasses 33 acres and has more than 600 animals. Alexandria Zoo is a member of the Association of Zoos and Aquariums and is open seven days per week and closed on Christmas Day, New Years and Thanksgiving. The zoo has some of the most unique and interesting exhibits in the country. The African Crocodile Exhibit features a large pond for two species of crocodiles and two large glass viewing windows that allows guests to get nose to nose with these ancient giants. The exhibit contains two Nile crocodiles and Slender-snout crocodiles within a simulated habitat. The environment of these animals has been threatened by habitat destruction and for the value of their hides. The zoo is dedicated to the preservation and breeding of crocodiles through research and education. The Colobus Monkey exhibit is another popular attraction at the Alexandria Zoo. These endangered arboreal primates are hunted in areas of Central Africa for their luxurious pelts of black and white fur. On August 5th, 2008, a Colobus monkey was born at the zoo and is now on display in the exhibit with other adult monkeys. The Red River Hogs exhibit features five hogs on display. On October 22nd, 2008, the zoo welcomed three new piglets into the family, two boys and a girl. These omnivorous members of the pig family hail from central and southern Africa and have beautiful coats of red and white hair. Guests are invited to come and say hello the Red River Hog family when visiting the zoo. The Association of Zoos and Aquariums has issued an amphibian alert due to the fact that populations of frogs, toads, newts, salamanders and caecilians are diminishing at an alarming rate. The zoo joined up with several other amphibian specialist groups who study these endangered amphibians. Visitors are invited to tour the zoos extensive collection of African Clawed frogs, Eastern Spadefoot frogs, the Gray Treefrog, the Squirrel Treefrog, Spotted salamanders, Mole salamanders and Eastern newts. The zoo is avidly devoted to animal and environmental preservation efforts. Throughout the year there are several educational activities and festivals held on the grounds of the zoo. During the year conservation programs are centered on such animals as the Louisiana Black Bear, the Red Wolf, the Indochinese Tiger, the Aldabra Tortoise and the Tayra. The Alexandria Zoo is involved in field conservation programs, breeding programs and animal and habitat research. The zoo works in conjunction with the U.S. Fish and Wildlife Service in a Red Wolf Recovery program and the Louisiana Black Bear Program. Through its various educational programs and commitment to wildlife preservation, visitors to the zoo will walk away with a new perception and fascination about the animal world."
"Andrew Jackson Hotel","Louisiana","Andrew Jackson Hotel","Located in the city's bustling French Quarter, the Andrew Jackson Hotel was built on the site of the courthouse where Major General Andrew Jackson, hero of the 1812 Battle of New Orleans, was charged with obstruction of justice in 1815. It has been listed on the National Register of Historic Places since 1965 and was fully renovated in 1997.  Within steps of famous Bourbon Street, the Andrew Jackson Hotel is one of just a handful of hotels within the city's historic Vieux Carre district. It features 22 rooms and suites surrounding a private Creole courtyard with a cast iron fountain. All rooms come with 18th-century-style furnishings, central air-conditioning and heat, ceiling fans, and private bathrooms. Amenities include cable television, telephones, free Wi-Fi Internet access, hair dryers, irons, and ironing boards. A complimentary continental breakfast is provided daily, too. Rooms with balconies offer excellent views of the French Quarter. The Andrew Jackson Hotel is located at 919 Royal Street, French Quarter, New Orleans, Louisiana 70116. Concierge services, safety deposit boxes, and fax and copy services are available at the front desk, which is staffed 24 hours a day. Room rates start as low as $79 per night on Sunday through Thursday during the Fall-Winter period."
"Aquarium of the Americas in New Orleans, Louisiana","Louisiana","Aquarium of the Americas in New Orleans, Louisiana","The Aquarium of the Americas is located at 1 Canal Street, in New Orleans, Louisiana. The aquarium is operated by the Audubon Society, an organization devoted to wildlife and environmental conservation and preservation. The goal of the aquarium is to provide guests with an outstanding experience filled with educational information about the natural world. Exhibits focus on a wide diversity of wildlife and are designed to enhance the care and longevity of animals through research and educational programs. The aquarium is located along the banks of the Mississippi River, at the edge of the French Quarter. Opened in 1990, the aquarium focuses on the marine life of the Americas. Exhibits at the Aquarium feature displays devoted to showcasing particular regions of North and South America. The aquarium has approximately 10,000 different animals and represents 530 species. The Caribbean Reef Exhibit is located on the 1st floor, and focuses on a complex coral reef. The exhibit is composed of a 132,000-gallon tank made of clear glass. Measuring 30 feet long, inside the display is a tunnel which features a walkway allowing guests to view a wide array of aquatic life. Also located on the first floor is the Gulf of Mexico exhibit. The display features a 400,000-gallon tank filled with various forms of marine life that make their home in the Gulf of Mexico. Guests touring the Gulf exhibit are treated to a tank filled with sharks, stingrays and sea turtles and many other animals. The second floor of the aquarium is also filled with interesting and educational exhibits. The Amazon exhibit is composed of a large glass cylinder with interior conditions that mimic the humid environment of the Amazon rainforest. Animals featured in the Amazon exhibit include macaws, piranhas and other species found throughout the Amazon. The Mississippi exhibit features animals found indigenous to the regions of the Mississippi Basin. The gallery features large catfish, paddlefish and a rare, leucistic white alligator, among the many animals and aquatic life. The Aquarium is devoted to the preservation of native Louisiana wildlife and the Mississippi exhibit is one of the few of its kind in the country. The Aquarium of the Americas is also home to Buck and Emma, two Southern sea otters who originally came from the Monterey Bay Aquarium in California. The Aquarium has a custom-made habitat composed of 25,000 gallons with two swimming pools, rock formations and a behind-the-scenes area. Since being at the Aquarium, Buck and Emma have mated and produced several offspring and the two are featured in daily entertainment shows at the facility. Designed especially for children, Adventure Island is an exhibit that welcomes its smallest guests to climb, swing, explore and interact with animals of the Aquarium.  The highlight of the exhibit is a 2,600- gallon pool which features crown nose rays, the staff encourages guests to touch the rays and assist with feeding the gentle giants. The play area is interactive and filled with excitement and fun for guests of all ages. Guests can visit any of the interactive and fascinating displays, tour the facilities and enjoy a movie at the IMAX Theater. Also offered are at the facility are free wheel chair rentals, a gift shop, a restaurant, caf, and many other amenities. The Aquarium operates on the premise of weaving a quality guest experience with lively entertainment and engaging exhibits."
"Astor Crowne Plaza- French Quarter, New Orleans","Louisiana","Astor Crowne Plaza- French Quarter, New Orleans","The French Quarter of New Orleans was founded in 1718 when Jean- Baptiste Le Moyne de Bienville laid out the blocks that now make up the city streets. The French Quarter is considered a national landmark of historical value. Within the limits of the borough is the Astor Crown Plaza. The hotel is at the Gateway of the French Quarter near Canal and Bourbon Streets. The Astor Crown Plaza boasts of 693 hotel rooms and over 32,000 square feet of meeting rooms. Their meeting rooms can be for small intimate gatherings of 12 guests or as many as 700 guests. Amenities at the hotel include dual phone lines, in room safes, internet access, hairdryers, iron and ironing boards, CD players, coffee, 24 hour concierge, and Sleep advantage bedding. Also available are the fitness room, outdoor pool, and some rooms with balconies. Events offered at the hotel include everything from a conference to weddings. To serve at any event is the Dickie Brennan's Bourbon House Restaurant and Seafood Bar. The establishment is open for all three meals. Southern cuisine and seafood is available for diners. The seafood selection is fresh and based on local access to fish from the Mississippi River and other waterways near Louisana's French Quarter. The Astor Crown Plaza Hotel is the epitome of French architecture with its brick exterior and sleigh beds in the rooms. The rooms are painted in soft colors to be pleasing. The colors are generally gold, tan, and yellows. A mixture of wood furniture is spread throughout the rooms and public areas. The roof of the building is slate, with a somewhat square design to the entire building. The accommodations often have specials and packages for their guests. These specials can be related to the current season such as the Summer Sizzler rates provided between May and September. At other times of the year such as Mardi Gras the hotel can be completely booked several years in advance. For this reason making reservations is imperative when festivals are going on. New Orleans or the Big Easy'' as it is called by many provides a number of attractions for guests at the Astor Crown Plaza Hotel. Guests can take tours on the Mississippi Riverboats, visit casinos or tour the streets of the French Quarter. Some places to visit include St. Louis Cathedral, the Aquarium of the Americas, Jazz clubs, antique shops, Canal Street, and Bourbon Street. New Orleans is known for its nightlife, with many clubs and Jazz bars available to tourists. It is also a city full of culture and arts. The National World War II Museum and the Ogden Museum of Southern Art are popular destinations. For tourists interested in meals there are a number of popular restaurants located within walking distance of the Astor Crown Plaza. Emeril's Delmonico Bayona, Herbsaint, Peristyle, Palace Cafe, Bourbon House, and Antoine's are just a few of the restaurants guests may want to try. Prices for the hotel rooms will vary based on the season and festivals."
"Audubon Aquarium of the Americas, New Orleans","Louisiana","Audubon Aquarium of the Americas, New Orleans","The Mississippi River is just outside the doors of the Audubon Aquarium of the Americas in New Orleans. This facility houses approximately fifteen thousand sea creatures. The aquarium is known worldwide for its unique representation of about six hundred species of marine life. Their technology at the aquarium is state of the art. Visitors to the aquarium will find many forms of sea life when they go through the thirty foot long tunnel. Brightly colored fish, sharks and rays are all apparent from this enormous tunnel. The newly completed Seahorses Gallery features the seahorse in their own environment. Sometimes they are hidden in the grasses of the display and at other times they glide past the viewing windows. Seahorses are a phenomenon because the males of the species are the ones that give birth. One of the most special inhabitants of the aquarium is the rare white alligator. There have only been eighteen of these local natives found in the swamps of Louisiana. The Cajun folk lore says that seeing one brings good luck. There is a shark pool where visitors are invited to touch a baby shark. They have naturalists at some of the exhibits to answer any questions. There are two otters named Buck and Emma that provide hours of entertainment. Penguins, neon colored frogs, anaconda snakes, and many exotic birds reside at the aquarium as well. Two species of penguins reside at the aquarium; the African and the Rockhopper. These penguins are warm weather penguins so there is no snow or ice in the habitat. The Rockhopper penguins are adorned with bright yellow tufts and orange feet. There are fed twice a day at 10:30 am and 3:00 pm. Adventure Island is an interactive exhibit for all ages. The stingrays reside in a 2,600 gallon pool that offers visitors the experience of touching them. They are fed twice a day at 11:30 am and 2:30 pm; tokens to feed the stingrays are two dollars each. The aquarium has a small cafy and a gift shop. It can be acquired for receptions or corporate parties. Visitors can spend the entire day seeing all the exhibits. The Audubon Aquarium of the Americas is located at 1 Canal Street in the French Quarter of New Orleans. Hours of operation at the aquarium are Tuesday through Sunday from 10:00 am to 5:00 pm. The aquarium is closed on Mardi Gras day, Thanksgiving, Christmas eve and Christmas day. Prices for adults are eighteen dollars, children ages 2 - 12 are eleven dollars and senior citizens over sixty five are fourteen dollars. There is also a zoo, an insectarium and IMAX theater at the complex. Tickets for these other attractions may be purchased in combination with an aquarium admission. Wheelchairs are available to rent at the aquarium. There is no charge for the wheelchair, but an ID or driver's license must be left at the information desk as a deposit. There is no smoking at the aquarium. For everyone's safety and that of the sea life patrons are asked to wear shoes and shirts at all times."
"Audubon Insectarium, New Orleans","Louisiana","Audubon Insectarium, New Orleans","When visiting the city of New Orleans one of the prime attractions to see is the Audubon Insectarium. This exhibit is part of the larger Audubon complex that lies near the Mississippi River in the French Quarter. There is also a zoo, aquarium and IMAX theater. Tickets can be purchased for the Insectarium or in combination with the other aspects of the Audubon complex. The Insectarium has recently been presented with the greatest honor by receiving the Thea Award for Outstanding Achievement in a Science Center. This attraction has become part of a very exclusive world that contains Walt Disney World, Busch Gardens and Universal Studios. This exhibition houses the largest number of animals in the world, that of insects. The value of insects can be overlooked, but they have been around since the world was in the Prehistoric period. Insects have an intricate place in the world because they pollinate flowers and crops and help to decompose the world's waste. There are many sizes of insects and they are available for people to see. Some are very small while others are larger creatures. There will be insects that are common to Louisiana and other that live thousands of miles away. The building that houses the insectarium used to be the U.S. Custom House that is located on Canal Street. Many of the exhibits that are part of the Audubon Insectarium are interactive. The story of New Orleans and their specific insects are told and one of the most popular exhibits is called Life Underground''. This particular display has the guest becoming the insect, so they can see what it is like to live in the insect's world. For the daring there is insect cuisine that can be sampled. Termites are one of the most common forms of insect in the southern region of the United States. People can find out about the termite and the newest ways that they can be controlled. There is a theater that presents a movie with animated insects. A Louisiana swamp is reconstructed so that visitors can see what insects live in that world. A Japanese butterfly garden presents a visual opportunity to partake of the beauty of more than a hundred varieties of butterflies. They dart around the garden as visitors pass through the area. The Audubon Insectarium is open from 10:00 am through 5:00 pm Tuesday through Sunday. The price of admission is Adults: fifteen dollars, Children ages 2-12: ten dollars and Seniors over 65: twelve dollars. There is a place on site that serves refreshments. There is accessibility for handicapped persons with a small number of wheelchairs available, and strollers can be brought in to the insectarium but aren't available to rent. All photography is allowed inside the insectarium. If guests are in need of parking there are several discounted parking lots near the Insectarium. The parking ticket needs to be validated to receive the discounted price. Look for the Jax, Sugar, Badine and Hilton Whale Wall parking lots as well as the Canal Place Parking Garage."
"Audubon Zoo in New Orleans, Louisiana","Louisiana","Audubon Zoo in New Orleans, Louisiana","The Audubon Zoo is a part of the Audubon Society, and is located in New Orleans, Louisiana. The 58-acre zoo was opened in 1914, and features 2,000 different animals. The zoo is named after John James Audubon, the founder of the Audubon Society, a resident and businessman of New Orleans, Louisiana. The origins of the Audubon Zoo can be traced back to the early 20th century. A flight cage had been inside Audubon Park since 1914, and in the 1920's many additional features were added. In 1928, a sea lion pond with neo-classical columns was added and art nouveau buildings were constructed to be used for reptile exhibits. During the 1930's, during the Great Depression, the zoo received $400,000 and was expanded by the Works Progress Administration. New cages were added and an artificial hill known as Monkey Hill'' was constructed, the purpose of the hill was to show the citizens of flat New Orleans, what a hill would look like. By the 1970's the zoo was in a state of decay. The cages installed were no longer considered an appropriate and safe environment for the animals of the zoo. In 1975, at the urgency of the city government, local officials and citizens, voters approved finances to rebuild the zoo. The grounds of the zoo were expanded from 14 to 50 acres and by the end of construction; the zoo was well on its way to becoming one of the premier zoos in the United States. After Hurricane Katrina roared through New Orleans in 2005, the zoo was opened but limited visitation to weekends only due to financial constraints. The zoo received minimal damage from the storm due to its location and disaster planning.  As of 2006, the zoo had once again reopened to the public on a regular seven days per week schedule. The Audubon Zoo is one of the top-rated zoos in the United States, and is home to an exotic mix of animals from all over the world. The Zoo features innovative habitats, lush gardens and comfortable resting areas and hands-on animal experiences. Visitors to the Audubon Zoo will experience a wide array of unique exhibits, entertaining animal shows and many other activities designed to appeal to guests of all ages."
"Avenue Plaza Resort","Louisiana","Avenue Plaza Resort","In a location that provides easy access to the attractions of New Orleans, Avenue Plaza Resort also provides a quiet and relaxing stay while in the area. This hotel, in the garden district near St. Charles Avenue, offers friendly service and all the services and amenities expected from a luxury hotel.  Avenue Plaza Resort provides many amenities that make for a comfortable stay. The hotel offers concierge services to help guests get the most out of their stay in The Big Easy. In addition, guests can take a dip in the outdoor, swimming pool or relax in the attached Jacuzzi. Both are located on the landing that connects to The Ashley House, which is also part of the hotel's property. Guests can also view the cityscape from the rooftop deck of the hotel. Those interested in eating a juicy steak can visit the on-site restaurant, Mr. Johns, which is located in the lobby. The guest rooms at the Avenue Plaza Resort include studio or one-bedroom suites that include kitchenettes with all the equipment needed for a comfortable stay, such as a refrigerator, a microwave, toaster, cooktop, and dishwasher. In addition, some rooms include oversized vanities, separate living areas with sleeper sofas, and an additional dining area."
