Name,State,Title,Description
"Acadia Inn","Maine","Acadia Inn","The Acadia Inn in Bar Harbor, Maine welcomes its guests to Mount Desert Island, home of the famed Acadia National Park and the charming town of Bar Harbor. Whether coming to Bar Harbor for a classic Bar Harbor Maine vacation or to experience a hiking tour of Acadia, guests will find the Bar Harbor Maine hotel to have comfortable rooms, affordable rates, and modern amenities.  The Acadia Inn and entrances to Acadia National Park are located in Bar Harbor Maine on Mount Desert Island. There are 95 deluxe air-conditioned rooms all within one mile from downtown Bar Harbor. Complimentary continental breakfast is offered daily and oversized beds with premium and luxury bedding is available at night to rest. Wireless and high speed internet service is also available throughout the hotel. A large heated swimming pool and Jacuzzi are also located on the premises. Onsite parking is available and guests may enjoy leisurely walks around the hotel. Within one mile of downtown, guests are typically seen walking and not driving once their car is safely parked at the inn. Dining options and lounges are found nearby and shops are seen on just about every corner in and around the hotel grounds."
"Asticou Inn","Maine","Asticou Inn","The Asticou Inn offer comfortable accommodations in a quaint setting. The Inn is located just steps from the Acadia National Park, providing scenic surroundings, flowering meadows and top-notch service. The Inn has been restored to it original turn-of-the-century stature, allowing guests to feel as if they have stepped back into another,less-hurried time. The Inn provides onsite dining and guests can enjoy breakfast, lunch and dinner, all with views of the Mount Desert Island from the dining room. The Inn offers a variety of amenities which include free wireless Internet access, a heated swimming pool, Sunday brunch, a clay tennis court, room service, concierge services, free onsite parking and shuttle service to the Island Explorer. Guests are within walking distance of the Thuva Gardens, the Azalea Gardens and the Asticou Dock. The Asticou is an ideal location for wedding celebrations and offers an impressive harbor site, as well was scenic gardens that are great for ceremonies and photos. The Inn is also happy to help you organize and host your bridal shower, rehearsal dinner, reception or post-wedding brunch. Your special day and the events surrounding it will go off without a hitch when the Inn's Wedding and Special Functions Director helps you arrange everything from start to finish. "
"Bar Harbor Grand Hotel","Maine","Bar Harbor Grand Hotel","Opened to the public in 2003, the new Bar Harbor Grand Hotel was designed as a replica of the 1875 Rodick House, which was once the largest hotel in Maine with 400 guest rooms and dining facilities for 1,000 guests. It was a favorite of famous visitors, including the Astors, Carnegies, Fords, Rockefellers, and Vanderbilts. The original hotel was destroyed 1906, but some of its grandeur has been resurrected in this considerably smaller version.  Today, the Bar Harbor Grand Hotel features modern conveniences in 70 Superior guest rooms and two-bedroom suites. Units come with premium bedding on either King or Queen Beds. Among standard room amenities are high-speed Internet and complimentary cable television with HBO channels. Guests are also provided with free local phone calls, coffee/tea service, and a daily continental breakfast. Facilities on the premises include a fitness room, a guest laundry, a heated outdoor pool with a Jacuzzi, and a gift shop. The main lobby is just a short walk from the waterfront and within minutes of Acadia National Park. The Bar Harbor Grand Hotel is located on Mount Desert Island, home to beautiful Acadia National Park. The address is 269 Main Street, Bar Harbor, Maine 04609-1744. Ample free parking is available on site."
"Bar Harbor Hotel - Bluenose Inn","Maine","Bar Harbor Hotel - Bluenose Inn","Located on the most beautiful island in America, the Bar Harbor Hotel Bluenose Inn has panoramic views of Frenchman's Bay. The hotel has been rated a four-diamond hotel by AAA and has been awarded the 2010 Environmental Leader Award by the Bar Harbor Chamber of Commerce. Located near to Acadia National Park on Mount Desert Island, the Bar Harbor Hotel offers elegant accommodations to its guests. The hotel was originally built in 1884 as the homestead for Mrs. William Morris Hunt, who was the widow of an artist. The original stonework still remains beneath the foundation of the hotel.   The hotel consists of two buildings. The Mizzentop (an original term used by Mrs. Hunt) houses 52 guest rooms along with the registration office, lounge area that serves cocktails, gift shop, and business center. The Stenna Nordica houses 45 guest rooms. There is also a third building, which houses the swimming pool, Jacuzzi, steam room, exercise room, and the Eden Spa. Additionally on the hotel property, guests will find an outdoor, heated pool, gardens, and scenic vistas. Most guest rooms feature fireplaces and private balconies. They also have DVD players, cd players, large-screen televisions with premium channels, refrigerators, and in-room safes."
"Bar Harbor Regency","Maine","Bar Harbor Regency","When Barack Obama and the First Family decided to vacation in Maine in 2010, they were the first Presidential party on Mount Desert Island in 100 years. Their choice for accommodations was the Bar Harbor Regency, where they occupied a $500-a-night ocean-view penthouse. The presidential suite is furnished with Queen Anne furniture, has its own private outdoor deck, and features a full kitchen.  The Obama chose the Bar Harbor Regency because it is noted for its luxury lodging, classic style, and beautiful setting near the entrance of Acadia National Park. Most of its units face the hotel's private marina in Frenchman's Bay, where a long pier extends out to a boat dock for access via yacht or sailboat. Among the many facilities available here is a health club with treadmills, stationary bikes, and an oceanfront jogging path. Two lighted tennis courts can be used by guests during the day or night. The outdoor heated pool has its own Jacuzzi hot tub along with a Tiki area for social functions. There is also a practice putting green. The Bar Harbor Regency is operated by Holiday Inn Hotels. The address is 125 Eden Street, Bar Harbor, Maine 04609-1137. During the summer months, rooms are available from as low as $219 per night."
"Belgrade Lakes Golf Course","Maine","Belgrade Lakes Golf Course, Belgrade Lakes, Maine - A 5-Star Golf Course in the Maine Hilltops","The Belgrade Lakes Golf Course is a hilltop course located in the rolling hills of central Maine. Like its hilltop perch, the course sits similarly high atop the rankings for Maine golf courses. It was one of only a handful of courses in the nation to receive a 5-Star award from Golf Digest in 2002 for the magazine's Places to Play'' rankings. It also vies with Suglarloaf every year for the honor of best golf course in the state. The course opened in 1998 and was designed by British golf course architect Clive Clark, who in 2001 was ranked #1 in GolfWorld's 25 Hottest Architects of the Year.'' In his designs, Clark tends to emphasize variety, playability and balance, with the goal to provide an exciting and enjoyable golfing experience. The 18-hole, par-71 course plays to 6,723 yards from the longest tees, with a USGA rating of 72.2 and a slope rating of 135. The course features lush, tree-lined fairways, ribbed bunkers and a number of large boulders and rocks sprinkled throughout. The course overlooks the Belgrade Lakes Region, and offers incredible views and panoramic scenery that's said to rival any in the state. Another interesting feature is that, even with 200 feet of elevation change, very few holes play uphill - a fact most golfers will enjoy. It's been said that every hole on this course is noteworthy, making it difficult to choose any for special praise. Hole No. 1, however, sets the tone, as few golfers will forget the experience of driving from a tee box situated 200 feet above lakes and ponds that stretch for miles, and more than 100 feet above the landing area. Hole No. 3 is a par-5 that plays to 475 yards from the Black tees, and designer Clark felt it was going to be one of the more spectacular holes on the course. Trees line both sides of the fairway until giving way to a large water hazard on the left nearer the green, along with a string of rocks that runs along the right before broadening into a small rock quarry near the end of the fairway. Hole No. 5 is a par-3 that plays to 174 yards and has been lauded by many golfers as the prettiest on the course. What makes it so picturesque, and challenging, are the tall grasses and water hazard that must be carried to reach a green isolated in a horseshoe of trees. Three deep, timber-clad bunkers are cut sharply into a bank that runs just behind the green. While this hole shouldn't be especially difficult, the challenge comes from the layering effect'' from the tee, as the eye goes from rough, to water, to rock, to rough, to green, to bunkers, to woodlands behind, making for a splash of textures.'' When the course first opened, many golfers rated hole No. 9 as their favorite on the course. This strong par-4 is considered a true test of golf,'' as it twists between the rocks on the left and the trees on the right, before ending with an approach shot to a long, narrow and elevated green. The hole is built into an amphitheater'' that's said to be worthy of hosting the Ryder Cup,'' according to one golf magazine. The course also features a large, New-England-style clubhouse that sits atop a plateau that overlooks the course."
"Children's Museum and Theater of Maine in Portland, ME Exercises the Imagination","Maine","Children's Museum and Theater of Maine in Portland, ME Exercises the Imagination","	Situated in downtown Portland, Maine, in the city's Arts District, the Children's Museum and Theater of Maine provides a plethora of interactive and hands-on exhibits for young children and their families. Founded in 1976 by the Junior League of Portland, the museum moved to its current location in 1993 and has continuously expanded to provide a huge variety of exhibits and displays that promote discovery and exploration through imagination and play. Specifically, the museum focuses on four areas of learning including early childhood education, science education, multicultural education, and the visual and performing arts. The Children's Theater of Maine began as the Children's Theater of Portland in 1923 and remains the oldest continuously operating kid's theater in the nation. Committed to the production of original works, including plays and musicals written by children, the theater merged with the museum in 2008 and now produces a four-show season of theater by children and for children.'' The three floors of the museum are busy with things to do that will thrill little hands while intriguing older visitors as well. On the Lower Level, children can make a stop at Coco's Diner for the opportunity to serve up some pretend food and drink, or can pop into the Dress-Up Theater for a chance to don fun costumes and check out the light and sound booth. This is also where the museum's theater productions take place. When visitors reach the First Floor area, they'll find themselves in the middle of Our Town, a place where children can try out different roles and explore the jobs of the people in their community. Our Town includes a mock car repair shop, fire truck, lobster boat, market with ATM, farm, animal hospital, post office, and shipyard. At each of the stops, children can try their hand at a variety of tasks associated with each job or industry. There's also a toddler park on the main floor, perfect for the museum's youngest visitors. On the Second Floor, visitors can check out LL Bear's Discovery Woods, where they'll learn basic survival tips and try their hand at rock climbing and other outdoor adventures. The Tree to Timber display teaches children about sustainable forestry and a space shuttle replica and mini-planetarium tout the importance of space exploration. On the second floor, there's also a bee hive exhibit, a display about the history of Maine, and a tidepool touch tank, where visitors of all ages can view sea urchins, star fish, and mussels. The Third Floor is home to a unique Camera Obscura, which provides panoramic views of the city of Portland. Myriad special programs are offered at Children's Museum and Theater of Maine. During the summer, the theater sponsors one-week camps that teach acting, puppetry, and other related topics. Weekly early childhood programs and groups, science, art, and history programs, and multicultural workshops round out the offerings for kids of a variety of ages. Private birthday parties can be held in the museum or theater and include facility rental, admission to the museum, and balloons for each child. Deluxe themed parties also include cake, beverages, and party favors."
"Comfort Inn Ocean's Edge","Maine","Comfort Inn Ocean's Edge","Comfort Inn Ocean's Edge is really on the edge of the Maine Coast in Belfast. Its location puts it on Penobscot Bay, one of the most majestic and sought after vacation locales in Maine. From Ocean's Edge it is possible to drive to several different locations around Belfast including Camden, Castine, Bar Harbor, and Boothbay Harbor.  Acadia National Park is about 55 miles from the Comfort Inn, with Fort Knox and Penobscot Narrows Bridge Observatory fifteen minutes away. Some of the attractions around Maine include Sear's Island for birding. It is home to more than 160 bird species, some of which migrate to warmer areas in winter. There is also the possibility of sailing in the bay for those who want to rent a sailboat in a nearby marina. Room types include double, suites, presidential suites, and cottages. The cottages offer more privacy on the landscaped acreage of Ocean's Edge. Rooms offer air conditioning, coffee maker, iron, ironing board, hair dryer, color TV, voice mail, and data ports. The suites have either a queen or king sized bed depending on preference. Dining at Comfort Inn Ocean's Edge provides fine dining with fresh seafood such as lobster stew, shrimp scampi, and baked stuffed haddock."
"Cottage Breeze Day Spa and Boutique in Kennebunkport, ME Provides Plenty of Pampering","Maine","Cottage Breeze Day Spa and Boutique in Kennebunkport, ME Provides Plenty of Pampering","	Located in the town of Kennebunk in York County on the southwest coast of Maine, Cottage Breeze Day Spa and Boutique provides a health and wellness environment which appeals to visitors of all ages and both sexes. Situated in the heart of Kennebunk's Lower Village and within walking distance of Kennebunkport's popular Dock Square fishing village, this spa and boutique provides a large menu of services that leave visitors feeling relaxed and reinvigorated. The menu of treatment options at Cottage Breeze Day Spa is extensive and many of the therapies are unique to this particular spa. Spa services for the face include many options that feature the use of pure, natural Naturopathica and other products. These include purifying facials, curative facials for individuals with specific skin problems, sun repair facials, antioxidant treatments, and enzyme peels. Also included on the menu are anti-aging facials, treatments designed especially for teens with different skin types, clearing treatments for breakouts, and more. Other facial treatments and services are offered by the spa's salon professionals. Those include collagen eye or lip treatments, eye brow or lip waxing, paraffin hand treatments, aromatherapy hand glow, and reflexology treatment. Thirty-minute make-up consultation and applications are available and bridal consultations include a pre-wedding appointment and day of event application. Brides can also schedule the entire wedding party for make-up application on the day of the ceremony. Cottage Breeze Day Spa and Boutique also offers myriad services to rejuvenate and reinvigorate the body and relieve stress. These include massages of different types such as traditional Swedish, deep tissue, sports massage, and a special Maine River Stone massage. There's also a massage for the mother-to-be. Other treatments for the body include an exfoliating salt glow and the spa's signature Pomegranate Indulgence, which includes a pomegranate oil soak, a body exfoliation with Pomegranate Sugar Scrub, a light massage, and a final spritz with pomegranate-scented body spray. Guests can combine a number of treatments for a custom package that addresses all their spa needs at one time. Spa customers can also choose a partner and enjoy a companion massage and other services with a friend, mate, or sister. Salon services, such as manicures and pedicures, waxing, and paraffin treatments, are also offered at Kennebunk's Cottage Breeze Day Spa. The Spa Boutique sells a large selection of skincare and haircare products as well as soaps, teas, and even shoes. Lines featured include Dermalogica, Baudelaire, Clarisonic, Belli, Goldfaden, Jane Inc., and others. Items may also be purchased at the boutique and shipped to other locations. Cottage Breeze also welcomes bachelorette parties and other gatherings and can arrange treatments and other amenities for the entire party in attendance. The spa also offers the Spa Gift of the Month Club, where patrons can purchase a subscription that provides a monthly spa-related gift for themselves or others. Available in 3-, 6-, and 12- month subscriptions, this gift club is unique and has been very popular among spa customers. Cottage Breeze Spa and Boutique is open daily during peak tourist season with limited hours during the remainder of the year. Appointments for all treatments are recommended, especially during the busy season."
"Eartha, the Largest Rotating Globe in the World is in a Small New England Town","Maine","Eartha, the Largest Rotating Globe in the World is in a Small New England Town"," The town of Yarmouth, Maine is a typical small New England town. With only 8,300 residents and a main street lined with historical homes and mom and pop businesses, Yarmouth seems like it could be right out of a Norman Rockwell painting. But there is one landmark in Yarmouth that is not typical of sleepy American towns: Eartha, the world's largest rotating globe. DeLorme is a business that provides mapping products. Eartha was designed by the CEO of the company, David DeLorme, and is housed at the companies Yarmouth headquarters.  Eartha is 3D model of the world that moves to simulate the actual movement of the earth. In 1999, the Guinness Book of World Records confirmed Eartha's title as the biggest rotating globe, and no one has beaten that title yet. Just over 41 feet in diameter and weighing 5,600 pounds, Eartha was bigger than the world's previous largest globe, the Globe of Peace, by more than 9 feet. Incidentally, the Globe of Peace, which is located in Pesaro, Italy, was stationary. Eartha was built to a scale of 1:1,000,000, and a rotation is completed each minute . It was designed in such a way as to mimic what one would see if looking at the earth from space. Eartha took two years to build, and the globe is detailed right down to major cities and roadways. Even the depths of the oceans are accurately represented. One would need 214 CD's to hold Eartha's 140 gigabyte database. Visitors are welcome to see Eartha for themselves at the DeLorme headquarters where she resides in a glass atrium. The globe is open to the public during normal business and there is a gift shop next to the atrium. If you do decide to pay a visit to Eartha, be sure to also stop by the Yarmouth Historical Society where you can learn about the 300 years of human history'' that has taken place in the town . Many small towns have a claim to fame, but only a few have an actual Guinness Book of World Records title that is unlikely to be broken anytime in the near future. Even if someone does build a larger rotating globe, it is unlikely that it will include the attention to detail that makes Eartha such a wonder."
