Name,State,Title,Description
"1st Mariner Arena Baltimore, Maryland","Maryland","1st Mariner Arena Baltimore, Maryland","The 1st Mariner Arena in Baltimore, Maryland is owned by SMG Corporation. SMG began in 1977 with the Louisiana Superdome. The company has grown to managing 176 facilities. SMG is set up in two divisions. They have one division for the stadiums and a second for the arenas. Currently SMG is managing 74 arenas, 7 stadiums, 51 convention centers, 34 performing arts centers, and 10 other recreational facilities. SMG's Baltimore Arena is considered the largest indoor sports and entertainment arena. It is an anchor for Baltimore as it has helped expand the city and prosperity. The facility was first opened in 1962. The idea was to redevelop the inner harbor area. 1st Mariner Arena is a small distance from the harbor, main city attractions, and hotels. Attached to the facility is an 850 car garage. There are also thousands of parking spaces nearby. When the facility was first opened they called it a Civic Center. In 1986 the building was renamed the Baltimore Arena. It received the current name in 2003. At the official opening the arena hosted a game with the Baltimore Clippers and Paul Anka for entertainment. Since those first years entertainment names such as the Beatles, Elvis, Rolling Stones, Bob Dylan, Frank Sinatra, and the Supremes have played in the 1st Mariner Arena. The city does own the facility, with SMG managing the various entertainment events held there each year. Typically the arena sees 800,000 guests at the 120 events. The Baltimore Blast MISL Soccer team calls the arena their home. Shows such as Sesame Street Live, Disney on Ice, Barnum and Bailey Circus, Stars on Ice, Motocross, Monster Jam, and the WWE have appeared at the facility. In recent years big entertainment names like Britney Spears, Toby Keith, Rascal Flatts, Janet Jackson, The Eagles, Kanye West, and U2 have been brought to the arena. 1st Mariner Arena has 11,000 permanent seats on three levels. Temporary seating can be set up on the floor for concert events. This gives the arena 13,500 capacity. The arena can be broken into segments if needed. The 1st Mariner is also an ice rink for hockey and other ice extravaganzas. Visiting Baltimore and the arena may require a place to stay or eat. There are hotels close to the arena for visitors. These hotels are Days Inn, Marriott, Renaissance, and Sheraton. For eating close to the arena there is the Capital Grille. The hotels and restaurant named are not the only places available in the city of Baltimore, but they are the closest to the arena. The 1st Mariner Arena has an insider's club. Members are able to join the club to get information about new events, special offers, promotions, and discounts available from the arena. These members are also able to pre-order tickets for certain events. Tickets for events can be purchased directly on their site, at their location, or through ticketmaster. Events coming up for the rest of 2009 include things like the American Idols Live Tour, Journey, Sesame Street Live, and Jeff Dunham."
"A Fun Shopping Destination Near DC","Maryland","A Fun Shopping Destination Near DC","White Flint Mall in Bethesda, Maryland is a shopping destination that offers something for everyone. The mall features three anchor stores, Border Books and Music, Bloomingdale's and Lord & Taylor. The mall is three stories, with the first two stories offering primarily retail space and the top floor featuring primarily dining and entertainment. The mall offers a variety of events throughout the year, as well as special programs and sales. Women's apparel stores include Ann Taylor, the Gap, H&M, Talbots, Victoria's Secret, Coldwater Creek, and A Pea in the Pod. A Pea in the Pod offers stylish, affordable maternity wear for ladies who are pregnant. There are a number of shoe stores in the mall, as well, and include Bandolino, Nine West, and Payless Shoe Source. You should be able to find a great outfit for an upcoming event without running all over town. Those searching for a gift for a special occasion can shop at Border Books and Music Cafy, Bertrams Inkwell, Godiva Chocolatier, and White Flint Toys each offers options for a variety of gift giving occasions. There are also a variety of service options available at the mall so if you are planning to run a few errands while shopping, you will be able to do so at the mall. Several hair salons offer cuts, styles and products. Choose from Hair Cosmopolitan, Rainbow Hair Designs, and the Robert Lewis Salon for your new look. Those who are interested in more extreme changes to their look or they are in need of a spa day should consider visiting the Reveal MedSpa or the Roxsan Day Spa. There are a number of dining options available to shoppers. Food court favorites like Jerry's Subs and Pizza, Twist Again Pretzels, Mrs. Field's Cookies, and Jasmine Smoothies each offers a quick, affordable bite to eat. If you are interested in a sit down establishment with wait service, consider P.F. Chang's or The Cheesecake Factory. Dave and Busters is a full-service restaurant and bar, and they offer entertainment and games for the entire family. Kids of all ages can head to the establishment for a casual dining experience that includes dinner entrees, sandwiches, and salads, and then enjoy and evening of games and fun in the D&B arcade. The mall features an AMC Theatre and they have coupled with some of the restaurants on site to offer a variety of dinner and show options. Visit the mall's website before making your choices, or speak with your waiter or waitress to find out if the restaurant offers any theatre discounts. The mall offers a special group for young shoppers called the Lil Engineer's Club. This is an opportunity for children eight years of age and younger to participate in special events at the mall, as well as receive special discounts. Check the White Flint Mall website for upcoming events for Lil Engineers. The White Flint Mall is a destination in Bethesda, Maryland that offers retail shopping, dining, entetainment, and a variety of other services and features."
"A Mall for All Seasons","Maryland","A Mall for All Seasons","The Harford Mall in Bel Air, Maryland offers a variety of shopping and event opportunities for the local community. Major stores in the mall are Macy's, Sears, and the Macy's Furniture Gallery. Women's apparel stores include Charlotte Russe, Hollister Co., Hot Topic, Cacique, Lane Bryant, New York and Company, Old Navy, and Victoria's Secret. Shoppers can choose from a variety of fashions, and top off their new look with shoes from Journeys, Payless, or The Shoe Department. Those needing to accessorize can visit Claire's, Kay Jewelers, Smyth Jewelers, or the Sunglass Hut for that special finishing touch. If its home goods or services you are in need of, chances are you will be able to find what you need at the mall. Advance Health, Banfield Veterinary Clinic, Doctor's Vision Works, Jackson Hewitt, Joe's Watch and Jewelry Repair, Liberty Travel, Mastercuts, Office Depot, Ritz Camera, and Petsmart are all on the premises.This means you will have the convenience of one stop shopping. While you await your tax preparation, new eyeglasses, or repaired watch, you can browse the numerous stores. The food court features a Sino Wok and a Villa Fresh Italian Kitchen. This location was formerly Villa pizza and features Italian favorites like Stromboli, pizza, salads, and more. The Sino Wok serves delicious, affordable Asian cuisine. You can purchase items as a combo or a la carte, and the restaurant offers slushes and milkshakes, as well as sodas. Vaccaro's Italian Pastry Shop is a satellite location of the Little Italy favorite coming soon to Harford Mall. Their menu will feature dessert treats such as cookies, cannolis, biscotti, espresso, coffee, Torta, and Dolci. The mall offers a variety of events throughout the year which may include special sales, pageants, and auctions. Coupons and sales announcements are often posted on the mall website, so be sure to check things out before heading out for a day of shopping. You may just find what you are looking for on sale if you time your trip correctly. Mall gift cards are available in a variety of balances, and remaining balances can be checked on the mall website. The mall gift cards can be used at any CBL properties shopping establishments. Harford Mall features the sponsorship of Coca-Cola and Upper Chesapeake Health. The sponsorship means Coca-Cola products will be served at mall events, and Upper Chesapeake Health is entitled to special mall-oriented advertising opportunies. The mall is home to Regal Cinemas Bel Air 14 which means shoppers have access to movies on 14 different screens all while they are in the comfort of the mall. Mall hours are Monday through Saturday 10 - 9:30 pm, and Sunday 11 - 5:00 pm. There are restrooms, pay phones, and an ATM machine available to shoppers inside of the mall. A Nursing Room is also located inside the mall for the comfort of nursing mothers and their babies. If you are in the market for gifts and apparel, or you are craving a quick bite to eat, head to Harford Mall in Bel Air, Maryland."
"A Mall for Those Who Enjoy Shopping","Maryland","A Mall for Those Who Enjoy Shopping","The Mall at Prince George's in Hyattsville, Maryland offers a variety of shopping, dining, and entertainment options. The mall features four anchor stores including Old Navy, Macy's, Target, and JC Penney. Shoppers love the convenience of having a Target located by a shopping mall, since it usually requires visiting a separate location while shopping. Those who are in the market for updating their wardrobe will enjoy shopping at stores like Marshall's, Ross Dress for Less, Classic Way, and Dr. Denim. Both Marshall's and Ross offers department store brand name clothing at a discounted price. Last season's hottest trends and store overstocks are sent to these stores so shoppers can get popular looks at bargain basement prices. If you need accessories to compliment your new fashion finds, visit Claire's Boutique, Baker Shoes, Shoe City, the Shoe Department, or Payless Shoe Source for shoes, jewelry and handbags. Those shopping for a special event will love the fact they can spruce up their look with items and services from 5th Avenue Beauty Supply, Bath and Body Works, Accent Hair, Chelsea's Beauty Supply, Glamour Nails, Scents and Such, Regis Hairstylists, and Technicolor Salon and Spa. Each of these stores help you feel and look your best for an affordable price. Those who have worked up an appetite shopping through the day will enjoy dining at one of the popular food court eateries. Choices include Bourbon Street Grill, California Grill, Manchu Wok, Steak Escape, Cinnabon, Larry's Cookies and Boardwalk Fries, Sbarro, and Randy's Dipppin' Depot. Those who are looking for sit down meals in a casual dining experience can choose between Olive Garden and Outback Steakhouse. Both locations offer delicious entrees, savory desserts, and abundant portions that are sure to leave you with plenty of leftovers. The mall offers a variety of events throughout the year that vary from month to month. Many of them are holiday related and may include opportunities like Halloween trick or treating, pictures with Santa, doll shows, YMCA events, fundraisers, and health fairs. The mall is very active in the community and has made an effort to focus on the greening process in retail establishments. The Preit Company, owners of the Mall at Prince George's offers advice and tips on creating a more environmentally friendly space around you. They also encourage stores inside their malls to do the same, and they offer advice on how retail establishments can improve their environmentalism without hurting their sales. Mall gift cards are available and can be used at all Preit owned shopping centers across the nation. Gift cards are available in denominations ranging from $20 to $300. You can also choose and American Express gift card which can be used at the mall or all stores that accept American Express. Denominations for those cards are available in $25, $50, and $100 denominations. These make for a great gift idea for the hard to shop for individual in your life. If you are looking for a shopping center with a community conscious, opt to shop at The Mall at Prince Georges."
"A Mall That Offers Shopping and Fun","Maryland","A Mall That Offers Shopping and Fun","Whether you are seeking hip fashion trends or a unique and thoughtful gift for a special occasion, Marley Station Mall can help. They feature some of the best names in retail including , Bath & Body Works, Forever 21, Hollister Co and Limited Too. Popular anchor stores Macy's, JC Penney, and Sears offer the convenience and affordability of deparment store merchandise. With ample parking and a variety of dining options, you and your family can make a day of shopping at Marley Station. Women's Fashion options include Rainbow, Rave, Frederick's of Hollywood, Body Central, Casual Gear, New York and Company, and Victoria's Secret. Those in need of a new pair of shoes will love the choices offered by Lady Foot Locker, Payless Shoe Source, Stride Rite Shoes, Finish Line, and Champs Sports. Specialty stores offer a variety of services and goods that will help to make your shopping experience convenient and pleasant. Shop As Seen on TV for all of the latest products you have seen infomercials for, or visit Radio Shack for electronics and technology. If you are shopping for a gift for that special someone, browse the selections at Borders Express, Yankee Candle, or Things Remembered. Spencer Gifts offers bawdy, fun merchandise for special events like birthdays or bachelor and bachelorette parties. There is a Select Comfort in the mall if you are in the market for a new, more comfortable mattress. Those hoping to boost their well-being and appearance can head to Beauty Trends, GNC, Gold's Gym, Regis Salon, Fragrances Unlimited and Prosperity Hair Salon. A new look is just a few steps away at this mall. If you find you have worked up an appetite shopping, grab a quick treat from Auntie Anne's Pretzels, Chik-Fil-A, Boardwalk Fries, Sbarro, or China Bowl. If you want something more substantial and you have time for a sit-down, casual meal, consider Ruby Tuesday or Rocky Run Restaurant, featuring a variety of sandwiches, salads, and dinner entrees. Those who want to make their trip to the mall a night on the town will love the convenience of a movie theatre at the mall. The Marley Station Regal Cinemas features several big screens so you can choose from one of several current Hollywood hits. Throughout the year, Marley Station hosts a variety of special events and programs. There is an annual fashion show, the dTour, featuring music and BMX shows, and Kidgets. Kidgets is a fun cartoon club for kids that offers fun and education right inside the mall. The mall offers gift cards that can be used at all Simon Mall locations across the nation. You can purchase the giftcards in volume if you are planning a fundraiser or special event that would be suited with mall gift cards. Card balances can be checked on the website, so if you need to know your available funs before heading to the mall, check things out in the gift card section.Upcoming sales events are also listed on the website, so if you want to know the current goings-on at the mall, check it out. Marley Station Mall offers dining, entertainment, retail for everyone."
"A Medical History of the Civil War","Maryland","A Medical History of the Civil War","Civil War buffs will enjoy the stories and history told by the National Museum of Civil War Medicine in Frederick, Maryland. Unlike other Civil War museums, this one approaches the sugject matter from a strictly medicinal point of view and tells the story of the conflict on the battlefield through the eyes of the nurses and doctors who treated Union and Confederate soldiers. There are interactive educational programs throughout the museum including exhibits, seminars, and lectures that tell the story of the war. The museum considers itself the premiere repository of exhibits and artifacts devoted to the technological and procedural advances made in the medical field between 1861 and 1865.'' The museum's theme, Divided by Conflict, United by Passion,'' also encapsulates the feeling surrounding Civil War history. There are over 1,500 artifacts incuding surgical instruments, pharmaceutical bottles and containers, medical knapsacks and panniers, prosthetic devices, stretchers and litters, and dental tools. Also included in the collection is a table that was used for amputation, a practice very common when wounding occurred in Civil War battles. There is a Union Army Hospital flag, and the original volume of the famous medical book Medical and Surgical History of the War of the Rebellion.'' Educators will be pleased with the variety of materials available for them to incorporate into student lessons. The museum also offers school tours and field trips, complete with a corresponding curriculum that will enhance the visit. Even a child completely uninterested in history will be interesed in the real life tools and equipment that was used on the Civil War battlefield. The museum brings to life the history of the earlier days of the country, and children with an interest in medical science will be thrilled with their ability to recognize the development of early tools into the modern materials of today. Memberships for the museum are available and offer admission at a discounted rate. Adult admission is $6.50. Students and members of the military are $6.00, and kids age 10 - 16 can get into the museum for $4.50.The museum is open Monday through Saturday from 10 - 5:00 pm and Sundays from 11 - 5:00 pm. There are internship opportunities and the museum holds a variety of special educational events including conferences, lectures, and fundraisers. Those who would like to become more involved should consider one of the museum's internship or volunteer opportunities. When your trip tour of the museum has ended, be sure to pay a visit to their on site gift shop. The shop offers a variety of collectibles, apparel, logo items, information packed books, educational resources, and multi-media items that can be used for months and years to come. Children will love reliving their experience to the museum, and continuing to learn about the tools and objects they were able to view on their tour. Whether you are an educator looking for a way to bring lessons about America's Civil War to live, or a person who participate in re-enactments, or someone who just takes an interest in medical developments, the National Museum of Civil War Medicine will intrigue and educate you."
"A Shopping Mall in a Convenient Location","Maryland","A Shopping Mall in a Convenient Location","Owings Mills Town Center is a mall that has grown with the Owings Mills community over the years. Originally set in a vast field, not yet populated by condos, townhomes, and business, the mall has expanded as the buildings around it sprang up. The mall features two anchor stores, Macy's and JC Penney. When Macy's purchased Hecht's department store, they moved into the former Hecht's locations in malls across the United States. At Owings Mills, there was already a Macy's, so with the purchase, the site of Hecht's was closed down. The mall features a wide variety of women's fashion stores including Victoria's Secret, New York and Company, H&M, Wet Seal, Lane Bryant, Express, Hot Topic, and Deb Shops. If you are looking for fashion and shoes, visit Nine West, Payless Shoe Source, Estillo Shoes, Stride Rite, and Shoe Department. If it is not clothing and shoes you are looking for, Owings Mills Mall features a wide variety of home and gift stores. Oriental Home Dycor and International Furniture Liquidators both offer a variety of unique items for the home. There is a Spencer's Gifts and Border's Express for those looking for gag gifts or reading material. You can find gifts for your techie friends at Radio Shack, Game Stop, or Cellaris. If you are searching for something more traditional, head to Things Remembered for an engraved gift, or Brookstone for you choice of luxury gifts for the person who has everything. For someone who likes to keep their home smelling fresh or fruity, Yankee Candle has a fragrance for all tastes. Once the perfect gift has been found, get the wrapping paper, gift bag, or greeting card to go with it from Hallmark Gold Crown. The mall has a food court with traditional mall favorites such as Chik-Fil-A, Bourbon Street Cafy, Mrs. Field's Cookies, Mamma Ilardo's Pizzeria, and Salads, Wraps, & More. If you are looking for a sit down meal experience, choose from casual dining options like Red Lobster, Don Pablo Mexican Kitchen, and Red Robin Gourmet Burgers. Red Robin is a great destination for families with young children, and they offer a huge variety of delicious, juicy burgers, and thick shakes. The mall offers a wide variety of events and programs throughout the year. They host a popular mall walker program beginning at 7:30 am most days. Those who would like to walk need to sign up for the program since they are gaining access to the mall prior to regular operating hours. You can sign up at the Owings Mills Mall Office. The mall also holds a Family Fun Day every Wednesday. There are different events scheduled throughout the year, so check the website for a calendar of events. The mall features a holiday shopping event and photos with Santa during the holiday season. There is one day reserved for pet pics with Santa, so if Fido is your baby, he can have a holiday picture taken as well. If you are looking for retail variety, dining choices, and movies and entertainment, take a trip to Owings Mills Town Center."
"All Suite Resort in Ocean City","Maryland","All Suite Resort in Ocean City","The Princess Royal Resort in Ocean City, Maryland is the city's largest all-suite resort. They offer large two room suites that are fully equipped with kitchens for vacationers who want to keep their dining options budget friendly. Guests can choose from suites which with ocean views or that overlook the hotel's indoor pool. For those traveling with larger groups or who just need additional space and privacy, the hotel offers two and three bedroom condos in addition to their traditional suites. The hotel is located on 91st Street, so it is nearby a variety of entertainment and amusements without being in the center of the crowded boardwalk. There are 310 guests suites and 30 condos available for rent. The hotel features a four story oceanfront glass atrium which just may take your breath away. There is an Olympic sized indoor swimming pool, so guests can enjoy the fun and exercise of swimming year round. The free health club on the premises is available for all guests so you do not have to let your workout slide while on vacation or traveling for business. There is also a whirlpool and a sauna, so after a hard workout you can relax and let your muscles soften up before heading out to enjoy the Ocean City nightlife. The hotel regularly features live entertainment and there is a gift shop on the premises. Those who enjoy golfing will be thrilled to learn there are seventeen courses nearby. A variety of package deals are available which include accomodations and area attractions, so check the website when making your plans to see if one of the packages suits your needs. Dining options inside the hotel include the Palm Court Atrium Cafy, which is located by the Olympic sized swimming pool. They offer a variety of light fare and cocktails. The Cafy on the Green is an outdoor cafy where you can dine surrounded by palm trees and beach waves. The cafy is open from 11 - 3:00 pm, during the peak travel months of July and August. The menu selection incudes burgers, sandwiches, and a variety of appetizers. Schooners Oceanfront Restaurant and Lounge is a casual, laid back place that serves breakfast, lunch, and dinner. They offer buffet style meals and on Wednesdays, feature 50% off their variety of Mexican dishes. Like many Ocean City restaurants, they specialize in delicious seafood entrees, and feature a large seafood buffet. Those looking to host large events will be pleased with the variety of space offered at the Princess Royal Resort. The hotel features four venues including their 5,400 square foot space, the Palmetto Ballroom. There is also a larger space which is 8,000 square feet, called Caribbean Hall, and a slightly smaller space, the Caribe Ballroom. For those looking for visual impact for their event, consider the Atrium, which is a four story glass area that offers expansive views of the Atlantic Ocean. Wedding package are available for 100 or more guests and include four hours of space, and an all-inclusive reception with DJ, cake, guest suite, and linens. Those seeking a great event space or a relaxing getaway may want to consider Ocean City's Princess Royal Resort."
"Amusement Facility in Central Maryland","Maryland","Amusement Facility in Central Maryland","Adventure Park USA is Maryland's largest family fun center. The fairly new establishment features miniature golf, a ropes course, go-kart rentals, and bumper boats. Onsite is also the Wildcat Roller Coaster. This coaster is a twisty, turning adventure that takes riders high into the air and launches them down hills. A view of the Frederick County mountains are in the background as riders descend down thrilling hills and around turns. The coaster is Adventure Park's newest addition. It is a steel track coaster and uses a figure eight design. Four passengers can ride per car, so you may be able to ride with your entire family. The Stampede Arcade offers more than 90 arcade games including classics like Skee-Ball and air hockey, as well as new games that will challenge players. Motorcross games, skiing games, and space battles are all options in the arcade. Games are played for tickets and they can be cashed in at the prize counter when you are finished. There are games available for all age groups, but visitors should keep in mind the games are not included in their play passes. For those interested in a chance to climb, jump, and play, regardless of the weather outdoors, head to the Prospector Playground Soft Play. Kids will be able to stay busy all day as they climb on nets, swing from bars, crawl through tunnels, and explore the terrain of the Wild Wild West. There is a Toddler Shack for smaller children, and parents can relax and watch their kids play in a safe, challenging play area. Children hoping to have their next birthday party at the park are in luck. There are a variety of birthday packages available and they include party rooms and invitations. Basic packages include pizza, drinks, a fun pass, two park attractions, and use of the party room for one hour. Upgraded packages can include the soft play area, birthday gifts for the host child, and party bags, ice cream, or the birthday child's name listed on the park's billboard. The park is also a great place to host a variety of other events including corporate events, bar mitvahs, and group outings. Those visiting the park have a choice of a variety of meals and snacks when it is time to eat. Pizza, ice cream, and chicken strips are just a few of the options visitors have to choose from. There are a variety of special events at the park including story time and a Friday Family special that includes discounted admission. VIP members are also entitled to special benefits. Hours of operation at Adventure World for the indoor attractions, arcade, and miniature golf are Fridays from 11 - 9:30 pm, Saturday 10 - 9:30 pm, and Sunday 11 - 7:30 pm. Outdoor attractions are open during the spring, summer, and early fall months. Their hours are Friday from 4 - 9:30 pm, Saturday from 10 - 9:30 pm, and Sunday from 11 - 7:30 pm. If you and your family are looking for a fun place the entire family can enjoy, head to Adventure Park USA in New Market."
"Annapolis Marriott Waterfront, MD","Maryland","Annapolis Marriott Waterfront, MD - Annapolis, Maryland - Unique Waterfront Hotel in Historic Downtown Offers Schooner Sails on the Bay While Going Green","Annapolis Marriott Waterfront, MD, is located on St. Mary's Street in this historic seaport on the Chesapeake Bay, 22 miles from the Baltimore-Washington International Airport (BWI). This Is the only waterfront hotel in the downtown area where colonially costumed guides tour visitors through local history. There is one suite among the 150 Guest Rooms here. The rooms have high speed internet access and high speed wireless access is available for a fee. Rooms are available with private balconies that look out onto the Bay or city view rooms. Some of the rooms come with a two person Jacuzzi bath. Room amenities here also include a complimentary daily newspaper, individual room climate control, a cotton terry cloth bathrobe, remote control satellite TV as well as a choice of hypoallergenic pillows and other luxury bedding. There is a concierge service for guests as well as valet parking for a fee. Room service is available until 11 PM. Tours of the Bay are also available for guests on the hotels own 74 ft. wooden schooner sailboat. The schooner is available for team building exercises during meetings as well as romantic cruises for wedding couples and wedding parties at the hotel. The hotel provides guests with bicycles for downtown sight seeing at no charge. There is an on site fitness center at the Annapolis Marriott Waterfront, MD. The hotel is only 15 miles from world class golfing opportunities. There is no in house spa but there are several spas nearby. The hotel restaurant, Pusser's Caribbean Grill, provides quality steaks and seafood in tropical style as its specialty. The restaurant is dockside on the waterfront. Nautical souvenirs are available from the Pusser's store that adjoins the restaurant. A variety of other dining options are found in the nearby streets outside of the hotel. Packages available from the hotel include wellness specials, in room Wii gaming, sightseeing and romantic getaway arrangements throughout the year. The Annapolis Marriott Waterfront, MD is home to 5,600 sq. ft. of flexible spaces for meetings and events. The largest space, the Chesapeake Ballroom, can hold a 300 person sit down banquet in 3,850 sq. ft. of space. A tented rooftop terrace adjoins the ballroom for open air events. Certified Marriott wedding planners are available to deal with logistics for matrimonial events. Discounts are available for wedding party guests. Breakdown rooms and other spaces are available for meetings and conferences here. There is a full business center with overnight delivery and notary services as well as special services or technicians that can be made available upon request. This hotel is seeking to reduce environmental impact by going green'' with its guests. Motion activated lights, low flow showerheads and organic cleaning materials are among the measures the hotel takes while also encouraging guests to separate waste and reuse linens and towels during their stay. There is a special parking area for hybrid vehicles at this Marriott."
