Name,State,Title,Description
"1896 House Country Inn & Motels","Massachusetts","1896 House Country Inn & Motels","The 1896 House Country Inn & Motels is located in the historic Williamstown, MA, a two star hotel within a historical and artsy type of neighbourhood. Visitors usually prefer it to others in the area because of its closeness to art galleries and varied gourmet restaurants.  The hotel has only thirty rooms and its restaurant caters exclusively to restricted types of diets. Regardless of the restrictions, the hotel staff can drum up outstanding meals. Most importantly, it also focuses its culinary attentions towards low-fat and vegetarian dishes. The hotel offers each guest free breakfasts with fully fitted rooms and free parking. It is a divine location with its own garden that is decorated with a gazebo, varied footbridges for romantic encounters, a pond and a babbling brook. Providing an enchanting environment for the dye hard romantic in everyone, the 1896 House Country Inn & Motels has set itself apart as a historic treasure. The hotel has appealing rooms, but does not allow pets. Otherwise, activities available include tennis, swimming, snowshoeing, sight-seeing, scenic driving, skiing, shopping, hunting, horse riding, hiking, golfing, fishing and bird watching. Other amenities include wedding space, a piano, conference rooms, a free to use computer and varied board games."
"7 Seas Whale Watch","Massachusetts","7 Seas Whale Watch - Gloucester, Massachusetts - Whale Watch and Sea Tour","7 Seas Whale Watch has been leading whale watching tours from Gloucester, Massachusetts for nearly thirty years. The whale watching facility is located in the historic heart of Gloucester. This town sits on the southern shore of a rocky layer called Cape Ann and is only a forty-five minutes north of the Boston area. Gloucester / Cape Ann is situated between two major whale feeding areas known as Stellwagen Bank and Jeffrey's Ledge. Both areas are home to numerous whales, dolphins and a variety of seabirds. Wildlife covers the area. 7 Seas offers a one-hour tour and a one and a half hour tour off the port of Gloucester. The tour starts at the dock in the heart of Gloucester's waterfront at Seven Seas Wharf on the banks of the Port of Ensenada. Here a 90-foot vessel U.S. Coast Guard certified privateer that was designed specifically for wide viewing is available for visitors. The Corsair has two bathrooms and clean and comfortable accommodations, a fully enclosed cabin interior, exterior wide deck, and a second level, open to a bird-eye view of the bay. There is a kitchen, with snacks and drinks is also on board for comfort and convenience. After visiting several points of interest within the port of Gloucester we head to the port of the outsider who has often been described as one of the most beautiful in the east coast. Although Gloucester Harbor is one mile long and over two miles wide in some places, their appearance, to the southwest in combination with the shape of the calm sea port and ensures a short walk even for those who are not accustomed to life at sea. From these protected waters there are many attractions to explore that are not accessible from the coast. The port has an abundance of wildlife in the inner harbor, with swans, common eiders, double-crested cormorants, gulls, Bonaparte, Herring Gull, Great Black-backed Gulls and Ring-billed gulls, being the most common birds. Seals are also very common to see watching the fishing boats and hoping to find some left by the remains of fish. Dolphins can be seen throughout the spring and early winter months. Although White-sided dolphins are found in the area throughout the year, they are much more common in winter than in summer. Therefore, spring and fall whale watchers have a better chance of seeing that the people who go whale watching in July or August. Dress appropriately, but remember that 7 Seas Whale Watch is a nature trip in the North Atlantic to see animals in the wild. In April, May and early June warm clothing is necessary. Ocean temperatures are still very cold and the sea breeze can make it uncomfortable if not dressed appropriately. Even the gloves are a good idea. The best bet is to layer up."
"A Place to Explore Science","Massachusetts","A Place to Explore Science","The Discovery Museums offer exciting, hands-on activities and programs for children of all ages. The 4 acre site is comprised of two buildings. The Children's Discovery Museum is geared towards younger children up to age six. At the Science Discovery Museum children of all ages, including adults can use their imaginations while exploring the various interactive exhibits. Visitors of all talent levels are welcome and encouraged to participate. The Museum also takes great pride in their ability to accommodate special needs children. Friendly, helpful staff members are on site in both buildings to assist the youngsters while they explore. Because of the confined space in The Children's Discovery building visitors are encouraged to leave their strollers behind. The Children's Discovery Museum is housed in an early 1900's Victorian house that features hands-on exhibits. The house is loaded with closets, corridors, and rooms ingeniously transformed into displays that attract the attention of the younger children and their families. Rooms like the Chain Reaction Room, the Ocean Space Room, the Rainbow Room, and the Train Room are designed to delight and educate the younger guests. They can splash and play in the Water Discovery Room or make their way across a jungle bridge in the Jungle Room. The exhibits are very nicely displayed and are all in great condition. Visitors will find the Children's Discovery Museum a very entertaining and enriching site to take young children to enjoy themselves and interact with others in the same age group. The Museum is small but has a great deal to offer. Children can choose to interact with other children or take a quiet break in the alcove located under the stairs. The Science Discovery Museum is aimed at school age children, with its enlightening and engaging interactive exhibits. The Inventor's Workshop is an especially popular area in The Science Discovery building where children can design and construct their own creations and gadgets utilizing recycled materials. For many this may be the first time they have gripped a hammer, or worked with wood. All projects constructed in the Inventors Workshop can be taken home. From the Light and Color Room to the Science Circus there are plenty of chances for hands-on t research with the fundamental sciences and math. Although primarily aimed at children, adults will have a great time too. The Science Branch of the Discovery Museums offers kids of all ages and abilities an abundance of choices for exploring fun, appealing exhibits. Personalized attention from responsive, experienced sciencementors makes for a great field trip. Children learn experience science in everyday life with their sense of touch, hearing and sight. Each display offers a hands-on element that welcomes the young ones to explore and apply different variables for diverse results. Above all, guests are allowed to dig deeper into their minds. Throughout both buildings the young guests are encouraged to explore ideas and develop questions. Staff members explain various scientific processes in a manner that helps create a love of science. Food or drinks are not permitted on the exhibit floor. Visitors are welcome to use picnic tables throughout our grounds during nice weather. There are no indoor eating facilities onsite. Guests and come and go as they please since admission is good all day. The Discovery Store is a great stopping point before heading home. Merchandise on sale will stimulate and entertain youngsters for hours on end."
"Allston-Brighton Neighborhood","Massachusetts","Allston-Brighton Neighborhood - Boston, Massachusetts - Historic Neighborhood Where Helen Keller Went to School","Allston is a neighborhood of Boston, Massachusetts, located in the western part of the city. The area includes land covered by postcode 02134. For the most part, Boston is administered jointly with the adjacent neighborhood of Brighton. The two are often referred to together as Allston-Brighton. Housing stock varies but largely consists of brick apartment buildings, especially on the Avenue and out of the streets directly, while areas further down Brighton Avenue near Brighton, are largely studded wooden Deckers. Lower Allston, across the Massachusetts Turnpike from the rest of Allston, consists mainly of single family and multifamily 1890-1920 Victorian homes. The neighborhood of Allston is almost completely isolated from the main body of the city of Boston in the town of Brookline. Allston is bordered by the Charles River, which separates it from the city of Cambridge to the north, and is bisected by the Massachusetts Turnpike. The area north of the turnpike near the river is often referred to as Lower Allston or North Allston. The western edge of Allston is more or less defined, but is mostly east of the western edge of Cambridge. The busiest section of the neighborhood lies immediately south of the toll road and focuses on the stretch of Harvard Avenue between Commonwealth Avenue and Cambridge Street, which houses many shops, bars and restaurants. Recent business promotion initiatives have dubbed this area Allston Village, although the prevalence of musicians and music venues, such as Harpers Ferry, has led to the popular nickname Allston Rock City. The center of the neighborhood is sometimes referred to as the Allston Shuffle. Lower Allston has been given the nickname LA; Common Ground, a club / bar near Harvard Avenue and Commonwealth Avenue, sells T-shirts and other items with the slogan This is LA, not in Boston, a play on the title of an influential collection of hardcore punk, This is Boston, not LA published in 1982. Allston lies near two major universities. A substantial part of the campus of Harvard University is in lower Allston, including Harvard Business School and Harvard Stadium. Harvard also owns large tracts of land in lower Allston other, much of which will develop as an academic campus, particularly at a site assistant at Harvard Medical School and health care related programs. Boston University is located along Commonwealth Avenue to the east. Berklee College of Music also has a practice test and the creation of near Commonwealth Avenue in Fordham Road, which lies between Commonwealth Avenue and Brighton Avenue. Public schools in Allston, are part of District School of Boston Public Schools. Gardner Pilot Academy, (also called the Thomas Gardner School), located in Athol Street, serves pre-kindergarten through fifth grade. In April 2008, a science teacher at the Gardner Pilot Academy won the Ultimate Science Classroom, a raffle prize furnished annually by the National Science Teachers Association. The school received approximately $40,000 in materials for science education and appliances. Horace Mann School for the Deaf and Hard of Hearing, located in Armington Street, is the oldest public school for the deaf in the United States. The school was attended by Helen Keller."
"Anchor In Hotel","Massachusetts","Anchor In Hotel","Anchor In Hotel is located at One South Street in Hyannis, Barnstable Town, Massachusetts and is approximately 75 miles from Logan International Airport in Boston. The hotel has 42 guest rooms including seven executive rooms named after the villages of the town of Barnstaple. Rooms feature various amenities including TV, telephone, voice mail, refrigerator, ironing facilities and a hair dryer as well as a private deck for the executive rooms.  The Sunroom overlooks Hyannis Harbor and is a good place for guests to relax as well as being the place to enjoy their complimentary continental breakfast. Guests can also enjoy breakfast in their rooms, on their private deck or by the pool. There are several other restaurants within walking distance of the hotel including Albertos and Black Cat. The outdoor pool is heated and has sun loungers around it for people to relax and soak up the sun. As part of the hotel booking, visitors can include special golf packages with many courses located in the Cape Cod area. There are numerous other activities close to the hotel including fishing trips from Hyannis Harbor. Main Street is within walking distance and has miniature golf and the JFK Museum."
"Arsenal Mall","Massachusetts","Arsenal Mall, Watertown, MA","In 1983 Watertown, Massachusetts obtained a shopping center when the United States Army relinquished the property to Simon Property Group. Simon Malls are the largest mall operators in North America, with more than 300 hundred malls in the US, Canada, and Asia. In fact Simon is well known from the East coast to the West coast. The indoor shopping mall has 65 stores, 6 anchors and 502, 000 square feet of space on two floors. Mall hours are 10am to 9pm Monday to Saturday, and Sunday noon to 6pm. During the holiday months mall hours are extended to accommodate the shoppers. The stores and mall are closed on Thanksgiving and Christmas Day. There are mall walker hours during the week, also. Santa shows up for photo opportunities during the Christmas season, and the Easter Bunny makes the rounds on Easter. Arsenal Mall has other events throughout the year such as sales events at the stores and sometimes fashion shows. Arsenal Mall had Filene's Basement as one of the original anchor stores, but they had to file for bankruptcy effectively closing the store. The name of the mall is one from history. Before the Civil War was the Watertown Arsenal. The site used for the Arsenal Marketplace is the same. The other anchor stores in 1983 were Marshalls and Ann and Hope. Home Depot and Linens `n Things replaced these two places, but now Linens `n Things is closed. Shoppers have plenty of stores to enjoy at Arsenal Mall. Stores include Yankee Candle, Wireless Zone, Wireless Link, Wet Seal, Watch Imports, Vitamin World, Victoria's Secret, Trade Secret, T Mobile, Ticketmaster, Things Remembered, Tello's, Stride Rite, Silver City, Silver and Gold Connection, and red Persimmon Nail Salon. Radio Shack, Olympia Sports, Old Navy, Marshalls, Kim's Hallmark, Kay Jewelers, Home Depot, Healthcare Massage, Gymboree, GNC, Gap, and Game Stop are a few of the other retail stores. With many clothing, accessories, shoes, and other stores shoppers have plenty of entertainment. Forever 21, Foot Locker, Famous Footwear, Express, Claire's, Celia's World, Bath and Body Works, Ann Taylor, Almoda, Aldo, and Aeropostale are also at Arsenal Mall. A mall is never complete without food. A couple of options for eating are Bourbon Street Cajun, Bugaboo Creek Steak, Burger King, Coffee Traders, Dunkin' Donuts, Master Wok, Regina Pizzeria, and Trini's Mexican Restaurant. Guests to Watertown will discover hotels are very close to the mall. Anything a guest has forgotten or may need to pick up can be found at the mall, which is within a short drive from numerous hotels. These hotels include Super 8 Motel, Days Hotel, Crowne Plaza, Hotel Tria, Harvard Square, and The Charles Hotel. Guest services are very helpful for shoppers. Guests are able to fax, make copies, get a cab, find lost items, and even get their purchases gift wrapped. There is a shuttle bus to service the mall, as well as wheel chairs, gift cards and more available for shoppers at Arsenal Mall. The mall is handily located in Watertown for residents."
"Assembly Square Marketplace","Massachusetts","Assembly Square Marketplace, Somerville, MA","Assembly Square Mall in Somerville, Massachusetts was placed on the dead mall listing in 2001. In 2005 the original mall structure was demolished and it seemed the end for the Assembly Square Mall. However, it was able to rally, and as of 2006 it has been reopened as Assembly Square Marketplace. Assembly Square Mall was demolished in 2005, but it actually took seven years from when the mall became mostly dead for it to be revamped. Up until 1997 the mall was fairly successful then a few new buildings seemed to kill it. After a long political debate it was decided new structures would be put in the old malls place. Eventually all the buildings were complete in 2006 and it was finally reopened. To start off the Assembly Square Mall was originally built in 1981 at the former Ford Motors Assembly Plant, hence the assembly'' in the mall name. The plant sat on the banks of the Mystic River. First National Supermarkets which became Stop and Shop moved into the mall, Jordan Mash was at the north end of the mall, and a Kmart Store anchored the south section. All told the mall was 340,000 square feet with a food court in the center. The food center did not open until the 90's. Also during the past decade Home Depot and Circuit City were added to the mall. They were satellite properties as an extension of the mall. Macy's took over Jordan Marsh in 1996, helping to bring their chain to the mall. Macy's and Kmart were not great stores to have near each other, with Macy's being a more expensive store and Kmart the most inexpensive. Still, Macy's felt the store was worth keeping open after the acquisition. This did not last long. By 1999 much of the mall was closing and it was definitely not keeping up. Gap, CVS and other popular store chains left and in its place were 19 junk'' stores. Six months after most of the stores left, Kmart decided to remodel their store in the hopes that it would help. During 2004 the mall was mostly empty, and then in 2005 the buildings were torn down, except for Kmart. About February 2005 building began on new buildings. The Assembly Square Marketplace that exists now is a stripe style mall rather than the larger one building mall with indoor retail places it used to be. The mall is set up with streets, outdoor store fronts, and blocks of buildings. The store area that was Macy's is now a Christmas Tree Shop and Staples. AC Moore, The Sports Authority, Bed Bath and Beyond, and TJ Maxx are all a part of the New Marketplace Mall. As with many strip malls the stores tend to open at 10 am daily and later on Sunday. The mall does have a few restaurant style places to eat, rather than a food court. There are also options for outdoor seating, and the mall may have more stores in the future now that it has been re-established."
"Atwood's Tavern","Massachusetts","Atwood's Tavern - Boston, Massachusetts - Lively Sports Bar in the Heart of Cambridge","Atwood's Tavern is a popular bar in the Cambridge area of Massachusetts that offers greasy food and lots of entertainment. Atwood's Tavern is located at 877 Cambridge Street in Cambridge. This low-key hangout serves up American comfort food and a great selection of local and regional microbrews on tap, such as Ipswich Irish Oatmeal Stout and Brooklyn Lager. Catch blues, roots and rock bands on stage on the weekends; trivia is W at 7:30 p.m. Open M-F 2 p.m.-1 a.m., Sa-Su 11:30-1 a.m. Driving directions consist of the following. From southern Boston take I93 North to exit 26 along Storrow Drive and follow the signs to Cambridge (stay in the left lane off the exit). Go through the lights heading north on Msrgr. O'Brien Highway, passing the Museum of Science on your left. Pass through two more sets of lights, then bear left at the third set onto Cambridge St. Lechemere T Station will be on your right. Continue straight down Cambridge St. Atwood's Tavern is roughly .75 miles from Lechemere Stationon the right, across from the King Open School. From the North - Take I93 South to the Leverett Connector and follow the signs towards Cambridge. Go through the lights heading north on Msrgr. O'Brien Highway, passing the Museum of Science on your left. Pass through two more sets of lights, and then bear left at the third set onto Cambridge St. Lechemere T Station will be on your right. Continue straight down Cambridge St. Atwoods Tavern is roughly .75 miles from Lechemere Stationon the right, across from the King Open School. A full service beer and wine list is available at this tavern along with appetizers and meals. Examples of the food list are Vermont Cheddar Cheese and BBQ Free Range Chicken. The bar is known as having some of the best appetizers in the area. The tavern is popular among college students for the wide variety of entertainment along with local residents and tourists. There is something for everyone at that tavern. Sporting events draw a large and lively crowd where visitors can sit for hours ordering appetizers and watch the games. During soccer games, the crowd can get exceptionally lively. Other than the tavern, the neighborhood feel is peaceful and quiet. Local residents claim that this tavern is the best sports bar in all of Boston.  There are a wide range of televisions that give patrons their own view from just about every location in the tavern. On the weekends there are local bands and larger named groups that perform at the Tavern. The entertainment is lively and draws crowds from all over Boston and outlying areas. From blues and jazz to comedy, this place brings in a wide variety of entertainers to choose from."
"Auburn Mall","Massachusetts","Auburn Mall, Auburn, MA","The Auburn Mall is a typical enclosed shopping mall in Auburn, Massachusetts. The mall is currently owned and run by Simon Property Group. Simon Malls is one of the largest North American chains. They have malls in almost every state, a few in Canada, and a couple in Europe and Asia. This Simon Mall was opened in 1971, but has since seen renovation to help keep it modern. The store was first anchored by Denholm and Sears. Denholm became Forbes and Wallace, later it became The Outlet. The Outlet is a Providence, Rhode Island department store. In the 80's The Outlet closed and became Caldor. Filene's was a third anchor by 1997, however Caldor closed and Filene's became a home store. Eventually, the anchor store was turned into Macy's. In 2007 the mall reached 75 stores including the food court and kiosks. Currently it only has Macy's and Sears as the anchor stores. Mall hours are 10am to 9pm Monday through Saturday, Sunday 12pm to 6pm. However, during the holiday season mall hours will vary. Often the mall is open for longer periods of time on days like Black Friday. They are closed on Thanksgiving and Christmas. At Christmas time Santa is available for photographs and Christmas wishes. There is also a Breakfast with Santa at this mall. Simon has a Kidgets Club Member option for children to be more involved in sales and happenings at Auburn Mall. Stores such as Aeropostale, Aldo Shoes, Amcomm Wireless, American Eagle Outfitters, Amy's Hallmark, AT&T Wireless, and Bath and Body Works are at the Auburn mall. Other stores include Charlotte Russe, Christopher and Banks, Claire's Boutique, Day by Day Calendars, Dollar N Things, Express, Famous Footwear, Foot Locker, Gamestop, GNC, and Goldstein, Swank, and Gordon. Auburn Mall provides children's clothing, accessories, women's clothing, men's clothing, shoes, and much more. Stores such as Gordon's Jewelers, Instant Jewelry Repair, Hannoush Jewelers, and Kay Jewelers present many choices in gold and silver jewelry. For food there is the food court and specialty shops like Auntie Anne's Pretzels, Lindt Chocolate, and Rocky Mountain Chocolate Factory. Orange Julius, Pizzeria Regina, TBCY, Asian cuisine, and others are at the mall. The mall is located well in Massachusetts. A number of chain restaurants like Olive Garden, Red Lobster, and others are typically found near Simon Malls, and there are definitely plenty of sit down restaurant options around Auburn Mall. Also for any visitor traveling to Auburn the mall is near hotels. La Quinta, Holiday Inn Express, Fairfield Inn, Hampton Inn, Hilton Garden Inn, Crowne Plaza, and Courtyard by Marriott are just a few of the hotels nearby Auburn Mall. Guest services such as parking, stamp vendors, gift wrapping, lost and found, and much more are at the mall. Shoppers can be assisted by the staff working at the mall. Parents are able to rent strollers and the mall is opened in the mornings Monday through Saturday for Mall Walkers. Though there are only two anchor stores the mall has a nice variety of places to shop."
"Back Bay Neighborhood","Massachusetts","Back Bay Neighborhood - Boston, Massachusetts - Bay with one of the Best Shopping Malls in the Area","The neighborhood got its name because the area was once a wide release in the 19th century, literally the Back Bay in Boston. To the west of the Shawmut Peninsula, across the bay from Boston, a wide bay opened between Boston and Cambridge, with the Charles River to enter at the west. As with the entire New England coast, the bay was tidal, with water rising and falling several feet throughout the day. Culturally speaking, the Back Bay is known for being the home of the rich and upper middle class. It is best known for its expensive housing and shopping areas. Most stores are located in Newbury and Boylston Street, with the ends closer to the Boston Public Garden traditionally more expensive. Back Bay is full of luxury hotels including the Copley Plaza hotel, the Colonnade Hotel, The Westin Copley Place, Fairmont Copley Plaza, and the largest hotel in the city, the Boston Marriott Copley Place. The Mandarin Oriental, Boston, opened its doors in October 2008 with a house in the arcade area, and a number of luxury designer boutiques and restaurants. The Copley Square area is near the railway terminal of Back Bay, and is the link between the east of a system of hotels and shopping malls connected by a set of glass pedestrian overpasses. Copley Place Mall great includes the first Neiman Marcus opened in the New England area. The system of overpasses extends over half a mile from the Prudential Center and the shops that surround it. The 52-story Prudential Tower, thought a marvel in 1964, is considered by some ugly. However, the Prudential Skywalk observatory offers wonderful views of Back Bay, Boston and its environs. The John Hancock Tower which raises 60 floors and is the tallest building in Boston is a few blocks away. She recently completed nearby skyscrapers are 111 Huntington Ave (36 floors, completed in 2002) and Clarendon (32 floors, completed in 2009). The residential streets of Back Bay are some of the best preserved examples of 19th century urban architecture in the U.S. Copley Square, surrounded by Clarendon, Boylston, Dartmouth, and St. James streets, includes Trinity Church, Boston Public Library, the John Hancock Tower, and other fine examples of architecture. The Back Bay Historic District was included on the National Register of Historic Places on 14 August 1973. The Prudential Center has awarded the Urban Land Institute Award for Best Mixed-use goods in 2006. The monumental building, for the first time in the square was the Museum of Fine Arts building. Initiated in 1870 and opened in 1876, with much of its collection taken from the Ateneo Art Gallery in Boston. The construction of Gothic Revival red was demolished and rebuilt as the Copley Plaza Hotel still exists today. If you are looking for fine shopping and upper scale dining venues this neighborhood has a lot to offer."
