Name,State,Title,Description
"American Museum of Magic","Michigan","American Museum of Magic - Marshall, MI - museum celebrating the history of magic as entertainment","Robert Lund, who was born in Saginaw, Michigan in 1925, spent his lifetime collecting and preserving magic memorabilia. Today, his collection is housed in the American Museum of Magic, the largest privately owned museum of its kind. Located half way between Chicago and Detroit in Marshall, Michigan, the American Museum of Magic plays host to thousands of visitors every year. Unlike other museums, the American Museum of Magic is devoted to the entertainment side of magic, not the occult or religious magic. Nearly one million items, some hundreds of year old, call this museum home, and although preference is to American magicians, the collection includes artifacts and information on magic from around the world. Some of the items visitors can find here include artwork, costumes, props, letters, and personal items belonging to some of the world's most famous magicians. The American Museum of Magic is home to a library of over 15,000 books and periodicals relating to magic. Along with biographies and writings of some well-known names in the world of magic, the museum also has an archive filled with information on little-known magicians. In additions, visitors can find thousands of books explaining how to perform magic tricks. Near the library is the Irving Desfor collection, which includes over 20,000 photographs dating back to the 16th century as well as including modern magic photography. One of the most popular exhibits in the American Museum of Magic celebrates the life of Harry Houdini, arguably the world's most famous magician of all. The museum houses the original Milk Can and Overboard Box equipment, used for some of this magician's most popular tricks. Other popular exhibits include Harry Blackston's Jam Illusions box, stage outfits worn by Milky the Clown and Senor Rey, one of Jay Marshall's ventriloquist dummies, and a French scroll that once belongs to Jean-Eugene Robert-Houdin. Lund also collected items from lesser-known magicians and rare magic-related memorabilia, such as original Mandrake comics, posters and banners for strangely-named performers, and a Marshall Brodini magic set, one of only 500 ever made. The American Museum of Magic was first open to the public in the 1970s, when Lund and his wife, Elaine, moved to Marshall and bought a three-story building to house the collection. In 1999, Elaine expanded the museum's space to display even more items in what was once the town's old library. Even with this additional room, there are still thousands of items in storage waiting to be displayed. Lund passed away in 1995, and his wife established a board of directors and a volunteer staff to help her keep the museum running. She passed away in 2006, and today, the museum is a 501(c)(3) non-profit organization fully run by the board. They are open only by appointment, and tourists can call 269-781-7570 to set a time to see the collection for a minimal fee of $5 for adults and $3.50 for children. They also have group rates available. Marshall is located near Colon, Michigan, which has been christened the Magic Capital of the World,'' as the home of Abbott's Magic Company and the an annual magic festival."
"Amway Grand Plaza Hotel","Michigan","Amway Grand Plaza Hotel","The Amway Grand Plaza Hotel offers 682 guest rooms in Grand Rapids, Michigan. These guest rooms are generous with amenities including double or single beds, iron, ironing boards, toiletries, and private bathrooms. The hotel is designed with early 20th century décor. Room choices include classic guest rooms, superior, concierge, junior suites, plaza suites, tower suites, and grand luxury suites. The entire hotel is 29 stories with the tower luxury suites at the very top.  Room amenities also include the grand bed with pillow top mattress and down pillows. The rooms have high speed wireless internet along with two phones with voicemail. The televisions are 42 inch high definition. All rooms have a working space for business travelers. The hotel has a spa and pool. Dining options include Cygnus 27, GP Sports Bar, Starbucks, Bentham's, and Cornucopia. Cornucopia offers fresh muffins and bagels, lunchtime snacks such as soups, salads, deli sandwiches, and rotisserie chicken. Bentham's is more of a family restaurant. Starbucks offers drinks such as coffee and teas along with sandwiches. Cygnus 27 is an American style restaurant open for Sunday brunch October thru May. The sports bar offers pool tables and televisions along with drinks."
"Anna Scripps Whitcomb Conservatory","Michigan","Anna Scripps Whitcomb Conservatory - Detroit, Michigan - 13-acre garden with greenhouse on Belle Isle","The Anna Scripps Whitcomb Conservatory is a 13-acre botanical garden with greenhouse located on Belle Isle in downtown Detroit, Michigan. Built in 1904, it is the oldest conservatory in the country. Designed by Albert Kahn, a well-known architect, the original conservatory was rebuilt between 1952 to 1954. At that point the building, which had been made of wood, was given a new skeleton of steel and other metal. In 1953, the Conservatory was renamed for Anna Scripps Whitcomb, a Detroit native who bequeathed her collection of 600 orchid plants to the city. With Whitcomb's gift and other generous donations, the Anna Cripps Whitcomb Conservatory now houses one of the largest and most varied collections of orchids in the United States. In fact, the reputation of the Whitcomb Conservatory was so well-known that during World War II, rare orchid specimens that were rescued from the bombing in Great Britain were taken to the conservatory for preservation. The greenhouse that houses the orchid collection, which is owned by the city of Detroit, is set in a 13-acre botanical garden. The conservatory takes up more than an acre of the gardens, and includes two wings and a separate house. One wing houses tropical plants like bananas, coffee, orchids, and oranges. The opposite wing houses an extensive collection of desert plants, including cacti, succulents and ferns. The central dome, which is 85 feet high, contains a show house which features a display of flowering plants. In addition to the conservatory itself, the grounds include formal gardens of perennials, a lily pond garden and a formal rose garden. The gardens and grounds are a popular venue for weddings and events, and attracts professional and amateur photographers from around the area. While the Anna Scripps Whitcomb Conservatory is owned and operated by the city of Detroit, the Belle Isle Botanical Society is one of its strongest supporters. Founded in 1988, the BIBS is dedicated to preserving and providing ongoing maintenance and renovation at the Conservatory. It works with the city to raise funds and make necessary renovations and repairs. Since 2005, BIBS has managed to raise the money needed to replace or repair all the glass in the conservatory and the greenhouse. Belle Isle Park, home to the Conservatory, is the largest island park in the country, and is larger than Central Park. It is located in the middle of the Detroit River, and connected to the city by MacArthur Bridge. In addition to the Anna Scripps Whitcomb Conservatory, Belle Isle is also home to the Detroit Yacht Club, a Nature Center, the Detroit Boat Club, a swimming beach, the Dossin Great Lakes Museum and a municipal golf course. The park was designed and landscaped in the 1880s by renowned park architect Frederick Law Olmsted, who also designed the Arnold Arboretum, Central Park and the grounds of the United States Capital. The Conservatory is open 10:00 AM to 5:00 PM daily, including holidays, and admission is free. For information on hours, admission or to book events at the Conservatory, contact the Conservatory directly at (313) 628-2081, or via TTY at (313) 224-4636."
"Arcadia Bluffs Golf Club","Michigan","Arcadia Bluffs Golf Club, Arcadia, Michigan - One of the Most Visually Appealing Golf Destinations in the Country","Arcadia Bluffs Golf Club opened in 1999 as a daily-fee course and, despite its location off the beaten path in Northern Michigan, it has received raves as one of the most visually appealing golf courses in the country - perhaps even the world. The links-style course is carved out of 245 acres of windswept land atop the bluffs overlooking Lake Michigan. From its highest point, the course drops 225 feet, and also features 3,100 feet of shore frontage along the lake. It's been argued that Arcadia Bluffs is not a true links-style course, but more of a seaside links course that features rolling terrain and windswept fescue grasses. Designed by the team of Warren Henderson and Rick Smith, the course is said to evoke memories of courses such as Lahinch and Ballybunion, while contributing some breathtaking views. The par-72/73, 18-hole course plays to 7,300 yards from the championship tees, and a more manageable 6,702 from the Black tees, with a USGA rating of 72.8 and a slope rating of 147. The course features some of the widest fairways golfers will ever find on a challenging course, along with 120 total bunkers, including 50 sod-walled bunkers, lots of native grasses, and large greens that average 8,000 square feet. The real challenge of this course tends to show up from 50 yards on in, with greens that are very undulating and sod-wall bunkers that can be so deep that they make the famous road hole'' bunker in Scotland look tame by comparison. In addition, the terrain is not flat and it's often a challenge to find a level lie. And there are also the wind off Lake Michigan to contend with, which, depending on which way it's blowing, can make club selection another challenge. Like some of the European links courses, which have been described at times as quirky,'' Arcadia Bluffs follows a similar non-traditional routing on the front nine. The course begins with a par-5 hole that plays to 519 yards from the longest tees, and ends with a lengthy par-3 of 203 yards from the Championship tees and 176 yards from the Blacks. The par-5 11th hole is particularly scenic and challenging. The hole plays downhill but to a hefty 633 yards from the back tees, and a respectable 594 from the Blacks. The fairway narrows dramatically once past the landing area, and golfers will often have to contend with an incoming wind as the hole plays directly down toward the water. Another noteworthy hole, and one of the most difficult par-3s on the course is the 13th. The hole plays dramatically downhill and has a forced carry over rugged rough to a green set against the backdrop of Lake Michigan. The winds and the perception that this hole is longer than it looks will have many tees shots finding either the deep bunker in front or the dramatic slopes to the left. GPS-equipped golf carts are available, as well as a caddy program, to assist golfers with distance and club selection. The course has received some prestigious awards, including being ranked #10 by Golf Digest among the Top 100 Public Courses, 2009-2010, and a #7 ranking in 2008 from Golf World Magazine among the Top 50 Public Courses. Practice facilities include a full range and separate short-game facility. There's also a Nantucket, coastal estate-style clubhouse with breathtaking views of the course and Lake Michigan, as well as a Golf Shop and the Restaurant at Arcadia Bluffs for full-service dining."
"Arch Rock, Mackinac Island, Michigan, a Natural Limestone Formation and Source of Myth Overlooking the Straits of Mackinac","Michigan","Arch Rock, Mackinac Island, Michigan, a Natural Limestone Formation and Source of Myth Overlooking the Straits of Mackinac","Arch Rock is a natural limestone formation on the shoreline of Lake Huron that stands 146 above the water. The arch is believed to have formed during the Nipissing post-glacial period, when water levels in Lake Huron were high following the end of the glaciation in Wisconsin. The limestone breccia formation is quite rare in the Great Lakes region, although it is one of several such formations on Mackinac Island that include Sugar Loaf and Skull Cave. To the Native American Ottawa people, the rock is a source of legend and superstition, due in part because the rock appears from certain angles to be suspended in the air. One such legend attempts to explain the rock's mythical nature via an angry Master of Life. As the story goes, an Ottawa chieftain committed an act so shameful that the Master of Life was deeply offended by it. As the Ottawa people stood gazing at the sun one day, it changed to the color of blood and then plummeted from the sky. When the sun reached the earth, it crashed into the eastern shore of Mackinac Island with a terrifying sound. Once the frightened people dared to look upon the sight, it appeared as though the sun had hollowed out some of the rocks so as to form an arch, suspended above the lake. That may be why the arch is believed to be a bridge over which departed souls pass on the way to their final resting place. Even today, the bravest of the Ottawa people will not walk over it or even dare come near it. Early Euro-American settlers did not share in such superstitious beliefs, but did treat the arch as something to be admired. Its presence was a key factor in the decision to create the Mackinac Island National Park in 1875, and its successor, Mackinac Island State Park, twenty years later. Arch Rock has been a focus of Mackinac Island tourism ever since. The Arch is reachable by taking Arch Rock Road, a dedicated road that leads from Fort Mackinac to the eastern shore of the island where the rock formation is found. The rock faces eastward overlooking the Straits of Mackinac, providing for some beautiful photo opportunities. For those desiring to get closer to the rock formation, a wooden stairway was built from the Lakeshore Road leading to the rock formation. And there are also a number of more rural trails that make their way across the island to Arch Rock."
"Bay Harbor Golf Club, The Links/Quarry Course, Bay Harbor, Michigan ? The ``King of Northern Michigan Golf,'' According to Golf Digest; The ``Pebble Beach of the Midwest'' According to GOLF Magazine","Michigan","Bay Harbor Golf Club, The Links/Quarry Course, Bay Harbor, Michigan ? The ``King of Northern Michigan Golf,'' According to Golf Digest; The ``Pebble Beach of the Midwest'' According to GOLF Magazine","The semi-private Bay Harbor Golf Club opened in 1998 and quickly moved to the top of the rankings for Michigan and national golf destinations. Built on the site of a former limestone quarry and cement factory along the shores of Lake Michigan and Little Traverse Bay, Bay Harbor is considered the crown jewel of Boyne USA's 172-hole golf empire. The Bay Harbor Golf Club consists of three, nine-hole courses, with The Links and The Quarry considered the most picturesque of the Arthur Hills designs. The Links Course plays to 3,432 yards, is more wide open,'' and never strays far from the shorelines of Lake Michigan and Little Traverse Bay. The layout is fashioned after the windswept shorelines typical of Scottish links-style golf courses, while providing golfers with some scenic views they'll never forget. The bunkers are not pot bunkers, per se, but the sand traps can still be deep and penalizing, while huge fairways are bordered by the customary entangling heather/gorse grasses. The Quarry Course is considered the most challenging of the three nines, and it was the site of the Shell's Wonderful World of Golf special challenge between Phil Mickelson and Tom Lehman. The course is cut from a former quarry and is said to be one of the unique and visually spectacular stages for golf you'll find anywhere.'' The course plays to 3,348 yards, with features such as 40-foot rock walls juxtaposed against lush, green fairways. It's been said that golfers must be wary of losing a ball at any turn, with eight tee shots and six of the nine approach shots requiring forced carries. One of the more noteworthy holes on The Links Course is hole No. 7, which has been described as the closest thing to Pebble Beach this side of the Rocky Mountains.'' This hole is situated on cliffs 150 feet above the waters of Lake Michigan, and the fairway winds back and forth until reaching a two-tiered green set against the cliffs. On The Quarry Course, every hole has been described as unique. But the finishing three holes all play toward the water and are some of the most scenic on the course. No. 7 features a forced carry off the tee to a fairway with a bunker at its center. No. 8 plays 172 yards downhill to a peninsula green bordered by Lake Michigan. And hole No. 9 runs along the cliffs above the water, with a fairway that drops 30-40 feet for a dramatic conclusion to the round. Since opening, the Bay Harbor Golf Club has received many accolades, including being ranked #8 among the Top 100 Courses in America'' by GOLF Magazine, and receiving a 5-Star rating from Golf Digest. It has also been called the King of Northern Michigan Golf,'' and The Pebble Beach of the Midwest'' by those same publications. Practice facilities include a driving range with several rows of hitting stations, along with several practice greens. A spacious clubhouse is home to a Pro Shop, along with dining options, such as Arthur's 27 for elegant dining, and the Links Grille for casual pub fare. The Preserve Room is also available for private dining."
"Bayshore Resort","Michigan","Bayshore Resort","The Bayshore Resort is a Victorian Style hotel located on the beach at Traverse Bay and is only a short walk to downtown Traverse City. There is a range of room types available along with many other special amenities to ensure that guests have a comfortable and relaxing stay.   Guest rooms at the resort include Bay front Rooms, Spa Rooms all which feature amazing views of the Bay. There are also standard rooms all of which are clean and comfortable; these rooms do not have Bay views. Each guest room features full cable television and the suites feature a 2 person spa, fireplace, wet bar and a refrigerator. Suites at the resort also feature a king bed and TV in the bedroom and a queen sleeper sofa in the sitting room. The resort offers guests a range of services and amenities to ensure guest comfort whilst staying at the resort. These include a complimentary daily breakfast for each guest and to keep in touch online, free high speed internet in each guest room. Guests can also take advantage of the indoor pool and whirlpool, fitness center that features state of the art equipment and a game room. Guests who chose to stay at the Bayshore Resort will be treated by professional staffs who aim to ensure that each guest enjoys and has a relaxing stay at the resort. Guests will be able to take advantage of the central location and enjoy all that Traverse City has to offer."
"Belle Isle","Michigan","Belle Isle - Detroit, Michigan - island park and tourist attraction","Belle Isle is an island park in Detroit, Michigan. At just under 1,000 acres, it is the largest park in the country to cover a complete island, and this island is the third largest island in the Detroit River. The 2.42 square mile island is home to a number of recreational spots managed by the Detroit Recreation Department, including the Anna Scripps Whitcomb Conservatory and a small golf course. Belle Isle was originally colonized by French settlers in the 1700s and was at one point a private estate. Once known as Hog Island, the island got its current name in 1845. In the 1880s, at the height of the movement to beautify urban landscapes with formally planned parks, Belle Isle was landscaped by Frederick Law Olmsted. Olmsted, a well-known urban landscaper, was also the designer of Central Park and the Arnold Arboretum in Boston. Between the time that the island was landscaped and the mid-1900s, a number of buildings and structures were added to the island. In 1887, architects John Donaldson and Henry Meier designed and built a Queen Anne style casino building on the west end of the island. When the casino was destroyed by fire, the city chose Albert Kahn to design its replacement. The Renaissance style brick and terra cotta building was built in 1908, and is still used for weddings and events today. Kahn also designed and built the Anna Scripps Whitcomb Conservatory, the oldest public conservatory in the country. For years, Belle Isle was home to a herd of fallow deer, a children's zoo and an aquarium, but the city closed the animal facilities due to budget problems. The island still offers many recreational opportunities. Belle Isle is connected to the city of Detroit by the MacArthur Bridge. It is home to a number of leisure and entertainment amenities. They include the Detroit Botanical Gardens and the Anna Scripps Whitcomb Conservatory, which houses one of the country's most extensive collections of orchids. In addition, it is home to the a yacht club, a boat club, a municipal golf course, a Coast Guard post, and the Dossin Great Lakes Museum. There is a half-mile long swimming beach, and a Nature Center, as well as several miles of hiking trails, including wheelchair accessible hiking trails. Visitors to the island can also take advantage of picnic tables, a playground, baseball fields, basketball courts and tennis courts. Finally, the island is the site of a street race circuit that hosts races in the IndyCar Series and the ALMS. The James Scott Fountain located on Belle Isle was designed by New York architect Cass Gilbert. The fountain was built in 1925 with a special bequest from infamous gambler, James Scott, who left $500,000 to the city with instructions to use the money to build a fountain on Belle Isle. There was only one condition - that a life-size statue of the donor be built beside the new fountain. The statue of James Scott sits in a chair facing beside the fountain, looking out toward the city. Belle Isle Park is open daily from 10:00 AM to 5:00 PM. Admission is free."
"Birchwood Mall","Michigan","Birchwood Mall, Port Huron, MI","Birchwood Mall in Port Huron, Michigan is one of the many malls located in the state. This mall is run by GGP or General Growth Properties. GGP was created in 1954 as a mall, shopping center, and outlet mall real estate company. In 2009 GGP filed for a real estate bankruptcy, though this has had little effect on the mall remaining open. They still have 158 properties and are head quartered in Chicago, Illinois. Birchwood is a relatively young mall by mall standards, opening in 1990. The mall can house up to 107 stores and services, along with five anchors. Retail space is 790,000 square feet on one floor. The anchor stores include JC Penney, Macy's, Sears, Younkers, and Target. Birchwood Mall has a movie theater and food court for their visitors. When Birchwood Mall first opened a Wisconsin store chain by the name of Prange's was one of the anchor stores. However, this store became Younkers in 1992. Hudson's, Old Navy, and Dunham's Sports were also located in the mall during the 1990's. In 2001 Hudson's changed to Marshall Field's before becoming Macy's in 2006. Old Navy closed in 2007. The mall has been an attraction for Canadian shoppers as well as Michigan visitors. The Canadian shoppers come through Sarnia Ontario via the Blue Water Bridge. Mall hours are Monday through Saturday from 10am to 9pm, and Sunday 12pm to 6pm. Mall hours can change for holidays like Christmas or Thanksgiving when the mall is closed. The department stores also have the option of opening earlier for sales events. Sale events and other attractions can be found at the mall throughout the year. Mall walkers are also allowed in the mall in the mornings. The food court mentioned above has plenty of different restaurants, as well as an antique carousel in the court. The carousel still runs allowing children to be entertained. The restaurants in Birchwood Mall include Auntie Anne's, Burger King, Chuck E. Cheese's, Flaming Wok, Frullati Cafe and Bakery, Gardfield's Restaurant and Pub, Japoni Grill, Ruby Tuesday's, Sbarro's, Taco Bell and Yogurt and More. Stores located at the mall include Bling, Bling, and Things, Claire's, Lids, Victoria's Secret, 2000 Nails, Bath and Body Works, MasterCuts, Regis Hairstylists, Trade Secret, and Hallmark. Additionally the mall contains International Gifts, Spencer Gifts, Things Remembered, Pier 1 Imports, Fred Meyers Jewelers, JB Robinson, Kay, Lawrence, and Piercing Pagoda. Some of the stores located at Birchwood Mall are out parcel, meaning they are within reach of the mall, but not inside of it. Apparel can be found at Gymboree and Justice for children. Men's stores are Aeropostale, American Eagle, Hollister, Hot Topic, Buckle, Maurices, Campus Den, Mr. Sam Menswear, and Pacific Sunwear. Many of the men's stores also sell women's clothing. A few stores that are strictly women include Bon Worth, Lane Bryant, Christopher and Banks, Motherhood Maternity, CJ Banks, Deb, and Vanity. Shoes, specialty shops, electronics, and games can also be found at Birchwood Mall. There are plenty of choices like Finish Line, Footlocker, and others for any shopper."
"Black Lake Golf Course","Michigan","Black Lake Golf Course, Onaway, Michigan - a Rees Jones-Designed Golf Course in Northern Michigan Ranked Among the Best Public Courses in the Country","Black Lake Golf Club is a Rees Jones design, and the latest addition to the UAW Walter and May Reuther Family Education Center located in Northern Michigan. The course is situated in heavily wooded lands on the southeast side of Black Lake, which is one of the largest inland lakes in the state. The course was designed by Rees Jones, who had never before worked in the hotbed of golf that is Northern Michigan. The result is a natural, 300-acre layout with a classic, old-style design that has become a trademark for Jones. One of the most distinctive features of the course is its approachable greens. All of them have been designed with ramps'' in the front so that short shots and bump-and-run approaches can all reach the putting surface, so long as they avoid the plentiful bunkers. Most of the greens themselves are designed with two tiers (or more), but the undulations are rather understated. The rest of the course makes use of the natural contours of the land, which Jones described this way: We were trying to build an old style, classic course. You'll notice we don't have mounds or moguls. We just have sweeps and natural grade. We strive for holes blending with the natural terrain. There is nothing artificial or contrived at Black Lake. The 18-hole, par-72 course plays to 7,030 yards from the tips, with a USGA rating of 74.3 and a slope rating of 140 on Pennlinks and Providence fairways and Providence greens, making it a challenge for even the best golfers from that length. When advising first-time players, local management offered three tips: one, be long and straight off the tee, otherwise errant shots will be lost in the woods; two, iron shots can be a bit loose, since the greens are so approachable; and three, don't over-read the greens as long as putts are on the correct tier. Some of the most noteworthy holes on the course include No. 6, which is one of the signature holes. This par-5 plays to 515 yards from the longest tees and is a great risk/reward hole. The hole plays from an elevated tee to a wide fairway and, for players who've hit a good drive, can be reached in two. The green is guarded by water on the front, left and back, however, so it requires an accurate approach shot. Since opening in 2000, Black Lake has received much acclaim, including being ranked #34 among America's Top 100 Public Courses by Golf Digest. Practice facilities at Black Lake are said to be unrivaled'' and include a 350-yard grass driving range, as well as four chipping and putting greens and four practice bunkers. The course also features a clubhouse with locker rooms, lounge and dining room. The Education Center also features other recreational facilities, such as a gym with two full-sized basketball courts, an Olympic-size indoor pool, an exercise and weight room, table tennis and pool tables, sauna, walking and biking trails, softball and soccer fields, and beaches and a boat launch ramp."
