Name,State,Title,Description
"A Historic Building Available for Touring and Events","Minnesota","A Historic Building Available for Touring and Events","The Glensheen mansion in Duluth, Minnesota is a great way to enjoy the grandeur of a mansion and learn about local history. The mansion is part of a Duluth businessman's family legacy, and showcases a variety of interior styles. Inside, visitors are able to be awed at the beauty and warmed by the feeling of family and home. The Glensheen, home of the Congdon family, is located along the shores of Lake Superior. It is situated on 7.6-acres of wooded land, and the mansion contains 39 rooms. The mansion is designed in Jacobean Revival, and it is considered one of Minnesota's premier historic house museums. The inside of the mansion is filled with the original furnishings that have been in the home since 1908 when the estate was completed. The surrounding gardens are also based on the original design. The mansion offers an intimate view of how the affluent Congdon family lived their everyday life. It is listed on the National Register of Historic Places and is a Partner Place of the National Trust for Historic Preservation. It welcomes visitors from all over who appreciate the grandeur and history of the location. The mansion was built for Chester and Clara Congdon and took three years to complete. The Congdon's met at Syracuse University, graduating in 1875. The mansion cost just over $850,000 to complete. It has 16 inch thick ceilings that contain large hollow tiles that are made from fire retardant materials. There was a private reservoir that served the property and provided enough pressure to propel water 75-feet in the air. The home is 27,000 square feet. There are two tour options available for visitors to Glensheen. The stand tour lasts for one hour and offers a guided look into how the Congdon family lived and worked. The tour includes family stories and brings the mansion to life. The tour includes the first floor, the basement, and the second floor, as well as the carriage hour and gardens, which are not part of the guided tour. An expanded guided tour is also available and lasts for an hour and a half. This includes all of the features of the standard tour but also includes the third floor. Here, guests are able to view a collection of some of the most beautiful and well-known Arts & Crafts interiors located in the Midwest. The expanded tour often books up, so schedule your space early. School gropus tours are also available, and the museum is a great destination for field trips. The mansion is in the process of enhancing the tour to include educational material, as well as on-site and off-site programs. In addition to field trips and traditional tours, the museum often hosts private and corporate events, as well as weddings. The location is extraordinary for special events and they offer a staff of professionals to help you with the planning and execution. The setting is perfect for weddings, and provides the perfect backdrop for your nuptials. The history and beauty can be felt while at the location, making it a lovely destination for special events."
"A Pathway Named for a Musical Icon","Minnesota","A Pathway Named for a Musical Icon","While Bob Dylan only spent a short time in Duluth, he brought a feeling of energy and artistic freedom to the area that remains there today. He was born in Duluth in 1941 and six years later moved to Hibbing. The town prides itself on being Dylan's birthplace and the pride is evident in the naming of Bob Dylan Way. Today, the local art community continues Dylan's vision. The path that represents the man was named in May of 2006 in celebration of his 65th birthday. It is private citizens who fundraise to have the signs that grace the pathway created and installed, as well as to care for the nearly two mile stretch of path through Duluth's downtown area. The path follows three major roadways including Michigan Street, London Road, and Superior Street. This links the Depot to the history Armory and serves as a bastion of Duluth's art community. At 600 East Superior Street there is an exhibit honoring Dylan at Fitger's. It is the support of individuals, organizations, and businesses that keep the Bob Dylan Way Cultural Pathway effort in effect. There is constant fundraising and a continuing effort to keep the pathway in pristine condition and capable of supporting the art community. This spirit of community reigns true throughout the entire city of Duluth. Whether you are strolling down the main street or visiting shops and restaurants, you will feel the sense of pride and artistic creativity alive and well wherever you go in town. If you are looking for a delicious meal, you can find one at any of the casual, upscale, or early morning eating establishment. Try the Burrito Union for a giant burrito and locally brewed beer. The restaurant began as a delivery service but has since expanded into a restaurant and pub. Aside from gourmet burritos, they feature burgers, dinner entrees, and an eccentric mix of hipster locals. The Nokomis Restaurant, Bar & Wineshop is an upscale destination with scenic views of the city and the harbor. They feature an extensive wine list, and delicious, refined cooking. In addition to dining, visitors to Duluth can experience museums, theaters, galleries, train rides plane rides, and harbor cruises. The Vista Fleet Cruise Tours will sail you around the harbor, all while enjoying a sunset dinner or a glass of wine. Duluth also has its own freshwater aquarium. Those in the mood for some gambling can head to the Fond du Luth Casino and try their hand at table games and slots. There are also numerous shops, boutiques, parks, and stores. Whether you are a local that has been there for years, someone who is new to town, or just someone passing through, downtown Duluth has what you need. Whether it is books, candy crafts, clothing, gifts, jewelry, party supplies, toys, wine, or music, there is a shop that sells it. All of this is done with a creative flair that demonstrates the true spirit of the town. As the birthplace of Bob Dylan and the location of the pathway that commemorates his spirit and career, Duluth is a great town to visit."
"Aerial Lift Bridge","Minnesota","Aerial Lift Bridge, Duluth, MN","Duluth, Minnesota is a port city for Lake Superior. The lake has been a part of the industrial growth of the state of Minnesota especially dating back to earlier centuries. One of the most important landmarks of Duluth is the Aerial Lift Bridge. The bridge provides a vertical lift, which is quite uncommon for most bridges. At first the bridge was created for a transporter. It was the first of two vertical lift bridges created in the United States. What is historically significant about the bridge is its age. It was constructed in 1905, and upgraded in 1929 to the lift design it has today. By 1973 Americans realized how important the bridge was, inducting it into the National Register of Historic Places. The city of Duluth maintains and runs the bridge. The lake contains a few different sections that are narrow. Just off of the lake is the canal that the bridge spans. Underneath the bridge is a sand bar named Minnesota Point. Lake Superior and the St. Louis River are two waterways near Duluth. It is actually a canal off the river which holds the bridge where the river is about seven miles from the bridge to the southeast. Since the townspeople decided to break up the sandbar it became necessary for those living on the island to be able to access the city. Many transportation methods were tried, but very few of them actually worked. A ferry could work during the summer, but the winter months made it impossible. A swinging footbridge was used for a few years, but again it was considered an unworthy resort because of the rickety and unsafe nature. By 1892 the best solution was provided. Still, it took many years after that before the Aerial Lift Bridge could be completed. The War Department was one of the biggest departments to be against the bridge. The architect in charge of the project was not going to be turned down though. He decided to take his design to Chicago where the bridge was built the way he wanted it. Since the plans were used in that city, many began seeking other designs that could do a similar thing. They felt what was really needed was some type of aerial transport ferry, which is how the bridge came into fruition. When the bridge was completed it had a capacity of 60 short tons. It was able to carry 350 people, wagons, streetcars, or automobiles across the canal. The trip took about one minute where as the car ferry took five minutes. The growing population of Duluth created a demand for more trips on the bridge and tourism soon picked up. It was one of the reasons for the necessary reconfiguration in the 20's. Since the bridge was being used at capacity they had to reformulate it to withstand the many uses it was seeing. Visitors today can take a trip down to the shoreline in order to see the bridge and even watch how it works."
"Aloft Minneapolis offers guests a place to stay","Minnesota","Aloft Minneapolis offers guests a place to stay, dine, re-fuel and be connected","Aloft Minneapolis is located in the Mill District of Minneapolis, which is rich in history and culture. The hotel offers guests a place to stay, dine, re-fuel, re-mix and stay connected with friends and family. The 155 naturally brightened rooms at the hotel have Aloft signature beds, oversized showerheads, custom amenities, plug and play connectivity stations and large LCD TV's. The rooms are naturally brightened due to the extra large windows in the rooms. There are 155 rooms at the hotel that are fitted with either one king bed or two queen beds. All rooms have extra large windows to fill the rooms with natural light and large nine foot ceilings. The Aloft Rooms appeal to travelers who are one the go, guests are able to choose from either a 290 square foot king room with one king bed or the 330 square foot room with two queen beds. Natural light shines in to the oversize walk in shower with a frosted glass panel for plenty of privacy and eco-friendly dispensers that are full of specially created soaps for the hotel by Bliss Spa. The Suite Rooms are designed to suit visitor's style, with free flowing energy from living rooms to bedroom. This style of room has a king size plush platform bed, fully furnished living room, large wall-mounted LCD TV, counter space and fridge and a dining table. The standard amenities at the hotel include in-room movies and magazines, 42'' LCD televisions with Cable programs, Bliss Spa bath amenities, in-shower amenities dispensers and hairdryer. All rooms have free wired and wireless high speed internet access, data port lines, plug and play connectivity and an alarm clock. In the kitchen of all rooms is a 1.1 cubic-foot mini fridge, complimentary tea, coffee and bottled water. Re:Charge gym is the fitness center located in the hotel that is open all hours and simple entry with a keycard for guests to get in their exercise at their own time. The gym has a full cardio collection, stretching zone, strength machines and free weights. Guests can then head next door for a swim in the splash indoor pool or even check their emails as the free wireless internet service is also available in the pool area. Re:Mix Lounge is an open design lounge with mood lighting and music to set the tone for the day or night. The lounge is the place to hang out, work or relax with friends. The lounge has contemporary seating and guests are able to visit the w xyz bar for drinks or visit re:fuel for a self-serve snack. There are large LCD televisions where visitors can view the big game, free wireless in also available where guests can surf the web, or purchase some gadgets. Re:Fuel is where guests can get something to eat, food that is not from a vending machine or easy yet unhealthy food. Re:fuel is the one-stop food and beverage area where the pantry is open 24 hours a day and allows guests to quickly stop in and grab a snack or sit down with friends and family for a snack and drink at the w xyz bar. Kids are able to visit Camp Aloft, which provides an exciting adventure for small guests. Children aged from 2-12 will be greeted with a treat, have special kid-sized mattresses and the opportunity to raid the re:fuel pantry for their favorites snacks, which are parent approved. Staff at the front desk is able to assist guests with safe indoor on-site parking. The hotel aims to be a fresh, fun and forward thinking alternative in accommodation by creating a comfortable place to sleep and creating an energy flow by combining urban-influenced design, latest technology and a buzzing social scene."
"American Airlines C.R. Smith Museum is a window seat look at the world of flight","Minnesota","American Airlines C.R. Smith Museum is a window seat look at the world of flight","American Airlines C.R. Smith Museum is a sight and sound, hands on, window seat look at the world of flight. Visitors are able to see and touch items that are part of the aviation industry as the museum is dedicated soles to commercial aviation. The museum opened in July 1993 and is dedicated to American Airlines employees from the past and present along with C.R. Smith who was the longtime president of American Airlines and a pioneer of aviation. The museum is a nonprofit organization and received funding by gifts of corporate partners, employees and retirees of American Airlines. Self guided tours are available through the museum and are designed for fun and self guided exploration. There are over 1,000 items on display including historical items of commercial aviation, the principles of flight and careers in aviation. Tour groups are welcome; the museum requests that notice is given so they can be accommodated easily. Events held at the museum include Mad Science events where the mad scientists have been working to brew potions to get visitors brains popping. There is funky foam and a rainless rainbow for kids, and kids at heart, to enjoy. Marshmallows will be launched until it snows and kids can invent a snack for a reindeer. The Mad Science Lab is the world's leading science provider, offering a unique delivery with hands on experiments for children to participate in. The Lab encourages children with reading, writing and arithmetic through science. Students are also able to attend Eagle Aviation Camp to educate them about the roles of aviation in history and to encourage students to explore aviation as a career. While on the camp students will be instructed by pilots, mechanics, flight attendants and other staff who are trained in the aviation field. The exhibits at the museum start with a sculpture of a bald eagle bearing the message, Thanks C.R.'' in the main lobby, the sculpture was created and presented to the museum by Zandy Taylor who was a Captain with American Airlines. There are also models of the aircraft that are currently in operation by the airline. Other exhibits include photographs, awards and memorabilia, which provide a biography of C.R. Smith's achievements. On the History Wall are hundreds of objects including interactive videos, quiz games and audio exhibits of the company's history. A large screen theater with first class airline seats shows the film, Spirit of American; the screen is a large 36 feet high. In Flightlab visitors will learn how places fly through computer games and interactive displays, the Flight Simulator fly's the visitor in the co-pilot's seat over the Golden Gate Bridge or fly by a cruise ship in San Francisco Bay, volunteer assistance is required with t his exhibit. There is also a exhibit on how things work on the ground such as reservations and the issue of tickets or how the bags are sorted, see how the mechanics maintain the complex aircraft to keep the safe and in the air. Lastly is the Working in the Air Exhibit that demonstrates how the cabin and cockpit crews work, there is an exhibit of the cockpit in a Fokker 100 showing the flight deck of this aircraft. The museum is also available for rental for events such as weddings, charity events, awards ceremonies or corporate functions. There is over 35,000 square feet of available space that can accommodate up to 500. Visitors are also able to participate in a Scavenger Hunt throughout the museum to search for history. To complete this hunt a Museum Map and Guide Brochure is available in the main lobby."
"American Swedish Institute exhibits the life of Swedish in America","Minnesota","American Swedish Institute exhibits the life of Swedish in America","The American Swedish Institute is a historic house, museum and cultural center located near downtown Minneapolis. The institute was founded in 1929 by Swedish immigrant Swan J. Turnblad. Many of the rooms in the Turnblad mansion, which houses the museum, are an example of cateau-esque architecture from the early 20th century. The mansion stands as a blend of period rooms and exhibit galleries for the benefit of visitors. Exhibits at the institute have included; 17 Swedish Designers, which features the work of seventeen young, progressive, contemporary women. This exhibit showcases fields such as glass, ceramics, textiles, furniture, industrial, interior and graphic design. 80 Years Young: The American Swedish Institute celebrated the 80th Anniversary of the institute and included a special exhibit on the history of the institute and to show that the institute is still focused on the community. This exhibit includes archival materials such as newspaper articles, formal dinner menus' and photos. Located on the third floor is the history of Swedish life in the twin cities. This exhibit includes personal diaries, family photos, maps and other artifacts from the institute's collection. The collection shows why immigrants left Sweden, how they arrived in Minnesota and how they settled into neighborhoods. There is a story of Jacob Fahlstrom told by Fredrike Bremer, which accounts his journal to Minnesota. The Swedish-American Theater features vaudeville performers and there are many craft traditions on display. Tours of the institute are offered and packages are available for groups. The Mansion Tour allows visitors to view the 33-room mansion, view the detailed wood carvings and hand-crafted Swedish tile stoves, and learn about the Turnblad family, the art and architecture of the mansion and early Minneapolis. At Christmas the mansion is decorated in true Scandinavian style. The Artisan's Tour looks at the craftsmanship to build the mansion in a hands-on tour by handling plaster, tile, stone and some of the tools used to complete the home. The Garden Tour takes visitors around the master garden to learn the creative process of how the garden was designed to reflect the Swedish, American and French influences of the mansions. The Exhibit tour will take visitors through the house to explore in depth with a trained curator. Food packages are able to be added for tour groups, these options are; the Smorgasbord is a classic three-course Swedish buffet and is the most popular package with visitors. Visitors will start the meal with Swedish breads, cheeses, caviar cream eggs, herring and pickled beets. They will then have potato sausage rounds, Swedish meatballs and dessert is rice pudding with lingo berries and a traditional Swedish ginger cookie pepparkakor. Visitors are also able to choose from the Soup and Sandwich package where they will receive smorgas, a traditional open-faced sandwich and a cup of soup, dessert and coffee. Swedish Cuisine Demonstration of the institute's chef demonstrating the art of creating the smorgas, along with soup, dessert and coffee or Fika, which is the Swedish word for gathering of friends over hot coffee and treats or Just Dessert, which is Swedish spice cake with pearl sugar and whipped cream and a coffee. Hands-on Lessons are available for visitors to attend, which include; Swedish Immigrant Trunk, is a hands-on presentation of an immigrant trunk filled with objects from the late 19th century. Christmastime in Sweden includes many special Swedish foods and a visit from Jultomten who is the Swedish Christmas elf or A Year of Holiday Traditions, which explains the different holiday traditions that they have in Sweden."
"An Aquatic Adventure for the Entire Family","Minnesota","An Aquatic Adventure for the Entire Family","Kids and adults of all ages will love a trip to the aquarium. Featuring more than 20 species of fish like lake trout, paddlefish, and walleye, as well as seahorses, stingrays, frogs, turtles and snakes, birds, and river otters, this is an environment that will delight and educate sea lovers. Exhibits includes an aviary, a critter corner, the Amazing Amazon, Otter Cove, and more, and teach and entertain visitors to the aquarium. The building is open from 10 am until 6 pm daily, and admission prices range from $8 to $15. There are discounts available for seniors and children under three years old are free. Membership packages are available for the museum and entitle members to a gift shop discount, a newsletter, and special events. There are also opportunities for members only viewings. The memberships are tax deductible and can be designed to suit a variety of preferences. You can joins as an individual, an individual plus which entitles you to a free visit for a guest, a family or family plus, or a group care membership. All of the membership rates are very affordable and most can be purchased for less than $100. A trip to the aquarium would not be complete without a trip to the gift shop. You can choose from a variety of souvenirs and gifts including games, patches, mugs, puzzles, stuffed toys, and books. Those looking for an educational experience will love a visit to the aquarium. There are self-guided tours designed to encourage exploration of the exhibits, classes that are geared toward specific age groups, overnight programs that allows kids to spend the night with the otters, a Whirligigs preschool program, and scout programs that offer workshops designed around badge requirements. Field experiences allow kids to take a two-hour field class that gets you out and about, exploring the world of the sea and lake. Homeschool groups love visiting the aquarium because they receive lessons from trained educators who offer a whole new look into aquatic life. The aquarium's outreach program brings many of their onsite classes into the classrooms in the area, as well as festivals, youth centers, and childcare centers. This is a great way to experience aquatic life if your group is unable to visit the aquarium. Finally, the MinnAqua Program allows kids to experience fishing as a sport through an onsite and field trip outreach program. The aquariums conservation program features many components. They allow people who have adopted aquatic pets to donate them to the program if things should not work out at home. The aquarium features lessons for those who want to learn the best way to care for the aquatic environment such as gardening, proper disposal of waste, and how to protect wildlife from invasive species. There is also a Minnesota Beach Sweep program that annually takes volunteers onto the shorts of Minnesota beaches to get them in tip top shape and clean them up. Giving back to the community, while sharing and educating is what the Great Lakes Aquarium is all about."
"Bakken Library and Museum is the only museum dedicated to medical electricity","Minnesota","Bakken Library and Museum is the only museum dedicated to medical electricity","Bakken Library and Museum is located in Minneapolis, Minnesota. The library was previously known as The Bakken: A Library and Museum of Electricity in Life and the Medtronic Museum of Electricity in Life. The library is located on the shores of Lake Calhoun and is the only library and museum that is dedicated to medical electricity. The museum aims to educate visitors, mainly scholars and young people about the history of electricity from 1200 A. D. to the present. The Exhibits at the library are: Earl Bakken who was the inventor of the first battery-powered transistorized cardiac pacemaker. He was also cofounder of the Medtronic Museum and the founder of The Bakken Museum. Visitors are able to make a 60,000-volt spark on the Wimshurst generator or play the first electronic musical instrument the Theremin. At Body Electric visitors will learn about the natural electricity in the human body and the electrical innovations, which help diagnose and treat disease, regulate the heart of train the brain. Visitors are able to challenge family and friends at Mindball, which is a battle of relaxation. Do experiments with magnets at the Mystery of Magnetism exhibit and learn about the relationship between electricity and magnetism. The Electrifying Minnesota exhibit show visitors how everyday life has changed since electricity became available in homes and businesses and by one of the first hydroelectric power plants in the nation bean over 125 years ago on the Mississippi River. A 12 minute multi-media presentation will show visitors how Frankenstein's creature came to life. In the Electricity Party Room visitors are able to experience electrifying fun by using static electricity to make bells ring and confetti dance just like Ben Franklin did. Public programs and special events are held at the library throughout the year, these include, and Super Science Saturday's where anyone can be a scienctist, inventor or engineer through hands-on science activities and experiments. During the summer the Bakken Library and the Minneapolis Aquatennial join together for the 10 Best Days of The Bakken with activities and special activities offered on these days. The Bakken Museum's collections are located in the West Winds building, which is a 15-room Tudor Style home. The Florence Bakken Medicinal Gardens surround the West Winds building with beautiful landscaping, along with a recall of when plants were the principal tools of medical therapeutics. The gardens were first established during the Renaissance and were connected to a medical school. When the new world was discovered, new plant remedies were discovered, many of which were learnt from Native Americans. The garden was created by integrating medicinal plants which thrive in the robust climate of Minnesota with pre-existing English landscape style garden. The exhibits at the library are interactive to help keep children interested in learning about electricity. The museum has doubled in size to 25,000 square feet including an underground vault to protect the collection and is set to a constant temperature of 65 degrees Fahrenheit and 55 percent relative humidity, the museum aims to continue to educate the community on electricity for many more years to come."
"Basilica of St. Mary was the first Basilica built in America","Minnesota","Basilica of St. Mary was the first Basilica built in America","The Basilica of St. Mary is a community rooted in the Gospel of Jesus Christ who is committed to the spiritual growth and social well being of the city of Minneapolis in Minnesota. The parish is the Co-Cathedral of the Archdiocese of Saint Paul and Minneapolis and aims to provide excellence in faith information, pastoral care and faith formation, to preach justice and provide emergency relief to the poor, pursue interfaith relationships and to contribute to the celebration of the sacred arts. The Basilica was the first basilica built in America and has been a historic site as the cornerstone of Catholic faith since 1914. An open community lies behind the cold stone walls and is more than just a local parish or an impressive downtown building, they are a group who have come together to live their faith every day. The parish believes that it is their dedication and tenacity of their volunteers and staff that make the basilica a community landmark over a building landmark. The basilica is recognized as a fine example of Beaux-Arts architecture in the country. Construction of the basilica began in 1907 and was completed in 1915, the building was designed by Emmanuel Louis Masqueray who was a celebrated Franco-American architect and the building dominates its own city block on Hennepin Avenue. In 1975 the building was placed on the National Register of Historic Places. Restoration work on the building is ongoing to repair the exterior and damaged plaster within the church. The old copper roof was replaced in 1991 to stop water damage and leaks within the building. The site is host to the Basilica Block Party, which is a weekend music festival, that started on the site in 1995. The proceeds of the festival go toward repairing the building and assisting poor families in the community. The DeLaSalle High School uses the church for their commencement ceremonies in the spring. The basilica community holds programs to educate the community of the faith formation and opportunities for all ages. The programs are based on Catholic traditions and offer guidance in many ways. The Basilica Voices for Justice is an advocacy network, which allows individuals the opportunity to connect with elected officials. Another partnership that the Basilica is part of is the Mile and a Quarter, this partnership is with the Ascension and other organizations on the North side. Other programs of the basilica are support the community and social groups; provide spirituality, charity, employment ministry and hospitality ministry."
"Beautiful Park in Duluth","Minnesota","Beautiful Park in Duluth","When speaking to people who have visited or living in Duluth, Minnesota most will rave about the beautiful scenery, the Duluth Lakewalk, the quaint shops and fine dining opportunities. All of this is true. Duluth is a gem of a town offering visitors a wide range of entertainment opportunities both indoors and outdoors. If you happen to ask a youngster what impressed him or her most about their visit to Duluth there is a very strong possibility they'll sing the praises of the Edgewater Water Park, and for very good reasons. The Edgewater Water Park is a load of fun and not just for the young. The young at heart of all ages will be thrilled by all the fun and games offered. This Northern Minnesota water park is like an island retreat located near the shores of Lake Superior. Guests of the park can slide down the four- and -a -half- story waterslides. Play in the Vortex Pool with its variable speed current, activity pools or float along peacefully in the 400 foot lazy river. The opportunities for the kids to play and have a boatload of fun are almost endless. The wide array of fun activities will keep the young ones occupied for hours on end. While the kids are enjoying all the water fun the adults can participate in the fun or to just sit back, relax and watch the youngsters play. The Indoor water park is a considered medium-sized as far as water parks are concerned, but it's packed with things to do. It features a tropical theme with a volcano that erupts every few minutes. The complex offers both body slides and tube slides. Other enticing activities include the Giant Lava Hot Springs spa, and the Paradise Playground. During the hot summer months guests can enjoy the sun while floating in the huge outdoor pool overlooking the beauty of Lake Superior. Always alert lifeguards are constantly monitoring the water activities making sure everyone has a fun and safe visit to the water park. The park also has a lot of fun, non-water related activities like miniature golf, arcade and movies. The Arcade, located right next to the water park features hundreds of dry land amusements and arcade games. Poolside dining is available at Tiki Tom's Oasis & Grill. Guests who stay overnight will be well pleased with the facilities offered by the Edgewater Resort & Water park hotel. This 235-room, Polynesian heaven overlooks the water park and the largest freshwater lake in the world. The hotel offers a variety of accommodations depending on the number of guests. The Edgewater Water Park offers package deals for larger groups. You can bring your family, friends and co-workers for a day or weekend of water fun. Everybody loves to gather around the pool and that's what Edgewater Water Park has to offer. The Water Park Resort can accommodate business meetings with their 3 large conference rooms. While visiting Duluth visitors won't want to pass up this fun and relaxing getaway spot, the only indoor water park in Northern Minnesota."
