Name,State,Title,Description
"Ameristar Casino","Mississippi","Ameristar Casino - Vicksburg, Mississippi - Hotel and Casino","Ameristar Casino is a hotel situated at Washington Street in Vicksburg and is the largest dockside casino in central Mississippi. It is approximately 55 miles from Jackson-Evers International Airport where cars can be hired, and the property has a garage with 1,000 parking spaces free for guests. Check in time is 3pm with check out at 11am but guests cannot bring pets with them. This property originally opened in 1994 and underwent quite extensive expansion and refurbishment in 2008 now containing 149 rooms including four executive suites and 14 spa suites. The guest rooms contain one king bed or two queen beds and also feature TV, complimentary high speed internet access and smoking/non smoking and wheel chair accessible rooms are available on request. The spa suites also contain a Jacuzzi, whilst the Executive Suites have a spacious living area, a spa bath and two bathrooms. There are three restaurants on site here including Heritage Buffet, which is open all week for breakfast, lunch and dinner as well as Sunday brunch from 11am to 2pm and offers guests cuisine from all over the world. Another option for dinner is Bourbon's BBQ & Steak, which opens 5pm to 10pm Wednesday to Sunday, whilst staying closed the other two days. Bella's Bakery and Cafy offers quick meals such as sandwiches or pizza and is open 2pm to 11.30pm Sunday to Thursday and 2pm to 1.30am Friday and Saturday. The three story casino is over 70,000 square feet and has over 1,700 slot and video machines, 29 table games and a separate poker room with 10 tables. The table games feature all the familiar favorites such as Blackjack, Craps, Roulette, Let It Ride and Three Card Poker as well as some the latest specialty games. The Poker Room on the first floor is the only one in Vicksburg and features Texas Hold 'Em (Three, Six and Four -Eight Limit, One-Two No Limit and Two-Five No Limit) and Omaha. The hotel has many other amenities including an outdoor pool and hot tub, which opens seasonally between 7am and 11pm. Next to the front desk in the lobby is a market area where guests can purchase snacks, drinks, health and beauty aids and various medicines. For the guests' entertainment there is also a cabaret lounge offering free live entertainment and the Bottleneck Blues Bar, which also has live entertainment as well as large TV screens for guests to watch sporting events. The hotel can cater for meetings, weddings and other events in a couple of rooms accommodating a maximum of 150 guests for a private dinner or banquet. The Delta Point Room is located within Heritage Buffet and has 96 seats as well as built in audio/visual equipment ideal for meetings and presentations. The Magnolia Room has a total of 1,792 square feet of space, which can be divided in to three smaller rooms each seating up to 30 people and again this room has audio/visual equipment as well as staff to help with the smooth running of the event."
"Anchuca Mansion","Mississippi","Anchuca Mansion - Vicksburg, Mississippi - Historic Mansion and Inn","Anchuca Mansion is a historic building and inn located at First East Street in Old Town Vicksburg, Mississippi. It is approximately 50 miles from Jackson-Evers International Airport, from where it is recommended visitors hire a car as there is no shuttle service to and from the inn. Anchuca is a Choctaw Indian word meaning happy home'' and this mansion is one of the most significant antebellum homes in Vicksburg. The mansion is listed on the National Register of Historic Places and was built in the Greek revival style in 1830 by local politician J.W. Maudlin. It was the first columned mansion in Vicksburg and has become the first historic home in the state to be turned into a bed and breakfast inn. Furnished with fine antiques and art representing the late 1700s to the mid-1800s, the mansion was home to Joseph Emory Davis, patriarchal brother to Confederate President Jefferson Davis, until his death in 1870. The main house has three rooms available including the Davis Room, which has a bedroom furnished with a queen sized bed and period antiques, a private dressing area, private bath with shower and tub, a coffee center, mini refrigerator, and a sitting area with cable TV, VCR and DVD player. The Wilson Room has a queen sized bed, an additional twin bedroom, seating area, a mini refrigerator, coffee center, cable TV, VCR, DVD player, a soaking tub and walk-in shower. Aunt Sarah's Courtyard Suite contains a living area including a seating group, game table, day bed, cable TV/VCR, a full kitchen, private bath with tub/shower combination, and a separate bedroom with a king sized bed and cable TV. The carriage house also has accommodation available with four guestrooms including Jennie's Room, which features a king sized bed. The other three, Ellen's, Emma's and Kate's Rooms are all furnished with a queen sized canopy bed. All four rooms feature a bedroom, private dressing area with coffee center, mini refrigerator, cable TV and a private bath. Visitors and guests can dine at the mansion in the Cafy Anchuca, which serves lunches from 11am to 2pm Thursday to Sunday and supper from 6pm to 8pm Thursday to Saturday. The Library Bar serves specialty cocktails and wine Thursdays to Saturdays from 5pm to 8pm and is a good meeting place after work or for a pre dinner drink. Within a short walking distance of the mansion are various eateries including Main Street Market and Rusty's Riverfront Grill, which are less than a kilometer away. There are many other places to visit relatively nearby to the inn including the Old Court House Museum, which is just two blocks away. Guests can wander just a few blocks into downtown Vicksburg to do some shopping or visit antiques stores. There are many galleries and museums such as the Vicksburg Battlefield Museum, or visitors may like to take the tourist carriage rides around the neighborhood and learn more about the historic homes and other buildings."
"Bally's Casino Tunica","Mississippi","Bally's Casino Tunica - Tunica Resorts, Mississippi - Hotel and Casino","Bally's Casino Tunica is situated at Bally's Boulevard in Tunica Resorts, Mississippi and is a 30 minute drive down Highway 61 from Memphis, Tennessee. Memphis International Airport is the nearest airport, where visitors can hire a car or order a taxi to take them to the hotel. A 24 hour complimentary shuttle service between the hotel and the casino is provided for guests and takes just a few minutes. This property contains 238 rooms and suites located on two floors, which all feature a standard sized tub with massaging jets, a coffee maker and a refrigerator. The Standard King rooms also feature a king-sized bed, video on demand, hair dryer and TV. The Parlor Suites offer more space that the standard rooms as they have a living room and separate bedroom as well as a queen-sized bed, sleeper sofa and a larger TV than those provided in the other rooms. There are three restaurants on site here including the Cornucopia Buffet, which is open from 7am each day for breakfast, lunch and dinner with Asian, Tex-Mex and local fare amongst others on offer. The Barn is open from 5pm each day and prides itself on its great sized portions including juicy steaks. Silo Eatery is close to the casino action and is open 24 hours per day, seven days a week and offers a wide selection of food such as sandwiches, wraps, burgers, pizzas, fries and ice cream. The casino has many slot and video machines for guests to try out with a range of denominations from a penny to five dollars, including favorites such as Double Diamond and Wild Cherry as well as others such as Monopoly and Wheel of Fortune. Just a few steps away from the slot machines guests will find the table games, which include Blackjack, Craps, 3 Card Poker and Roulette as well as games unique to Tunica; Wild Hold `Em Stud. The casino is a pleasant way to relax for groups holding meeting or other events at the hotel, and there are generous benefits for guests using a Resorts Destination Casino club Card. Free live entertainment is also provided at the casino on Fridays and Saturdays starting at 8pm. There are bands playing a wide variety of music, and whilst seating is limited to a first come first served basis, guests can still enjoy the entertainment whilst playing on the machines or tables. Sports fans can also watch the favorite games here as there is a large HD TV screen as well as several plasma screens. The hotel has other amenities including a full-size outdoor pool with a sun deck and hot tub. Complimentary towels are provided here and the hotel asks that for safety reasons, children under 13 are accompanied by an adult at all times. Hotel guests are also offered the chance to play golf at River Bends Links, which is the only links-style championship course in Tunica and has a Pro shop and snack bar."
"Beau Rivage Biloxi Resort & Casino","Mississippi","Beau Rivage Biloxi Resort & Casino - Biloxi, Mississippi - Hotel and Casino","Beau Rivage Biloxi Resort & Casino is situated at Beach Boulevard in Biloxi, Mississippi and is the tallest building in the state. It is approximately 15 minutes from Gulfport-Biloxi International airport, and a shuttle runs to and from here at regular intervals seven days a week. There is parking available on site and check in time is 3pm with check out at 11am but guests cannot bring pets with them. This property originally opened in 1999 but was rebuilt after Hurricane Katrina and reopened in 2006 and contains 1,740 rooms and suites. Guest rooms contain one king bed or two doubles and also feature TV, two phones and voicemail, high speed internet access, writing desk, table and chairs, ironing facilities and an electronic safe. The suites feature king sized beds, wet or dry bar, whirlpool tub, bath with walk in shower and spa robes and slippers as well as the amenities found in the guest rooms. There are several restaurants on site here including fine dining at BR Prime, which is an American steakhouse, whilst Asian cuisine is served at Jia. More casual dining can be found at four other eateries including The Buffet, which is open all day until 11pm. The other three are Terrace Cafy, Memphis Q and Coast Restaurant. Snacks and beverages can be purchased at the complex as well in case game players need a short break from play. There are a number of bars and lounges too including Eight75, which stays open until 2am most nights and 3am Friday and Saturday. Guests can dance at the Coast Nightclub, whilst cocktails can be enjoyed at the Breeze Bar located in the casino. The casino has over 2,100 slots including reels, video and progressives with denominations ranging from 1 cent to $500. The poker room has various tournaments arranged daily with 16 tables holding games such as Texas Hold'em, 7-Card Stud and Omaha High Low Split and there is a High Stakes area where no-limit Texas Hold'em and Pot-Limit Omaha can be played. Other table games are featured at the casino such as Craps, Roulette, Mini & Midi Baccarat, Single Deck Blackjack, Pai Gow, Mississippi Stud, Ultimate Texas Hold'em and more. The hotel has many other amenities including an outdoor pool with food and drinks available at the pool bar. Fallen Oak Golf is an 18-hole par-72 championship course set amongst 510 acres. The spa is open seven days a week and offers various relaxing treatments as well as a fitness area, whilst the property also has its own beauty salon open daily from 8am to 7pm. The hotel can accommodate meetings and other events in various rooms including the Magnolia Ballroom, which is a flexible 17,000 square foot space that can accommodate up to 1,300 guests for a reception. There are two other ballrooms as well as the Oaks Boardroom, which is ideal for small meetings. Business travelers can also use the Business center, which contains computers, internet access and faxing and photocopying services and there are staff on hand to deal with technical issues or requests."
"Beauvoir","Mississippi","Beauvoir, Biloxi, MS","Although Beauvoir eventually became the final home of Confederate President Jefferson Davis, it was not built for him. The house was originally built by a man named James Brown as a summer house for his wife and family. They called the home Orange Grove because of the many Satsuma orange trees on the property. The property stayed in the hands of the family until Mr. Brown's widow was forced to sell in 1873 for taxes due on the estate. A land speculator bought the home for the taxes, but sold it about three months later. A woman named Sarah Dorsey became the next owner of the home. She is credited with naming the house Beauvoir because of the beautiful view of the Mississippi Sound that she saw from her front porch. Jefferson Davis was looking for a place in the area in which he could write his books and called on the friend of the family, Sarah Dorsey. Mr. Davis explained what he was doing in the area and she invited him to stay on at Beauvoir. He paid fifty dollars a month for room and board. He lived there for two years before he discussed buying the property from Sarah Dorsey. A deal was struck for $5,500.00 to be paid in three installments. He made the first payment, but within six months Mrs. Dorsey had passed away. When her will was read he was the sole heir of her estate and the property became his. Jefferson Davis lived in the home until his death in 1889. At that time his daughter, Winnie, became the owner of the property. She died in 1898 and Varina, the widow of Jefferson Davis inherited the estate. Mrs. Davis eventually sold the estate to the Mississippi Division of the Sons of Confederate Veterans. She had two stipulations. The first was that the home be used for Confederate veterans and their widows without charge. This happened from 1903 until 1957 when the last three widows needed nursing home care. The second was that the property becomes the memorial to Jefferson Davis and the Confederate soldier. It has been run as such since 1903. Hurricane Katrina did significant damage to the structures and not all of the buildings on the property have been rebuilt or restored. However, there are plans to rebuild the Jefferson Davis Presidential Library and Museum. Beauvoir is now open three hundred and sixty three days a year from 9:00 am to 5:00 pm seven days a week. There are tours of Beauvoir House available and the admission is nine dollars for adults and five dollars for children. The Beauvoir House holds an annual Beauvoir Fall Muster in October. The muster presents the sounds, sights and smells of an 1860's environment. They also re-enact Civil War battles on the Saturday and Sunday Fall Muster days. Guests can also turn a Lincoln penny into the likeness of Jefferson Davis with the Penny Machine that is on the premises. The cost is fifty one cents to do so."
"Biedenharn Coca-Cola Museum","Mississippi","Biedenharn Coca-Cola Museum, Vicksburg, Mississippi - History of Coca-Cola Bottling Museum","Biedenharn Coca-Cola Museum is located at South Washington Street in downtown Vicksburg, Mississippi. Visitors traveling west on I-20 should take Exit 4B and head west on Clay Street to Washington Street and turn right, or if heading east on I-20, take exit 1 just after crossing the Mississippi River bridge and head north on Washington Street. The museum is open 9am to 5pm Monday to Saturday and 1.30 pm to 4.30 pm on Sundays throughout the year except New Year's Day, Easter, Thanksgiving and Christmas. The Biedenharn family was the original bottlers of Coca-Cola and this museum has many exhibits that tell the story of them and the history of this soft drink. Joe Biedenharn built a candy store in Vicksburg with his father, and started bottling Coca-Cola there from the 1890s through to 1938 when a new plant was opened in Washington Street. Having been sold and used for other commercial purposes the building was repurchased by the family, who set up exhibits and displayed historic photographs here. Visitors will be able to see an authentically-restored candy store and office area similar to that of the Biedenharn's one of the late 19th / early 20th century. It features furnishings and displays of the 1890s and offers visitors ice cream, fountain Cokes, Coke floats and a wide selection of Coca-Cola souvenirs. They will also see the process used to first bottle Coca-Cola, replicas of the equipment first used to bottle Coke, learn about the history of the brand's advertising and lots of memorabilia from past to present. A trip round the museum is a self-guided tour that will probably only take between 30 and 45 minutes, although there are helpful staff on hand to answer questions. The exhibits contain mainly old photographs with explanations behind glass cases as well as items from the early days of the Coca-Cola bottling industry and the advertisements from those earlier times. Reviews from previous visitors to the museum are very favorable, who point out that whilst it is quite small it remains interesting and well worth visiting. The museum building was donated to the Vicksburg Foundation for Historic Preservation (VFHP), which still owns and operates this tourist attraction. VFHP aims to maintain the historical and architectural heritage of the city and was founded in 1958. Income for the VFHP comes from membership dues, fundraising, donations, as well as retailing and admissions from the Biedenharn Coca-Cola Museum. Whilst in the area visitors may want to see other attractions with several historic mansions open for tourists to visit. Built in the mid 19th century, Cedar Grove located along the banks of the Mississippi River in Oak Street features period antiques and furnishings, whilst Duff Green Mansion served as a hospital during the Civil War and is on the National Register of Historic Places. Children may be more interested in the Great Animal Adventures Children's Museum in China Street, which has activities for kids and hands on exhibits."
"Boomtown Casino","Mississippi","Boomtown Casino - Biloxi, Mississippi - Casino with Dining Options on Site","Boomtown Casino is located at Bayview Avenue on the back bay of Biloxi in Mississippi. It is approximately 30 minutes from Gulfport-Biloxi International Airport, where visitors can hire a car or take a taxi ride to the casino or one of the many hotels in Biloxi and RV parking is available at the casino. Much of Biloxi was devastated by Hurricane Katrina in August 2005 including casinos such as this one, but Boomtown was reopened in 2006. The casino is open 24 hours per day and has over 1,100 slots including old favorites and new machines. Featured are popular slots such as Mr. Cashman Tonight and Money Honey but there are many others available for guests to play. Some of the best payouts in town are promised on the video poker games with a choice including Bonus Poker, Double Double Bonus, Deuces Wild, Spin Poker and many others where guests can even play up to 100 hands per play. The poker room has various tournaments and promotions arranged daily offering something for people of all standards from beginners to experts, with games such as Texas Hold'em, 7-Card Stud and others played here. Other table games are featured at the casino such as Craps, Roulette and Blackjack as well as many others. A Players Club Membership is free and using the card whenever members play the slots or tables, earns various benefits such as a meal comp. There are a few dining options on site here including The Boomtown Buffet, which offers cuisine from different parts of the world as well as American fare and opens from 11am to 10pm Sunday, 11am to 3pm and 4pm to 10pm Monday to Thursday, whilst Friday and Saturday it shuts at 11pm. The Steakhouse opens Thursday to Sunday from 4pm to 9.30pm except Friday and Saturday when it stays open for an extra hour. The Grill opens 24 hours a day and serves sandwiches, burgers, hot dogs, pies and pastries amongst other things, whilst freshly baked cakes, pies and pastries can be purchased at the Bakery. Visitors will find several hotels and smaller accommodation in the city and relatively close to Boomtown Casino. Some of these hotels also contain casinos such as IP Casino Resort Spa, Hard Rock Hotel & Casino or the Beau Rivage Biloxi Resort & Casino, which are all within about two kilometers of Boomtown Casino. Other hotels nearby include Chateau LeGrande and Hampton Inn, which are less than three kilometers away. Should visitors be looking for a meal away from the casino, there are numerous options in Biloxi with Brazilian fare at Carnaval De Brasil, Vietnamese at Long Kim Restaurant and seafood on the menu at Ole Biloxi Schooner in Howard Avenue. Other attractions in Biloxi that visitors may enjoy include Beauvoir, which is a grand plantation home or the Ohr-O'Keefe Museum of Art in Glen Swetman Street, which has exhibits of the work of George Ohr, a local potter from the 18th century."
"Buccaneer State Park","Mississippi","Buccaneer State Park","Buccaneer State Park is located at South Beach Boulevard in Waveland, Mississippi and is approximately 50 miles from New Orleans. The park is located on the beach by the Gulf of Mexico and was once frequented by pirates in the 18th century. It is now a destination with many visitor attractions and campsites, which are gradually being reopened following severe damaged caused by Hurricane Katrina in 2005.  There are 206 premium campsites located with full amenities including water, sewer hook-up, electrical amps, picnic tables, grills and fire pits. Overlooking the Gulf of Mexico are a further 70 overflow campsites situated on a grassy field. Picnics and small private functions can be held at the three pavilions located in the park with restrooms in or near to each one. Visitors to the park can enjoy various activities including a par 3, 18-hole disc golf course with various challenging obstacles. Nature lovers can take to the 1.8 mile trail where many plants and animals can be seen and brown pelicans, egrets and osprey may be seen from a pier extending over Mud Bayou's Canal. The waterpark was a casualty of the hurricane but is due to be reconstructed in 2011 with its slides and pools, but in the meantime kids of all ages can still have fun at the playground."
"Canebrake Golf Club, Hattiesburg, Mississippi - An Upscale, Semi-Private Golf Course Ranked #3 in the State","Mississippi","Canebrake Golf Club, Hattiesburg, Mississippi - An Upscale, Semi-Private Golf Course Ranked #3 in the State","Canebrake Golf Club is a semi-private course that plays around a 250-acre lake and winds through more than four acres of native bamboo fields. Several of the fairways are tree-lined, but wetlands and water are the order of the day, as seven of the holes play around the lake. The course, which opened in 1998, is a Jerry Pate design and features undulating fairways and a lot more elevation changes than most other courses in the region. The course also features some typical Pate design elements, such as square tee boxes, oddly shaped bunkers and large, severely sloping greens. The Tifdwarf grass greens also tend to roll very fast and true. The 18-hole, par-71 course plays to slightly more than 7,000 yards from the longest tees, with a USGA rating of 73.3 and a slope rating of 130 on Bermuda grass. From the White tees, the course plays nearly a thousand yards shorter at 6,031 yards. Some of the more noteworthy holes include No. 3, a hole said to be created by nature.'' This par-4 plays to a landing area bordered by a 50-acre nature preserve on the right, dictating a tee shot to the left. From there, approach shots play over a wetland to a picturesque green surrounded by pecan trees. Hole No. 16 is the signature hole for the course, a par-3 that can be a bit daunting at 243 yards from the back tees. From that tee box, golfers are on the other side of Milliken's Lake, while the more forward tees don't require a carry over water. Even so, this hole can be quite intimidating, as it curves around the water and the green is set on the lakeshore. The finishing hole may be the most difficult on the course. This par-4 plays to 464 yards from the back tees and is the longest on the course. While the hole plays straight, the challenge comes not only from its length, but from an elevated fairway that plays to a green guarded by two bunkers and more water on the right. Canebrake has hosted a number of tournaments over the years and received several honors and awards. Golf Digest ranked it #2 among the Best New Affordable course for 1999, and the course has also been rated the #3 golf course in the state. Practice facilities at Canebrake consist of a dual driving range considered the best in the area. The facility also features 6,700 square feet of putting and chipping greens, as well as two practices and bunkers. Lessons are also available from the staff PGA professional. One of the most impressive features at the course is its expansive clubhouse, which features a fully stocked golf shop. The clubhouse also features locker rooms, a full-service bar and lounge, as well as three restaurants for casual or fine dining. Other amenities at the club include a Junior Olympic-size swimming pool, complete with a bathhouse and child play area, along with a 24-hour fitness facility."
"Civil War Interpretive Center, preserving Civil War Sites located in Corinth","Mississippi","Civil War Interpretive Center, preserving Civil War Sites located in Corinth","The Civil War Interpretive Centre is located in Corinth, Mississippi. The centre is part of the National Park Service at the site of Battery Robinett, and is committed to preserving and teaching visitors about the war sites of the Corinth area through interpretive and interactive displays, information and visual presentations. The centre shows how the town of Corinth was involved in the Battle of Shiloh, the April and May Union siege and capture of the city and the attack from General Earl Von Dorn which resulted in the 1862 Battle of Corinth. The grounds of the interpretive centre are where the wounded and dead soldiers lay during this attack. The centre is a $9.5 million facility with over 5,000 square feet of exhibition space inside a red brick museum and out. The outdoor exhibit is permanent and shows the forts that were constructed by Federal troops that were guarding Corinth once they took possession of the town in 1862. On the grounds of the centre is the Stream of History living sculpture. This artwork is created from water and stone and tracing the flow of time from the United State founding through to the Civil War. Other exhibits include displays to help visitors interpret the traces of the battlefield, reenactments of the fighting and monuments to the soldiers who were killed in the Battle of Corinth. The centre building works with the natural slope of the earthwork and mimic's its shape. A film is able to be viewed on the Battle of Shiloh in a small amphitheater with bench seating available. Seven monitors in varying sizes show maps, troop positions, re-enactments, drawings and photographs from the Civil War era. The Interpretive centre has a path leads visitors from the parking lot to the entrance through switchbacks with bronzed civil war items paved into the path. The displays are colorful and easy to read in the large open space. As the centre is part of the National Park Service there is no admission fee for visitors. The centre is designed as a self guided tour, although there are two rangers on duty in the centre to assist visitors with any queries they may have. The Civil War Interpretive Centre is a must see on the western Civil War itinerary. Stopping at this centre will help visitors have a better understanding of the Battle of Shiloh and the Civil War by the use of easy to use displays, paraphernalia, charts and videos."
