Name,State,Title,Description
"18th and Vine District in Kansas City - Kansas City MO Jazz Negro League Baseball Museums","Missouri","18th and Vine District in Kansas City - Kansas City MO Jazz Negro League Baseball Museums","The sharp bleat of a trumpet and the smooth crooning of a saxophone let you know that you have arrived at the 18th and Vine District in Kansas City. Located just east of the current downtown area, this historical downtown hub is considered to be one of the cradles of jazz. Former residents include many well known musicians, the most famous of whom remains Charlie Parker. Known for short riffs and jam sessions in its crowded clubs, the 1920's and 1930's were the heydays for jazz in the area. A multi-million dollar restoration of the area began in the 1980's and has culminated in the recent opening of several museums celebrating the history of the area. Visitors will find the restaurants, clubs, and exhibits in the 18th and Vine District informative and distinctive. Some of the new museums which have opened in the area include the Kansas City Jazz museum, the Negro League Baseball museum, and the American Jazz museum. Any one of these museums is worth a trip out to the district. The Negro League Baseball museum is especially noteworthy because it recreates the look, sound, and feel of the early games. Many visitors are not aware that there was a separate league until the 1960's as most consider the 1947 signing of Jackie Robinson to the Brooklyn Dodgers to be the end of the color barrier. Coming down to the 18th and Vine District in Kansas City would also not be complete without a visit to the Gem Theater Cultural and Performing Arts Center. A 500 seat theater, the location has been restored with historical accuracy but modern sightline techniques to ensure that there is not a bad seat in the house. Local and national performing acts are showcased, with an emphasis on dance and multi-media events. A rotating cultural exhibit is housed on the second floor."
"American National Fish and Wildlife Museum - Springfield MO Wildlife Park Zoo Museum","Missouri","American National Fish and Wildlife Museum - Springfield MO Wildlife Park Zoo Museum","The official name, the American National Fish and Wildlife Museum in Springfield, is simply too long. Operating as Wonders of Wildlife for the last several years, almost since its inception, in fact, the museum houses more than 225 varieties of live animals as well as saltwater and fresh water aquariums. The aim of the museum is to replicate the habitat of the Ozarks to bring the public closer to wildlife for the long term benefit of both. The facility opened in 2001. It was partially funded and solidly supported by John Morris, the founder of Bass Pro Shops. The museum cost $52,000,000 to construct and is massive, clocking in at 92,000 square feet. Many of the latest zoo-keeping tricks were leveraged to give a rich, interactive experience to future visitors. Some of the more well-known features of the Wildlife Museum are the Community Pond, Out to Sea and Archery exhibits. The Community Pond is built so that visitors can look at a Missouri pond from underneath and study the different levels of fish and pond dwellers. Out to Sea is a 225,000 gallon saltwater aquarium with a variety of exotics. The Archery exhibit is actually a part of the Archery Hall of Fame. The museum also puts on a variety of programs. The programs are designed to share and grow care for wildlife and the habitats animals live in most of their lives. There are programs for children as well as adults with interest in wildlife protection. The programs combine concern for the environment with animal rights. The American National Fish and Wildlife Museum keeps regular hours, with the exception of being closed for major holidays. Portions of the museum are open year round, even in in poor weather. Admission is less than $10 on average, and tours are available. Visitors should estimate that it will take 1.5 - 2 hours to do the museum, aquarium and grounds."
"Ameristar Casino Hotel Kansas City -- Kansas City, Missouri Large-Scale Casino Hotel","Missouri","Ameristar Casino Hotel Kansas City -- Kansas City, Missouri Large-Scale Casino Hotel","Ameristar Casino Hotel Kansas City is a large-scale hotel and casino located in Kansas City, Missouri. It is billed as the Midwestern entertainment hub that has something to offer everyone and with good reason. It features an extensive number of different options to ensure that guests have a satisfying stay that is filled with top-notch options including a large and extensive gaming floor, luxury hotel accommodations, live headline entertainment, 18 movie screens, a variety of restaurants, and a wealth of amenities including supervised child care. The gaming area at Ameristar Kansas City is not only large, but fairly extensive, including all the options a gamer could possibly want. Table game lovers will find more than 60 at their disposal that include blackjack, baccarat, craps, roulette, and all the popular variants of poker. Slot enthusiasts will find more than 3,000 slots and video poker machines that cover all the bases from tried-and-true classics to brand new favorites. High limit areas are available for both table games and slot areas as well. The gaming area also features one of the largest live poker rooms in the entire Kansas City area. As is the case with many popular large-scale hotel casinos, Ameristar Kansas City also features a wide array of entertainment options for its guests to enjoy in between trips to the gaming areas. Live concert, comedy and sports events take place frequently and are announced in advance via the venue's official website. A state-of-the-art Cineplex boasts 18 wall-to-wall screens, extra-wide aisles, ultra-comfortable seats, and all the hottest new movies. The hotel's Hi-Vi Arcade is the place to go for gamers and young people with over 60 of the latest video games ready and waiting, as well as classics like air hockey and a variety of redemption games. When it comes to dining, all the bases are well-covered from fine dining to casual and fun accommodations. Some of the most popular dining options include but are not limited to the following. The Great Plains Cattle Co. offers guests a variety of delicious options ranging from cedar plank salmon to succulent rib eye in a cozy setting enhanced by inviting Western dycor. Arthur Bryant's has been named the single best restaurant in the world'' by New Yorker Magazine and has been defining barbecue and serving upscale guests with discriminating tastes since the 1930's. Also available and much loved by guests of all walks of life are Pearl's Oyster Bar, the affordable and delicious Horizons Buffet, the unique and cozy Amerisports Brew Pub, and a large food court full of quick, cost-conscious meal options. Those that don't feel a vacation is complete until they've done a little shopping will find plenty of different retail venues at Ameristar Kansas City. Options are varied enough to suit visitors of all types and tastes, featuring everything from upscale designer clothing shops, to mid-level retail emporiums, to gift shops where souvenirs, t-shirts and more can be purchased to commemorate their visit. Accommodations for those looking to hold their business meetings, wedding, or group get-together at the casino are available as well. Those who choose to take advantage of this option will have access to a number of amenities including top-notch catering, flexible and spacious meeting areas, expert event planning staff, and access to all the latest audio-visual technology."
"Ameristar Casino St. Charles","Missouri","Ameristar Casino St. Charles - St. Charles, Missouri - Large-Scale Casino Hotel","Ameristar Casino St. Charles is a large-scale hotel casino located in St. Charles, Missouri. It is not only one of the very first casinos to open in the St. Louis area, but it has been a major leader when it comes to the gaming industry for years. Guests of Ameristar St. Louis can expect luxury accommodations and a wide variety of different options when it comes to entertainment including a large and comprehensive gaming area, access to live headline entertainment, a full-service spa, an indoor-outdoor pool, and a full range of choices when it comes to dining. The casino floor at Ameristar St. Charles covers a whopping 74,000 square foot area that features all of today's hottest gaming options. Table game enthusiasts will find all their favorites available including craps, blackjack, roulette, and a number of different poker variants. Those who prefer slots or video poker will find a selection of more than 3,000 different state-of-the-art machines ready and waiting for them that range from penny slots to high stakes slots. In fact, this is also considered to be one of the largest varieties of progressive slots in the Midwest area. Ameristar's gaming area also features a comfortable poker room as well. Entertainment options at the Ameristar are plentiful and varied. Headline concerts, comedy acts, and more are part of the mix according to a schedule that is easily accessed via the hotel's official website. However, there are many other options available to guests as well. The Bottleneck Blues Bar was once voted the #1 live music venue in the St. Louis area by AOL's City's Best Guide and is the place to go to catch class acts by some of the areas hottest local acts, as well as premier national acts. The Home Nightclub is an inviting, beautifully-decorated 17,500 square foot club divided into both a fast-paced nightclub and a low-key, relaxing lounge. The Hi-Vi Video Arcade is the perfect destination for gamers featuring all of the latest video games, as well as plenty of classic favorites. For those looking to spend an afternoon relaxing and being pampered, there is the 7,000 square foot ARA Resort Spa where a full range of treatments can be experienced including massage therapy, manicures, skin care treatments, and aromatherapy regimes. Also available are a sauna, a whirlpool, and a Swiss shower - all in a beautifully decorated setting designed to fully relax the body, mind, and spirit. The hotel pool area is an appealing alternative, featuring not only a huge indoor/outdoor swimming pool, but also a number of hot tubes and a fire pit as well. Dining at the Ameristar St. Charles covers all the bases from fine dining to cozy and casual. Grab a succulent prime rib or a bowl of gourmet pasta at Bugatti's Steak & Pasta. Have an authentic diner experience that includes comfort foods like milkshakes, burgers, and meatloaf at the Falcon Diner. Catch up on your favorite sport while you enjoy a bite at the Amerisports Bar & Grill. Also available and very popular among guests are Pearl's Oyster Bar, the King Cat Club, and the Landmark Buffet."
"Anheuser Busch in St. Louis, Missouri","Missouri","Anheuser Busch in St. Louis, Missouri","The Anheuser Busch Company in St. Louis, Missouri first opened in 1852, after Eberhard Anheuser purchased the financially ailing Bavarian Brewery; he named the company E. Anheuser and Company. Though he had no experience in the brewery business, his son-in-law Adolphus Busch was a business entrepreneur in his own right. Busch was a successful German-born businessman, who joined his father-in-law in business in 1860, and together they formed Anheuser Busch Company, which became a leading local brewery business. During the 1870's, Busch became the first brewer in America to use pasteurization, which allowed the brewed beer to be transported over a long distance. Busch also introduced artificial refrigeration, refrigerated railcars and ice-houses by the rail side. All of these technologies combined together to allow beer to be shipped all over America without spoiling. The grounds contain three buildings that have been designated historical landmarks; the Old School House, the Brew House and the Clydesdale Stables. The Old School House was where the children of August Busch were educated and once the building was no longer needed for school, Busch purchased the building and converted it into offices for the company. The Brew House has been expanded over the years and as of 2007, it has an average capacity to produce 15.8 million barrels, today the building serves as the heart of the brewery. The Clydesdale Stables were originally designed to be the private stables of August A. Busch, and is now home to the world famous Budweiser Clydesdale horses. Anheuser Busch continues to enjoy its top spot as the largest brewery in the United States. The brewery was designated a historical landmark in 1966 and contains some 189 separate structures spread out over an area of 142 acres, many of them done in the Romanesque red-brick style. In 2008, Anheuser Busch was named the number one most admired company in the United States and in the world. For guests who are interested in the history of an American brewing icon, there are brewery tours available at the St. Louis, Missouri World Headquarters. An informative guide will walk people through the heritage, history, state-of-the-art brewing equipment and architecture of the structure.  Guests can view the Beachwood Lager Cellar, Clydesdale Stable, the Brew House and Bevo Packaging Facility. At the completion of the tour, for guests over the age of 21, there is the Hospitality Room where product samples are offered. There are the traditional brands such as Budweiser, Bud Light and Busch offered but also seasonal and new brands to sample as well. Throughout the year, the St. Louis Tour Center also offers several exciting events such as the Clydesdale Camera Day and several Saturdays on the first any given month, the brewery hosts various activities and entertainment."
"Arrowhead Stadium","Missouri","Arrowhead Stadium - Kansas City MO - Football Kansas City Chiefs NFL","Occasionally referred to as the Red Sea, Arrowhead Stadium is part of Kansas City's Truman Sports Complex. Sharing the space with Kauffman Stadium, during game time there is no contest between the two. Known as one of the loudest stadiums in the National Football League due to the volume of the fans, Arrowhead is the current home of the Kansas City Chiefs. Constructed between 1968 and 1972, Arrowhead Stadium is located in Jackson County. It is an open air stadium, as roof and doming bonds continue to be rejected by area voters. Despite the harsh weather that plagues fans in the winter months of the season, the stadium has sold out for more than 17 consecutive seasons. Ice storms and freezing rain have delayed games, but it is not the weather that has earned the stadium Sport's Illustrated's title of Toughest Place to Play''. Once measured at an ear splitting 116 decibels, the maniacally loyal Chiefs fans cheer on their team at top volume. The result is that the Chiefs have the best at-home record of any team in the NFL. The stadium has its own band, the TD Pack Band, led by the DiPardo family, who provides live music in addition to the fan volume. For their contributions to the overall atmosphere and several customized team songs (ie, The Chiefs are on the Warpath''), Tony DiPardo was awarded a Superbowl ring along with the regular team members after the Chiefs victory at SuperBowl IV. Renovations in 2007 and 2008 are providing upgrades to the stadium. These renovations include luxury suites, a Chiefs Halls Of Honor and upgraded visual media equipment. The renovations also allow Arrowhead Stadium to continue to host the Big 12 Championship games and college Border Battle each year and provide a home to the Kansas City Wizards, the local soccer squad. With the renovations, the Chiefs have pledged to remain at Arrowhead through 2031. Comforted, fans will continue modifying the national anthem that is sung at the stadium. Loudly and proudly, they declare Arrowhead to be the  . . .land of the free, and the home of the CHIEFS''."
"Art and Entertainment District Grand Center in Saint Louis-St Louis MO-G rand Art Music Theater","Missouri","Art and Entertainment District Grand Center in Saint Louis-St Louis MO-G rand Art Music Theater","With recent revitalization efforts across the city bring new life to formerly blighted areas, the Art and Entertainment District Grand Center in Saint Louis is blossoming again. The area, known to locals simply as Grand Center, has been at the middle of a concentrated effort to expand homes for the arts in St. Louis. Each year has seen the completion of a new renovation or initiative, which all serve to expand the cultural capacities of Grand Center. The neighborhood is located just to the north of the St. Louis University campus and claims to have more theater seats in a more concentrated area than anywhere else in the region. More than 12,000 seats in 4 tight blocks have drawn more than 1.3 million visitors annually to check out performances and shows. That kind of foot traffic should warn visitors that it is not an undiscovered area and popular shows will need to be booked early to guarantee seats. Even with heavy competition for seats, there are more than 1500 cultural events in the district annually, meaning that everyone has the opportunity to find something that will suit them. Jazz clubs pay homage to the city's past reputation as a blues leader while new performing arts venues host visiting Broadway productions like Wicked and host touring acts stopping in St. Louis. Festivals of music and culture throughout the year bring huge crowds, and continued development projects ensure than more and more will be pulled to the area. The Medinah Temple makeover is the latest project, and the multi-use office and theater complex will join the Sheldon Concert Hall, The St. Louis Black Repertory Theater, and the Pulitzer Foundation for the Arts in the neighborhood as a meeting place and show destination. Parking can be tough, but public transportation provides many options for those wanting to check out the area during busy times."
"Bart Rockett Theatre","Missouri","Bart Rockett Theatre - Branson MO - Magic Illusion Comedy Bart Rockett","The Bart Rockett Theatre in Branson serves as the main staging platform for Bart Rockett, a magician and illusionist, and the Branson Brothers, a comedy and musical troupe. The theatre seats nearly 800 guests. It is within walking distance of the World's Largest Toy museum and has its own magic gift shop on site. While the theatre hosts both groups, the main attraction at the theatre is magician Bart Rockett. A lifetime entertainer, the Bart Rockett Theatre is his third dedicated venue. He had previously performed in Arkansas and Florida before moving to Branson shortly after marrying his assistant in 2003. He periodically appears on television and does guest appearances in New York and Las Vegas. The theatre was temporarily shut down in the fall of 2008 following an attack on its main performer. After doing a guest appearance in Las Vegas, Rockett was attacked and robbed at knifepoint. Brutally beaten during the attack, the theater was closed for several weeks until his hands and face had recovered. Fortunately, he recovered without losing any of his abilities. Designed to cater to families, the performances of both groups at the Bart Rockett theatre are highly interactive and audience friendly. Following in the tradition established by generations of performers, volunteers are regularly solicited from audience members for comedy sketches and positions as assistant'' to the magician. The audience is expected to be fairly interactive as a group as well, making the performances engaging for all ages. Rave reviews on Branson blogs ensure that the theatre sells out regularly in high season. It is best to get tickets in advance, especially for groups. Group discount and tour packages are available. Parents may want to monitor their children in the magic shop, lest they find themselves going home with everything under the sun - after the show enthusiasm for merchandise will be running wild in impressionable minds!"
"Bluegreen Wilderness Club at Big Cedar","Missouri","Bluegreen Wilderness Club at Big Cedar","Bluegreen Wilderness Club at Big Cedar is located at Estate Drive in Ridgedale near Branson, Missouri and is approximately 60 miles from Springfield-Branson National Airport. The 40-acre resort is situated on Table Rock Lake and offers various activities for its guests. Each cabin has vaulted ceilings, a fireplace, whirlpool bath and a 350-square-foot deck with gas grill, while lodge units feature wood-planked floors, spa-sized tubs and patios.  Families can have fun at the Lazy River, which is an 875-foot water feature complete with caves, rock grottoes, waterfall and a water slide that is open Memorial Day through Labor Day. There is also a kids' playground with a rock climbing wall. The 9,000-square-foot clubhouse houses a game room, owners' lounge, retail store, snack bar and activities desk. Guests here can also enjoy the amenities at the neighboring Big Cedar Lodge, where there is a fitness center, heated pools, hot tubs, a sauna and various relaxing treatments in the spa. Various watersports can be tried on Table Rock Lake such as fishing, boating and waterskiing, whilst the area is also ideal for hiking and horse riding. Dining options include a choice of four restaurants at the Big Cedar Lodge."
"Branson Creek Golf Course","Missouri","Branson Creek Golf Course, Hollister, Missouri - A Tom Fazio Championship Golf Course Set in the Southern Missouri Ozarks","According to many golf publications, the Branson Creek Golf Course isn't just the class of the Branson area, it's the class of Missouri. The course is the design of renowned golf course architect Tom Fazio, and plays through the hills and high plateaus of southern Missouri's Ozark Mountains. The 18-hole, par-71 championship layout plays to 7,036 yards from the back tees, with a USGA rating of 73.0 and a slope rating of 133 on Zoysia grass fairways. The course has been described as postcard ready,'' which is a tribute to the natural beauty of the area and the views, as the course plays along high, rocky ridges, hills covered by purple flowers, and down into plunging valleys. The course, which opened in 2000, also features the other elements expected of a mountain course, with lakes, ponds, mountain streams, rugged rock outcroppings, along with pine, cedar and dogwood trees. It's been said of the course that one beautiful hole flows to the next, and there's also a bit of a links-style'' feel to the course as well, as bunkering and mounding come into play on a number of holes. Some of the more noteworthy holes include Hole No. 2, which is the #1-handicap on the course. This par-4 plays to a lengthy 471 yards from the back tees, playing downhill into a tight landing area. Approach shots then take aim at a green guarded by high mounds and rocks on the right and a bunkered slope for any shots to the left. Another challenging hole is No. 5, which sports the name Heller High Water.'' This par-4 plays downhill to a lengthy 449 yards from the back tees, but only 369 from the Silver tees. This scenic hole provides a stunning view of the spacious fairway and the valley, as well as the green which is guarded by a lake. Hole No. 7 has been called one of the most demanding par-3s in the country.'' The hole plays downhill, but that only slightly offsets its length - 245 yards from the back tees and a respectable 195 from the forward men's tees. A large bunker guards the front-right of the green, with a lake at the rear. There aren't many golf courses where caves are visible, but Hole No. 17 is one of them. This short par-3 plays downhill to a green set against the backdrop of a rock ledge, where a cave was exposed during construction of the hole. The finishing hole is a replica of Pebble Beach's No. 18, making for a memorable end to the round. This par-5 is a dogleg left guarded by numerous bunkers and a sea of trees'' on the left for any golfer who tries to shortcut too much of the fairway. Since its opening, Branson Creek has drawn rave reviews. Golf Digest ranked it the Top Public Course in Missouri in 2001-2002, and also named the course one of the Top 10 New Upscale Public Courses in 2000. Golfweek magazine also named Branson Creek the #1 Public Course in Missouri in 2002. The course features a large practice facility, and a variety of instructional options are also available."
