Name,State,Title,Description
"Berkeley Pit","Montana","Berkeley Pit - Butte, MT - Former Open Pit Copper Mine","Berkeley Pit is a rather infamous tourist attraction located in Butte, Montana. It was originally the site of a copper mine owned and operated by Anaconda Copper, and years later by the Atlantic Richfield Company. The pit itself measures in at an astounding size of 7,000 feet long, 1,600 feet deep, and 5,600 feet wide. Within its first year of operation, an approximate 17,000 tons of ore were extracted from the pit per day. It was fully operational from the time it was first opened in 1955 until its official closure in 1982. At the time of its closure, the customary water pumps located at the bottom of the pit were removed subsequently. As a result, it wasn't long before the pit itself filled with an estimated 30 billion gallons of groundwater that seeped in from surrounding aquifers. However, this seepage would soon prove to be the root of a rather disturbing problem. The water within Berkeley Pit has been found to be extremely toxic as a result of its seepage through and absorption of some of the highly toxic metals and substances to be found within the surrounding soil. These highly dangerous and poisonous substances include zinc, cadmium, sulphuric acid, and arsenic. Furthermore, the dissolved oxygen within the water causes many of the natural minerals and metals within the surrounding rocks to break down, releasing dangerous acids as a result. The estimated pH level of the water in Berkeley Pit is about 2.5 making it more acidic than beer, coffee, vinegar and even acid rain. The water in the pit is even rumored to be responsible for the deaths of 342 snow geese that landed on it in 1995. Obviously, the presence of such a situation poses major concern for the safety of the surrounding environment, as well as a threat to the purity of the associated groundwater. If left completely to its own devices, it's possible for the toxic pit water to begin seeping into the groundwater supply with disastrous consequences. As a result, the pit has been on the receiving end of a fairly extensive effort to clean it up and get the toxicity problem under control once and for all and is today considered one of the largest Superfund'' sites in the country. One of the most recent developments on this front was the construction of a treatment plant on nearby Horseshoe Bend. The plant not only diverts and treats water originating from the Horseshoe Bend flow, but it is expected to be able to further combat the toxicity problems within the pit as a collective in the future as well. Currently, Berkeley Pit is open to the public from March to November as a popular tourist attraction. For a small admission fee, visitors are allowed access to a viewing platform located above the pit the better to observe the infamous toxic location in person. There is also a Berkeley Pit gift shop located on the premises for the convenience of visitors."
"Best Western Desert Inn","Montana","Best Western Desert Inn","The Best Western Desert Inn offers affordable accommodations in West Yellowstone, Montana. Guestrooms feature microwaves, refrigerators, in-room movie rental, premium cable television channels such as HBO, CNN and ESPN, ironing equipment, free local phone calls, air conditioning, large chairs, coffee makers and alarm clock radios. Hotel guests have access to a wide variety of onsite amenities including full complimentary breakfast with muffins, jam, bagels, cereal, scrambled eggs, sausage, bacon or ham, French toast, biscuits and gravy, tea, juice, bread, hot chocolate, yogurt and fruit. The hotel is completely smoke-free and features an indoor heated pool and spa area, a guest laundry facility, an elevator, interior corridors, a business center with printer, photo copy and fax service, free wireless Internet access in public areas an guestroom, RV hook-ups in the parking area, free parking for guests, an airport courtesy shuttle and rooms for physically challenged guests. The hotel is within walking distance of Yellowstone National Park. Other nearby attractions include Old Faithful, the Grizzly Wolf Discovery Center, Hebgen Lake, Big Sky Ski Area, the IMAX Theater and a variety of restaurants and shopping areas. There are plenty of nearby locations for hiking, biking, cross-country skiing, fly fishing, horseback riding and snowmobiling. "
"Big Sky Resort","Montana","Big Sky Resort - Gallatin County - Large Ski Resort 5,000 Acres Plus in Size","First opened for business in late 1973 and located in Gallatin County, Big Sky Resort is a well-known, privately owned and very popular Montana ski destination spanning an impressive total area of 5,000 acres. Big Sky Resort occupies 75% of the ski trails throughout the Lone Peak Pass region of the Rocky Mountains and invites visitors to come experience the biggest skiing in America''. It is also interconnected with the neighboring Moonlight Basin ski resort, allowing skiers to glide easily between the two along the various ski trails in the area and enjoy the benefits of both locations. In addition to skiing, visitors and guests of Big Sky Resort have the opportunity to participate in many other activities as well depending on the season. These include whitewater rafting, hiking, horseback riding, golf, tennis, fly fishing, and mountain biking. As a result, it has become more than simply a popular destination for winter vacationers and ski enthusiasts since it first open, but has also increased in profile as a popular summer vacation spot for nature lovers, hikers, and fisherman as well. Big Sky Resort was originally the brainchild of native Montanan, newsman Chet Huntley, but was purchased upon completion of its first three seasons by Boyne Resorts following Huntley's 1976 death from cancer. Since then, it has been steadily growing by leaps and bounds, becoming larger and more popular each and every season. In 2007, Big Sky's appeal in regards to extensive dining, shopping, and ski-through options increased as well with the opening of the upscale Village Center Complex. In addition to the quality of its skiing, Big Sky Resort is also famous for its lift, the Lone Peak Tram. Spanning the distance between its start point at the top of Lone Peak's triple chair lift all the way to the 11,166 foot high summit of Lone Mountain itself, the 7-minute tram ride treats skiers to bird's eye views of three different states, two beautiful national park vistas (including nearby Yellowstone), and the natural mountain landscape of the surrounding area. Resort facilities and activity itinerary at Big Sky were designed with a wide variety of different patrons in mind. Activities like kids' club activities, movie nights, games, rescue dog demonstrations, and marshmallow roasts are all child-friendly and popular with families, as well as included in the general price of admission to the resort. Extensive and eclectic shopping facilities, 32 restaurants and bars, live poker, and an appealing selection of night life activities are also available for adults and couples, insuring that there's always something to appeal to everyone. Big Sky Resort features over 680 different rooms, condos, suites, and cabins, most of which boast spectacular views of the surrounding mountains and area. The full-service Solace Spa is also a popular feature of Big Sky Resort - as are the steam rooms, heated pool, fitness center, and hot tubs - offering guests plenty of options when it comes to how to unwind after a long day on the slopes."
"C.M. Russell Museum","Montana","C.M. Russell Museum - Great Falls, MT - Fine Art Museum Featuring the Most Complete Collection of Russell Art in the World","The Charles Russell Museum is a fine art museum located in Great Falls, Montana that features the most comprehensive and complete collection of this legendary Montana artist's work in the world. C.M. Russell is renowned fine artist who dedicated his life to capturing the beauty and majesty of life in the West as it was during the 1800's and early 1900's. The museum's permanent collection alone consists of over 12,000 individual works of fine art and personal objects. The greater portion of these is encompassed by the Trigg Collection, a body of work considered to showcase the breadth and expanse of Russell's work to an exceptionally high degree. An entire suite of five corresponding galleries, collectively called The Art and Soul of the West, is part of the permanent collection and is devoted to Mr. Russell's work at various times of his life, introducing visitors to the artist one stage at a time. One of the five galleries is dedicated to the young version of C.M. Russell and showcases many examples of his early work, as well as rare sculptures, personal papers, and letters that offer visitors a personal look into the artist's early life. Other galleries document his first years in Montana and depict a myriad of sweeping cowboy, bison, and Native American images. Yet another of the five galleries, and one of the most popular in the entire museum, displays a collection of Russell's world-famous illustrated letters that he wrote to friends, family, and acquaintances. Also featured as part of the museum's extensive collection are works of art by many of Russell's most talented and well-respected contemporaries. These world- renowned artists include but are not limited to Winold Reiss, Olaf Wieghorst, O.C Seltzer, J.H. Sharp, and E.I. Couse. A comprehensive and popular collection of Browning Firearms pieces that focus on the history of firearm design as it developed through the ages is also on display, rounding out the museum's collection and historical significance as a whole quite nicely. The C.M. Russell Museum also features various changing exhibits as well which allows them to showcase a greater portion of their permanent collection at one time. Changing exhibits have at various times focused on such themes as closer looks at the American bison, special art collections featuring the lives of the American Blackfeet Indians, and various exhibitions featuring other renowned and talented artists associated with Montana. Also housed within the museum complex to round out the experience for patrons is C.M. Russell's former log cabin home and studio. It has been carefully restored and preserved to remain as it was in the 1900's when it served as home and workspace to Russell himself. It also contains many of Russell's personal objects and other props, the better to give viewers an authentic idea of what it would have looked like at the time. In addition to its extensive collection of Western art and artifacts, the C.M. Russell Museum is also known for the many community programs and workshops it offers for students, as well as the community at large. It is also open and available for rent for those interested in hosting their private events - including but not limited to weddings, gatherings, board meetings, and celebrations - in the awesome presence of fine local art."
"Cathedral of St. Helena","Montana","Cathedral of St. Helena - Helena, MT - Neo-Gothic Catholic Cathedral","Modeled after the famous Votive Church of the Sacred Heart in Vienna, Austria, the Cathedral of St. Helena was originally constructed during the turn of the century and Bishop John Carroll's episcopate. It is a perfect example of classic Geometric Neo-Gothic architecture. As such, it is revered by residents of Helena as a touch of the grandeur of Austrian past right there in the present in Montana. Its distinctive trademark double spires rise 230 feet above the level of the street and can clearly be seen throughout the local community, and the cathedral is still an operating place of Catholic worship. All visitors are welcome to visit the cathedral or attend services. The first Catholic services were held at the Cathedral of St. Helena in 1914 when the cathedral itself was first opened. However, it's important to note that the cathedral was not a finished building at that point in time. Completion of the cathedral didn't come about until 1924 when the German-crafted stained glass windows and finishing ornamentation were completed and installed. At one point, the cathedral also included a Catholic school which was operational from 1909 to 1969, but the school itself was recently demolished. The cathedral was severely damaged in the earthquake of 1935, but luckily was not left beyond repair. The fundamental structure was still very much intact, enabling the citizens of Helena to fully reconstruct it, preserving its historic significance and the beauty of its impressive classical architecture. At the time of its reconstruction, it was also equipped with earthquake-proofing reinforcement to prevent damage as the result of future quakes. The Cathedral of St. Helena is known as much for its opulent and impeccably artistic interior as it is for its impressive exterior. Visitors are instantly struck by its high, domed ceiling; hand-carved oak pews and woodwork; tall, stately pillars, and striking light fixtures crafted of hand-forged bronze work. The interior of the cathedral is further beautified by the presence of many statues hand-carved from pure Carrera marble and authentic gold leaf detailing throughout. However, one of the most famous features of the cathedral is its collection of beautifully crafted and intricate stained glass windows. They total 59 in number and were carefully created in Bavaria. Thirty-seven of the most popular and renowned chronicle the story of the church beginning with the fall of Adam and Eve in the Garden of Eden and continuing on through to various events of the early 1900's. The Cathedral of St. Helena is to this day lovingly maintained by its dedicated staff. This includes meticulous care, cleaning, and maintenance of the cathedral's famous stained glass windows the better to preserve their incredible beauty. The cathedral itself also is still re-renovated from time to time. The most recent round of renovations (taking place over 2002 and 2003) saw the addition of a gift shop, a baptistery on the ground level, and a social hall on its upper level, as well as restoration of the sanctuary. URL on City-Data: URL of Photograph:"
"Copper King Mansion","Montana","Copper King Mansion - Butte, MT - Historic Victorian Mansion Currently Operating as a Bed and Breakfast","The Copper King Mansion is an authentic, historically-significant Victorian mansion located in the beautiful city of Butte, Montana. It was originally home to one of Montana's famous three copper kings'', William Andrews Clark. Clark, along with his peers, is famous for contributing greatly to the development of industry in Montana as it is known today by way of his impressive ventures and success in regards to the copper business. By the year 1900, he had accumulated a staggering fortune in excess of an estimated $50,000,000 making him one of the wealthiest men in the world at the time. Building of the Copper King Mansions commenced in 1884 and finally finished in 1888, costing approximately a quarter of a million dollars in total. Today, the Copper King Mansion is occupied, owned, and run by Montana's own Cote family and has been for the past four generations. It is the only privately owned mansion that is open to the public. It is currently not only available for scheduled or summer tours, but it is also run as a bed and breakfast for guests seeking a unique, personal, and historic overnight experience. Proceeds from the tours, the overnight guests, and the occasional hosting of catered events are the mansion's sole source of funds. The Copper King Mansion is located smack in the middle of one of the country's most expansive historic landmark districts. It was also dubbed one of the most distinctive travel destinations in the country in 2002 by the National Trust for Historic Preservation. Over the years, the Cotes have taken great pains to keep the Copper King Mansion as historically accurate and close to its original state as possible. Much of the original wood workmanship and decorations are still in place with few exceptions. What was not originally a part of the house (in regards to furnishing and so forth) has been chosen for its similarity and historical accuracy, ffering visitors a look at the mansion that is very close to the way it would have been when inhabited by the famous copper king and his family. The woodwork - including the staircase, the floors, the fireplace, and the book shelves - feature an array of nine different woods and were all hand-carved and crafted by woodworkers of the period. The original chandeliers are all also in place with only two exceptions. One of the major decorative highlights to be seen within the mansion is the stunning collection of ceiling frescos Williams commissioned from artists of the time. Each room features a completely different one and to many visitors, they are the Copper King Mansion's crowning glory. The Copper King Mansion is also rumored by some to be haunted, adding to its appeal as a tourist destination for paranormal enthusiasts and ghost hunters. Although the Cotes do not personally believe this to be so, quite a few guests have reported witnessing or sensing paranormal manifestations. These include a coldness'' or chilly entity that resides in the game room; a cheerful, playful presence in both chapel and the ballroom; and hazy fog witnessed in the basement and also the ground floor hallway."
"Exploration Works","Montana","Exploration Works - Helena, MT - Hands-On, Interactive Museum","First opened to the public in November of 2007 and modeled after similar museums such as the famous Exploratorium in San Francisco, the Exploration Works museum is an hands-on, interactive science museum located in Helena, Montana. In its first year alone, it welcomed over 41,000 new visitors eager to participate in the unique body of learning and experience it offers. The museum facility itself, in tandem with its extensive network of enrichment programs, aims to spark a lifelong interest in science and all its many branches within the community at large. Exploration Works was originally developed by Community Works Inc. in order to create a local learning and gathering facility for the local community and out-of-town visitors alike. It was part of the Museum Without Walls'' program that was first developed in the year 2000 and is supported by an incredible collective effort composed of countless volunteer hours, grants, private donations, and generous contributions by way of local businesses. The subject matter and body of knowledge that Exploration Works covers is quite diverse and includes science, technology, culture, biology, humanities, and social studies. The unique interactive interface is designed to spark enthusiasm about the inner workings of science and inspire children (and adults as well) to wonder more about the world around them, ask questions, and strive to find the answers to those questions both through interactive experience and knowledge seeking. The center of the learning experience offered by Exploration Works is the main floor area. This area usually features a new key exhibit every couple of months, the better to appeal to repeat and local visitors as well as new ones. Each exhibit includes several attractions, activities, and demonstrations that revolve around one aspect or another of the scientific world. Past exhibits have included The Science of Invention'', Flip It, Fold It, Figure It Out'', Explore the Air'', and The Science of Weather''. Each of these unique theme exhibits includes exciting and innovative elements that invite visitors to learn more about the subject at hand through hands-on experiences that include such activities as games, interactive demonstrations, and simulated experiences. In addition to the ever-changing main floor exhibits, Exploration Works features many other elements as well. These include a gift shop that offers unique gifts to encourage a further interest in learning, a classroom section, and a permanent exhibit geared toward young children under 5 years of age and called Little Sky Country. (Little Sky Country features an extensive play facility as well as comfortable areas for adults and caregivers to visit with one another and watch their children.) Exploration Works is also active when it comes to providing a variety of different educational programs for the youth community in the area. These include but are not limited to summer camps, after-school programs, and field trips. There are also plenty of youth drop-in programs available to interested parties, as well as interactive workshops that cater to the amusement and education of adults in addition to young people."
"Fairmont Hot Springs Resort","Montana","Fairmont Hot Springs Resort","Fairmont Hot Springs Resort provides luxury to their guests through hot springs pools and other nearby amenities. The hotel is located in Anaconda, Montana close to Yellowstone National Park and Glacier National Park. As a full service resort the hotel offers as many amenities as possible, including hiking, biking, skiing, and other recreational activities right out the front door of the hotel.  There are 153 rooms at the hotel that accommodate 2 to 8 people. Guests also have 24 hour access to the hot springs pools. Each of the guest rooms have comfortable modern décor, with flat screen TVs, telephones, business areas, seating space, en suite baths, hair dryers, bathrobes, irons, ironing boards, and business services. The rooms are smoke free and have high speed internet connections. As part of the Fairmont Hot Springs Resort there is an 18-hole golf course with a par 72. They also have waterslides, tennis courts, a children's playground, lawn games, wildlife zoo, volleyball, basketball, and other onsite activities. Dining is possible at the Mile High Dining Room or Springwater Café. Dress is casual for both restaurants offering American cuisine. There is also Whiskey Joe's Lounge for music, dancing, video gaming, and beverages."
"Going-To-The-Sun Road - Glacier National Park -Main Highway Through Glacier National Park","Montana","Going-To-The-Sun Road - Glacier National Park -Main Highway Through Glacier National Park","Historic Going-to-the-Sun Road is the 52-mile main parkway through Montana's beautiful Glacier National Park, bisecting it from east to west and spanning the length of the entire park. It is, in fact, the only road that does so. Encompassing two lanes and carving a narrow, winding, snakelike path throughout the mountains, cedar forests, and valleys of the park, a scenic drive along Going-to-the-Sun Road is considered to be one of the highlights of visiting the area. Going-to-the-Sun Road was completed in the year 1932 and is the only American highway to be officially designated both a Historic Civil Engineering Landmark and a National Historic Landmark, setting it apart from all other roads of its type. It was also one of the first roads ever specifically built to cater to tourists traveling the countryside via automobile. As a nod to the era in which it was finished, a group of vintage tour busses was refurbished and restored in 2001 in order to offer sightseeing tours of the scenery along the road in authentic 1930's vehicles. Whether you opt to take the tour or drive it in your own vehicle, the road itself is peppered with turnouts and scenic stopping points to allow tourists and visitors to better take in the many spectacular vistas to be found along the way at their leisure. Going-to-the-Sun Road derives its name from the Going to the Sun Mountain, which is the key element of the scenery beyond the point where the road crosses the Continental Divide at Logan Pass. According to a local legend, the image of a Native American solar deity by the name of Sour Spirit can be seen on the face of the mountain itself, making it a popular sight for tourists to watch for as they pass by. Sour Spirit is said to have descended to the Earth to teach the Blackfoot Indians the fine art of hunting and then left his image there on the mountain to commemorate the event before returning home to the sun. In addition to the mountain from which it derives its name, Going-to-the-Sun Road also offers spectacular views of the full range of beautiful natural terrains to be found within Glacier National Park. A full drive along the entire road will provide an amazing natural showcase that includes cedar forests, glacial lakes, and alpine tundra vistas in addition to mountains and valleys. It passes several regional landmarks and points of interest along the way including but not limited to St. Mary Lake, Lake McDonald, and Heaven's Peak. Tourists are encouraged to travel the road in both directions to get the full effect of the landscape, as the view differs greatly depending upon the direction in which one is traveling. The beauty of the landscape seen from Going-to-the-Sun Road can also be seen in several major feature films. For instance, it can be seen in The Shining as the road up which the Torrances travel to get to the Overlook Hotel. It is also seen momentarily in Forrest Gump during Forrest's famous cross-country jog."
"Grouse Mountain Lodge","Montana","Grouse Mountain Lodge","Recently acquired by Glacier Park, Inc., Grouse Mountain Lodge is a four-season resort with 145 spacious guest rooms and suites just 25 miles from Glacier National Park. The area offers snow skiing at nearby Whitefish Mountain Resort, as well as opportunities for golf, hiking, fishing, and all kinds of other outdoor activities in Big Sky Country.  Standard rooms and Golf Course-Nordic View rooms come with either one king bed or two queens, a full bath, and a double vanity. Corner Suites have large windows on two sides, a sitting area with a sleeper sofa, a king bed, and a vaulted ceiling. Lofts are also available, capable of accommodating up to four guests in their bi-level layouts that include a wet bar with a refrigerator, sink, and microwave, plus a separate bathroom. On-site facilities range from an indoor swimming pool and two outdoor spas open year round to ample meeting and event space. There is a fitness center open for guest use, as are the activity planning services of the lobby-based Montana Adventure Company. For food and beverages, three options are provided on the property: full menu service at The Grill, outdoor dining at The Deck & Patio, and an extensive wine list at The Wine Room. Grouse Mountain Lodge is located at 2 Fairway Drive, Whitefish, Montana 59937."
