Name,State,Title,Description
"Agate Fossil Beds National Monument in Nebraska a Fascinating Place to Explore","Nebraska","Agate Fossil Beds National Monument in Nebraska a Fascinating Place to Explore","	Located near the town of Harrison in northwestern Nebraska, Agate Fossil Beds National Monument was authorized as such in 1965 but was not officially declared a national monument until more than 30 years later in 1997. Maintained by the National Park Service, this valley of the Niobrara River is best known for its vast collection of fossils, particularly those of Miocene mammals that roamed the Earth as much as 20 million years ago. Indeed, Agate Fossil Beds National Monument is a world-renowned archaeological site and experts from the world over have come here to study the remains of such ancient animals as the Menoceras, a small rhinoceros; Miohippus, predecessor of the modern horse; Stenomylus, a camelid not unlike the South American Vicuna; Amphicyon, a bear dog; and Palaeocaster, an ancient land beaver. History shows that the original inhabitants of this land, the Lakota Sioux tribe, knew about the ancient bones, but modern scientists and archaeologists rediscovered them beginning in the 1880s. Visitors may take the Fossil Hills Trail to Carnegie and University Hills were the bones were once quarried and/or may visit various archaeological exhibits at Agate Fossil Beds National Monument's expansive Visitor Center. Both Fossil Hills Trail and Daemonelix Trail are easy trails to traverse and can be enjoyed by most everyone who can tolerate a vigorous walk. Fossil Hills is a 2.5-mile loop that crosses the Niobrara River wetlands and loops the bone bed. A one-mile side trail accessible off the Fossil Hills Trail takes visitors to the homestead of Harold Cook, used by scientists as they were sorting bones. Daemonelix Trail is a one-mile loop that allows visitors to cross ancient sand dunes and view the petrified homes of ancient land beavers who fashioned spiraled burrows. The top of the trail provides an excellent view of the property. Part of the land of which this 3,000-acre national monument sits was once the property of James H. Cook and his wife Kate. Cook's Agate Springs Ranch also became an important gathering place for Chief Red Cloud and other members of the Oglala Lakota Sioux Indian people. Here there was a sharing of cultures between Red Cloud and Cook's family and visitors can see the fruits of that relationship in an impressive display of American Indian artifacts that the Sioux gave to Cook and his wife from the 1880s through the early 1900s. Photos of Red Cloud, the most photographed 19th century American Indian, and Cook are also on display. The Visitor Center also offers a 12-minute film on the history of the Agate Fossil Beds National Monument, which provides a good introduction to the site. There's also a bookstore/gift shop on the premises. Agate Fossil Beds is in a very remote area of Nebraska and no camping facilities are located onsite. A picnic area is available near the Visitor Centers as are vending machines. Limited other amenities, such as gas stations, restaurants, and stores, are available about 20 miles from the park."
"Antelope Park","Nebraska","Antelope Park - Lincoln, Nebraska - Park Featuring Many Visitor Attractions","Antelope Park is located 23rd and North to 33rd & Sheridan Boulevard in Lincoln, Nebraska. It is a 143 acre park housing many visitor attractions and is open seven days a week from 6am to midnight. Antelope Park is nestled a few miles from downtown Lincoln and here visitors can undertake numerous recreational activities, relax or visit an assortment of attractions. Located within the park is Hamann Rose Garden, which features many varieties of floribundas, grandifloras and hybrid tea roses as well as All-America Rose Selection (AARS) award-winning roses. The gardens are free to enter and open daily from 6am to 11pm. As well as roses there are other plants and shrubs, a new pavilion and climbing rose exhibit, a fountain with a sculptured centerpiece and accessible walkways. Nearby visitors will also find the Sunken Gardens, which is listed as one of the top 300 gardens to visit in the United States and Canada.This is a 1.5 acre site located on 27th and Capitol Parkway and is open daily from 6am to 11pm with admission free. The main features of the garden include the serene Healing Garden, the Perennial Garden filled with hostas, viburnum and hydrangea and the Annual Garden with thousands of plants added each year by enthusiastic volunteers. Also featured at the park is Lincoln Children's Zoo, which is open from 10am to 5pm daily between April15th and October 15th. The zoo is home to more than exotic 300 animals and surrounded by botanical gardens with 400 species of plants. The nine acre site holds various mammals, reptiles, birds, insects and arachnids from around the world and offers visitors the opportunity to learn how to feed and look after animals. There are plenty of other things for children to enjoy at the park including an outdoor playground with climbing frames, slides and other facilities. For the colder or wet days there is a large indoor play structure designed for kids at least three years old or less than four feet tall with playground equipment, indoor track complete with kiddie vehicles and a snack area, whilst a separate toddler area for children under three years of age is also available. Sports enthusiasts are catered for here as well with a ball diamond, basketball court, a golf course and tennis courts as well as a hiker biker trail. Visitors looking for a place to eat will find a number of restaurants relatively close to the park such as Piezanos in South Street, Nguyenn Pho a Vietnamese restaurant in North 27th Street and Imperial Palace in 27th and Vine. There are also several hotels in the area for anyone looking for an overnight or extended stay with The Cornhusker- a Marriott Hotel, Embassy Suites and Holiday Inn all within three kilometers of Antelope Park. Visitors may also like to visit the University of Nebraska State Museum, which is close to the park and has many natural history exhibits as well as a planetarium."
"Arbor Lodge State Historical Park","Nebraska","Arbor Lodge State Historical Park - Nebraska City, Nebraska - State Park and Mansion","Arbor Lodge State Historical Park is located at 2nd Avenue in Nebraska City, Nebraska. The park grounds are open all year round from dawn to dusk and the mansion is open from late April to late October, although between Thanksgiving and Christmas the mansion is again open to visitors to show how it is festively decorated as part of a 12 rooms of Christmas celebration. A current Nebraska Park Entry Permit is required for vehicles in the park. The park is 72 acres of wooded rolling hills featuring 250 varieties of trees and shrubs, an Italian terraced garden, a whispering bench and a tree trail. The tree trail is approximately one and a half miles long and runs through the original arboretum area planted by the Morton family, who owned the estate from when it was built in the 19th century. Trees are labeled for ease of identification as visitors walk along the wood-chipped path and rest on the cool shaded benches. The 52-room Arbor Lodge mansion was the home of J. Sterling Morton, who amongst other things was the U.S Secretary of Agriculture and was the founder of Arbor Day, which was made a legal holiday by the Nebraska Legislature in 1885 and is now celebrated in every state and 12 other countries. Built in 1855 as a four-room frame house the mansion has increased in size over time. Visitors will be able to see the authentic furnishings in the rooms, and there are displays which depict how Morton and his family lived and worked. The carriage house was built in 1901 to house the Morton's coaches, carriages and horses and still stands today for visitors to view. Displayed here are a Stanhope phaeton, a Vail phaeton, a rockaway, a sidebar runabout, the traditional surrey, and a Brougham used by President Grover Cleveland. A short stroll through the grounds takes visitors to a formal rose garden and arboretum, and here they can also take a picnic. The Italian terraced garden features a curved wall guiding people to the rose garden, where they will also see a sundial and pergola. In the east part of the park is Monument Square with a bronze statue of J. Sterling Morton erected in 1905 and dedicated by President Cleveland, which stands behind a smaller statue of the Greek goddess Daphne. There is a log cabin situated close to the statues, which was built in 1890 as a memorial to the old settlers, whilst Pine Grove provides a cool shady area for visitors and is carpeted with pine needles. Anyone looking to stay and/or dine in or around the area will find several hotels and restaurants nearby. Accommodation includes Whispering Pines Bed and Breakfast, Arbor Day Farm Lied Conference Center, Lied Lodge & Conference Center and Days Inn all within a mile and half of the park. A couple of dining options are open less than a mile away such as The Pantry of Chris's Cuisine and Lil' Dickies."
"ArborLinks Golf Club, Nebraska City, Nebraska - an Arnold Palmer Signature Golf Course, and One of the Best Courses in Nebraska","Nebraska","ArborLinks Golf Club, Nebraska City, Nebraska - an Arnold Palmer Signature Golf Course, and One of the Best Courses in Nebraska","ArborLinks Golf Club is an Arnold Palmer Signature course located just outside of Nebraska City on the wooded hills and old cornfields of Arbor Day Farm. The course makes use of the natural character of the landscape, which includes hills, natural forest and meandering streams, as the basis for its design. The course, which opened in 2002, features a links-style layout with wide-open, rolling fairways, fast, undulating greens, and holes defined and bordered by native grasses. The course also has an old-world'' look and feel, with bunkers and other hazards sculpted toward that end. The 18-hole, par-72 course plays to 7,080 yards from the tips, with four sets of tees on each hole to accommodate various handicaps. The course takes an environmentally-friendly approach in both its design and maintenance, and even the holes sport names designed to remind golfers of the importance of the environment. Some of the most noteworthy holes include Hole No. 3, a classic example of a links-style design. Plum Thicket,'' as it's named, is a short hole, playing to only 145 yards, but the challenge comes in hitting a long, narrow green that's slightly elevated and features sloping sides guarded by large, plunging, oddly-shaped bunkers. Baldeypress Bay'' is the No. 7 hole, a par-4 that plays up to 413 yards. The challenge on this hole is hitting a narrow, sloping fairway that's guarded by a long water hazard that runs along the left. Approach shots must then find a narrow, angled green guarded by more bunkers. Planetree Place'' is the No. 12 hole, a curving dogleg right par-4 that plays up to 414 yards and plays along the largest waste bunker on the course. Approach shots must contend with another green guarded by an expansive bunker. Cottonwood Creek'' is the finishing hole on the course, a par-4 that plays up to 426 yards from the back tees. From the tee, golfers shouldn't have too much trouble finding the fairway landing area, but the approach shot to the green calls for a carry over the creek gully, which is filled with trees and tall grasses. The green is similar to others on the course - long and narrow, with hills and bunkers on the left and a down slope and bunkers on the right. Since its opening in 2002, ArborLinks has received a number of honors and awards. Golf Digest named the course a Top 10 Facility in the State of Nebraska in 2008, and one of the Top 10 Best New Affordable Public Courses in America in 2002. Practice facilities at ArborLinks include a driving range with grass teeing area and a short-game practice area. The club also features a clubhouse with dining and lodging available."
"Ashfall Fossil Beds State Historical Park","Nebraska","Ashfall Fossil Beds State Historical Park - Royal, Nebraska - Park and Museum Featuring Skeletons and Fossils","Ashfall Fossil Beds State Historical Park is situated 6 miles north of U.S. Highway 20 between Royal and Orchard in Nebraska. It also stands on 360 acres of rugged rangeland in the scenic Verdigre Creek valley and was designated as a National Natural Landmark in Antelope County in 1986, the first for 18 years. Openings hours vary throughout the year so it is probably advisable for visitors to check before heading to this historic park. This is Nebraska's newest state park having opened its gates in 1991 and is a joint project of the University of Nebraska State Museum and the Nebraska Game and Parks Commission. At the park many skeletons of prehistoric animals have been found resting in volcanic ash underneath the rolling farmlands of northeastern Nebraska. Museum crews have been excavating well preserved fossil rhinos, horses, camels and birds, which in some cases still have bones joined together rather than just individual pieces. Visitors can follow some of the nature trails, which have been developed to improve the understanding of the area geology, as well as the plants and wildlife of today and in the past. Visitors are prohibited from collecting fossils and other specimens found on the park grounds to ensure the natural history of the area is maintained and not lost forever. The Nebraska Game and Parks Foundation purchased the land in 1986 to ensure the preservation of Ashfall, whilst the Burlington Northern Foundation supplied a grant for construction of facilities at the park. Interpretive displays and the fossil preparation laboratory enable visitors to ask the paleontologists about their work. Here there are regular educational programs presented by the experts, with school and tour groups welcome to visit Ashfall between the start of April and the middle of October. The facilities at the park are wheelchair accessible. The main attraction at the park is the 17,500 square foot Hubbard Rhino Barn, which opened in 2009 as a replacement for a smaller version. The barn holds many of the skeletons at the park, and was given its name because the most common animal located at the fossil site has been the barrel-bodied rhinoceros. It is also named after the Hubbard family of Omaha, who through their Foundation donated a $1.2 million gift to the University of Nebraska Foundation. Over 200 fossil skeletons from 12 species of Clarendonian Land Mammal Age have been discovered at Ashfall so far, and 12 of the 17 species of vertebrates found amongst the ash are mammals. Finds so far include five species of horse, three camel species, one rhino and a saber-toothed deer. Other discoveries have included a bone crushing dog, a turtle and three species of bird. Visitors to this historic site have left favorable reviews of their trip here. Many were surprised at what they found or unaware that these creatures lived in the United States. Generally the comments were that this is a fascinating place to visit if you have any interest in fossils and natural history."
"Borsheim's","Nebraska","Borsheim's - Omaha, NE - Famous jewelry store","Borsheim's is a famous jewelry store located in Omaha, Nebraska. It stocks fine jewelry from all over the world and is known for its great selection of wares and fantastic prices. Borsheim's Fine Jewelry was originally founded in 1870 by Louis Borsheim, and since then has grown to be one of the largest independent jewelry stores in the nation. In 1947 it was sold to Louis Friedman and his son, and luckily they chose to keep the name of the jewelers. By 1986 it moved to a larger store by taking up the anchor position in Regency Court Mall, and in 1989 it became part of famous holding company Berkshire Hathaway. Today, Borsheim's is run by Susan M Jacques. The signature store covers some 62,500 sq ft, largely thanks to its remodeling in 2006 which saw it have a private luxury salon area, an expanded engagement area, a watch department and a gift gallery. It's one of the largest jewelry stores in the US not only in terms of size, but also in terms of the amount of inventory it has. It stocks over 100,000 pieces and serves clientele in over 50 states and 6 continents, truly making it an internationally renowned brand. The store has something for everyone, and shoppers can't fail to be impressed by the huge selection of jewels and trinkets on display. Stepping into the store will present visitors with case after case of sparkling jewelry and gifts, and with separate sections for certain items there's bound to be something that appeals no matter what you're looking for. The Borsheim's brand covers only one store, but uses this advantage to pass lower costs onto customers. Warren Buffet, the renowned investor and owner of Berkshire Hathaway, prides himself on being able to offer stunning jewelry at some 15-20% less than other stores thanks to its low-cost structure, high volume and one-store outfit. The store offers a stunning selection of jewelry, with an especially thorough selection of diamonds and engagement rings. People even have the option to design and customize their own ring to make it exactly what they're looking for. The store is open throughout the year, only being closed on major public holidays. Opening times are 10am until 8pm on Mondays and Thursdays, 10am to 6pm on Tuesdays, Wednesdays and Fridays and from 10am until 5:30pm on Saturdays. Borsheim's is a great jewelry store and has a fantastic selection of jewels, gifts, china, watches, in fact anything that you could be looking for. There's sure to be the perfect gift no matter what the occasion is, and it's got some of the best prices around. Make sure to visit Borsheim's whenever you're in the area and see what all the fuss is about."
"Carol Hotel Omaha","Nebraska","Carol Hotel Omaha - Omaha, NE - Popular hotel","The Carol Hotel Omaha is a popular hotel located in southwest Omaha, Nebraska. The hotel has something to appeal to all guests whether they're traveling for business or pleasure, and with all the facilities necessary for a great stay guests will want to return again and again. All guest rooms at the hotel are comfortably furnished and come with all the amenities required for a relaxing stay. They come complete with a multi-line phone with voicemail, tea and coffee making facilities, cable TV, hairdryer, iron and ironing board and a complimentary daily newspaper. Free wireless Internet access is provided in all rooms and a housekeeping service keeps everything comfortable and clean, and some larger rooms even come with a refrigerator and microwave. Other facilities at the hotel include an indoor pool and spa tub, a fitness center with all the latest equipment, and a complimentary hot breakfast buffet every day. Business travelers are well catered to with a business center, copy and fax services and plenty of meeting room options that can accommodate up to 250 people, perfect for conferences, board meetings or conventions of any kind. The meeting spaces can also be used for social functions and events, with banquets, parties and weddings all being accommodated. They even offer complete meeting packages with all the details being covered, and events staff are always on hand to help plan the perfect event. In terms of food options, as well as the breakfast buffet the hotel also has an on-site restaurant, the Nebraska Steak and Grill Restaurant. This offers a great selection of menu items throughout the day from full blown meals to lighter options and snacks. And, being ideally located in the heart of southwest Omaha means that a wealth of other restaurant and food options are on hand just a few minutes away, perfect for all tastes. The hotel is ideally located to enjoy everything that Omaha has to offer. It's nearby to plenty of Omaha's best attractions including the Durham Western Heritage Museum, the Joslyn Art Museum, the Strategic Air & Space Museum, The Omaha Children's Museum and the Lauritzen Gardens, Omaha's Botanical Center to name but a few. The hotel is easily accessible from both the Interstate 80 and Interstate 680 making it easy to get to from anywhere in the area and beyond, and is perfect for locals and visitors alike. The hotel rates are of particularly good value for the area and the small but comfortable rooms offer the perfect place to relax after a day of exploring. There are plenty of parking spaces and great public transport links, ideal for however people need to get there. The Carol Hotel Omaha has something for everyone and has all the facilities necessary to make your stay a pleasant and enjoyable one. It's ideally located for guests to enjoy everything that the area has to offer, and would be well worth considering for a good value break."
"Chimney Rock National Historic Site","Nebraska","Chimney Rock National Historic Site - Bayard, Nebraska - Geological Formation","Chimney Rock National Historic Site is a geological formation and famous landmark located one and a half miles south of Highway 92 on Chimney Rock Road in Bayard, Nebraska. It is open daily from 9am to 5pm for a small admission fee, although children accompanied by adults can enter for free, as will Nebraska State Historical Society members. The attraction remains closed on all state holidays except Memorial Day, Independence Day and Labor Day. The rock towers nearly 300 feet high above the surrounding North Platte River valley and is 4,226 feet above sea level. The unusual rock formation is the most noted on the Oregon Trail, and has come to symbolize the great voluntary migration with colonies moving in huge droves from the eastern states. In the middle of the 19th century the rock served as a landmark along the Oregon, California and Mormon Trails as it is visible for many miles along what is now U.S Route 26. The first recorded mention of Chimney Rock was in 1827 by Joshua Pilcher, who had traveled along the Platte River valley to the Salt Lake rendezvous of the Rocky Mountain fur trappers. Now the rock is a designated National Historic Site and is administered by the National Park Service and the Nebraska State Historical Society. The rock is featured on a Nebraska State Quarter released in 2006, which depicts the migration west via Chimney Rock. The Visitor Center features numerous museum exhibits that explain the westward migration of the 19th century as well as the memories of Chimney Rock of the people who traveled the trails west. Here visitors can try hands-on activities such as load the wagon,'' whilst there is also a video presentation to explain the story of the great migration West in greater detail. Original maps made from Captain John C. Fremont's 1842-43 exploration of the Oregon Trail can be found here, whilst several books on western and trail history are available for purchase at the gift shop located within the visitor center. The Load the Wagon feature at the visitor center is essentially a children's activity enabling them to decide what to take on their trip, but if they overload the wagon a red light will come on. Every now and then throughout the year various events and presentations will be staged at the visitor center. Group tours can be arranged throughout the year with special rates available, although visitors are advised to call ahead to make a reservation for their party. Past visitors to this site have given good reviews stating that it is a spectacular view, although the rock can be seen from many different places. Courthouse Rock and Jail Rock along the Oregon Trail in nearby Bridgeport are also recommended to tourists. Due to the fairly remote nature of this tourist attraction there are not too many top rated restaurants nearby, but a Mexican establishment El Charrito Restaurant & Lounge and Whiskey Creek Steakhouse are both about 22 miles away in Scottsbluff."
"Doubletree Guest Suites Omaha","Nebraska","Doubletree Guest Suites Omaha - Omaha, NE - Upscale suite hotel","The Doubletree Guest Suites Omaha is a suite hotel located in Omaha, Nebraska. It's newly renovated to offer even more to guests and is ideally located close to downtown Omaha, perfect for guests to enjoy everything that the area has to offer. All two-room suites in the hotel are spacious and offer guests all the creature comforts of home, as well as a few added extras. Each suite has a separate sleeping and living area as well as a kitchenette and luxury bathroom complete with toiletries, and with approximately 500 sq ft of space there's enough room for the whole family to relax in complete comfort. Amenities in the suites include a wet bar, full size refrigerator, coffee maker, microwave, two cable TVs with pay movies, a sofa bed, work station and a balcony offering great views of the city. Guests can choose between smoking and non-smoking rooms, and wireless Internet access is available throughout, perfect for business travelers. There are a number of other facilities at the hotel, including a state of the art fitness center, indoor pool, a whirlpool spa, laundry and valet service, gift shop, baggage storage, on-site convenience store and a news stand. Business travelers will be pleasantly surprised by the extra services on offer which include a business center, meeting rooms and printing, fax and copying services. Dining options at the hotel include Cedar Street Grill, an American-style restaurant that's open for breakfast and dinner every day with a great selection of menu options. Room service is also available for a more intimate dining experience, and there's also a comfortable lounge area offering guests the chance to relax and unwind with a drink or two. For even more dining options, the hotel is lucky enough to be close to a whole range of restaurants within the vicinity offering a great selection for all guests. The hotel is in a great location and is close to all the entertainment options and attractions that downtown Omaha has to offer. It's just 30 minutes from the nearest airport, Eppley Airfield, making it easy to get to from further afield, and the public transport links and complimentary parking spaces make travelling from closer to home easier as well. Check in time is 3pm and check out is 12pm, and small pets are even allowed for a non-refundable fee of $50. Family travelers will like the extra services on offer as well, with children's activities, cribs, high chairs, playpens and a children's menu all being available, and family packages can even be arranged offering a great value stay for the whole family. The Doubletree Guest Suites Omaha is a great hotel for travelers of all kinds, and with all the creature comforts of home in such spacious suites means that guests will have the perfect place to relax after a day of exploring. The hotel enjoys a great location and has all the facilities and amenities necessary, so should definitely be considered for any vacation to Omaha."
"Doubletree Hotel Omaha Downtown","Nebraska","Doubletree Hotel Omaha Downtown - Omaha, NE - Downtown hotel","The Doubletree Hotel Omaha Downtown is a popular hotel located in Omaha, Nebraska. It enjoys a central location in the heart of the downtown district and is close to all of the local attractions. The hotel is perfect for travelers of all kinds but caters particularly well to business travelers thanks to the range of extra services on offer. The guest rooms and suites at the hotel are all tastefully decorated and have all the amenities necessary to make it a comfortable stay. The guest rooms come with either a king size or two queen size beds, as well as a sitting chair with ottoman, a work desk and ergonomic chair, hair dryer, coffee maker, iron and ironing board, cable TV with pay movies, a roll-in shower, complimentary toiletries and two telephones with voice mail. Additional amenities in suites include a separate living and sleeping area, a large bathroom with Jacuzzi bath, upgraded toiletries and walk-in shower, a wet bar and refrigerator. All rooms and suites are air conditioned and completely non-smoking to make the environment as comfortable as possible. High speed Internet access is also available in all rooms and a daily housekeeping service caters to guests every need. Additional facilities at the hotel include a pool and fitness room, gift shop, clothes store, laundry and valet service, luggage holding area and a concierge desk. Business travelers have even more to choose from with a business center, modem, Notary Public, audio/visual equipment rental, a business phone service and fax, copying and printing services all being available. There are also plenty of meeting rooms to suit all types of function, and video conferencing can even be provided so out-of-town delegates can be involved too. Dining options on offer at the hotel include Signatures, open throughout the day for breakfast, lunch and dinner. It's open from 6:30am every morning, and for those wanting a more intimate dining experience room service is also available. There's even a lounge for a more relaxed atmosphere, and complimentary cookies are provided on arrival to give that extra special touch. The hotel is ideally located to get to from anywhere in the area, and with so many attractions in the vicinity there's something to appeal to all travelers. There are plenty of parking spaces available and, for those traveling from further afield, a complimentary shuttle service is provided to and from the hotel. There are also excellent public transport links and being in such a central location makes it easy to get to from the local area and beyond. Check in time is 3pm and check out is 12pm, giving guests plenty of time to plan what they're doing next. The Doubletree Hotel Omaha Downtown is the perfect hotel option for all travelers no matter what they're looking for. It's ideally located for guests to enjoy everything that the area has to offer, and with all the facilities and amenities necessary for a comfortable stay it's the perfect choice for any trip to Omaha."
