Name,State,Title,Description
"Adventuredome","Nevada","Adventuredome - Las Vegas, NV - 5-Acre Indoor Theme Park","The Adventuredome is a 5-acre theme park located in Las Vegas, NV. It features a number of thrilling attractions, rides, and games - many suitable for juniors, young visitors, or families. It's also one of the world's most popular 100% indoor theme parks, allowing patrons to have their fun while safely sheltered from the blazing Nevada desert heat. To start with, Adventuredome features a number of popular and thrilling premium rides designed to thrill visitors of all ages. The Canyon Blaster is the world's one and only indoor double-corkscrew, double-loop roller coaster, treating riders to a 55 mile-per-hour ride they're guaranteed never to forget. The Slingshot propels riders up a tower at an amazing 4 g's of acceleration and then treats them to an exciting head rush of a drop back down to earth again. The SimEx Theater features 4-D rides designed to offer an incredible virtual reality experience. Lazer Blast treats you to a fast-paced, interactive laser tag adventure in an action-packed arena. A wide selection of junior rides is available for younger, smaller visitors as well. These include the Frog Jumper, a ride that will leave the kiddies jumping for joy. The popular Miner Mike coal train ride is a delightful mini-coaster - perfect for little ones that love twists and turns. The Thunderbirds ride lets kids have a blast playing pilot in charming 1920's-style airplanes. A third series of rides offers fun suitable for the entire family to experience all together. The Circus Carousel offers a classic carousel ride experience and features a selection of charming animals to choose from. The Drifters ferris wheel simulates a high-altitude balloon excursion and treats riders to a birds-eye view of the rest of the park all at the same time. The fast-paced, mini-Himalayan Road Runner ride also lets riders admire the view while experiencing a thrill or two. Adventuredome also has plenty to offer those looking to experience more than amusement park rides. Its Midway section features plenty of traditional carnival games and fabulous prizes. Pike's Pass offers 18 holes of challenging miniature golf and is perfect for the entire family, while Highway 66 offers a fun mini-bowling experience. The extensive arcade features all the latest in video games for those looking to have a little electronic fun. Last but definitely not least, there are free clown shows on the main stage at regular intervals throughout the day. Adventuredome also has a birthday and theme party hosting service for those looking to make a big event out of their child's next special day. The range of party options available is fairly extensive and encompasses everything from cake-and-ice-cream birthday parties to spectacular team celebrations. Adventuredome is equipped to handle groups ranging in size from 15-5000. Those interested are welcome to visit Adventuredome's website or contact the facility directly for more information. In some cases, special discounts or rates apply. Those who are in the military, who possess a valid Nevada ID, or who have a library card from the Las Vegas-Clark County library district are eligible for special rates."
"Alpine Lakes Loop Trail","Nevada","Alpine Lakes Loop Trail - Great Basin National Park, Nevada - An Easy Hike with Spectacular Views","The Great Basin National Park, which covers most of Nevada's South Snake Range on a line midway between Las Vegas and Salt Lake City, is so remote that its night skies are among the darkest in the country. It boasts one of only a handful of bristlecone pines - which, sometimes reaching an age of 5,000 years, are the oldest trees on earth. The park is also full of ponderosa pines and pinyon-junipers and Douglas firs. It's full of mining history, with an 18-mile-long channel built by gold miners in the 1880's, and the historic mining structures of the Johnson Lake mine area. And it has the southernmost permanent glacier in the country. For a beginning hiker - for anyone who wants a gorgeous stroll at 11,000 feet - there's no more exquisite walk than along Great Basin's 2.7 mile Alpine Lakes Loop Trail. This trail's climbing elevations are mild. Its views are spectacular. Its flora and fauna will take your breath away:  Engelmann spruce and limber pines; butterflies; wildflowers spreading as far as the eye can see - from Parry's primrose, penstemon, and phlox, to Jeffrey's shooting star, crimson columbine, and mountain bluebells. In autumn you might see Townsend's, hermit, or orange-crowned warblers. Beginning at the park's Bristlecone Parking Area, near the Wheeler Peak Campground, you'll cross a footbridge, take the Alpine Loop counter-clockwise, and cross a creek. The trail passes two splendid alpine lakes, or tarns, that freeze solid in winter. The first of these, Stella Lake, has gorgeous views of Wheeler Peak - at 13,161 feet, the highest mountain in New Mexico - and Jeff Davis Peak. It also has a grove of aspens growing on its western bank, where you might look for dendroglyphs - the art carved into the region's aspens by nineteenth-century Basque sheepherders. After leaving Stella, the Alpine Lakes rail slopes down to Teresa Lake, which is filled by a spring-fed stream that is banked by emerald green grass. Shortly after Teresa Lake the path forks - on the left-hand, to complete the Loop Trail, on the right-hand to a spur that will take you up another mile, and 600 feet, to a half-mile loop where you can see the magnificent ancient bristlecones and the Wheeler Peak Glacier. Though the added 3.2 mile round trip to see these natural wonders will more than double the distance of the Alpine Lakes Loop Trail, it would be well worth the effort for those who can handle it."
"American Racing Academy","Nevada","American Racing Academy - Las Vegas, Nevada - High Performance Driving Lessons","The American Racing Academy can trace its roots back to 1996. That's when renowned Irish racecar driver Derek Daly partnered with BMW North America and began teaching high-speed driving at the Las Vegas Motor Speedway. The Derek Daly Performance Driving Academy, as it was then known, became the most advanced driver training and racing school in the country, according to Motor Trend Magazine. Among Daly's clients were Pete Sampras, Aerosmith, John Oates, and Vin Diesel. Sylvester Stallone selected the academy's program for his own preparations when chosen for the lead in the movie Driven.'' In 2006, Daly turned his entrepreneurial attention to other matters and the company morphed into American Racing Academy. It carries on the tradition of top-notch race training with programs ranging from a half-day session to five full days in computer-equipped F2000 single-seat race cars and BMW Z3 sports cars. Licensing to race with the Sports Car Club of America is also offered. The American Racing Academy is located at Las Vegas Motor Speedway, where lessons are conducted year-round on either the 1.2-mile infield road course or the 1.8-mile outside road course, both with nine turns. The address is 7055 Speedway Boulevard, Suite E-102, Las Vegas, Nevada 89115-1753. No more than 12 students are allowed per course."
"Animal Ark","Nevada","Animal Ark, Reno, NV","There is a wildlife sanctuary northwest of Reno called the Animal Ark. It encompasses thirty eight acres and is home to many species of animals. The sanctuary provides most of its energy from passive solar panels and wind power. These animals have been hurt at one time or have other reasons why they can no longer live in the wild. Living at the Animal Ark gives them the opportunity to live as free as possible in their native area. Visitors can view the animals through the glass. The hours of operation are from April 1st to November 1st. They are open Tuesday through Sunday from 10:00 am to 4:30 pm. Memorial Day and Labor Day are special Mondays that the Ark is also open. Although the Animal Ark is closed for the winter, they do try to open one weekend so that guests can see the animals in their winter coats. Information can be found online or through an email. Admission to the facility is eight dollars for adults, six dollars for seniors, six dollars for children ages 3-12 and those under two enter for free. There is an option to become a member of the Animal Ark and then you can be admitted for free. Membership can be Standard or Platinum. Fees for the Standard are Adults: thirty dollars a year; Couples: fifty dollars; Family: seventy five dollars for a family of four (additional children are fifteen dollars each). Seniors are twenty dollars. The Platinum level is one hundred dollars a year; Couples: one hundred seventy five dollars; Families of four: two hundred twenty five dollars (additional children twenty five dollars) and Seniors: sixty dollars. Besides emails about special events, admission throughout the year, newsletter and tax deduction Platinum members have free access to over ten special events a year. People can also adopt the animals for a year or longer. The cost is one hundred dollars a year and this donation will feed the animals and provide veterinary care and animal enrichment programs for the residents. They have an operating cost of more than 45,000 dollars a year. The many animals that live at the Animal Ark include foxes, coyotes and wolves. Felines include: a Cheetah, mountain lion, bobcat, Canada Lynx, tiger, white tiger and leopard. There is only one reptile species currently and that is the desert tortoise. Among the raptors at the Animal Ark guests can see several species of owls, a falcon and a kestrel which is in the falcon family. A black bear and raccoon are the other inhabitants at the Ark. Some of these animals may have been pets, injured or acquired because of the space that the Animal Ark possesses. A visit to the Animal Ark is a learning experience for all ages. Visitors can get to the Animal Ark by taking Highway 395 north to Red Rock Road (Exit 78). Turn to the right and follow the road for about eleven and half miles to Deerlodge Road. Another right turn and a mile down the road will take guests to the Animal Ark."
"Aquarius Casino Resort","Nevada","Aquarius Casino Resort - Laughlin, NV - A Nice Casino Hotel Reasonably Priced","Among the things you can say about the Aquarius Casino Resort in Laughlin, NV, is that if you're lucky you can get a decent room in a nice casino hotel very cheaply - as low as $29.99 for two adults and two queen beds. The Aquarius, which overlooks the scenic Colorado River 100 miles south of Las Vegas in the Mojave Desert, was not always quite so good a deal. After opening in 2000 with 1,900 guestrooms located in two 18-story towers, and passing through the hands of several corporate owners, the hotel became so run-down that one guest complained of dirty carpeting/furniture, peeling wallpaper, and ill-fitting sheets.'' That all appears to have changed with the hotel's much ballyhooed $46 million renovation - $26 million on the casino and $20 million on the rooms. With 60,000 square feet of gaming tables for Blackjack, Craps, Mini-Baccarat and assorted poker games; a race and sports book with more than 90 screens; and 1,300 slot machines (from Wheel of Fortune Super Spin, Li'l Lucy and Fort Knox to All-Star Poker and Wizard of Oz) the resort ought to provide enough entertainment for the most discerning gambler. One might even get as lucky as Manuel Herrera did in 2002, when he won $8.4 million at the Aquarius playing quarter Wheel of Fortune. And if 60,000 square feet isn't enough to keep a visitor busy, the hotel can send you off on a river cruise where you can get a drink and learn something about Laughlin's storied history. Restaurants abound at the Aquarius. Its finest dining venue is Vineyard Ristorante, open from 5:00 P.M. Thursday-Monday, but closed Tuesday and Wednesday, which serves the cuisine of Northern Italy against a river backdrop. For the casual diner there are Windows on the River Buffet, and the Caf, Aquarius. Burger King, Outback Steakhouse, and Panda Express are also available, as well as four different bars, including the Splash Cabaret, which features live music, and a pool bar. For entertainment one can catch a show in a 300-seat showroom, a 1,200 seat ballroom, or a 3,000 seat amphitheater. The resort sits across the street from the Preferred Outlet Mall. It's not far away from three lakes - Mohave, Havasu, and Mead - and within a thirty-minute drive of five different golf courses. In Laughlin one might catch the Laughlin River Run - one of the biggest motorcycle rallies in America - a rodeo, or an off-road race. Though a guest might not know what to make of the Complimentary Starbucks Package,'' where one can drink two Grande coffees and eat two danishes at a cost of $34.99 a day - the hotel does offer such weekend packages for boaters as a launch pass, a two-night stay, one box lunch, and guaranteed boat parking, all for $184.14. All in all, one can agree with the German tourist who best summed up the Aquarius Casino and Resort: Sure, it's not the Bellagio ... but for the price we paid [it was] a great value....''"
"Aria Hotel and Casino","Nevada","Aria Hotel and Casino","The Aria Hotel and Casino in Las Vegas is located in the center of the famous Strip, just steps from the best that Sin City has to offer. The architecture of the Aria is contemporary with a clean, modern feel. There are more than 4,000 guestrooms that offer floor to ceiling windows, private bathrooms and comfortable, luxurious bedding. Rooms feature advanced technology that controls the lighting, temperature and music, making the rooms feel like state-of-the-art homes away from home. All rooms feature views of either the strip or the desert mountains. Guests have access to numerous fine and casual dining establishments onsite including Shaboo, Sage, Barmosa, Sirio Ristorante, Julian Serrano, American Fish, Blossom, Lemongrass, the Skybox Sports Bar and Grill, the Breeze Café, Sweet Chill, the Buffet and more. The Spa and Salon at Aria offers a place to relax and unwind. They offer a variety of skin and body treatments including massage therapy, hydration wraps, facials, pedicures, Vichy showers, Asian bathhouse rituals and tanning. The hotel is home to a thriving nightlife scene and offers a variety of bars and lounges, as well as clubs including the Deuce Lounge, Haze Nightclub and the Gold Boutique Nightclub and Lounge. The casino at the Aria offers over 150,000 square feet of gaming space including slot machines, table games, poker tournaments and a race and sports book. "
"Atlantis Casino Resort Spa","Nevada","Atlantis Casino Resort Spa, Reno, NV","The northern Nevada town of Reno has the hotels, restaurants, shopping and attractions that allows everyone to be pampered and entertained. Family vacations, business trips and high rollers can all find something to do while in Reno. During the winter months there is the nearby Mt. Rose Ski Resort or visitors can see wildlife in their own habitat at the Animal Ark. Reno is also a destination for business conferences with the Reno-Sparks Convention Center. The Atlantis Casino Resort offers family friendly rooms at the Motor Lodge. It is separate from the main tower, but still part of the hotel. It is pet friendly as well. The rooms have one queen size or two double beds. Guests have access to the indoor and outdoor pools and whirlpool. Twenty four hour room service and free shuttle service to the airport all provide an affordable stay in Reno. There are Tower Rooms and Suites in the main building. They have a king size bed or two queen size beds. The dycor is a tropical theme and has twenty four hour room service, coffeemaker, access to the two pools and whirlpool. There are marble accents in the rooms and bath products in the bathrooms for pampering. A stay in the Royal Dolphin Tower will take you to the Caribbean with mahogany furniture, thick carpet, granite countertops in the bath and a marble floor. There are suites in the Royal Dolphin Tower that have two room suites with full wet bars, flat screen TV's, a space for entertaining and a safe for keeping valuables. The Concierge Tower has rooms on floors twenty one through twenty seven. There is a special glass elevator and the views from these rooms are of the Sierra Mountains or the city. An iPod docking station is part of the room as is a 42 LG flat screen television. The hotel has installed custom desks that let guests plug in laptops and DVD players into the TV. Guests get a complimentary continental breakfast and Hors d'oeuvres in the afternoon. Thick comfortable robes and luxury bath products are provided. Guests that stay in the Grand Penthouse Suites are treated to marble and granite countertops, and adjoining bedrooms with California King Size beds. There are refrigerators with ice makers, gas burning fireplace, Jacuzzi, and 24 Carat Gold bathroom fixtures. Every amenity is provided. The hotel has many live bands to entertain the guests as well as tournaments in the casino. Dining at the Atlantis gives you a Bistro, Seafood, Deli, Oyster bar, Sushi bar, a coffee house and the all encompassing buffet. There are Happy Hour specials at the Atlantis, and guests can enjoy a beverage at the Bistro Napa for food, wine and cocktails. This happens daily from 4:00 pm to 6:00 pm. The Sports Bar & Lounge has the Manhattan Munchable menu, half priced Microbrews, and Signature Cocktails daily from 3:00 pm to 7:00 pm. Spa treatments are available at the Full Service spa. The hours are 8:00am to 8:00pm. The Fitness Center hours are 6:00 am to 10:00pm and the Pools are open from 6:00am to 10pm."
"Avi Resort & Casino","Nevada","Avi Resort & Casino, Laughlin, NV","The family friendly city of Laughlin, Nevada has many choices in hotels and casinos. Many of them offer special rooms and entertainment for families with children. The Colorado River flows past many of the establishments in Laughlin so a Riverwalk has been constructed to enhance the beauty of the city. Visitors to this area can ride a river taxi or take a riverboat cruise. The Avi Resort & Casino is on the southern end of Casino Drive. They have at least one thousand slot machines, twenty eight gaming tables, Keno, Bingo and a Sport's Book. They feature special events and great promotions. Their player's club has some of the most generous comps in the city. Everyone is welcome at the Avi Resort. They offer a special play area called Kids Quest, a white sand beach, boat launch, eighteen holes of golf and an RV parking area with full or fry hook ups. Kids Quest is open seven days a week and will take care of children ages six weeks to twelve years old. The children get to learn, play and develop new skills at this state of the art center. Kids Quest hours are: Mon - Thurs: 2:00 pm to 10:00 pm, Friday: 2:00 pm to midnight, Saturday: noon to midnight and Sunday: noon to 10:00 pm. There are 456 rooms at the Avi Resort, some of which are spa suites. The Avi is ten miles south of Laughlin. They have covered valet parking, six restaurants, an eight plex movie theater, water craft rentals and a food area with drinks, supplies and ice. There is a heated lagoon type swimming pool, two waterfalls and a Jacuzzi. A separate Kiddie pool is right next to the adult pool. The hours of operation are from 10:00 am to 10:00 pm every day. Avi Resort & Casino has entertainment at the Arroweed Lounge every night from 8:00 pm to 12:00 am. There are tournaments along with drawings at the casino every day. Bingo can be played daily with six different sessions to choose from. They begin at 7:00 am, 9:00 am, 11:00 am, 1:00 pm, 3:30 pm and 7:00 pm. Every game has progressive cover all games as well as Bonus Ball Jackpots. Complimentary cocktails are a feature of the Keno lounge at the Avi Resort & Casino. There is live Keno twenty four hours a day at the lounge and guests can also find the results on Channel 38 in their rooms. The golf course is across the street from the Avi, adjacent to the RV park. The Mojave Resort Golf Club has four different tees at each hole to accommodate any level of player. The course features rolling greens, natural vegetation and dunes as part of the challenging course. Shopping is nearby at the largest outlet mall in Nevada. The mall is two stories with fifty five stores to enjoy. There is a food court to please anyone's appetite and the movie complex. Guests enjoy all the amenities that this area has to offer at the Avi Resort & Casino."
"Bally's Las Vegas","Nevada","Bally's Las Vegas","A number of Las Vegas casinos are part of the same empire. Bally's Las Vegas casino is part of Harrah's Entertainment Corporation. Harrah's is considered the largest brand of casinos in the United States. The company began in Reno Nevada seventy years ago. It grew quickly to Las Vegas, Atlantic City, and parts of Georgia. Harrah's is currently working on getting licensed for an online casino to add to their numerous brick and mortar locations. Harrah's is known for hosting the World Series of Poker. As part of Harrah's, Bally's has the same style as their other casinos. Bally's is offering deals for 2009 where rooms range from $49 to over $100 a night depending on the type of room guests want. The south tower of Bally's is over 450 square feet presenting suites, double beds, and queen sized beds. The South Tower rooms offer both smoking and non smoking rooms. The rooms have either king or queen sized beds. Standard room amenities like hairdryers, irons and ironing boards, clock radios, data ports for high speed internet, TV, and in room movies are available. Special needs guest rooms can be booked. All the rooms at the hotel will have the standard amenities. The suites provide more amenities such as bathrobes, business facilities, and sitting rooms. Decor inside the hotel and casino is modern. The guest rooms are done in soft colors such as tans and yellows, with carpeted floors and tile baths. The bedspreads are flowery, and furniture is wood. Downstairs in the casino the decor is more jazzed with flashing lights, music, and darker interior. Facilities outside the hotel rooms include a grand ballroom, pacific ballroom, director's room, palace two, and palace three. There is an events center, sky view ballroom, and outdoor pool. The pool is lined with a grassy area and palm trees to make it more comfortable. A Jacuzzi is out by the pool. The casino is 67,000 square feet. It houses slot machines, table games, poker, and keno. Slot machines vary from penny to dollar slots. They are interactive machines with top themes like magic, Cleopatra, TV shows, and your basic fruit reels. Video poker machines and Blackjack video machines can be found on the floor as well. For guests who want to stay at the casino as well as play the casino games there are stay and play deals offered. These deals can include using the spa, golfing, tennis, and the nightlife entertainment at the casino. Nightlife in Las Vegas can range from bars, lounges, and clubs to adult themed shows. At Bally's Sully's is a bar with video game machines and screens. Indigo Lounge has live piano music and top shelf liquors. Lastly for night entertainment is the Tequila Bar with a Mexican theme. Bally's Casino in Las Vegas offers Al Dente, Bally's Steakhouse, Sbarro, Ichiban Sushi, Java Coast, Nosh, Sidewalk Cafe, and Sterline Brunch for restaurants. Meals will range from Mexican cuisine to Italian. A few of the restaurant locations are quick eateries, while others have wait staff."
"Beatty Museum and Historical Society","Nevada","Beatty Museum and Historical Society - Beatty, Nevada - Mining Museum on Death Valley's Doorstep","Located in Nye County, Nevada, just six miles from the California border, Beatty is the first community of any size one comes to when driving northwest from Las Vegas toward Reno. It has often been called the east gateway to Death Valley National Park. The Beatty Museum and Historical Society is a registered non-profit 501(c)3 corporation, dedicated preserving of the history of Beatty and its surrounding area. This is the heart of the Bullfrog Mining District and the site of the ruins of Rhyolite - true vestiges of the old Wild West. Beatty was established in 1904, and the relics gathered here paint an interesting picture of the town's growth and decline. Through historic photos and documents, one comes to appreciate what the founders of the museum realized as they sat over coffee some years back: without an effort to preserve the past, the legacy of a very important part of history would be lost. With the support of local residents and friends who became the first members of the Society, the museum opened in a small cottage in 1995. Generous donations of funds and artifacts helped the museum outgrow its first home, and for a while it was relocated inside the town's old water building across the street. Five years later another move was necessitated, and the museum was reestablished within an historical church, its current home. The building itself has been renovated and expanded to include space for a research room as well as the enlarged collection. The museum's exhibits, photographs, and collected antiques present an opportunity to understand what life was like at the turn of the 20th century. There are displays showing how early miners lived, worked and played, as well as information on the Bullfrog Gold Rush'' era of 1904-1907. Visitors can learn about ghost towns, too, along with the area's other attractions. Although no tours are provided, the museum has staff members who are available to answer any questions visitors might have. The Beatty Museum and Historical Society is supported through memberships, donations, or fund raisers. Currently, there are some 200 members in the United States and Europe on the museums list of patrons. Although donations are always welcome, appreciated, and tax deductible, there is no charge for admission. The hours of operation are 10am to 3pm daily, and the museum is closed on most holidays. Unless otherwise noted noted, photography with hand-held cameras intended for personal use is allowed, but tripods and lights are not. The address of the Beatty Museum and Historical Society is 417 Main Street, Beatty, Nevada 89003. From Las Vegas, take US Highway 95 North approximately 115 miles. Upon reaching the four-way stop at State Route 375, turn left onto Main Street. The museum is a bout two and a half block down on the left in what was once an old church. Ample free parking is available in front for cars, trucks, recreational vehicles, and buses."
