Name,State,Title,Description
"Alpine Adventures Outdoor Recreation takes visitors through the treetops of Lincoln, New Hampshire","New-Hampshire","Alpine Adventures Outdoor Recreation takes visitors through the treetops of Lincoln, New Hampshire","Alpine Adventures Outdoor Recreation area in located in Lincoln, New Hampshire. At the area are 14 zip lines that run over 2 different courses over 2 miles of exiting adventure through and above the treetops and getting up to heights of 200 feet about the floor of t he forest. The zip lines were the first longest, fastest and highest zip line tour in the New England area and is a leader in the outdoor adventure industry. To get to the top of the ride, visitors will go on an off-road Safari ride in the 6x6 Swiss army vehicles, Pinzgauers. The platforms are located in the high trees at heights of 25 feet and 65 feet, the zip-lines on the newer tour, `Sky Rider', are between 100 feet and 1600 feet in length. During the winter months when the snow is falling the center offers snowmobiles tours. The `Sky Rider' zip line tour offers side by side racing and higher, longer lines that any other zip line ride. The zip line tours at the center are true treetop canopy tours; the first course has six zip lines, that range from 80 to 900 feet, and includes the 60 foot high, 75 foot long suspension bridge that runs across Barron Gorge. This tour also includes Zip #7, which is famously known for the optional 35mph free-fall. Amazing views of the western Whiles are offered on the Treewalk Village. This is where visitors will start the descent to Area 51, which is a plateau and scenic overlook area. The longest zip line, which is 1500 foot long will take visitors 200 feet above the ground to Hemlock Walk. Visitors will then cross two Burma Bridges, that will take them on the 1200 foot zip line at Montego Bay Express, which was named after the centers co-workers at the Jamaican Alpine Adventures location. The last zip line is White Knuckle Pine; this zip line has a drop of 80 feet and reaches speeds of 50 miles per hour. The center has recently added to their environmentally friendly 4-strock snowmobiles, which can seat two visitors comfortably. A safety orientation is given to all visitors who travel on the snowmobiles and operators are to be 16 years of age with a valid driver's license. Each season offers something different for visitors; during summer the Pinzgauer is transformed into a convertible to enjoy the warm air. In the fall visitors will see the occasional deer, moose and turkey on the trail while enjoying the changing foliage and in winter the Pinzgauers' show their real off-road capability and provide a thrilling ride that is likened to a low-speed roller coaster. During the spring season is mud season, very, very dirty off-road fun happens then. The Pinzgauers are modified Swiss army vehicles that can accommodate 11 passengers in blue bucket seats with lap-belts. One of the passengers HAS to ride shotgun in the front! The vehicle has a `kickin' stereo system and mikes for entertainment from the guides and the overhead cages have been padded for extra safety. The center prides themselves on being able to cater for all guest types and to make their visit a memorable one."
"Ashworth by the Sea","New-Hampshire","Ashworth by the Sea","Established in 1912 by Colonel George Ashworth, Ashworth by the Sea has served U.S. Presidents and celebrities alike. It has the distinction of being not only a New Hampshire landmark but also the only full-service oceanfront hotel situated directly on Hampton Beach. Featured here are 98 double queen or single king bedded guest rooms and seven suites.  Every unit comes with an ocean view and the majority of them also have a private balcony. Standard amenities include air conditioning with individual climate control, a sitting area and workspace, granite-top vanities, and curved shower curtains. Also provided in every room are flat-screen cable televisions, wireless Internet access, complimentary local calls, a coffee maker, an alarm clock, a hair dryer, and an iron and ironing board. Among the many facilities on site are five private function and meeting rooms, a heated indoor swimming pool, a sun deck overlooking the ocean, and an exercise room. Meals are served in Breakers Restaurant, noted for its award-winning Clam Chowder and seafood specialties, as well as at the Wharfside Coffee Shop. Outdoor dining is available seasonally, as are dinner buffets, dancing, and entertainment. Ashworth by the Sea is now owned by Schleicher and Stebbins Hotels. The address is 295 Ocean Boulevard, Hampton, New Hampshire 03842. Valet parking is available."
"Attitash Mountain Village","New-Hampshire","Attitash Mountain Village","The Attitash Mountain Village provides 60-acres worth of activities and accommodations in a ski-friendly town. The resort is open year-round and offers convenient access to Bartlett, New Hampshire and a variety of surrounding attractions. Attitash is ideal for a ski getaway, a family vacation, a romantic weekend, or a fun outdoor adventure. There are 350 rooms, suites, townshouses, and trailside homes on the grounds, so accommodations are available for all sizes of groups and all price ranges. Most feature cable televisions and individual climate control abilities. You can also choose units with gas fireplaces, larger televisions, full kitchens, spa tubs, or space for up to 14 guests. Some of the units are privately owned and can be rented year-round. Resort amenities include a game room, tennis courts, a glass-enclosed heated swimming pool, outdoor spa tubs, playgrounds, a skating rink, hiking and biking trails, cross-country and downhill ski trails, a fitness room, river swimming access, as well as tubing, canoeing and kayaking, and a steam room and sauna. The resort is located just a few minutes from Story Land, as well as a variety of other family-oriented attractions. Matty B's café is located onsite and provides a menu filled with sandwiches, burgers, Mexican dishes, Italian specials, salads, and wings. "
"Cannon Mountain is a ski area and the home of the first passenger tramway in America","New-Hampshire","Cannon Mountain is a ski area and the home of the first passenger tramway in America","Cannon Mountain is a ski area in Franconia, New Hampshire. The mountain was the site of the first passenger tramway in America that was in operation from 1938 until 1980. The Tramway became a major tourist attraction with over 163,000 passengers riding the tramway in its first year. The mountain has the highest vertical ski drop in the east, the mountain now features Cannon Mountain Aerial Tramway II, which is 5,359 feet ascending the mountain, and travels at 1,500 feet per minute and can accommodate 770 passengers in either direction. An average of 160 inches of snow falls at the mountain each season, the storms in Franconia can be erratic though so the ski area has to be able to provide visitors with excellent snow no matter the weather. The mountain is able to create quality snow and have it groomed to provide a safe skiing area. Snowmaking happens at any hour on the mountain, the grooming work is done at night to not interrupt skiers during the day. The mountain's base is at an elevation of 1900 feet with the ski summit area 4080 feet; the temperature of the mountain is around 15-20 degrees colder then the town of Franconia. The snowmaking team has to constantly monitor conditions to make the best snow possible. The mountain uses water from Echo Lake, as the lake is replenished as quickly as it is pumped out, even as the mountain pumps 3000 gallons per minute from the lake. The water is pumped through 16 miles of pipes with valves around the mountain where the snow is to be pumped. The mountain uses three types of snow guns to groom the snow. To avoid the occurrence of moguls from skiers the groomers use a large tractor with a front blade and tiller to smooth out the snow and distribute it evenly. A new pub opened in recent years at the mountain, The Cannonball Pub is 3000 square foot addition to Peabody Base Lodge. The pub is opened during the winter and features a 100 foot long bar, a full menu including apris ski parties and entertainment each weekend. The Mountain takes pride in being a great destination to take the whole family. The mountain has a ski area that is dedicated to learning and a Family Fun area. The Tuckerbrook Family Area is located at the Peabody Base Area and features 13 trails, four lifts, beginner and intermediate slopes and 100% snowmaking. The mountain now hosts family fun nights with events such as night skiing at Tuckerbrook Mini Park, Movies for kids at Brookside Lodge and fireworks or torchlight parades held on special nights. There is a range of accommodation types located in the area and only minutes away from Cannon Mountain. During the summer months visitors are still welcome to Cannon Mountain where they can ride the Aerial Tramway to the summit of the mountain or visit one of the many attractions located in Franconia Notch State Park."
"Canobie Lake Park","New-Hampshire","Canobie Lake Park - Salem, New Hampshire - Family-Oriented Amusement Park","Canobie Lake Park is a family-oriented amusement park located in the city of Salem, New Hampshire. The park has been in operation for over 100 years and has grown steadily over that time as the park itself passed through several different sets of hands. Canobie really hit its stride and began to grow by leaps and bounds starting in 1958 when it was purchased by three close friends from New Jersey. It is currently considered to be one of the best value parks for families in the entire New England area. It is also widely known and acclaimed for the natural beauty of its landscaping that includes a beautiful front entry plaza and an 80-year-old spruce tree. The main draw of any amusement or family theme park is, of course, the rides and attractions and this park has a wide selection of different options available to choose from. Canobie sets itself apart from a typical amusement park by making it easier for patrons to gauge the intensity of each ride by way of a rating system. The mildest rides are the Green Circle rides. They are mild thrill rides that feature low speeds and are the most appropriate for young children and families. They include a beautiful antique carousel, antique cars, a sky ride, the Tiki Maze, and an extensive selection of attractions geared toward young children including a mini-dino ride, junior race cars, and a jungle bounce. The intermediate intensity rides are the Blue Square rides. These rides feature moderate speeds and the possibility of unexpected movements, unusual physical forces, and unanticipated thrills. They include a number of water rides such as the Boston Tea Party, the Log Flume, and the Timber Splash. Roller coasters also figure into the mix with such attractions as the Yankee Cannonball and the Kiddie Dragon Coaster. These rides are appropriate for many children, although height restrictions do apply. Last but not least is the most thrilling category of rides - the Black Diamond rides. These encompass Canobie's collection of high thrill, high speed attractions that are most appropriate for healthy riders of sound body with no known physical ailments or phobias. These rides generally feature highly unusual or stressful forces and include the popular Turkish twist ride, Xtreme Frisbee, the Starblaster, and the Corkscrew Coaster. For visitors seeking a break from the rides for a moment, Canobie also features a popular midway area that includes many games to test skill and allow visitors the chance to win prizes. These include such expected traditional attractions such as skeeball, the Pitcher's Challenge, fool the guesser, and the Hi-Striker. A wooden nickel arcade is also part of the mix, as is an exciting rock wall. Canobie Lake Park also hosts scheduled entertainment shows as well, but these vary from season to season, so those planning a visit would want to check the park's website or call ahead for current details. Shows are family oriented and usually center around music, magic, puppets, comedy, or dance."
"Casino Ballroom has hosted many entertainers for over 100 years","New-Hampshire","Casino Ballroom has hosted many entertainers for over 100 years","The Casino Ballroom is located at Hampton Beach in New Hampshire. The ballroom has hosted many entertainers of all different styles for over 100 years. It is one of the best kept secrets on the East Coast of the United States. The ballroom recently underwent renovations and is a landmark of Hampton Beach. Performers who have played the ballroom include Led Zeppelin, The Doors and Janice Joplin. The ballroom expanded in 1927 to meet the changing nature of entertainment and to hold 5,000 people and to have the largest dance floor in New England. Up to 20,000 people used the large space each week. Many changes were required at the ballroom after an unruly incident at a Jethro Tull concert where fans without tickets attempted to enter the ballroom in any way possible and this led to rock and roll concerts being banned in Hampton. After this incident the ballroom was sold to a facility of local businessmen who were going to restore the ballroom to its former glory. The ballroom was restored to many of its original features and reopened in the 1970s as a Club Casino; this however, did not draw promoters back to the venue as they were worried about another incident happening such as what happened at the Jethro Tull concert. The owners then booked small name bands, at the time, such as U2, Ray Charles and Tom Jones to restore their reputation. This paid off and after further renovation in the late 70's, which then led to bookings of entertainers such as Melissa Etheridge and Jerry Seinfeld. The ballroom became so popular that up to 50 events were held in a three month period, this was unheard of at the time for music halls. More renovations were required as the previous renovations were out-dated and the club has a reputation for having tough bouncers and strict dancing rules. The name was then changed back to Hampton Beach Casino Ballroom to gain back some of its past popularity. The hotel next to the ballroom was demolished and the fasade of the building was changed. The ballroom was now ready for its first concert in 1995, the RatDog concert. Memories of the Jethro Tull incident lingered as the concert was held the day that Jerry Garcia died and a large amount of media and fans descended on the ballroom. No incident occurred due to improved security and customer service. The ballroom was now ready to provide the people of Hampton and visitors to the town with another decade of entertainment service."
"Christmas Farm Inn & Spa","New-Hampshire","Christmas Farm Inn & Spa","Christmas Farm Inn & Spa is located at Blitzen Way in Jackson, New Hampshire and is close to the Black Mountain Ski Area. In spite of the name the inn is open throughout the year and overlooks the White Mountains. There are a variety of rooms and suites with a Christmas themed name available here that sleep between two and eight guests. Some of these rooms are dog friendly.  The spa on the 15 acre estate offers many world class treatments and features seven treatment rooms, a steam room, relaxation lounge, indoor and outdoor pools, hot tub and a fitness center. Treatments available here include various massages, facials, waxing, body wraps, polishes, pedicures and manicures. Advanced reservations for the spa are highly recommended and anyone below the age of 18 must be accompanied by a parent or guardian. However, the spa is not recommended for anyone aged 14 or under. Guests at the inn can also enjoy breakfasts and dinners with pleasant New England menus for adults and children. Dinner in the evening is served at the restaurant and pub between 5.30pm and 9pm seven days a week. This 200 year old inn can also accommodate weddings for up to 200 guests."
"Cranmore Mountain Resort","New-Hampshire","Cranmore Mountain Resort - New Hampshire - A Ski and Tubing Resort for the Entire Family to Enjoy","The Cranmore Mountain Resort is a large ski resort in located near North Conway, New Hampshire. Shopping venues including discount retail outlets, recreation and fun surround the resort that holds a long tradition of skiing and ski culture since 1939. The ski resort expands over 200 plus acres at a summit elevation of 2000 feet. The longest run is one mile long and the resort services every age and level of expertise, from novice to expert. The resort is open on weekends only starting around the first weekend of December and continuing through the second weekend of the month. Around the middle of December the resort expands its open days to daily. Typical hours of operation are Monday through Friday from 9 am to 4 pm and weekends and holidays from 8:30 am to 4 pm. Starting around Christmas time the resort offers night skiing on Saturdays and is open from 2 pm to 8 pm. The resort has 43 trails and 7 glades for a total of 50 trails and glades. There are 36% trails set up for the novice, 44% intermediate trails, and 20% advanced trails. Lifts at the mountain include one high speed quad, one triple, two doubles, two tubing surface lifts, two magic carpets and one rope tow. The Arctic Blast Tubing Park is located at the base of Cranmore Mountain and provides fun for the entire family. There are seven lanes of fast tubing and all ages are welcome. Children 42 inches and above may ride alone and those under 42 inches must be accompanied by an adult. The tubing park has its own snack shack located in a warming hut at the base of the mountain. The snack shack is fully stocked with hot dogs, hot cocoa, chips, warm soup, hot pretzels and more. There are vending machines with cold beverages and candy bars also available at the hut. Lodging at the resort has many varieties. Visitors may choose condo rentals from On-Mountain Condo and Lodging or hotels in the area. Ski and stay packages are available at most area hotels including the Colonial Motel, the Cranmore Inn, Kearsage Inn, Wildflowers Inn or Cranmore Mountain Lodge. A popular lodging destination is the Farm by the River B&B, complete with stables, Jacuzzis, and a horse-drawn sleigh ride. This 1780s farmhouse offers New England tradition in all of its decorated guest rooms. Fireside breakfasts and complimentary fresh baked goods provide a nice treat to skiers at Cranmore Mountain. The resort offers a day care facility at their Penguin Park Day Care. The skilled staff is available to provide fun and entertainment for children too small to go out on the ski trails. For children ages three to five years old, a one-hour ski introductory lesson is given and at age four children may join the Penguin Ski Camp for a full or half day program designed to teach them how to ski. Reservations for the day care and camps can be made online."
"Hilton Garden Inn Portsmouth Downtown","New-Hampshire","Hilton Garden Inn Portsmouth Downtown","The Hilton Garden Inn Portsmouth Downtown offers convenient access to historic Portsmouth and the surrounding area. Guests enjoy guestrooms featuring air conditioning, blackout curtains, workstations with ergonomic desk chairs, comfortable Serta Suite Dreams bedding with duvet covers, granite countertops in the bathrooms, the Garden Sleep System, three jet body showers, Neutrogena bath amenities high definition televisions, coffee makers, high speed Internet access, microwaves and mini refrigerators. Guests can dine onsite at The Great American Grill, featuring a menu of classic American favorites for breakfast and dinner. The hotel offers access to a fitness center and a pool so guests can relax and enjoy a workout, even while traveling. The hotel offers ample meeting space and its largest event space is over 1,100 square feet. The experienced event planning staff can help you organize your wedding, special celebration or business event without stress. Guests of the Hilton Garden Inn are within walking distance of many of Portsmouth's best attractions including Harbour Cruises, the City Center, Prescott Park and Strawberry Banke. Just a short distance from the hotel is Water Country, the Nubble Light House and Wallis Sands Beach. Guests can also enjoy shopping at the nearby Kittery Outlet Malls. The Hilton Garden Inn provides comfortable accommodations in the heart of downtown Portsmouth. "
"Kahuna Laguna is a tropical adventure park","New-Hampshire","Kahuna Laguna is a tropical adventure park","Kahuna Laguna is a tropical adventure park located at the Red Jacket Mountain View Resort in North Conway, New Hampshire. The park was the first indoor water park in New England with over 40,000 square feet of water fun. Visitors are able to ride high speed tubes, body surf in the wave pool, play water basketball and play the latest arcade games. At the park are four high speed tubes, which finish with visitors splashing into a landing pool. A large 150 gallon tipping bucket will get visitors soaking wet without any notice! An activity pool with water cannons and play tower provide fun for the whole family. A shallow pool area has been designed for small children to have a safe and fun area to play in. The park is open year round with a new outdoor pool open for the warmer months and during the winter the center is warmed to 82 degrees with views of the valley through the glass walls of the park. The slides at the park include the 3-storey slide tower with high speed twists and turns finishing by landing in the 43,000 gallon pool at the bottom. There are two body slides and tube slides, which are 900 feet in length combined. These slides are the Bamboo Blast, Tsunami, Kahuna Falls and Laguna Plunge. The Wiki Wave Pool is powered by twin water and air powered pumps to create three patterns of powerful three foot waves in a 67,000 gallon wave pool. The maximum depth of the pool is five feet. The Bamboo Bay Adventure Tower features the 175 gallon tipping bucket to wet guests unexpectedly, has a climbing tower, small slides, squirting coconuts and water cannons. At Kahuna Court and Waterfall is the place to play water basketball and get dunked under the five foot waterfall. At the Little Kahuna Kids Play Area is a 9 inch deep activity pool and a three person slides, an assortment of water toys, four person baby bouncer and squirting lemon drop fountains to spray water on the little Kahunas. Visitors over the age of 6 are able to relax in the 25 person hot tub, which is set to a warm 102 degrees. When visitors get hungry they are able to dine at the Tiki Tide Caf, on many popular lunch items and drinks. The Tiki Tide Caf, is able to provide food for birthday parties, which can be held at the park, visitors will only need to provide a cake. After guests have finished playing in the water they are able to have a break and play in Aloha Arcade on the latest multi-players games, virtual reality games, pinball and air hockey. On Saturday and Sunday the park is briefly shut down between 10 - 11am for maintenance and safety checks. Upon entry to the park guests are issued with color coded wrist bands, which visitors use to access the water park and use if leaving and returning on the same day. Lockers, rest rooms, changing areas and swimsuit spinners, which fast dry swimsuits are available for visitors to use. Complimentary towels and life jackets are provided for guests. Lifeguards are on duty at the park to ensure a safe visit for all guests."
