Name,State,Title,Description
"Acacia Beachfront Motel","New-Jersey","Acacia Beachfront Motel","Acacia Beachfront Motel is located at 9101 Atlantic Avenue, Wildwood Crest, New Jersey. This hotel has a beachfront location for any guest who wishes to enjoy the Atlantic Ocean and water activities. The Acacia has several types of rooms at different rates based on the time of year one books them. The ocean front efficiency has one room with two double beds. These units have full size fridges, 2 burner stove top, microwave, sink, dinette set, and access to community grills.  The Acacia Beachfront Motel is set up more for long term stays than the short vacation. However, guests can book the rooms for any length of time. They have two room efficiencies with 2 double beds in a private room and a sofa bed in the living area. Another option is the two-room with private balcony. This efficiency has two double beds in the private bedroom and a queen sofa bed in the living room. The motel also offers three bedroom ocean view accommodations. Amenities include daily maid service, central air and heat, heated pool, television, internet, and en-suite bathrooms. There is parking available for one car per unit, shops nearby, and restaurants located near the motel for dining."
"Adventure Aquarium in Camden, New Jersey","New-Jersey","Adventure Aquarium in Camden, New Jersey","Situated on the Delaware River Waterfront, the Adventure Aquarium in Camden, New Jersey is a fun place for people of all ages. The interactive and educational exhibits delight crowds every year, and the site is the perfect spot for wedding receptions, corporate events and other important functions. Opened in 1992, the aquarium features 8,000 animals in semi-aquatic, freshwater and marine habitats. The total tank volume of more than 2-million gallons covers nearly 200,000-square feet of space. Popular exhibits include a state-of-the-art 4-D theater, featuring family friendly films; the Jules Verne Gallery, with fascinating information about deep sea creatures; Gill's Clubhouse, the new attraction aimed at educating children and adults about the anatomy and habits of sharks through interactive games, and Penguin Island, home to African penguins that swim, dive and play in a 17,000-gallon pool. Irazu Falls, located in the South Building of Adventure Aquarium, is an indoor rainforest with a full 2-story waterfall, pouring 400 gallons of water into a freshwater pool of arawana, pacu, stingray and other Amazon River fish. Tribal music and animal sounds, as well as the cascade of rushing water, add to the ambience and authenticity of the experience. Visitors also can check out the Mayan-inspired Rainforest Rendezvous, inhabited by a plethora of exotic, tropical creatures. Touch-A-Shark, an interactive exhibit, allows guests to reach into an exotic pool of saltwater and pet a rare mix of the aquatic creatures, including smooth dogfish and types of bamboo sharks, as they swim by. The exhibit is located on the second floor of the aquarium. Another section of the aquarium devoted to sharks - Shark Realm - is a 40-foot glass tunnel visitors can venture through for a one-of-a-kind journey. The tank holds more than 20 species of sharks and 850 animals in 550,000 gallons of saltwater. Guests in the tunnel are surrounded by sandbar sharks, sand tiger sharks and green sawfish. The exhibit captivates audiences as the ferocious nautical giants maneuver above and along all areas of the tunnel. Visitors can experience Swim with the Sharks, and take an even closer look at the animals, under the supervision of an expert shark handler. The Interactive Inlet takes guests on a trip around the world, highlighting many seldom seen sea creatures. Visitors are encouraged to touch and feel fresh-water stingrays, lobsters, slippery shrimp and moon jellyfish, which are baby jellyfish, introducing them to a unique sensory event. Caribbean Currents, featuring 15 warm-water exhibits, is filled with hundreds of brightly colored tropical fish, seahorses, pipefish and barracuda. Blue and gold macaws, and double yellow-headed Amazon parrots live in the beach portion of the exhibit. The West African River Experience offers a complete education about the massive, 3,000-pound Nile hippo and Feature Ridge, an enclosure with a variety of birds from around the world, including cattle egrets, abdim storks, violet turacos and more. Additionally, Creature Feature offers children and people of all ages a fun, interactive time. Next to Irazu Falls, the exhibit has invertebrates from the shores of the Pacific Northwest available for viewing and touching. Several species of sea stars, anemones, crabs, snails and more live and thrive in a recreated marine ecosystem. The Adventure Aquarium offers fun, exciting, educational and interactive exhibits and habitats for people of all ages and is wheel-chair accessible. Making reservations in advance of visiting the aquarium is recommended. Hours of operation are daily from 9:30 a.m.-5 p.m."
"Aqua Beach Resort","New-Jersey","Aqua Beach Resort","Aqua Beach Resort is located at 5501 Ocean Avenue in Wildwood Crest, New Jersey. There are four fix to six story buildings holding the more than 156 units in the resort. Guest must present confirmation when they arrive and may check in after three in the afternoon. Guests at the resort must check out before eleven in the morning.   Guests can not refuse maid service during their stay. Business, convention groups, couples and families are the only groups accommodated by the facility. A minimum of one night's rental as a deposit is required for the confirmation of reservations. The balance of the reservation must be paid when guests arrive. There are a number of amenities to make the stay more enjoyable. Amenities at the Aqua Beach Resort include gas grills at poolside and towels at the pool. There are free Wi-Fi, DVD rentals, HBO and hair dryers available. The facility offers free barbeques twice a week during the months of July and August. There are also beach umbrellas, boogie boards and beach chairs available at no charge to guests. The resort also offers a number of options for dining and entertainment to make the stay more enjoyable. Additional information about rooms, rates and other services offered should contact the Aqua Beach Resort directly."
"Armada by the Sea","New-Jersey","Armada by the Sea","Armada by the Sea is located in New Jersey, visitors come here for a vacation that is adventure packed and they also come here to rest and relax, or they come here for adventure then rest and relaxation. The resort overlooks the beach and ocean and is located adjacent to the Wildwood Crest fitness park and close to many other Wildwood attractions.   There are many different room types available at the resort which suit many needs and budgets. There are two-room suites along with motel accommodations all of which have refrigerators and microwave ovens. Other rooms include the three-room suites which features a fully-equipped kitchen and views of the ocean. Each room at the resort feature an ocean view along with Sunny southern exposure, free wireless internet, an Olympic sized heated pool with a separate kiddie's pool, daily maid service a covered barbeque grill at poolside and a game area to keep all visitors entertained. Staff at Armada by the Sea are able to assist visitors with arrangements to many Wildwood attractions such as the Boardwalk Excitement, water parks and amusement piers, the Hereford Inlet Lighthouse, Cape May County Park and Zoo or the Atlantic City Casinos which provides shuttle bus services to ensure all guest travel safe and comfortably. Staff at the resort strives to the goal that all guests have a memorable vacation and their stay is remembered due to the services that they received from staff along with being comfortable and safe at all times."
"Atlas Inn","New-Jersey","Atlas Inn","The Atlas Inn is located on Cape May in New Jersey. It is an island hotel with oceanfront views. It is fashioned in a modern style with spacious rooms and balconies in most of the rooms. The suites offer facilities such as microwave ovens. All rooms have free wireless internet for business or leisure requirements. Included in the rooms are hair dryers, cable TV, coffee makers, fridges, and comfortable seating. Additionally the property is completely smoke free.  Guests must be 21 years old in order to book a room. Onsite is a swimming pool with a safe kiddie pool, and barbeque grill and poolside bar surrounding it. Bloody Mary's Bar and Grill provides dining and drinks in a tropical setting. Seafood is often served with a fresh catch of the day offered. Cape May is 50 miles away from Atlantic City for those who wish to play and then come back to rest. Philadelphia is also close being 87 miles away, making the hotel a nice weekend getaway for city folk nearby. The hotel provides 90 different rooms with balconies or decks depending on where it is located in the hotel. Guests can enjoy views of the sea morning to night."
"Bally's Atlantic City and Claridge Tower","New-Jersey","Bally's Atlantic City and Claridge Tower","Located in the center of all the action in Atlantic Cit at the intersection of the Boardwalk and Park Place Bally's Atlantic City and Claridge Tower offers an excellent location for guests who want to fully experience the city that's Always Turned On.  The 502 guestrooms at Bally's feature heated lamps in the bathrooms, rich wood furnishings, 32-inch plasma televisions, granite vanities, and large closets. Bally's various themed casinos includes slots, roulette, blackjack, poker, and craps, among other casino games. Bally's Claridge Tower is a 60,000-square-foot casino offering a myriad of gaming options: over 1,700 gaming machines and 64 table games. The hotel features stylish and elegant décor, casinos, dining, spa excursions, and nightlife. Bally's 40,000-square-foot Spa & Health Center offers a full menu of spa treatments and experiences. In addition guests can choose from one of twelve dining establishments that range in menu and price. Bally's also features plenty of entertainment, including boxing matches, live music, and performances. By car Bally's Atlantic City sits 70 minutes southeast of Philadelphia International Airport and just under 2 hours from Newark International Airport. Nearby tourist attractions include the Boardwalk, Steel Pier Amusements, Absecon Lighthouse, Atlantic City Aquarium, Historic Gardner's Basin, and Atlantic City Historical Museum."
"Bally's Atlantic City Casino -- Atlantic City, New Jersey - Hotel, Resort, and Casino","New-Jersey","Bally's Atlantic City Casino -- Atlantic City, New Jersey - Hotel, Resort, and Casino","Bally's Atlantic City Casino is a hotel, resort, and casino located on the Boardwalk in Atlantic City, New Jersey. It has been open and operational since its opening in 1976 when gambling first became legal in Atlantic City. The resort as a whole features a spacious gaming area that covers over 220,000 square feet and features a number of different casinos. It also features 1,753 contemporary hotel rooms that are divided among four hotel towers and 80,000 square feet of meeting space, as well as a theater, 21 restaurants, 2 indoor pools, and numerous shopping venues. The main draw for many visitors to Bally's is the wide variety of gaming options it features. Guests have their pick of blackjack, craps, baccarat, slots, poker, and more. However, Bally's is as well-known for its unique themed casinos and slot parlors as it is for the quality of its gaming. One of the most popular and well-known of these is the Wild Wild West Casino, which naturally features a Western theme. Dycor includes an animatronic mountain covered with colorful characters including talking animals and a 49er panning for gold. Above the mountain, an impressive sky display complete with lightning and thunder rounds out the scene. The rest of the Wild Wild West Casino keeps to this theme as well and features weathered buildings and restrooms decorated to look like abandoned mine shafts. Fine dining is also a huge part of the Bally's experience. Some of the most popular and critically acclaimed venues include, but are not limited to the following. The Red Pearl offers modern Eastern cuisine in a hip, sophisticated setting. The Reserve is known for its varied offerings of fine beef, pork, lamb, poultry, seafood, and more. Arturo's offers traditional yet delicious Italian food in a modern setting that's packed with flare. Many casual dining venues and cafes are also available to help offer a well-rounded, versatile dining repertoire. However, Bally's has much more to offer beyond gaming and food. A variety of entertainment and special shows can be experienced in the main ballroom. It has been host to such events as Top 40 concerts and heavyweight boxing matches. The Bellezza Salon and the Spa at Bally's are the perfect choices for guests who consider pampering to be a proper part of any vacation. A variety of chic, modern bars offer guests a fabulous array of nightlife options. Last but not least, Bally's is dedicated to offering shopping enthusiasts a fantastic selection of options as well, ranging from upscale designer boutiques, to discount outlets, to souvenir shops. Children and families may want to visit Bally's Family Fun Center where there is not only a spacious pool area, but an arcade area as well. The arcade features classic video games, skill cranes, sports-related games and more. Players earn tickets that can be redeemed on a number of prizes, some of them quite impressive. Prizes cover a wide range of bases and include everything from candy and toys to jewelry, iPods, and Wii accessories."
"Beaulieu Vineyard","New-Jersey","Beaulieu Vineyard","Beaulieu Vineyard is located in Rutherford Napa Valley, California. The vineyard has been creating fine wines for over 100 years and is open for tastings, tours and special events.   The different wine tastings that are available include the Maestro Wine Tasting which offers a choice of four wines to taste, the Cabernet Tasting is for lovers of cabernet and the Reserve Room Tasting which houses the most comprehensive wine library in California, guests who attend this tasting will be able to taste vintage wines. The annual harvest starts in August and a lunch is held each year where guests will enjoy food paired with the right wine, education and a causal lunch. In September guests are invited to attend the Annual Crush Camp. On this camp visitors will be able to pick the grapes, learn how the wine in made along with a seminar on how to taste and identify wine characteristics, along with having a fun day at the winery. Beaulieu Vineyard is the leader in the Napa Valley in the Development of Cabernet Sauvignon. The tastings held at the vineyard show how unique and exclusive their wines are. Visitors are welcome to purchase bottles from the Visitor Center within the vineyard to take home and enjoy."
"Belmar Beach and Boardwalk","New-Jersey","Belmar Beach and Boardwalk - Belmar, NJ - a beach and boardwalk offering an ideal vacation","A borough located in Monmouth County found in New Jersey is Belmar where Belmar Beach and Boardwalk is located. The area was first known as the Ocean Beach borough that had a population of over six thousand people during 2,000 according to the census. In 1890 the area became the Borough of Belmar. The area is also home to the Belmar Beach and Boardwalk. Belmar Beach is one of the most popular spots for surfing found on the East Coast that hosts a number of surfing competitions and events. St. Rose High School hosts Jersey Shore Basketball League each summer. There are also a number of conditions that make the beach an ideal area for vacationing. Admission to Belmar Beach and Boardwalk is $7 for the day and $50 for the season. Those ages sixty-two and over only pay $15 while those under the age of sixteen can visit the facilities at no cost to them. There are lifeguards covering twenty-one blocks of the beach from nine in the morning until five in the evening on weekends from Memorial Day though the weekend of Labor Day. The lifeguards start working at the beach daily on the fifteenth of June. The Belmar Beach and Boardwalk offers free parking on side streets and Ocean Avenue offers visitors metered parking. There are restaurants, food stands, public restrooms and small shops in addition to indoor cafes along the boardwalk. There are also smoking areas which are clearly marked for the convenience of vacationers. Annual events such as the Sand Castle Contest, New Jersey Seafood Festival and others are held here. There are also a number of other annual events held at the beach which additional details can be gotten about by contacting them directly. The dates and times of the events could effect when you decide to take your vacation or make you decide that you want to extend your vacation to ensure that you are there for the festivities. Those wishing to dine while at the beach can visit Connolly Station which serves Irish food. Bar Anticipation is at Lake Como and provides live entertainment to guest and provides an outdoor area for serving. There is also 507 Main which offers an outdoor patio and live entertainment. This means that everyone can find something to do while visiting the Belmar Beach and Boardwalk in Belmar, New Jersey. The surrounding community has bungalows and Victorian homes on streets lined with trees. During 1973 the naming of Bruce Springsteen's E Street Band was done here. The downtown area became increasingly friendly to pedestrians with the Belmar Seaport Village. There are also condominiums and homes found in the commercial area of downtown to make the area more convenient to visit. The diverse history of Belmar, New Jersey and the beauty of Belmar Beach and Boardwalk are just a couple of reasons to visit the area the next time that you take a vacation. There are also a variety of options for entertainment and dining; if you are in the area when one of the annual festivals or other events are being held you should make it a point to stop by the beach to enjoy the festivities."
"Bergen Town Center","New-Jersey","Bergen Town Center - Paramus, NJ - a mall offering something for everyone","A regional shopping center found at Forest Avenue and Route 4 in Paramus, New Jersey with eateries and specialty shops is the Bergen Town Center. The store offers free parking with more than five thousand spaces. There is a new parking garage that has over seventeen hundred spaces. The mall is open from 10am until 9:30pm Monday through Saturday. Mall walkers can visit the mall as early as seven in the morning on Monday through Saturday in order to walk a quarter of a mile between stores. Target, Nike Factory Store, Saks Off 5th and Filene's Basement are among the stores found in Bergen Town Center. The hours of stores in the mall may vary from those of the mall itself. Patrons may wish to contact the stores individually to find out what the individual hours are for each. Bergen Town Center offers a variety of services at Customer Service. Patrons of the mall can receive general information about the facilities, merchandise and stores. There are complimentary wheelchairs, assistance with security and a lost and found. The Customer Service at the Bergen Town Center also offers information about public transportation and employment opportunities at the mall. Mall gift cards may also be gotten at the mall's customer service facilities. The gift cards can be purchased in amounts of as little as $20 to as much as $500. There are a number of facilities in Bergen Town Center to make patrons visits more comfortable. Restrooms have baby changing stations to help make family visits to the mall easier and allow patrons to fully enjoy the visit without worry. There are also automatic doors, teller machines and mail boxes available in addition to a community room. There is security available at the mall twenty-four hours a day just by visiting Customer Service. There are a variety of services offered by the security at the mall. Phone numbers for locksmiths can be gotten when you lock the keys in the car. Patrons can get escorts to their car, help with packages and even finding their car. Security also offers jump starts to those that cannot get their cars to start. There is a courtesy code in place at the Town Center. The courtesy code of Bergen Town Center calls for appropriate clothing to be worn. Conduct that can be disruptive or put others in danger in not permitted in the mall. Criminal acts are not permitted in the mall either. Those wishing to solicit, petition, distribute handbills or picket are required to obtain written permission from the management prior to participating in these activities. There are trash receptacles at various locations in the mall for patrons convenience. There is no loitering or blocking of vital areas prohibited in the mall. Written consent must be obtained in order to film, photograph or videotape in the mall. All patrons are asked to observe the courtesy code at all times; those that fail to do so will be asked to leave the facilities. A second offense will result in banning from the center."
