Name,State,Title,Description
"Abiquiu Inn","New-Mexico","Abiquiu Inn - Abiquiu, New Mexico - Hotel with Casitas in O'Keefe Country","American modernist artist Georgia O'Keeffe (1887-1986) lived and worked in Rio Arriba County, where the tranquil, ranch-style Abiquiu Inn offers 19 guest rooms, suites, and casitas with Southwestern dycor. Tours of O'Keeffe's home originate here, and the hotel's gift shop contains a large collection of O'Keeffe memorabilia as well displays of works by local artists, Pueblo and Tarahumara Indian pottery, Native American jewelry, kachina dolls, decorative baskets, and more. All units feature beds with pillow-top mattresses, and a variety of room configurations are available: queen bed, king bed, two double beds, or two beds with a pullout sofa. Many of the rooms have kiva fireplaces and Native American-inspired viga ceilings. There are fully equipped kitchens in the independent casitas, which have private verandas with hammocks and offer views of the Plaza Blanca. Complimentary coffee service is provided in all guest rooms. Also on the premises is the Cafy Abiquiu, offering a diverse menu of nuevo New Mexican cuisine. It is open for breakfast, lunch, and dinner in season. The Abiquiu Inn is located in the valley of the Rio Chama River at 21120 U.S. Highway 84, Abiquiu, New Mexico 87510. Pets are welcome, and facilities are available for small, intimate gatherings, such as art seminars, weddings, retreats or workshops."
"Al's Run","New-Mexico","Al's Run - Taos, New Mexico - Steep Ski Slope, Heavy with Moguls","The sign above the lift-ticket booth at Taos Ski Valley puts the slope known as Al's Run in perspective: DON'T PANIC! You're looking at only 1/30 of Taos Ski Valley. We have many easy runs too!'' For a fact, Al's Run has gained a reputation, even among experts, as a famously difficult run.'' Travel and Leisure magazine went a bit further, listing it among the World's Scariest Ski Slopes.'' Indeed, it is so heavy with moguls and the drop is so steep that upon seeing Al's Run for the first time one skier described it as a gigantic egg carton that someone has stood on edge.'' The free-fall drop at the top of the run, mammoth-size moguls lower down, and excellent views of the village below make Al's Run a bucket list'' experience for experienced skiers from New Mexico, Colorado and far beyond. The run got its name from a local surgeon and ski enthusiast, Dr. Albert M. Rosen, who helped get Taos Ski Valley off the ground. The length of Al's Run is 1,800 vertical feet. Primary access from the base area at 9,400 feet is via two lifts that pass directly above the narrow bump run. One is a modern four-seat Poma, while the other is the original two-seater, a surface lift built in 1955 by adapting some old mining machinery. The latter is still used on busy weekends."
"Alameda Park Zoo in Alamogordo, New Mexico","New-Mexico","Alameda Park Zoo in Alamogordo, New Mexico","Founded in 1898, the Alameda Park Zoo is located in Alamogordo, New Mexico and is the oldest zoo in the Southwestern United States. Situated at the end of Alameda Park, the zoo was initially created as a form of entertainment for train passengers who waited while trains were refueled. When the zoo was first opened, local residents gifted the zoo with exotic pets such as skunks, birds and raccoons. In the 1970's and 1980's, the original chain link fences that once served as cages were replaced. During the 1970's, the zoo became a rundown haven for drifters, faced with closing the zoo or upgrading the facilities, the city added perimeter fencing in 1986, to control access. The Alameda Park Zoo is the smallest zoo to be accredited by the Association for Zoos and Aquariums, which means the zoo meets the rigorous criteria for high standards of animal care, education and conservation. The zoo is dedicated to a natural environment, education about the environment, recreation, biological research and conservation of local and global resources. Alameda Park Zoo strives to provide guests with the audio, visual and tactile means to understand the relationship between man and animals. The Alameda Park Zoo is a twelve acre facility that has over 250 exotic and indigenous animals displayed in exhibits that simulate a natural environment. Notable species that can be found at the zoo include the Mexican Gray Wolf, the Hawaiian Goose, the Markhor Goat and the White Sands pupfish. Other more exotic species include African lions, cougars, bison and a wide variety of birds. The zoo is unique in that it promotes the survival and breeding of the threatened Mexican Gray Wolf, and participates in a Species Survival Plan through its facilities. Since 1994, the zoo has had seven Mexican Gray Wolves born in captivity. As of 2006, the zoo had two Mexican Gray Wolves in residence and continues to be one of the leading research and breeding facilities for Mexican Gray Wolves in the Southwestern United States. Alameda Park Zoo also has a bird of prey rehabilitation program. Each year the zoo receives a high number of injured and sick birds of prey. The zoo is devoted to healing and rehabilitating the birds, if well enough, the birds are then returned to the wild, if not, the birds are kept in the zoo for their own protection. When visiting, guests are treated to educational and informative tours, programs and lectures that inform them about the 40+ exhibits contained at the zoo. Admission is free of charge and the zoo is a non-profit facility that relies on private donations and revenue from sales for its upkeep and maintenance costs. Each year, the zoo invites guests to take part in various festivals and activities that are geared towards conservation and recreation. The Alameda Park Zoo is dedicated to make learning and education fun for people of all ages."
"Albuquerque Biological Park in Albuquerque, New Mexico","New-Mexico","Albuquerque Biological Park in Albuquerque, New Mexico","The Albuquerque Biological Park is a conglomeration, consisting of the Albuquerque Aquarium, the Rio Grande Botanic Garden and Tingley Beach. Together these four facilities compose the Albuquerque BioPark.  The park provides the public with various exciting recreational activities that promote both education and environmental awareness. The Albuquerque Aquarium is a facility located next door to the Rio Grande Botanic Garden. The aquarium showcases exhibits of Rio Grande freshwater species and saltwater species from the Gulf of Mexico. The exhibits simulate a wide variety of habitats including a surf zone, an estuary, coral reefs, open and deep ocean and shallow water. The most popular attraction at the facility is the 285,000 gallon saltwater tank which is home to sandtiger, blacktip, brown and nurse sharks, various colorful reef fish, sea turtles, eels and open ocean species. Guests are invited to view the aquarium divers as they feed the fish, clean the tank and go about other daily activities. Other notable exhibits of interest include a retired Gulf shrimp fishing boat, jelly fish, seahorses, an eel tunnel and Koi fish. The Rio Grande Botanic Garden is a twenty acre botanical garden and conservatory located along the Rio Grande. The garden features the largest cottonwood gallery in the world and the conservatory contains native and exotic plants from all over the world. The outdoor gardens feature drought resistant desert plants. More notable exhibits of the garden are a butterfly conservatory, a 20th century model farm house complete with living animals, a railroad, a children's fantasy garden and a Japanese Garden. Founded in 1927, the Rio Grande Zoo is a sixty-four acre facility, home to more than 250 species of exotic and indigenous animals.  Animals species featured at the zoo include sea lions, gorillas, elephants, camels, hippos, monkeys, tamarins, koalas, zebras, mountain lions and chimpanzees. Professional landscaping and modern displays enhance the zoo by simulating natural habitats complete with rocks, trees, grass and waterfalls.  Other areas to visit are the African exhibit, Australian exhibit, the catwalk and Tropical America. Visitors are invited to walk the grounds and ride the narrow gauge railroad to other facilities located within the park. The recreational area of the BioPark is located on the east side of the Rio Grande, and called Tingley Beach. The area was originally known as Conservatory Beach, and consists of a series of small ponds that were designed in the 1930's to divert water away from the Rio Grande. The beach was closed for fishing in the 1950's and was used during this time for fishing. In 2004 Tingley Beach was thoroughly renovated and reopened to the public in 2005. The park now contains fishing areas, a boat pond, paddle boats, nature trails, and a restaurant and gift shop. The BioPark is open daily except New Years, Christmas Day and Thanksgiving, and is closed occasionally for special events so it is necessary to check the calendar of events prior to visiting. The park offers carry-all wagons, wheel chair and stroller rental for guest convenience. Visitors to the BioPark are encouraged to learn about conservation, and the park continues to be a leading facility helping people to learn about animals and their habitat."
"Albuquerque Convention Center","New-Mexico","Albuquerque Convention Center - Albuquerque, New Mexico - Downtown Venue for Gatherings of All Kinds","At the 2009 Official Best of New Mexico'' awards, the Albuquerque Convention Center was named the state's Best Event & Meeting Venue.'' Its 2,300-seat Kiva Auditorium has hosted such celebrities as Duran Duran, Norah Jones, and Jerry Seinfeld. Its calendar features events as diverse as the NCAA Division II Indoor Track and Field Championships, the Indian Arts and Crafts Association Spring Market, and the Jehovah's Witnesses Circuit Assembly. The facility has some 167,000 square feet of exhibit space, almost two-thirds of which is contiguous and column-free space. There are 27 flexible meeting rooms for gatherings of anywhere from 10 to 1,110 people. The Ballroom alone covers 31,000 square feet and can handle banquets for up to 2,000 guests or general sessions for 2,500 participants. Services available include rental of audio-visual equipment, meal catering, Internet access, event management, and more. The exclusive food and beverage provider at the Albuquerque Convention Center is SMG, a leader in public facility management with an excellent team of chefs, banquet managers, waiters, and support staff. The Albuquerque Convention Center is located between Marquette and Tijeras avenues in the heart of the downtown at 401 2nd Street NW, Albuquerque, New Mexico 87102. Some 1,500 parking spaces are available for $6 per vehicle at the Convention Center Garage on Martin Luther King Boulevard at Broadway. Overflow parking can be found in the Civic Plaza garage at Marquette and 3rd Street."
"Albuquerque International Airport","New-Mexico","Albuquerque International Airport","Albuquerque International Airport is located in Albuquerque, New Mexico. The airport is renowned for its full service facility. Each year they see about six million passengers come through the airport. Albuquerque International is the largest commercial airport in New Mexico. The airport is a gateway to several international locations and diverse cultures. The airport has enhanced security, making it safe for passengers to travel. They enforce the curbside restrictions and all other security laws. The commercial airlines servicing the airport include AeroMexico, American Airlines, Continental, Delta, Frontier, Great Lakes, New Mexico, Northwest, Southwest, United Airlines, and US Airways. These airlines serve other areas of the United States helping passengers get where they need to be. Southwest flies to more stops than any other airline at the airport. Their stops include Baltimore- Washington, Chicago, Dallas Love Field, Denver, El Paso, Houston, Las Vegas, Orlando, and Tampa. AeroMexico takes passengers to Chihahua and other Mexican locations. Albuquerque International Airport provides cargo flights as well. Their cargo flights are through DHL, FedEx, and UPS. It is possible to speak with any of these companies to set up any type of cargo whether it is a small package or something a little larger. There are three main levels to the terminal, a commuter airline gate, and 2 concourses. The terminal includes the baggage claim on level one, ticketing on two, and the checkpoint. Concourse B offers Earth Spirit, Thunderbird Curio, and Hudson News for shops. They also have Fiesta Gifts and Gifts Unique. Restaurants on Concourse B include La Hacienda Mexican Restaurant, Pizzeria Express, Baskin Robins, Comida Buena Gourmet Deli, and Sunport Snack Shop. There is Lenny's Ringside lounge for individuals who want a place to sit down. Services such as handicap assistance, telephones, ATM, and laptop charging stations are available for consumers to use. Concourse A has a few additional shops and eateries than Concourse B. On Concourse A, Quiznos, Black Mesa Coffee Shop, Route 66 Microbrewery, and Winners Sportsbar are offered. The kiosks and shops include Senor Murphy Candymaker, Zia Gifts, Hudson News and Fiesta Gifts. The same services are also offered on Concourse A. Parking at Albuquerque is available on four levels. There is space for 3,400 automobiles. There are 500 long term parking spots. The facility is open for 24 hours a day. Parking is $1 for up to thirty minutes, and $10 a day after three days. Parking rates can change at the discretion of the airport so it is a good idea to check before going to the airport. Car rentals, taxis, and public transportation can be obtained for individuals who are staying in Albuquerque. Visitors and business travelers are able to enjoy many amenities. Around the airport are an aquarium, balloon museum, botanic garden, and convention center. The convention center allows business travelers to hold meetings or other events. Albuquerque has a diverse culture with Spanish, American, and other cultures living in the city. For that reason there is a lot of history that can be viewed in museums."
"Aliens and Economic Growth","New-Mexico","Aliens and Economic Growth"," Most think of one thing when Roswell, New Mexico is mentioned: aliens. So intense is the lore surrounding what is known as the 1947 Roswell Incident that much of the other highlights and history of city are completely overlooked. In 1891, the New Mexico Military Institute opened.  The school includes high school as well as a junior college. Many notable men have graduated from the institute including Sam Donaldson and Conrad Hilton. Many graduates have gone on to West Point . The early history of the city included thefts and murders by Apache Indians, and retribution for the same. One Roswell cattleman, John Chisum, was tired of having his horses stolen and his cattle hands murdered. He organized some citizens and staged the raid of an Apache camp where many stolen horses were recovered. This act helped to end the seemingly endless attacks by the Apaches . The Enola Gay, the plane that dropped the atomic bomb on Hiroshima in 1945, was stationed there and the city seemed to instantly decrease in size when half of the population departed after Walker Air Force base was closed in the 1970's . For all of its history and struggles, however, the 1947 event is what truly put Roswell on the map. In 1947, there had been a number of UFO sightings all over the country.  Then, in July, something came crashing to the ground in Roswell. A press release dated July 8, 1947 stated that debris from a disk had been recovered, but hours after it was released, that press release was replaced by one that said the debris that had been found was from a weather balloon. In the 50 plus years since the incident, many of the original eyewitnesses have come forward to try and shed light on what really happened that day. One such witness was Jesse Marcel, who was a major in the Air Force at the time of the incident.  In sharp contrast to the official story, Marcel said that the debris he recovered could not have been from a weather balloon or from any type of aircraft. He also said that there were strange characters etched into some of the metal debris that he found . While no one has been able to prove beyond a doubt that aliens crashed in Roswell that day, many believe that no one has been able to disprove it either. The popularity of the mystery surrounding the Roswell Incident has turned into a multi-million dollar tourism industry for Roswell. Roswell has many museums, most of which offer free admission, and an increasing retail presence in the downtown area of the city help to round out the city and assist in its continuing economic growth ."
"Andrea Fisher Fine Pottery","New-Mexico","Andrea Fisher Fine Pottery - Santa Fe, New Mexico - Gallery of Top Southwest Pottery","Specializing in authentic Native American Indian pottery, Andrea Fisher Fine Pottery has an expansive display of pieces dating from the 1880s to the present. The collection was started in 1993 to showcase works from the Southwest and the village of Mata Ortiz in Chihuahua, Mexico. Today, it includes a large selection of pieces by Maria Martinez of San Ildefonso Pueblo, acknowledged as the world's most famous Indian potter. New arrivals are scheduled weekly and announcements are sent out to subscribers via e-mail and regular post. Representative of recent listings are a selection of old Cochiti animals and works by Maria Popovi, Melvin Moquino, Robert Patricio, Andrew Padilla, and Candelaria Suazo, to name just a few. The gallery hours in summer are 10am to 6pm on Monday through Saturday and noon to 6pm on Sundays. The shop closes at 5pm in winter. For shipments via UPS, all packing is conducted in-house, double boxed and insured. Appraisals of American Indian pottery are also offered at $100 per item. Andrea Fisher Fine Pottery is located near the corner of Galisteo Street in Santa Fe's historic plaza area at 100 West San Francisco Street, Santa Fe, New Mexico 87501-2112. Curbside metered parking is available just up the street."
"Art Center at Fuller Lodge","New-Mexico","Art Center at Fuller Lodge - Los Alamos, New Mexico - Promoting Visual Arts for All Ages","Established in 1977, the Art Center at Fuller Lodge seeks to enrich the quality of life in Los Alamos through exhibits, classes, workshops, and gallery talks related to the visual arts. It grew out of the post-war activities of the Los Alamos Arts and Crafts Association, with support from the Los Alamos Arts Council and Pajarito Art League. Today, the Art Center manages an art gallery and shop within Fuller Lodge in the heart of the Los Alamos historic district. Throughout the year, classes are conducted here for children and adults in ceramics, painting, drawing, and other visual arts. A six-week Art Camp is open to primary school students in the summer. There are also annual Arts and Crafts Fairs held in August and October along with an Affordable Art Sale in December. A wide variety of works by local and regional artists can be seen on display, with opening receptions held at 5pm on the first Friday of each new exhibition. The Gallery Shop sells artwork on a juried consignment basis, stocking fine arts and crafts by 87 member artists. The Art Center at Fuller Lodge is located one block west of the downtown Post Office at 2132 Central Avenue, Los Alamos, New Mexico 87544-4041. Operating hours are 10am to 4pm on Monday through Saturday. There is no fee for admission."
"Ashley Hotel and Suites","New-Mexico","Ashley Hotel and Suites - Los Alamos, New Mexico - No-Frills Lodgings Downtown","Formerly known as the Quality Inn & Suites, the Ashley Hotel and Suites is located next to picturesque Ashley Pond in downtown Los Alamos. It provides simple and convenient accommodations for business and leisure travelers alike. Complimentary high-speed Internet access is provided in all rooms. Amenities include cable television service with pay-per-view movies, climate-control air conditioning, a multiline phone with voice mail and data ports, and a clock radio. Also standard are a coffee maker, a full-sized ironing board and iron, and a hair dryer. Extra towels and bedding can be provided upon request. Microwave ovens are available, too. The hotel's on-site facilities include a seasonal outdoor swimming pool, a 24-hour front desk, and free coffee service in the lobby. Although the property has no restaurant of its own, several are within easy walking distance and in-room dining is available. Guests are also invited to enjoy a free continental breakfast each morning in the hotel's newly-constructed office and breakfast area. The Ashley Hotel and Suites is located at 2175 Trinity Drive, Los Alamos, New Mexico 87544-3048. Parking is available on site, small pets of less than 50 pounds are allowed for a fee, and smoking is permitted."
