Name,State,Title,Description
"254 East Vacation","New-York","254 East Vacation","Located in America's wealthiest zip code, 254 East Vacation in New York City allows guests to experience the lavish living style of the Upper East Side while enjoying convenient access to many nearby Manhattan experiences.  This ten-room vacation residence, located in the heart of the arts district sits as a private brownstone on 74th Street between 2nd and 3rd Avenue. Each room features distinct décor, upscale furnishings, and comfortable amenities. Guests can choose from guestrooms such as a loft, a one-bedroom apartment, a suite, or a studio apartment that sleep from one to four guests. This non-smoking establishment, enclosed by a historic wrought iron gate, provides jetted tubs, marble countertops, kitchens or kitchenettes, cable TV, and DVD players. Other amenities include express check-in and check-out, wireless internet access in public areas, and air conditioning. Recreational activities nearby include basketball, tennis, bicycle and scooter rentals, and a playground. By taxi, 254 East Vacation is just 15 minutes west of LaGuardia International Airport. The hotel is within walking distance of Central Park, Times Square, the Theater District, Whitney Museum of American Art, Central Park Zoo, and Mission of St. Kitts and Nevis. Other nearby tourist sites include MoMA, Carnegie Hall, Rockefeller Plaza, and St. Patrick's Cathedral, to name a few."
"414 Hotel","New-York","414 Hotel","With views of restaurant row, 414 Hotel is a boutique hotel in the heart of Manhattan and boasts superior customer service and immaculate guest rooms.  The 414 Hotel is housed in two historic townhomes located one in front of the other and separated by a lush courtyard. The hotel consists of 22 stylish guestrooms, including one King Suite. They include amenities such as spacious bathrooms, premium cable television channels, high-speed internet access, 37-inch flat-screen televisions, iHomes, plush bedding, and Lanovera toiletries. Business travelers can utilize the hotel's round-the-clock business services, such as fax, messenger, delivery, and postage. In addition, 414 Hotel offers 24-hour concierge service, complimentary continental breakfast, and assistance with dry cleaning, restaurant reservations, and transportation. 414 Hotel is about 20 minutes west of LaGuardia International Airport by taxi. The hotel is within walking distance of Hell's Kitchen, Jacob K. Javits Convention Center, and the New York Public Library. Other nearby tourist sites include MoMA, Carnegie Hall, Ground Zero, Rockefeller Plaza, Central Park, Times Square, the Theater District, Central Park Zoo, Mission of St. Kitts and Nevis, the Empire State Building, New York Skyride, Grand Central Station, and St. Patrick's Cathedral, to name a few. Hotel staff provides friendly assistance with daily excursions to local tourist sites or evening dining and entertainment."
"6 Columbus","New-York","6 Columbus","6 Columbus Hotel is part of the Thompson Hotel Chain. This hotel is located in New York City, New York with plenty of art deco and modern contemporary appeal. 6 Columbus is said to have a retro appeal with an interesting yet tranquil color scheme. The hotel was designed by Steven Sclaroff with a 1960s design for the 21st century. A lot of teak and chrome was used in the rooms and public areas. The Blue Ribbon Sushi Bar and Grill is found in the lobby offering Japanese cuisine for breakfast, lunch and dinner.  Public amenities of the hotel include a concierge service, room service, twice-daily housekeeping, valet parking, airport transport, wireless internet, and domestic/ international newspaper delivery. Visitors can plan an event at the hotel or have the concierge set up a tour of the city. The rooms are 200 square feet with queen beds, 400 thread count Sferra linens, 60s style artwork, and a blue tiled bathroom. The waterworks fixtures are MOD style with illuminated mirror to complement the bathroom's overall décor. Terry robes and CO Bigelow bathroom essentials are part of the amenities. The rooms also have LCD screens, iPod docks, and mini bars with Dean and Deluca snacks."
"60 Thompson","New-York","60 Thompson","The 60 Thompson Hotel is located at its namesake address, 60 Thompson Street in New York City. The Bohemian and chic allure of the hotel has drawn celebrities, well to do visitors, and the elite travelers for years and provides some of the most luxurious and modernized amenities found in any New York City hotel. Among the most popular and alluring amenities at the hotel include the rooftop bar with amazing and panoramic views of the city and the Kittichai Thai Restaurant with international cuisine.  The premier Manhattan hotel provides 24-hour concierge and room service as well as a twice daily housekeeping service. Valet parking is offered at the hotel including airport transportation and chauffeured car service. The guest rooms include large king size beds with 400 thread count linens, private balconies that offer unobstructed views of the New York City skyline, two marble stone bathrooms and mosaic floors, and separate shower and soaking tubs found in the master bedrooms. A mini-bar can be found in each and every guest suite stocked with Dean and Deluca gourmet snacks. LCD flat screen televisions are found in each room along with iPod docking stations. All of the most modern amenities money can buy are found at the 60 Thompson."
"70 Park Avenue Hotel","New-York","70 Park Avenue Hotel","As one of the very few lodging available on one of Manhattan's most famous thoroughfares, 70 park avenue hotel - A Kimpton Hotel provides convenience as well as a luxurious urban hideaway. Many guests consider it to be ultimate pied à terre a haven on the corner of 38th Street, only steps away from Grand Central Station and within easy reach of everything midtown.  As a boutique hotel, 70 park avenue hotel features 205 guestrooms designed by noted interior specialist Jeffrey Bilhuber, whose signature style is American Classicism. Nine different types of units are offered, ranging from the Double Rooms with 225 square feet of floor space to the 700-square-foot Penthouse Suite with its wrap-around balcony, two bedrooms, and two living rooms. In-room spa services are available to guests, including massages, body treatments, and soothing facials that use environmentally friendly, wild-crafted, natural and organic ingredients. Fining dining takes place in the 84-seat silverleaf tavern, with breakfast served from 7am to noon on weekdays (an hour later on weekends), and a dinner menu offered Monday through Saturday from 5pm to 11pm. For meeting and event planners, a 645-square-foot meeting room can be reserved and catering provided. The 70 park avenue hotel - A Kimpton Hotel is located at 70 Park Avenue, New York, New York 10016. The hotel is very pet friendly and can arrange for paw spa treatments, manicure, pedicures, a hotel dog bed, toys, and a dog umbrella for outings; additional fees apply."
"A Destination Kids will Love","New-York","A Destination Kids will Love","The Eva Caten Remington Education Center, which opened in September, 2004 is part of a larger museum complex anchored by The Frederic Remington Art Museum. Frederic Remington is known as possibly one of the greatest western artists of the 20th Century. It would be impossible to discuss The Eva Caten Remington Education Center without mention of Frederic Remington, Eva's husband and lifelong companion. Kid's Place is devoted to the education of young people in the various areas of art. It is through the studies of Frederic Remington's work that this goal is achieved. Kid's Place offers North Country families and museum visitors unparalleled learning, art, and play areas in the shape of children's interactive galleries and an art studio. Combined these spaces compose is now call Kid's Place! Through the use of interactive displays and activities children at the Eva Caten Remington Education Center are encouraged to develop their individual creative skills. The facilities are equipped with exhibits to capture imaginations, expand their knowledge and appreciation of art, and most importantly, stimulate their creativity. Imaginative games and learning activities related to Frederic Remington's years in the North Country and his endeavors as America's foremost Western artist function as the catalyst from which youngsters can grasp what it means to be an artist and better appreciate their surroundings. The various games, puzzles, and other distinctive opportunities developed primarily with children ages four through fourteen in mind help ignite enthusiasm and energy in the children who visit the facility. The staff has achieved a seamless transition from play to learning. Together with their families, friends, or fellow students, visitors of all age groups will be able to explore concepts associated with Remington's sculptures, paintings and writings and hopefully come away with some new ideas on how to further pursue their own artistic talents. These learning experiences flourish in this energetic, multi-colored and appealing learning space well designed and equipped to make available significant learning exploration possible for kids! The adjacent museum dedicated to the works of Frederic Remington serves as the inspiration needed to get the creative juices flowing in the minds of all the young visitors who enter the facilities. It is through the many paintings, sculptures and writings that the youngsters are challenged to explore the life and artworks of Frederic Remington. The Eva Caten Remington Education Center offers educational opportunities for children that connect to their different learning capabilities and age. The Center seeks to provide inexpensive, creative art opportunities in a period where many such programs are being cut from public school curriculums due to poor economic times and lack of funding. Student groups can participate in carefully designed lesson plans that enrich their experience and understanding of Frederic Remington, the man and renowned artist. If the goals of the Center can be summed up it would be to further grow an environment at Kid's Place, and the Museum, where the youngsters feel at home while being inspired and supported in their quest to fulfill their inward creative skills. Born in Canton NY in 1909, Remington was skilled at bringing the images of the Old West alive on the pages of magazines. The Frederic Remington Museum contains his oil paintings and sketches featuring the Northern wilderness."
"Academy Focused on Duty","New-York","Academy Focused on Duty, Honor, and Country","United States Military Academy at West Point, or just West Point, as most people know it, is a education and military program that graduates about 1,000 cadets each year. It focuses on developing cadets physically, intellectually, militarily, ethically, socially, and spiritually, and these cadets graduate with the status of second lieutenant in the United States Army. West Point has been acknowledged by Forbes.com as the Best Public College or University in American for Undergraduate Education,'' and U.S. News and World Report called the academy the Best Public Liberal Arts College'' in the country. The academic program is made up of 26 core classes and offers 40 different majors. Cadets receive a Bachelor of Science degree upon graduation. In addition to the academic program, the physical program offers P.E. classes and competitive athletic opportunities. All cadets are required to participate in club, intramural, or intercollegiate athletics. The military portion of the program takes place during the summer months before the academic program begins when new Cadets undergo Basic Training. In their second year, Cadets undergo Field Training. In the third and fourth years in the Academy, Cadets actively serve in the Army at units across the globe. In addition to the academic, physical, and military training, Cadets receive ethical, spiritual, and social guidance. The 47 month period of training includes voluntary religious program, interaction with staff and faculty, and an ongoing guest speaker program that exposes Cadets to various walks of life. Cadets are held to the Cadet Honor Code of A Cadet will not lie, cheat, steal, or tolerate those who do.'' The admissions process for entering the Academy is very competitive. Potential enrollees are judged by their leadership strength, as well as their physical and academic performance. The program is demanding and offers numerous on-campus, extracurricular activities. Cadets have access to a golf course, a skating rink, and a ski slope, all on the campus of West Point. West Point was founded in 1802 and has been an important part of U.S. history. Numerous American leaders have graduated as West Point Cadets including Generals Grant, Lee, Pershing, Patton, Eisenhower, Schwarzkopf, and Petraeus. There have been more than 50,000 total graduates, many of who went on to careers in medicine, laws, business, sports, politics, and science. Visitors are not allowed to self-tour the campus. There are guided tours available and photo ID is required for all visitors over 16 years of age. ID is also required for attendance at all football games, concerts, and events on campus. Guests should stop by the Visitors Center which provides a great starting point for all visitors. The Visitors Center is open every day except Thanksgiving, Christmas Eve and Day, and New Year's Eve and Day from 9 am until 4:45 pm. The West Point Museum features the oldest and largest public collection of military memorabilia in the Western Hemisphere. Future Cadets and their families are encouraged to visit the museum during their admissions process. For a memorable look at United States history and the role West Point has played, pay a visit to the museum and campus."
"Ace of Diamonds Mine","New-York","Ace of Diamonds Mine","Located adjacent to Herkimer Diamond Mines along Route 28, Ace of Diamond Mines is a tourist stop between Middleville and Herkimer in New York.   The mine is more of a gravel pit. Prospectors mine Herkimer diamonds here, which are faceted quartz crystals that are pointed on each end. This is one of the few places in the world where Herkimer diamonds can be found. They are popular gems among those who study metaphysical energy. Some claim that the diamonds can aid sleep, hasten healing, and enhance meditation. The mines are visited by both tourists and vendors who sell the diamonds, but both groups will find what they are looking for and are accommodated by the mine. In the gift shop, visitors can purchase food or souvenirs. There are also some Herkimer diamonds on display and for sale in the Rock Shop. The mine opens daily from 9:00 a.m. to 5:00 p.m. from April 1 through October 31. Ace of Diamond Mines is located near a KOA Kampground about one mile south of Middleville, NY. The mines are popular in the spring and summer season and are available to group tours. Families and children are welcome and special rates for the kids are available."
"Adirondack Extreme Adventure Course","New-York","Adirondack Extreme Adventure Course, Bolton Landing, NY","When vacationing in Bolton Landing, New York there are a number of outdoor adventures one can have. Some of these adventures will be seasonal as is the case with Adirondack Extreme Adventure Course. This course is open from April 1st to mid November due to a need for good weather. Each year the place closes to also ensure there will be something new for locals to come back to. During the closure the team that works for the company will make these changes, as well as be on hand for reservations. It is important to book reservations early since they can fill up rather quickly. From April to May the park is open on weekends only with a departure at 9am and the last departure at 3:30pm. In the summer between May 28 and September 6 the park is open daily with departures at 8:30am and the last departure at 4:30pm. The rest of the season returns to the spring hours and weekend times. Adirondack Extreme Adventure Course is a tree to tree zip line course. Pricing can vary from year to year, but typically it is around $45 per guest for the full adult course. Children 12 and up are allowed on this three hour course. There are actually five courses that make the full course: the Green, Blue, Silver, Red, Black, and 2 Giant Zip line course. There is a height requirement for the adventure though. Anyone must be able to touch a height of 5 foot 11 inches. Any child needs to have 1 adult per three children. The half course is $30 per guest, but this is for only ages 9 to 11. The little kids' adventure is $25 per child ages 7 to 11. These courses also have height requirements of 5'9'' and 4'7'' respectively. The squirrel's den is a place for children 3 to 10 with an adult. This tour is $10 per guest. Lastly there are private guiding tours for $50. Typically these are for minors who do not have an adult climb with them. Every course on the Adirondack Extreme Adventure will have 10 to 17 different obstacles. These can be zip lines, rope swings, scrambling walls, hanging nets, bridges, and other surprises. All courses are done in the trees. The green course requires a minimum skill level with a minimum elevation. Blue is all about going up a notch in the adventure with the Silver, Red, and Black becoming the more advanced levels. The kids' courses are more about a cedar log playground with 20 different climbing stations. For example, the squirrels den will have 3 rock climbing walls, spiral stair climbers, and a premium tube. There are also bridge nets and a bridge that wobbles just a little. The course is not meant for adults, but adults do need to be there to supervise their children. Parents are allowed to walk the trails that are part of the course to keep up with their little playmates."
"Adirondack Fun All Year Long","New-York","Adirondack Fun All Year Long","If you are looking for a ski getaway in the Adirondacks that features some of the best cross country skiing in the area, head to Lapland Lake. The resort is off the beaten path and features scenic views of the beautiful mountain surrounds. The center has been in operation for more than 30 years and used to be run by an Olympic cross country ski champion. The lodge is located on hundreds of acres that are groomed and maintained. It is this mountain environment and cozy surroundings that make this place special. If you visit in the winter you can spend a few days in the area or just spend the day. There are cabins or tupas'' which are great for an overnight stay. The area boasts a great deal of natural snowfall, along with grooming equipment that makes for a perfect cross country experience. The trails are expertly designed and perfect for not just cross country but also ice skating, snowshoeing, sledding, and tubing. Special events are held throughout the ski season for those visiting the area. The thing a lot of New York residents love about Lapland is the proximity of Lapland. It is a four hour drive from New York City, Boston, and Montreal. This means that half a day's drive will get you to a great ski destination and resort. Choosing to spend the night in Lapland is a choice you will not regret. Best of all if you need lessons, group lessons are offered for 50% off. After a day of skiing, you will need to rest and relax, so kick back and feel the calming warmth of the wood-fired sauna. Winter is not the only popular season at this center. There is plenty of affordable fun all year long, and the cabins stay open through the four seasons. You can visit the breach, go biking, fishing, or canoeing, or hike along the many now-uncovered trails. If you rent a cabin during the summer months, the price includes use of the beach facilities which include paddleboats, canoes, and rowboats. There is 70 acres worth of space, as well as a beach that is great for swimming and sunbathing. Kids will love a trip to this ski resort'' during the summer to lounge and play on the beach. Hiking exposes you to various types of forest, as well as wildlife and mountain streams. There are ten cabins or tupas'', and each is private with a full kitchen, coffee maker, toaster, refrigerator, and cooking equipment and dishes. Each has an outdoor grill, a living space, two, three, or four bedrooms, a bathroom, and a woodstove. Each is heated by electric and they are perfect for single guests, couples, and families. Located on the property are Hirvonens, which are domestic reindeer. Kids will love a hike or bike ride near these beloved creatures they may not even be used to seeing in the wild. For a great time outdoors, no matter the season, plan a trip to the Lapland Lake Cross Country Ski Center. It offers plenty of opportunities to get outside and enjoy nature in the Adirondacks."
