Name,State,Title,Description
"Airlie Gardens","North-Carolina","Airlie Gardens, Wilmington, NC","The Airlie Gardens have been part of the North Carolina culture since 1901. They represent the formal gardens of the old south. The main attraction at Airlie Gardens is the 462 year old Airlie Oak tree. Through a grant by the Clean Water Management Trust Fund and local residents the Airlie Gardens have been preserved for future generations. Bradley Creek meanders near the gardens that include walking paths and many varieties of wildlife. Airlie began as a grant from King George II. The Ogden brothers were the recipients of the King's gratitude in 1735. However, Joshua Grainger Wright gained ownership of the property in the 1800's. In 1901 Pembroke and Sarah Jones began designing what is today Airlie Gardens. Once they bought the property, they gave exclusive parties at the estate. A renowned German landscaper, Rudolph Topel was commissioned to complete the gardens for the Jones family. New Hanover County holds the sixty seven acre Airlie Gardens. The purchase of Airlie Gardens continues with Wilmington's commitment to the culture of the south and their protection of the environment. The blooming of the azaleas and camellias bring visitors through the gates in both the winter and spring. Flowering plants are changed with the seasons so that Airlie Garden is in constant bloom. Miles of trails are incorporated throughout the gardens. This offers visitors a chance to view the many sculptures. Airlie Gardens provides a haven for over a hundred classifications of birds. The coastal nature of the gardens ensures that many different types migrate throughout the year. Enjoy a slow stroll through the gardens when you take a self guided tour. A map is included in the admission price. For guests that may need assistance, there are golf carts that can be reserved forty eight hours before arrival. The paths that encompass the Airlie Gardens will take you past freshwater lakes. Airlie Gardens honors its commitment to on- going education through it many programs. They open their gates to summer camps as well as schools. Many opportunities exist for the guests of the gardens to enjoy specially designed programs. The Airlie Bird Hike is just one of the popular programs that take place during the spring of the year. Mount Lebanon Chapel is available for weddings. Prospective brides can contact St. James Church in Wilmington to book this beautiful venue. Other areas that provide a wonderful setting are the Pergola Garden and the Bottle Chapel lawn area. The Airlie Gardens are a very popular site for weddings, so you must secure a date eighteen months in advance. Pricing for the gardens is $5.00 for adults and only $3.00 for children ages 6 -12. There are seasonal hours for viewing the gardens. During the winter January 2 - March 19, they are open six days a week, from 9:00 am to 5:00pm Mon - Sat. The Spring Season which is April 3 - May 17 has the gardens open seven days;Sunday to Wednesday 9:00 am to 5:00 pm, and they keep longer hours Thursday - Saturday 9:00 am to 7:00 pm."
"Alamance Crossing","North-Carolina","Alamance Crossing - Burlington, NC - Outdoor Shopping Center with Movie Theater","Alamance Crossing is located at 3110 Waltham Boulevard in Burlington, North Carolina. Owned and operated by CBL & Associates Properties, Inc., Alamance Crossing opened in 2007. It is an outdoor shopping center that includes over 70 stores and services. The retail floor space at Alamance Crossing is roughly 855,000 square feet. The center is made up of a single level and features stores in all of the following categories: accessories, books, cards and gifts, children's apparel, department stores, electronics, entertainment, family apparel, fine jewelry, health and beauty, home furnishings, men's apparel, optical, professional services, restaurants, shoes, specialty foods, specialty stores, toys and games, wireless and cellular services, and women's apparel. The center has four anchor stores, which are Barnes & Noble, Belk, Dillard's, and JC Penney. Belk and JC Penney were existing stores at nearby Burlington Square Mall that chose to relocate to Alamance Crossing once it opened. In addition to the anchor stores, the center features several of the top names in retail. Some these top names include: American Eagle Outfitters, Ann Taylor Loft, Bath & Body Works, Christopher & Banks, Coldwater Creek, Eddie Bauer, Kay Jewelers, New York & Co., rue21, Talbots, Victoria's Secret, and Yankee Candle. There are about 2,711 available parking spaces for patron use. There are several food and dining options available at the center. Options include individual restaurants, fast food establishments, and specialty foods. Selections include (but are not limited to): Buffalo Wild Wings, Cold Stone Creamery, Harry & David, Qdoba Mexican Grill, Red Bowl Asian Bistro, Olive Garden, Pretzel Time, Red Lobster, Red Robin Gourmet Burgers, and Texas Roadhouse. The center is home to Carousel Luxury Cinemas, which features 16 theaters and stadium-seating auditoriums. Select movies also feature 3D cinematic technology. Party packages are available, and space can also be rented for business meetings or corporate events. The Carousel Bistro provides a comfortable space for movie goers awaiting the start of their film. The Carousel Bistro features 50 inch high definition televisions and sells movie snacks, hot dogs, cheeseburgers, beer, wine, champagne, and gourmet desserts. There is also a coffee bar, and a wireless internet connection is available free of charge. For additional information about Carousel Luxury Cinemas, interested parties can call the cinema directly at 336-538-9900. Regular hours at Alamance Crossing are Monday through Saturday from 10:00am-9:00pm and 12:00pm-6:00pm on Sunday. Department store hours vary, and the center's hours may also change due to holidays or special events. Restrooms are located next to the lake, behind building R. Patrons can find the restrooms by following the side street between Ann Taylor Loft and Victoria's Secret. The restrooms will be located on the left. Gift cards can be purchased and used at participating merchants at Alamance Crossing. Gift cards can also be used at select CBL-owned malls nationwide. Gift cards do have a $2 monthly service fee, but this fee is waived for the first year after purchase. American Express Gift Cards can are also available for purchase. Patrons can subscribe to the center's newsletter and receive updates via e-mail. Subscribers receive periodic e-mails that are designed to update shoppers on special sales and promotions that may be going on. There is a play area available for children. Alamance Regional Medical Center is the official sponsor of the play area. Additional information about Alamance Crossing can be obtained by calling 336-765-8323."
"Andrews Geyser","North-Carolina","Andrews Geyser - Old Fort, NC - Geyser Marked as the Gateway to the Blue Ridge Mountains","Located in McDowell County, Andrews Geyser is a man-made fountain that was constructed in 1885. It was constructed on land that was part of the grounds of a stylish hotel called Round Knob Lodge. The creation of the Geyser began with the damming a stream, which in turn created Mill Creek. Mill Creek was about 200 feet higher in elevation than the spot that became home to the Geyser. A pipeline was run from Mill Creek downhill to the Geyser. Gravity was then able to create the waterspout. At times, conditions were optimal enough for the Geyser to shoot water 250 feet into the air every 2-3 minutes. The Geyser was known nationally by the 1890s. In 1903, Round Knob Lodge burned down, and the Geyser fell into disrepair. George Fisher Baker, a New York banker, began restoring the Geyser in 1910. He wound up having to relocate the Geyser to the other side of Mill Creek. Baker then named the Geyser in honor of Colonel Alexander Boyd Andrews. A native of North Carolina, Colonel Alexander Boyd Andrews was the Vice President of the Southern Railway Company. In the late 1800s, a railroad was constructed between Old Fort and Asheville, and Andrews was one of the individuals responsible for the construction. Andrews Geyser marked the gateway to the Blue Ridge Mountains, and was built adjacent to the tracks of the Southern Railway. The Geyser was visible from the train as it traveled across the mountain. After Baker restored the Geyser, Southern Railway maintained it for as long as the trains passed through the area. As passenger train service declined in the area, Andrews Geyser fell into disrepair again. In 1975, the Geyser and the two acres of land it sat on were deeded to the town of Old Fort by Southern Railway. After the Andrews Geyser Restoration Fund was established, the Geyser was repaired and rededicated on May 6, 1976. Andrews Geyser is now used by the town of Old Fort as a public park. Today, the Geyser draws its water from a pond and valve that is located by the Inn on Mill Creek, which is a local bed and Breakfast. An underground cast iron pipe that is six inches in diameter runs downhill from the Inn to the Geyser. There is a lever located on the property of the Inn on Mill Creek that opens the iron pipe and allows the water to flow from the pond to the Geyser. The difference in elevation between the two points is 500 feet. As a result, the Geyser is able to shoot water 80 to 100 feet at times. Sometimes, it is even able to shoot water even higher. The Geyser is surrounded by a concrete basin, and the waterspout comes out of a nozzle that is about one half of one inch. A historical marker with information about the Geyser is located west of Old Fort on SR 1400, which is Old US 70. There is an estimated 200,000 visitors to Andrews Geyser each year."
"Appalachian Ski Mountain","North-Carolina","Appalachian Ski Mountain - Blowing Rock, North Carolina - Ski Resort & Year Round Holiday Destination","The Appalachian Ski Mountain is a holiday destination in Blowing Rock, North Carolina and is open all year round. Its main attraction as the name would suggest is the public ski slopes, but holidaymakers can enjoy the mountain views during the summer months too. The skiing season at Appalachian generally runs between November and March, with the resort having 10 slopes to suit varying levels of skiing ability. Two of the slopes at the mountain ski resort are relatively easy to negotiate, with five of medium difficulty and three more difficult runs. The longest slope is the Orchard Run, which is approximately half a mile long. All slopes have lighting to enable night time skiing with the three chairlifts, conveyor lift and handle pull tow all open from 9am-4pm and 6pm-10pm. During the skiing season natural snowfall is topped up with real machine made snow to ensure as much as possible, that the slopes can be kept open throughout the season. The snow is then groomed to give it a corduroy effect making the skiing much easier. Overlooking the ski slopes is an outdoor ice rink for visitors to skate on, and enjoy the views of the Blue Ridge Mountains. Holiday makers can find accommodation in the form of slope-side lodgings on the mountain, which are vacation homes owned by Appalachian Ski Mountain. There are four chalets, which can be rented at any time of the year, not just the ski season. The homes cannot be used for house parties, and there is a not pets and no smoking policy. The Ski Escape has spectacular 180 degree views of the mountains. It has three floors containing three bedrooms, three bathrooms, a kitchen and a laundry facility. As with all the chalets it has TV, VCR, phone, fully equipped kitchen, a washer and dryer. The Slopeside Retreat stands adjacent to the ski mountain and can also accommodate up to 14 people, even though it is only set on one floor. There are three bedrooms, two bathrooms, a kitchen, living room, dining room and laundry room. The kitchen has the added luxuries of a dishwasher, microwave and coffee maker. The other two homes, the Snowbird Chalet and the Alpen Haus can house up to eight people each. They have three and four bedrooms respectively plus two baths and one kitchen. All four chalets are within a mile of the mountain lodge. For any visitors not already equipped with the necessary skiing gear, men's, ladies' and children's skis, poles, boots, ski boards and clothing can be hired at the resort. Ski and ski board lessons are offered for either groups or private instruction, with classes available to age ranges from four years old through to adult. A nursery is on hand at the ski mountain for children aged one to four and is open seven days a week. Reviews from previous visitors to the mountain feel it is an excellent ski resort for beginners and anyone interested in trying ski boarding. More proficient skiers may not finds the slopes enough of a challenge."
"ArtQuest is a large art studio for kids to explore in many ways","North-Carolina","ArtQuest is a large art studio for kids to explore in many ways","ArtQuest is a large art studio which is open for children and their families to explore the art world in ten different workstations. These stations include painting skylines using fingers and brushes, make monkeys from clay, spin rope or build a bridge using Kapla blocks. The center is part of the Green Hill Center for NC Art, which is located in downtown Greensboro, across from the Center City Park, many restaurants, shops and hotels. The art stations at the center are; Morph It: The Art of Recycling, where visitors can make a race car from a cereal box, or use a paper towel roll to make a pirate telescope. Trees, Friends and the UGRR, (Underground Railroad) are story quilts that celebrate the tree in Harriet Tubman's historical journey. Visitors are able to make a nine-patch quilt on the quilt wall of design their own square on paper. Around the World: Paper Dolls is one of the most popular stations at the center, visitors can use come glue and their imagination to create their own paper doll. Gallery Connections: Family Guide to Green Hill Gallery Exhibition is where visitors can view rotating activities that highlight the techniques that are displayed in the center. The Drawing Station is where visitors are able to draw to their hearts content, any kind of drawing that they like. Zoetrope: Animation shows visitors the basics of creating their own animated drawings. Story Tree House: Architecture Corner is where visitors can be the architect and design their own tree house and write a story to match their house. Fiber Space allows visitors to create a friendship bracelet and weave on the eight foot loom. Under Construction: Kapla Blocks gives visitors the opportunity to build a tower, bridge, ship or whatever their imagination may create, then knock it all down when finished! Visitors can put on their own play at Pablo's Place: Puppet Theater. At the Covington Clay Garden visitors can dig in North Carolina clay to build whatever they imagine. Painting Easels are available in the studios to paint to their hearts desire, or each week a new activity is available in the Studio Projects, these include paper making, screen printing or origami. Field trips and groups are welcome at the center. Experienced facilitators will guide groups on a one-and-a-half hour visit to suit the needs of the age group. The tours will include time in the hands on gallery, a tour of the current exhibitions in Green Hill and time in the studio to paint or work with Clay. Birthday parties are able to be held at the center, with each party being facilitated by a staff member of the center. All materials will be supplied for the party and themed parties are available. Guests of the party can make a project to take home after the party. Themes include Artpalooza, Puppets on Parade, Mix Make Play and Paint and Castle Quest. Summer and Spring break camps are available and run for a week during the break. Children will be participating in guided activities and studio and exploration time in the hands-on studio. The Family Look and Learn program is a free daily family friendly tour of new exhibitions at Green Hill. Visitors can take home information to create art projects at home."
"Asheville Mall","North-Carolina","Asheville Mall - Asheville, NC - One of the Largest Barnes & Noble's Bookstores and 110+ Stores","Located off of Interstate 240 at 3 South Tunnel Road in Asheville, North Carolina, Asheville Mall is a regional mall that is primarily located on a single level. The mall originally opened in 1971 and now has five anchor stores. With over 900,000 square feet of retail space and 4,753 parking spaces available, the mall offers a variety of options. Owned by CBL & Associates Properties, Inc., the mall offers shoppers over 110 stores and services. It features stores in all of the following categories: accessories, books, cards and gifts, children's apparel, department stores, electronics, entertainment, family apparel, health and beauty, home furnishings, jewelry, men's apparel, music, professional services, restaurants, shoes, specialty foods, specialty stores, sporting goods and apparel, toys and games, video, wireless and cellular services, and women's apparel. The mall has five anchor stores, which are Belk, Dillard's, JC Penney, Sears, and Barnes & Noble. In addition to the anchor stores, the mall features several of the top names in retail. Some these top names include: Ayropostale, American Eagle Outfitters, Banana Republic, Bath & Body Works, The Body Shop, Carlyle & Co., Charlotte Russe, Eddie Bauer, Gap, Gymboree, Hollister Co., Lane Bryant, Limited Too, New York & Co., Old Navy, Stride Rite, Victoria's Secret, Wet Seal, and Yankee Candle. There are about 4,868 available parking spaces for patron use. The Barnes & Noble only opened in its current two-story location in 2009. At the time it opened, this Barnes & Noble was the largest in the state and one of the largest stores in the entire chain. Elementality is also a relatively recent addition to the mall. It is located across from Charlotte Russe and offers handmade wearable art, home dycor, and a clothing section. Many of the products at Elementality are made by local artisans. There are several food and dining options available at the mall. There is a food court, as well as individual eateries and fast food establishments. Selections include (but are not limited to): Auntie Anne's Pretzels, Planet Smoothies, Subway, Cajun Express, McAlister's Deli, Charlie's Grilled Subs, Cinnabon, and Panda Express. Regular mall hours are Monday through Saturday from 10:00am-9:00pm and 12:00pm-6:00pm on Sunday. Department store hours vary, and mall hours may also change due to holidays or special events. Shoppers can visit Customer Service to obtain event information, for shopping assistance, to view mall directories, or to purchase gift cards. Gift cards can be used at participating merchants in Asheville Mall. Gift cards can also be used at select CBL-owned malls nationwide. Gift cards do have a $2 monthly service fee, but this fee is waived for the first year after purchase. American Express Gift Cards can are also available for purchase. Customer Service can be reached by calling 828-298-5080. The mall also has lockers, pay telephones, family restrooms, stroller rental, lockers, ATMs, a mailbox, an AED unit, and a police presence. Patrons can also subscribe to the mall's newsletter and receive updates via e-mail. Subscribers receive periodic e-mails that are designed to update patrons about special sales and promotions that may be going on."
"Avon Pier-Cape Hatteras, NC-Fishing and Fun","North-Carolina","Avon Pier-Cape Hatteras, NC-Fishing and Fun","The Cape Hatteras area includes many different attractions that you can enjoy with your family. One that is very popular that you do not want to miss is Avon Pier. This pier offers a great deal of activity for you and your family that is great for kids, no matter what their age. From fishing to eating to mini golf and more, you will find that there are lots of opportunities to have fun on and around Avon Pier. If fishing is your thing, you want to try out fishing at the Avon Pier. With the tackle shop right on the pier with you, you will have all that you need to reel in that big fish to eat or to just throw back for the enjoyment of fishing. A beginner fisher will find the Avon Pier a great location to start their fishing career, simply because the staff that is part of the tackle shop can teach them how to get started and they can rent their rod for a very low price. Experienced fishers will enjoy fishing from the pier as well, as there is an opportunity to catch bigger fish than you can get from the shore. If you just want to enjoy the scenery that is around the pier, you can do this while safely ensconced in the famous Dirty Dick's Restaurant. This restaurant offers you great food and a great view to allow you to get a new perspective on the pier and the area around it. An 18-hole par 3 mini golf course is located adjacent to the pier for when you and your family are not in the mood for fishing or have finished up fishing for the day. One of the most unique parts of this golf course is that they have natural grass, which is not very common in mini golf courses in other parts of the country. This mini golf course is a wonderful activity for an entire family to take part in to spend some quality time together. The Avon Pier is open from 6AM to midnight for you to fish and enjoy the view from the pier. The entrance fee for adults is $10 and for children under 12 is $6. Golf is $8 per person and you can rent a rod to allow you to fish for $8 as well. This is a comparatively low cost for as much as a whole day's fun and entertainment, depending upon which activities that you choose to take part in. When visiting the Cape Hatteras area, you are sure to want to visit the Avon Pier. It gives you a beautiful view of the ocean from the end of it, as well as a great opportunity to fish by yourself or with your family. In addition, the restaurant and mini golf course that is adjacent to the pier will allow you to increase your enjoyment of the area as well. The beautiful surf and ocean views are sure to keep you coming back time and time again to the Cape Hatteras area and to the Avon Pier."
"Ballantyne Hotel and Lodge","North-Carolina","Ballantyne Hotel and Lodge - Charlotte, NC - A Variety of Accommodations, Amenities, and Activities","Located at 10000 Ballantyne Commons Parkway in Charlotte, North Carolina, Ballantyne Hotel and Lodge offers both variety and luxury. The Ballantyne has 200 hotel rooms and 14 suites on its premises. In addition, The Ballantyne features a four bedroom cottage and a lodge with 36 rooms. Both are both available with a reservation. As a luxury property, The Ballantyne offers guests many amenities and activities. The Spa at Ballantyne offers massages, body treatments, facials, pedicures, manicures, wellness services, spa fitness classes, and salon services. Classes offered include, water aerobics, zumba, tai chi, and more. The Spa is available to all guests and is also open to the public. Reservations, rates for services, and additional information can be obtained by calling 704-248-4141. The Spa's guests are also able to access the indoors pools, the outdoor pool, and the fitness center. The Golf Club at Ballantyne features a practice area, a pro shop, event planners for tournaments, a golf pavilion, and a Championship golf course with 18 holes. The course offers multiple water features and laser-leveled tee boxes. It is a par 71 course, and golfing lessons are available through the Dana Rader Golf School. Tee times and additional information can be obtained at 704-248-4383. The Ballantyne is also home to the Gallery Restaurant, which is a four-star restaurant that serves breakfast, lunch, and dinner daily. The Gallery Restaurant offers private dining, wine dinners, and wine tastings. Ballantyne guests can purchase gift cards for The Spa or The Golf Club's pro shop. Concierge service is available to assist guests with planning, transportation, directions, recommendations, reservations, information, and general inquiries. The Concierge can assist with things like arranging hot air balloon rides, helicopter tours, children's programs, afternoon tea reservations, and more. The Concierge can be reached at 704-248-4055. The Lodge is designed to reflect the atmosphere of a retreat or hunting lodge. The Lodge is 40,000 square feet and has 36 guest rooms. Guest rooms feature large closets, dual vanities, jetted baths with separate showers, WiFi access, armoires, executive desks, and pillow-top beds. The lodge offers guests access to the following: pool tables in the loft, a fitness room with weights, a business center, a stone patio on the lower level, social areas with vaulted ceilings, and a view of the golf course from the front porch. Several of the guest rooms also have private balconies. Tennis courts with half-court basketball are located beside the Lodge as well. Information on using the Lodge for a group can be obtained by calling 704-248-4070, and inquiries regarding social events can be made by calling 704-248-4035. The Cottage is adjacent to the Lodge and near the first tee of the Champion golf course. The Cottage has four bedrooms and four bathrooms. It is designed to offer modern conveniences and privacy and features 3,670 square feet of space. The Cottage offers a variety of optional upgrades. For example, guests can request to have the pantry stocked prior to their arrival. For $75 per person per meal (not including the cost of the food), a dedicated chef and server are available for 3 hour periods. Personal shoppers and administrative assistants are available for $25 per hour. The following are also available, but rates vary: interpreters, translators, personal trainers, and notary public service. Reservations for the Cottage can be made by calling 888-627-8048. Due to the diversity of accommodations, The Ballantyne is able to host an array of events. The property is available for meetings, social occasions, weekend getaways, weddings, and golf tournaments. The property offers a variety of packages that are geared towards groups, individuals, and couples. They feature a Golf Retreat Packages, Football Packages, Spa Escape Packages, Luxury Romance Packages, Epicurean Packages, and many more. Packages start at $249 and go up from there. In recent years, Charlotte Magazine has recognized Ballantyne Hotel and Lodge as having the Best Concierge Service, the Best Hotel Restaurant, the Best Driving Range, and the Best Spa. The property has also received several awards and distinctions from other entities like Mobil Travel Guide and Expedia."
"Ballantyne Neighborhood in Charlotte","North-Carolina","Ballantyne Neighborhood in Charlotte","Ballantyne is a brand new and prestigious development located on the south side of Charlotte. The development covers over 2,000 acres and is readily expanding as new residents flock to the area. The neighborhood has a 535 acre corporate park that attracts local businesses to the Ballantyne area. As major corporations and small business owners move into the office spaces - the economic engine of Ballantyne is strengthened. The Ballantyne neighborhood offers a live, work, and play community for Charlotte residents that want to reside in an upscale area. The area is sought-out by professionals for the dining, shopping, and entertainment options it can offer. The Ballantyne neighborhood is also a highly desirable place for families because of its exceptional school district. Housing prices in Ballantyne start at around $200,000 but can exceed well over a million dollars. The Ballantyne neighborhood is known by natives for its expensive and upscale housing market. There are dozens of subdivisions within Ballantyne that potential residents can choose from as their residence; Allyson Park, Kensington at Ballantyne, Providence Pointe, Southampton Commons, Amberleigh, Stonebriar, Thornhill, and Wynridge Estates all provide of variety of housing options. The majority of the homes in the area are only several years old and are fairly large. Some of the best dining in Charlotte can be found in the Ballantyne area. Places like Table Restaurant and Villa Antonio offer a sophisticated and upscale atmosphere for patrons who want a glamourous dining experience. Villa Antonio in Ballantyne has an old world charm with a modern design. The restaurant specializes in Northern Italian cuisine. A piano bar and patio decorated with a beautiful lit water-fountain gives the restaurant a feeling of prestige. Prestige is what the Ballantyne neighborhood wishes to portray. The heart of the Ballantyne area is the Stone Crest Shopping Center and Ballantyne Village. The Stone Crest Shopping Center consists of several restaurants, boutique shops and a local Target and Harris Teeter Grocery. Residents of Ballantyne frequent the shopping center because of all the amenities offered. There are two upscale Spanish restaurants located in Stone Crest that are highly popular on weekends. These two restaurants bring a focal point to Stone Crest for visitors and local residents. Miro and Cantina 1511 both offer authentic Tex-Mex and Spanish cuisine. Ballantyne is a country club community. The area has one of Charlotte's most exclusive clubs called the Ballantyne Country Club. The club is a private, member owned club and requires approval from fellow members to join. The club is managed by Troo Golf and offers world-class courses. International cuisine, swimming pools, fitness center, full service tennis program and club house are several of the many amenities that members of the Ballantyne country club enjoy. Ballantyne Village is also part of the thriving economy of Ballantyne. The Village has premier dining, designer boutiques, luxury spa and plastic surgery centers, and coffee shops. The entire village is a walkable area that comes alive at night with vibrant entertainment venues that offer live music and drinks. The Ballantyne Village theatre is one of the only movie theaters in Charlotte that offers a broad range of independent films. The theatre has luxurious leather reclining seats and an extensive concession bar featuring imported beers and small appetizers that movie-goers can enjoy."
"Ballantyne Resort in Charlotte, North Carolina a Great Place for a Respite","North-Carolina","Ballantyne Resort in Charlotte, North Carolina a Great Place for a Respite","	The Ballantyne Resort is an elegant hotel and lodge located in Charlotte, North Carolina, set amidst beautiful landscaping and fountains, and surrounded by an 18-hole golf course. A popular location for special events, Ballantyne Hotel and Lodge is close to many of Charlotte's top attractions, including the U.S. National Whitewater Center and several museums and cultural venues. Ballantyne Resort boasts 212 rooms and 12 suites in its main facility. There is also a lodge on the property, which contains 36 rooms. In addition, a four-bedroom cottage is available for lease. The hotel guest rooms are sunny and bright, offering 10 foot ceilings and floor-to-ceiling picture windows that allow for lots of light. D,cor consists of pastel shades of yellow, cream, sage, and pale sienna. Furnishings are by Montague of London and include a large armoire and oversized desk. The bedding is equally as opulent, featuring pillow top mattresses and Egyptian cotton linens. Other guest room amenities include Bose radios, wireless internet, plush bathrobes, two phones, dual closets, and a snack and beverage center. The bathrooms are marble with large oval soaking tubs, separate showers, make-up mirrors, and European toiletries. The suites at the Ballantyne Resort range from about 700 to more than 1200 feet. Additional amenities in these suites include separate living areas, private balconies, 1.5 or 2 baths, full-size kitchen appliances, and more. The Lodge at Ballantyne, a 40,000 square-foot craftsman-style lodge, offers a more casual vacation option. Designed to resemble a hunting lodge, it is furnished with pieces by famous regional artisans. There is a game area with chess and pool tables, a lower level stone patio for everyone's enjoyment, and a front porch with rocking chairs. The 36 rooms in this lodge have jetted bathtubs and dual vanities and boast private balconies or patios. There is also meeting space for conferences or social events. The perfect location for golfers, the lodge is adjacent to the first fairway on the resort's golf course. The Cottage at Ballantyne is a four-bedroom, four-bath residence that can be rented for use by families traveling together or for business retreats. Amenities include a gourmet kitchen and a terrace with beautiful views of the property and surrounding area. Ballantyne Hotel and Lodge also offers a chance to pamper oneself at the onsite spa. A day spa that also attracts clients from outside the hotel, this facility offers a wide range of treatment options as well as a number of standard salon services. At the Spa at Ballantyne, there's also a grotto-style pool and two resistance pools and a fitness facility that offers a variety of wellness classes. Three tennis courts are located outside. Many visitors choose the Ballantyne Resort because of its PGA golf course. Often appearing on various lists of top golf courses in the nation, this par-71 tree-lined course is just steps from the hotel and lodge. There is also a restaurant/bar and pro shop on site as well as a golf school offering lessons for all skill levels. The hotel's Gallery Restaurant serves standard American fare for breakfast, lunch, and dinner, and the Veranda Bar offers coffee and continental breakfast each morning. The Gallery Bar features a small bar menu as well as wine and cocktails. The hotel also offers afternoon tea every Wednesday through Sunday. Ballantyne Hotel and Lodge is an especially popular choice for weddings, given its lovely location and opulent banquet space. The largest ballroom at the hotel can accommodate 400 for dinner. There is also a lawn area suitable for outdoor wedding ceremonies and receptions."
