Name,State,Title,Description
"African Wildlife Safari Park in Port Clinton, Ohio","Ohio","African Wildlife Safari Park in Port Clinton, Ohio","The African Wildlife Safari Park is a 100 acre animal preserve that invites guests to view rare, exotic and endangered animals from all over the world. The park is a member of the Association of Zoos and Aquariums, and is one of the leaders in United States conservation efforts. African Wildlife Safari Park is dedicated to spreading the message of conservation and to help teach people to appreciate animals and their environments. At the park there are more than fifty different animal species and in 2006, the park experienced over 200 live animal births. Research efforts at the park are focused on the breeding of Alpacas, White Zebras, Giraffes and the Giant Eland. Guests are invited to roam over the 100 acre property and see all the exotic animals in their natural habitat displays. African Safari Wildlife Park is a `drive-thru' animal safari that allows guests to get up close, interact and feed the animals. At the beginning of the tour, visitors receive a complimentary cup of food at the beginning of the tour. The animals are tame and will come up to the car in anticipation of being fed, allowing for many exemplary photographic opportunities. At the park, visitors will get to view two types of camels. The Bactrian is a two-humped camel which hails from the continent of Asia. The Dromedary camels have one hump and come from the deserts of the Middle East. The camels are the least shy of all the animals featured at the park, and camel rides are offered as part of the complete park experience. Upon completion of the drive-thru tour, visitors are invited to visit Safari Junction which is the walk-thru area of the park. While walking through Safari Junction, guests will see warthogs, peacocks, prairie dogs, flamingos and many other free roaming animals. Warthogs have become very scarce in the United States, with less than 75 in total; the African Safari Wildlife Park is one of the few locations where they can be found. The park has a petting zoo where children are welcomed to experience the animals up close. Pony rides are also another kid-friendly activity offered by the park. The park offers face painting, pig racing, a gift shop and food from a made-to-order grill restaurant. The African Safari Wildlife Park is open daily during rain or sunshine. The spring season runs from March through May, with extended weekend hours. During the summer season the park is open from May through September, with no extended hours on the weekend. The fall season extends from September through November, with extended hours offered on the weekend during the off-season. At the African Safari Wildlife Park, the staff and animal keepers bring learning to guests in a fun and exciting way."
"Akron Art Museum","Ohio","Akron Art Museum","A major art exhibitor for northeastern Ohio residents, the Akron Art Museum resides in the heart of Akron, adjacent to the Akron-Summit County Library and the Akron Symphony Orchestra.  The Akron Art Museum has been enriching the culture of the area for almost ninety years. When it opened in the borrowed basement of the public library, the founders had aspirations of promoting art in Akron and eventually becoming an internationally recognized museum. In 1937, after a fire destroyed much of the museum's collection, the Akron Art Museum made goals to rebuild by enhancing its collection, educating the public about art, and hosting significant travelling exhibits. The museum's permanent collection focuses on art produced since 1850. The museum houses 12,000 square feet of exhibit space. The museum opens from 11:00 a.m. to 5:00 p.m. Wednesday through Sunday. It remains open until 9:00 p.m. on Thursdays. The museum offers tours and houses a gift shop and café. Guests enjoy visiting the location in groups. Guided tours can be made well in advance and are able to accommodate a number of visitors at once. Locals and tourists alike enjoy visiting this artful museum."
"Akron Zoological Park in Akron, Ohio","Ohio","Akron Zoological Park in Akron, Ohio","Akron Zoological Park, located in Akron, Ohio, is dedicated to the preservation of wildlife and education. Founded in 1953 as a children's zoo, it is now world accredited, joining an elite group of only 10 percent of zoos across the country. The nearly 50-acre park features more than 700 animals from around the world, a train to provide convenient transportation through the grounds, as well as a granary to feed the animals. With so much to do and see, the majority of the more than 150,000 annual visitors stay between 2-4 hours. The zoo offers many learning opportunities for children of all ages, with animal education as a top priority. Many interactive programs, exhibits and activities teach children about conservation, animal behavior and the diets of animals in the zoo. The zoo participates in the Species Survival Plan; a program dedicated to preserving endangered species through conservation and breeding efforts. Throughout the park, guests will discover a wealth of information provided in age-appropriate themes. The Jellyfish Exhibit allows visitors to take a close look at a variety of the creatures in 10 aquariums. Moon jellies, which are baby jellyfish, Pacific and Japanese sea nettles, crystal and comb jellies, blue blubbers and upside-down jellyfish, are among the types featured. A Jelly lab located in the exhibit lets visitors find out what makes the aquariums flow. A touch tank also is available as an interactive component of the adventure that children enjoy. Sea urchins, crabs and starfish are housed in the touch tank. Visitors can watch the jellies move about, as if they are dancing, and then dance like the jellies, while being watched on television. Also, guests can play the pipe organ and create original sounds of the sea, enjoy time on the underwater climbing wall and get artistic at the art tables. Komodo Kingdom introduces visitors to the rare and powerful Komodo dragon, as well as Chinese alligators, Galapagos tortoises and other reptiles, in a natural, lush landscape. A cafy, interactive exhibit hall and education classrooms round off the area. Opened in 2005, the exhibit is open to the public and has been a recipient of LEED certification through the U.S. Green Building Council. The exhibit was opened in 2005 to the public at the zoo. Komodo Kingdom exhibit has received the prestigious LEED certification from the U.S. Green Building Council. The Akron Zoological Park offers private tours that enable guests to explore the facilities in which the animals live. Visitors can experience a day in the life of a zookeeper, and find out what it takes to care for the park's animals and keep them safe. Zookeepers will explain how to clean exhibits, prepare nutritious food for and feed the plethora of species on site. Guests are strongly encouraged to ask questions about the animals and their care. For private tours, advanced reservations are required. The Akron Zoological Park provides visitors a one-of-a-kind experience. The many animal exhibits and educational programs captivate guests 361 days a year. The perfect outing for families with children, and people of all ages, visitors are certain to leave with a new nugget or two of knowledge."
"Avalon Lakes Golf Course","Ohio","Avalon Lakes Golf Course, Warren, Ohio ? Redesigned by Pete Dye in 2001 to Be a Tournament Quality Golf Course","Avalon Lakes Golf Course was originally built in 1967, but a renovation in 2001 by designer Pete Dye dramatically changed the character of the course. Once a flat course, Dye's redesign called for moving 300,000 cubic yards of earth to provide a great deal of elevation changes. Some reviewers have even described the mounding that can be found around the fairways, greens and everywhere else as a near-moonscape at times.'' Water now comes into play on 12 of the holes as well, while the fairways range from generous and wide-open on some holes to unforgivably narrow on others. The course also features a large number of bunkers, about 140 that are in play, including some devilish pot bunkers. The greens tend to play firm and fast, but getting onto the greens is made more difficult by Dye's use of mounding around greens to deflect shots that come up short. Not only do the mounds create an optical illusion on approach shots and putts, but wayward shots will have trouble finding a flat lie for up and downs. The 18-hole, par-72 course plays to a hefty 7,551 yards from the longest (Position 5) tees, with a USGA rating of 76.9 and a slope rating of 143. Those numbers are a testament to the tournament-caliber quality of the course, which is a gallery-style layout that annually hosts the LPGA Tour's Youngstown/Warren Tournament. Most players will probably choose the Position 4 or Position 3 tees, which play to a much more manageable 6,932 and 6,491 yards respectively. Some of the more memorable holes on the course include No. 8, which has been described as the 17th at Sawgrass on steroids.'' This par-3 plays up to 244 yards from the back tees, but under 200 yards from the others. The green is essentially an island, with water guarding the hole left, front and behind. With a visually appealing rock wall, this hole is regarded as one of the prettiest on the course. Hole No. 11 is a par-5 that plays up to 567 yards from the tips and offers a picturesque view from the tee. This is the #1-handicap, a water hole that calls for a forced carry off the tee, while trees and bunkers guard the landing zone. The green is also guarded by water and bunkers, with only a narrow opening in the front. The two finishing holes at Avalon Lakes are both challenging. Hole No. 17 only plays to 395 yards from Position 4, but with water guarding the entire right side, the tee shot can be daunting. On the approach, a large mound obscures the green from view, while the putting surface runs away and toward the water. Hole No. 18 is a long par-4, playing to over 500 yards from the back tees. The fairway is a narrow chute that runs through trees and winds around a complex of rising bunkers. As players approach the green, the view has been said to be astounding, with a bunker complex right, a fountain and the Avalon Building in the background. Since its redesign, Avalon Lakes has received several honors, including being ranked #67 on the Golf Digest list of Top 100 Public Courses. Practice facilities at Avalon Lakes include a grass driving range with five target greens and a fairway bunker, along with a chipping and putting area. The course also features the Avalon Holdings Building, which gives the course the feel of an elegant estate."
"Belamere Suites","Ohio","Belamere Suites","The Belamere Suites is a hotel with luxuriously appointed rooms that have their own private entrance and attached garage. Voted as the most romantic getaway for four years in a row, the expansive, meticulously detailed rooms have vaulted ceilings, warm and inviting fireplaces, large Jacuzzi tubs and walk in two-person showers. The Presidential Pool Suites include all of the amenities, along with the hotel's own private heated swimming pool. Each suite is designed to pamper the guests with the ultimate in comfort. The hotel goes out of its way to provide all of the comforts from home and then some.   The hotel is full of pampering services including 24 hour coffee and tea service, 24 hour concierge service, in room couple's massages which are provided by licensed massage therapists, and 24 hour freshly baked pizza, cookies and milk provided for snack time (no matter what the hour). Wedding packages are available at the luxury hotel which includes full concierge service to attend to every need. Packages include rose petals on the bed in the shape of a heart, pre-lit candles around the room and bathroom, fluffy his and her bathrobes, chilled beverage choices, and late check-out times of 1:00 pm."
"Boonshoft Museum of Discovery in Dayton, Ohio","Ohio","Boonshoft Museum of Discovery in Dayton, Ohio","Started in 1893, as a part of the Dayton Public Library and Museum, the Dayton Museum of Natural History traces its early roots. The early exhibits consisted of artifacts and collections that residents of Dayton gathered on trips around the world and then donated to the museum. A group of citizens formed the Dayton Society of Natural History in 1952, took charge of the collections and organized them into the Dayton Museum of Natural History. The main building was completed in 1958, and a planetarium and additional exhibit space and an expanded collection were added in 1991. In 1993, with the intent of forming a children's museum, a group of interested citizens and community leaders banded together and formed a committee. The idea was to imbibe children ages 2-12, with a lifelong love of learning and to form an appreciation for the world around them. As the idea gained momentum, the organization realized it shared a similar mission with the Dayton Museum of Natural History. In the summer of 1995, the Children's Museum Board and the Board of the Dayton Society of Natural History formed a merger, resulting in the birth of the Dayton Museum of Discovery. The name was changed to the Boonshoft Museum of Discovery in 1999, to honor Oscar Boonshoft one of the museums most devoted friends. The Boonshoft Museum of Discovery features exhibits dedicated to a creative balance between fun and learning. The displays are designed to engage visitors and make learning about the subject matter interesting and informing. The exhibits are selected 3-4 years in advance and are chosen by the Society's Exhibit Committee. The Oscar Boonshoft Science Central exhibit features a Do-Lab, an area where children can do experiments with a knowledgeable staff member from the Education Department. In the Science Central exhibit area is a Bernoulli Blower, which is a large sphere which appears to be suspended in mid-air with no ropes, poles or plates. Kids are invited to learn about the properties of air molecules in a very exciting and entertaining way. Also found in the Science Central exhibit area is a water table, a manipulative area, a color wall, construction zone and a gravitron. The Boonshoft Museum has a collection of more than 100 animals and insects scattered all over the museum. The Charles E. Exley, Jr. Wild Ohio Zoo exhibit showcases animals native to the state of Ohio. The zoo area has a prairie habitat, a temperate forest habitat and a wetland habitat, each containing a wide array of animal and plant life. Other permanent exhibits of notable interest are Explorers Crossing, the Mead Tree House, That Kid's Playce designed for toddlers, the African Room, the Vectran Glowing Geology display, the Sonoran Desert, the Bieser Discovery Center, the Tidal Pool, the Computer Center and the Three-Story Climbing Tower and Slide. While the museum has several permanent exhibits, the facility also offers a number of interactive and interesting temporary exhibits showcased throughout the year. Exhibits at the museum are focused on a broad range of scientific and educational disciplines and designed to appeal to the diverse mix of guests who visit each year. The Boonshoft Museum is opened Monday through Friday from 9 am until 5 pm, and Saturday from 11 am until 5pm and on Sunday from 12 pm until5 pm. The facility is closed on New Year's Eve, New Year's Day, Thanksgiving, Christmas Eve, Christmas Day and Easter."
"Carew Tower in Cincinnati, Ohio is a Notable Skycraper","Ohio","Carew Tower in Cincinnati, Ohio is a Notable Skycraper","	The tallest building in Cincinnati, Ohio, standing 49 stories and 574 feet tall, the Carew Tower is a National Historic Landmark. Built from 1929 to 1931, this skyscraper overlooks the Ohio River and has had many uses in its almost eight decades. The Carew Tower was designed by the architectural firm W.W. Ahlschlager & Associates with Delano & Aldrich and developed by John J. Emery, according to historic records. It was largely considered to be a city within a city'' and was one of the first mixed-use skyscrapers in the Midwest, boasting offices, apartments, and retail establishments. Construction on this Art Deco-style building began just before the stock market crash of 1929 and because of that, much of its Art Deco ornamentation was scaled down in order to save money. On the exterior of the Carew Tower, everything above the third floor is very plain. There are, however, a number of Art Deco touches throughout the interior, including the Palm Court, which is considered one of the world's best examples of French Art Deco architecture. Marble floors and iron railings are commonplace. Records show that this beautiful building contains, in all, 9 miles of brass piping, 15 railroad cars full of glass, 40 railroad cars full of stone, 60 miles of floor and window molding, 41 elevators, 15,000 tons of structural steel, and 4 million bricks. It was quite a project, given the tough times the country was currently experiencing. The final price for the structure was $3 million and it took only 13 months to complete, with workers toiling around the clock. The tower is named for its longest tenant, the Mabley and Carew Department Store, which occupied several of the floors from 1930 until 1960. Since that time, a variety of other stores have replaced the signature department store. Today's Carew Tower still includes offices, shops, and a hotel, currently the Hilton Cincinnati Netherland Plaza, a luxury establishment that uses the ornate Palm Court as its centerpiece restaurant. Another notable feature of the tower is the 49th floor observation deck, which is open to the general public. A visit to the deck requires an elevator ride to the 45th floor and a walk up a few flights of steps to the observation area. It offers one of the best views of the city, allowing visitors to see several miles in any direction when the weather is clear. Operators of the deck say it is one of the city's least visited attractions though one of its best and most affordable, costing only a few dollars admission fee. It is open daily with varying hours. Currently, the stores at Carew Tower range from popular women's apparel shops to upscale jewelry stores and kitschy souvenir shops. There are also a few places at the tower where visitors can grab a quick bite to eat or a cup of coffee. Parking is available in several nearby garages."
"Castaway Bay Resort in Sandusky, Ohio includes a Waterpark and More","Ohio","Castaway Bay Resort in Sandusky, Ohio includes a Waterpark and More","	One of five hotels in Sandusky, Ohio owned by the Cedar Fair Entertainment Company, Castaway Bay Resort is a popular hotel for those who head to this part of the state to visit the well-known Cedar Point Amusement Park. Just a few minutes walk from the park, it is the closest to the park of all the Cedar Point hotels. Castaway Bay Resort boasts 237 guest rooms and suites, all of which were recently remodeled. Popular with groups and extended families, the resort offers interconnecting rooms that can accommodate large numbers of people. The rooms all include a small refrigerator and microwave oven as well as standard amenities such as hair dryers, coffee makers, iron and ironing board, and more. The d,cor is tropical in nature, with light wood furnishings and walls and linens in hues that resemble the colors of the ocean. Of all the Cedar Point hotels, Castaway Bay is the only one that is truly a resort. Its main attraction is the 38,000 square foot indoor waterpark that is located inside the facility. Ideal for visitors of all ages, the Castaway Bay Waterpark is a five-story structure divided into several distinct areas. Also tropically-themed, it includes palm trees, huts, inland lagoons, and enough water features to keep kids and adults busy for hours, including several slides, a wave pool, an activity pool, an area designed especially for toddlers, and a family fun house. There are also two hot tubs, one indoors and one outdoors, as well as an adjacent game room. Other activities at the resort include a Kids Club, which entertains the little ones with a variety of hands-on arts and crafts activities, scavenger hunts, and more. Also located inside this Cedar Point resort is the Spa at Castaway Bay. This day spa attracts locals as well as vacationers and is always busy in the peak summer tourist months. Treatments on the spa menu include several different kinds of facials, a variety of massages including the resort's Island Express special treatment, hand treatments including paraffin dips, manicures and pedicures, and polish changes. Guests receive a discount for booking three or more spa services together. Reservations are recommended, especially during busy months. Four dining establishments are located within the Castaway Bay Resort in Sandusky. TGI Friday's offers lunch and dinner while Mango Mike's features a breakfast buffet that includes fresh fruit, freshly-baked pastries, scrambled eggs, cold cereals, hash browns, pancakes, French toast, biscuits and gravy, and more. Big Daddy's Snack Shack is located at the waterpark and offers light fare and snacks. Ebb and Eddy's also serves light breakfast items, sandwiches, and salads. Shops at Castaway Bay Resort include Pearl's Swimwear, which sells everything swim-related that guests may have forgotten to bring from home, and Nick Knacks, a souvenir and gift shop that also sells snacks and convenience items. Guests at this resort are allowed early access to Cedar Point Amusement Park one hour before the general public is admitted. A limited number of popular rides open during that time so that hotel guests can take advantage of short lines. Package plans at Castaway Bay Resort may include overnight accommodations as well as tickets to the amusement park, Challenge Park, and Soak City."
"Castaway Bay Waterpark in Sandusky, Ohio Offers Loads of Indoor Fun","Ohio","Castaway Bay Waterpark in Sandusky, Ohio Offers Loads of Indoor Fun","	The Castaway Bay Waterpark in Sandusky, Ohio is part of the Castaway Bay Resort, owned by Cedar Point Amusement Park and located next door to the popular park. Situated inside a five-story structure, Castaway Bay Indoor Waterpark occupies approximately 38,000 square feet. The waterpark, which boasts an elaborate tropical theme, is divided into several distinct sections, each of which includes one or more water attractions. At Creature Cove, for example, guests will enjoy riding upon numerous flotation devices and playing water basketball at the many hoops located there. The Tropical Tube Slides, the tallest features in the park, are a set of three colorful slides that twist and turn. These covered body slides are among the most popular features at Castaway Bay Waterpark. Rendezvous Run is the wildest attraction at the park. This 35 foot-high, 520 foot-long water coaster propels riders uphill and then sends them soaring both inside and outside of the park. The Lookout Lagoon Family Funhouse portion of the waterpark includes four exciting slides - Mango Melee, Tropical Twister, Pineapple Pipeline, and Paradise Plunge. Each is a little different and height restrictions vary on each. Two are designed especially for children. Also in the Lookout Lagoon Family Funhouse is a large, multi-story interactive play area, suitable for all ages, featuring more than 100 different elements such as a 1,000 gallon tipping bucket that soaks unsuspecting guests and plenty of water guns and canons. The Castaway Bay Wave Pool is a 100,000 gallon pool that generates 3 foot waves suitable for body surfing. There's a large seating area near the pool so that parents can watch their children near the water's edge. Designed especially for the waterpark's youngest visitors is the Toddler Tide Pool area. This section includes a tandem slide, water pipes, spraying gadgets and sea creature play structures and visitors must be less than 52 inches tall to play here. Finally, those who want to relax or warm up can take advantage of the two 50-person whirlpool spas located in The Grotto. One is located indoors and the other outdoors. Age restrictions apply. As part of the Castaway Bay Resort, this waterpark is included with a stay at the hotel. For those who do not have hotel reservations at Castaway Bay, day passes are available. In addition, to the waterpark, guests at Castaway Bay can also enjoy a luxurious day spa, a fitness center, a 6,000 square foot video game room (adjacent to the waterpark), retail shops, three restaurants, and a child activity center. The 237-room hotel also provides space for meetings and group social events. Because Castaway Bay Waterpark is located indoors, it is open seven days a week, year round. Hours vary according to season and are longest during the peak summer months of June through early September. During the summer, many visitors head to Cedar Point in the cooler morning hours and return to the resort to enjoy the waterpark during the afternoon heat, so the park is generally most crowded during that time."
"Cedar Point Amusement Park in Sandusky, Ohio is the Roller Coaster Capital of the World","Ohio","Cedar Point Amusement Park in Sandusky, Ohio is the Roller Coaster Capital of the World","	Cedar Point Amusement Park in Sandusky, Ohio is situated on a peninsula that juts out into Lake Erie. The second oldest amusement park in the United States - trumped only by Bristol, Connecticut's Lake Compounce - Cedar Point occupies 364 acres and currently holds the record for the most roller coasters in one amusement park with a total of 17 of these coveted thrill rides. Cedar Point Amusement Park had its start in 1870 as a small recreation area that included a beer garden with dance floor, bath houses, and several children's playground-type attractions. As the 19th century progressed, the land on the peninsula changed hands several times and more attractions were built, including additional bath houses, a Grand Pavilion, and - in 1892 - the peninsula's first roller coaster, known as the Switchback Railway. Growth continued until the 1930s, when the park was affected greatly by the Depression and the death of its owner. After nearly two decades of downturn, Cedar Point Amusement Park began renovations in the late 1950s and by the following decade was establishing itself as one of the finest amusement parks in the world. Today, Cedar Point Amusement Park, dubbed the Roller Coaster Capital of the World, attracts visitors from all over the United States as well as many other countries. Indeed, roller coasters are the main attraction here and with a total of 17 of these rides, there is something for every level of thrill rider. Favorites range from the classic Blue Streak out-and-back wooden coaster of the 1960s to the park's newest roller coaster, Maverick, boasting a 95 degree first drop and 400-foot tunnel. Its Maverick Coaster, at 310-feet-high is the second tallest in the world and consistently rated the planet's best coaster. Fans of roller coasters continually make this their number one vacation spot and the park remains one of the busiest in the nation. For those who aren't roller coaster fans but enjoy other thrill rides, there are plenty, ranging from a towering free fall-style ride to thrilling variations on the Swings and Ferris Wheel. With 75 rides in all, there are plenty of others to choose from as well. These include three carousels, including a classic racing derby-type ride where the horses go back and forth instead of up and down. There are also plenty of tranquil attractions for riders of all ages and a special children's area as well as two water rides that include an 82-foot-tall flume-style ride and a spinning raft attraction that soaks riders. In addition to rides, a trip to Cedar Point Amusement Park includes the opportunity to view several live shows each day. They range from kid-oriented shows featuring favorite Charlie Brown characters to musical revues and the highly-acclaimed multi-sensory show known as The Starlight Experience. Adjacent to the park is Soak City, a classic waterpark with slides, lazy rivers, a large wave pool, and more. And because Cedar Point is on Lake Erie, there's also a long, sandy beach to be enjoyed. Also onsite is Challenge City, which includes a few thrill rides like the Skycoaster, as well as two 18-hole miniature golf courses and two go-kart tracks. Cedar Point Amusement Park also operates four onsite hotels and a campground. Guests that stay at these hotel properties gain early access to the park each day during their visit. Accommodations range from basic to deluxe. Several ticket purchase options are available at Cedar Point, which is open daily from mid-May until Labor Day and then for eight or nine weekends following Labor Day. Season passes are available."
