Name,State,Title,Description
"Alabaster Caverns State Park Attracts Tourists to Freedom","Oklahoma","Alabaster Caverns State Park Attracts Tourists to Freedom, OK, Frontier Spirit and Hospitality Brings Them Back","Undoubtedly the main attraction of Alabaster Cavern State Park is the three quarters of a mile lantern-light tour of the alabaster cavern. Alabaster is a form of Gypsum that rarely occurs in nature. Selenite crystals of gypsum can be seen glittering throughout the cave. Huge boulders of pink, white and black alabaster fill the cave. This is the largest such natural gypsum cave that is open to the public on the planet. Tours are held daily each hour from 9am to 4pm, with an extended schedule in summer. People should visit the cave prepared for a good walk and cooler temperatures that average 50 degrees Fahrenheit. Those with respiratory of heart problems are discouraged from touring the cave, as well as those with serious cases of claustrophobia. Five species of bats live in the cave and in the evening enormous bat migrations can be witnessed in the park. The first recorded exploration of the cave took place in 1889. Charles Grass, who bought the land in 1928, sold it to the State of Oklahoma in 1953.  Later, the State established this 200-acre park. The park has many more attractions including another 5 caves that can be explored (with a permit from the park pending that the interested party has adequate safety equipment), hiking, camping, volleyball and horseshoes. Canyon trails and nature trails are also waiting to be explored. During the summer, a swimming pool is open on Wednesday through Sunday. Alabaster Caverns State Park is located just to the south of Freedom Oklahoma (about 130-miles northeast of Oklahoma City). Freedom was settled along the Cimarron River and is most known for its granite memorial to the Cimarron Cowboy. The monument is a series of etchings that depict the settling of the area by the early cowhands and lists the names of many of the area cowboys. The idea for the monument arose in 1947. On the Saturday of the rodeo The Great Freedom Bank Robbery and Shootout'' is staged by residents on the main Street, still reminiscent of an old west town. The robbery and shoot out enactment is performed on a volunteer basis as part of the town spirit and sense of community that is still alive in this old frontier town. Deer, quail and wild turkey continue to roam the surrounding habitat and like any true frontier town both fishing and hunting are major pastimes."
"Ambassador Hotel","Oklahoma","Ambassador Hotel - Tulsa OK - Ambassador Hotel Best","The Ambassador Hotel in Tulsa is popularly held to be the best hotel in the city. This has less to do with the price at the four star boutique hotel, and speaks more to the care that the 55 room boutique hotel puts into caring for its facilities and its customers. The architecture of the hotel is unusual, and so is the fact that it has consistently outranked every other hotel in the city on TripAdvisor and Expedia polls. The hotel is located downtown, offering guests convenience to go with their comfort. The property does not have a pool, but does have a fitness center. Eight of the rooms are actually suites, some of which have honeymoon themes. The hotel targets this kind of traffic, as well as the weekend getaway type leisure traveler. The older style of the hotel - a kind of classical European mixed with Spanish terracotta - is more suited to couples, adult travels and professionals than to families with children. As no hotel, even the Ambassador Hotel, is perfect, it is only fair to give warning about the toilets. Apparently they work on a kind of vacuum flush system which is surprisingly loud to many guests. No one seemed to report hearing it all over the hotel or being offended, just being surprised. You will have to try it for yourself and see what you think - just don't encourage small children to play with it! The hotel has an on-site eatery, the Chalkboard Restaurant, that is very popular with travelers. Special dinners can be arranged, and the staff overall earned high marks for accommodating special requests of all kinds. Housekeeping services can be scheduled, and chocolates are left on the bed during the turn down service. Small touches have earned the hotel a loyal following, so booking early for romantic and seasonal getaway seasons is advised."
"Beavers Bend Resort Park - Broken Bow OK Beavers Bend Resort Park hiking camping","Oklahoma","Beavers Bend Resort Park - Broken Bow OK Beavers Bend Resort Park hiking camping","Beavers Bend Resort Park is a multi-faceted outdoor attraction. The area is actually made up of two state parks, one lodge, and one golf course. The subsets of the Resort Park are the Beavers Bend State Park, Hochatown State Park, Lakeview Lodge, and Cedar Creek Golf Course. The parks offer cabin rentals, RV and camping, trout fishing, a nature center, gift shops, a museum, and many other activities. Beavers Bend State Park offers many activities to families and groups seeking an outdoor adventure. There is horseback riding, a train, paddle boats, miniature golf, canoe rental, float trips, a restaurant, group camping rentals, and a marina. The park also offers forty-seven cabins for rent each with small kitchens. Some cabins have fireplaces. There are 110 RV sites with water and electricity, 56 tent sites and two large shelters. Reservations are required for the shelters while everything else is a first-come-first serve set-up. The park also offers trout fishing year round in the Mountain Fork River; licenses are required for fishing and can be obtained at the Reservation Office. Within the Beavers Bend State Park area, the Beavers Bend Restaurant offers river front dining. The open air deck seating overlooks the Mountain Fork River. Catering is available for groups having events at the park. Nearby, the Forest Heritage Center and Museum features historical documents, antique forestry tools, wood art and homestead memorabilia. It features fourteen dioramas that include prehistoric forests, Caddo Indians, papermaking in the South, 1940s lumbering, and forest appreciation. There is also an exhibit that honors forestry firefighters, with an eight foot hero-sized'' bronze sculpture that honors Jim Burnett, the first firefighter in Oklahoma to die in the line of duty. Hochatown State Park offers 50 RV sites with water and electricity and 21 sites with water, electricity, and sewer. There are 150 tent sites and two shelters. The Lakeview Lodge offers a more hotel like setting, with thirty-six rooms and four suites available. Cedar Creek Golf Course offers an 18 hole golf course; there are no tee-times required and they offer a Stay and Play package. This is a par-72 course, with a pro shop, resident professional, cart and club rentals on site. Many families make the Beavers Bend Resort Park an annual destination. The camping and outdoor attractions make it is easy to find entertainment and space for the whole family. Additionally, the park camp area is considered quite safe for families with younger children although they should still be watched at all times."
"Colcord Hotel","Oklahoma","Colcord Hotel - Oklahoma City OK - Colcord Hotel Downtown","Of the more than 100 hotels in the City, the Colcord Hotel in Oklahoma City ranks in the top five consistently. The four star facility downtown has just over 100 rooms available, and books out regularly. Valet parking services and self parking services are available, as well as a shuttle to and from the airport for those who choose to fly into the city. Guests repeatedly commented on the ease of working with the staff on any issue. They also raved over the responsiveness of the hotel shuttle, which serves the downtown and Bricktown areas as well as the airport. In the evenings, it functions as an on-call taxi/car service for guests who are out exploring the area. Most of the Bricktown attractions, the Oklahoma City Memorial and the Myriad Botanical Gardens are all truthfully within walking distance, but the shuttle can help with time management for those who are trying to pack a lot into their trip. The Colcord Hotel in Oklahoma City sits in a slightly older building, but the rooms have been done over in a spacious and sumptuous fashion. Many, many guests raved about the bathrooms, as they come with a Jacuzzi tub. The King Deluxe suites were also highly recommended by guests for their spaciousness and the views over the rest of the city. The hotel does have a business center and free wireless access available throughout the facility. Hard wired connections are also available; ask at the desk for the best places to plug in a computer. However, the hotel is much more oriented toward providing excellent service to leisure travelers. There is a restaurant onsite serving French-style cuisine, and a lounge area. Most guests opted to head out to the greater downtown area, although the restaurant and lounge were highly rated by those that did use them. Pets are welcome."
"Crown Plaza Hotel","Oklahoma","Crown Plaza Hotel - Tulsa OK - Crown Plaza Hotel luxury accommodations","The Crown Plaza Hotel is located in a high-rise luxury hotel that has just completed a $24 million renovation. In the heart of the downtown district, this location now features a Starbuck's, Daily Grill, Enterprise Rent-a-Car, spa, business center, and an expanded gift shop. They also upgraded the fitness offering to include their own jogging or walking trail. The hotel is adjoined to the Williams Towers in the downtown business and entertainment district. Just adjacent to the Tulsa Performing Arts Center, it is a very convenient stop for business or leisure travelers. More upscale travelers are targeted with the luxurious upgrades and some of the stay and play packages that are on offer with downtown events. The Crown Plaza Hotel has 38,000 square feet of function space for meetings or special events. There are two ballrooms that can accommodate up to 1400 guests. A professional staff is available to assist in planning of meetings, events, and banquets of any size. For the business traveler this hotel offers a full-service business center complete with a computer, printer, and fax to keep things running smoothly. The upgraded ballrooms and bathrooms will also appeal to the socially minded event planner. This location offers special packages for guests to choose from if they are seeking special mini-adventures. The Route 66 package includes a nights stay in one of the guest rooms, a Route 66 guidebook, vintage Route 66 postcard, and dinner at Ollie's Station Restaurant. The Tulsa Golf package which features a round of golf at one of the choice courses in the city, accommodations, and dinning.  Tee times are arranged by the hotel and caddy, club and cart rentals can also be arranged as desired. For more information or reservations contact the hotel at (918) 582-9000. They are located at 100 East 2nd Street."
"Crowne Plaza Oklahoma City","Oklahoma","Crowne Plaza Oklahoma City - Oklahoma City OK - Crowne Plaza Hotel","The Crowne Plaza Oklahoma City is a three star hotel located eight miles from downtown. The hotel advertises itself as a convenient suburban location. Guests will find both business district attractions like the Ford Center and family attractions like Frontier City to be within 10 - 15 minutes drive from the hotel. The hotel caters primarily to mid-scale business travelers and family travelers. The building is a little older, and as a result the hotel is in the midst of undergoing an extensive floor by floor renovation. They appear to be starting from the top, but for updates on progress it is best to call the front desk. Typically the front desk can also accommodate requests to be placed in one of the renovated rooms. Travelers in the updated rooms do not seem to have many complaints, and the view from the 7th floor rooms is highly prized. The Crowne Plaza Oklahoma City has a nice pool area, with a hot tub available. There is a health club and a business center in the lobby. The breakfast buffet is sometimes free and sometimes not free - the hotel appears to be experimenting with this. Groups will likely want to take this into consideration when booking as the price of the buffet is upwards of $10 per person. Travelers reported that using Priceline and other discounting services, they have been able to get rates as low as 30 - 40 % of the official rack rates. Naturally this is never guaranteed, but budget travelers may want to keep this in mind when looking at the hotel. Seasonal packages and event packages are also offered by the hotel, so watch for these promotions throughout the year. For more information about the hotel or to book directly with the front desk to ensure a renovated room, call 405 - 848 - 4811."
"Discoveryland","Oklahoma","Discoveryland - Tulsa OK - Discoveryland western musical theater","Discoveryland is a theater attraction feauturing a national staff of professional singers and dancers performing live productions. While the theater performances are the highlight of the evening they offer many other pre-show'' activities. Before the performance each night guests can watch a Western Musical Revue featuring local performers. This revue is a tribute to the American cowboy and also features Can-Can girls. Visitors can also see Native American dancers perform in the complex's replica of a Plains Indian Village. Spectators can have their pictures taken with the Native American performers, and children can get their faces painted by the warriors or go on free pony rides. Along with the activities guests are treated to a meal at the Oklahoma Cattleman's Association Ranch Dinner located on the grounds. This location is open year round and hosts a verity of plays that rotate regularly. The theater opens at 6pm each night. Guests who opt for the Ranch dinner are served from 6pm to 7:30 pm. As far as show times go, the Native American dancers start at 7pm, the Western Musical Revue starts at 7:30pm, and the final show starts at 8pm. Children under ten years old are free. Groups are welcome but reservations are required. Discoveryland offers three packages for their guests. The Gold package is an all-inclusive experience that includes show tickets, a meal at the ranch dinner with dessert, soft-drink and popcorn at the intermission of the final show. The Gold package also includes a full color playbill with cast photos. The second package is designed for groups and includes all the benefits of the individual Gold package and also offers a hand-held fan and cowboy bandana as souvenirs. This package requires a minimum group of 20, and a 50% deposit in advance on the admission price of $34.95 per person (the remainder is due when the party arrives at Discoveryland). Their last package includes a hotel stay at the Hilton Tulsa Southern. The theater also invites companies to host their picnics and parties at the complex, and can accommodate up to 2000 people. An annual Halloween festival for children called Camp Cute `n Spooky is held each year for children under 10 years old and includes a trick or treat trail along with games, stories, pumpkin painting, face painting, and pony rides. It's a big hit with kids and adults are welcome, too. For more information contact Discoveryland at (918)742-5255."
"Doubletree Hotel Tulsa Downtown","Oklahoma","Doubletree Hotel Tulsa Downtown - Tulsa OK - Doubletree Hotel travel","The Doubletree Hotel Tulsa - Downtown is centrally located in the downtown district. It is connected to the Convention Center via a sky bridge. The guestrooms and suites have all been recently renovated, and the hotel joined the Web 2.0 revolution by adding free high speed web service throughout the property. With its close connection to the business center, this hotel does target business and convention traffic. The facilities are designed to cater to traveling professionals. There is a heated indoor pool and fitness center for relaxation, with a 24 hour business center, airport shuttle and meeting space available to cover all other needs. All told, this hotel offers a 22,000 square foot space for meetings, exhibits, and a ballroom for banquets that can accommodate up to 1000 individuals. There is also a dedicated team of planning and catering staff available to help coordinate any event. They also feature a wedding planning staff to help with every aspect of the reception including a professional catering staff that will serve a custom menu. The Doubletree Hotel Tulsa - Downtown has both restaurants and bars onsite, although many choose to go out downtown for their meals. The hotel's offerings are the Six 16 Bar and Lounge and the Seven West Cafy. It is safe to be out in downtown Tulsa at night, or the kitchen does offer room service until quite late in the evening. A coffee shop also supplements the restaurant offerings and is open early as well. This is a pet friendly hotel that allows pets up to 50 pounds for a fee of $100.00 plus a $50 non-refundable cleaning charge. It is a non-smoking location, however. Convention packages are available, as well as the ongoing Doubletree promotions.  For more information and reservations call the hotel at (918)488-8832. They are located at 6110 South Yale Ave."
"Doubletree Hotel Tulsa Warren Place - Tulsa OK Doubletree Hotel Warren Place","Oklahoma","Doubletree Hotel Tulsa Warren Place - Tulsa OK Doubletree Hotel Warren Place","The Doubletree Hotel Tulsa - Warren Place is part of a larger suburban office park. Targeting more affluent mid-market travelers, this hotel features luxury guestrooms and suites. The internet is free, with a high-speed connection available. Guests can also avail themselves of the pool and fitness center. For business travelers this hotel offers 18,000 square feet of conference space. The multi-function space can be used for meetings, exhibits, and a ballroom that can accommodate up to 600 individuals. They also feature a state-of-the-art amphitheater with tiered seating. There is a creative team of meeting and catering services professionals available to provide complete support for business conferences, trade shows, receptions, and other social events. Wedding planning is an especially popular service, second only to corporate retreat planning. Solo road warriors will appreciate the business center, airport shuttle and office support services even if they don't need the larger conference tea. The Doubletree Hotel Tulsa - Warren Place also features a choice of on-site dinning experiences including room service, coffee shop, and the Warren Duck Club. The guest rooms feature spacious work areas, data ports, and the Sweet Dreams by Doubletree Sleep package that includes plus-top mattress, down comforter and jumbo pillows. This is a pet friendly hotel that allows pets up to 50 pounds for a fee of $50.00 plus a $50 non-refundable cleaning charge. The hotel is smoke-free throughout the building. They also offer three packages including the Memory Maker Weekend Getaway that features twenty percent off weekend accommodations and free breakfast for four; Sweet Romance Getaway includes deluxe accommodations, sparkling wine, full breakfast, and a come early/stay late policy upon request; and the Coca-Cola American Idol package with a chance to win a trip to Hollywood. For more information and reservations call the hotel at (918)495-1000. They are located at 6110 South Yale Ave."
"Ford Center Oklahoma City, Oklahoma","Oklahoma","Ford Center Oklahoma City, Oklahoma","The city of Oklahoma City, Oklahoma owns the Ford Center but it is managed by SMG. It was opened in 2002 and has undergone extensive renovations during the summer of 2009. There are several teams that call the Ford Center home. They include the Oklahoma City Blazers, a Central Hockey League team and the Oklahoma City Yard Dawgz, an arena football 2 team. Recently the Oklahoma City Thunder began using Ford Center as their home NBA court. While there is a lot of sporting events at Ford Center they also welcome major concerts, family events, ice shows, and world class entertainment. Some of the improvements to the facility that are expected during the renovations are a grand entrance, multi story atrium, bunker suites, new restaurants, clubs, concession areas, loge boxes, locker rooms, roof top gardens, a warm up basketball court, team offices and a family fun zone. There are forty nine private suites and seven party rental suites. Twenty three permanent concession stands serve customers with several portable stands for specialty vendors. There are eight escalators and six passenger and two freight elevators. Ford Center has a total of forty eight restrooms; twelve of them are for family use. There are more than two hundred TV monitors in the Ford Center. Tickets for any events at the Ford Center in Oklahoma City, Oklahoma, are available through Ticketmaster and Ticketmaster outlets. Upcoming events at the Ford Center include AC/DC, U2 360 degree tour, Kings of Leon, Rob Thomas, Robin Williams, and many Thunder games. The restaurants at the Ford Center are the Old No. 7 Club, Sunset Bistro and the Victory Bar & Buffet. The concessions serve popcorn, hot dogs, pretzels, grilled selections, pizza, Philly cheese steaks, and desserts. The Sunset Bistro and Victory Bar & Buffet are for club seat holders and suite owners. Hotels in the Oklahoma City vicinity are the Bricktown Hotel and Convention Center, Classen Inn Motel, Colcord Hotel, Courtyard by Marriott Downtown, Econo Lodge Inn & Suites, Quality Inn Bricktown, Renaissance Oklahoma City Hotel, Residence Inn by Marriott, Sheraton Oklahoma City, Skirvin Hilton and Super 8. Visitors to the city might also enjoy going to a museum, a show or shopping. Amtrak train station travels to Oklahoma City if visitors don't wish to drive or fly. Landmarks that people can see are the Centennial Land Run Monument, Crystal Bridge and Myriad Botanical Gardens. Restaurants that can be reached by walking are the Melting Pot, Bolero Spanish Grill, In the Raw Sushi, Zio's Italian Kitchen, Abuelo's Mexican Food, Jazmo's Bourbon Street, Tapwerks Ale House & Cafy, La Luna Mexican Cafy, America's Pub and Chelino's Mexican. There is also a bowling alley that serves food and a sports lounge with pub food, steaks and American cuisine. Hooters, Quizno's and Subway are some of the chain restaurants in the area. Visitors wishing to purchase a cup of coffee can stop in at Starbucks. Since the Ford Center is close to the center of Oklahoma City there is plenty to see and experience."
