Name,State,Title,Description
"A Culture of Eclectic Shopping","Oregon","A Culture of Eclectic Shopping, Liberal Foods, and Artistic Entertainment - Hawthorne District in Portland","Portland has a reputation for its liberal environmentalism, opinionated yet friendly citizens, and passionate love for the arts, and nowhere is this culture more thickly represented than in the avant-garde Hawthorne District. This is one of the most unique and popular places in the Southeast Portland area. While the restaurants and shops give a funky feel to it, the neighborhood is also full of restored old and historical homes, mostly of the bungalow style, that are surrounded by tall trees that line the sidewalks. Visitors can find trendy clothing shops, cafes, antique stores, boutiques, used-clothing stores, and locally-owned restaurants. It's also a fantastic place to get a cold one, as the area is full of fun pubs and breweries. For night-time entertainment, pubs with sidewalk seating offer a pleasurable nightlife. The district is between 17th and 43rd Avenues, across the Willamette River from Downtown. It covers a three-mile stretch. It's not recognized as a single neighborhood, but instead is made up of the Mt. Tabor, Sunnyside, Hosford-Abernathy, Ladd's Addition, and Buckman neighborhoods. There you can find the Hawthorne Bridge, which is the oldest vertical lift bridge that is still in operation in the United States. Another popular landmark is a Portland relic that has been restored by the popular local McMenamins chain, The Bagdad Theater and Pub. McMenamins commonly restores old and historical buildings in Portland, including schools, retirement homes, and theaters, and turns them into a funky gala of art and alchohol. The Bagdad Theater and Pub show second-run movies that visitors can view while sipping McMenamins' famous craft beer. It was put on the National register of Historic Places. Powell's Books, the world-famous city of books that claims to be the largest independent new and used bookstore, has one of its seven locations in the Hawthorne District. Some other popular attractions include the Daily Grind, an incredible bakery and natural foods store, Pastaworks, an Italian grocery store featuring fresh pastas and sauces, Ink and Bread, a northwest-influenced bistro famous for its luscious desserts and Yiddish brunches, and the Lucky Labrador Brew Pub, serving hand-crafted ales and inviting patrons' dogs to stay in the back patio. There are many other restaurants and pubs ranging from thin-curst pizza, to Italian, to sushi. Some of the best places for shopping include the well-known Red Light, full of 70's style used clothing and accessories, Presents of Mind, Imelda's and Louie's Shoes, and Greg's. Visitors and reviewers comment on the laid-back atmosphere of the area and commonly refer to it as Portland's version of Haight Street.'' The fun and vibrant culture of the Hawthorn District is incredibly important to the locals living there. Only a few years ago, residents of the neighborhood and surrounding area organized to keep McDonalds from setting up a franchise in the area. They were successful, and the space is now a set of condos and retail shops. Hopefully the district will always be a unique and eclectic place for culture and enjoyment."
"A Kaleidoscope of Thousands of Roses In the Rose City - International Rose Test Garden","Oregon","A Kaleidoscope of Thousands of Roses In the Rose City - International Rose Test Garden","This five-acre rose garden features fountains, paths, statues, art, tours, a charming gift shop full of rose-related gifts, and - of course - every kind of rose you could possibly imagine. Over 8,000 rose bushes from approximately 550 varieties are available for viewing up-close, creating a kaleidoscope of colors and an intoxicating potpourri of scents. There are climbers, grandifloras, hybrid teas, landscape roses, floribundas, and miniatures, just to name a few of the types of roses in this lush garden. Thousands of visitors come to see and smell the numerous flowers every year. Because it's set in the West Hills above downtown Portland, various places in the garden offer spectacular views, including a nice view of Mt. Hood and the Cascade mountains. In 1905, officials had planted 20 miles of rose-bordered streets in order to draw attention to the Lewis and Clark Centennial Celebration. This earned Portland the name City of Roses.'' A former president of the Portland Rose Society, Jesse A. Currey, rounded up numerous supporters to encourage the city fathers to create a rose test garden. The purpose of the garden was to test new rose varieties, but it must have appealed to city officials as an attraction that would heighten Portland's reputation for having beautiful roses. This garden, completed in 1917, is the oldest continually operated and official public rose test garden in the US and contains various roses from around the world. During World War I, Europeans sent many new hybrids to this testing site in order to prevent them from being destroyed by the current bombings. It is a non-profit attraction that is free to viewers, and is maintained by over 500 hours yearly of volunteer service. There are numerous different gardens with different themes contained within the test site. The Gold Medal Garden contains every selection from the yearly Gold Medal award. The International Rose Test Garden contains exceptional roses from the All-American Rose Selection (AARS). These roses there are tested on 14 characteristics, including color, disease resistance, form, foliage, fragrance, and habitat. The Miniature Rose Garden is unique in that it only tests miniature roses. There are only 5 similar testing grounds owned by the ARS. The Shakespeare garden is a popular spot that only contains trees, flowers, and herbs that were mentioned in Shakespearian plays and roses named after Shakespearian characters. The Queen's Walk honors Queens of Portland's Rose Festival, Oregon's premier civic celebration since 1907, with a bronze star for each crowned Queen. Tourists agree that this garden is a must-see for anyone visiting Portland, and some declare that it's worth a special trip to Portland just to see the many brilliant flowers. There are many picnic areas, and a amphitheater there hosts events such as concerts and plays.  Roses bloom from April to October and reach their peak in June, so visitors and owners recommend visiting the place in mid-summer."
"A Quirky Extravaganza of Art and Diversity - Alberta Arts District in Portland","Oregon","A Quirky Extravaganza of Art and Diversity - Alberta Arts District in Portland","This artsy, unique area prizes its individualism and displays its eclectic mix of art galleries, shops, and restaurants with great, swelling pride. The interesting mix of Alberta style is in part created by the multi-cultural diversity of the residents, the visitors, and the art. Some stores have been in the district for what seems like forever, while new ones contribute to the ever-changing flair. The Alberta District didn't earn its nickname, the Arts District,'' just because of its many galleries displaying local artworks. In fact, each and every restaurant and coffee shop gratuitously displays arts of all kinds, and each shop is so unique that it almost functions as its own art gallery. As if this wasn't enough to show off their incredible, vibrant style, the district is full of murals and statues that can be enjoyed by people just passing by. In fact, the Alberta Arts District feels like a functional museum, and it's impossible to pass by without noticing it and taking a long look. Retail stores sell all kinds of trendy and interesting items, such as paper mache lamps, handmade local designer clothing, and imported gifts from afar. Each subculture in Portland seems to be represented by at least one coffee house, since it seems there can never be enough coffee shops in the city, and events, such as artsy fairs and festivals, take place in the area year-round. For example, the district features an event called Last Thursday'' where on each Thursday of the month, galleries and shops are open late for viewers to enjoy. It's perhaps the most popular and well-known event in the district, and its made possible be Art on Alberta.'' Art on Alberta, a nonprofit coordination of art-related organizations, functions to provide education to a wide ranging audience to foster understanding and appreciation al all forms of art.'' This organization is in charge of the annual Art Hop, which displays varieties of art, juried exhibits, and all kinds of performances. During the Art Hop, an enormous diversity of stands and carts are available selling food, face painting, crafts, and art works. The AoA (Art on Alberta) proudly states that their intent is (to increase) the visibility of the art events in this community to foster the voice that we lend to the larger dialogue. Hosting a major art event such as Art Hop challenges our members, animates and inspires artists, unifies the business community, and builds Alberta Street's reputation as an exciting place for art in the Portland metropolitan area.'' AoA also provides an Art Map for the Last Thursday Art Walk. It organizes the Art Agog project, which creates scrap metal structures made by teens in the Vocational Village to display on the street, and the Tannenbaum Maddness where unusual holiday trees are displayed. They even publish a monthly electronic newsletter. They oversee the Community Mural Project, inviting community members to increase the beauty of the district through painting, and they also focus on revitalizing buildings all over the district, commercial as well as residential. Without AoA, Alberta would not be the magnificent collection of art and culture that it is today."
"A World of Trees for the Future","Oregon","A World of Trees for the Future - and the Present - Hoyt Arboretum","The Hoyt Arboretum is a non-profit museum of living trees from across the globe spanning 187 acres of land. There are more than 1,000 species of trees and plants represented there, all of which have been grown from seeds that were collected in the wild. Tourists and locals alike can enjoy the magnificence of the titanic collection by strolling down the miles of trails, soaking in the peace and calm that the beauty of nature brings. The Hoyt Arboretum views itself as a promise to future generations.'' Most trees take decades to grow to be mature, and the creators of the arboretum state that Just as we are enjoying mature, wonderful trees that were planted many years ago, the trees we plant today will grow to provide shade, beauty and value for decades and centuries to come.'' To remind visitors of the gain future generations will have from this large garden, the arboretum commonly displays the Greek Proverb: A society grows great when men plant trees whose shade they know they shall never sit in.'' The Hoyt Park,'' as it was originally called, was deeded to the city in 1922. The property that is now known as the Hoyt Arboretum was going to be used for residential development, but civic leaders had a vision of placing a public park in that space devoted to conserving a wide variety of trees from around the world. The idea quickly caught interest and the first steps were taken to create the beautiful park that we see today. The arboretum isn't just a calm oasis from urban life, with 21 trails covering 12 miles for visitors to unwind and enjoy. In fact, this living laboratory'' is an important resource to conserve plant biodiversity. The area is used by scientist and students for plant research, as well as the preservation of hundreds of magnificent tree species. It's an especially important place because, since the collections feature trees from all around the world, scientists and students are given the opportunity to study plants and trees that don't grow in the Northwest. The Hoyt Arboretum has another function that is a huge benefit to our planet: because the area maintains the growth of so many species from such a wide area, the seeds the plants produce are useful to restore destroyed or at risk native ecosystems. Visitors are given several resources to make their visit more enjoyable: in the Visitor's Center, people can find free trail maps, self-guided walk brochures, and educational material as well as volunteers that answer questions and provide information about the collections. Parking, restrooms, and ADA accessible trails are provided. Each tree is identified with nearby labels to help curious viewers to learn more about any of the trees they are interested in. Each collection of the trees is organized by geography and plant families (technically referred to as taxonomy''). The world of trees for all seasons'' is only 2 miles west of the bustling metropolitan downtown area of Portland. It's easy to access by bus, car, or Max light rail."
"A.C. Gilbert's Discovery Village has over 20,000 square feet of indoor and outdoor activities","Oregon","A.C. Gilbert's Discovery Village has over 20,000 square feet of indoor and outdoor activities","A.C Gilbert's Discovery Village is a discovery center with over 20,000 square feet of indoor and outdoor activities, three historic houses and a hand's on children's Museum. The center is in recognition of A.C. Gilbert who was an Olympic Gold Medalist in the pole vault, created the Erector Set and many other toys to combine fun and science for children to become interested in Science. The center is located at Riverfront Park in Salem Oregon. The center is a non profit organization that was founded in 1989 to provide stimulating educational experiences for children along with summer camps, birthday parties and science, art and humanity outreach programs. The houses at the center are Gilbert House, which is a Queen Anne Victorian of Eastlake design and was purchased by the City of Salem as part of the Riverfront Development Project. The house is now part of the museum and is listed on the National Register of Historic Places. Parrish House is a two-storey wood frame house and was moved to the Riverfront in 1990 and is now part of the center exhibiting the life and inventions of A.C. Gilbert. Rockenfield House was originally located at the northeast corner of Court and Summer Street, the house was purchased by the state and moved to make an area for the State Library. Rockenfield House was moved to the center in 1991 and opened to the public in 1992. The Little Gem Grocery store was built in 1925 and has a gabled roof that is hidden by an Italianate false front. The grocery store is now used as a food concession stand during different times of the year. Many programs are offered to children at the center, these include the Preschool Program for children aged from 3 to 5. The 45 minute classes are tailored for the developmental and educational requirements of preschoolers and use hands-on learning techniques. Programs include the Humanities program where children will learn how pioneer children lived, learn to make butter or create a miniature slate. The Art program allows children to explore building with Clay, Frog Frenzy is full of fun frog facts and activities, they can learn about farming through stories and a counting book. In the Science program children will take part in a dinosaur dig and make their own fossil or learn all about butterflies and create a model of a butterfly's life cycle. Upper elementary and middle school students will learn about the physics of toys such as why dominoes fall, what energy slinkys use or why roller coasters are so scary and fun. The most famous attraction at the center is the Erector Set, this 52 foot high tower is used by children to build toys, complete the maze and ride down the three giant slides, even the one that is two stories high. The Erector Set is even used by architects and engineers to build models of structures and machines. Visitors are able to walk around the miniature global village to view homes of people from all over the world. Or they could walk the Discovery Garden through raised beds and pathways, gardens include a vegetable, herb, native plants of the Pacific Northwest and annual gardens or enjoy the small pond. The center is able to host birthday parties with packages available offering a different range of time sessions and items included in the package."
"Ace Hotel","Oregon","Ace Hotel - Portland, Oregon - Bohemian Hotel","Ace Hotel Portland is located at 1022 SW Stark Street, Portland, Oregon, just northeast of Portland State University and east of Chinatown. Their contact number is 503-228-2277. The building is five stories and offers 79 bedrooms, meeting rooms, and event space. The Ace Hotel was designed by the Atelier Ace. (Atelier is a French word signifying a workshop or art studio.) This company works with the current cultural status to develop an environment in the hotels that is congruent with the location. They offer nine different room styles. Some of these styles are: the Standard, the Junior Deluxe, the Superior Deluxe, and the Basic Shared Triple. The Standard Double consists of 250 square feet of space with 2 double beds. The bath has either a stand-up shower or clawfoot tub. A clawfoot tub is known for its deep basin and a rolling rim, which is seated on claw feet. The rooms feature an 18-inch flat-screen television, and these rooms are located on front side of building. The Superior Deluxe rooms are the hotel's most elegant. These rooms are roughly 500 square feet and come with a king-size bed. There are wrap-around couches that convert into two twin beds. The bath has either a clawfoot tub or large shower. True to the aesthetic ideals, the room includes a record player with vintage vinyl and also features a 32-inch flat-screen television. During the development of Ace Hotel Portland, Atelier Ace worked alongside several artists in the northwest to create murals within the hotel. Several rooms have artwork on the walls, as do some of the stairwells. In room 415, artist Morgan Brent Wick painted a mural entitled Larry,'' which is a representation of a cat. Wick also painted murals in many other rooms, including 201, 226, and 228. Artist Justin Morrison created murals in rooms 206 and 308 that depicted an interpretation of travel. There are three main dining facilities located near the lobby. Clyde Common takes its name from the previous hotel and is a popular nightclub spot. There is a full menu that includes a large array of alcoholic beverages. Head Chef Jason Barwikowski creates meals from both domestic and foreign cooking traditions, and his meals involve local ingredients.The sous-chefs, Chris DiMinno and Erin Williams, assist in kitchen management and menu development. Stumptown Coffee is the hotel's high-end coffee shop, and Kenny & Zuke's offers a lighter fare of sandwiches and sides. Room 101'' is the in-house conference area. It is equipped with an oversized leather-bound table that seats 15, a high-definition projector/screen, WiFi access, a conference phone, and a water cooler. Catering is also available upon request. This area is rented at a rate of $50 per hour Monday through Friday from 8am to 5pm. Rental rates are $75 per hour on weekends and after 5pm on weekdays."
"All You Could Ask For In The Center of the City - The Nines Hotel","Oregon","All You Could Ask For In The Center of the City - The Nines Hotel","For an elegant yet modern lodging experience with impeccable service and the most up-to-date amenities, Nines Hotel has everything a guest could ask for. This large hotel has 331 guestrooms, 13 suites, and 13,000 square feet of meeting space. All of that is placed on top of the tall, historic Meier & Frank Building, placing guests high above the street of the lively Portland culture. The rooms are lush and colorful. Guests can settle into their spacious rooms and enjoy down pillows and comforters, 350 thread count sheets, an in-room electronic safe, a flat screen TV, cable channels, a DVD player, 24-hour room service, valet service, free local calls, free wireless high speed internet, in-room movies and video games, and a free newspaper of choice. For service, the accommodations are out of this world. The Nines Hotel offers tours, limousines, personalized wake-up service, a multilingual staff, bellmen, a 24-hour front desk, a doorman, a concierge desk, laundry and valet service, a 24-hour fitness facility, in-room massage service, dry cleaning, and a 24-hour business center. They even welcome dogs with a limit of 2 per room. The Nines Hotel has a great location. It sits right in the center of downtown Portland next to Pioneer Square, the city's living room.'' The MAX light Rail is right by the entrance to the hotel, making it nearly effortless to get anywhere in the city within minutes. Guests can spend hours walking around town, seeing all kinds of shops, dining in restaurants to suit any taste, exploring museums, landmarks, or just strolling around in the parks and gardens in the area. If visitors are ever at a loss for what to do (though they're more likely to be at a loss for what to do first) the concierge team will happily arrange day trips. Ideally situated next to Portland's Pioneer Square and the MAX light Rail, the Nines rests atop the landmark Meier & Frank Building and is a contemporary homage to the structure's storied past both in its striking decor and impeccable service. For dining, the Nines Hotel offers two excellent restaurants with delectable meals. Departure, perhaps their most popular restaurant, is an eclectic Asian dining getaway placed on the roof top for an elegant and breathtaking dining experience. In the atrium, one can enjoy the casual sophistication of the steak restaurant, the Urban Farmer. The Nines also offers a bar menu in the relaxed setting of The Library. If business is your purpose for staying at the Nines Hotel, the accommodations leave nothing to be desired. There are 14 meeting spaces, the largest of which measures 7224 square feet, all of which contain original art pieces, an elegant staircase, and creative floor plans. The hotel boasts a highly skilled staff with attention to every last detail and extensive experience to meet each guests needs. They have many features to make the meeting seamless and entertaining, such as a teleconferencing system, video conferencing services, a tape recorder, a projector, a language distribution system, complete audio visual equipment and technicians, and catering."
"All You Could Ever Buy and as Much Fun As You Could Ever Have at Lloyd Center Mall - Lloyd Center mall","Oregon","All You Could Ever Buy and as Much Fun As You Could Ever Have at Lloyd Center Mall - Lloyd Center mall","Anyone living in or visiting Portland can find a plethora of shopping opportunities at Lloyd Center mall. With over 200 stores to choose from, using three levels and 1,472,000 square feet of space, anyone can find just about anything they need in this large shopping center. The mall offers complimentary wheelchairs, a lost and found, strollers, gift cards, and a customer service center to make buyers' experience in the mall more pleasurable. Also, with Lloyd Center just a few minutes drive from downtown, the mall is only a short distance from other restaurants, shops, and attractions. There's more to do in the mall than just shop and eat: within the mall is a Regal Cinemas theater that has 18 screens, and there's another bigger theater owned by Lloyd Center right across the street. On the floor level is the Lloyd Center Ice Rink where hundreds of children, adults, and families come to have fun every day. The ice rink offers classes, birthday parties, freestyle, dance, summer camps, group parties, skate rentals, broomball, and private ice. Shoppers that want to get away from the bustle to relax need only cross the street to get to the park, a lovely place full of trees and shade to sit on a bench and relax. Next to the park is a Max light rail platform, making it easy to get to and from Lloyd Center quickly. The mall was opened in 1960. Owners wanted to build it decades sooner, but because of events such as World War II and the Great Depression, it was put off for 37 years. When the mall was first built, it had about 100 stores, making it the largest shopping center in the Pacific Northwest. Today, the mall remains the biggest in Oregon. It is currently owned by Glimcher Realty Trust. Back when it was first built, the mall had an open ceiling, but in 1991 it was renovated and the owners closed the ceiling. During that renovation, the owners also added a food court that houses 17 restaurants. The restaurants of the food court provide all kinds of different delicious foods, from fancy Asian food, sea food, fast-food chains, and coffee and pastry shops. The Lloyd Center mall gets its name from the Lloyd District it is centered in, a commercial neighborhood named after Ralph Lloyd, who started the development in the area. Most of the district is east of I-5. It includes many principal landmarks (Lloyd Center being one of the primary landmarks), as well as restaurants, hotels, shops, apartments, condominiums, and office buildings. The mall has specialized products, such as the Disney Store, Made in Oregon, Bath & Body Works, Motherhood Maternity and much more. A reviewer of this mall wrote, Great Vibes at This Mall! For some odd reason, the first time I went to Portland's Lloyd Center Mall, I fell in love with it instantly! I feel so good there - it has a great atmosphere.'' Locals visit Lloyd center regularly; it's a common place for activities, get-togethers, and - of course - shopping for just about anything."
"An Architectural Masterpiece Sits at the Top of Portland - Pittock Mansion","Oregon","An Architectural Masterpiece Sits at the Top of Portland - Pittock Mansion","This home, built by Portland pioneers and completed in 1914, is a richly decorated, eclectic architectural wonder. It stands as a testament of two hard working people that started out barefoot and penniless. The mansion represents Portland's early history and documents the transformation of Portland from a forest clearing and a small lumbar town to a business center and bustling city. Visitors can learn about what life was like in the early 20th century, as well as picnic in the breathtaking gardens and capture photos of the scenic backdrops. Henry Lewis Pittock was born in England and traveled to Oregon in 1853. Georgiana Martin Burton, native to Missouri, met him after making the voyage to Portland and became his wife in 1860. Henry Pittock was a brilliant businessman and built real estate, steamboats, railroads, silver mining, banks, sheep ranches, and the pulp and paper industry. He became the owner of the Weekly Oregonian, which is still in circulation and being read by Oregonians today. His wife was passionately involved in community service and assisted in founding the Ladies Relief Society to care for needy children, and she worked for the Woman's Union and helped build a the Martha Washington Home for working, single women. The couple lived together for 58 years and had six children, though they only lived in the mansion for 5 years. Planning for the mansion began in 1909. Henry and Georgiana had it built in the West hills 1,000 feet above the city's skyline so that it would overlook their beloved Portland. The home is a stunning example of early 20th century architecture, with Turkish, French, and English designs and ingenious features, such as a central vacuum system, indirect lighting, and intercoms. The estate was put on the market by one of the Pittock's grandsons in 1958. Citizens became worried about the rising threats of storm damage and demolition by land developers, so they raised funds and persuaded the City of Portland to purchase and restore the community landmark. The City bought the home for $225,000 and spent fifteen months restoring it. Finally, in 1965, the mansion was opened for the public to discover the beauty and intricacy of the structure and to learn about the remarkable family that once lived there. Not only is the house itself of immense historical interest, but the mansion is full of old furnishings, art works, and artifacts. Some of these pieces were bought by Portland citizens who wanted the home to become as true to its original appearance as possible before it became open to the public. They were purchased from Pittock family members that had inherited the original furniture. These magnificent pieces include the Stinway grand piano and Henry Pittock's ceremonial sword. The rest were collected from generous donors and interior design shows. In fact, 90 percent of the artifacts in the Pittock mansion collection were donated. After much work, funding, and donating, the Pittock mansion is a complete display of the splendor the house might have had, waiting for curious tourists and loyal locals to admire and enjoy."
"An Extravaganza of Science for Children and Adults - Oregon Museum of Science and Industry","Oregon","An Extravaganza of Science for Children and Adults - Oregon Museum of Science and Industry","OMNI is an incredible learning experience for children and adults of all ages to enjoy the magic of science and industry. This landmark museum has been teaching science to visitors for over 60 years. It is one of the top leading science museums in the nation, with 219,000 square feet of hundreds of interactive exhibits, hands-on demonstrations, and more. The museum provides numerous incredible activities, and it constantly introduces new featured exhibits of all kinds. Visitors can go to the OMNIMAX theater, which has a five story domed screen with 6532 square feet of projection surface, as well as surround sound and an IMAX projection system that uses the largest frame in the motion picture industry - ten times that of standard 35mm film. OMSI's Kendall Planetarium is a unique environment that blends art, science, fantasy, and fun. The largest and most technologically advanced planetarium in the Pacific Northwest, Kendall Planetarium features educational and entertaining multimedia presentations on astronomy and space science. The museum owns the U.S. Navy's last non-nuclear, fast-attack submarine, the USS Blueback (SS-581), which is open for visitors to crawl inside and tour. This submarine is special because it was the first battle-ready one to use the teardrop hull, and because it appeared in the hit movie The Hunt for Red October. Many labs are available for children and adults to get their hands dirty playing with real science demonstrations. There's the vernier technology lab where visitors can learn about computers and robotics, the physics lab where visitors can play with electricity, the paleo lab where visitors can excavate models of fossils cast from real Oregon fossils, the life science lab where visitors can see spiders, insects, mammals, reptiles, and amphibians, the chemistry lab, the discovery lab, the watershed lab, and the laser and holography lab. The laser light shows are brilliant colorful presentations of light choreographed to all different kinds of music. OMSI also features several educational exhibit halls, a motion simulator to take visitors into volcanoes, race tracks, and other places, and there's even a science-based playground for children 6 years old and under. If that's not enough to entertain the average visitor, OMSI also has occasional events to make the experience even more memorable. But OMSI is more than just an ingenious museum. It also provides many educational programs (one of which is the largest outreach education program in the US), some of which travel to students in five different states. There are also summer camps, development workshops for teachers, works in partnership with schools throughout Oregon, and more. The influence OMSI has on the local community is incredible; the influence it has on visitors, unforgettable."
