Name,State,Title,Description
"10 - Omni Bedford Springs Resort - Bedford, PA - Resort","Pennsylvania","10 - Omni Bedford Springs Resort - Bedford, PA - Resort","The large and luxurious Omni Bedford Springs Resort has been around for over 200 years. Being just two hours away from Washington, it is the ideal place to get away. The land that the Omni Bedford Springs Resort now sits on - all 2,200 acres of it - was purchased in 1796 from the Indians by Dr. John Anderson because of its natural springs and their healing properties. The Indians were already using it for this purpose. Dr. Anderson soon built his home here and then started offering spas and treatments for visitors according to their particular needs. It rapidly became known for its spas and healing springs. Eventually, the Resort would become known as a place for the rich and famous. As many as 10 Presidents of the United States would visit. President Buchanan even made the resort his summer White House while he was in office. The Resort was designated as a National Historic Landmark in 1984. Just two years later it was closed. After a very extensive restoration in which its original splendor would be restored, at a cost of $120 million, it was then reopened to visitors in 2007. The Resort has reopened after seeking to combine the best of technology and its original splendor. There are 216 guestrooms and suites, and every room has a balcony and flat-panel television. There is both an outdoor pool and a heated indoor pool that uses mineral water from the eight mineral springs. A 30,000 square foot Springs Eternal Spa is ready to receive guests looking for treatments from the mineral springs. A state-of-the-art fitness center with professional staff is also available to help get or stay in shape. A world class 18-hole golf course has been a feature of the Resort for many years. In fact, it had one of the first few golf courses in the country. A.W. Tillinghaust and later Donald Ross worked to design the present course. Jogging trails are available and so are outdoor tennis courts. Nearby, activities such as horseback riding, snow skiing, and shopping are also available at a nearby mall. The Shawnee State Park is just 12 miles away. There is also a state-of the-art conference center on the grounds. This building provides 20,000 square feet of meeting space with all the latest features needed to host most any conference. There are 13 different meeting rooms and the largest one will hold 4,800 people. On the Resort grounds, there are over 25 miles of biking and hiking trails. Trout fishing is also available on the property. For dining pleasure, there are 5 restaurants providing regional cuisine. The Resort is a popular place for weddings, too. With its scenic property and beautiful buildings, it is the ideal place for a memorable wedding. Special facilities are available to make it the perfect event, such as their Outdoor Wedding Chapel, the Wedding Grotto - A White Gazebo at the Magnesia Spring, the Grand Ballroom with Veranda, the Eisenhower Room with Fireplace, and more special choice spots, as well. The Omni Bedford Springs Resort is located in the northern part of the Cumberland Valley, and it is surrounded by the Allegheny Mountains. It retains its early splendor that it had in 1905, but has added new technology to make it the place to go when you want luxury and beauty - and plenty of space."
"A Moving Tribute to Those on Flight 93","Pennsylvania","A Moving Tribute to Those on Flight 93","Shortly after the events of September 11, 2001, the fifth through eighth grades students at the Spring Valley School in Farmington decided they wanted to pay homage to those who had lost their lives in the crashing of Flight 93 in Shanksville, Pennsylvania. The students turned an old bar into a memorial and handcrafted benches to honor each passenger who was on the plane. The barn is now a museum dedicated to peace featuring artwork and memorials of those who have been the victims of war and terror. Visiting the barn is a somber event, but it is a good side trip if you are in the Farmington area or visiting Frank Lloyd Wright's Falling Water attraction nearby. Reflecting on the events that changed the country is a moving experience, and it is advisable that you speak with children before and after about their experience at the barn. The Peace Barn features the commemorative materials for those involved with Flight 93 but there are also images that encourage people to consider a world without war. Natural disaster information is also part of the display. The exhibits highlight artwork from members of the community, and the Spring Valley commune. There are also materials depicting the stories of the victims of the Tsunami disaster in Thailand and Hurricane Katrina in Mississippi. When visiting the barn you will more than likely interact with a few members of the group. Students are sometimes available to give guided tours of the barn, and may be one of the students who helped conceptualize and create the memorial. There are approximately 300 people who live on the commune and they are happy to share information about their lifestyle and experiences. The Bruderhof communities exist in Florida, New York, and Pennsylvania. They are a group of Christians and their name is German for place of brothers. They have recently changed their name to Church Communities International. The group began in 1920 in Germany and their community in Pennsylvania was founded in 1957. Bruderhof individuals do not own private property but exist in commune style living. Their children are not automatically members, and those born into Bruderhof families are encouraged to explore their religious and spiritual beliefs before committing to the faith. The main income for the community comes from their creation and sale of Community Playthings, a line of classroom furniture handcrafted and sold by the members. They participate in a number of outreach programs including prison visits with the incarcerated. The surrounding area of Farmington offers visitors a number of activities they can enjoy before or after their visit to the memorial. Keep in mind you may be spiritually burdened after a visit to the barn, so it is advisable you and your loved ones eat a leisurely meal in town, discuss what you learned, and take it easy for a few hours following your trip. There are several hotels and overnight accommodations if you decide to stay in town. This is a peaceful trip and those who have a curiosity about the Bruderhof people or the events in Shanksville on September 11th are encouraged to visit."
"Academy of Natural Science creates useful learning of science","Pennsylvania","Academy of Natural Science creates useful learning of science","The Academy of Natural Science is located in Philadelphia and was created to encourage the cultivation of science and advancement of useful learning. The history of the academy has a close relationship between the natural world and the people of America. The academy is the oldest natural sciences institution in the Western Hemisphere. Upon foundation of the academy the state of Philadelphia was the cultural, commercial and scientific center of the new nation. There are over 17 million specimens in the academy's collection, which have been studied, catalogued and put on exhibition for the public. The academy opened to the public in 1828 and revealed the mysteries of nature. The collection grew quickly due to gifts, purchases, exchanges and expeditions from scientists and the general public. Permanent Exhibits at the academy include Butterflies! A tropical garden located within the academy is filled with colorful plants and a wide variety of butterflies from Central and South America, Southeast Asia and East Africa. It is hard to put a number on the amount of species of butterflies in the exhibit as the butterfly has such a short life span. On just one day there can be up to 150 butterflies and up to 40 species. There are food stations located around the exhibit, which make a great spot to view the butterflies. The butterflies may be resting on the walls or ceiling or even on the floor so visitors are asked to watch where they walk. Upon entering the academy the first thing visitors will see is the 42 foot long, 7.5 ton Tyrannosaurus Rex. In Dinosaur Hall there are over 30 species of dinosaur represented in full skeletal mounts. There are also dinosaur eggs, sculptures, footprints, tools used by paleontologists and a green screen video studio, which projects images of the visitors into the dinosaur world. The most popular attractions in Dinosaur Hall are The Big Dig where visitors can hunt for dinosaur bones and the Fossil Prep Lab where fossils that are collected are prepared for study. Located in the rear of the Ground Floor is the Live Animal Center, which is home to more than 100 live animals such as birds, mammals, reptiles and invertebrates. The center has large ceiling to floor observation windows allowing visitors a behind the scenes look at these animals and the daily tasks undertaken by staff and volunteers in caring for these animals. The animals in the center have either been injured or born in captivity and would not survive in the wild, these animals help the center to teach visitors about the environment and conservation. The animals in the center eat up to 10 pounds of greens a week, 3 cases of fruit and vegetables, 20 lbs. of dry foods such as duck and chinchilla feed and over 1,000 frozen mice. Outside In is a children's nature museum where the outdoors have been brought in for a hands-on experience for children aged between 3-8, but is also fun for older siblings, parents and grandparents. At Outside In visitors can experience the forest, an ocean shore or a mountain pond, touch a meteorite, view a stream from below, look for fossil footprints, watch a real working beehive, build a sandcastle or read a book on the porch that was build for a special volunteer of Outside In, Lucy's Back Porch. Children are also able to meet live animals such as a legless lizard, cockroaches, tortoise or a rabbit. Outside In is located on the third floor of the center. The academy has had to move location three times in sixty years as it outgrew the buildings. The present home of the academy is on the outskirts of Philadelphia, which is now the heart of Philadelphia's cultural district. The academy has become a modern museum, which is a place that can offer visitors the chance to view exhibitions and attend public lectures. A caf, is located on the ground floor at the academy offering visitors home-made soups, salads, sandwiches, pizzas and snacks. The food at the academy is provided by a company the aims to provide fresh, healthy food served in environmentally friendly packaging. A gift shop is located next to the Admissions Desk and stocks many collectibles, gifts, educational kits and natural history books."
"Adventure Sports in Hershey","Pennsylvania","Adventure Sports in Hershey - Hershey, Pennsylvania - Adventure Sports Park","Adventure Sports in Hershey is a park situated in Elizabethtown Road four miles south of Hershey, Pennsylvania with no admission fee and free parking, although visitors will have to pay for activities once in the park. The park is open every day from April through to the last weekend in October with opening times variable depending on the weather. Sports and entertainment are provided on ten acres of beautiful countryside with flowers, waterfalls, and covered decks. All the family can enjoy 18 holes of miniature golf on a unique and rambling course set amongst a peaceful setting complete with cascading waterfalls, sparkling ponds, beautiful flowers and trees. At night there are low level multi-colored lights creating a new atmosphere around the course. Miniature golf putting can be enjoyed by any age group and is stroller and wheel chair accessible. For more serious golfers there is also a driving range open from 12pm-8pm or 10am to 10pm between May and September. This is a lighted 20 acre driving range where 24 matted tees and a chipping & sand trap area await players and includes state-of-the-art mats with special inserts that simulate real grass. Golf lessons can be booked here too with a PGA Professional. The go-kart tack is 1100 feet long and has colorful single and double rider karts. All drivers must be over the age of 10 and at least 58 inches tall, whilst passengers must be 3 to 9 years old, less than 58 inches tall and riding with a licensed driver. For visitors happier to get a little wet they can try out the Bumper Boats with built in squirt guns, which can be steered across the pool for six minutes a turn, but drivers must be at least 44 inches tall and any passengers less than 44 inches. Fans of baseball or softball can try out the batting cages at the park. Batters can receive anything from slow to very fast pitch at these state-of-the-art batting cages, which are lighted and automated for non-stop fun. This is ideal for individual batting or team practice and can be rented by the half hour or hour. There are over 60 video and redemption games at the arcade, including an interactive dance game. The Ice Cream Parlor offers various snacks and drinks, including 18 flavors of Hershey's Ice Cream. Kids' birthday parties can be arranged at the park too, with the basic packages allowing a free turn on the miniature golf, use of a party room for one hour and a special gift for the birthday boy or girl."
"Allegheny Portage Railroad National Historic Site","Pennsylvania","Allegheny Portage Railroad National Historic Site - Cresson, PA - A Railroad of Firsts","The Allegheny Portage Railroad is a National Historic Site that is located at 110 Federal Park Road near Cresson, Pennsylvania. The Allegheny Portage Railroad ran through the Allegheny Mountains in central Pennsylvania. It was the first railroad that was ever constructed through the Allegheny Mountains. The Allegheny Portage Railroad was in operation from 1834 to 1854 and consisted of a series of ten inclines. The railroad was roughly 36 miles long and enabled barge traffic to flow freely between the Susquehanna and Ohio rivers. A significant accomplishment for its day, the Allegheny Portage Railroad was the first railroad in the United States to include a railroad tunnel. Welsh coalminers carved the tunnel through solid rock, and the tunnel was approximately 900 feet long. Allegheny Portage Railroad National Historic Site's regular hours of operation are 9:00am to 5:00pm daily. The site is closed on New Year's Day, Martin Luther King Jr. Day, Presidents Day, Veterans Day, Thanksgiving Day, and Christmas Day. Hours of operation are subject to change due to inclement weather or holidays. Visitors can call 814-886-6150 to obtain additional information about the site's hours of operation. The entrance fee for the site is $4 for each individual over 16 years of age. Children ages 15 and under are admitted free of charge. In addition to the entrance fee, visitors are able to purchase a Local Passport. The Local Passport permits visitors to enter the Allegheny Portage Railroad National Historic Site, Johnstown Flood National Memorial, and Fort Necessity National Battlefield. Passport passes are $15. One pass is valid for the pass holder, their accompanying spouse, their parents, and their children. The Allegheny Portage Railroad National Historic Site is now operated by the National Park Service. The remains of the original railroad have been preserved within the site. This National Historic Site consists of roughly 1,296 acres. The main portion of the site is made up of the Summit Level Visitors Center, the Engine House #6 Exhibit Shelter, the Skew Arch Bridge, and the historic Lemon House. Individuals visiting the Allegheny Portage Railroad National Historic Site may be interested in stopping by the Lemon House. The Lemon House was a tavern that was located by the Allegheny Portage Railroad. It was a popular destination for railroad passengers, and the National Park Service converted the Lemon House into a historical museum. The Summit Level Visitors Center is located near the Lemon House and includes interpretive exhibits. There is also one audio exhibit, which is located at the Engine House Six Exhibit Shelter. Visitors have onsite access to restrooms, drinking fountains, and a picnic area. The Allegheny Portage Railroad National Historic Site consists of both paved walkways and unpaved trails. Visitors can hike the trails to view the nature around them, and they can also walk the wooden boardwalk. The boardwalk does close during inclement weather and is also closed during the winter for safety reasons. Photography is permitted, but filming for commercial purposes is not allowed unless the individual have completed a commercial filming application and had their application approved."
"Alpine Mountain","Pennsylvania","Alpine Mountain - Analomink, PA - Featuring 21 Slopes","Alpine Mountain is located near East Stroudsburg at 780 Creek Road in Analomink, Pennsylvania, in the Pocono Mountains. Alpine Mountain is a ski area with a full service lodge. The mountain has 100% snowmaking on all trails and slopes and a vertical drop of 500 feet. The annual snow fall is five feet, and the skiable area consists of roughly 60 acres. Alpine Mountain is home to 21 slopes that vary in intensity. Roughly half of the slopes are intermediate runs. The remaining runs include both beginner and advanced/expert runs. There are a total of 5 lifts on the property. Alpine Mountain features a variety of lift tickets, including day tickets, twilight tickets, morning tickets, afternoon tickets, night tickets, early season tickets, spring special tickets, and open to close tickets. Pricing varies based on ticket type and day of the week, with weekends and holidays being more expensive. Students and seniors received discounted tickets. In addition, children five years of age and under receive a free lift ticket when a regularly priced adult day ticket or twilight ticket is purchased. Season passes are also available. Season passes also provide pass holders with a 10% discount on all regular priced items in the ski shop. Snowtubing is available at Alpine Mountain. Monday through Thursday, snowtubing sessions are offered from 1:00pm to 4:00pm and from 3:00pm to 6:00pm. On Friday, sessions are offered from 1:00pm to 4:00pm, from 3:00pm to 6:00pm, and from 6:00pm to 9:00pm. These sessions are $19 each. On weekends and holidays, the following sessions are offered: 10:00am to 12:30pm, 12:00pm to 2:00pm, 2:00pm to 4:00pm, 4:30pm to 6:30pm, and 5:00pm to 8:00pm. Pricing on weekends and holidays varies based on the session selected and can be from $20 to $23 per session. Alpine Mountain is home to the Penguin Play Park. The Penguin Play Park holds play sessions on weekends and holidays. There are two sessions. The first session is from 10:00am to 2:00pm, and the second session is from 1:00pm to 5:00pm. Park pricing is $22 for one parent with one child. An additional parent or child costs $12 each. Equipment rentals are available onsite. Alpine Mountain features ski rentals, snowboard rentals, and helmet rentals. Equipment rentals require a driver's license and/or a deposit on a major credit card. Alpine Mountain is home to a terrain park as well. In addition, there is a ski school. The ski school offers lesions daily at 10:00am, 12:00pm, 2:00pm, 4:00pm, and 6:00pm. These group lessons are $25 per individual. Private lessons are also available. Private lessons are $75 for the first person for a one hour lesson. Each additional person in a private lesson is $45. The ski school also offers a Learn to Ski Package and a Lean to Ride Package. Packages include a lesson, equipment rental, and an all area lift ticket. Packages range in price from $68 to $80, based on package selected and whether it is a weekday, a weekend, or a holiday. Special children's programs and packages are available with different rates. The full service lodge features a cafeteria, a pizza parlor, a ski shop, and rental and repair shops. The lodge's lounge overlooks the slopes and offers a casual menu and live entertainment on weekends. For additional information about Alpine Mountain, interested parties can call 570-595-2150."
"Altoona Railroaders Memorial Museum","Pennsylvania","Altoona Railroaders Memorial Museum - Altoona, PA - A Recreation of Altoona's Railroad Era","Dedicated to commemorating, revealing, interpreting, and celebrating the contributions that railroaders and their families have made to American life and industry, Altoona Railroaders Memorial Museum is located at 1300 Ninth Avenue in Altoona, Pennsylvania. For over a century, Altoona was home to one of the United States' most important rail facilities. The repair and maintenance shops for the Pennsylvania Railroad were located in Altoona. Their test department and construction facility were located in Altoona as well. Admission to the Railroaders Memorial Museum is $9 per adult (ages 13 to 61). Seniors (age 62 and up) pay $7 for admission. Admission is $5 for children ages 4 through 12. Children that are 3 years of age or younger are admitted to the museum free of charge. The museum typically opens for the season in May and closes for the season towards the end of December. Regular hours of operation are 10:00am to 5:00pm Monday through Saturday and 11:00am to 5:00pm on Sunday. Late in the season (typically sometime in November), the museum is closed on Tuesdays, Wednesdays, and Thursdays. Hours of operation are subject to change based on the weather conditions. Group tours are available, and groups should make reservations for their tour by calling 814-946-0834, extension 201. The Railroaders Memorial Museum has attempted to duplicate what life was like in Altoona in the 1950s when the Pennsylvania Railroad was booming. The museum has duplicated places like Kelly's Bar, which was a bar located near the entrance to the railroad shops. The museum has also mimicked several of the neighborhoods that were present in Altoona during the railroad era. Visitors will see places like Little Italy and Dutch Hill. The museum consists of three floors filled with attractions. One of the attractions is The Newsstand, which is reminiscent of the newsstand that was located by the foot of the 12th Street Bridge in Altoona. The attraction has a holograph of a newsboy, and the holograph tells visitors the story of old Altoona. On the first floor of the museum, visitors are transported back in time to a rail station. The sounds of steam engines and whistles blowing can be heard. In the lobby, visitors see their first attraction - a life-size replica of K-4 #1361. A replica of a train conductor compliments the replica of the locomotive. The K-4 #1361 is a steam locomotive and is intended to pay represent the 6,000 steam locomotives that were built in Altoona. The Altoona Railroad Museum Theater shows films that are designed to explain how the small town of Altoona became a bustling hub of activity for the Pennsylvania. There is a children's museum on the third floor of the Railroaders Memorial Museum. The children's museum contains model train displays and a variety of toys for the children to play with. A variety of old train cars and other equipment that the Pennsylvania Railroad used is store on the grounds outside of the museum. One of the train cars on display is a private rail car that belonged to Charles M. Schwab, the famous steel magnet. This particular rail car was acquired by the museum in 1975. The antique equipment is well-maintained and nicely displayed. A wealth of information on what the equipment is and what it was used for is available. Additional information about the Railroaders Memorial Museum can be obtained by calling the museum directly at 814-946-0834."
"Amish Country in Lancaster is Home to a Unique Culture","Pennsylvania","Amish Country in Lancaster is Home to a Unique Culture","	The term Amish Country'' refers to a portion of Lancaster County in central Pennsylvania that is the long-time home of a large settlement of Amish individuals. As a matter of fact, Lancaster County is home to the oldest Amish settlement in the United States. Also known as the Plain People'' the Amish make their homes on the many farms that dot the countryside here. Shunning modern society and conveniences, like electricity and automobiles, the many Amish sects in Lancaster County ascribe to a literal translation of the Bible and live their lives according to what they believe is God's plan. Besides being a place where the Amish peoples live, Amish Country provides many attractions and activities for those who choose to visit this part of the state of Pennsylvania. The small villages here, complete with unusual names such as Paradise, Bird-in-Hand, and Intercourse, have maintained their charming character. Here, visitors can find local artisans selling a variety of handmade items. Other Amish attractions include horse and buggy rides through the streets of the town, a tour of a 25-acre Amish home and working farm, a quilt museum, and a traditional Amish Village, where guests can view a blacksmith's shop, see a traditional one-room schoolhouse, pet farm animals, and purchase traditional Pennsylvania Dutch foods such as shoo-fly pie, chicken bot boi, and chou-chou. Also located within Amish Country in Lancaster County is the Strasburg Steam Railroad. Here, train aficionados can take a 45-minute ride on this vintage railroad with the opportunity to view local scenery from a car that's part of the oldest short-line railroad in the United States. Other nearby railroad-related attractions include the National Toy Train Museum and the Choo Choo Barn model train display, both in Strasburg. There are two notable factory tours in Amish Country. The Sturgis Pretzel Factory Tour is considered one of the best food-related tours in the country. Guests have the opportunity to tour America's first commercial bakery, founded in 1861. Each visitor gets their own piece of dough at the end of the tour so they can make their own pretzel creation. Also notable is the Herr's Snack Factory Tour, where families can experience the technical wizardry behind Herr's tasty potato chips and other popular snacks. Amish Country is also home to three theaters. The Dutch Apple Dinner Theater presents a wide variety of Broadway-style musicals live on stage while the Rainbow Dinner Theater offers less well-known productions. The American Music Theater features both celebrity concerts and an array of original shows. Families might also enjoy a trip to one of Amish Country's amusement parks including Dutch Wonderland, a theme park best suited to children under the age of 12. There are also a few water parks in the area and the Hersheypark amusement park is just a short ride from Pennsylvania Dutch Country. Other activities available to Amish Country visitors include covered bridge tours, miniature golf, outlet shopping, tours of wineries and breweries, galleries, farmer's markets, and more."
"Amish Farm and House","Pennsylvania","Amish Farm and House - Lancaster, Pennsylvania - Working Farm and Museum","The Amish Farm and House are situated at the corner of Witmer Road and Route 30 on Lincoln Highway East in Lancaster, Pennsylvania. The 15 acre working farm is open all year round, seven days a week except on Thanksgiving and Christmas Day. The Amish Farm & House provides visitors with an educational experience reflecting both the historical and contemporary Amish way of life in Lancaster County. The site dates as far back as 1715 when Pennsylvania's founder William Penn gave it to colonial Governor John Evans, at a time when settlers from Europe were arriving in the region. Construction of the current farmhouse began in 1805 and over the next 150 years its residents, who were Quakers, Mennonites and Amish operated it as Pennsylvania German farm. Eventually it became the first tourist attraction in Lancaster County when it opened to the public in 1955. The tour guide staff comprises 90 percent natives of Lancaster County with the remaining 10 percent having lived in Lancaster Countymost of their lives. Most grew up around the Amish and are personal friends with many Amish people. Staff at the site includes current and retired school teachers and educators, retired business people and professionals, retired tour operators and students during their summer breaks. The centerpiece of the visit is the two hundred year old house, which includes a 45 minute guided tour. The front room shows how the Amish of Lancaster County hold church services in their homes. This overview tells visitors why the Amish do this and how the religion shapes their lifestyle. The kitchen is a room where Amish people spend much of their time, and here visitors can learn more about Amish education. The bedrooms illustrate how minimalist the d,cor is, with colorful quilts and simple furniture. The clothing hangs on the walls, and more information about how the Amish dress and why this hasn't changed for 300 years. Many of the historic farm buildings are still standing up to 200 years after they were built. The tour of the farm features a look at these buildings including a stone bank barn dating back to 1803 with many farm animals. The tobacco shed has displays of tobacco and memorabilia, whilst there is also an authentic Conestoga wagon dating back to the mid 19th century. Amish education is further explored in the Willow Lane One-Room Schoolhouse, which was opened on the farm in 2006. It was designed to accurately mimic an Amish one-room schoolhouse and contains a working gas stove, gas lights and artwork created by local Amish children. Special 15 minute presentations can be given on request for groups of 15 or more. A countryside tour package is offered by staff at the farm, which takes approximately 90 minutes and takes in other Amish countryside areas in Lancaster County. Visitors can take home souvenirs of their trip, which can be bought at the gift shop adjacent to the farmhouse. As well as food items there are products made at the farm and other Amish related items."
"Antiochian Heritage Museum","Pennsylvania","Antiochian Heritage Museum - Bolivar, PA - Museum Celebrating Eastern Orthodox Christianity","The Antiochian Heritage Museum is on the grounds of the Antiochian Village Conference and Retreat Center in Bolivar, Pennsylvania. The Antiochian Village Conference and Retreat Center is under the jurisdiction of the Antiochian Orthodox Christian Archdiocese of North America. The Antiochian Heritage Museum celebrates the heritage of Eastern Orthodox Christianity. The Antiochian Heritage Museum features a permanent collection of over 750 items. These items provide visitors with the opportunity to see inlaid woodwork, textiles, jewelry, metal crafts, and religious art from the Near East. Using exhibitions, the museum celebrates the cultural and spiritual heritage of Eastern Orthodox Christianity and its roots around Antioch, which is also known as Syria. Christians believe that this is the area wherein the followers of Jesus Christ were first called. Revolving and standing museum exhibits focus on Orthodox Christians in the Middle East and their corresponding US communities. Visitors can see encrusted vestments, legends, and beautiful icons. In addition to the items in the permanent collection, some of the exhibitions that have been featured at the museum include The Drawings and Paintings of Khalil Gibran, Threads of Tradition - Palestinian Traditional Costumes, and Splendor of Damascus - Textiles and Artifacts of Traditional Syria. The Drawings and Paintings of Khalil Gibran was an exhibit that was on loan from the Telfair Museum of Art in Savannah, Georgia. Prior to its display at the Antiochian Heritage Museum, the collection had never been on display outside of the Telfair Museum of Art. The exhibit included 40 original art pieces by the 20th century artist Khalil Gibran. The Splendor of Damascus collection presents Syrian dresses from the late 19th and early 20th century. The collection is unique and colorful and includes several hand-embroidered dresses, exquisite fabrics, and both city and village fashions. The exhibit includes a wedding dress from Damascus that is made from purple velvet and adorned with gold embroidery. Also included in the exhibit are scarves, antique jewelry, brass work, and wood furniture. In addition, the museum's permanent collection includes a special display of liturgical items. These items are on permanent display and came from the burial casket of Saint Raphael of Brooklyn. Saint Raphael was an early pioneer of the growth of the Orthodoxy in the United States. He was born in 1860 in Beirut, Lebanon, and he was raised in Damascus. His remains are also on the grounds at the Holy Resurrection Cemetery. The Antiochian Heritage Museum is open Monday through Friday from 10:00am to 4:30pm. It is open on weekends by appointment only. Group tour plans and reservations can be made by calling 724-238-3677, extension 402. Groups can plan to tour just the museum or they can plan chapel and icon tours as well. In addition, lunch can be arranged for the group with prior notice. There is no fee for admission to the museum, but donations are welcome. Since the museum is situated on the grounds of the Antiochian Village Conference and Retreat Center, visitors can also take advantage of the services that the center has to offer, such as a camping program. Additional information regarding the Antiochian Heritage Museum can be obtained by calling the museum curator at 724-238-3677, extension 410."
