Name,State,Title,Description
"Beechwood Mansion, Newport, RI","Rhode-Island","Beechwood Mansion, Newport, RI - Newport, Rhode Island - Astor Family Summer Home Provides Theatrical Ambience to Guests","The Beechwood Mansion, Newport, RI is located at 580 Bellevue Avenue in this southern New England island resort town only 40 minutes from Providence. This former home to the Astor family is unique from many of the other mansion attractions in Newport as it features living history. A theatrical troupe staffs the Beechwood, clad in period dress and playing the part of servants and Newport elites from the Gilded Age. Evening theatrical performances of formal plays are also held here. May through December visits to the house are accompanied by live music performed by the Beechwood Theater Company. On winter and early spring tours, visitors are received as applying new staff members while in May through the summer, when the Astors are found at home, visitors arrive as their guests, a part of their elite social circle. The Beechwood Mansion, Newport, RI was first constructed for a New York City merchant, Daniel Parrish. In 1881 William Backhouse Astor Jr. purchased the estate. The architect, Richard Morris Hunt, was hired to re-make the mansion for two million dollars, a sizable fortune at that time, yet little for the vast Astor fortune. In 1911, John Astor IV married his second wife here in the Ballroom. He would later die on the Titanic though his wife Madeline, pregnant at the time, survived. Children under 6 years old are admitted free of charge to this theatrical museum/mansion. Tours at varied times and days mean different interactive theater settings. Murder mystery and evening social parties are among the options for a mansion visit here. Even private parties of 30 to 60 to dine privately with the Astor family are among the menu of events to choose from in the summer months here. Breakfast, lunch, dinner or afternoon tea tours are all available for varying prices. They are only available for groups of 30 to 60 people however and not for walk in visitors. Big Band Nights and Christmas concerts are also among the activities that can come with admission. Some of the special events throughout the year include wine and hors d'oevres with the price of admission. The Beechwood Foundation, which functions out of the mansion, awards arts-related grants to local schools since it was founded in 2002. Free improvisational theater workshops are provided by this foundation to local schools. The privately owned Beechwood Mansion, Newport, RI is also available for wedding ceremonies and receptions or corporate events. The mansion can provide its own wedding planning and events staff to assist in preparations. In the colder months there are no tours on Mondays or Tuesdays. During the rest of the year the mansion opens seven days a week. Tours begin at 10 AM. Evening events begin at 7 PM although dinner parties with the Astors begin prior to these events."
"Belcourt Castle","Rhode-Island","Belcourt Castle","Belcourt Castle is a popular setting for many social gatherings, club meetings or corporate evens. The facility hosts casual events and dances for up to 400 guests and formal dinners for 20 to 200 guests within the castle's many diverse rooms with authentic European styles. In season, visitors can enjoy the half-timbered center courtyard for luncheons, clambakes, concerts and cocktail receptions. Located at 657 Bellevue Avenue in Newport, Rhode Island, the Belcourt Castle is an elegant castle with medieval style.   Tours are available at the castle, including the popular Ghost Tour, which incorporates the Belcourt Castle as one of the points of interest. Visitors step back in time and experience what was offered in the Gilded Age. Tours take place both during the day and at night. Weddings are also popular at the Belcourt. The backdrop of the castle provides a nice atmosphere for weddings. The French Gothic Ballroom is in full gothic charm and elegance providing the options of candlelight ceremonies. The Italian Banquet Hall provides a large area for guests to enjoy a catered dinner. The facility offers a number of other rooms and courtyards that are suitable for hosting wedding events. Reservations of the facility must be made in advance."
"Benefit Street, Providence, RI","Rhode-Island","Benefit Street, Providence, RI - Providence, Rhode Island - East Providence Mile Filled With Historic Structures","Benefit Street, Providence, RI is located just off of I-195 in the historic eastern section of this city, less than 30 minutes from the beaches and surf of Newport. Just to its west is the downtown area. Visitors to Providence seeking a quieter atmosphere may choose to stay at the Bed & Breakfast located on this historic street with cobblestone sidewalks. This 1.2 mile long thoroughfare, sometimes called the Mile of History, is lined with Victorian and Colonial era homes and buildings. Number 21 Benefit Street is where a newcomer or neighborhood visitor can arrive in order to pick up a street map from the Rhode Island Historical Society marked with historic locations found here. In the warmer months the Society offers guided tours of the street. Their tours start from the John Brown House Museum, which dates from 1786. Other attractions on the Street include the Old State House which housed the colonial Assembly and later the early State Legislature. The fourth oldest library in the US, the Athenaeum is also found here. Across from the this library sit the 5 buildings of the Rhode Island School of Design Museum, the oldest of which dates back to the late 19th Century. The museum itself is the most comprehensive art museum in the state and in southern New England as a whole. The middle third of Benefit Street, Providence, RI is where most of the historic homes and buildings are located. Many of these buildings have plaques explaining their history thanks to the work of the Historical Society. The old Baptist Meting House and a Unitarian Church dating from the early 19th Century can also be visited here. One of the Georgian style architectural homes, the Nightingale-Brown House, is currently occupied by the Center for the Study of American Civilization, an off campus facility of nearby Brown University. The main campus is just a few blocks from this street. The southern end of the street has several galleries and restaurants nearby. Benefit Street, Providence, RI is the site of many locations referred to by H.P. Lovecraft, the Providence born author. A Lovecraft walking tour of 3 miles covers a section of this street and roughly a third of the stops on that tour are found here. Approximately three fourths of the residents on Benefit and surrounding blocks are white. Home values are far above the average for the state. Wages and salaries earned by full time residents on and around this historic street are nearly twice as much as the state average declared income level. Over 52% of local residents are women, with men making up a minority in the neighborhood where this street is found. The Educational levels of adults residing on Benefit Street and the surrounding blocks are far above those in Rhode Island as a whole."
"Blithewold Mansion, Gardens & Arboretum, Bristol, RI","Rhode-Island","Blithewold Mansion, Gardens & Arboretum, Bristol, RI - Location of attraction - Turn of the Century English Manor and Estate Offer Tours in Seaside Town","Blithewold Mansion, Gardens & Arboretum, Bristol, RI is located at 101 Ferry Road in this coastal southern New England town facing out onto the Narragansett Bay. The current house is the second one to be constructed on this property; its predecessor burned down in 1906. Its English Manor style includes carved gargoyles fashioned after a 13th Century English manor. The house is narrow, with its 45 rooms filling the space from north to south. Most main floor rooms face onto the Bay and have French doors onto porches and terraces. Elaborately adorned ceilings can be found throughout the main floor. Photographs reveal that the pre-1910 furnishings are still intact today as the Van Wickles family that had built this house had arranged them, including some pieces that date back to the 1600s. Blithewold Mansion, Gardens & Arboretum, Bristol, RI includes 33 acres of gardens trees and lawns with original stone structures in place today from the late 19th Century. 500 varieties of shrubs and trees are here including a Sequoia. Gravel paths allow for unhindered transit across the lawn and through the gardens. A rock garden can be visited along the shoreline. Benches are located around the grounds. There is a rose garden and even a bamboo grove that can be explored. There are numerous educational events held here that focus on horticulture, botany and landscaping as well as lectures and seminars on the history based in this house, its furnishings and its former inhabitants. There is even a summer day camp for children held here on the grounds. Cel phone audio tours of the gardens are available. A number of special events occur here during the warmer months which include intimate garden tours with groundskeepers.  Musical and theatrical performances are also organized here. The Blithewold Mansion, Gardens & Arboretum, Bristol, RI can arrange group tours for groups of 10 people or more. Upon request, lunch can be served at the manor on a limited basis. Guided tours usually run about 90 minutes in all including both the house and some of the gardens. Parking is available on the grounds. The first floor of the mansion is wheelchair accessible. There is no air conditioning within the mansion however there is usually a breeze from the Bay that keeps the house cool. Children under five are admitted free of charge. Annual members are also exempt of admission for visits here. The manor and gardens can be toured between early April and early October on Wednesday through Saturday from 10 AM to 4 PM and on most holidays that fall on a Monday. Sunday hours of operation are from 10 AM to 3 PM. The gardens and the grounds are open throughout the year from 10 AM to 5 PM although from mid May to late October closing is at 4 PM."
"Block Island Ferry, Block Island, RI - New Shoreham, Rhode Island Three Departure Points and Sea Routes to Seaside Resort Island Running in Busy Season","Rhode-Island","Block Island Ferry, Block Island, RI - New Shoreham, Rhode Island Three Departure Points and Sea Routes to Seaside Resort Island Running in Busy Season","The Block Island Ferry, Block Island docks in the Old Harbor right at the entry to the town area of New Shoreham. Both people and vehicles are transported for a small fee on the ferry boats. There are two ferry enterprises that operate the three distinct routes to different mainland points. The Block Island Ferry company runs the route from Point Judith in Southern Rhode Island as well as from Newport which is further north.  Viking Fleet is the second company. It exclusively runs from Montauk, NY on Long Island. The Point Judith ferry (which departs from Galilee) has a schedule that varies throughout the year with numerous trips daily, although it only makes one round trip run on Thursdays in late November through Christmas. On Christmas Day this ferry does not run. It does run on other holidays however. As of 2009, this company's Newport service was only operating from July 1st through September 17th. This is a two hour trip on the ferry. It leaves Newport at 9:15 AM and departs from Block Island at 4:45 PM. The Block Island Ferry, Block Island service also includes a high speed ferry from Point Judith and back which lasts less than 30 minutes, more than 30 minutes less time than travel on the slower craft. This service is only available from May 21st through October 12th. There is a high speed ferry which is also a one hour trip from Montauk, Long Island in New York. This is operated by the Viking Fleet company. It runs on a limited basis prior to the main tourist season and does not run during the late fall or winter. This ferry departs Montauk at 10 AM and returns from Block Island departing at 5 PM. From early July through the first week of September, a second ferry is added that departs Montauk at 3:30 PM and returns at the same hour as the first boat, 5 PM. The Block Island Ferry, Block Island service run by the Block Island Ferry company provides group rates for parties of 25 persons or more. Such rates are only available by making arrangements at least 2 weeks in advance. Smoking is allowed on the outside passenger decks of the ferry. Pets are allowed on the traditional ferry only and must be leashed or in a travel carrier at all times. The ferries are wheelchair accessible on the lower decks. Personal racks for luggage are available on the ferries while luggage pallets are also rented for larger amounts of freight on the Point Judith traditional ferry only. No reservations are required although they are recommendable for the high speed ferries. Vehicle passage requires advance reservation. No advance tickets can be canceled or refunded for the ferries."
"Castle Hill Inn and Resort, Newport, RI - Newport, Rhode Island Secluded Peninsula Hotel Offers Private Accommodations by the Sea","Rhode-Island","Castle Hill Inn and Resort, Newport, RI - Newport, Rhode Island Secluded Peninsula Hotel Offers Private Accommodations by the Sea","Castle Hill Inn and Resort, Newport, RI, is located at 590 Ocean Avenue, just off of the famed Ten Mile Drive or Ocean Drive that winds past many of the local tourist attractions in this seaside resort town. It is some 40 minutes from Providence.  The hotel sits on its own 40 acre peninsula on the west side of Aquidneck Island in the Narragansett Bay. Accommodations have a homey feel in the Victorian style mansion. The secluded hotel offers a private beach and even a lighthouse on the property which dates back to 1890. There are beach cottages, harbor houses, a separate chalet suite and a two level suite in the turret of the main house. The turret has 30 foot high ceilings and a view of all sides of the building. The house, designed by the Boston architect Robert H. Slack, was initially built as a summer home for Alexander Agassiz the explorer and scientist in 1874. In 1877 he built his laboratory here for Marine life study in a structure reminiscent of Swiss chalet style architecture. Castle Hill Inn and Resort, Newport, RI offers dining with a seaside view for lunch and dinner throughout the week. Sunday brunch is accompanied by live jazz music. The menu is seasonal, specializing in fresh fish and meats with lighter fare in the warm months and heartier offerings for the cold. Over 500 choices fill the wine list. The restaurant accepts reservations and has a business casual dress code recommending jackets for men. The restaurant asks diners to refrain from cell phone use in its facilities. Jonathan Cabra is the head chef since 2006. The restaurant he runs has a tradition of Mediterranean spices in its food. Several spaces are available for private dining parties of between 12 and 35 guests. The Castle Hill Inn and Resort, Newport, RI, rents space for meetings and events with a function room and terrace available at the chalet. Wedding and corporate packages are available as well as periodic specials on lodging that are offered throughout the year. The hotel is owned by the French company Relais & Chwteaux, which holds a collection of gourmet restaurants and hotels in 55 countries around the globe. It is managed by the Newport Harbor Corporation, an employee run hospitality enterprise founded in 1979. The hotel s uses environmentally friendly cleaning products in housekeeping and also donates it used cooking oil for conversion to bio-diesel. Gift cards are sold by the hotel, which makes it possible to make lodging or meals here a gift for special occasions. There is no fitness center or spa at the Castle Hill. It is near the Yacht marina and easily serves as a departure point to arrange for fishing charters and other water sports activities."
"Chateau-sur-Mer, Newport, RI","Rhode-Island","Chateau-sur-Mer, Newport, RI - Newport, Rhode Island - Newport's Oldest Gilded Age Mansion Open to the Public","The Chateau-sur-Mer, Newport, RI, is located at 474 Bellevue Avenue in this city of around 25,000 inhabitants that is located about 60 miles south of Boston, Massachusetts. The house's name means House on the Sea in French. At the time the house was built and named, its property stretched all the way to the water front, which is no longer the case. It is a monument to Victorian architecture, furnishings and adornments. The building dates back to 1852. It is remembered for the legendary parties it once hosted for thousands of guests. It was constructed for China trade merchant William Shepard Wetmore, who died in 1862. In the 1870s this mansion was remodeled in French style by the renowned architect Richard Morris Hunt. A mixture of 19th Century styles are still found here nestles side by side in this house. In 1969, the Preservation Society of Newport County bought the house and its 17 acre property. The Preservation Society continues to own and care for it to date, as one of nearly a dozen properties it manages. It was not until 2006 that it was designated a National Historic Landmark. It is considered to have been Newport's first grand mansion on Bellevue Avenue. The Preservation Society offers tours of this mansion on its own or as art of Newport Mansion package tours that it offers together with some of the other historic homes in its care. Eight other historic mansions are in the immediate vicinity of the Chateau along the length of Bellevue Avenue and surrounding blocks. From April 15 through October 31 the mansion is open to visitors on a daily basis, from 10 AM until 5 PM. In the remaining months it is only open on Saturday and Sunday with the same hours. The central hall in the Chateau-sur-Mer, Newport, RI, is 45 feet high with stained glass skylights. The fireplaces vary with some surrounded by Carrera marble and others with carved wooden frames. They are part of the original design as are the wooden carvings and Parquet floors. The house is filled with European furniture styled on what was once found here and Chinese antiques brought by the home's original owner. The original furnishings are on display in Philadelphia. Large trees surround the hilltop mansion. Outside of the Chateau-sur-Mer, Newport, RI, street parking is available. Local trolley and bus lines pass here making this site easily accessible for locals and visitors alike. Several Newport restaurants are in easy walking distance from this attraction for sight seers as well as Newport's premiere boutiques and art galleries. This mansion and surrounding mansions are considered symbols of the Gilded Age although today the town they are located in is slightly below the average median income level in the state. Paradoxically the values of homes in Newport continue to be higher than they are on the average in Rhode Island."
"Cliff Walk, Newport, RI","Rhode-Island","Cliff Walk, Newport, RI - Newport, Rhode Island - Scenic Sea Cliff Walkway Lies Between Crash of Waves and Mansion Estate Lawns","Cliff Walk, Newport, RI, is a 3.5 mile walkway open to the public that stretches along the eastern shore of this southern New England waterfront city. It begins at First Beach, also known as Easton's Beach at Memorial Boulevard.  It ends at Bellevue Avenue, where numerous historic mansions are found. There are 4 major access points between the northern and southern extremes of the walkway. The northern two thirds are accessible to wheelchairs and strollers while the southern section is rough and rocky. The entire length can be traversed in 2 and 1 half hours at a brusque pace. Under Rhode Island local law, landowners who hold property traversed by this public attraction are not liable for any injuries that may befall people on the path. This National Recreation Trail runs through a National Historic District. But over the last 150 years local owners frequently clashed with the public over walkway access. Leashed dogs are allowed to accompany their guardians along the Cliff Walk. Bicycles are prohibited on this pathway at all times. Along the Cliff Walk, Newport, RI, it is thought that the first paths were carved out beneath the hooves of deer and later under the feet of the indigenous Narragansett people. Later colonists walked this shoreline salvaging floating wreckage and food sources from the sea here. It was in the late 1800s that the area inland from the Sea Cliffs saw numerous estates constructed in Victorian fashion. In the 1880s, the gradual construction of the walk area began. It was built by the landowners themselves although, after storms destroyed the walk several times, public efforts went into reconstruction. One of the novelties along the Cliff Walk, Newport, RI, aside from the elevated panorama onto the water, is found near the Narragansett Avenue access point where the Forty Steps are found. 40 stone steps move down from the walkway to a lowered observation terrace over the water. Even on hot summer days there is often a cool breeze along the walk way although it is still advisable to carry water along as there are no concessions or other facilities of any kind along the path. It is advisable that the southern section of the walk not be traveled by individuals on their own but rather n groups of two or more persons for safety. Due to the dangerous nature of the trek, it is also ill advised to attempt to rush through this area. While a round trip walk amounts to 7 miles of distance. A bus can be found on a short walk up Bellevue Avenue to speed the return to vehicles parked on street meters or at Easton's Beach. Numerous restaurants and shops can also be found on Bellevue Avenue after taking in the seaside sights of this pathway."
"Courtyard Providence Downtown","Rhode-Island","Courtyard Providence Downtown","The Courtyard Providence Downtown by Marriott Hotel offers accommodations close to the Rhode Island Convention Center, Providence College, Brown University, the State House and WaterPlace Park. Guests have access to 210 guestrooms and six suites. There are four meeting rooms with 3,500-square feet of meeting space. Guests enjoy a variety of amenities onsite like daily housekeeping service, an ATM machine, laundry facilities, newspapers in the lobby, valley dry-cleaning services and vending machines. Guestrooms feature modern furnishings, comfortable bedding, 32-inche flat screen HD televisions, free high-speed wireless Internet access, large work spaces and ergonomic seating. The hotel is entirely smoke-free. Rooms are decorated in sooth colors to encourage rest and relaxation. Guests can dine onsite at The Courtyard Café, offering breakfast each morning served in a casual environment. The hotel features the Courtyard Fitness Center filled with free weights, cardiovascular equipment and a paramount exercise machine. There is also an indoor swimming pool and a whirlpool. Towels are provided at both locations. The hotel is located near popular Providence attractions like the Providence Place Mall, Historic Benefit Street, the Bank of America Skating Center, Roger Williams Park Zoo, the Dunkin Donuts Center, the Culinary Archives and Museum at Johnson and Wales University and the Providence Children's Museum. "
"Fantastic Umbrella Factory, Charlestown, RI - Charlestown, Rhode Island Eclectic Bazaar Keeps Barnyard Environment and its Doors Open after 40 Years","Rhode-Island","Fantastic Umbrella Factory, Charlestown, RI - Charlestown, Rhode Island Eclectic Bazaar Keeps Barnyard Environment and its Doors Open after 40 Years","Fantastic Umbrella Factory, Charlestown, RI, is located between Watch Hill and Matunuck, off of Route 1's Ninigret Park/Tourist Center exit. It is at 4820 Old Post Road in a rural area of this small southern New England state. It is found in a town with just over 8,000 inhabitants. Contrary to the name, this is neither a factory nor does it produce or even sell many umbrellas. Rather it is a small farm where various quirky shops can be found with affordable novelty goods, jewelry, handcrafts, clothing, drums, toys and all kinds of stuff from different places, near and far. A local artist has her gallery here and crafts work includes hand blown glass jewelry. This emporium opens from 9 AM to 5 PM daily, although all of the stores may not be open every day, especially during the colder months as much of the business is based on the tourist season at nearby beaches. Aside from the alternative shopping opportunity that a visit here provides, the property, amidst the woods, has garden areas and has always hosted a variety of animals ranging from the average farm inhabitants to peacocks and emus.  The animals have dwindled in recent years due to predatory fisher cats having migrated into the area in recent years. For thirty five cents some food can be purchased to hand feed some of the furry and feathered creatures that still remain. The abundant plant life and petting farm elements make for a low stress, low pressure shopping experience far afield from the modern malls. The Factory'' has been operating here since 1968, when this farm was purchased by Robert Bankel and Evan Nickles.  The antique car sitting alongside the barn may have been here since that time or earlier. The New Beginnings Caf,, formerly the Spice of Life Foods Caf, offers a break from shopping. Spice of Life had been a Rhode Island rarity as there have been few other eateries in the state that specialize in vegetarian cuisine. The new restaurant, which took over in late 2006, does not maintain the Spice of Life vegetarian tradition as it serves chicken and tuna on its menu. The Fantastic Umbrella Factory, Charlestown, RI, provides an environment where children can be entertained passing their time as well as adults. The gardens and nurseries, which sell plants, have a broad variety of flora to offer interested gardeners, including the only native New England cactus variety and the Native Wood Lily that no longer can be found naturally growing in New England. The nursery is open from mid April through September. The farmhouse where this marketplace has settled in is said to have been in continual use since 1760. The Fantastic Umbrella Factory, Charlestown, RI, has stayed open for more than 40 years despite a dramatic fire and the turnover in its eclectic community of vendors."
