Name,State,Title,Description
"ACE Basin National Wildlife Refuge","South-Carolina","ACE Basin National Wildlife Refuge - Hollywood, SC - Wildlife Refuge with Hunting and Fishing","Created in 1990, ACE Basin National Wildlife Refuge was a joint effort involving private conservation groups, local landowners, federal government agencies, and state government agencies. This effort was designed to protect and preserve the ACE Basin area. The ACE'' in the Basin's name comes from combining the first letter of each of the following rivers: Ashepoo River, Combahee River, and Edisto River. The three rivers make up one of the East Coast's largest undeveloped estuaries. The ACE Basin includes roughly 350,000 acres, and the ACE Basin Wildlife Refuge is situated on approximately 11,815 acres within the Basin. Additional land is still being purchased to add onto the refuge area. It is anticipated that the ACE Basin Wildlife Refuge could grow to encompass 18,000 acres once all lands have been purchased and added. The refuge is actually made up of two units. One unit is located off of the Edisto River. The other unit is located off of the Combahee River. Some parts of the refuge are within the buffer area of the National Estuarine Research Reserve. The refuge's office is housed in a former plantation house. The plantation house was once part of a rice plantation and was built in 1828. There were only three antebellum mansions in the ACE Basin that survived the Civil War, and this is one of them. The building is listed on the National Register of Historical Places. The refuge is home to many different species. Painted buntings, turkeys, bald eagles, wood storks, white tailed deer, and alligators are just a few of the animals that live in the area. The bald eagles nest in both of the refuge's units. The wood storks, which are endangered, use the area during the summer. In the winter, ducks can be found in concentrations up to 30,000. Visitors are able to see a variety of different birds depending on when they visit the area. In addition, the refuge is made up of wetlands, tidal marsh, hardwoods, upland forest, and additional acres of shrubs and grass. Deer hunting is permitted at the refuge during scheduled times. The refuge hosts bow hunts, black powder hunts, and mobility-impaired hunts. Waterfowl hunting is also permitted, but it is only permitted in specific areas at specific times. Hunters should be in possession of a Refuge Hunt Permit. To inquire about permits or hunting, interested parties can call 843-889-3084. Fishing is also permitted in specific areas during the fishing season. In addition to hunting and fishing, the refuge features nature trails and visitors have many opportunities to photograph the wildlife. There is no charge for admission to the Refuge. Regular hours of operation are from dawn to dusk daily. The office is open from 7:30am to 4:00pm Monday through Friday. The office is closed on weekends and on federal holidays. The ACE Basin Wildlife Refuge receives about 25,000 visitors each year. For safety reasons, portions of the refuge may be closed during public hunting days. Additional information on the refuge can be obtained by calling 843-889-3084. Businesses in the surrounding area offer tours of the area, canoeing trips, kayaking opportunities, and campsites."
"Aiken-Rhett House","South-Carolina","Aiken-Rhett House - Charleston SC - Historic Townhouse and Museum","The Aiken-Rhett House is a spectacular townhouse dating back to the early 1800's, and has hardly changed since. Sitting in the most northern spot of Charleston's Museum Mile, it's one of the finest examples of historical Charleston and showcases its history like nothing else. The house was built in 1818 for Charleston merchant John Robinson before being bought and expanded by the Aiken family in the 1830's and `50's. William Aiken Jr. was a successful businessman, rice planter and politician, and being governor of Southern Carolina from 1844 he was also one of the wealthiest men in the state. He made the most of it, like much of the elite, by traveling to Europe with his wife, Harriet Lowndes Aiken, and returning with lavish fine art and furnishings. Luckily for the visitor, much of their purchases remain in the same rooms that they were bought for a century and a half ago. Named the Aiken-Rhett House because of the marriage of the daughter Henrietta to Major A.B Rhett, the house remained in the family until 1975 before being donated to The Charleston Museum. It was purchased by the Historic Charleston Foundation in 1995, and since then has been listed on the National Register of Historic Places and has welcomed thousands of visitors year after year. The 3-floor townhouse is a spectacular example of what life was like for the upper classes of the 18- and 1900's. Visitors can enjoy original pieces as well as seeing the grandeur that the aristocracy of the time enjoyed - think ballrooms, dressing rooms and marble halls. Thankfully much has remained the same since the century it was built in, and any restorations have been undertaken meaningfully and sympathetically to retain as much of its character and history as possible. Think of it as preservation rather than restoration. Visitors will not be disappointed. You'll be able to see fine art, sculpture and furnishings, all museum-quality pieces, as well as the original servants' quarters, sheds, kitchens and stables, allowing visitors to get up close and personal with the past. Being largely unchanged since the late 1800's it's one of the finest townhouses available that showcases Charleston life of the time. Unlike other restored houses in the area, the lack of alterations and refurbishment means that visitors can really appreciate life as it was. There is also an adjoining courtyard that's used for a variety of events and programs that are run throughout the year. The museum is open Monday-Saturday 10am to 5pm, and on Sundays from 2-5pm. It offers the only audio tour in Charleston where visitors are self-guided using mp3's, allowing you to take your time and wander leisurely around the parts that interest you most. The last tour begins at 4:15 pm daily, and there are employees on hand to offer you extra facts and clarification if you need it. It costs $10 for entry, although if you wish to visit the nearby Nathaniel Russell House as well tickets are $16 for the two."
"Alabama Theatre- North Myrtle Beach, South Carolina - Theater Featuring Musical Shows","South-Carolina","Alabama Theatre- North Myrtle Beach, South Carolina - Theater Featuring Musical Shows","The theater was the creation of the country music group Alabama, who had started their career playing for tips at a nightclub called The Bowery in Myrtle Beach. Since opening in 1993 the theater has run a nightly show with a blend of musical styles, which is radically changed each year. The theater incorporates much technology and special effects in to the show, with state of the art lighting and sound systems, video, stage sets, aerial effects and of course the musicians, dancers and a comedian. The theater itself is set at the back of a large parking area near to the Waterway Shoppes and Great American Cookies, whilst the Alabama Ticket Booth is located across the river at the Boardwalk Shops. There are many parking spaces including those for persons with disabilities to the south side of the theater as well as the lot in front of the main entrance. The building has wheelchair ramps and seating is available for sight-impaired visitors as well as spaces for wheelchairs and an amplified hearing device. The main show held at the theater is called One - The Show, which contains a mixture of songs, dancing and special effects and runs six nights a week. The music is a mixture of rock, pop, country, gospel and songs from musicals, whilst it is interspersed with a comic host and generally starts at 7.30pm lasting for approximately three hours. In November and December of each year the theater stages a special Christmas show with a mixture of song, dance and special effects, and combining traditional seasonal music with more contemporary Christmas tunes. Throughout the year the theater has one off shows welcoming famous guest artists, who in the past have included the likes of Kenny Rogers, The Temptations, Little Richard and Tom Jones. Whilst tickets can be purchased at the booth in Barefoot Landing, they can also be purchased online or via the telephone. Visitors can purchase souvenirs and gifts from the on site Gift Shop, which sells CDs, DVDs, books, clothing and other items related to the shows. Many dining areas are situated in the area either side of the lake with options to eat inside or out and serving many different varities of food such as pizzas, salads, sandwiches and other hot meals. Of the sixteen or so dining areas, Bully's Pub and Grill has pool and darts for visitors as well as lunch dinner and drinks. Dick's Last Resort serves up buckets of messy ribs, chicken and some seafood, whilst there is other live entertainment served in the evenings too."
"All About Me","South-Carolina","All About Me - Hilton Head, SC - Salon, Spa, and Boutique","All About Me is a salon and spa located at 32 Palmetto Bay Rd in Hilton Head on Hilton Head Isle. Services offered include nails, hair, spa and a small shopping boutique with jewelry and accessories. Spa services include facials, massages, wraps and tanning. There are many facial options and peels or microdermabrasion are two of the services offered. A spa consultant is on hand to address each individual and make recommendations. Facials are available for teens as well, who will also experience it as a learning opportunity. A makeup lesson using Jane Iredale cosmetics is available for free with a $45 Jane Iredale purchase. Massages include basic, deep tissue, hot stone and pre-natal. A mud wrap is offered for either firming or relaxation and the shea butter wrap is intended to be a deep moisturizing treatment. The full body alpha- and beta- hydroxy peel smoothes dry skin and reduces the appearance of sun damage. This one hour treatment costs $195. All About Me offers several product brand lines for hands and nails. OPI, Essie, Brisa and GLo Spa are just a few examples. They claim to have the best manicure in less than thirty minutes for $25. Add to it a paraffin wax treatment for an additional $10. A peel treatment is available with a manicure that is intended to reduce the signs of aging (wrinkles, fine lines, and hyper-pigmentation) and costs $50 with a manicure included. All About Me does pedicures while the guest is seated in a spa massage chair. A basic pedicure with a salt rub costs $45 and a paraffin wax treatment is available for an additional $10. For a full spa experience, a pedicure treatment with reflexology, eye mask and music costs $80. Budget conscious guests can receive a file, soak, cuticle trim and polish for $30. All About Me also offers acrylic nails and nail wraps. Hair product brands offered at All About Me include Pureology, Goldwell and JOICO. Hair services are not limited to hair cuts but also include hair removal. A basic blow dry and style costs $35 while a hair cut and style is $50. Coloring starts at $60 and highlighting starts at $95. A perm treatment costs $95 as well. Wedding services cost $95 or more for the bride and $65 or more for the bridesmaids. Hair removal services include eyebrow shaping and maintenance. Several waxing options are also available for face, legs, toes, arms, hands, bikini area, back and chest. Spa parties are available for birthdays, weddings, or girls night out. The package includes manicures, pedicures, makeovers, wine and hours d'oeuvres. A deposit of 50% is required on booking and the entire balance is to be paid off seven days in advance of the party. An additional 18% gratuity will be included in the price. Visitors can sip on a glass of champagne or a mimosa while receiving their services. Fresh fruit and bottled water may also be offered. Services are available for both men and women. TripAdvisor ranks All About Me as the #1 attraction in Hilton Head using their popularity index."
"Alligator Adventure","South-Carolina","Alligator Adventure - North Myrtle Beach, South Carolina - Reptile Zoo","Alligator Adventure is one of the largest facilities for reptiles in the world, and is situated on Highway 17 at Barefoot Landing in North Myrtle Beach, South Carolina. Barefoot Landing is on the intersection of 48th Avenue South and Route 17 and next to the Intracoastal Waterway and has plenty of parking areas available near the zoo. Hours of opening vary throughout the year so it is best to check in advance with the zoo office. The zoo is in a far corner of the complex with a mini wildlife boardwalk taking visitors across the water filled with fish to get to the entrance. Children under three years of age get free entry and visitors can receive a 2nd Day Free Pass, which enables them to get free entry on a return visit as long as it is made within seven days. It is recommended to visit the zoo in the summer months when more animals will be visible, as some will be in hibernation in the winter. The main feature of the zoo is as you would expect the alligators, of which there are 800 including, 15-foot adults that weigh 500 to 1,000 pounds. In the main alligator exhibit pool lecturers explain a little about the history of these reptiles. The highlight of the lecture is feeding time with 300 adult alligators waiting for staff members to feed them by hand. Apart from the alligators there are many other types of animal housed at the zoo, including a 20 foot crocodile, which is the largest in the United States. Snakes feature as well with a number of species including a giant Green Anaconda and the King Cobra, and staff provide lectures about handling snakes and how to tell if they are venomous. Other reptiles and amphibians to be found here are Giant Alligator Snapping Turtles, Gallapagos Turtles, Aldabra Tortoises, Gila Monsters, African Bullfrogs and a Pig Nosed Turtle. For visitors that prefer the furrier kind of animals, the zoo has some big cats too including Siberian Tigers, African Servals and Caracals. Other animals featured are zebras, lemurs, river otters and beavers all to be found somewhere in the park. Alligator Adventure also houses over 20 different species of exotic birds kept in large habitats throughout the park and include Toucans, Hornbills, Macaws, Cockatoos, Sarus Cranes, a Cassawary and many others. There is a large gift shop to purchase souvenirs from at the end of the trip. Many visitors have stated that the whole visit should only take an hour and a half to two hours, but it does involve a lot of walking. People also commented that they appreciated the fact the animals all seemed to be really well looked after. Many dining areas are situated near the zoo either side of the lake with options to eat inside or out. Visitors will find a choice of many different varieties of food such as pizzas, salads, sandwiches and other hot meals. The two closest dining places are the House of Blues and Dick's Last Resort, which also provide live entertainment."
"American Military Museum","South-Carolina","American Military Museum - Charleston, SC - Authentic Military History","The American Military Museum is located at 360 Concord Street in Charleston, South Carolina. It is situated next to the aquarium and dock for tours to Fort Sumter. They are open on Monday through Saturday from 10:00 am to 6:00 pm and on Sunday from 1:00 pm to 5:00 pm. The cost of admission is $7 for adults, $5 for veterans and seniors, $3 for students 13-18 or those with a student ID, $2 for children 6-12 and free for active duty military and their dependents. A trip through the museum should take less than two hours. The original curator of the museum, George Meagher, was a retired army veteran and has done work as a consultant for the Smithsonian. He passed away in March 2009. He established the museum in 1987 as a tool to preserve military artifacts and display them for education. Meagher contributed his own personal collection of military artifacts and paraphernalia to start the museum. A museum board, comprised only of military veterans, now oversees the operation of the museum. The board has multiple members who have received the Medal of Honor. The museum has moved to several different locations at different times since it was founded and is now in a place that is easier to find and hard to miss. The museum contains paraphernalia and artifacts, set in glass display cases, from fourteen different wars that America has been involved in from the American Revolution to the current conflicts in Iraq and Afghanistan. The Army, Air Force, Navy, Coast Guard and Marines are all represented in the American Military Museum. The museum also recognizes the contributions of women in the military and has included them in several displays. Some highlights include: General Eisenhower's insignia, a Buffalo Soldiers dress blue uniform from 1872, General Patton's patches from the invasion of Normandy as well as battle flags from his army and hundreds of uniforms and headgear through the years organized in reverse chronological order. The museum is primarily about the personal effects and uniforms that people in the military wore. There are some weapons displays but they are not the focus. The museum also contains hundreds of miniatures on display. Towards the end of the museum is a military chapel that displays how a military chaplain dressed. The American Military Museum relies solely on donated items so everything is authentic and accurate, not fabricated. Things that a soldier would carry on a daily basis are also available for viewing. From the Vietnam War, a booklet instructing soldiers on how to treat prisoners of war is on display. From World War I, a card designed to keep morale up that urges soldiers to keep smiling. Mess kits that soldiers carried through the years are also displayed. Many of the items on display at the American Military Museum are unique, one of a kind pieces. Some are so rare that they are thought to be the only of their kind in existence. The 1872 Buffalo Soldier uniform is one such item. An 1820 infantry hat is thought to be one of only three such hats in the world."
"Anchorage Inn","South-Carolina","Anchorage Inn - Charleston, South Carolina - Harbor Themed Inn","The Anchorage Inn is situated at Vendue Range in the heart of Charleston, South Carolina and is approximately 10 miles from the nearest airport, Charleston International. Originally built as a cotton warehouse around 1840, the inn has spent many years under different guises and in different commercial roles. It has retained its current status as an inn since 1991. The inn is situated in the French Quarter of Charleston's historic district and is just one block away from Charleston harbor. The name Anchorage means safe harbor'' and was given to the inn due to its close proximity to the harbor. Furnished with period reproductions there are seventeen guest rooms and two suites in this two story property. This accommodation features rooms with 14 foot ceilings, which are decorated with period antiques and handcrafted reproductions tailor made for the inn. All the guest rooms are designed in a traditional Charleston style and contain either a king, queen or two double sized canopy beds. TV, telephone and complimentary internet access are other features of all the rooms, as well as ironing facilities, a hairdryer and a valet laundry service from Monday to Friday. The Palmetto Suite contains two part canopied double beds, a large sitting room with sofa and chairs, small dining area, a whirlpool tub and shower combo, and a large bathroom area with separate vanity. The Charlestown Suite features a full canopied queen size bed, a separate living and dining area with a dining table and two TVs, walk in shower, and a separate Jacuzzi tub. There is a no smoking policy enforced at the inn and pets are not permitted either. Whilst there are no restaurants at the inn a complimentary continental breakfast is provided each morning in the dining room. In addition to this a complimentary cheese and wine reception is organized each evening and guests can also indulge in an evening nightcap and sherry. There are many restaurants in the surrounding area such as Magnolia's, Cypress, Blossom, Slightly North of Broad and High Cotton. Wedding groups, small meetings, family reunions, parties and other special events can be catered for at the inn. There is a Business Center in the lobby area with free WiFi allowing easy computer and internet access for business travelers. Staff here can help to organize group accommodation and itineraries so guests can view some of the attractions Charleston has to offer, whilst there is a historic tour pick-up in front of the hotel. Situated in the midst of Charleston's historic district the inn is within walking distance of tourist attractions such as the Battery, Charleston Market, museums, shops, and restaurants. Guests can also take a short trip to some of the beaches on the East Coast including Folly Beach, Kiawah Island, Isle of Palms, and Sullivan's Island, which are just a few minutes away from the hotel. There are several golf courses nearby too, as well as historic plantations and gardens such as Middleton Place and Drayton Hall."
"Anderson Ocean Club & Spa","South-Carolina","Anderson Ocean Club & Spa","The Anderson Ocean Club and Spa is located oceanfront in the heart of Myrtle Beach and features a variety of amenities for visitors. The club is close to the Myrtle Beach Convention Center, the Myrtle Beach Boardwalk and Broadway at the Beach. The goal of the club is to help visitors relax, unwind and feel invigorated and rejuvenated when they leave. The Awakening Spa offer a variety of spa services right on the premises of the Anderson Ocean Club. Guests can choose from a variety of spa packages including the Awakening the Mind, Body and Soul package, The Awakening package, the Gentlemen's Awakening package, the Mother Daughter Massage, the Couples Massage and the Aromatherapy Massage. Many packages include facials, manicures, pedicures, mineral baths and massage. Services can also be purchased individually if you are in need of a facial, massage or other skin or body treatment. In addition to relaxation at the spa, visitors to the Anderson also enjoy hitting the links. Golf packages allow guests to customize their golf vacation and the staff at Anderson makes all of the arrangements. Featured courses include the Farmstead, the Grand Dunes, the Meadowlands, Myrtlewood Pine Hill and Palmetto, River Hills, Pine Lakes and Tidewater. "
"Anderson Ocean Club & Spa","South-Carolina","Anderson Ocean Club & Spa","The Anderson Ocean Club and Spa is located on the coast of South Carolina and offers accommodations the whole family will appreciate. The resort features a number of amenities including easy access to area attractions and an onsite spa. Guests have a number of onsite dining options including the Fishtails Beach Bar, the Blue Room Café, the Sandtrap Lounge and Grand Central Station. This new restaurant is open for breakfast and dinner and provides menu items to suit most tastes. The resort is family-friendly is located near a variety of Myrtle Beach attractions that kids will love like the Harbourgate Marine, the Ripley's Aquarium, the Ultimate California Pizza Game Zone and Lost Mine Miniature Golf. The Awakening Spa is located onsite and offers a variety of body and skin treatments including facials, massages, wraps, manicures and pedicures. The services can be combined to create spa days designed for men, women or travelers vacationing for a specific purpose like a trip with bridesmaids or a mother and daughter outing. Golf is one of Myrtle Beach's most popular recreation activities and there are numerous courses just minutes from the Anderson Ocean Club. Guests can book their accommodations in combination with a golf outing to save them the effort of contacting the area courses separately. "
"Andrew Jackson State Park","South-Carolina","Andrew Jackson State Park - Lancaster, SC - Schoolhouse, Museum, Fishing, and Wildlife","Andrew Jackson, the seventh president of the United States, grew up in the backcountry of South Carolina in an area known as the Waxhaws. Andrew Jackson State Park features a museum that details Jackson's boyhood. The park is a combination of history, art, and community activities. Located off of Highway 521, Andrew Jackson State Park is at 196 Andrew Jackson Park Road in Lancaster, South Carolina. The park is now part of the SC Department of Parks, Recreation & Tourism (PRT). In 1953, Lancaster County donated the park to PRT. The park is roughly 360 acres. Admission to Andrew Jackson State Park is $2 for anyone 16+ years old. For South Carolina seniors, admission is $1.25. Admission is free for children 15 and under. The park's regular hours of operation are 8:00am-6:00pm daily. During Daylight Savings Time, the park's hours are 9:00am-9:00pm daily. The park's regular office hours are 11:00am-12:00pm daily. The park's museum is open on weekends from 1:00pm-5:00pm. The museum is open on weekdays by appointment and when there is available staff. The museum highlights Jackson's boyhood and his experiences during the Revolutionary War. One of the park's focal points is a statue of Andrew Jackson on horseback. The statue was designed by Anna Hyatt Huntington. In addition to the statue and the museum, the park is home to a replica of a one-room schoolhouse from the 18th century. The schoolhouse is open on weekends from mid-March to November. On Saturday, the schoolhouse is open from 1:00pm to 5:00pm. On Sunday, it is open from 2:00pm to 5:00pm. The park's ampitheatre is home to an annual bluegrass festival and other community events. In addition, the park's programming includes living history programs that feature staff dressed in period-appropriate garb. The park offers visitors the opportunity to see an herb garden, an orchard entrance, and other historical aspects of the grounds. Visitors are able to fish on the lake, provided they have a valid South Carolina fishing license. Bass, bream, and catfish can be caught. Visitors can fish from the fishing pier (which is also handicap accessible), from the bank of the lake, or from a rental boat. Non-motorized fishing boat rentals are available. Rental rates are $2.50 per hour or $12 per day. Private boats are not permitted on the lake. The park features two hiking trails. Both trails are about one mile long and loop through the park. The Crawford Trail is a dirt trail that leads hikers through an undeveloped area of the park that is home to oak, pine, and cedar trees. Birds, rabbits, deer, and other wildlife are common in the area. The Crawford Trail begins at the schoolhouse. The Garden of the Waxhaws Trail features fishing access and crosses over the dam. The trail is easy to follow but can be steep at times. The park has two picnic shelters that are available for group activities. Shelters can be reserved for $30-$38 per day by calling 866-345-PARK. Shelters that are not reserved are available to visitors on a first-come, first-served basis at no charge. Tent and RV camping are available, and rates vary. A group camping area is also available for groups up to 50. Camping information, as well as any additional park information, is available by calling 803-285-3344."
