Name,State,Title,Description
"Bear Country USA","South-Dakota","Bear Country USA, Rapid City, SD","Bear Country USA is an attraction in Rapid City South Dakota. The park is set on 250 acres in the Black Hills. With a three mile drive through the forested area visitors are able to see one of the largest Black Bear habitats in the world. Bear Country USA is a reserve for animals such as the grizzly, elk, reindeer, bobcats, and cougars. It is possible to see the bears and other animals play in pools, climb trees, or move across the road while vehicles pass. The reserve was started to help preserve the animals, as well as teach visitors about all of the different animals housed within its gates. It is possible to get out of the car at the park's Babyland to take a walk and view some of the animals at the reserve. There are more than a dozen species in Babyland. Bear cubs, otters, and other animals are in the walking area of the park. The otters have waterfalls and places to relax out of the water. Dr. Dennis Casey and his wife opened the park in 1972. At the time they had 11 black bear, one cougar, one wolf, three buffalo, and one large bull elk. In over 26 years they have gathered more animals including 200 black bear. In the 70's there was no zoo near Rapid City, which is one reason the Casey's decided to open their park. The park is about conservation of animals and land. When visitors arrive they will be greeted by Elk first. The road course takes them to the reindeer, past wolves, big horn sheep, and Dall sheep. After the sheep the park road leads to the Rocky Mountain Goat, before reaching the North American Black Bear. Cougars, Timber Wolves, and Buffalo are next on the drive before reaching the grizzly bears. The tour ends at Babyland. Bear Country USA is open during May to November from 8am to 6pm daily. In the autumn months the park can close early if weather is unsatisfactory. Costs for the park vary depending on age. The range is $8 to $15 or a maximum of $55 per vehicle. The park charges more for a maximum amount when it comes to a Motorcoach. The maximum amount for a caravan is $200 based on occupancy. There are also group rates available. Due to the nature of the park there are rules and regulations one must follow in order to drive through the park. This information is supplied at the beginning of the tour. Bear Country USA has events available during the season. Critter Camp is a camp for children where they are able to come to the park and learn about the various animals and their care. There is a pass holder day, and a wild wheels night. Rapid City, where this different style zoo is located, is the second largest city in South Dakota. It is known for its western history as Native American culture. The Bear Country USA zoo makes Rapid City a key destination."
"Bramble Park Zoo in Watertown, South Dakota","South-Dakota","Bramble Park Zoo in Watertown, South Dakota","Bramble Park Zoo was opened in 1912, when the Watertown, South Dakota City Council accepted and exhibited a collection of pheasants and waterfowl donated by Frank Bramble. In 1940, the collection outgrew its original home and was then moved to its current location. The Works Progress Administration constructed new exhibit areas which formed the nucleus of Bramble Park Zoo. Over the years, the collection of animals expanded to include native species, as well as more exotic species like primates and hoofed animals. Between the years 1972-1976, the zoo experienced major renovations and further growth, both internally and externally. Through donations and community volunteer work, numerous exhibits and support buildings were constructed, as well as improvements being made to the outlying landscape and view areas. These improvements led to the zoo receiving accreditation by the Association for Zoos and Aquariums in 1993. The Bramble Park Zoo has continued to make further advancements, hired a professional staff, developed educational programs and participates in conservation and the Species Survival Program. The most poignant improvement made to the zoo has been the addition of a Discovery Center, constructed in 1998. Today, the Bramble Park Zoo welcomes more than 50,000 visitors annually, and is home to more than 500 animals which represent 130 species. The zoo is owned and operated by the City of Watertown and consists of 15-acres devoted to animal preservation and visitor education. Bramble Park Zoo offers many different events and programs throughout the year, and invites visitors to come see the animals and participate in many fun filled activities. Some of the animals found at the zoo include hedge hogs, kangaroos, Bactrian camels, bison, eagles, condors, goats, bears and many others. Exhibits showcase animals in a natural habitat and invite viewers to get an up-close view of some very unique wildlife. Jaguar Junction is home to a large family of Jaguars roaming freely in a specially designed habitat. The Bird of Prey Plaza is another phenomenal exhibit that features rehabilitated birds of prey that perform tricks and flying fetes in daily shows at the zoo. There are many more exhibit areas, each with its own special brand of appeal and charm. An especially interesting activity at the zoo is the Roots and Shoots environmental and humanitarian program for youths. The program is sponsored by the Jane Goodall Institute, and features learning projects centered on care and concern for animals, the human community and the environment. The mission of the program is to imbibe young visitors with the desire to preserve the environment and animal conservation on a regional scale. The Bramble Park Zoo is opened during the summer season from 9 am until 8 pm, and during the winter season from 10 am until 4 pm. Special tours can be arranged for groups by contacting the Bramble Park Zoo prior to visiting. The zoo also features a restaurant, gift shop, a train, educational programs in an interactive classroom environment and much more, making it the perfect place to visit and learn all about the wonderful world of animals."
"Circle B Ranch Chuckwagon Supper & Western Music Show","South-Dakota","Circle B Ranch Chuckwagon Supper & Western Music Show, Rapid City, SD","Gateway to the Black Hills'' or the Star of the West'' are two slogans associated with Rapid City South Dakota. The city sits on the eastern slope of the Black Hills mountain range. The mountains divide the city into eastern and western parts as a result of its location. Rapid City got its name from the Rapid Creek that runs through the area. Rapid City began in 1874 as part of the gold rush to the west. The Custer Expedition founded the town along with John Brennan and Samuel Scott. Today Rapid City provides a mixture of the old and the new as the second largest city in South Dakota. To honor the old west the Circle B Ranch Chuckwagon Supper and Western Music Show was created. Owners Jay and Betty Baldwin opened the ranch in 1976, running it until 1991 and 1995 respectively. Betty survived her husband, selling the Circle B Ranch to the Horn family. The Horns did not own the ranch for long, selling it in 2004. The Circle B Ranch is now owned by Dale and Kathy Lawson. It is run by them and their three sons. Their sons along with Dale perform songs from history like that of the Sons of the Pioneers. Guitars and singing are very important to the show. Each night from Memorial Day to mid September the ranch is open for a meal and entertainment. The entertainment can be more than the show depending on the attendees' wishes. Events to take part in include the Chuckwagon Supper and music, trail rides, gun fights, wax bullet pistol shooting, petting corral and playground for children, pony rides, gem panning, and spending time in the gift shop. There is also an opportunity to watch Doug Ladd carve various items akin to western design. Doug Ladd has been with the Circle B Ranch for several years. Trail rides take riders across part of the 58 acres which make up the ranch. Visitors have a choice in 30 minute or 45 minute rides. The 30 minute rides are $15.00 and the 45 minute rides are $19.00. The thirty minute rides are prior to the Chuckwagon meal leading from the stables up to the ranch. The forty five minute rides are scheduled in the mornings, starting at 9:30am and ending with the last ride at 3:00pm. The Circle B Ranch Chuckwagon Supper and Western Music Show in Rapid City can be part of a package with lodging included. The ranch serves both lunch and dinner. Lunch is at the Circle B Stage Stop. Dinner is run from the Chuckwagon Barn. The meal begins at 6pm with the music show running after dinner has been served. The meal includes a foil wrapped potato, cowboy beans, applesauce, biscuits, gingercake, coffee and lemonade. For the main meal visitors can choose beef, chicken, a combination, or buffalo. There are also hot dogs available for those who do not eat the other meats served at the Circle B Ranch Chuckwagon Supper and Show."
"Empire Mall","South-Dakota","Empire Mall, Sioux Falls, SD","The Empire Mall is located at I-29 and 41st Street, 5000 Empire Mall Sioux Falls, South Dakota. The mall is open Monday through Saturday from 10:00 am to 9:00 pm and Sundays from 11:00 am to 7:00 pm. The Department Stores and restaurants in the mall may have different hours of operation. Guest Services is in Center Court next to Cinnabon and is open during all mall hours. There are six anchor stores and over 180 stores and restaurants. Gift cards are available from Guest Services and the Lost and Found is located there as well. Wheel chairs or motorized wheel chairs are available for a twenty five dollar deposit that is refundable. Guests can fax transmissions for $2.00 for the first page and $1.00 for each additional page. Photocopies are only ten cents a copy. Letters and packages can be mailed through the United States Postal Service. There are lockers near Harvest Cafy Court and outside the southwest entrance to Younker's. Mall walkers can enter by the main doors next to Talbot's to walk Monday through Saturday from 7:00 am to 9:00 pm and Sunday from 7:00 am to 7:00 pm. Guests wishing to get maps or tourist information can do so at the Sioux Falls Visitor Information Center by the Harvest Cafy Court next to Verizon. Visitors to the mall can also procure a bus schedule or bus pass at Guest Services. For guests with children there are changing tables in all restrooms as well as the family restrooms. Diaper packs with two diapers and wipes are available at Guest Services. A nursing area is provided at the family restroom area of the Harvest Cafy Court. Macy's, Younkers and JC Penney also have nursing lounges near their restroom facilities. The entire mall is a smoke free environment. There are many dining options at the mall including the Harvest Cafy Court,Applebee's, Auntie Anne's Pretzels, BG's Cakes N More, Boss', Burger King, China Pantry, Cinnabon, Culver's, Dairy Queen, Orange Julius, Great American Cookies, Red Lobster, Royal Fork Buffet, Shenanigan's Pub, Subway, Taco John's, Teriyaki Express, Villa Pizza, Wendy's, and Texas Roadhouse. The Sanford Children's play area is located in the Sears wing of the mall. They have toys, games, and slides. Older guests of the mall can watch a 42 inch HDTV in the Midcontinent Lounge while reposing in an easy chair. There is an arcade with games located in the mall too. Abercrombie & Fitch, Aerie, Aeropostale, Alltel, American Eagle Outfitters, Anne Taylor Loft, Banana Republic, Bath & Body Works, Bed Bath and Beyond, Buckle, CJ Banks, Champs, Charlotte Russe, Christopher & Banks, Claire's, Coach, Coldwater Creek, C Style, Deb, Eddie Bauer, Express, Famous Footwear, Far East Treasures, Foot Locker, Finish Line, Gap, Gordmans, Gymboree, Helzberg Diamonds, Hollister, Hot Topic, Hat World, The Limited, Icing, Inland Shoes, JoAnn, Journeys, Justice, Kohl's, Lane Bryant, Lens Crafters, Master Cuts, Maurices, Men's Warehouse, Motherhood Maternity, New York & Co, Old Navy, PacSun, Payless Shoes, Victoria's Secret, Things Remembered, Target and TJ Maxx are just a few of the stores."
"Fairfield Inn & Suites","South-Dakota","Fairfield Inn & Suites","The Fairfield Inn & Suites - Rapid City is located in Rapid City, South Dakota, a business orientated hotel with space for families and fun for kids. It is a regional hotel where each room is a quiet haven away from the noise of the city.  The hotel is no different in its basic room amenities. It has a business center on its first floor with ninety-three rooms situated on the top three floors. Regardless of what is going on in the areas of the first floor, the noise can never be heard in any of the suites. Kids can chatter freely in the games and arcade rooms whilst they parents indulge in complementary coffee in the hotel's lobby before taking everyone for a free breakfast. Thereafter, guests can play golf, swim in the large pool, get spa treatments or just collapse for a quick spell in the big Jacuzzi. Business travellers will find the business center very useful and well catered to. Nearby meeting rooms allow for complete privacy and confidentiality. The banquet facilities help with hosting trade shows and major meetings. The Fairfield Inn & Suites - Rapid City is not designed to be a major resort hotel, but it ensures that quality is always maintained and guest satisfaction is their number one priority. Visitors may be too busy to enjoy the free wireless Internet, but with so many activities and events happening all around and within the hotel, they are never short on things to do when spending a holiday there."
"Great Plains Zoo in Sioux Falls, South Dakota","South-Dakota","Great Plains Zoo in Sioux Falls, South Dakota","The Great Plains Zoo is accredited by the Association of Zoos and Aquariums, and located in Sioux Falls, South Dakota. The facility is a 45-acre park that showcases more than 850 animals from all over the world in simulated habitats. The mission of the zoo is to fulfill four major objectives: education, recreation, discovery and conservation. The zoo was developed in the 1880's, by Sioux Falls Senator Richard F. Pettigrew. Pettigrew had a few specimens housed for viewing in local parks until the 1930's. The Sioux Falls Parks System assumed responsibility for the park, and additional animals were permanently placed on display in Sherman Park. In 1957, the Zoological Society of Sioux Falls was established and assisted in the development of the Great Plains Zoo. The facility first opened its doors to the public on June 30th, 1963. Through the 1970's and 1980's, the zoo experienced rapid growth and added a Children's Zoo, the Black-footed Penguin Rookery, Birds of Prey aviary, a Primate Complex and a 10-acre North American Plains Exhibit. In 1984, the Delbridge Museum of Natural History was added, through a donation of more than 150 mounted animals from the collection of the CJ Delbridge family. Beginning in the 1990's, the zoo upgraded and renovated several of the aging facilities and displays.  New habitats added at the time include the Asian Cat Habitat, Wild Dogs of America exhibit, the Australian Outback, Bear Canyon and Galapagos Tortoise exhibit. New species were also added to the zoo collection and included an African Black rhino, American alligators, Rock wallabies, Bald eagles, Chinese red pandas and guanacos. The animals featured at the zoo are housed in natural habitats and modern displays. Such animals showcased at the zoo include Chilean flamingoes, Golden eagles, African Pygmy goats, Alpacas, zebras, giraffes, cheetah, and tigers, Costal Brown bears, Eastern bongos, Warthogs and Siamang gibbons. In addition to the animals found at the Great Plains Zoo, there are also rides for visitors to enjoy. The Savannah Train Ride offers a behind-the-scenes guided tour led by the train conductor. The train operates from May through October, every 30 minutes from 10 am until 5:30 pm. The Carousel is opened daily and custom designed with 6 horses, 3 zebras, a white rhino, giraffe, elephant, rooster, deer, dolphin, cheetah and 2 panda bears. Critter Cabin is designed for up-close encounters with stars of the educational animal team and is opened daily. Animals featured at Critter Cabin are bearded dragons, ferrets, hedge hogs, California king snakes, blue-tongued skinks, African millipedes and many other types of animals. The Great Plains Zoo is opened daily from April through September from 9 am until 6 pm and from October through March from 10 am until 4 pm. The facilities are fully handicapped accessible, also included are a gift shop, restaurant, wheel chair and stroller rentals."
"Hampton Inn Rapid City","South-Dakota","Hampton Inn Rapid City","The Hampton Inn is located in Rapid City; the hotel is surrounded by a two-million-acre forest and Black Hills. The hotel provides guests with a central starting place for venturing out on activities such as mountain climbing or snow skiing. The hotel is also less then 30 miles from Mount Rushmore. The hotel is decorated to reflect the natural beauty of the Black hills and staff will ensure that each guests stay will be memorable.   Each of the 82 guest rooms features many amenities to ensure the guest is comfortable during their stay. These amenities include; complimentary high-speed internet, a lap desk to hold a lap top, cable television and the hotel's signature beds; Could Nine. Guest rooms can accommodate families who are on vacation or those who are travelling for business. Other services offered to guests staying at the hotel include a complimentary hot breakfast each morning, or breakfast on the go. Guests can also enjoy the swimming pool that has a 102-foot waterslide and whirlpool or keep up with their exercise regime in the fitness center. Guests who are staying at the hotel for business can take advantage of the business center and meeting service staff that will assist to provide everything needed for a small or large function. Catering is able to be organized along with state-of-the-art audio-visual equipment. The Hampton Inn provides guests with ultimate services and amenities to ensure that guests enjoy their stay and will return to the Inn next time that they visit Rapid City."
"Holiday Inn Express Hotel and Suites Keystone","South-Dakota","Holiday Inn Express Hotel and Suites Keystone","The Holiday Inn Express Hotel and Suites in Keystone, South Dakota is near Mount Rushmore and several other South Dakota experiences. As a Black Hills Hotel visitors can see Custer State Park, Crazy Horse Memorial, Reptile Gardens, Jewel Cave, Rushmore Cave, and Black Hills Central Railroad.  This Holiday Inn offers 62 rooms and 20 suites. It is a three floor hotel with 4 rooms offering one bed and 58 rooms with double beds. There are 42 nonsmoking rooms and three set up for handicap needs. Check in is at 4pm, with check out at 11am. Checkout can be completed through the television or at the front desk. Room amenities include business desk, cable TV, phone, voicemail, internet, iron, ironing board, hair dryer, and coffee maker. Guests can take advantage of the business center, free morning newspaper, and free daily breakfast. The breakfast includes biscuits and gravy, bacon, eggs, fruit, milk, juice, cereal, pastries, and cinnamon rolls. There is no formal dining room at this hotel. Hotel amenities include whirlpool, indoor swimming pool, fax, wired and wireless internet, and laundry facilities. Also for guests are the ATM, ice machine, and front desk safety deposit boxes."
"Jewel Cave National Monument South Dakota","South-Dakota","Jewel Cave National Monument South Dakota","Jewel Cave National Monument occupies more than a million acres of land and is currently the second longest cave in the entire world. The first largest cave is located in Kentucky and is named the Mammoth Cave. The cave consists of 141 miles of various passageways that make it one of the most interesting and largest monuments in United States. The monument was named Jewel Cave because of all the beautiful calcite crystals that sparkled throughout the cave. Jewel Cave National Monument is located in South Dakota, east of the Wyoming border and is considered on of the best caves in the world. It is a fascinating natural attraction that has drawn millions to its opening since it was first discovered over a century ago. The cave was discovered by two brothers, Frank and Albert Michaud in 1900. The small opening of the cave was not large enough for a human to enter so the Michaud brothers used dynamite to blow open the entrance and then opened the caves as a business venture to tourists. Once news of the cave reached the president, it was proclaimed a National Monument and eventually taken over by the Civilian Conservation Corps and the National Park Service. Tourists have made their way to explore the monument since 1939. The National Park Service offers three tours of the cave, each providing a distinctive experience for participants. The historic tour is done with candlelight and takes place in the first discovered piece of the cavern, the Scenic Tour loops through a central portion of the cave and the final tour is called the Spelunking. For the Spelunking tour, explorers get the chance to journey through an undeveloped part of the cave. Each year, over a hundred thousand people attend the monument that has become a place of interest to both explorers and researchers. The cave is large and intricate with new discoveries that are consistently being made. The area of the cave is extensive and some explorers will camp inside the cave for days at a time in an effort to discover a new passageway that hasn't been detected. One couple, Herb and Jan Conn were made famous for their discoveries in Jewel Cave National Monument. The couple was able to map more than 64 miles of additional hidden passageways and had the honor of naming the new caverns they discovered. Explorers use techniques like clinometers and compasses during the Jewel Cave expeditions. Scientists believe that Jewel Cave National Monument was created over sixty million years ago by the dissolution of limestone and acid-rich water. The acid-water enlarged cracks under the ground that eventually formed the cave walls and rooms. The cave is composed of thousands of unique formations including needles, columns, stalactites, and flowstone. Most visitors first notice the calcite crystals that are almost everywhere through out the cave. In the year 2000, a forest fire that ravaged 83,000 acres burned down almost all of the monument and the area surrounding it. Fortunately, the historic buildings and Visitors Center were unharmed during the destruction."
"Journey Museum","South-Dakota","Journey Museum, Rapid City, SD","The Journey Museum in Rapid City South Dakota takes visitors through the history of the Black Hills. It starts with Native American creation stories before meandering through geology, paleontology, archaeology, Native American inhabitants of the area, and pioneers of the west. The museum sits on seven acres of land. Part of the land houses gardens, while the rest is a large building with the exhibits. The archaeology exhibit provides information regarding Homo Sapiens early ancestors such as ancient hunters that used to live in the Black Hills. The exhibit depicts inhabitants that would have been alive during the ice age to the mining settlements of the 19th century. The display is set up like a real archaeological dig, where visitors are allowed to touch artifacts that date back 10,000 years. A presentation at the Journey Museum is the Duhamel Collection. The collection is of Native American artifacts that Helen and AF Duhamel collected. They donated the assortment of objects in 1985. There are many items of Sioux arts and crafts. The display pieces were collected at the Pine Ride, Rosebud, and Cheyenne River reservations. The Geology and Paleontology section of the museum houses dinosaur skeletons and rock formations which have gold inside. The display begins with a presentation of billions of years ago in which the Black Hills began to form based on geological events. The region dates back 2.5 billion years ago. Many of the dinosaur bones in the exhibit were found in the Black Hills. Journey Museum also has an exhibit for the Minnilusa Pioneers. This section presents artifacts like clothing, pistols, and other gear pioneers used to travel to the Black Hills. It depicts mountain men, miners, and military expeditions. The exhibit begins with the first European settlers in the area, moving on to the Battle of Little Big Horn and the events of Wounded Knee. Other historical milestones are depicted as well. Sioux Indians lived in South Dakota. The museum tells the story of the Lakota Nation which spans 200 years. The exhibit has stories from Lakota elders and their descendents. They tell of how they lived, played, hunted, and survived. Traditions are also shared in the stories such as the legend of the sacred Paha Sapa or Black Hills. The last exhibit which is always there is the Western Native Gardens. The gardens are filled with food, plants, and flowers. It is possible to have a garden at the museum as a way to support the community. From time to time the museum has other exhibits which come for a few weeks or months. The Pennington: A County, A Courthouse exhibit is ending in mid June. This exhibit depicted the county, the 1922 Courthouse, and the history of all things Pennington. Journey Museum is open all year except for important holidays. It is open in the summer from 9am to 6pm. During the winter, hours are 10 to 5pm. Admission to the museum is between $5 and $7 depending on the age of the visitor."
