Name,State,Title,Description
"Adventure Quest","Tennessee","Adventure Quest, Pigeon Forge, TN - Amusement Park","You will quickly discover that when you go to Pigeon Forge, there are a lot of things to see and do. Your trip will be missing out on a lot of fun, however, if you do not go to Adventure Quest while you are there. It is located on the main highway through town. Adventure Quest is a new attraction in Pigeon Forge. It was opened in 2008 and is designed to provide fun for the whole family. Adventure Quest offers three features and when you enter you will buy your tickets for one or more of them. Many families love to do all three and have a great time. The first adventure is called Odyssey and it is a Maze of Mirrors. This is the world's largest mirror maze, and it is twice the size of any other mirror mazes - a full 5,000 square feet. In this maze there are three special rooms. There is an infinity room, where, when you walk into it, you can see infinity in every direction. Then, there is the holograph room, where the walls form one giant holograph, and the dance room, where the walls seem to move with every move you make. The second challenge is called The Vault. This challenge provides you with a mission impossible type of scenario - complete with a room full of lasers that you want to avoid as you get to your target. When a laser beam is broken, an alarm will sound. Many people love to try and break their own timed speeds. There is a prize for those who make it to the top ten, or even break the record. A third fun part of the Adventure Quest is their Pirate Golf. This is a mini golf course with a pirate theme. It has 18 holes and has black light throughout the course. The game is played through a pirate village and then on to the pirate ship. It is a game for the whole family. Adventure Quest is actually part of another place called MagiQuest. It is all in the same building and you want to look for the MagiQuest sign on the castle-looking building. MagiQuest is a place where you can turn the online game by the same name into a personal experience. When people go into MagiQuest, they are each given a wand which they will be able to keep. Then they go through the story - an adventure - and it is brought to life and different every time because they are actually living it. They meet creatures and interact with them to gain new knowledge, information, and skills and bravery, and attain new levels and new experiences on their journey. The wand records everything, and information about all rewards and levels attained. It can also be used the next time you come back so that you can continue on in the adventure from where you stopped. Adventure Quest, or MagiQuest, is sure to be a lot of fun for the family. Be sure to plan on making it a part of your trip, when you come to visit Pigeon Forge or the Great Smoky Mountains National Park."
"Alum Cave Trail","Tennessee","Alum Cave Trail, Great Smoky Mountains National Park, TN - Park","One of the best places in the eastern United States to go hiking is in the Great Smoky Mountains National Park. From the Park, you can see a lot of beautiful mountain scenery and lush vegetation everywhere. The Alum Cave Trail is one of the most well-known trails offering hikers a challenge - and some great views. The Alum Cave Trail leads to the top of Mt. LeConte which is the third highest mountain in the Park, with a height of 6,593 feet. The Trail itself is 5.5 miles to the top, or 11 miles roundtrip. On the way, there are some excellent spots for sightseeing - or turning around - if you only want to go part of the way. The Trail can be rather strenuous in places. On average there is a height gain of about 500 feet per mile, and a total gain of about 2,700 feet by the time the peak is reached. At various places on the trail, there are hand rails available - where they are needed most. It certainly is not the only trail that leads to the peak, but many believe it to easily be the shortest and most scenic route. If the ground is wet from a recent rain, you may want to consider hiking the Trail when the ground is dry. The Trail is very rocky and the rocks can be slippery and somewhat dangerous when wet. While on the hike, the first notable landmark that the hiker comes to is the Arch Rock. This feature will be 1.3 miles from the starting point, the trailhead. It is a naturally formed rock arch. There are stairs inside and cables to help hikers get through it. The next feature to be seen on this Trail is called Inspiration Point. From there, you can get a good view of the Little Duck Hawk Ridge. A little beyond the Point, the hiker can see the Eye of the Needle, which is a natural hole in the rock at the top of the Little Duck Hawk Ridge. Then you will come to the Alum Cave Bluff. This is the feature that the trail is named for, and it will be at 2.2 miles. Alum Cave is not really a cave, but is simply a large overhang that forms a rock shelter. The opening is about 80 feet high and about 500 feet wide. By the time this point is reached, the hiker will be at about 4, 950 feet. Alum, epsom salt, saltpeter, magnesia and copperas were mined from this cave at one time - some of it during the Civil War. If you are hiking in the cold months of the year, you certainly want to watch for falling icicles from the top of this Cave - they could be fatal. The next feature, which marks the half-way point to the top, is a large flat rock called Gracie's Pulpit. This was named after a lady who lived on the mountain had hiked the trail to LeConte on the 92nd birthday - which she had also done many times previously. When you get to the top of LeConte, you will see the LeConte Lodge. You can find some items for sale here, such as T-shirts, souvenirs, and other things that hikers would enjoy. You can also buy limited food here, but if you want a hot meal you will need to call at least 48 hours in advance. The Lodge also provides a number of cabins that you can stay in overnight - if you have a reservation. These have one room, or two and three bedroom cabins. There is no running water or electricity in the cabins, which will give you a real rustic stay away from all modern conveniences. This could be a great way to spend a night with a great view at the top, when you take the Alum Cave Trail in the Great Smoky Mountains National Park, TN."
"Amazing Mirror Maze","Tennessee","Amazing Mirror Maze, Gatlinburg, TN - Amusement","A new feature in Gatlinburg is the Ripley's Amazing Mirror Maze. This feature was built in 2008 and has proven to be quite a hit with many people, just like the other museums that Ripley's has brought to this town. The Amazing Mirror Maze claims to be the world's largest maze. There are more than 2,000 square feet of maze space for people to get lost in - and then find their way out again. It is all mirrors and they can really be tricky. Of course, the maze has its usual share of dead ends, circles and corners, and many mirrors give the apparent hallways an infinite look about them. Probably the greatest feature of the maze is the terrific light show that goes on while you are in it. It really is incredible, and this is what makes it even more challenging. Magnificent halls appear endless, with a wide variety of color being used in the arches and enough repetition to make you definitely feel lost in this gigantic maze. Not only is there lighting effects, but also sound effects, too. The average time that it takes people to go through the maze is somewhere between 12 and 16 minutes. Ripley's has promised that the maze does not stay the same from one year to the next. This means that it is different each year and you can try to find your way out of a brand new puzzle each year. If you visit the Amazing Mirror Maze during the Halloween season, you are apt to be scared out of your senses as it is adjusted to fit the season with many frightening scenes. When you are done with the Maze, you can go down below to their Candy Factory store. This will provide you and the children with the perfect answer for that sweet tooth. There are plenty of different kinds of candy from which to choose - 108 of them. You or the kids can select from favorites of the past or get some kind of sweet treat that they are more familiar with - it is all there. There is sure to be something for everyone and some you probably have not tried yet, too. Ripley's also has a number of other fun places to go to in Gatlinburg, too. The whole family will love the many creatures that are in the gigantic Ripley's Aquarium. There are many exhibits of sharks and a large host of other great things to see and do. Some of the exhibits are interactive. Another place is the Ripley's Haunted Adventure - which is also open all year. Children under six are not permitted but the older ones are sure to enjoy the sights and frights. Ripley's Believe It Or Not Museum is another place that is sure to produce wonder and amazement in all members of the family. The Ripley's Amazing Mirror Maze is located right in the heart of Gatlinburg on the Parkway and is easy to find. The building is between lights eight and nine, and right across the street from the Gatlinburg Convention Center. The Maze is open all year."
"American Museum of Science and Energy","Tennessee","American Museum of Science and Energy, Oak Ridge, TN","Science and energy tend to be fascinating subjects, and in 1949 the American Museum of Science and Energy was formed in Oak Ridge, Tennessee. The museum was originally called the American Museum of Atomic Energy. It was a place that explained the science behind atomic energy, as well as to show the peaceful uses of that type of energy. The museum was located in an old wartime cafeteria. Eventually, interest in science and energy required a new facility to be built. It opened in 1975. Three years later the museum was renamed the American Museum of Science and Energy or AMSE for short. The museum is open daily, except for major holidays. Operation hours are Monday through Saturday 9am to 5pm, and Sunday 1 to 5pm. Admission prices are $5 for adults, $3 for children 6 to 17, and $4 for seniors. Group rates are available for twenty or more individuals. The Discovery Shop is open 10:30 am to 4:45pm Monday- Saturday, and Sunday 1 to 4:45pm. Rental space on site exists for meetings, banquets, and other special events. AMSE has five different exhibits that teach visitors about science and energy. The displays begin with the Story of Oak Ridge. This exhibit displays historical photographs, documents, and artifacts regarding the Manhattan Project. There is also a twenty minute video that extends the explanation. The Manhattan Project began in the 1940's. It was a project to build the first atomic bomb. Scientists from the United States, United Kingdom, and Canada were part of the project. From 1942 to 1946 the project was under the control of the U.S. Army Corps of Engineers. The second exhibit at the American Museum of Science and Energy is the Exploration Station. In this area visitors are able to take part in a number of different activities like problem solving, static electricity, robotics, vision, light and color, and sound. Students and adults can learn about each of the different exhibits through self directed learning. The Y-12 and National Defense exhibit has models of various weapons, clothing, and tools used at the Y-12 plant over the years. There is a video and hands on displays visitors can take advantage of. The displays demonstrate processes and safety features. Earth's Energy Resources provides maps, tools, models, and audiovisual materials to explore the Earth's energy resources. Visitors can learn about coal, oil, geothermal hydropower, and natural gas that is a part of the earth. Lastly visitors will be entering the World of the Atom. The atom is the tiniest molecule found on the Earth. A cross section of a nuclear reactor is provided along with a simulation of an underground nuclear waste storage area. Information covers the pioneering of atomic scientists, natural radiation, fusion, and nuclear energy in space. AMSE offers public programs for residents and visitors to the museum. There is a summer camp for children who aspire to be scientists. They can get hands on learning experience. Scout programs and Science Saturdays are also available."
"Athena and Parthenon Replica in Nashville","Tennessee","Athena and Parthenon Replica in Nashville, TN, the Athens of The South","Why is there an Athena and Parthenon replica in Nashville, TN? Long before Nashville, Tennessee, gained fame as Music City USA, and was considered the world capital of country music it was actually called the Athens of the South. This phrase was coined because Nashville, TN had become an undisputed pioneer in education and culture in the southern United States. Thus for the 1897 Centennial celebration of the City, it should come as little surprise that a full scale replica of the Greek Parthenon was constructed While other structures constructed for the city Centennial anniversary were later removed, this wood, brick and plaster structure was spared, as it had quickly won the hearts of the proud inhabitants of the growing city and in 1902 the surrounding land was converted into the City-owned Centennial Park. In the 1920`s the deteriorating structure of the Parthenon replica, which had only been built to house an art exhibit at the 1897 celebration, was rebuilt in concrete. This process is said to have taken some 11 years, ending in 1931. The new permanent structure was designed in collaboration between local architect Russell E. Hart and an archaeologist and architect from New York, William Dinsmoor. The latter studied the original ruins in Greece as part of developing the plan for the inside of the Parthenon replica which is considered to be faithful to the original temple. The largest bronze doors in the world guard entry to the structure on the east and west sides. Despite the reconstruction, the building was still not strong enough to stand more than a few decades thus in 1988, the building, which had continued to serve as an art museum, benefited from a major restoration that had a budget of 2 million dollars, re-opening with modernized gallery space, a gift shop and basement administrative offices. It was only after this renovation that the Tennessee Athena statue was unveiled at the museum. The replica took Nashville artist Alan Le Quire 8 years to fashion, one year less the 9 years that the Greek sculptor Pheidas needed to create the original work in the year 438 B.C.  Le Quire's Athena in is 41 feet and 10 inches tall, thus winning the title of largest indoor statue in the western world While the original Athena was sculpted of gold and ivory, the Athena replica was crafted from gypsum cement and ground fiberglass, while her head was built on a frame of aluminum with a steel lowed section that sits on a concrete base which reaches into the Parthenon replica's basement to find support in the natural bedrock below. In 2002, the statue was gilded with gold plates and detailed painting was added by Le Quire, the original artist. Daughter of Zeus, a large cult is said to have existed for Athena in Greece, thus making the Athena and Parthenon replica in Nashville, TN among the latest in a long line of tributes. It is a bit of Ancient Greece in modern, Nashville. An appropriate monument to a Goddess identified with wisdom and culture in a city that continues to boast numerous higher education institutions and a vibrant culture that centers on country music and jazz."
"Avenue Carriage Crossing","Tennessee","Avenue Carriage Crossing - Collierville (Memphis), TN - One of eight Avenue Malls","The Avenue Carriage Crossing is located at 4674 Merchants Park Circle #432 in Collierville, Tennessee which is just outside of Memphis. Avenue Carriage Crossing is an open air shopping center anchored by Dillard's and Macy's that was originally a Parisians. In 1998 Cousins Properties Incorporated introduced the Avenue of which there are a total of eight locations in the Southeast. The Avenue Carriage Crossing opened during end of 2005 with 800,000 square feet. The Avenue Carriage Crossing is open from 10am until 9pm Monday through Saturday and from noon until 6pm on Sunday; hours of stores may vary from those of the mall itself and individual stores should be contacted for hours. There are seventy-five restaurants and shops in this mall including Barnes and Noble, Carrabba's Italian Grill, Chico's and Starbucks. The mall can be reached from Jackson, Mississippi, Downtown Memphis, and Nashville, Tennessee easily meaning that the mall is in an ideal location to service the surrounding area. When visiting the Avenue Carriage Crossing from Nashville, Tennessee which is to the east of the mall take Interstate 40W all the way to Interstate 240S. Use Interstate 1-420S until you reach the Bill Morris Parkway which is Highway 385 and take the Houston Levee Road exit. Jackson, Mississippi is to the south of the mall, use I-55N to I-240E until you get to the Bill Morris Parkway which is Highway 385. Use the Houston Levee Road exit or take Highway 78. If you take Highway follow it to Shelby Drive East all the way to Houston Levee Road. When traveling to the Avenue Carriage Crossing from the west or downtown Memphis you will use Interstate 40E. Take Interstate 40E all the way to Interstate 240E and turn onto the Bill Morris Parkway which is highway 385. On Highway 385 you will use the Houston Levee Road exit. The Avenue Carriage Crossing is conveniently located approximately two miles from Hampton Inn Collierville East Memphis. This means that visitors to the area don't have to go very far in order to get while they need when on vacation or business in the area. The mall's design has a clear historical influence that can be seen in sculptures, fountains and other features that were specially designed for the facility. The Avenue Carriage Crossing has a number of stores to provide quality merchandise as patrons shop in a relaxing and comfortable environment. Stores include Dillard's Macy's, American eagle, Banana Republic, Talbots and several more. The Dillard's in the Avenue Carriage Crossing is closed on Friday's. Otherwise it is open Monday through Wednesday from 9am until 10pm, Thursday from 8am until 6pm, 9am to 9pm on Saturday and from noon until 6pm on Sunday. The Avenue Carriage Crossing is still fairly new and offers a number of options for patrons. The wide variety of stores, comfortable setting and proximity to local accommodations make the Avenue Carriage Crossing somewhere that anyone in Collierville, Tennessee or the surrounding area should make it a point to stop in at the mall."
"Bays Mountain Park","Tennessee","Bays Mountain Park, Kingsport, TN","On 3500 acres of natural land sits the Bays Mountain Park of Kingsport, Tennessee. This park is a nature center, Farmstead Museum, and Planetarium Theater. The theater has a 40 foot diameter dome. Park programs are available at Bays Mountain for school children, where each year 33 counties in 5 states come to visit. Bays Mountain Park is in the northeast section of Bays Mountain, which is a few miles from Kingsport's downtown. The entire park is ringed with mountain ridges, putting it in a natural basin that helps protect the wildlife. Bays Mountain Park is open year round for all visitors. In the spring there are over 60 different species of wildflowers and grouse that are looking for a mate. During the autumn season one can be wowed by the Appalachian fall colors. Maples, sourwoods, and tulip trees all turn beautiful colors and make a perfect stop for waterfowl migrating to the lake in the area. Winter brings snow to Bays Mountain, covering the trees and ground. There are 25 miles of Nordic trails, and it is possible to see deer and wild turkey. The hours and fees are subject to change. Regular hours between March through May and September through October are Monday through Friday 8:30am to 5pm, Saturday 8:30am to 8pm, and Sunday noon to 8pm. The nature center has different hours and is open Saturday and Sunday noon to 7pm. From June to August the park and nature center is open a few hours longer each day. Winter hours are restricted. The park is closed on major holidays such as Thanksgiving. It can also be closed if hazardous conditions exist during winter like icy roads. The park fee is $3 per car and $12 per bus. Program tickets are $1.50 per person for Nature programs and barge rides. The planetarium shows are $3 per person for anyone over six. The Nature Center is in the main building which has the planetarium theater, classrooms, watershed room library, gift shop, and staff offices. Within the nature center visitors will find information on the natural history and space exploration. A reproduction of the extinct Dodo bird has been created for display in the nature center. There are also dioramas like a red fox in a winter scene. The Herpetarium has a classroom for education. It also houses numerous species of reptile and amphibians. Food storage and prep areas for the live animals at the Bays Mountain Park are at the Herpetarium. The building features eight native snakes in their natural habitats. These snakes are the Timber Rattlesnake, Northern Copperhead, Northern Water Snake, Milk Snake, Eastern Kingsnake, Northern Pine Snake, Corn Snakes, and Black Rat Snake. The last exhibit is the Farmstead Museum. This area has tools, farm implements, and diorama recreations that show the life of settlers from the past two centuries. Much of the displays come from the19th century, showing what it would have been like in the pioneer days. Even the building was created using hand hewn logs to illustrate the previous techniques."
"Bearskin Lodge on the River Hotel","Tennessee","Bearskin Lodge on the River Hotel, Gatlinburg, TN - Hotel","Taking a trip to Gatlinburg is a great experience for the whole family. There are many attractions in the city that are unique and enjoyable for all in this town that is called the Gateway to the Smokies. Having a hotel right in the middle of town, that is decorated with the old country styles and has a back-to-nature appeal, is just what you will find at the Bearskin Lodge on the River Hotel in Gatlinburg, TN. The Lodge is just perfect for the family that wants easy access to the many stores and sights in this tourist town. There is also a great view of the mountain stream that flows by the hotel, and also of the beautiful LeConte Mountain and other ones nearby. The very rustic Lodge has five floors and many different options in room sizes and features. All rooms have a private balcony, a refrigerator, an iron and ironing board, free HBO, and a coffee maker. Phones have voicemail and all local calls are free. Parking is free in their private parking garage. Some rooms are also handicap accessible. No pets are allowed. The better rooms have some great options, too. Some of them have gas fireplaces to really make a great romantic stay, and an oversized Whirlpool for two people. Some rooms are also equipped with a wet bar, and some are also connecting. There is also an outdoor heated pool at the hotel for the guests. A continental breakfast is served each morning for the guests. There will be cereals, bagels and muffins, donuts and Danishes, as well as fruit, juice, and coffee. When you are looking for a meal, there are several restaurants not far from the hotel offering almost any kind of food you could want. The Lodge is real close to many of the attractions of this little town. You have easy access to the tram, stores, restaurants, and other great features. You can get a float and go down the little lazy river right behind the hotel. Gatlinburg has plenty of great attractions. Many people come to Gatlinburg from all over the world to see the sights and partake of the many activities that can be found here. Some of the most well-known places are those which are owned by the Ripley Corporation. This includes the Ripley's Aquarium of the Smokies, the Ripley's Believe It Or Not! Museum, Ripley's Davy Crockett Mini-Golf, Ripley's Haunted Adventure, Ripley's Marvelous Mirror Maze & Candy Factory, and Ripley's Moving Theater. When you want great views of the beautiful Smokey Mountains, there are places to go that will give you the best views around. This includes the Gatlinburg Sky Lift, the Gatlinburg Space Needle, and the Tram. Gatlinburg is also famous for its skiing and snow-boarding in the winter. Over in the next town, Pigeon Forge, you will also find great entertainment, and amusement parks like Dollywood, and Dollywood's Splash Country Water Adventure Park. The Bearskin Lodge on the River Hotel in Gatlinburg, TN, is located at the base of Ski Mountain Road. This also puts it within a block of the entrance of the Great Smoky Mountain National Park."
"Bell Witch Cave and Cabin","Tennessee","Bell Witch Cave and Cabin, Adams, TN","There is probably no more famous supernatural story in America than that of the Bell Witch. General Andrew Jackson, a future President was also interested in the story of this spirit. Betsy Bell, daughter of John Bell was said to have been tortured by the Bell Witch during her childhood. The version of who the Bell Witch was had several versions; however, the one that is told the most is that she was a neighbor of the Bell family. Supposedly, Kate Batts claimed she was cheated in a land deal with John Bell. Prior to her death on her deathbed she supposedly swore to haunt him and any descendents he might have. This story is even in the Guidebook of Tennessee that was published in 1933. There are tours of the Bell farm and the Historic Bell Witch Cave. Visitors to the area can also rent a canoe to float down the Red River. The Bell Witch Cave is on the National Historical Registry by the United States Department of Interior since 2008. The land that the farm and the cave are on is the same land that the family lived on in the early part of the 1800's. Special tours can be arranged by appointment only. Daytime Bell Witch Cave tours are from 10:00 am to 5:00 pm. The last tour begins at 4:15 pm and the price for the cave tour is ten dollars per person. There is a minimum of twenty dollars per cave tour, so they won't take just one person on a tour. Tickets can be purchased with a Visa or MasterCard. The Bell Witch Cave is open on weekends only in May. June through Labor Day they are closed on Tuesdays and Labor Day through October 31st they are again only open on weekends. The Bell Witch Cave has special dates and times in October for Halloween as well as in November and December. If there have been heavy rains the cave will be closed due to flooding. The Bell Family Cabin is a replica of the one the family actually lived in. The furnishings in the cabin are from the same time period that the family resided in the area. A detailed accounting of what took place while the family lived on the farm is heard on the tour. Visitors can experience some of the sounds that tormented the family as well. The cabin has old documents, books, pictures and the family tree of the Bell Family. Tours of the cabin are seven dollars per person. Special tours of the Bell Witch Cave and Cabin at night are available for twenty five dollars a person. These tours include a forty five candle light tour of the cabin and a one hour tour of the cabin. There must be at least four people for these special tours. Extended night tours can be purchased for fifty dollars per person. This tour includes a 45 minute candle light tour of the cabin, a one hour tour of the cave, fifteen minutes of viewing the album of strange pictures, twenty minutes in the Indian burial ground, twenty minutes in the haunted dell and a drawing for the Bell Witch book."
"Big Cypress Tree State Park","Tennessee","Big Cypress Tree State Park, Greenfield, TN","Tennessee has many state parks for visitors to enjoy. Big Cypress Tree was named for the largest bald cypress tree in the United States. Not only was it the largest cypress tree it also had the distinction of being the largest tree of any species east of the Mississippi River. The tree that gave the park its name was more than thirteen hundred years old. A storm in 1976 produced the lightening that hit the top of the tree. The tree went on to smolder for two weeks. The trail that once took visitors to the tree has been closed. Big Cypress Tree hosts many annual events such as the Big Cypress Fall Festival. Musical entertainment, arts and crafts and birds of prey programs encompass the events at the festival. A Civil War encampment is set up for visitors to see and they also have a program about geo-caching. The State Park is located at 2965 Big Cypress Road, Greenfield, TN. During the summer the park is open from 8:00 am to sundown and in the winter the hours are from 8:00 am to 4:30 pm. The park is in the northwest section of the state approximately seven miles from Greenfield. Visitors should take Highway 45E and 445 to reach the park. Native wildflowers have recently been planted at the park and they draw many species of wildlife. Hummingbirds and butterflies are particularly fond of the recent plantings. Nature lovers enjoy hiking in the state park to see the seventeen flower beds of wild flowers. Benches are throughout the area so that guests can watch for wildlife and relax. Photographers find the colors of the flowers and trees make for wonderful pictures. Big Cypress Tree State Park has approximately three hundred and thirty acres. It is in the floodplain of the Obion River's Middle Fork. Picnic facilities are available for visitors to the park. They have placed some of the tables under a shelter so that guests can have shade if they want it. The shelter has grills, water and electricity and they can be reserved. Besides the shelter there are ten picnic tables on concrete pads that have grills. Some of the wildlife that can be observed at the park are bluebirds, doves, deer, owls, hawks, squirrels, and bats. Bald eagles can sometimes be seen in the month of September. Scout camporees are a popular activity for the Boy Scouts at Big Cypress Tree State Park. Individual troops also have camp outings during the year and the park is also used as a training site for new leaders. Churches have used the park for services and cookouts. Families like to use the facility for reunions; schools find the park very informative for field trips. Camping is only allowed for the Boy and Girl Scouts. There is a play area for children ten and younger, a basketball goal, swings for children that are five to twelve and a ball field with a backstop. The fall is generally warm to cool but dry. The winter will be cold and generally wet and spring is rainy and cool."
