Name,State,Title,Description
"Abilene Zoological Gardens in Abilene, Texas","Texas","Abilene Zoological Gardens in Abilene, Texas","The Abilene Zoological Gardens is located at 2070 Zoo Lane, in Abilene, Texas. The Abilene Zoo observes five guiding principles; education, recreation, research, culture and economics. Abilene Zoological Gardens strives to combine enjoyment and leisure time with education about animals and the world in which they live. The zoo seeks to provide visitors with a natural classroom,'' which allows guests to appreciate and learn about wildlife in an unstructured environment. In 2007, approximately 152,693 people visited the Abilene Zoo, which is a marked increase of 25% over the prior year. Abilene Zoological Gardens is home to more than 500 different animals that represent over 200 species. The zoo has a collection of both plants and animals, with the plants surrounding the exhibits being native to the state of Texas. The signature exhibit of the zoo is a bridge that crosses over the top of the giraffe habitat. Here guests are invited to observe the zoo's giraffe family in a naturally staged environment. The exhibit is one of the first of its kind in the United States and visitors are allowed to feed and pet the giraffes. The Abilene Zoological Gardens participates in the Association of Zoos and Aquariums Reciprocal Admissions Program.  The program allows members to receive free or reduced admissions fees at many other zoos across the United States. The zoo is opened daily and is closed Thanksgiving, Christmas Day and New Years Eve. The zoo contains many exhibits featuring a wide array of animals displayed in modern areas that simulate a natural environment. The zoo has Central American Spider Monkeys, Black Rhinoceros, American Black Bears, American Bison, Ringtailed Lemurs, American Alligators, Maned Wolves, Jaguars, Spotted Hyenas and many other animals. Entertaining exhibits at the zoo include; the Turtle Pool, the Waterfowl Pool, The Creepy Crawly Center, a Wetland Area and Outdoor and Indoor Aviaries. The Elm Creek Backyard area houses locally found animals such as armadillos, river otters and skunks. The zoo participates in an Adopt-an-Animal Program, which allows visitors to show support for conservation and wildlife preservation. The adoption process is simple and designed to allay the costs of maintenance and daily care for animals of the zoo. Funds are used towards improvement projects, habitat enrichment and any necessary repairs. The Abilene Zoological Gardens is one of the five largest zoos in the state of Texas and is located inside Nelson Park. The zoo is committed to providing guests with both a rich educational and entertaining experience. Each year the zoo hosts many events and programs, designed to raise public awareness and understanding about the delicate environment in which animals live. Guests are invited to tour the facility, enjoy the many exhibits and spend the day learning about the animals, nature and conservation."
"Adolphus Hotel in Dallas","Texas","Adolphus Hotel in Dallas","Adolphus Hotel is a luxurious and antique hotel situated in downtown Dallas. The hotel is located near the Sixth Floor Museum where President Kennedy was assassinated. Adolphus Hotel is considered a five-star luxury hotel and has an old-world European elegance and charm that delights its guests. The historical Adolphus opened in 1912 and has seen famous guests walk through its doors since it opened. Queen Elizabeth II, Oscar de la Renta, Donald Trump, U2, and Babe Ruth have all left their mark on the hotel registry. The hotel has the ambiance of a royal castle and staff at the Adolphus Hotel make every effort to ensure that guests who enter the hotel are treated like royalty. Guests of the Adolphus Hotel can choose from three main dining options: The French Room, The Bistro, and The Walt Garrison Rodeo Bar and Grill. The French Room has repeatedly won Gourmet magazine's top ranking for best restaurant in the Dallas region for the last several years. The menu at the French Room is American cuisine and seasonal ingredients are used in each dish to ensure maximum freshness in the food. The French Room is rated as a five diamond restaurant. The decor of the restaurant features authentic pieces of furniture and art from the 17th, 18th, and 19th centuries. The walls of the restaurant have been decorated by muralist, Alexander Rosenfield. His artwork is painted across the high, arched ceilings of the restaurant's dining room. The Bistro resembles a European coffee house and serves breakfast, lunch, and dinner in a more casual setting. The Walt Garrison Rodeo Bar and Grill specializes in American favorites like hamburgers, Tex-Mex, and barbecue. Patrons of the grill can watch the news, stock quotes, or sports as they dine in a relaxed setting. The Adolphus Hotel honors both its original architecture and historical roots. To honor its English roots, afternoon tea is served in the Lobby Living Room of the hotel in keeping with English tradition. The hotel honors its architectural style with original 19th century artwork, lamps, tables, and chairs decorating lounging areas and hotel suites. The hotel's fitness center has state of the art exercise equipment but also links itself to The Texas Club, a fitness center not far from the Hotel. The Texas Club is a private athletic club with an indoor running track, racquetball courts, and aerobics studio. Since the Adolphus opened in 1912, the hotel has catered to providing fairy tale weddings for couples. The hotel has a 5,300 square-foot Grand Ballroom with romantic celestial paintings and hand blown crystal chandeliers which create the perfect wedding reception setting. Wedding publications have raved about the The Adolphus and voted it as one of the best places in Dallas to get married. Specialty services like a personalized wedding menu places the Adolphus a step ahead of other hotels who also cater to wedding ceremonies. Corporate and private meetings are welcomed and encouraged at the Adolphus Hotel. The property has over 24,000 feet of flexible meeting and event space that is divided into twenty-two rooms. Every event from large conferences, conventions and even small board meetings can be accommodated with the exceptional spaces the hotel offers."
"Alamo Heights Neighborhood in San Antonio","Texas","Alamo Heights Neighborhood in San Antonio","The Alamo Heights neighborhood was officially established in 1922 and was considered a city within San Antonio. The neighborhood is full of old-fashioned charm and residents of the area value the uniqueness that Alamo Heights provides. The retention rate for residents is high, and many who move out of the neighborhood later in life find that they eventually come back to the Alamo Heights neighborhood. Alamo Heights is located about two miles north of downtown providing residents easy access to the city center and a large range of popular spots. Attractions such as the San Antonio Zoo, Japanese Tea Gardens, Brackenridge Park, and the Botanical Park are all within close proximity. The neighborhood itself is home to the premier golf club, The Quarry Golf Club. The golf course is well known in the San Antonio community and was ranked one of the top ten greatest American golf courses by the national publication Golf Digest. The club is known for its beauty, serenity, and carefully designed courses. Although the Alamo Heights neighborhood wasn't incorporated until 1922, plans to develop the area started in 1890. It was the Alamo Heights Land and Improvement Company that started to construct the first group of residential houses. Different streets and parks were built and in due time the Alamo Heights neighborhood emerged. Today, nearly 10,000 residents call Alamo Heights home. Many of the families in Alamo Heights are middle-class and have a median income of $86,000. Most of the residents who live in Alamo Heights are white collar professionals with jobs in education, health, professional, and finance services. Many locals in and around the San Antonio area choose Alamo Heights as a place to raise their family due to the area's location, history, and varied atmosphere. The schools in Alamo Heights offer excellent curriculum programs for resident children. Alamo Heights High School and Cambridge Elementary are both known for their excellent academic records. The neighborhood has one of the most prominent school districts in San Antonio and was established in 1909. A number of daycares are also available in the area for people who have younger children. Alamo Heights is an eclectic area equipped with a thriving business district. The neighborhood has both retail chains, elegant restaurants, upscale clothing stores, and mom and pop shops. The large variety of stores and boutiques gives the area a multifaceted vibe and provides a large demographic with something specific to fulfill each need. The neighborhood also caters to local resident's spiritual needs by providing a dozen churches of varying denominations. Church-goers will find Baptist, Lutheran, Catholic, and Episcopalian houses of worship all within blocks or miles of each other. One of the largest churches in the neighborhood is Alamo Heights United Methodist Church. The church is active in the local community and participates in mission and volunteer opportunities both in and outside of San Antonio. Alamo Heights has a motto of being the friendliest city in Texas and touts itself as being a family-oriented, old-fashioned atmosphere. The neighborhood places an emphasis on community and history."
"Alamo Quarry Shopping Center in San Antonio","Texas","Alamo Quarry Shopping Center in San Antonio","The Alamo Quarry Shopping Center is an outdoor market where locals and tourists gather to buy unique gifts and familiar brand names. The shopping market holds a large range of products from handbags to coats and is also home to various restaurants. The Alamo Quarry opened in 1998 and since that time has boasted some of the best dining, entertainment, and shopping. The 580,000 square-foot space is an open-air complex that allows visitors to enjoy the warm San Antonio air and weather while shopping for friends and family. The shopping market is considered a major destination for dining and shopping in San Antonio. The Alamo Quarry has a convenient destination that is only minutes from downtown. The center is located near the four smokestacks of the old Alamo Cement Plant. The old Cement Plant was once used to help build Texas for over a hundred years and plays a major role in San Antonio history. The Alamo Quarry has managed to maintain some of the original structures of the factory and constructed some of the shopping center around the smokestacks. The four smokestacks have become the focal point of the shopping center and create a distinguishable landmark. The Alamo Quarry is a perfect mixture of contemporary architecture with ancient history. There are over a dozen restaurants located in Alamo Quarry. Many chain restaurants like China Bistro, P.F. Chang's, Joe's Crab Shack, and Fleming's Prime Steakhouse and Wine Bar gives visitors several upscale casual dining outlets to choose from. There are approximately 60 retail stores within the shopping center and although lots of the boutiques are unique, many national retail chains have made their home in the Alamo Quarry. Some of the stores that can be found in the the shopping center are places like the GAP, Pottery Barn, Banana Republic, and Restoration Hardware. Some of the more unique stores in the shopping center are Lucchese Boot Company and 20 Nine Restaurant and Bar. Alamo Quarry also offers a cinema for movie-goers. Regal 16-Plex cinemas has the latest box office releasees and is one of the busiest cinemas in the city. There are over a dozen big-screen hits to choose from at the Regal 16-Plex in the Alamo Quarry adding to the entertainment aspect the market gives. Over the years, the Alamo Quarry has earned the reputation of being a true Texas Landmark. Residents who live in the same area as the Alamo Quarry use the open-air shopping district to fulfill all of their needs. The Whole Foods market, one of the country's most successful organic stores, is located in the Alamo Quarry. Whole Foods Market makes it extra convenient for those who live in the neighborhood and desire to use the Alamo Quarry as a one-stop shopping destination to purchase everything from groceries to clothing. The Alamo Quarry is open Monday through Sunday from 10AM - 9PM. Because of all that the center offers, it has become of the most popular destinations for local residents in San Antonio."
"Alamo Village is an active movie set in Texas","Texas","Alamo Village is an active movie set in Texas","Alamo Village is located in Brackettville, Texas. The village was an active movie set and the first built in Texas. The set was constructed for The Alamo, the 1960 movie starring Wayne Richard, Farnkie Avalon and directed by John Wayne. Construction of the range began in 1957 by James T. Happy'' Shahan who Governor George W. Bush named the Father of the Texas movie industry'. The set was built on his ranch for John Wayne who had tried for several years to make the move about the Battle of the Alamo only to be successful when he formed his own production company. Filming of the movie began in August 1959. During construction of the set John Wayne ran out of money and construction was stopped. Shahan continued to work on the set while Wayne raised more money. This agreement was made if Wayne would allow Shahan to build full sets - four walls, floors and roof - rather then facades of the exterior of the building. To build the set over 1.5 million adobe bricks were required along with 14 miles of gravel road and a 4,000 foot runway. The set was a full scale re-creation of the Alamo compound as it was in 1836 and a representation of the village, San Antonio de Bexar. Once production of the film was finished, Shahan preserved the set so that more movies could be filmed on the set. Over 100 western movies, documentaries, music videos and commercials have been filmed at the site. The primary use of the village has been as a tourist attraction. A cantina and restaurant, trading post, Indian store, church, jail, blacksmith shop, a celebrity gallery and the John Wayne Western Museum are also located at the village. A large collection of antique tools, period props and vehicles are on show for visitors. During the Labor Day weekend the village hosts the Labor Day Horse Races along with many live shows and performances throughout the summer. Happy Shahan's widow, Virginia Shahan sold the village in 2004 for three million dollars. Virginia passed away in 2009 at the age of 93. The village closed temporarily while it was evaluated if keeping the village open was justifiable in the late 2000's recession. The village re-opened in 2009 only for Tulisha Shahan Wardlaw, Happy and Virginia's daughter, to pass away in September 2009 at the age of 67. Unfortunately this meant the end of an era. The Alamo Village had to close its doors and their website has been removed from the web."
"Alden-Houston","Texas","Alden-Houston","The Alden-Houston is a boutique hotel in downtown Houston, Texas. The owners of this boutique hotel work to make it a contemporary luxury hotel with top service. Classic architecture has been combined with top of the market interior design for business and leisure travelers. As a landmark hotel it is near several important Houston locations like George R. Brown Convention Center, the Houston Court House, Minute Maid Ballpark, Toyota Center, and Reliant Stadium.  Alden-Houston has the restaurant 17 for a five star meal. They serve American cuisine with an international wine list. Sam Bar is a place for cocktails and light fare. As part of the hotel there are 97 guestrooms that offer modern day amenities such as the Internet. The hotel offers a 24-hour fitness center, Internet access throughout the hotel, and business services. As part of the hotel rooms guests will find flat screen TVs, two line phones, direct dial numbers, voicemail, ergonomic chair, DVD/CD/Stereo, mini bar, in-room safe, luxury linens, feather pillows, bathrobes, bath amenities, and express check out. Room sizes are deluxe king, deluxe double, one-bedroom suite, and the deluxe suite. The deluxe suite is 520 sq ft with a king size bed, leather headboards, and sofa sleeper."
"Alibates Flint Quarries National Monument is a Lesson in History","Texas","Alibates Flint Quarries National Monument is a Lesson in History","	Alibates Flint Quarries National Monument is located on the Texas Panhandle, about 35 miles north of the city of Amarillo. Close to Lake Meredith National Recreation Area, this national monument protects the only exposed source of Alibates flint (agatized dolomite) in the country. Located near the Canadian River, the monument features 736 quarry pits that were essential to the lives of those who dwelled in the region as long ago as 12,000 years. These quarries contain colorful flint in hues of red, orange, yellow, blue, and green, considered by ancient civilizations to be among the best materials from which to make defensive weapons, such as arrowheads, and the tools essential for everyday living. Historians say the flint from these quarries may have been used as recently as the late 19th century, but today the fragile and historic area is protected from any form of excavation. The pits vary in width from five to about 25 feet and many were once as deep as 10 feet. However, the lack of use has caused several of the quarries to fill with dirt and vegetation, making them much shallower than in the past. The quarry pits, which sit on a hilltop overlooking the Canadian River, can only be explored via ranger-led tours because of the fragility of the national monument. Available by reservation only, these tours take visitors on a one mile hike to the pits along a moderately steep trail with loose gravel. Rangers are well-versed in the history of the area and will educate visitors as to the uses of flint and the history of the civilizations that inhabited the region. The tour takes about 2 hours and includes several stops and time to take photographs. Groups are welcome but should number less than 25. Additional self-guided hiking opportunities are available away from the quarry pits and wildlife viewing is quite popular here as well, with plentiful opportunities for photographing native roadrunners, antelope, deer, wild turkeys, and other animals. Those who wish to partake of water-based activities such as boating, kayaking, and swimming can visit adjacent Lake Meredith National Recreation Area, just a few miles from Alibates Flint National Monument. Lake Meredith also offers camping facilities and other amenities and activities. Additional lodging and food are available in the nearby towns of Fritch, Borger, and Stinnett. Because summers on the Texas Panhandle can be scorching hot, the best time to visit Alibates Flint National Monument is during the late fall, winter, or early spring. Because of severe weather, including tornadoes and high winds, tours can be cancelled with little notice. Visitors should call Ranger Headquarters before arrival at the park if weather is an issue."
"Almeda Mall - Houston, TX","Texas","Almeda Mall - Houston, TX","Houston, Texas is the largest city in the state of Texas even surpassing Dallas. The past of Houston is part of the reason why this is so. It was founded by brothers Augustus and John Allen. The land was close to the Buffalo Bayou and it became an incorporated city in 1837. General Sam Houston had commanded the Battle of San Jacinto only twenty five miles from Houston. He was the President of the Republic of Texas, and this is how the city received its name. The port and the railroads helped to establish the city and when oil was discovered in 1901 the city's population really grew. The twentieth century saw the Texas Medical Center become a centerpiece in Houston, and then NASA built the Johnson Space Center where Mission Control for the space program is located. Besides the various industries in the city it is home to cultural exhibits and a performing arts district. One of the major shopping areas of Houston is the Almeda Mall. Besides a large selection of stores they sponsor many events throughout the year. The sales and promotions are ongoing to entice customers to the mall. There are stores that offer vacation items and outdoor dycor. Some of the stores that sell accessories are 5-7-9, Icing by Claire's, Finish Line, New York and Company, and Lids. These stores offer hats, collegiate hats, jewelry, and make up. Apparel for Men, Women and Children make up the bulk of the mall stores. Women's clothing stores are 5-7-9, Maxi Fashion, New York and Company, Rainbow Apparel, Rainbow Plus and Kids and Ross Dress for Less. Men's apparel includes Geovanni, and Man Alive which provides top designer fashions and Underground Station for the latest in urban clothing. They also sell foot wear. Customers can listen to the latest Hip Hop and R & B music while shopping. The anchor stores of the Almeda Mall are Macy's, the world renowned New York Department Store and Palais Royale. Macy's offers more than clothing with jewelry, home furnishings and cosmetics. Shoppers who are looking for bath, health or beauty products and services have a large selection. Bath & Body Works with lotions, shower gels, candles and accessories is a popular destination for shoppers. GNC is home for vitamins, nutrition supplements, hair and skin products and a massage chair. Master Cuts is a full service salon offering haircuts, color treatments, waxing and texturizing services. Other stores that sell this type of product include Cosmetic Cove, Oro & Perfumania, Pro Nails, Visible Changes, Vitamin World and Studio Model. The food that is represented at Almeda Mall is the Piccadilly Cafeteria, Sam's Burgers, Sesame Hut, Villa Pizza and Taco Bell/KFC. For a sweet tooth there is the Great American Cookie Company and Kaleido Scoop Ice Cream Shop. Toy stores, sports stores, leather, luggage, jewelry, shoe stores and Eyemasters eyewear are available in the mall. All of the major cellular phone companies have a presence in the mall. Radio Shack is there for all of the customers' electronic needs."
"Alta Vista Neighborhood in San Antonio","Texas","Alta Vista Neighborhood in San Antonio","The Alta Vista Neighborhood has both charm and affordable housing. The area was founded as a working-class neighborhood for middle Americans. The first houses to establish the Alta Vista neighborhood were built during the Great Depression in the 1920's and 1930's. By 1956, the neighborhood was an established residential area and was beginning to blossom. At that point, the neighborhood was considered one of the best shopping destinations in the city. Currently, there is a lot of renovation that is going on in the community that is increasing the desirability of the neighborhood. The neighborhood has a population of slightly over 2,000 people and is located in an area of San Antonio referred to as Midtown. Despite the Alta Vista neighborhood being in one of the older areas in the city, the neighborhood is on the rise. Alta Vista is considered a platted subdivision, with all of the boundaries very easy to distinguish. Median housing costs in Alta Vista are $100,000 and the average income of residents is $34,000. Both figures are less than the San Antonio city-wide average. Future residents of the Alta Vista neighborhood have a variety of home-styles to choose from. Houses in the area vary in both style and size and can range from French to Victorian architecture or 1 to 4 bedrooms. Even eclectic, Italian-styled homes comprise some of the Alta Vista neighborhood. Not many of the homes are traditional in style which makes the area particularly unique. The neighborhood has a good mixture of houses, as well as duplexes and apartments, for both sale and rent. Many of the homes have turn-of-the-century architecture and larger houses have been converted into multiple units to increase population density. In order to keep up with its burgeoning population, the Alta Vista Neighborhood Association was founded nearly thirty years ago. The association is exceptionally active in tackling city issues that affect the residents of the Alta Vista neighborhood. The organization is constantly restoring the community to maintain is beauty and history. There are memberships fees to participate in the Alta Vista Neighborhood Association. The costs are $10 per residence and $20 for businesses. The Alta Vista Neighborhood continues to be an attractive spot for many young residents who want to live in an area close to the center of the city, but is significantly more affordable than some of the more upscale areas that surround it like Beacon Hill or Monte Vista. The average age range for residents in Alta Vista is 34 and many younger families move into the area with their children. The main middle school is Mark Twain and the neighborhood high school is Thomas Edison. Parents in Alta Vista that are meticulous or particular about their children's education can choose from a few private schools that are nearby. There are several subdivisions that are within the Alta Vista Neighborhood including Laurel Heights Addition, Treasure Hill, and North Haven. Another attractive feature of the Alta Vista Neighborhood is its proximity to downtown San Antonio. The commute to downtown businesses is easy and ideal for many young professionals who live in San Antonio."
"Amarillo Botanical Gardens","Texas","Amarillo Botanical Gardens, Amarillo, TX","The year was 1929 when a group of Texas women got together and planted the first gardens that would eventually become the basis for the Amarillo Botanical Gardens. The address is 1400 Streit Dr, Amarillo, TX 79106. What started as multiple garden clubs around the city wound up becoming the Garden Center and in 1968 it was moved to its current location. All of the garden clubs and many volunteers worked to prepare the soil, took cuttings, began seeds and offered plants from their own homes to fill the new Garden Center. The transition to becoming the Amarillo Botanical Gardens began under Executive Director, Jackie Wilson, from 1992-2007. She saw to the expansion of original buildings, a tropical conservatory was built, and programs like Music in the Gardens were begun. The Amarillo Botanical Gardens are open throughout the year. Tuesday through Friday the hours are from 9:00 am to 5:00 pm, Saturday from 9:00 am to 3:00 pm and Sunday, Monday and Holidays they are closed. Hours can vary in the summer so call before heading to the gardens. Winter hours are Tuesday through Friday from 9:00 am to 5:00 pm. The gardens are closed Saturday, Sunday, Monday and Holidays in the winter. Leashed dogs may enter the gardens as long as they are supervised and any accidents are cleaned promptly. Membership to the Amarillo Botanical Gardens is thirty dollars a year for individuals and sixty five dollars a year for a family of four. Members receive unlimited admission to the gardens at regular business hours, free admission to most events and exhibitions, the quarterly newsletter, GardenTalk, and early registration for classes and lectures. The gift shop at the Amarillo Botanical Gardens sells beautiful tote bags, interesting jewelry, stained glass jewelry boxes, sun catchers, floral note cards, butterfly wind chimes, and bird feeders. Check at the gardens for hours of the gift shop. Guests at the gardens can make an appointment for guided docent tours at least one week prior to the scheduled tour. There is no extra charge for a guided docent tour; it comes with the gate admission. There is a plethora of exotic plants in the newly constructed tropical conservatory. There are four acres of land that are planted in seasonal landscapes. The gardens are planted in outdoor themed gardens such as Japanese, fragrant, xeric and butterfly gardens. The gardens sponsor seasonal events and special exhibits. Amarillo Botanical Gardens offer rental space for private parties, business events, conferences and many other events. Guests can rent an outdoor space in one of the seasonal planting and container gardens. Small groups of fifty or less can use the Entry Court for an event. The Event Lawn is especially nice for weddings because it is surrounded by themed gardens and ample shade trees. This area can accommodate up to one hundred and fifty guests. The amphitheater space provides a patio and tiered grass steps; this area can seat up to two hundred guests. The Gallery provides an indoor arena for small receptions of up to seventy people and seating for thirty."
