Name,State,Title,Description
"25th Street Historic District","Utah","25th Street Historic District - Ogden, Utah - District Featuring Shops, Restaurants and Entertainment","25th Street Historic District is located in Ogden, Utah and occupies three blocks from Wall Avenue to Washington Avenue, with Lincoln and Grant Avenues transecting. The street features restaurants, art galleries, shops and various events throughout the year. Ogden Municipal Building and the Federal Courthouse are also located in 25th Street. Many stores are located here including five boutiques and a jewelry shop called R.Goldworks. The five boutiques featured here are Austin Accents, Color Me Mine, Making Scents, Ume' Design and Slavy Ageless Fashion Boutique. Visitors can receive some pampering at Salon Bela where they offer facials, waxing, manicures and pedicures. Other specialty stores are located at 25th Street including Bingham Cyclery, which sells bikes as well as other accessories. Stores selling items for the home include Instile Rail, which provides design, install and build services for the home, whilst IndigoSage Furniture Gallery is a furniture showroom. Amer Sports Winter and Outdoor Americas sells sports gear and equipment including skiing items and is open Monday to Friday from 8am to 5pm. There are a number of bars and restaurants featured at 25th Street including 360 Cafy and Catering, Artisan Grille, Athenian Restaurant, Bistro 258, Tona Sushi Bar and Grill and Union Grill. Anyone looking for drinks as well as food can try Jasoh's Prime and Beer, which offers amongst other drinks artisan crafted beer or Roosters Brewing Company where over 26 unique beers are brewed. Shoppers just looking for short break between stores can enjoy a hot drink at Grounds For Coffee. Many people come to 25th Street for entertainment and there are several options available here such as Brewskis, which serves food and drinks and has music, a game room and large TV screens for visitors watch live sports. Downtown Ogden Inc has live music, comedy and farmer's markets and opens from 9am to 5pm, whilst Peery's Egyptian Theater is a performing arts and movie theater. Visitors looking for a few laughs can try Wiseguys Comedy Cafy, which features stand up acts on Friday and Saturday from 8pm and 10pm. There are plenty of places to visit here for people interested in art and antiques including Artists and Heirlooms Gallery, which opens Monday to Saturday 11am to 6pm. Fine Arts Gallery & Custom Framing offers creative framing as well as digital photographic restoration, giclee printmaking and large format printing. Other galleries and art stores here include Gallery 25 Fine Art, Ogden Arts and Ogden Blue, which offers art classes as well. Visitors to the area generally rate 25th Street very highly admiring the variety of places to visit here as well as some of the historic old buildings. There are numerous places to stay within just a mile and half of this historic district including Courtyard Inn, Ben Lomond Historic Suite Hotel and Hampton Inn and Suites. Whilst in Ogden visitors may wish to visit other nearby attractions such as Treehouse Children's Museum, Union Station and Hill Air Force Base Museum."
"Alta Ski Resort","Utah","Alta Ski Resort - Alta, Utah - Skiing, no snowboarding, Lodge","Alta is a ski area in the Wasatch Mountains east of Salt Lake City, Utah. One of the oldest ski resorts in the country, Alta opened its first lift in 1939. Located at the top of Little Cottonwood Canyon, Alta promises beautiful scenery and panoramic views from its slopes. This resort takes skiing seriously with not a lot of frills, just really great snow. The resort has two ski-in ski-out restaurants and a rental shop. Snowboarding is not permitted here. With a variety of terrain and snow conditions, there are skiing opportunities for every level of skier, including beginners. Families can enjoy the slopes together no matter the ability or expertise. Alta has teamed up with Snowbird Ski and Summer Resort to enable skiers to have access to double the terrain. Alta is located 25 miles southeast of Salt Lake City at the top of Little Cottonwood Canyon. On State Highway 210, the drive from Salt Lake International Airport takes approximately 45 minutes. Alta Ski Resort Statistics: Annual snow fall - 514 inches Skiable acres - 2,200 Base elevation - 8,530 feet Rising to - 10,550 feet Vertical gain - 2,020 feet Runs - 116 plus Ski Area is open daily - 9:15am to 4:30pm Cecret and Supreme Lifts - Close at 4:00pm All other Lifts - Open to 4:30pm Afternoon Passes are valid - from 1:00pm - 4:30pm Beginner - 25% Intermediate - 40% Advanced - 35% Special programs - Ski Free after 3 Snowboarders - No Ticket system - Axess RFID electronic lift ticket system Lifts - 2 detachable quad chairs, 2 triple chairs, 3 double chairs, and 5 surface tows Lodging - yes, Alta Lodge Alta has embraced snowmaking in order to open earlier in the season, and retain good skiable conditions in drier years. With the ticket system used by Alta, eventually users will be able to track their vertical and lift ride data online and purchase Alta Cards using ticket vending machines. Located on the mountain for ski in/ski out convenience, Alta Lodge is Alta's first ski lodge. With Snowbird just a mile away, guests ski the best of Little Cottonwood Canyon's powder with the Alta-Snowbird combined ski pass. During the summer season, the wildflowers and high peaks can be enjoyed in the cool mountain air of the Wasatch Mountains. The lodge specializes in arrangements for groups. They have facilities for everything from a romantic wedding to a business meeting or conference. One May 2009 reviewer said, Skied here for a week at end of March and ended up skiing IN the best powder we have ever experienced. Everything about this resort is lovely - no queues, lovely and friendly staff everywhere, no snowboarders (!!!!) and dreamy white stuff. This is our favorite ski destination in the world. We loved the hot chocolates at Alf's Restaurant, and the fact that you can park right next to the first chairlift was great - especially at the end of a long day. The road up was great and felt safe even when driving in the snow.'' Another reviewer said, I've been skiing since the 60's, and I've been to all the major North American resorts plus a few of Europe's best. Simply put, Alta is the best there is for skiers who want the most and the best snow, and for skiers who want a great variety of serious terrain. I'm okay with snowboarders elsewhere, but whenever I come back to Alta, the snow is so much better; I sometimes wonder why I go anywhere else. The easy access via S.L.C. airport means more skiing and less flying/airport hassles. I usually stay in Sandy and drive up daily.''"
"Angel's Landing","Utah","Angel's Landing - Zion National Park, Utah - Angel's Landing is a Zion National Park hiking trail located in Southern Utah","Angel's Landing, located in Zion National Park was given its name in 1916 by a group of four hikers who were exploring the area. The four hikers, F. Fisher, V Fischer, E. Bingham, C. Hirshi came across a large monolith and one of the hikers, Frederick Fisher exclaimed, only an angel could land on it,'' and eventually the area became known as Angel's Landing. The hiking trail to Angel's Landing, contains twenty-one switchbacks, and is one of the most famous hiking trails in the United States. The trail runs along a thin rock fin, with drop offs on either side; at the end of the trail there is a landing that provides visitors with unsurpassed views in all directions. As one of the most famous landmarks of the Southwestern United States, both advanced mountain climbers as well as the casual tourist frequent the Angel's Landing Trail. The well-maintained trail leading to Angel's Landing is 5 miles long and takes an average of 5 hours to hike. It is a strenuous hike and is only recommended for those who are in good physical shape and health. The Angel's Landing Trail is paved for the first two miles, with most of the trail being in full sun throughout much of the day. The last half-mile of the trail is a narrow sandstone ridge, but there are anchored support chains attached along some sections of the sheer fin. Once visitors reach the summit, they can view several Zion Canyon landmarks including the Virgin River, Big Bend, the Organ, Observation Point Cathedral Mountain, and Cable Mountain. While hiking the trail you'll encounter areas such as Refrigerator Canyon, the Squiggle the Wiggles cutbacks, Cabin Spring, as well as Lava Point. Visitors can access the Angel's Landing Trail all year around, with private vehicles or the shuttle provided by Zion National Park when it is in operation. The best time to visit Angel's Landing is March through October, though it is open all year. Before visiting Angel's Landing during the colder months, it is recommended that you check with the park authorities to ensure that the trail is free of ice and snow. It is also advisable that you avoid hiking this trail during a storm, or if there are high winds present. This trail is not recommended for children or those who are adversely affected by heights. Visitors should stay away from the cliff edges at all times, and be off of the trail by nightfall. The Grotto picnic area is located at the trailhead providing visitors with an area to rest and enjoy the park. Restrooms located at Scout Lookout, the Angels Landing junction, as well as the Grotto Picnic area. Visitors to Zion National Park can obtain maps of the area that include the hiking trail to Angel's Landing."
"Antelope Island State Park","Utah","Antelope Island State Park - Syracuse, Utah - State Park, primitive camping, swimming, marina, hiking, biking, horseback riding","Antelope Island is a seventy five square mile island located in the Great Salt Lake. It is comprised of sand dunes, low mountains, marshes, and grasslands. The state park has a marina, visitor center and restaurant. There are picnic areas with covered pavilions, white sand beaches for swimming, showers and two primitive campgrounds. There is a network of trails for hiking, biking and horseback riding. Bike rentals are available. Wildlife is plentiful, including a herd of bison that roam the island. There are antelope on the island as well. Antelope Island has a great view of the lake and generally has very photogenic sunsets. The physical address of Antelope Island State Park is, 4528 West 1700 South, in Syracuse, Utah. Visitors can reach the park by boat, or drive over a causeway that extends west from the Layton area. As the largest of the Great Salt Lake's ten islands, Antelope Island is part of the Utah State Park System. This island has many recreational options. Including hiking trails, a sailboat arena, white sand beaches for sunbathers and swimmers and plenty of area for picnics and camping. This island is home to a large variety of plants and animals. Antelope can be seen in many areas of the park, but there are also coyotes, bobcats, deer and a variety of birds and waterfowl. The most famous of the islands creatures is the American Bison. With a herd numbering well over six hundred visitors to the park can enjoy a stop at the buffalo corral and management facilities. There is a bison roundup each November. Antelope Island information: Acres - 28,022 Camping - yes, primitive RV - yes, no hookups Marina - yes Beach picnic area - yes Toilets - vault Water - yes, at Bridger Bay Beach on the sides of the beach buildings Showers - yes, at beach area Wildlife - yes, varied, including antelope and a herd of bison Park entrance fee - either per vehicle, or individual for walk-ins and cyclists Camping fee - yes Hours - Visitors' center, restaurant and concessionaire is open in summer from 10 am to 6pm, winter from 10am to 5pm. They are closed Christmas and New Year's Day. Park and camping season - Open year round Elevation - 4,200 to 6,597 feet Summer temperature - 90 degrees plus, nights are cooler Besides the abundant wildlife, this state park is also a historic ranch site. The park is full of photography opportunities, historical significance and an interesting variety of interpretive exhibits. One online reviewer said, It is the most beautiful island I have ever seen. It is the true nature with astonishing view, especially on sunset. Variety of animals and plants. The best is camping. I will spend a week next visit. It is an ideal spiritual land.'' A second reviewer noted, Antelope Island is very close to urban space yet it affords visitors with plenty of natural scenery and abundant flora and fauna. I like the fact that with just a little patience you can identify an average of ten to fifteen different animal species per visit. I have used the island for over 35 yrs. and the improvements continue. Walking, hiking, biking, driving, boating, food, facts, etc. it has it all. A trip NOT to be missed any time of the year.''"
"Bear Lake","Utah","Bear Lake - Garden City, Utah - Resort area, valley, lake, waterskiing, camping, fishing","Bear Lake is a large scenic lake often called The Caribbean of the Rockies for its intense turquoise blue water surrounded by several white, sandy beaches. This lake is nestled in a beautiful rural, historical and recreational setting in the southeast corner of Idaho and the northeast corner of Utah. Often when people refer to Bear Lake, they are talking about the entire area, not just the lake. With all four seasons Bear Lake has a number of recreational and cultural activities available. You can Jet ski or go sailing. There is hunting for deer, moose and elk on its shores. Fish for huge mackinaw or cutthroat trout, or fly-fish for smaller brook and rainbow trout in one of the nearby streams. In the winter you can snowmobile, go snow skiing at two local ski resorts or enjoy the splendor of cross-country skiing. One of the largest natural lakes in the Western United States, forty five miles of paved road surround the lake which provides lots of site seeing and abundant public beach access. The Bear Lake National Wildlife Refuge is located on the North Shore of Bear Lake. This refuge has over 1,760 acres of marsh, open water and grasslands dedicated to preserving bird and wildlife habitats. The reserve is home to sandhill cranes, herons, the snowy egret, white pelicans and a variety of duck species. The Refuge has one of the largest Canadian goose producing areas in the western United States. Walking trails in the refuge allow you to view the birds and other wildlife. Deer and moose are often seen in the area. Here is a list of some of the activities available at the lake: Boating - With over 160 square miles, the resort area is known for excellent boating and water skiing. There are several locations on the water where you can rent boats, wave runners, sailboats, paddle boats, canoes, and kayaks. Scuba Diving - The water on the east side of Bear Lake is over 208 feet deep. The water is clear and there are caverns to explore. Equipment rental is not offered at this location so bring your own gear. Sailing - The winds range from gentle, to challenging from late morning until late afternoon. Camping - There is a variety of public and private campgrounds surrounding the lake. Many are right on the water. From primitive tent only sites to full hookups for RV's, are available. Hiking - Choices range from taking a stroll along the each, or on the paved Bear Lake Scenic trail. There are miles and miles of forested mountain trails. Biking - The Bear Lake Scenic trail covers five miles in the Garden City area. A portion of the trail goes through the center of Garden City where you'll find various gift shops and several options to enjoy one of the famous Bear Lake Raspberry Shakes. Cave Exploring - Minnetonka Cave is a fascinating nine room cave with stalactites, stalagmites, and banded travertine. Take a ninety minute, half mile walk into this beautiful cave, but be prepared for the 400 up and down steps inside. No matter the weather outside, make sure and bring a jacket, since the cave is cool. The cave is located nine miles up St. Charles Canyon. Horseback Riding - Just minutes from lakeside the trails in Logan Canyon wind through the high mountain wilderness area. You can bring your own horses or there are facilities available to rent. Fishing - The Lake is known for the Bear Lake cutthroat trout. Lake trout (Mackinaw) including whitefish also inhabit the lake. Options include trolling and jigging from boats which can be done throughout the year. Bring your own poles and go on your own, or choose and experienced outfitters in Garden City and take a guided tour. ATV's - Bear Lake and the Cache National Forest has hundreds of miles of designated roads and some trails for ATVers. There is even a beach on the North Shore where you can ride your ATV. Entertainment - One popular venue is the Pickleville Playhouse & Western Cookout. With a western cook-out of rib-eye steak, lemon herb chicken, or BBQ roast beef. Then watch a live stage production in Pickleville's historic log theater. Ice Fishing - Is one of the most popular sports at Bear Lake. During normal winters the lake freezes over in January and is known to freeze as much as three feet deep. Snowmobiling - Even the most skilled hill climbers will find something to challenge them in the Bear Lake areas waist deep powder combined with steep mountains. Casual riders will appreciate the hundreds of miles of groomed trails crisscrossing the mountains. Machines can be rented at Beaver Creek Lodge in Logan Canyon. Snow season normally runs from the end of November to mid April. Other Winter Activities included sledding, tubing and cross country skiing. There are ice skating rinks created in the winter months in Garden City and Laketown. When the lake freezes over, ice skating is available on the lake. There are no rental skates available so make sure to bring your own."
"Beaver Mountain","Utah","Beaver Mountain - Logan, Utah - Ski area, skiing, snowboarding, fishing, hiking, camping, RV's, Yurt","Beaver Mountain is a local ski resort with an advertised friendly atmosphere and low prices. Many of the online review sites said it is one of Utah's best-kept secrets. This resort is family-owned, family-operated, and family-oriented. The resort has been open since 1939; this makes it the oldest continuously-owned family ski area in the United States. Beaver Mountain is a smaller mountain resort. It has well maintained slopes with northeastern exposure, which are said to be perfect for catching morning rays. There is a variety of terrain with nearly equal percentages for beginners, intermediate and advanced skiers. Downhill skiing and snowboarding are major winter activities at the resort. There is also cross-country skiing and snowmobile trails nearby. Skiing normally runs from early December through the last weekend of March. The Beav'' holds a season-ending Big Air contest. This contest features jumps and a pond-skimming event. In summer, the Beaver Mountain area is a great destination for fishing, hiking, horseback riding, boating and other activities nearby. There is an RV Park or tent campground. During summer months, families or other groups can rent the lodge and yurt facilities. The lodge is available for Weddings, Reunions, Camps, Retreats, and Conferences Rentals are available for a day or a week from May through October. The R.V. Park has Full Hookups (electricity, water, and sewer). There are picnic tables and fire pits for each site. There are also Ten-Man Tents available to rent. These tents are set up and ready for use with hydrant water, picnic tables, and fire pits. Another option is to rent a yurt. A yurt is a round, canvas, semi-permanent tent. It has a wood floor and beds. Beaver Mountain is twenty seven miles east of Logan, Utah, and twelve miles from Garden City. Situated in the Wasatch Cache National Forest, the resort is one mile off Highway 89 in Logan Canyon. The resort is about 114 miles north of Salt Lake International Airport. Resort Statistics: Open - 9:00am to 4:00pm Ski-able Acres - 664 Skiing - Downhill and Snowboarding Annual Snowfall - 400 inches Vertical Drop - 1,600 feet Base Elevation - 7,200 feet Top Elevation - 8,800 feet Number of Runs - 30 Beginner Terrain - 35% Intermediate Terrain - 40% Advanced Terrain - 25% From a March 2009 online reviewer, For three years I have been visiting my son in Garden City and every year we travel to different resorts in Utah and Wyoming. Finally...I convinced him to take us to The Beav. I can not believe we wasted so much time driving to other resorts! We had a blue bird day with fresh snow. There were no crowds and for the price paid it just does not get any better. We'll be back!!!!!!!!'' Another online reviewer said, I've raised my kids skiing at the Beav. If you are looking for fast lifts and leg busting bumps, this isn't the place for you. If you are looking for some great tree skiing, a place where you can relax with your kids and enjoy skiing the way it was before $70+ lift tickets, this is the perfect spot. You can even afford to buy lunch in the lodge without a second mortgage, and my kids claim the Beav makes the best French fries in the world. The groomers can be a little boring, but with the help of a cheap ski instructor, you can ski the whole day on back country style runs and never see the same spot twice. Ski the Beav!''"
"Best Friends Animal Sanctuary","Utah","Best Friends Animal Sanctuary - Kanab, Utah - Animal Sanctuary, pet adoption, Cabins, cottages, RV sites","On any given day you'll find about 1700 plus dogs, cats, and other animals, at Best Friends Animal Sanctuary. These animals come from shelters and rescue groups around the country to receive the special care they can only get at Best Friends. These are animals with special physical or behavioral needs. The staff at the sanctuary, including veterinarians, trainers and caregivers, provides these animals a safe environment, time to recover and all the medical assistance they require. Many of the animals are ready to go to new homes after a few weeks of special care. A few, those who are too old or too sick, or who have suffered extra trauma, find a permanent home at the sanctuary, and are given loving care for the rest of their lives. The Best Friends Animal Sanctuary offers tours and a place to stay while you extend your visit. Every tour at Best Friends starts at the Welcome Center. There are views of Horse Haven and Angel Canyon, a gift shop and a sundeck for relaxation. The well maintained landscaping and gardens surround the center. Here you'll find a lucky fish pond, hummingbirds, and sign up for one of four daily guided tours. The tours are free, provided seven days a week, and are often full so call ahead to make a reservation. The tours take about one and a half hours and wind through the red-rock landscape of Angel Canyon. This is a big place, and difficult to navigate at first. Visitors cannot go to the animal facilities unaccompanied. If a few hours aren't enough, you can also interact with the sanctuary animals by signing up for volunteer opportunities. There are cabins, cottages and a couple of RV sites on the grounds for rent. The tour includes: One of the Cat buildings One of the Dog buildings Driving by the Horse Pastures The Bunny House Feathered Friends Special tours are available for extended time at the Bunny House, Feathered Friends, and Pot-Bellied Pigs. Tips for visiting: Wear shoes not sandals - they are better for walking in the sand Long pants - to guard against enthusiastic greetings by the dogs and cats Glasses instead of contact lenses - because of the sand Sun block and a hat - for protection from the sun Bottled water - necessary all year in the dry climate No Pets allowed - The Sanctuary doesn't offer any kind of day care for visiting pets, unless you are adopting a pet. In this case you are strongly encouraged to bring other pets with you to the adoption area only. Places to stay: Angel Canyon Guest Cottages - Eight guest cottages near the Welcome Center they include one bedroom, a sitting room and kitchen. Best Friends members receive a discount on nightly rate. Cabins - Smaller than the Cottages, they are conveniently located on sanctuary property. Each studio has one queen-size bed, kitchenette, and a three quarter bath with a shower stall. Members receive a discount on nightly rate. RV Sites - Two fully-equipped RV sites with 50 amp electricity, water, septic tank, 35' concrete platforms and an unobstructed sight line for SAT TV. The sites are not pull-through. You must bring a separate vehicle for transportation. Stays are limited to 14 days. The RV sites are closed from November 1 through March 15. Best Friends Animal Society at Angel Canyon, is located at the heart of the Golden Circle of national parks in southern Utah. The physical address is 5001 Angel Canyon Road in Kanab, Utah. The closest airport is Las Vegas. Driving from Las Vegas takes approximately 4 hours (Remember that Kanab is on Mountain Time, an hour later than Nevada and California.) Take I-15 north from Las Vegas. Drive approximately 6 miles past St. George, Utah and take exit 16 (Hwy 9) into Hurricane. Go approximately 10 miles and turn right at the Main Street traffic light. Go one block and turn left at the 4-way stop onto Hwy 59. Drive approximately 55 miles into Fredonia, Arizona. Turn left (north) at the stop sign onto Highway 89, and drive 7 miles into Kanab. The entrance to Best Friends is about five miles north of Kanab on the east (right) side of Hwy 89. Between the 69 and 70 mile markers, a green highway sign indicates Kanab Canyon. Turn into Kanab Canyon and drive about 1.5 miles to the Welcome Center, which is open from 8:00 a.m. to 5:00 p.m. seven days a week. Best Friends Animal Sanctuary is the inspiration behind a grassroots effort to place dogs and cats that are considered un-adoptable into good homes and to reduce the number of unwanted pets through effective spay and neuter programs. Since they began, the number of dogs and cats being destroyed in shelters in the United States has fallen from over 17 million a year to approximately 5 million a year. One August 2009 reviewer said, A must see for animal lovers & people who watch Dogtown. We took the free tour and had a great time.'' A second 2009 reviewer said, Being in a place where everyone-staff, volunteers and visitors-are there solely for love of animals was a rare, precious experience, especially for someone who has spent a lot of time in poorly managed, politics-ridden city animal shelters. The quiet tranquility and the beauty of Angel Canyon just adds to the peacefulness and spirituality of the place. We stayed in one of the cottages on the property, which I highly recommend because you are right there in the middle of everything. Also, we took one of the dogs for an overnight sleepover, which was also a delicious experience! Very close to major national parks like Zion and Bryce. We didn't make it to Bryce, but Zion is breathtaking and even just the drive from Zion to Kanab is worth it! Overall, an amazing, precious experience that we definitely plan to repeat again in the future.''"
"Best Western Canyonlands Inn","Utah","Best Western Canyonlands Inn","The Best Western Canyonlands Inn is located in Moab, Utah, an international hotel that offers a broad range of accommodations for all types of budgets. Its seventy-seven rooms are fully equipped, making it perfect for holidays, especially for those who enjoy mountain biking and the great outdoors.  The hotel offers free parking and breakfasts to all of its guests, as well as storage for bicycles, a pool and a fitness center. With three floors, the views from the hotel offer beautiful views of the Utah countryside.  Check-ins are at 4pm and check-outs at 11am daily. Being situated in the heart of the city's downtown, the inn-type atmosphere is a welcome change from the fast pace of the city. It is also renowned for catering to disabled people and those in wheelchairs, making it a fun place for golfing and fishing vacations. The hotel has varied meeting rooms, a business center and banqueting facilities. It has an in-house restaurant and is only minutes from local attractions. For business travellers, the hotel provides wake-up services and high-speed Internet. The Best Western Canyonlands Inn is a friendly place where holidays are second to none. With simple decor and pleasures, the hotel is popular with hikers and families. Best of all, its facilities are completely non-smoking, promoting a health and friendly environment for all of its visitors."
"Best Western Capitol Reef Resort","Utah","Best Western Capitol Reef Resort - Torrey, Utah - Motel, garden","One of the closest lodgings to Capitol Reef Park, this Best Western Resort is just one mile from the park entrance. Surrounded by towering red cliffs and deep canyons, the Resort offers lush lawns, beautiful gardens and fountains. There is a heated outdoor pool and hot tub and lighted basketball and tennis courts. You can arrange horseback trail rides, jeep rental, and mountain bike rentals at the Best Western. Onsite there is the Red Cliff restaurant and the sun deck and pool have glass wind barriers and spectacular views. The rooms have either one king-size or two queen-size beds. The minisuites have a king-size bed and a queen-size sofa sleeper, plus a coffeemaker, refrigerator, microwave, and wet bar. The full suites have a separate sitting room for the sofa sleeper, a second TV and telephone, a jetted tub, and patio. Rooms on the back side of the motel have a view of the area's red-rock formations. Located in Torrey, Utah, the physical address of this resort is 2600 East Highway 24. This hotel is close to Highway 12 and the Grand Circle Route. This route is a circular scenic drive to nearby Capitol Reef National Park, Bryce Canyon National Park and several other national parks throughout Utah and Arizona. Best Western Capitol Reef Resort Information: Accommodations - 97 rooms Coffee Maker in Room Parking Pool - outdoor Hot Tub - outdoor Laundry/Valet Services AM/FM Alarm Clock Free Parking Hairdryers - Available Modem Lines in Room Meeting/Banquet Facilities No Smoking Rooms/Facilities Pets Allowed Tennis/basketball court - lighted for night play Television with Cable Restaurant This July 2009 online reviewer said, We stayed at the Best Western in Capital Reef and had a very pleasant stay. There are not many hotels in the area and I had my doubts about staying here, but it was very nice. The room was a spacious, clean, with basic hotel decor - but each room had a porch that faced the red canyon - which was lovely! Capitol Reef park is nearby and I would recommend this hotel if you stay in the area.'' A second online reviewer said, This hotel is located near beautiful Capitol Reef Park. It has a perfect location, but dining here is not recommended. The rooms were clean and the grounds were well taken care of. The rooms are also very quiet.''"
"Best Western Zion Park Inn - Springdale","Utah","Best Western Zion Park Inn - Springdale, Utah + Hotel, Heated Swimming Pool","The mountain lodge style of the Best Western Zion Park Inn is in harmony with the red rock cliffs. The hotel offers cable satellite television with HBO, pay-per-view movies, and Nintendo 64 Game System. The hotel also has a pool, hot tub, and an on-site restaurant, gift shop, liquor store and guest laundry. There is plenty of parking available for cars, trucks, buses and RVs at no charge. Located just off the entrance to Zion Park, the Best Western Zion Park Inn's physical address is 1215 Zion Park Blvd, in Springdale, Utah. The National Park Service shuttle stops at this hotel. Best Western Zion Park Inn Information: Non-smoking Rooms - 104 Rooms for the Physically Challenged - 5 Suites - 6 Check-In - 3:00pm Check-Out - 11:00am Pet Policy - Pets allowed with Restrictions Hot Tub - Outdoor Jetted Tub Rooms - Available Swimming Pool - Outdoor, heated Television - In Room Conference/Meeting Facilities Guest Laundry Service Restaurant on Property Lounge or Bar on Property Kitchenettes Complimentary Coffee Air Conditioning Internet Access Smoking Rooms Available Internet Access - Wireless Wheelchair Accessible Property Basketball Volleyball Badminton Putting Green Gift shop or newsstand 24-hour front desk Free parking, outdoor self parking Hairdryer Iron, ironing board One online reviewer said, Nice place. Great views especially from the Jacuzzi. Pool was warm. Free internet. State liquor store is next door and a tavern with good food. Shuttle picks you up right out front. Everything is clean and went as planned. Not sure about the Switchback restaurant. Didn't try it but looked expensive. After viewing the morning buffet and the price, we walked down to Oscar's and had a great breakfast. One minor issue was that no one answered some general questions to help in our travels. They just kept saying to reserve our room right away. They did have some rooms left the day we were there but they soon booked up.'' An August 2009 reviewer said, The BW Zion Park Inn is really the best, Best Western hotel I ever stayed in. Fantastic welcome at check-in, great rooms, nice pool. Ours were located by the pool, with a wonderful view on Zion rocks. Great value for the money in a fantastic surrounding. From the hotel, take the bus shuttle to Zion NP. The breakfast is served at the Switchback restaurant, 200m from the lobby. Very good buffet. Stay there for a couple of days, you'll enjoy it!'' Bumbleberry Inn - Springdale, Utah - Hotel, Theater, The Bumbleberry Inn is famous for...Bumbleberries. Pie, pancakes, syrup, the restaurant serves them all. This Inn is at the mouth of Zion Canyon. There is an onsite playhouse that offers live theater. Centrally located, the Inn is within one block of a gas station, gift shops, ice cream parlor, etc. Bumbleberry Inn is located in the heart of Springdale, set back off the road where it is quiet and peaceful. The physical address is 97 Bumbleberry Lane in Springdale, Utah. Bumbleberry Inn Information: Fireplace In Rooms - Available Fitness Center Hot Tub - Indoor Jetted Tub Rooms - Available Swimming Pool - Outdoor Television in Room DVD in Room Conference/Meeting Facilities Restaurant on Property Complimentary Coffee Internet Access - Wireless Air Conditioning Wheelchair Accessible Property Pets Allowed This July 2009 reviewer said, Our room was clean and the beds comfortable. There were a couple of things that may sound minor but it was kind of a big deal to me. We stayed for three nights in early July and decided we would take advantage of the frig and microwave in our room and make some quick meals ourselves. (Eating establishments in Springdale are expensive.) There was only one small trash can in the bathroom. Two times during our stay we had to pack up trash and throw it in the dumpster ourselves. This was really irritating to me. I figured they should have a trash can near the microwave. I should have asked management for another trash can but we were so busy I forgot. Walls were a little thin. Not horribly though, a few times I heard taking from the adjacent room but I guess I was fortunate that they did not keep late hours. Free Wi-Fi was good for my teenage daughter. The location was excellent being practically in the center of town and close to the shuttle stop. Overall was a good stay just irritated with the trash situation.'' Another online reviewer from July 2009 said, We drove into Springdale anxious because we hadn't made reservation anywhere and it was HOT! And we were tired. Saw the Bumbleberry Inn from the road, pulled in and lucked into a fantastic place. Reasonably priced, large clean homey room. But then we saw the balcony and the view! Spent two perfect evenings with takeout dinner and a bottle of wine watching the sun set on the mountainside. Perfection!''"
