Name,State,Title,Description
"American Precision Museum, VT","Vermont","American Precision Museum, VT","This unique museum located in Windsor, Vermont at 196 Main Street honors the individuals that helped produce some of the foremost machinery ever used. The museum is in the Robbins & Lawrence Armory and has displayed the largest collection of machine tools in the country. They have many exhibits that showcase muskets and the ever popular motor car. The museum is open every day from 10:00 am to 5:00 pm beginning in May and running through the end of October. The precision of the machinery that was invented helped to create the industrial revolution that propelled the United States forward into mass production. Members of the American Precision Museum can tour the exhibits for free. Adults are six dollars, students are four dollars, children under six are free and families can visit for eighteen dollars. If there is going to be a school or group tour the fees are four dollars for adults and two dollars for students. Windsor is on Route 5 between exits eight and nine off I-91. The museum is at the south end of Windsor by the intersection of Main and Union/Bridge Streets. They have made the museum handicapped accessible and the museum shops and restrooms are too. There are many areas of American Precision that are on display at the museum. They include mass communication and rapid transportation. Other areas that were impacted by these inventions include areas of sanitation and medical care, an array of food and clothes as well as leisure. Many of the tools and methods that were invented were created at the Robbins & Lawrence Armory. They made the precision wood cutting and metal cutting machines that started a new way of manufacturing in America. The armory became a museum in 1966 with the help of Windsor native, Edwin A. Battison. It is operated as a non- profit organization and is run with a volunteer Board of Trustees. Some of the exhibits that have been part of the museum include Doodles, Drafts and Designs, a traveling exhibit organized by the Smithsonian Institution; The Cutting Edge: Machines that Shape our World included airplane parts, shopping carts, computer chips, paper clips and many other interchangeable parts; The Mechanization of Woodworking featured hand tools, woodworking machine tools, engravings and patent drawings. Exhibits that a visitor could see today might include: machine tools, measuring devices, firearms, sewing machines, typewriters, and many working models by John Aschauer. The museum gift shop has DVD's, books, hats, t-shirts and mugs. Some book titles that visitors can find at the museum shop would be 1800 Mechanical Movements, Devices and Appliances, The Tricks & Secrets of Old Time Machinists, Automobiles 1913 - 1915 and Tool Builders. Teachers can get educational help from the American Precision Museum. There is one kit that is for grades 7 - 12 that tells about the Industrial Revolution. It has many activities, photos, artifacts, documents, books, CD's, a video and lesson plans. They have broken the kit into four parts with a teacher's guide."
"Basin Harbor Club","Vermont","Basin Harbor Club","Basin Harbor Club is a resort located on Lake Champlain in Vergennes, Vermont. They offer visitors a place to relax and enjoy a range of amenities to keep visitors entertained and comfortable during their stay. The resort also welcomes the family pet allowing the whole family to enjoy a vacation together.   Activities available for guests to participate in at the resort and on the lake include golf, tennis and hikes. There are also chocolate or wine classes and of an evening guests can sit around the bonfires and have s'mores. The resort also has the option to host weddings or large gatherings on their grounds. Guests have a variety of choices when it comes to room accommodation; there are historic guesthouses, 74 cottages which range from 1 to 3 bedrooms and views of either the gardens or the golf course. There are also 28 rooms and 14 suites available in the four guesthouses which have the conveniences of a country inn, or The Lodge which has 15 rooms, the Main Dining Room, the Concierge desk and the Breezeway Gift Shop. Guests could also choose from The Champlain House, The Harbor Homestead and The Summit which has a studio set up with either one, two or three bedroom combinations available. Dining is available in the Main Dining Room which is open for an elegant dinner, working lunch or a picnic-style meal. Guests can also choose to dine at the casual Red Mill restaurant or enjoy a meal on the Homestead Lawn on the water in the summer months. During the summer months the resort hosts a Kid's Camp which keeps the kids busy with a range of activities such as swimming, arts and crafts, sports and hiking, many kids also develop life long friendships during this camp time. There are also many activities available for the adult guests at the resort, they could sit and relax on one of the Adirondack chairs in the gardens, or get up and get out and enjoy the many outdoor activities such as hiking or swimming. The resort also features an 18-hole championship golf course where guests will enjoy a game through beautiful scenery and also spot the local wildlife. Whatever a guests wishes on their vacation be it rest and relaxation or fun outdoor activities the staff at Basin Harbor Club and resort will ensure that each guest is happy, comfortable and will return year after year for their family vacation."
"Bennington Battle Monument is a 306 foot monument for the Battle of Bennington in the Revolutionary War","Vermont","Bennington Battle Monument is a 306 foot monument for the Battle of Bennington in the Revolutionary War","The Bennington Battle Monument is located in Bennington, Vermont and is a 306 foot stone obelisk constructions that commemorates the Battle of Bennington during the Revolutionary War. The Battle of Bennington actually occurred 10 miles away in New York and the battle site is a National Historic Landmark and the monument is a Vermont State Historic site. A local historical society began planning for the monument in 1877 with many different design options. The committee approved J Phillip Rinns design with some changes. The cornerstone was laid in 1887 and complete in 1889. The monument is constructed form Sandy Hill Dolomite from Hudson Falls, New York, blue-gray magnesium limestone, which contains fossils. The dedication ceremony was delayed until 1891 with a reception held by President Benjamin Harrison. The observatory level, which is at 200 feet, can be reached by elevator, allowing visitors to view Vermont, New York and Massachusetts. The monument is the tallest man-man structure in Vermont and the kettle, which was captured during the battle is visible in the monument along with a diorama of the second engagement and how the monument was built. Other statues at the site include John Stark - `Live free or die' and Seth Warner who was commander of the Green Mountain boys and let them to defeat the British Forces. The ownership of the monument was transferred in 1952 from the Bennington Monument Association to the Vermont Board of Historic sites. A gift shop is located at the monument, which offers a selection of battle related items, which are indicative of the social, geographical and economic factors. These items include novelty items, paper-weights, books and clothing. The monument is lit from dusk on special evenings and Friday and Saturday nights. Other evenings include; Martin Luther King's Birthday, Presidents Day, St. Patrick's Day, Easter, Mothers and Fathers Day, Independence and Memorial Day, Bennington Battle Weekend, Flag Day, Labor Day, Halloween, Thanksgiving, Hanukkah, Christmas and New Year's."
"Burke Mountain was named after British statesman Edmund Burke","Vermont","Burke Mountain was named after British statesman Edmund Burke","Burke Mountain is located in the `Northeast Kingdom' of Vermont. The majority of the mountains are located in Caledonia County, yet the southeast side of the mountain is located in Essex County. The mountain is named after British statesman Edmund Burke and is flanked to the east by Umpire Mountain. The average snowfall each year on the mountain is 217 inches. Activities on the mountain include skiing, hiking with dining and lodging available. The ski area was developed on the northwest slopes of the mountain within the Darling State Forest Park of Victory State Forest. The Burke Mountain Academy is also located here. There are 45 ski trails throughout 250 acres of terrain along with a vertical drop of 2,011 feet. The mountain has around 80% snow coverage with the ski trails percentage calculated at 25% novice trails, 45% intermediate trails and 30% expert trails. A paved road is on the mountain with parking available at the top of the ski lift. From the parking lot there are two hiking trails to the summit. The first is narrow, zigzag trail with lookout points to allow hikers the chance to view the surrounding area. The second trail leads to a continuation of the paved road, which then leads to the mountain summit along with the first trail, where a tower is located, visitors are able to climb the summit by a metal staircase. Dining at the mountain is available at Tamarack Grill, which is located at the base of the mountain. This restaurant offers casual dining with a picturesque setting creating an atmosphere to enjoy good food with family and friends. Tamarack Grill is open for dinner from Thursday-Sunday and lunch on Saturday and Sunday, an appetizer menu is available on Saturday and Sunday afternoons. During ski season the Kingdom Cafy is open seven days a week for breakfast and lunch along with a variety of snacks and beverages available for all visitors to the mountain. The Bear Den Lounge is a full service bar located at the Mid Burke Lodge, the lounge offers soups with grilled Panini's, breakfast, and sandwiches and pizza night each Wednesday along with live entertainment. During holiday periods the Mid Burke Cafeteria is open on Saturday and Sunday. There are many accommodation options at Burke Mountain, which offer ski and stay packaged, group discounts in many different styles such as a simple motel or a bed and breakfast. Accommodation options include Burke Slope side lodging, which offers condos and private homes, Bear Path Luxury Slope side Townhomes are 3 & 4 bedroom condo townhouses full of amenities. Burke Vacation Rentals are able to suit guests with the property that is right for their situation; Burke Mountain Rentals have ski-in/ski-out options and is complete with radiant floor heat. Comfort Inn & Suites offer overnight accommodation and was ranked at number one Comfort Inn in the world in 2003. If guests wish to bring their beloved dog with them, Pine Crest Motel and Cabins are a dog friendly establishment with motel room style accommodation available or four rustic cabins during the winter season."
"Castle Hill Resort and Spa","Vermont","Castle Hill Resort and Spa","Those traveling to the towns of Cavendish or Ludlow can stay at the Castle Hill Resort and Spa. The resort is near ski trails, shopping and find dining. Guests can enjoy the amenities of the hotel, including a full-service spa. The town is filled with restaurant, quaint boutiques, outdoor summer concerts, church bazaars, community suppers and other old time, charming community events. Visitors will enjoy driving to the areas covered bridge collection, museums and stores featuring the arts and crafts of local residents. Attractions in the area include the former boyhood home of President Calvin Coolidge, the Okemo State Forest Buttermilk Falls, the Black River Academy Music, the Weston Playhouse Theatre Company and the Fletcher Farm School for the Arts and Crafts, offering crating education at an affordable cost to the public. Guests can dine onsite at the Sweet Brier Restaurant, offering continental breakfast buffets, light fare and full hot breakfast. This is the ideal restaurant for those skiing early in the morning or heading out on the slopes later in the day because you can stock up on warm, hearty foods. Area restaurants offsite from the hotel include Sam's Steak House, Bella Luna, Tacos Tacos, Killarney's, Chef Mei, DJ's, Panarello's and the Art of Chicken. The resort is a popular destination for weddings and can accommodate up to 250 people at a seated ceremony and reception. "
"Church Street Marketplace","Vermont","Church Street Marketplace - Burlington, Vermont - Award-Winning Shopping Mall and District in Downtown Burlington","The Church Street Marketplace is an award-winning shopping district in downtown Burlington, Vermont. With an open air shopping mall, historical architecture, year-round festivals, concert music, a wide variety of dining and shopping venues, street entertainers and nooks to explore to get away from it all, this place has everything a person could want and then some. The concept of Market Street and Church Street originated in 1958 as part of a series of discussions of urban renewal. During the summer of 1971, a one day street fair trial was conducted in four blocks of Church Street, and approximately 15,000 people attended. Successful Street Fair was taken as a demonstration of the feasibility of a mall. In late 1971, Patrick Robins, president of downtown Burlington Development Association and local architect Bill Truex (then president of the City Planning Commission) recognized the potential of the mall. With his guidance, a second week-long street fair is held along Church Street in the summer of 1972. Traffic was diverted from four blocks from the Church of the street parallel to the street, transit has been added for the week and short-term physical changes (such as adding trees, benches, and booths) were conducted in the street. The merchants were allowed full use of the product display area for retail and special events were planned. An estimated 50,000 people attended during the week. A design for the church of the street was discovered in March 1978, covering a two-tier scheme, with a lower level below the street level, connecting the adjacent buildings through their basements. The lowest level to add 80,000 square meters of commercial space to the total of the city without the new construction, and provide 20,000 square feet of city-owned retail space. In March 1979, the City sponsored panel discussions and local residents and traders responded negatively to the idea of a two-level mall. The Steering Committee decided to eliminate the two-tier scheme, and a new plan was conceived. The new plan includes what the street level to sidewalk level, resurfacing the street with brick, adding canopies and shelters, the closure of the street cars in the two central, and implementation of downtown bus cycle to allow buses to cross Church Street into two intersections. The overall plan was approved by the voters of the city that year. The Courtyard Burlington Harbor is located just steps from Lake Champlain, Burlington Town Center, Market and Church Street. Right in the center of this area, the hotel is ideal for business or pleasure. Spacious rooms, a hot breakfast buffet, swimming pool, bath tub, fitness center, high speed internet, flat screen high definition television, current films and a business center all combine to make the port of Burlington Courtyard the place of choice for accommodation needs. During a stay in the port of Burlington Patio, it is necessary to visit Ben and Jerry's, Vermont Teddy Bear Factory, ECHO on the Lake, Shelburne Museum and Shelburne Farms. Over the summer celebrate the 400th anniversary of Lake Champlain, as there are many special events scheduled throughout the summer. Stroll along the path Burlington bike 8 miles, as it wanders along the Burlington waterfront."
"Comfort Inn & Suites","Vermont","Comfort Inn & Suites","Those who enjoy skiing can stay at the Comfort Inn and Suites in Saint Johnsbury, Vermont. The inn is surrounded by snowcapped mountains and scenic views. Guestrooms at the inn feature high-speed Internet access, coffee makers, hair dryers, mini refrigerators, ironing equipment, pay-per-view movies and Nintendo game systems, separate living and sleeping areas, workstations, queen or king beds and sleeper sofas. The inn offers accommodations that are right for romantic weekends for couples, family ski vacations and even special events. Hotel amenities include a whirlpool, a sauna, a heated indoor pool, a fitness center with treadmills, stationary bikes and a stair machine, a video arcade, guests laundry and concierge services. Family travelers will love the amenities for kids including an air hockey table, video game machines, pinball and billiards. Guests can enjoy a deluxe continental breakfast each morning of their stay, served in the lobby area and featuring 100% organic Vermont maple syrup, hot oatmeal, hard boiled eggs, waffles, cold cereal, coffee, milk, tea and juice. The inn offers information, discount coupons and guides for the local ski establishments in the area. While guests can visit the Comfort Inn and Suites for a variety of reasons, skiing is one of the most popular activities in Vermont, so be prepared to hit the slopes. The hotel offers more than 1,100 square feet of event space capable of accommodating up to 100 people for special events and parties. "
"Comfort Inn & Suites South Burlington","Vermont","Comfort Inn & Suites South Burlington","Comfort Inn & Suites South Burlington is located at Dorset Street in South Burlington, Vermont and is less than hour from the border with Canada. The no smoking hotel offers four different room types; King Studio Suites, King Standard Suites; Double Queen Suites and One Bedroom Suites. Rooms are furnished with a TV, multiple phone lines, voice mail, free high speed internet access, refrigerator, microwave, coffee maker, hair dryer and ironing facilities.  The hotel offers various facilities outside too including a pool open seasonally and a picnic area for guests to enjoy a packed lunch. There are many restaurants located conveniently near to the hotel including Applebees, Friendly's and Al's French Fries. Various services are offered here too such as valet cleaning, complimentary newspapers, laundry, overnight parking and free air transportation. Business travelers will have access to fax machines and printers as well high speed internet. The on-site meeting facilities can accommodate up to 30 people for banquets, events and business functions. The hotel is located just one mile from downtown Burlington and the Church Street Market Place. Other attractions nearby include Shelburne Museum, Vermont Teddy Bear Factory Tours and Flynn Center for the Performing Arts."
"Courtyard by Marriott Burlington Harbor","Vermont","Courtyard by Marriott Burlington Harbor","The Courtyard by Marriott Burlington Harbor offers comfortable accommodations just a short distance from Lake Champlain. Guests are close to the Burlington Town Center and can enjoy many area attractions and events including the Maritime Festival, the Champlain Valley Fair and the Vermont City Marathon. There are eight miles worth of walking and hiking trails nearby for hotel guests to explore the area and its natural surroundings. All of the guestrooms at the Courtyard are non-smoking and feature terrific views of Lake Champlain and the Adirondack Mountains, high-speed Internet access, large workspaces with ergonomic chairs and flat panel, high-definition televisions. Guests enjoy access to an onsite fitness center with free weights and cardiovascular equipment, as well as an indoor swimming pool and whirlpool. Guests can enjoy onsite dining at the Harbor Lounge, open for breakfast and dinner and serving a menu of hamburgers, chicken wings, grilled salmon and early morning favorites like pancakes and eggs. The Park Café is another onsite option and features a menu of American favorites for breakfast in a casual buffet style setting. Attractions in the local area include the Stowe Ski Resort, Shelburne Farms, the Church Street Marketplace, the Echo Center at the Leahy Center for Lake Champlain, the Vermont Teddy Bear Museum, the Ben and Jerry's Factory, the Birds of Vermont exhibit and the Shelburne Museum. "
"ECHO Lake Aquarium and Science Center","Vermont","ECHO Lake Aquarium and Science Center - Burlington, Vermont - A Hands-On Exhibit in Ecology, History and the Stewardship of Lake Champlain","In 2003 the Lake Champlain Basin Science Center was rebuilt and renamed the ECHO Lake Aquarium and Science Center located at the Leahy Center for Lake Champlain. The name ECHO is an acronym standing for ecology, culture, history and opportunity for the stewardship of Lake Champlain. Visitors are welcomed into a world of exhibits and experiences that display Lake Champlain and its watershed. The exhibits at ECHO are ever changing. There are permanent exhibits on display but most of the exhibits change periodically. A schedule of upcoming exhibits is updated on the center's website. Some of the popular permanent exhibits include Frog World - a showcase of 15 different frog species from six different continents, the Burlington Waterfront - provides insight and history of the area, Contraptions - one of the newest exhibits at ECHO that provides a unique fusion of art and science where visitors can explore gadgets, gizmos and the roots of inventions. A large resource room is also open to visitors to ask questions and look at hands-on exhibits. Here visitors will find videos, books, research reports, DVDs and a children's book nook. There is also school curricula for teachers and home-schooling parents to browse through for inspiration. Computer stations with internet access are also available to viewers. ECHO is located on One College Street in Burlington, Vermont and can be accessed via automobile from Interstate 89 North or South by exit 14 west toward Burlington. The science center has ample parking at a rate of $8 for full day parking and $4 for ECHO members. The center is open year round from 10 am to 5 pm and closed on Thanksgiving, Christmas Eve and Christmas day. Paid admission allows visitors to come and go as they please and as many times until closing time that same day. Admission rates to the aquarium and science center are free to members and children ages 2 and younger. Adult non-members are $9.50, seniors age 60 and up are $8.50, college students with college identification are also $8.50 and children ages 3-17 are $7.50 each. Many locals of the area become members to this center because of the free rate. A membership fee of $35 is required for a single adult or one child, $60 for dual couple or one adult and one child), and $100 for a small family. The membership fee includes free admittance to the center each and every time as well as inexpensive $4 parking rates. The facility can be rented for special events and parties. The facility has a popular lakefront location and views of the Adirondacks which make the venue a great wedding reception hall. There are three floors filled with aquariums, ample indoor and outdoor space suitable for dining, dancing and ceremonies. The science center is becoming more and more popular due to its prime location."
