Name,State,Title,Description
"200 South Street Inn","Virginia","200 South Street Inn - Charlottesville, Virginia - Two Building Inn","200 South Street Inn is a hotel situated at South Street in Charlottesville, Virginia. The property is approximately 15 miles from Charlottesville Airport, and has a private lot located between the two yellow houses that make up the inn. Taxi and car rental car services are available at the airport and the AMTRAK station is just a few blocks away from the inn. The inn is a combination of two restored houses with the larger house built in 1856 for Thomas Jefferson Werenbaker, who was the son of a close friend of Thomas Jefferson. Prior to becoming an inn in 1986, the building was a private residence for many years before it became a girls' finishing school, brothel and boarding house. A scrapbook in the library provides pictures of the construction and renovation of the Inn as well as two scrapbooks showing the Inn's antiques and information about each piece. The inn has 16 guest rooms and three suites with varying sizes, bed types and amenities including the grand suite on the main floor, which features a bedroom with a queen canopy bed and fireplace, a sitting room with another fireplace and queen-size pullout couch. Suite 24 sits on the second floor of the cottage and contains a queen four poster bed and a fireplace in the bedroom, as well as a sitting room with a queen-size pullout couch. Also on the second floor is suite 9, which has one of the largest bedrooms at the cottage with a king four poster bed and fireplace, as well as a sitting room with a queen pull-out sofa bed. There is no dining available on site at the inn but the staff is happy to make reservations and recommend restaurants in the area. Of the recommended restaurants, The C & O Restaurant is a French bistro, The Downtown Grill is a steakhouse and The South Street Brewery is an ideal location for food and good beer. There are many more restaurants in Charlottesville and it is recommend for guests to pick up a free C-Ville Weekly. There are many shops, bars, restaurants and visitor attractions in Charlottesville, many of which are located very close by including the downtown pedestrian mall connected to the Omni Charlottesville hotel. Interesting places to visit nearby include the Farmer's Market, which is held directly opposite the inn between April and October. Special events are held throughout the year including the free concert series at the downtown mall each Friday in summer, which is just a short walk from the inn. Approximately a third of a mile away is Migration an art gallery showcasing sculptures, etchings, photography and other things produced by artists from across the U.S. Other interesting places to visit nearby include the Virginia Discovery Museum and the University of Virginia Art Museum. Monticello, the home of Thomas Jefferson is just four miles away, or if guests are looking for some family fun there is the Charlottesville Ice Park near the pedestrian mall."
"Abby Aldrich Rockefeller Folk Art Museum","Virginia","Abby Aldrich Rockefeller Folk Art Museum, Williamsburg, Virginia: American Folk Art from Colonial Times Until Today","  The Colonial Williamsburg area of Virginia is well-known for many of its historic attractions that bring both tourists and scholars to the town. A lesser known Williamsburg attraction is the Abby Aldrich Rockefeller Folk Art Museum . Located at 325 West Francis Street, the museum features an ever changing series of exhibitions with works drawn both from the museum's own extensive permanent collection as well as from other sources. Folk musical instruments are the highlight of one of the permanent exhibits. Banjos, fiddles and other instruments, dating from as early as the late 1800's, are highlighted in this exhibit.  Other permanent exhibits include painted furniture and stoneware. There is also an exhibit that is meant to serve as an introduction to American folk art. For families, the museum offers an exhibit that was planned with young visitors in mind. The Down on the Farm'' exhibits features many important pieces of folk art, including weather vanes and wooden horses, and the pieces are viewed by guests as the story of Prince, a wooden dog, unfolds. Another popular permanent exhibit is We The People: Three Centuries of Folk Art Portraits. This exhibit explores how folk art portraits have changed over time. In addition to the permanent exhibits, the museum offers a wide variety of changing exhibits. These have included Scenes of Every Day Life: The Drawings of Lewis Miller, Seeing Stars in American Bedcovers, which features quilts and other bedding with a star as a dominant design element and Sidewalks to Rooftops: Outdoor Folk Art, which features weather vanes, signs, carousel animals and marine carvings. The museum, which is named for the wife of John D. Rockefeller, Jr. was built in 1957.  Abby Aldrich Rockefeller was a lover of many kinds of art. In 1929, she was one of three co-founders of New York's Museum of Modern Art . Upon her death in 1948, she left her collection of folk art to Colonial Williamsburg. In 1957, her husband had the museum built as a memorial to his wife . The museum also offers a daily 30-minute program that is meant to teach visitors the basics of folk art as well as show how much the museum's collections have grown since the time it first opened. Admission to the museum is included in the Colonial Williamsburg general admission passes, or admission to the museum can be purchased separately. Because there are many other museums and things to see and do in Colonial Williamsburg, visitors may want to plan on more than one day to be able to see it all."
"Amazement Square, Lynchburg, Virginia, A Hands-On Children's Museum","Virginia","Amazement Square, Lynchburg, Virginia, A Hands-On Children's Museum","  In 2001 a children's museum opened in Lynchburg, Virginia. Housed in a civil war era building, Amazement Square, The Rightmire Children's Museum aims to help children learn through hands-on interaction and play. The 29,000 square foot building that houses the museum has in the past served as a grocery store, a warehouse and an infirmary for the Confederate Army. The museum, located at 27 Ninth Street, has won several prestigious awards including two Museums of America'' awards presented by the Institute of Museum and Library Science. The exhibits are many and cover a variety of interests. There is also some good old-fashioned playing to be done at the museum. The Amazement Tower is an indoor climbing feature that includes zip lines, slides, ladders and tunnels. It spans the entire four floors of the museum making it the tallest climbing feature in the United States. Below is a description of some of the permanent exhibits that can be found at Amazement Square. Visitors can get a look into every aspect of planning, designing and erecting new buildings. Vocations such as architect, building planner and construction worker are also explored. Visit a recreated village of the Monacan Nation. Explore what daily life is like in such a village and get a taste of what it might be like to be an archaeologist where guests can participate in the dig'' which mimics a real dig site. This exhibit encourages visitors to learn as much as they can about the various systems of the human body.  The exhibit further aims to teach how choices can have either a positive or a negative effect on the health of the body. This space is filled with craft supplies where children can create their own pieces of art while getting tips from one of the artists in residence''. This exhibit was designed with the youngest museum visitors in mind. Toddlers will learn about farm life and even have the chance to milk'' a life size (pretend) cow. This is the science gallery of the museum and it allows visitors to explore electricity, gravity and other scientific principles. In addition to the permanent exhibits, there are also a variety of changing exhibits. Past exhibits have included Ancient Egypt: Life & Afterlife on the Nile and Discover Silver which explored how silver has been used in the United States throughout the years. There are also special programs offered throughout the year including group sleepovers where groups can spend the night in the museum while enjoying a theme that you select. Sleepover themes include Air & Space, Art in Action and Animal Safari. Sometimes the hours are altered for a special event, so it is a good idea to check the museum's schedule, as well as current exhibits, when planning a visit."
"Apple Blossom Mall","Virginia","Apple Blossom Mall - Winchester, VA - a family mall offering a diverse selection of shops and services","The Apple Blossom Mall which is a total of 442,000 square feet was built on Winchester, Virginia's south side during 1982. There are approximately eighty stores in the mall with Belk, Sears, JC Penney and a Dick's Sporting Goods that is under development serving as the anchors of the mall. Simon Property Group owns the Apple Blossom Mall. Major lifestyle redevelopments to the Apple Blossom mall that would include added a sixteen screen RC Theaters complex to the property were announced during 2007 by the Simon Property Group. The center was scheduled to include two big boxes, three lifestyle tenants, new restaurants and another department store but it never became a reality. The mall now has a Carmike VI theater instead. Apple Blossom Mall which is located at 1850 Apple Blossom Drive in Winchester, Virginia is only seventy-five miles away from Washington D.C. to the west. The mall can be found at the intersection of Interstate 81 exit 313 and U.S. 50. The mall is open from ten in the morning until 9 at night Monday through Saturday and from eleven in the morning until six in the evening on Sunday. The hours of the stores may be different than those of the mall and should be contacted individually to confirm the hours. The Apple Blossom Mall also offers a number of services to make the experience of patrons as enjoyable as possible. The mall now offers Virginia Lottery Tickets from the Lottery Express Machine. Additional information can be obtained from the guest services of the mall. There are even copy and faxing services available Monday through Friday from 9am until 5pm across from The Children's Place in the office for a fee. The Apple Blossom Mall also offers patrons with the convenience of gift wrapping services during the holidays. The proceeds from gift wrapping services are used to benefit the Child-Parent Center of Winchester. Those that bring children with them to the mall can rest while the children enjoy the soft play area. The Kids' Clubhouse can be found in the food court and allows children to play while parents rest; children must be accompanied by a parent at all times. The Public Safety Office or Guest Services at the Apple Blossom mall can be visited to find the lost and found. Inquiries to the lost and found can be made over the phone as well. There is no charge for parking at the Apple Blossom Mall which has forty-five parking spaces for the handicapped. The West entrances of the mall have electronic doors to allow handicapped access. For a donation of a $1 for the Simon Youth Foundation shopping bags can be obtained from the guest services. Patrons with small children can rent strollers out of machines at the Apple Blossom Mall that can be found close to both JC Penny and Regis. There is a fee of $5 charged at the time of vending, when the stroller is returned to the parking dock there is a refund of $1 given to patrons. With all the benefits the Apple Blossom Mall is a great place to shop if you are in the area."
"Arlington National Cemetery","Virginia","Arlington National Cemetery, Arlington, Virginia: Where Some of The Nation's Heroes are Laid to Rest"," Arlington National Cemetery is well-known for many reasons. More than four million people make their way to the site each year. Some come to visit the grave sites of the many well-known Americans who are buried there. Others come to visit the Tomb of the Unknown Soldier or learn from the vast history contained in the various exhibits housed nearby. And others come to bury their own family and friends during one of the more than 100 funerals that take place each week at Arlington National Cemetery . This cemetery is where many great Americans have their final resting place. Some of those buried in Arlington include 10 veterans from the Revolutionary War, who were reinterred between 1892 and 1943, 19 astronauts, including some who lost their lives during the Space Shuttle Challenger tragedy, 4 United States Supreme Court Chief Justices and 8 Associate Justices, including Thurgood Marshall and Oliver Wendell Holmes, Jr. and 2 United States Presidents, John F. Kennedy and William Howard Taft. One of the most well-known ceremonies that takes place at Arlington National Cemetery involves the Tomb of the Unknown Soldier, where three unknown servicemen are buried. The changing of the guard is a ritual that takes place once per hour or once per half hour, depending on the season. The tomb is guarded 24 hours a day and 365 days a year, regardless of weather or any other conditions. Millions have viewed the changing of the guard during their visits to the cemetery . Arlington became a military cemetery on June 15, 1864 and veterans from every war that the United States has been involved in are buried there. Visitors can stroll the grounds and visit the graves of well-known Americans or just reflect on the sacrifice made by so many of the men and women who are buried there. A visit to the welcome center will provide an overview of the grounds as well as information on where to find the graves of the more famous people who are buried at Arlington.  The graves are lined up symmetrically providing an eerily beautiful sight. At any time, visitors may see a family gathered around a grave as a funeral takes place. Not just anyone can be buried at Arlington. Generally, the deceased must have served in armed forces, and there are other qualifying factors as well. To be buried at Arlington National Cemetery is considered an honor. More than 300,000 people have been laid to rest in Arlington National Cemetery, and it will continue to be the place of final rest for future generations of American's military men and women."
"Ash Lawn-Highland","Virginia","Ash Lawn-Highland","The Ash-Lawn Highland is the former home of James Monroe, the United States' fifth president and is located at 1000 James Monroe Parkway in Charlottesville, Virginia. The facility is operated and owned by the College of William and Mary which was Monroe's alma mater.   Ash Lawn-Highland offers a variety of educational workshops for all ages to enjoy. Ranging from candle making to Farm Tours, the workshops give students an insight into the life of President James Monroe in the late eighteenth and early nineteenth centuries. Ash Lawn-Highland also welcomes all Girl Scouts and Boy Scouts for specially designed Scout workshops. All workshops include a house tour and children are able to apply in classroom knowledge of the president and his home as they tour the grounds. Special events and banquets can be held at the Ash Lawn home. Facilities available for rent include the Pavilion (with serving kitchen, Brides Room, and Band Room), the Barn Site (includes the use of the Conference Room), the Conference Room (with kitchen and patio), and the various gardens. These facilities may be rented individually or jointly depending on the event and renter's needs. The Pavilion, Barn Site, Conference Room, and the grounds are available both during the day and during the evening. The Conference Room is available for rental only from late August through early June."
"Avampato - The Clay Centre for the Arts and Sciences of West Virginia","Virginia","Avampato - The Clay Centre for the Arts and Sciences of West Virginia","The Clay Centre for Arts and Sciences of West Virginia is located at One Charles Square, Charleston, West Virginia. The centre is opened from Wednesday to Sunday year round. The centre is a large 240,000 square foot centre that was opened in 2203 to showcase the performing arts, visual arts and sciences in one place. The centre is home to the Avampato Discovery Museum and the West Virginia Symphony Orchestra. Visitors are invited to experience music, theater, arts and science creating a fun day for the whole family. The Avampato Discovery Museum features two floors of interactive science exhibits, a gallery of permanent and travelling collections, the ElectricSky Theater which shows planetarium and large format films on a giant domed screen. The Douglas V Reynolds Intermezzo Caf, and BB&T Little Shop of Wonders Gift Shop. The museum has four different rooms of fun, Gizmo factory has 30 exhibits that explore physical science emphasizing on creativity and engineering, light, sound and color, energy and magnetism. These exhibits are designed to inspire curiosity and experimentation. Milton Gardner's Earth City takes visitors through an old-fashioned roadside attraction. Hands-on exhibitions show the story behind West Virginia's geology and provide an understanding of how the earth was shaped. The Cavern of Time is a multi-use demonstration situated in Earth city and has live performance shows every day along with educational films. Health Royale provides information on health science, visitors are able to explore health and wellness such as stretch an intestine or guess the x-ray. In Health Royale is the larger than life animatronic game show where visitors can test their knowledge on health issues. The game is hosted by Skully and has guests on the show, Funny Bone, Coach Heart and Queen Intestine. Kidspace is for children under five to help them with their cognitive growth in a colorful area brining the outdoors in with a giant tree house, clouds that rain balls, a `spider symphony' of music sounds and games that encourage physical play. A great adventure awaits you, so just sit back in the comfy seats in the ElectricSkytm Theater and feel like you're part of the larger-than-life films. Films presented on our giant 61' domed screen take you on breathtaking journeys to explore the most exciting, majestic and thrilling places on Earth and beyond. Discover the vast galaxy with a planetarium show and star talk. Daily Lunch Specials are available by the centre's in house caterer, fresh sandwiches, soups, salads and hearty plates are available. Dinners are available when performances are being held at the Clay Centre. Embassy Suites catering serve smoked fish, carved meats, entr,e selections, salads, antipasto and a dessert bar is offered before the final act. Non alcoholic beverages are included in the dinner price; alcoholic beverages are an additional cost. Diner is served two hours before the performance begins. The BB&T Little Shop of Wonders gift shop is full of fun educational games, science toys and for the adults, jewelry and glassware. Pre-made and custom made gift baskets are available for kids and adults, along with gift certificates that can be redeemed for any items in the gift shop. The gift shop also has resources for school science fair projects and teacher will receive a 15% discount off these items."
"Ballston Common Mall","Virginia","Ballston Common Mall - Arlington, VA - a mall providing unique services to the area and allowing easy access to the culture of downtown","Ballston Common Mall is located at 4238 North Wilson Boulevard in Arlington, Virginia. The facilities with over two hundred stores are open from ten in the morning until nine at night on Monday through Saturday and from noon until six in the evening on Sunday. The hours of the mall during the holidays, hours of the cinemas, restaurants and stores in the mall may vary. Patrons should contact the facility directly to confirm them. Ballston Common Mall closes for Easter, Thanksgiving and Christmas Days. The Ballston Commons Mall is just four miles away from downtown Washington, D.C. The mall is in the heart of an area combining both lifestyle and business with ease. There are a number of hotels and other amenities near the mall including access to public transportation so patrons can go shopping even when their car won't start. Arlington County owns the parking garage attached to the Ballston Commons Mall which Standard Parking manages. Parking passes may be obtained from the parking garage's Glebe Road entrance. The facility offers over two thousand spaces to serve the public for an hourly fee. The parking garage offers a coupon program that allows patrons to purchase stamps to use in order to pay for parking. Ballston Mall is conveniently located two blocks away from the Ballston Metro Station. The second level of the mall is connected by a catwalk to the Metro Station. The Arlington Transit and Metrobus have routes that run to the Ballston Commons Mall to allow everyone the ability to access the facilities easily. The Ballston Common Mall offers events for the entire family. Parents can take children trick or treating in the mall without having to worry about their safety. The mall even offers a college fair each year for those that want the convenience of learning more about the options to continue their education. The college fair brings colleges to the student instead of the student having to go to the college and allows them to see the majority of their options in one location. There are four beauty salons to choose from and even something for the kids in the regular facilities. Patrons can play hockey or o ice skating at Kettler Capitals which is close to the mall or the entire family can take in a movie at the theater in the Ballston Common Mall. The Ballston Common Mall features a Ballston's Regal Cinema, the Sport& Health Club, Macy's and a Macy Furniture Gallery. The mall is located on just over one million square feet of land. There are four levels to Ballston Common Mall which is at the corner of Wilson Boulevard and Glebe Road. The popularity of the mall is making it the center of Arlington, Virginia's downtown. With the convenient location allowing access to the main attractions of the Arlington area the Ballston Common Mall is the most convenient and sensible option for shopping in the area of Arlington. Those interested in additional information should contact the office of the Ballston Common Mall directly."
"Bassett Hall, Williamsburg, Virginia, a Look into the Past","Virginia","Bassett Hall, Williamsburg, Virginia, a Look into the Past","   Bassett Hall sits in Colonial Williamsburg on 585 acres of land.  The white farmhouse was built in the mid 18th century.  The house is full of history and has been home to some well-known guests during its lifetime. In 1753 a member of the House of Burgesses, Philip Johnson, began the work of building the home that would in future years be called Bassett Hall. The home was completed in 1766 and in 1800 it was purchased by a Virginia congressman named Burwell Bassett, who also happened to be the nephew of Martha Washington . One of the most interesting stories relating to Bassett Hall is that of a Union soldier who stayed as a guest in the decidedly Confederate household in the midst of the Civil War. It was right after the Battle of Williamsburg that Union soldier George Armstrong Custer stayed as a guest of Bassett . The home is a frame house and as such was very vulnerable to the effects of time. In addition to the normal wear from the elements, the home was badly damaged in a 1927 fire. At that time, John D. Rockefeller, Jr. and his wife Abby Aldrich Rockefeller were in the middle of a project to restore Colonial Williamsburg . When they first took on the project, they did not know how time consuming and labor intensive it would be. The couple was very dedicated to the project and therefore insisted on being on site whenever there were major decisions to be made . Because of the amount of time they needed to spend in Williamsburg, they decided to purchase a home there.  They purchased Bassett Hall in the early 1930's and began to restore the home. Abby decorated the home with a large folk art collection that was later donated to Colonial Williamsburg and is now part of the Abby Aldrich Rockefeller Folk Art Museum in Williamsburg. Bassett Hall became one of the favorite homes of the Rockefellers, and it remained in their family until 1979. At that time is was donated back to Colonial Williamsburg along with all of the homes furniture and much of the decor. The home is now open to the public as part of Colonial Williamsburg. A visitor from Florida wrote that Bassett Hall is off the main road and hidden from view...Most of the artifacts in the home are from the Rockefellers. The home is beautiful, with fantastic chandeliers and folk art'' . As confirmed by the visitor, the home today looks much as it did during the time that the Rockefellers called in home in the 1930's and 1940's. The restoration project, which began in the year 2000, took two years to complete. Today Bassett Hall stands as one of the most important historic buildings in Colonial Williamsburg."
"Bay Creek Resort, Palmer Course, Cape Charles, Virginia ? an Arnold Palmer Signature Golf Course Named one of the Best New Upscale Courses by Golf Digest","Virginia","Bay Creek Resort, Palmer Course, Cape Charles, Virginia ? an Arnold Palmer Signature Golf Course Named one of the Best New Upscale Courses by Golf Digest","Bay Creek Resort has the distinction of being the first club to ever have Jack Nicklaus and Arnold Palmer signature golf courses at the same locale, allowing their legendary golfing rivalry to live on via their course designs. The Palmer course was the first to open in 2001 and has been described as an almost sensual experience,'' especially when the azaleas are in bloom. Playing along stunning views and the natural terrain of the Eastern Shore, the course features wooden bridges that run through coastal growth, sparkling white-sand bunkers, shell cart paths, sand dunes, and historical landmarks from the early 19th and 20th centuries and the days of the railroads. The 18-hole, par-72 course plays to 7,204 yards from the longest tees, with a USGA rating of 75.2 and a slope rating of 142, one of the highest in the area. The course has been said to pamper'' golfers with perfectly manicured Tifway 419 Bermuda-grass fairways and smooth A-4 greens. Wind can be a significant factor on the course, however, often reaching formidable'' levels that will challenge players, especially on the front nine. When there's no wind, the back nine is considered the more difficult side. The front nine starts off with the bay on the right, then the layout turns inland and becomes more tree-studded. At Hole No. 8 it opens up again, but all the while golfers will feel like they're out in the ocean,'' with the smell of salt air always present. Some of the most noteworthy holes include No. 3, which plays as the #1-handicap hole on the course. This long par-4 requires a solid drive off the tee, since the second shot requires a potentially long carry over water to the green. According to some visitors to the course, Hole No. 3 will take your breath away.'' The finishing hole at Bay Creek Palmer Course has been described as a great closing hole. A par-5, the hole plays to 543 yards from the longest tees and features water that runs across the fairway. It's been said that golfers should save their strength for this hole,'' which requires a long carry over water and features a green guarded by rocks. Since its opening, the Palmer Course has garnered a number of awards, including being named a Top 10 Best New Upscale Course by Golf Digest in 2003. Practice facilities at Bay Creek are state-of-the-art and include a full practice range with five target greens, as well as a chipping and putting green. A variety of instructional options are also available. Bay Creek also features a large clubhouse that replicates a 19th-century stable and is home to the Bay Creek Pro Shop and Coach House Tavern. The Aqua Restaurant is also available for dining and is located in the Bay Creek Marina Village."
