Name,State,Title,Description
"Ace Hotel","Washington","Ace Hotel - Seattle, Washington - Smaller Loft Style Hotel in the heart of the Trendy Bell Town Neighborhood","The Ace Hotel is located in the heart of the hip and trendy Bell Town neighborhood of Seattle. Ace has coined the perfect location near all of Seattle's top restaurants, night spots, and tourist attractions. Close to Pikes Market, Rainier Square shopping, and numerous cafes, art galleries, and clubs make this hotel popular among business and leisure travelers alike. Within walking distance are Key Arena, Safeco Field, Seahawks Stadium, and numerous ballet and opera venues. Nearby museums and galleries make the hotel popular among the culturally inclined. The hotel is close to downtown shopping and within walking distance to boutiques and larger department stores. Nordstrom, Macy's, Barney's and Anthropologie are all nearby. The hotel sits in the Mecca of the northwest shopping hub. The hotel's 28 guest rooms offer high loft-style ceilings, hardwood floors, sleek furnishing that combine a mixture of Danish modern and Zen, and much more. Most rooms share baths, but do come with their own sinks and vanities. The two deluxe master suites that are available boast their own private bathrooms. High speed internet connections are everywhere and the rooms provide individual air conditioning units. Other standard amenities include microwaves, refrigerators, and cable or satellite televisions. Mini-bars and coffee makers are also available. The hotel offers safety deposit boxes at the 24-hour front desk and there is room to house laptops and more. Dry cleaning services and complimentary guest laundry facilities are also available. There is a gift shop on the hotel premises for all incidentals and postcards of guest travels. A full-service concierge is available. There is also an on-site barber and hair stylist available upon appointment. Cribs and rollaway beds are optional and daily maid service will keep your room looking presentable and orderly. The business center consists of a fax in the common area as well as wireless access. An ATM/Bank machine is available on the hotel premises. Hotel staff is available to provide mail services and assist with questions. There are many nearby restaurants and eateries. Coffee shops are in great number around this location. Premier dining, shopping, and entertainment surround the hotel and restaurants offer a sampling of tastes from around the world. From Indian to African cuisine, this area provides an eclectic ensemble of tasty eateries. Local martini and cigar bars are also found nearby. The Cyclops Caf, and Bar is a popular hang-out. Complimentary morning continental breakfast and newspaper is delivered for guests to stay in touch with the world when away on vacation. Pets are welcome at the Ace Hotel and the warm hospitality will make you feel right at home. For further pet policy details and regulations, consult the front desk. The staff is helpful and will provide all the conveniences of home upon request as they strive to exceed your level of expectation."
"Alderbrook Resort & Spa","Washington","Alderbrook Resort & Spa","Located approximately two hours from Seattle, Alderbrook Resort and Spa is a quiet and relaxing place to stay for couples and families alike. The getaway is anything but roughing it, rather luxury accommodations and amenities in a rugged atmosphere. The resort is surrounded by the Olympic Mountains and rests along the shores of the Hood Canal which is a glacier carved fjord that is home to eagles, ospreys, salmon, and seals.   The resort offers a world class full service spa that provides a wide variety of packages. Spa services include massage treatments, facial treatments, body treatments, hand and foot treatments, healing bath rituals, waxing services, manicures and pedicures, and much more. Reservations can be made for spa services in advance or the day of but time slots are booked on a first come first served basis. All major credit cards are taken to secure appointments at the time of booking. A fine restaurant and wine bar is located at the resort and features Executive Chef Tristan Holst. Local seafood from the Puget Sound is served at the restaurant. A wine and oyster bar are available. The resort and restaurant catering services are popular for those getting married. Wedding ceremonies and receptions can be booked at the resort."
"Alderwood Mall","Washington","Alderwood Mall - Lynnwood, Washington - Shopping and Retail Hub in the Middle of the City","Located in the heart of downtown Lynnwood's business and retail district, the Alderwood Mall features over 175 shops, boutiques, and eateries in a large and contemporary retail pavilion along 184th Street Southwest. Nestled between various Lynnwood businesses Alderwood Mall offers a mix of national reputation retailers and a unique selection of the finest quality regional merchandise. The Center offers a high-energy, one-of-a-kind urban shopping environment. Shops in the mall include upscale retailers like Pottery Barn, Williams-Sonoma, REI, Borders, Chico's, Apple, Ann Taylor Loft, and Eddie Bauer. There are five full service restaurants as well as a 16-screen theatre. Department stores such as Nordstrom, Macy's, JCPenney, and Sears are also located in the Alderwood Mall. Whether you are looking for a small boutique card shop or a large clothing venue, Alderwood Mall has something for every age and family member. A children's play area is also located in the mall where parents can allow their children to burn off some energy before hitting the shops. Wonderful shopping, an exterior landscaped plaza or courtyard and Lynnwood's favorite Food Court awaits patrons to this retail hub. Alderwood offers various locations for dining. P.F. Chang's China Bistro is a contemporary bistro that combines Chinese cuisine, attentive service, wine, and high-energy ambience. P.F. Chang's is located at the Village next to Borders. Other options include Ruby's Diner at the Terraces, McGrath's Fish House at the Terraces, near the AMC-Loews Theatres, and a wide variety of other options. Alderwood Mall offers packages, group programs and many clubs promoting local involvement. The Mall Walkers Club is one of the more popular clubs at the Alderwood Mall. Stevens Hospital works in close relationship with this program and offers visitors health information and screening twice a month in the Food Court as well as quarterly health seminars. Lap cards can be obtained to track how far you have walked. One lap is equivalent to 3/4 mile and for every 15 laps walked, visitors are able to enter their name in a quarterly drawing. Fundraising opportunities are also available at the mall. Merchants participating in the fundraising opportunities are Auntie Annie's Pretzels, Chico's, Coldstone Creamery, and Ruby's Diner. Alderwood Mall offers a patron involvement program known as The Club. This is an online program that delivers the best discounts and offers available at the large network of stores, restaurants, and partners via monthly emails. By joining The Club guests get a monthly email with preferred offers and coupons, sale information and events, the opportunity to earn points towards free mall gift cards by participating in online surveys through the mall's Club Rewards Program. There is also an opportunity to win a $5000 shopping spree with just by signing up online. The mall is open seven days a week, including most all holidays. Mall hours include Monday through Saturday from 10 a.m. to 9 p.m. and Sunday from 11 a.m. to 7 p.m. Other Alderwood Mall services and amenities include ATM, Fed Ex drop off location, UPS drop off location, foreign currency exchange, visitor information center, lost and found, and valet parking."
"Alexis Hotel","Washington","Alexis Hotel - Seattle, Washington - Luxury Hotel in a Grand Historic Building","The Alexis Hotel is a luxury 121 room Seattle boutique hotel that is just steps from the Pike Place Market, the Waterfront and Pioneer Square. The hotel offers immediate access to all that the city has to offer to business and leisure travelers. Guests of the hotel can enjoy a nightly wine reception and gracious hospitality at this downtown Seattle, Washington landmark. The hotel venue offers a wonderfully mixed variety of rooms and suites in this historic building. Each of the 121 guestrooms is richly decorated with a mix of sophisticated and contemporary fabrics in warm colors set amongst classic and antique furniture. This downtown Seattle luxury hotel has 33 spectacular suites, some with wood-burning fireplaces, others with two-person jetted tubs, and nine luxury suites. The Alexis Hotel is committed to being a pet-friendly hotel. Upon check-in, all pet guests receive a designer doggie bed, water bowl and distilled water, and complimentary pet treats. Plus, as a pet-friendly hotelpet sitting servicescan be arranged with the front office staff , while you are out or through one of the dedicated pet-sitting referrals as guests explore the shops, art galleries, cafes and restaurants in downtown Seattle. The Library Bistro is reminiscent of a 1940s supper club featuring faux lizard skin high-back booths and dramatic lighting that creates an ultra-stylish setting for the most festive occasion or the most intimate dining experience. Located in the hotel, this Seattle hide-away is a favorite amongst locals and visitor alike. Shelves of books line the walls near the ornate wood bar and create a comfortable reading room feel. Diners can browse the extensive selection of cookbooks (also available for purchase), as well as magazines and newspapers from around the country. A vast selection of single malt scotch, single barrel bourbon, and international beers are offered to guests. The hotel is committed to the Seattle arts community and displays original pieces throughout its richly decorated guestrooms and public spaces, showcasing the diversity and culture that is distinctive to the Pacific Northwest. The Alexis Art Walk features art exhibits by local artists. The exhibit rotates every quarter and features various mediums. In addition to the Art Walk, the quarterly exhibitions feature works in the Gallery room as well as the Hotel Lobby. Guests can also enjoy the rejuvenating treatments at one of the best-known day spas in Seattle, the Aveda Spa next to the hotel. In-room spa services are also available. At Kimpton Hotels, customers are valued, whether working for a major corporation or a small company. The Kimpton Global Business program allows small to mid-size businesses, associations, and clubs to receive discounted rates as well as enjoy many of the exclusive benefits reserved for major companies. Business services are available, including in-room high speed internet. A full service twenty-four hour business center is available for use and includes such amenities as photocopying, faxing, high-speed internet service, and meeting space. Whether on business or pleasure the hotel has accommodations to meet every need."
"Alki Beach","Washington","Alki Beach - Seattle, Washington - Popular Beach Park Offering Everything Outdoors","West Seattle is an often overlooked area of Seattle that offers one of the few destination beaches on the Puget Sound. Alki Beach has a two and a half mile long pedestrian walkway and provides a popular hang-out for sun worshipers, beachcombers, and volleyball players. Most of the beaches on Puget Sound are covered in rocks and rough terrain, but on Alki Beach, visitors can walk in the sand, get some exercise, learn about Seattle's earliest settlers, and take in a great view of the city's skyline. Alki Beach can be easily reached by car via the West Seattle Bridge. From downtown Seattle, travelers follow the signs onto Interstate 5. Take the exit for West Seattle and once across the bridge, turn right onto Harbor Ave SW. This will lead around the tip of Duwamish Head, and onto Alki Point. Parking can be complicated on the weekends, but street parking not too far from the main strip along Alki Avenue SW is available. During the summer, leave the car behind and take Metro's water taxi. The taxi leaves from locations between piers 55 and 56, and for two dollars (each way) provides a twelve minute ride across the bay. At Sea Crest Park, the taxi's West Seattle terminus, guests will find Metro's Free DART shuttle which will take passengers to Alki Beach or West Seattle Junction. Seattle's first white settlers arrived on Alki Beach in 1851. They were helped through their first winter by the Duwamish people, led by Chief Seattle. The settlers named the area New York-Alki. Alki is a native word meaning by and by'', and the settlers chose the name to reflect their hope that the new settlement would grow to achieve the size and importance of New York City. After one winter camped on the beach, most of the party moved across Elliot Bay, to the less exposed shores of Seattle's current waterfront. Some of the area highlights include Alki Beach Park which provides 2.5 miles of sandy beach. This area has a great seawall for walking and people watching. The park runs from Duwamish head to Alki Point. The water is cold at the beach, but on a hot August day is well-populated and can't be beat. There is always something athletic going on in this neighborhood. Second only to Green Lake in Seattle, this area is known for athletics and outdoor fun. Also in the Alki Beach neighborhood is Salty's located at 1936 Harbor Ave SW. Salty's has become a northwest institution due to its spectacular view and romantic atmosphere. This is the only restaurant in the area with a view of the Seattle skyline from the SW side. Salty's is a favorite destination for couples and those celebrating special occasions. The restaurant specializes in seafood and on Saturday and Sunday mornings offers a great brunch to start the day. The Alki Point Lighthouse is one of eight lighthouses on the Puget Sound that is open to the public and can be enjoyed at Alki Beach. Built in 1913 and still maintained by the Coast Guard, the lighthouse has been fully automated since 1984. Inside the house, you can see old instruments, photographs, and charts of Puget Sound.The lighthouse is located at 3201 Alki Avenue SW."
"American Museum of Radio and Electricity - Bellingham, Washington Discover the History of Electricity and Radio","Washington","American Museum of Radio and Electricity - Bellingham, Washington Discover the History of Electricity and Radio","The American Museum of Radio and Electricity located in Bellingham, Washington started out as the personal collection of avid collector Jonathan Winter. In 1985 he packed up his collection of antique radios and electric gadgets and moved north to Bellingham. He shared his collection with other radio fans and dubbed it the Bellingham Antique Radio Museum. To his surprise people from all over caught wind of the museum'' and came to visit. Mr. Winter moved to a bigger space and the American Museum of Radio and Electricity was officially born. In 1998 it became a non-profit organization under section 503c of the Internal Revenue Service code. Mr. Winter's collection of over 800 rare radios from the 1920's formed the foundation of the collection. The American Museum of Radio and Electricity or AMRE for short, presents through its rich collection the 400 years of scientific and artistic discovery and accomplishment. The current galleries represent different time periods with the first representing the dawn of the electrical age of the 17th and 18th centuries. This gallery features Sir William Gilbert's groundbreaking book titled De Magnete as well as rare artifacts from the study of static electricity. The second gallery features electricity and its uses during the 19th century. This era saw an explosion of electrical inventions that changed society forever. The world's first batteries, medicinal devices and inventions by Edison, Tesla, Morse and Volta are available for viewing. The other three galleries are dedicated to the evolution of the radio and its impact on society. The Rise of Radio gallery features a replica of the wireless room of the Titanic, the Collins wireless telephone and many other inventions of the early radio pioneers. The Radio Enters the Home gallery features one of the most impressive collections of early radios ever assembled. The third and final radio gallery titled the Golden Age of Radio shows an array of radios that were found in the home when the radio was the main form of entertainment. The main vision of the AMRE is to offer exciting and educational experiences for people of all ages and backgrounds using the medium of radio and electricity. Various inventions, writings, films and other achievements display the massive impact that radio and electricity have had on the entire world. Within the museum is a fully functional radio station and production studio. KMRE-LP 102.3 is a low powered station dedicated to bringing radio enthusiasts classic radio broadcasts as well as locally produced radio shows. AMRE also offers visitors the chance to do more than admire the impressive collection. The emphasis on hands on interactive displays opens up the learner to a whole new level of excitement and appreciation for the displays. In many instances the visitors are encouraged to touch and handle the artifacts and figure out how they function. The AMMRE is open Wednesdays through Saturdays from 11 am to 4 pm or by appointment. The cost of admission is $5 for adults and $2 for children 12 and under. There is an on-site gift shop allowing patrons to purchase items related to the museum."
"Arctic Club Hotel","Washington","Arctic Club Hotel - Seattle, Washington - Comfortable Doubletree Hotel located in the heart of Seattle's Financial District","The Doubletree Arctic Club Hotel is located in the heart of the downtown Seattle financial district and is a landmark Seattle hotel that has been beautifully restored to provide the best in contemporary Doubletree hospitality. The luxury hotel is located off of I-5, only three blocks from Pioneer Square. The hotel is situated close to Seattle's International District and sports fields, as well as the popular tourist attraction known as Pike Place Market. Seattle-Tacoma International Airport (SEA-TAC) is approximately thirty minutes south by car. Due to the hotel's location, free bus service is available to downtown destinations. The hotel is within walking distance of Pioneer Square also known as Seattle's first neighborhood. The hotel is just a few blocks from the waterfront and ferry rides, as well as the sports arena district with Safeco Field and Qwest Field complexes. The convenient location of the hotel makes it a popular destination for business and leisure travelers alike. The attentive hotel staff provides a comfortable time while away and welcomes its guests with Doubletree's signature chocolate chip cookie at check-in. The hotel offers stylish guest rooms, suites and executive accommodations. There are a number of guest amenities to make guests feel pampered when away from home. Standard amenities include flat panel HDTVs, luxurious Sweet Dreams beds, and wireless high-speed internet access. Some rooms feature jetted tubs and outdoor terraces. The standard guestrooms area available with one king or two queen beds, along with a full bath or deluxe shower. The standard rooms are anything but standard. Suites are also available and feature a sofa sleeper and jetted tub. Wheelchair accessibility is available and equipped rooms feature grab bars and roll-in showers. Wireless high speed internet services are available throughout the hotel. Business travelers can take advantage of over 5,700 square feet of flexible meeting and banquet facilities with state of-the-art audio visual support and wireless high speed internet access, a well-equipped Business Center and creative catering. Remote printing capabilities are also available. The hotel is convenient to many corporate offices like Starbucks, Bank of America and Amazon. There is an intimate Club Board Room and a magnificent 100-year old Northern Lights Dome Room ballroom. The hotel staff delivers exceptional service to execute successful business meetings, conferences, training seminars, wedding receptions, or gala social events. The hotel boasts a twenty-four hour fitness center stocked with state-of-the-art exercise equipment. The center offers elliptical trainers, stationary bikes, stair steppers, exercise balls, and everything to promote a great cardio workout. Weight machines and dumbbells are also available. There are also water coolers and towels available for guests. Driving directions to the hotel include the following: Coming from the North: Take the James Street exit 165A. Take a Right onto James Street. Go 3 blocks and take a Right onto 3rd Avenue. Go 1 block and turn Right onto Cherry. The hotel is on the corner of 3rd and Cherry. Cherry Street is a one way and the hotel entrance will be via the far left lane. Coming from the South: Take the Dearborn Street/James Street exit 164A. Turn Left on James Street. Go 3 blocks and take a Right onto 3rd Avenue. Go 1 block and turn Right onto Cherry. The hotel is on the corner of 3rd and Cherry."
"Ballard District","Washington","Ballard District - Seattle, Washington - Bringing the Heart of Scandinavia to the Northwest","Ballard is a vibrant neighborhood located in the northwest part of the city of Seattle, just north of Salmon Bay. Ballard is bounded to the north by Crown Hill, to the east by Phinney Ridge and Fremont, to the south by Lake Washington Ship Canal, and to the west by Puget Sound's Shilshole Bay. The neighborhood is notarized for its landmarks including Ballard Locks or Hiram M. Chittenden Locks, Golden Gardens Park, the Shilshole Bay Marina, and the Nordic Heritage Museum. Ballard is a must see for tourists and is full of locally owned boutique shops, pubs, restaurants, and waterfront parks. Each month the Ballard Chamber of Commerce sponsors the Second Saturday Artwalk, which brings in residents from all over the Seattle area as well as tourists. Ballard was first settled in 1853. In 1889 it was incorporated in Washington State and in 1907, Ballard was annexed to Seattle. Proud of its Scandinavian heritage, Ballard has many reminders of its past including the annualNorwegian Constitution Day Parade, the Nordic Heritage Museum, and the Bergen Place mural that was dedicated by the King & Queen of Norway in 1996. The Ballard Avenue Historic District reflects the patterns of industrial growth in Seattle, as well as the city's Scandinavian heritage. In the 1870s and 1880s, several distinct communities were formed in the Puget Sound area that centered on the area's rich timber resources. A group of Seattle real-estate developers purchased a large tract of land along Salmon Bay, and divided the property into commercial, residential and industrial lots. Industry was established in the new town named Ballard. J. Sinclair and Ballard's first mill was built in 1888. In the following year Michigan's prosperousStimsonCompany built its first mill in the region, which turned out to be fortunate timing, for the Great Seattle Fire that year created an immediate demand for supplies. By 1895, Ballard claimed to be the center of the world's largest shingle industry and, by 1904, was producing an incredible 3 million shingles per day. Many of the mill jobs were filled by Scandinavian immigrants, establishing an ethnic influence that remains today. The area's success spurred the construction of commercial buildings north of the shingle mills-two and three story Italianate brick banks, retail stores, saloons, and hotels-that form the core of the historic district today. Incorporated in 1890 with a population of 1,173, Ballard took just five years to grow into a bustling town of 10,000 that supported sizable foundry and fishing industries, in addition to the tremendous shingle industry. Ballard continues to be a unique Seattle neighborhood, retaining its late 19th-century flavor while adapting to changing times. Area transit and growth are issues that remain in the greater Seattle area, including Ballard. Sustainable Ballard, a non-profit organization has been established and continues explore challenges in the community regarding traffic reduction in the neighborhood. The Get Carbon Neutral transportation campaign is working toward Ballard becoming the first carbon neutral community in the nation."
"Bank of America Tower","Washington","Bank of America Tower - Seattle, Washington - Columbia Center Offers Amazing Observation Deck and Architecture","Seattle skyscraper fans frequently note this building as Seattle's most famous, to the general public it is somewhat less significant. Certainly the Smith Tower and Pike Place Market are more historically and culturally visible through postcards and tourist materials sent around the world. Still, the Columbia Center is worthy of a significant amount of praise. The architecture is based on the simple black glass block so popular in the 1970's and 1980's. But in this case, the simple form was made graceful and elegant through the use of three sweeping arcs of multiple elevations. The Columbia Center manages to break out of the monotony and stand out among the world's great towers. This would have been possible even if it had adhered to conventional design forms. Clocking in at a massive 997 feet, this is a building that demands attention. Still, its position in the skyline is unfortunate. In picture post cards it is frequently the tall kid in the back of the class on the right who doesn't get noticed as much as the one in the center like the Washington Mutual Tower. Although the tower is tall it doesn't receive the notoriety that the other skyscrapers do. It was the Federal Aviation Administration that first took the building down a notch, reducing its design height from 1,005 feet. Whether the eight foot reduction really makes a difference to pilots coming into SeaTac airport is a matter for speculation. The developers weren't going to lose any money on the deal by reducing the number of floors available for rent. They simply reduced the ceiling height on each floor by six inches. The fix is perhaps not the most elegant solution, but at least the most practical. The observation deck at the top of Columbia Center or Bank of America Tower offers a panoramic view from its 73rd floor. The view is not completely panoramic because the deck doesn't wrap around the building completely. It's best to call ahead as security concerns occasionally may close the observation deck. Admission rates are $5, $3 for seniors and students. The women's restroom on the 76th floor, with views of the Cascades, was named the second best restroom in the U.S. in 2005 by Cintas. There is a lot of discussion of the obscenity and obstruction of the skyscraper but the dispute has come to an end but in little or no agreement. Onlookers either believe the tower to add to the skyline or take away. The architecture remains unique and modern but can pose an eyesore if trying to photograph nearby design work."
"Beacon Rock","Washington","Beacon Rock - Vancouver, Washington - State Park that Sits in the Core of an Ancient Volcano","Beacon Rock State Park is 4,650 acre camping park that is open year round and located in the middle of the Columbia River Gorge National Scenic Area. The park contains 9,500 feet of freshwater shoreline along the Columbia River. Beacon Rock is situated in the core of an ancient volcano. There is a mile long trail that winds upward to the volcanoes summit and provides panoramic views of the Gorge. The park itself is located approximately 35 miles to the east of Vancouver, Washington and can be found by following Highway 14 to the east. The park entrance is located at mile post 35. The park has over twenty miles of trails and open roads that are used for many outdoor adventure activities including hiking, mountain biking, and equestrian use. A boat launch and 916 feet of dock are situated within the park. Moorage fees are charged year-round for mooring at the docks, floats, and buoys from 1 p.m. to 8 a.m. A daily moorage fee is 50 cents per foot with a minimum rate of $10. The rate for moorage buoys is $10 per night and the annual moorage permit fee is $3.50 per foot with a minimum of $50. Moorage permits are available at any of the area parks offering moorage. Beacon Rock offers camping and picnicking facilities. There are two kitchen shelters with electricity on site as well as 2 sheltered and 53 unsheltered picnic tables. The lower picnic area kitchen shelter is positioned at Hamilton Mountain Trailhead and is available on a first come first served basis. Water and electricity are available at this shelter. The upper picnic area kitchen is open to reservations and can hold groups of up to 100 people comfortably. Water and power are also available at this shelter. Reservations for the upper picnic area are highly recommended. The park offers 29 tent spaces with one dump station, one public restroom facility, and two public showers. The main camp is much older and sits in a heavily forested area well suited for tents rather than RVs. There are a limited number of sites in the park that accommodate RVs over 20 feet in length and all campsites are available on a first come first served basis. Check in time for the park campsite is 2:30 p.m. and check-out is 1 p.m. There are established quiet hours from 10 p.m. to 6:30 a.m. Campers may stay in the park for up to ten consecutive days in any one site and park during the summer months. The stay limit between October 1 through March 31 is 20 days. A maximum of eight people per campsite is allowed and the standard campsite fee runs $15. A utility campsite is $21 and a primitive campsite that is accessible by motorized and non-motorized vehicles and for water trail camping the fee is $10. There is an additional $3 fee for standard and $5 fee for utility that may be charged for select premium campsites within the park."
