Name,State,Title,Description
"A Destination Exploring Space","Wisconsin","A Destination Exploring Space","As part of the Department of Astronomy and Astrophysics at the University of Chicago, the Yerkes Observatory brings space exploration a little closer for those visiting Lake Geneva. The observatory is st on 77 acres of land in Southeast Wisconsin and offer laboratory space and telescopes for research and instruction. Free public tours are available on Saturdays, and visitors are encouraged to enjoy their discovery of astronomy and astrophysics. One of the major goals of the Yerkes is to offer education to those with an interest in space. Their belief is they bridge the game between formal and informal education. Both professional astronomers and students enjoy the observatory, and this uniting of two different groups of people allows for an exciting blend of learning. They are able to create relationships, build programs, and share experiences with one another. The museum blends lessons in physics, engineering, and astronomy. The programs engage learners in astronomy and give them a chance to learn about the science in a hands on manner with telescopes. They are also encouraged to study cosmological phenomena through the use of instruments. Another of these tools is the High-resolution Airborne Wide bandwidth Camera. This is a high tech piece of equipment being developed for NASA. The University of Chicago is involved in the teaching efforts of Yerkes, and is the leading partner in the Sloan Digital Sky Survey. Wisconsin is an excellent place to look to the skies and begin your space exploration. With the advanced levels of these space telescopes students and teachers are able to research and conduct information learning experiments. The Observatory has combined with the Science Museum in Tokyo and they have developed a Science Live show called Universe. The show occurs on Saturday afternoons in Japan when it is midnight in Wisconsin. This means Yerkes educators are able to chat via the Internet with students in Japan and share the Wisconsin skies with those on the other side of the globe. Outreach programs are sponsored by the National Science Foundation Center and give students in the Chicago and Joliet areas a chance to get excited about science and astronomy. The SEE project works with students who are blind, visually or hearing impaired, or deaf to share the joy of science and discovery with them. These project occur during the school year and it gives scientists, grad students, and teachers a chance to work with a community of children who otherwise may not have an appreciate for the night sky. Group tours are can be arranged with the observatory for those who are interested in planning field trips. The Yerkes Observatory is a magnificent tool for teaching space science to kids. It also provides a research facility to those who have already committed their academic pursuits to outer space. If you have an interest in space, or you know a child who might be excited by the exploration of space, contact the Yerkes Observatory in Williams Bay. The night sky in Wisconsin is fascinating and this location provides a chance to share it with others who share your passion."
"A Great Lake Geneva Escape","Wisconsin","A Great Lake Geneva Escape","This lodging establishment located near the lake, dining, shopping, and activities may very well become your favorite place to stay in Lake Geneva. All year long is the perfect time for a getaway to Lake Geneva. February features packages filled with romance, and the holiday bring quaint cheer to the small town. The hotel requires a two-night stay on the weekends. There may be special regulations for holiday stays, so be sure to ask when making your reservations. There are 34 suites at Mill Creek and each feature fully equipped kitchens, living and dining room areas, a fireplace, and a large bathroom with a shower and a Jacuzzi tub. Rooms also feature two televisions, VCR and DVD players, spa shower heads, hair dryers, safes, and ironing boards. There are also robes and umbrellas available to use during your stay. Each bedroom has a private balcony with view of Geneva Lake, downtown, or Donian Nature Preserve. There is also an indoor pool with whirlpool, an outdoor deck, and a fitness center onsite. The fitness center features state of the art equipment which includes weight machines, treadmill, and two bicycles. Each of the stations is separated by a sound-proof glass wall so each person in the fitness center can enjoy their own space how they choose. The fitness center overlooks the Donian Nature Preserve, a beautiful, natural setting. The pool is surrounded by the setting of the nature preserve as well, and so is the Jacuzzi. This hotel is designed for adults only, so you need not worry about the noise and ruckus of children. Plus, it is a great excuse to leave your little ones behind. Each of the hotel's feature will help you build a spectacular getaway memory. There are places near the pool where you can relax and unwind on the sundeck, or enjoy the six person Jacuzzi tub. The hotel features a variety of package deals throughout the year based on romance, activities, or special events in the town of Lake Geneva. If everything you need is not on site at the hotel, head into downtown Lake Geneva where you will surely find it. There are several dining choices in Lake Geneva including Carvetti's Bar and Grill, The Next Door Pub featuring Italian, pizza, and pasta, the Geneva ChopHouse serving some of the best steaks in the Midwest, and Houlihan's, a bar and grill with out of the ordinary pub fare. If you choose Houlihan's, be sure to try one of their delicious salads or appetizers. They also have daily drink specials and be sure to save room for dessert. A trip to Lake Geneva would not be complete without a relaxing spa service, so be sure to book an appointment at one of the area establishments. It is the perfect complement to a weekend away at the Mill Creek Hotel. If you are looking for a relaxing weekend away, without the kids and more importantly, without other people's kids, book a stay at the Mill Creek Hotel in Lake Geneva."
"A Great Resort on a Beautiful Lake","Wisconsin","A Great Resort on a Beautiful Lake","The Timber Ridge Lodge at Grand Geneva is the only all-season, all-suite resort of its kinds in the Midwest. With an indoor/outdoor water park, it allows visitors to enjoy not just the summer months, but also in the winter as well. Suites include a kitchenette, a whirl pool batch, private bedrooms and fireplace, and services and comforts such as, a private balcony, high-speed internet service, in-room bottled water, four arcade tokens per room per night, daily newspaper, in-room coffee, and Televisions with VCR's. The Timber Ridge Lodge at Grand Geneva is located on Grand Geneva Way in Lake Geneva, Wisconsin. Moose Mountain Falls Waterpark is their indoor/outdoor 50,000 square foot waterpark. Moose Mountain Falls has natural lighting and a variety of options to entertain guests of all ages. Two 35-foot high water slides over 300 feet long twist and turn you, before finally dumping you back into the indoor heated swimming pool. The Lazy River offers you an opportunity to relax and unwind with 560-feet of twists and turns. For further relaxing they offer lounging areas with three whirl pool spas, and even an indoor/outdoor hot tub. You can experience a wide variety of recreational opportunities including Championship golf, tennis, and skiing in the winter. You can connect with Mother Nature with a guided horseback ride as well. Along with all of this, you can enjoy what beautiful Lake Geneva has to offer. Fishing in the summer, and ice fishing in the winter are great for the outdoorsman in you. Maybe fishing is your thing. If that is the case than you can enjoy all the lake has to offer such as boating, tubing, water skiing, or even jet skiing. You can enjoy one of Geneva's lake cruises where you ride on one of the re-productions of the steamboats that once roamed Wisconsin's second largest, and second deepest lake. You can take a luncheon cruise or the famous mail boat tour which is the only mail delivery of its type in the country. For over 130 years, a mail person leaps off of the boat every morning onto residents piers to deliver their mail, and collect outgoing mail. Keep in mind this boat never stops! If you want to see what a mansion truly is, look no further than some of the homes that rest along the banks of Lake Geneva. Some are very contemporary, and some are so historic they are on the National Register of Historic Places. Some of these historic mansions were owned by prominent business families including Wrigley, Montgomery Ward, and Sears families. Timber Ridge Lodge also offers a shopping opportunity if you so wish. Visit Trader Jacks for fine fashion, souvenirs, and resort logo merchandise. After Trader Jacks you could also visit the local Lake Geneva area which has everything from Wisconsin cheese-coated popcorn, to hand thrown pottery and specialty boutiques. If you want a relaxing time, mixed with a lot of fun, then Timber Ridge Lodge at Grand Geneva is definitely the place to go. Whether it is a romantic getaway or a family vacation, or even a business meeting, Timber Ridge Lodge has everything you will need."
"A Madison Gem","Wisconsin","A Madison Gem","The park system in Madison rivals those in major cities across the country. The Vilas Park is one of Madison's most loved due to the attractions located at the park. The park opens early at 4:00 am so joggers can head out early and enjoy working out in nature. Parks close at 10:00 pm, about an hour after sunset at the height of the summer season. The Vilas Park is not only one of the most loved in Madison, it is also one of the oldests. The park curves along the north shores of Madison's Lake Wingra. There is a beach located in the park that provides a sandy bastion by the shores of the lake. The beach is patrolled by a lifeguard during the season from 11:00 am until 7:00 pm. There are numerous fishing sites in the park, two of which include piers. The park is often filled with Madison locals strolling through the grounds, admiring the scenery. The park is linked with the University of Wisconsin Arboretum on the east end, and is frequently used by the college for studies and research. There is a tree-covered area known as Park and Pleasure Drive on the west end of the park. At the height of the summer season, there are six tennis courts, baseball diamonds, and areas to host family picnics and gatherings. There is also a large grassy area near the Henry Vilas Zoo that features two playgrounds. One of these includes a play area modeled after the Old Woman in a Shoe fairy tale. A third playground is located on a secluded hilltop in the park and has a dinosaur theme. During the winter months, visitors to the park can skate and play hockey on the frozen lagoon. There is a rink located near the park's shelter house. The park is set of 42 acres of public land, and offers something for everyone. Another reason the park is so popular is because of the Henry Vilas Zoo. This popular Madison destination features a variety of animals living in recreated natural habitats. Children love the zoo because it gives them an opportunity to see in person animals they may have only looked at before in books and on television. The park shelter is reservable for events and parties. There is also a basketball court, three soccer fields, a football field, a bike path, and softball diamonds. The fields are often reserved by recreation and community groups, so be prepared to move to another location if you have not reserved space. Those who would like to use public transportation to reach the park can do so by using the Madison Metro routes 3, 4, 27, or 58. Madison is an environmentally conscious town, so if you will be visiting, plan to carry out any garbage not large enough to fit in the recyling or garbage cans in the park. The park takes pride in its natural environment and invites residents of Madison and visitors to the city to respect and enjoy the environment."
"A Museum for Woodworking Enthusiasts","Wisconsin","A Museum for Woodworking Enthusiasts","The Museum of Woodcarving is an amazing compilation of biblical history that visitors will find both breathtaking and astonishing. Located just a half mile from the small town of Shell Lake, Wisconsin this divinely inspired collection of handcrafted, wooden figurines will simply astound anyone who happens to stumble across this small but well put together travel through biblical times. The display of wooden biblical motivated figures was handcrafted by wood-crafter Joseph T. Barta. Mr. Barta's museum opened in 1951. He was a teacher in Spooner, Wisconsin in the 1940's. Mr. Barta developed this wide array of wood figures, depicting many well read biblical events, over a period of 15 years. As his niece, Maria McKay, states, You feel like you're walking through a wooden Bible. This large collection of woodcarvings, actually, the largest collection in the world created by one person, consists of 100 life sized wood carvings as well as 400 miniatures. The construction of the religious scenes is made of ponderosa and sugar pine which are laminated together. This tedious form of craftsmanship is obvious when one closely examines the minute details depicted in each religious scene. Each piece although showing a rough finish, displays each labor intensive chisel stroke of the craftsman. Joseph Barta's museum opened in 1951. He was a teacher in Spooner, Wisconsin in the 1940's. Incredibly, Mr. Barta even developed his own glue for fastening the pieces together on many of the carvings. This no frills museum is clean and if not somewhat bleak. The wood carvings are carefully displayed on gray wall to wall carpeting with plain white walls in the background. Each display is dimly illuminated by ceiling track lighting. Each scene is displayed in the chronological order as they appear in the Bible.  Starting with Adam and Eve being banished from the Garden of Eden, the tour through the museum takes visitors from one epic biblical occurrence to the next. One of the most chilling, if not gruesome, carvings is that of Judas hanging from a rope. The carving of Judas swinging overhead is sure to send chills up the spines of visitors as they roam through the museum. Some very interesting events led to some of Mr. Barta's wood carvings. Mr. Barta claimed to have had a series of revelations that led to some if not all of his wood carving endeavors. It is said that he had dreams in which God spoke to him and advised him how to go about his works. On his carving of the Last Supper, Mr. Barta is said to have heard a voice with a German inflection giving him the inspiration to create this well known biblical scene. The Last Supper carving took Barta over four years to complete. Other stimulation was said to have come from a vision of Mary, Queen of the Universe. The entire museum was relocated to Florida for a time, but has since been reestablished back where it began in Shell Lake. Joseph Barta died at the age of 68 in 1972."
"A Museum Memory from Your Childhood","Wisconsin","A Museum Memory from Your Childhood","As one of the largest public museums in the United State, the Milwaukee Public Museum features exhibits of natural and human history that are great for learning, entertainment, and tourism. Over 500,000 visitors each year enjoy the numerous displays and exhibits at the museum. The museum was opened in 1882 as a small collection of items and has grown to house over 6 million specimens. There are both permanent and temporary exhibits in the museum's 150,000 square feet of exhibit space. You can visit Asia, Africa, Europe, the Arctic, Middle and South America, the Pacific Islands, and the Costa Rican Rain Forest, all in one location in the middle of Milwaukee! Children will love the variety of exhibits that include dinosaur bones, a life-sized replica for the Tyrannosaurus Rex, an entire wing of free, fluttering butterflies, an old European Village, and recreation of turn-of-century Milwaukee. The museum is a great activity for families and offers an affordable admission price for children, seniors, adults, and teens. Monday's feature free admission for Milwaukee county residents, but visitors are encouraged to arrive early, especially during busy summer months. Those who wish to visit the Imax theatre will need to pay an extra admission fee. After a day of learning and exploring, visitors to the museum will be hungry and thirsty. The Daily Grind features Milwaukee stone Creek Coffee, frozen drinks, sandwiches, salads, and bakery. The Cafy at the museum features soups, handmade sandwiches and wraps, pizza, mixed grill, fresh fruit, nachos, pretzels, ice cream, and dessert. These delicious treats will restore your energy and keep you energized during your visit to the museum. If you would like to take home a souvenir from your museum experience, visit The Museum Marketplace. Located on the ground floor of the museum, you can purchase unique gifts from around the world. There are also a number of educational games and toys. An additional store, the Haymarket, features a turn of the century candy shop. Nestled in the Streets of Old Milwaukee exhibit, it will feel as if you have stepped back in time and you are shopping along the quaint streets of Cream City. For a truly unique gift, purchase Elephant Poo Poo Paper.'' This recycled product is made from the digestive waste of elephants, perfect for creating paper pulp. Those with a greater interest in space then earth can check out the Daniel M. Soref Planetarium. This is the state's largest and most modernized planetarium and features a Digistar 3 computer project system. This fills the entire dome of the building with 3-D animation of astronomy. The night sky will light up above you, and you will be guided through a view of the Milwaukee sky. Later in the evening, you will be able to amaze your friends and family with your knowledge of the Miwaukee sky. A rewarding and educational experience, the Milwaukee Public Museum features a variety of natural and human history displays, as well as space exploration. It is a great opportunity to learn about and explore history."
"A National Historic Landmark","Wisconsin","A National Historic Landmark","According to the official website for Ten Chimneys  ...it is unique among our National Treasures.'' With its assorted collections and great dycor handpicked by Alfred Lunt and Lynn Fontane, the aura is near magical. Located in Genessee Depot, Wisconsin Ten Chimneys is located 30 miles from Milwaukee, 60 miles from Madison, and 90 miles from Chicago. Alfred Lunt and Lynn Fontanne are very well known and sometimes considered the best acting team in the history of American theater. The Lunt's exemplary commitment to the art of live theater was legendary. Because the they were so widely respected and regarded among the whose who of people in theater, arts, and literature, performance artists from all around came to Ten Chimneys to work with the dynamic duo. The estate became a popular place to visit for artistic creation and inspiration. More than just a home, the estate was a place for the arts. Most historic sites limit how close you can get to the exhibits or dycor but this is not the case at the Ten Chimneys. Virtually barrier free tours allow you to explore the beautiful estate in small groups of usually no more than ten. Tours are led be a docent who shares stories with you about the lives of the creators, and the fabulous dycor and objects held within this historic place. According to the Ten Chimneys site, When visiting, you will feel as if Broadway legends Alfred Lunt and Lynn Fontanne have just stepped out for a moment . . . but will be right back to welcome you through their gracious home.'' The Ten Chimneys also features an annual exhibition. Past exhibitions have included, Tea Time with Lynn and Alfred,'' All that Glitters,'' The work of photographer Art Shay,: Noel Crawford in Ten: Ten Chimneys presents Ten Views of the Master,'' and Fashion Forward: The Gowns and Garments of Lynn Fontanne.'' The location is so impressive, it has received rave reviews from the New York Times, The Chicago Tribune, Katharine Hepburn, The Philadelphia Sun, All Things Considered on National Public Radio, Carol Channing, the CBS New Sunday Morning, the Hollywood Reporter, Julie Harris, and Travel and Leisure, and David Hyde Pierce. Says the star of the television sitcom, Frasier, It's sort of Dolly Madison meets Salvador Dali meets `Hello Dolly.' It's everything all at once.'' This is a wonderful location to instill in children a love for the theatre. They will be overwhelmed with all there is too see, they will not even realize they are learning and being exposed to culture. The same goes for adults who often complain about stepping out of their comfort zone. This is a fun place to visit, and it lacks the stuffy feel of a lot of theatre productions. Whether you are a visual arts fan, a theater arts aficionado, someone who loves great design and architecture, or a casual theater follower, Ten Chimneys is the place to go to experience the rich history of Theater right in Genessee Depot, Wisconsin."
"A Place for Children to Learn and Explore","Wisconsin","A Place for Children to Learn and Explore","The Betty Brinn Children's Museum in Milwaukee is one of the city's best loved and most visited location for those with children. The mission of the museum is to provide ... interactive exhibits and educational resources that promote the healthy development of children in their formative years - from birth through age ten.'' The museum is intended to encourage hands-on exploration in order to help children develop fundamental skills, improve their self-esteem, encourage team work, and spark creativity. Teachers, childcare providers and parents all appreciate the museum's ability to educate them about child development stages, learning styles, and effective methods of parenting. The museum has been around since 1995, thanks in part to three Milwaukee women who envisioned an establishment where children could pay together and experience adventure, even during the bitter cold of the Milwaukee winter. Admission is $6 for adults and children over a year old. There is a senior citizen's discount. Group visits at the museum are popular and are often the destination of childcare groups, school field trips, or children's play groups. Exhibits stimulate creativity, and the fun is even better when children can enjoy it with their friends. There are study materials teachers and parents can use once they return home for those who register with the Focused Field Trip program. This features an additional half hour educational program that helps children learn with props, materials, demonstrations, and social interaction. The cost for these Focused Field Trip is $6.50 per child. It includes an orientation to the museum, free time for enjoying the exhibits, and the chosen education program. At least 25 children are required to reserve this experience. Regular field trips are an option if you would like to visit the museum without the program. The cost is $4 per child with a minimum of 10 in attendance. This also includes an orientation to the museum and it takes about an hour and a half. There are numerous exhibit areas to explore. The museum includes a music and rhythm section that offers kids a chance to work with software and conduct performances of the Milwaukee Symphony Orchestra. There is a climbing structure that allows kids to use their bodies to create music by walking, jumping, drumming, chiming, and using a PVC pipe organ. The Dance and Movement area allows kids to see their bodies moving on a big screen TV while they choreograph their own dance. There is a video lesson provided by the Milwaukee Ballet which allows kids a chance to experiment with ballet. The Theater and Puppetry area features props, costumes, backdrops, and puppet sets, complete with a balcony, that allow children to create their own performances or performances featuring hand and marionette puppets. The Visual and Language Arts section is a great way for children to create artistic masterpieces with various media. There is an area where adults can learn about choosing toys that promote creativity and imagination, and kids are encourage to make up funny stories, solve puzzles, and work with language in fun ways. The Betty Brinn Children's Museum is jam-packed with activities kids will love."
"A Place to Learn and Explore","Wisconsin","A Place to Learn and Explore","Bay Beach is not only a destination for swimmers and amusement park lovers, it is a great place for those who want to learn about animals. The Bay Beach Wildlife Sanctuary features a variety of wildlife on a 700-acre wildlife refuge that is one of the largest wildlife rehab sites in Wisconsin. The sanctuary is open year round and there is no admission fee. Their mission is To provide an urban wildlife refuge where people can interact with wildlife, plants, and other natural resources through environmental education and recreation.'' The sanctuary is filled with hands on less and plenty of chances to observe and explore animals. The park features a Nature Education Center with three floors of exhibits and fun. There is the Stop-N-Gander Gift Shop, the Whistling Wings Art Gallery, a library, animal encounter pods featuring reptiles, insects, birds, and mammals, and a variety of other hands-on exhibits. Also located in the Nature Education Center are vending machines and restrooms. The Observation Building and Resch Conservation Wing offer visitors a chance to feed the ducks and geese with bags of corn that can be purchased for $1.00. The area features birds of prey, songbirds, a fish tank, a boa constrictor, songbirds, fruit bats, and a critter counter. A popular attraction is the animal nursery window where you can see baby animals before they are living among the other creatures. A public restroom is available in this space. The rehabilitation program has been in operation since 1935, when it originally served waterfowl. Currently, it accepts more than 4,000 sick, abandoned, and injured animals every year. The goal of the sanctuary is to return these animals to their natural habitats as soon as possible. If an animal is unable to return to the wild, it may be able to participate as a Bay Beach wildlife education ambassador. Strolling through the area of the sanctuary allows you to witness animals like wolves, cougars, otters, and bobcats. The Woodland Building includes a variety of wildlife that is often only seen after dark when in nature like opossums. Here you will also find flying squirrels, mink, turtles, and snakes. The Grassland Habitat area houses deer, coyotes, crows and ravens, and wild turkey. There is also an observation tower allowing visitors to look down on a variety of the animals from above. The park also has over 25 years worth of goose flock records, allowing researchers to study migration patterns and schedules. Memberships are available for the sanctuary and include privileges like attending programs at a reduced rate, attending a special reception, a 10% gift shop discount, attendance at the annual banquet, a sticker, and a subscription to the sanctuary's newsletter, The Honker.'' The gift shop is a great place to pick up a commemorative item of your trip to the sanctuary. The sell magnets, key chains, educational toys and stuffed animals, books, tapes, and greeting cards, shirts and hats, animal statuary featuring some of Wisconsin's most popular furry residents, jewelry made by local artisans, mugs and spoons, and unique bird feeders for those who would like to continue observing wildlife at their homes. The sanctuary is open to visitors throughout the year and offers their education programs year round as well. A visit to the Bay Beach Wildlife Sanctuary will thrill children and please parents."
"A Place to Stay for the Big Game","Wisconsin","A Place to Stay for the Big Game","A trip to Green Bay often means taking in a Green Bay Packers football game at Lambeau field. On football weekend, the town fills up fast. Even those not lucky enough to have a ticket head to the town for the game to tailgate, sell Packer's memorabilia, and catch the game in a local bar. There is nothing like a weekend in Green Bay when the team is in town. It is a great environment, but it can get rowdy. It is Wisconsin, and it is football, so there is going to be plenty of beer. This means if you are in town from somewhere else, you may just need to spend the evening and head home the next day. If this is the case, you will need a convenient, comfortable hotel to lay your head. The Hilton Garden Inn offers this and much more. The hotel is situated just two blocks from Lambeau and the Packers Hall of Fame. Also within walking distance is the Resch Center, Shopko, and the Brown County Arena. The hotel is happy to cater to casual or business travelers. Amenities include Internet access, remote printing, and each room has a work desk and an ergonomic chair. Each room includes a microwave, coffee maker, and refrigerator, so business travelers will rarely have to leave their rooms. Cable television offers free HBO, and each guest receives a complimentary copy of USA today each day of their stay. The hotel features an indoor pool, great for swimming even in the dead of a Green Bay winter, as well as a whirlpool, and fitness center. There is plenty of meeting space and catering services can accommodate parties of as many as 160 people. Onsite is the Great American Grill, featuring breakfasts cooked onsite with delicious ingredients. After a long afternoon enjoying the sights and sounds of Green Bay, enjoy a steak at the Brett Favre Steakhouse, Marty's Boston Crab, or the Stadium View Sports Bar. The hotel's Pavilion Pantry also provides a variety of take out items like sandwiches and sodas. There are a variety of attractions located near the hotel including the Bay Park Square Mall, the Heritage Hill State Historical Park, the Meyer Theatre, and the famous Bay Beach Amusement Park. This historical park is home to rides, shops, and attractions that the entire family will love. Within a short drive is the Oneida Bingo and Casino, and the De Pere Ice and Events Center. No one in the family will ever be bored while they stay in Green Bay. There is plenty to do and it is all nearby the hotel. Green Bay is a town for all seasons, but it comes alive during the winter months when the Packers are in town. If you are headed to Green Bay for the big game or to spend some time gambling, or for any other reason, The Hilton Garden Inn has everything you need for a comfortable stay. Count on them to provide a warm bed for you and your party, deep in the frozen tundra."
