Name,State,Title,Description
"Alpine Slide at Snow King Resort","Wyoming","Alpine Slide at Snow King Resort","Snow King Resort has something most other hotels do not have in Jackson, Wyoming. The resort has an Alpine Slide. Alpine Slides for those who are unaware are a long track of fiberglass with carts that send you speeding down a hill at top speeds. The Alpine Slide at Snow King is 2,500 feet where it runs through woods and wildflowers. A person reaches the top of the slide by double chairlift. Then a slide is provided in order to ride down the hill. There is a break to control speed around the corners and straight sections of the track.   A single ride on the Alpine Slide is $15. A 5 ride pass is $65. Children between 2 and 6 can ride for $3 with a paying adult if they are local. It is $8 for non local riders. A snow King Passholder pays $8 per ride during operation hours. A guest of the hotel can ride for $12 on a single ride, and $50 for a 5 ride pass. Group rates are also available. The fun pass offers one Alpine Slide ride along with a game of miniature golf and a scenic chairlift ride."
"Amangani","Wyoming","Amangani, Jackson, WY","The Amangani Resort has the splendor of the Teton Mountain Range as the views their guests get to enjoy. The elk and moose graze in the meadows that surround the resort. It is built of Oklahoma sandstone and Pacific redwood. There is a long narrow heated swimming pool and hot tub with meadow and mountain views. A dining terrace offers those same views during warm weather. The Amangani Lounge has floor to ceiling windows with ample seating for relaxation. The Amangani offers twenty nine suites. Five of them are deluxe suites, two are Amangani Suites and then there are the Spring Gulch Suite, Sena Suite, Shoshone Suite and the Grand Teton Suite. Every suite has carpet, air conditioning, a bedroom, living room, and a large bathroom with dressing area. The living space has a king sized bed, metal fireplace, a daybed that is perfect for relaxing on next to the window, a resin and terrazzo dining table, cowhide chairs, and a pine stump table base. The amenities that are also included are a mini bar, TV, DVD player, CD player, two phone line telephone with voicemail capabilities and high speed Internet access. If the guest wishes wireless Internet is also available. There are sliding glass doors that take guests to a deck with a wrought iron table and chairs. For pure pampering there is a deep soaking tub by a large window for looking out over the valley and mountains. The suites have double dressing areas with a full length mirror, dresser drawers, shelves and an open closet for two. Amangani also has homes to rent for guests that wish more privacy or are staying longer. The homes are individually decorated by the owners. Some of the homes will have shake shingle roofs, wood siding, and rock foundations. Most of the homes have four bedrooms, dining room, living room, vaulted ceilings and floor to ceiling windows. There is a private ski lounge about twenty minutes from the resort that is reached by a complimentary ride from the Amangani. Guests can ski, snowboard, ice skate, and snowmobile in the Jackson Hole area in the winter. Ski equipment and lessons can be arranged at the private lounge. There are also hot drinks, snacks, books and a concierge service at the Amangani ski lounge. Teton Village where the private ski lounge is located has shopping, bars, restaurants and recreational activities. Guests of the Amangani can also ride on a dog sled or take a horse drawn sleigh ride through the National elk Refuge. Dinner sleigh rides are available at the Amangani. A health center at Amangani has two exercise studios, four treatment rooms, and steam rooms for men and women. Guests can have one on one programs at the Wellness Studio or use the gym facilities. In the gym there are Stairmasters, recumbent bikes, treadmill, free weights, a flexible bench and a universal work out bench. Guests can request a massage, facial or healing therapy. Mud, seaweed and salt body wraps are available in the wet room at the health center."
"Artist Paint Pot Trail","Wyoming","Artist Paint Pot Trail","Artist Paint Pot Trail is one of the easiest hikes visitors will find in Yellowstone National Park, Wyoming. The hike is only about a mile roundtrip. A new trail was created in 2004 as Artist Paint Pot Trail, which made it even easier to get through the wilderness for visitors. The trailhead is 4.4 miles to the south of Norris. It is located on Norris- Madison Road. Hikers who want an easy walk with less people will definitely find it on Artist Paint Pot Trail. The trail is often overlooked for longer trails or more exciting places in the park. The trail starts with a boardwalk before going through the burned pine.  There will be a small incline where a hiker reaches the thermal area and then loops around towards a few of the park's hot springs and smaller geysers. There are two mudpots on the top of the hill where the trail tops out. A hiker is then led to Fountain Paint Pots. The mudpots will spurt mud into the air almost daily, which tends to delight hikers on the trail. After the mudpots the trail turns back towards the parking area in its loop setup."
"Best Western The Lodge at Jackson Hole","Wyoming","Best Western The Lodge at Jackson Hole","Best Western The Lodge at Jackson Hole offers year-round vacation accommodations. In the summer, visitors can enjoy hiking, mountain biking, and playing golf, or fishing and rafting on the Snake River. During the winter, recreational activities include snowshoeing, cross-country skiing, snowmobiling, and sleigh rides.   The Lodge features 154 mini-suite hotel rooms, each of which comes a microwave, mini-fridge, multi-line telephones, a television, coffee maker, hair dryer, and in-room safe. All rooms are non-smoking and feature either two Queen beds or one King bed. The latter units also have fireplaces, and adjoining rooms are available. Complimentary services provided to guests include a deluxe breakfast buffet each day, a winter shuttle to the Jackson Hole Ski Resort, high-speed wireless Internet, and free access to the Jackson Hole Athletic Club. Facilities on the premises range from a lounge, deli, and gift shop to an indoor/outdoor heated pool, hot tubs, and a sauna. The Gun Barrel Steakhouse is immediately adjacent to the hotel. Best Western The Lodge at Jackson Hole is located one mile from the Jackson Town Square at 80 Scott Lane, Jackson, Wyoming 83002. Complimentary parking is available to all guests, and children aged 14 years old and under stay free of charge. Meeting and banquet facilities are also available for up to 60 guests."
"Buffalo Bill Historical Center","Wyoming","Buffalo Bill Historical Center, Cody, WY","The Buffalo Bill Historical Center in Cody Wyoming encompasses six different museums. They are the Buffalo Bill Museum, The Whitney Gallery of Western Art, The Plains Indian Museum, The Cody Firearms Museum, The Draper Museum of Natural History and The Harold McCracken Research Library. The complex is at the east entrance to Yellowstone National Park in Cody, Wyoming. Visitors can reach the museum from the north on Highway 14A which is Bighorn Ave then turn right on to Sheridan Avenue. The address is 720 Sheridan Ave. Buffalo Bill's Museum displays the personal and public persona of Buffalo Bill Cody. He lived from 1846 to 1917. The collections in the museum explore and interpret the history of American cowboys, dude ranching, frontier entrepreneurship and how we see the source of the concepts of the West. With his personality and talent Buffalo Bill became a communicator of life in the West. Buffalo Bill himself described his shows as an education on a grand entertaining scale. He incorporated Indians, cowboys, trick shooters and specialty acts in his outdoor shows. There was even a Buffalo Bill's Cowboy Band that played appropriate music to accompany the acts in the arena. They were highly trained musicians and set the mood for the action. Buffalo Bill's show ran for thirty years and toured in the United States and Europe. Sitting Bull and Annie Oakley were an integral part of his show. In a time when travel was not possible for many Americans he brought the Wild West to them. The Whitney Gallery of Western Art is celebrating its fiftieth year. They have art that portrays life in the old west with animals and Indian culture. The Plains Indian Museum gives visitors insight into the lives of the Plains Indian peoples. Guests of the museum will learn about their culture, traditions, history and values. It will also explore the scope of their lives today. Many of the pieces in the collection are from the early reservation period of 1880-1930. The tribes that the museum relates this information about are the Lakota, Arapaho, Crow, Shoshone, and Cheyenne. If visitors come in June they can enjoy the Plains Indian Museum Powwow in the Robbie Powwow Garden. It features dancers from all over North America as they compete in Cody for at least $25,000 in prizes. Next is the Cody Firearms Museum that displays the most comprehensive assembly of American firearms. The Winchester Collection was brought to the museum in 1976 from New Haven, Connecticut. Although Winchester is in the museum it is certainly not the only manufacturer of firearms on display. The Draper Museum began in 2002 as the inspiration of benefactor Nancy Draper. This natural science museum associates, staff and students have authored or coauthored over 30 book chapters and articles. They go across the country delivering lectures on topics such as the direction of natural science museums in the 21st century. The McCracken Research Library has many materials on Western American Art, Buffalo Bill, the Plains Indians, American firearms and the natural history of the Rocky Mountains and Great Plains."
"Canyon Village","Wyoming","Canyon Village, Yellowstone National Park, WY","Yellowstone is a national park with numerous surprises located in the northwest section of Wyoming. There are four entrances into the park allowing tourists from all over the United States and world to visit the park with ease. One place visitors may wish to stop on their travels is Canyon Village. The village is 40 miles from the west entrance of Yellowstone, 38 miles from Gardiner, 48 miles from Cooke City, and 43 miles from the east entrance of the park. The village itself is not the main attraction in the area. It is more of a resting place for travelers before they move around the various activities found in Canyon. Canyon Village has a post office, three restaurants, two grocery style stores, a place for getting gear, and souvenir shops. There are also a few cabins and a large campground within the village limits. Concessionaires provide various supplies for those going on horseback rides along the trails. The nearby stables have guides to take visitors out. There are also other park rangers available for hiking tours. The first stop tourists need to make in Canyon Village is the Canyon Visitor Center. The center offers a number of books on the park, its geology, and the volcanoes and glaciers. Rangers are also on hand to help visitors find trail heads with the best paths for their requirements. There is an auto tour of the canyon area along North Rim Drive. This tour is subject to closures in winter when the roads become impassable with snow. The road begins as a two lane option, but becomes a one way road as it moves into the village. Visitors will pass the 500 ton glacial boulder that marks the entrance of Canyon Village if they come in from the east. The largest attraction in the canyon is Grand Canyon of Yellowstone. It is a natural structure that provides some of the most beautiful landscape photos. The canyon is much younger than the Grand Canyon, having been created by lava flows over time. Glaciers also blocked the canyon, so they eventually had to be melted by time and the lava to form the canyon visitors see today. The Grand Canyon of Yellowstone is 24 miles, with 1,200 feet depth in certain spots. The canyon also reaches 4,000 feet wide at certain points. There are two waterfalls within the canyon for visitors to marvel over. One of the falls, Lower Falls, is larger than Niagara Falls in terms of height. The Lower Falls is 308 feet whereas Upper Falls is only 109 feet in height. Visitors can see Upper Falls from The Brink, Upper Falls Trail and Uncle Tom's Trail. Lower Falls can be found by looking out from Lookout Point, Red Rock Point, Artist Point, the Brink of the Lower Falls, and points on South Rim trail. About 63,500 gal/sec of water flows over the falls during peak runoff season and 5,000 gal/sec during the fall season will make its way from the high mountains over the falls."
"Canyon Visitor Education Center","Wyoming","Canyon Visitor Education Center, Yellowstone National Park, WY","Yellowstone National Park has a mission of conservation and education for people around the United States and the world. As a top attraction for visitors to Wyoming there are many things to see. For those interested in education they can stop by the Canyon Visitor Education Center. This facility is newly built and for the first time Yellowstone's volcano, geysers, geologic history, and hot springs are explained regarding how the distribution and abundance of wildlife was formed in this area. Visitors are welcome to explore the exhibits, video productions, real time data, and animations provided. Visitors will be able to see, hear, and learn about Yellowstone in a new and imaginative way. As the name suggests the center is located in the Canyon area. Visitors will have to pay the park entrance fee of $25 per vehicle or $12 per individual. Canyon Visitor Education Center is easiest to access from the north entrance of the park. It is on the northern loop of roads that run through the national park. Other attractions include Mount Washburn, Dunraven Pass, Norris, Indian Creek, Mammoth, and Tower Junction. If coming from the east on Highway 14 one would need to head north passing Fishing Bridge and head towards Artist Point. Canyon is not on the same loop as Old Faithful. The park has north, east, west, and south entrances. Exhibits in the Education Center include the Yellowstone: Land to Life film. This film explores how the geological forces such as fire and ice have been able to combine in order to create the landscape visitors see today. The video then explains how the numerous wildlife species such as wolves, moose, beaver, and others can exist inside the park. After watching the video visitors can explore the life size model of Yellowstone. This model map highlights in certain areas to give a recording of those features. For instance the map narrates the volcanic eruptions that have occurred, lava flow, earthquake faults, and glaciers of the park. The map is on the first floor of the building, and for an aerial view visitors can go to the second floor. Tribes native to the park have offered recordings regarding their perspective on the geology. There is also a 9,000 pound Kugel ball that shows global volcanic activity. While eruptions seem rare there are still some active volcanoes that could erupt at anytime. There are some large lava lamps around the world to show how volcanoes work. Yellowstone has one of the largest lamps to illustrate how the magma rises due to heat convection. It shows how the earth can move with this activity and form various shapes like geysers. Computer generated displays, murals, photographs, panoramas, and dioramas are also part of the Canyon Visitor Education Center. All habitats of Yellowstone will be depicted in the exhibits from the lodge pole forest to the grassland habitats. The visitor center is not the only attraction in the area; however, it gets a visitor started on what the loop and the rest of the park has to offer."
"Cascade Canyon","Wyoming","Cascade Canyon, Grand Teton National Park, WY","Cascade Canyon is located within Grand Teton National Park, Wyoming. This park has been in existence since 1929 when the mountains and lakes by the base of the Grand Tetons was all that was included. In 1950 the boundaries were expanded so that the adjacent valley floor was also protected. The park has several visitor centers but most of them are seasonal. Craig Tomas Discovery & Visitor Center is open year round with hours that vary from 8:00 am to 5:00 pm depending on the season. Jenny Lake Ranger Station, Colter Bay Visitor Center & Indian Arts Museum, Flagg Ranch Information Station, Jenny Lake Visitor Center, and Laurence S. Rockefeller Preserve Center are all closed in the winter. A single entry pass is $25.00 and is good for seven days. This pass is good for Grand Teton National Park and Yellowstone National Park. This price is for a vehicle only. A $12.00 per person fee for hikers or bikers is good for seven days and a $20.00 per motorcycle fee is for seven days as well. In the winter there is a $5.00 per day fee; this is available from mid December to April 30th and is good only in Grand Teton National Park. Seniors 62 or older can purchase a $10.00 pass that is good for life. This pass is good for all areas covered under the America the Beautiful pass. Hiking is available in Cascade Canyon which is west of Jenny Lake. While hiking, visitors can see golden mantled ground squirrels at Inspiration Point. Visitors are asked not to feed the squirrels. Other wildlife that is in the surrounding boulder fields includes pikas and yellow bellied marmots. If guests look closely they may see mule deer or moose in the shrubs that grow near the mouth of the canyon. The smaller animals such as the squirrels, pikas and marmots often beg for food, but by doing so the animals may not continue to hunt for food having become dependent on unnatural food sources. Cascade Canyon goes through the heart of the Teton Mountain range. Jenny Lake lies at the foot of the mountains that make up Cascade Canyon. For a small fee visitors can take a boat ride across Jenny Lake. This scenic boat ride takes guests to the mouth of Cascade Canyon. If visitors want to hike instead they can follow the trail which is four miles around. One of the magnificent elements of this hike is a narrow bridge that is above the waters of Cascade Creek. Hidden Falls is about a quarter mile from the boat dock. These falls are about 250 feet high and the roar of the water, the mist and flowing water make it worth the walk. Inspiration Point is approximately three quarters of a mile from Hidden Falls. This is one of the best vantage points for viewing Cascade Canyon. Although many people turn back from here the trail continues and it becomes fairly level and easy to walk. The jagged peaks of the Tetons surround Cascade Canyon and provide wonderful beauty."
"Cedar Mountain Trail Rides","Wyoming","Cedar Mountain Trail Rides, Cody, WY","Nothing seems more appropriate in Cody, Wyoming than riding on horseback. All of the dude ranches offer trail rides as part of a guests stay. However, if they aren't staying at a ranch they can still have a horseback ride at Cedar Mountain Trail Rides. There are two locations to choose from. The first is one mile west of the rodeo grounds in Cody and the second is one mile east of the airport at the KOA Campground. Visitors can choose from one hour trail rides to an entire day on horseback. If visitors want longer experiences of the old west they can go on pack trips that include fishing expeditions. If they would like to see some of the wildlife of the area a pack trip that takes visitors on a photography excursion can also be arranged. The Cedar Mountain Trail Rides are open from June through September. Prices will differ depending on the length of the trail ride chosen. One of the addresses for Cedar Mountain Trail Rides is 12 Spirit Mountain Road, Cody, WY 82414. The Cody KOA's address is 5561 Greybull Highway, Cody, WY 82414. Visitors to Cody that are staying at the KOA could also enjoy all you can eat pancakes for only two dollars. If they want sausage, milk, coffee or juice they can get them for a small charge. A free shuttle will take guests to the Cody Night Rodeo and bring them back. Bingo happens at 8:00 pm every Thursday night and S'Mores are a social event on Friday nights at 7:00 pm. Saturday night ice cream socials are another guest favorite at the KOA. Guests of the KOA can rent the RV, tent and cabin sites. For guests in RV's the sites are pull through with 50 amp service and cable television for an additional charge. They offer a pavilion meeting room, LP gas, free wireless internet and a modem data port. A swimming pool is open in late May through early September along with a hot tub and sauna. Guests can purchase firewood, bikes and tours at the KOA office. Other attractions that visitors to the area might enjoy would be a trip to the Buffalo Bill Historic Center, the Cody Night Rodeo and Yellowstone National Park. There are Red Canyon River Trips down the rapids of the Shoshone River. Expert guides are provided for the rafting trips and reservations can be made at the KOA office. Throughout the summer there are free Old West gunfights six nights a week. These gunfights are by the side of the Historic Irma Hotel beginning at 6:00 pm Monday through Saturday. Cody Trolley tours offer one hour informational tours that show visitors all of the historic sites, wildlife, geology and scenic wonders the region has to offer. Old Trail Town has twenty six buildings and a cemetery representing the late 1800's to the early 1900's. Butch Cassidy and the Sundance Kid's Hole in the Wall cabin is on display."
"Chamberlin Inn","Wyoming","Chamberlin Inn, Cody, WY - Hotel","When you are looking for an elegant place to stay overnight in the Cody, WY area, and one with a historic Western atmosphere, you certainly do not want to overlook the Chamberlin Inn. This beautifully restored property is actually several historic places that were combined into a larger magnificent Inn that many are sure to enjoy. The property was owned by Agnes Chamberlin, in 1900, who had started to work for Buffalo Bill in that year. She worked in his newspaper office and then later opened her own boarding house. Over time, she slowly added other buildings in order to expand the boarding house. This included the original Court House and the court residence, a magnificent garden, and it was all later enclosed in a beautiful brick and iron fence. In the early days, a number of historic people had stayed there. This includes people like Ernest Hemingway, Marshall Fields, Stanley, Haliburton, and more. Others included movie stars, politicians, tycoons, actors, and opera singers. The hotel has 22 rooms that are located on two different floors. There are different types of rooms in terms of size, style, and location. All of them are beautifully done. The hotel was completely renovated in 2005. Each room has a flat-screen TV and also wireless hi-speed Internet access. Many of the rooms also have the original claw tubs (showers, too) and corner sinks. Each room also comes with Belgium chocolates, fresh flowers, and Italian lotions. Other features that you may get are fireplaces, a kitchenette, a view of the Garden, and an office. Some of the rooms are separate, such as a garden or a Loft apartment, and you can also stay in Hemingway's room, which reflects his style of life. A parlor and a library are also available for guests. The historic courthouse residence is also available. The Chamberlin is also the ideal place to hold your wedding or business meeting. The hotel has a conference or meeting room, a catering kitchen, and a beautiful Garden to host your wedding. A honeymoon cottage also makes it the perfect place to make your wedding truly unforgettable. The hotel is located in downtown Cody. This places it very close to shops, a museum, and shopping galleries. Of course, you could just relax and get away from it all with just a cup of tea or coffee in the garden. When you want to go sightseeing nearby, you and the family can visit a number of places in this historic area. You can see the Buffalo Bill State Park, the Buffalo Bill Historical Center, Old Trail Town, and the Tecumseh Old West Village. In the summertime, you can also see the Cody Nite Rodeo, which is open nightly at 8:30 PM, from June through August. A little further away you might also go to the Yellowstone National Park East Entrance, the Buffalo Bill Dam, or enjoy cross country skiing in the winter. The Olive Glenn Golf Course is nearby. You can also take the Cody Trolley Tours in the summer, and enjoy nightly gunfights, too. When you want to stay at the Chamberlin Inn in Cody, WY, be sure to call in advance. The number of rooms is limited and it is a popular place to stay."
